,Dataset001_BrainTumour,Dataset002_Heart,Dataset003_Liver,Dataset004_Hippocampus,Dataset005_Prostate,Dataset006_Lung,Dataset007_Pancreas,Dataset008_HepaticVessel,Dataset009_Spleen,Dataset010_Colon
Dataset001_BrainTumour,0.0,0.0002436798095004633,0.0001798812299966812,0.001103116199374199,0.0005281312623992562,0.00015711206651758403,0.0001754190743668005,0.000175088454852812,0.00018695536709856242,0.0001919962523970753
Dataset002_Heart,0.0002474036009516567,0.0,1.993086152651813e-05,0.0008032489567995071,0.00010894890874624252,3.0069053536863066e-05,2.503674477338791e-05,2.3861788577050902e-05,2.30567529797554e-05,2.087540997308679e-05
Dataset003_Liver,0.00018198564066551626,2.019628846028354e-05,0.0,0.0008107280591502786,0.00014722664491273463,5.731172677769791e-06,2.0600855350494385e-06,5.617737883767404e-07,2.3405998490488855e-06,1.955404968612129e-06
Dataset004_Hippocampus,0.001317933900281787,0.0009194286540150642,0.0009359352407045662,0.0,0.0006926944479346275,0.0009851421928033233,0.0009469490614719689,0.0009430229547433555,0.0009324537822976708,0.000928369932807982
Dataset005_Prostate,0.0005613144603557885,0.0001130761593231,0.00015532039105892181,0.0006013544043526053,0.0,0.00017968472093343735,0.00016707666509319097,0.00016467590467073023,0.0001566605642437935,0.0001514749601483345
Dataset006_Lung,0.00016024448268581182,2.9983557396917604e-05,5.216710178501671e-06,0.0008479488897137344,0.00016894489817786962,0.0,6.984360425121849e-06,5.781464096799027e-06,8.70637632033322e-06,9.323097401647829e-06
Dataset007_Pancreas,0.00017404407844878733,2.265162765979767e-05,-6.722286229887686e-07,0.0008165694889612496,0.00015563778288196772,4.56981342722429e-06,0.0,-1.5061348221934168e-06,8.391216397285461e-07,9.432434922018729e-07
Dataset008_HepaticVessel,0.00017711873806547374,2.4802797270240262e-05,1.2174248240626184e-06,0.00081659946590662,0.0001565575657878071,6.8709255174326245e-06,1.8825754750650958e-06,0.0,2.5255606033169897e-06,2.6319175958633423e-06
Dataset009_Spleen,0.00018450376228429377,1.9952840375481173e-05,-1.1498108278829022e-06,0.0008036544313654304,0.00014509186439681798,5.687773409590591e-06,2.4065374759629776e-07,-1.6203150607907446e-06,0.0,-1.2796371606782486e-07
Dataset010_Colon,0.0001903664378914982,1.863315628725104e-05,-5.764886736869812e-07,0.0008025298011489213,0.00014092642231844366,7.059052677504951e-06,1.119822286455019e-06,-6.431713472920819e-07,6.37583411844389e-07,0.0
