,Dataset001_BrainTumour,Dataset002_Heart,Dataset003_Liver,Dataset004_Hippocampus,Dataset005_Prostate,Dataset006_Lung,Dataset007_Pancreas,Dataset008_HepaticVessel,Dataset009_Spleen,Dataset010_Colon
Dataset001_BrainTumour,0.0,0.9568630878072077,0.6149457855100661,4.158794187752482,1.2560571641397649,0.7148966670890031,0.6365101503664027,0.6479371038308274,0.6123091187892393,0.6280925582700082
Dataset002_Heart,2.7451979966394693,0.0,0.6251361478898532,4.135569319894955,1.1258719797110752,0.7349375759774743,0.6503444508554873,0.6589955785910697,0.6238596950422265,0.6382487645810275
Dataset003_Liver,2.7680431085026513,0.9413082758258039,0.0,4.135930605573829,1.1467285581720628,0.7326456775412451,0.6471093196863129,0.6560318942223752,0.6204117225987679,0.63514562535456
Dataset004_Hippocampus,2.7074396011859942,0.9796089881298317,0.6929228076038628,0.0,1.275389931858613,0.8088025974769377,0.7107488957970934,0.7167735439726045,0.6902375290131532,0.7064882062108706
Dataset005_Prostate,2.6856301928251094,0.9543883778722814,0.6533600893670374,4.097223891369552,0.0,0.7685342075493322,0.6783108806214486,0.6856558012676779,0.6514592474668863,0.6658170528455569
Dataset006_Lung,2.781786211175175,0.9407165984503674,0.619728154560997,4.13989949069687,1.1489544576776398,0.0,0.6442783850662694,0.6534215418480844,0.617528939213466,0.6324554277701555
Dataset007_Pancreas,2.7710224849347256,0.9420181689603268,0.622055065355104,4.13932247205011,1.1504401542736502,0.7322393712628337,0.0,0.6553936365752928,0.6198090467929985,0.6346245371094614
Dataset008_HepaticVessel,2.771198684938016,0.9423743135368099,0.622531604650891,4.138864629026717,1.1505736178711614,0.7327119642913316,0.6469014661983172,0.0,0.6202757174165943,0.6350925264706451
Dataset009_Spleen,2.766638067819319,0.9425019069933134,0.6235407609611303,4.138265098948974,1.1477363238920413,0.7337187620688721,0.6480554971332808,0.6569120132802406,0.0,0.6361539880108482
Dataset010_Colon,2.763585638954062,0.9421569996367047,0.6236622216530741,4.137770838434641,1.1456688833013695,0.7339143795121887,0.6482515640863701,0.657051243110331,0.6215523527440997,0.0
