,Dataset001_BrainTumour,Dataset002_Heart,Dataset003_Liver,Dataset004_Hippocampus,Dataset005_Prostate,Dataset006_Lung,Dataset007_Pancreas,Dataset008_HepaticVessel,Dataset009_Spleen,Dataset010_Colon
Dataset001_BrainTumour,0.0,0.0021193137046493964,0.0018194594212630345,0.00542562520945551,0.003454472651015242,0.001560674274943664,0.0017761616640591933,0.0018000871231677227,0.001865461143248348,0.0018944301601653006
Dataset002_Heart,0.0021193137046493964,0.0,4.210519861307163e-05,0.001117402440046191,0.00023814633132765182,7.283678653968683e-05,4.606051117363832e-05,4.386512997830393e-05,4.2708829993011005e-05,3.8382537755973716e-05
Dataset003_Liver,0.0018194594212630345,4.210519861307163e-05,0.0,0.001292914774977261,0.0003311806567876628,2.2968684132990436e-05,1.5528026989299384e-06,1.948426950590945e-06,1.345958195480416e-06,1.8327837319776188e-06
Dataset004_Hippocampus,0.00542562520945551,0.001117402440046191,0.001292914774977261,0.0,0.00046314983766147013,0.0015241084248221748,0.001330495464105065,0.001307929741112897,0.001260887456776167,0.0012413894772483284
Dataset005_Prostate,0.003454472651015242,0.00023814633132765182,0.0003311806567876628,0.00046314983766147013,0.0,0.0004563691544193327,0.00035533631265480346,0.00034460324174796504,0.0003173841507361678,0.00030627900857476044
Dataset006_Lung,0.001560674274943664,7.283678653968683e-05,2.2968684132990436e-05,0.0015241084248221748,0.0004563691544193327,0.0,1.929787084300856e-05,2.138475408601113e-05,3.021637758981073e-05,3.2566307816058734e-05
Dataset007_Pancreas,0.0017761616640591933,4.606051117363832e-05,1.5528026989299384e-06,0.001330495464105065,0.00035533631265480346,1.929787084300856e-05,0.0,4.5197494259732623e-07,2.3733706980681428e-06,3.3261216177617877e-06
Dataset008_HepaticVessel,0.0018000871231677227,4.386512997830393e-05,1.948426950590945e-06,0.001307929741112897,0.00034460324174796504,2.138475408601113e-05,4.5197494259732623e-07,0.0,1.9563614517681027e-06,2.7929709506591247e-06
Dataset009_Spleen,0.001865461143248348,4.2708829993011005e-05,1.345958195480416e-06,0.001260887456776167,0.0003173841507361678,3.021637758981073e-05,2.3733706980681428e-06,1.9563614517681027e-06,0.0,5.285588612237437e-07
Dataset010_Colon,0.0018944301601653006,3.8382537755973716e-05,1.8327837319776188e-06,0.0012413894772483284,0.00030627900857476044,3.2566307816058734e-05,3.3261216177617877e-06,2.7929709506591247e-06,5.285588612237437e-07,0.0
