,Dataset001_BrainTumour,Dataset002_Heart,Dataset003_Liver,Dataset004_Hippocampus,Dataset005_Prostate,Dataset006_Lung,Dataset007_Pancreas,Dataset008_HepaticVessel,Dataset009_Spleen,Dataset010_Colon
Dataset001_BrainTumour,-0.01005,0.6566166666666667,0.6566166666666667,0.38995,0.58995,0.6566166666666667,0.6566166666666667,0.6566166666666667,0.8232833333333334,0.8232833333333334
Dataset002_Heart,0.6656165666666668,-0.0010501,0.6656165666666668,0.3989499,0.2489499,0.6656165666666668,0.6656165666666668,0.6656165666666668,0.5989499,0.5989499
Dataset003_Liver,0.6606164666666667,0.6606164666666667,-0.0060501999999999995,0.6606164666666667,0.5939498,0.3939498,-0.0060501999999999995,-0.0060501999999999995,0.2439498,0.2439498
Dataset004_Hippocampus,0.3929497,0.3929497,0.6596163666666668,-0.0070503,0.2429497,0.8500925571428573,0.6596163666666668,0.6596163666666668,0.5929497,0.5929497
Dataset005_Prostate,0.5979496,0.2479496,0.5979496,0.2479496,-0.0020504,0.8312829333333334,0.5979496,0.5979496,0.4979496,0.4979496
Dataset006_Lung,0.6626161666666668,0.6626161666666668,0.3959495,0.8530923571428572,0.8292828333333334,-0.004050499999999999,0.3959495,0.3959495,0.5959495,0.5959495
Dataset007_Pancreas,0.6586160666666667,0.6586160666666667,-0.0080506,0.6586160666666667,0.5919494,0.3919494,-0.0080506,-0.0080506,0.2419494,0.2419494
Dataset008_HepaticVessel,0.6576159666666668,0.6576159666666668,-0.0090507,0.6576159666666668,0.5909493,0.3909493,-0.0090507,-0.0090507,0.2409493,0.2409493
Dataset009_Spleen,0.8302825333333334,0.5969492,0.2469492,0.5969492,0.4969492,0.5969492,0.2469492,0.2469492,-0.0030508,-0.0030508
Dataset010_Colon,0.8282324333333334,0.5948991,0.2448991,0.5948991,0.4948991,0.5948991,0.2448991,0.2448991,-0.0051009,-0.0051009
