,Dataset001_BrainTumour,Dataset002_Heart,Dataset003_Liver,Dataset004_Hippocampus,Dataset005_Prostate,Dataset006_Lung,Dataset007_Pancreas,Dataset008_HepaticVessel,Dataset009_Spleen,Dataset010_Colon
Dataset001_BrainTumour,0.0,532.9889015885561,491.8951567040574,861.3809000263573,704.8087704459753,450.46307034423535,483.7188662967694,487.97329240188714,499.65163488327767,503.6328933988079
Dataset002_Heart,532.9889015885561,0.0,68.82683531250001,336.66162449898593,177.07285422616204,96.06963375000001,73.48281687500001,71.03464906250001,67.86244187499999,64.37654656250002
Dataset003_Liver,491.8951567040574,68.82683531250001,0.0,376.7945270133516,217.77304491546803,48.058515937500005,12.700004687499998,12.976531250000006,10.972467187500008,13.565999375000002
Dataset004_Hippocampus,861.3809000263573,336.66162449898593,376.7945270133516,0.0,166.21235312338578,418.58335982585163,385.5932785758516,381.36860013835167,369.62682545085164,365.7228057633517
Dataset005_Prostate,704.8087704459753,177.07285422616204,217.77304491546803,166.21235312338578,0.0,258.9088876318924,227.0036432003278,223.05199997284876,211.21992585296803,206.94268057872188
Dataset006_Lung,450.46307034423535,96.06963375000001,48.058515937500005,418.58335982585163,258.9088876318924,0.0,42.395496875000006,45.47815406250001,56.03895125000002,59.1648253125
Dataset007_Pancreas,483.7188662967694,73.48281687500001,12.700004687499998,385.5932785758516,227.0036432003278,42.395496875000006,0.0,6.2056540625000025,17.009003125000003,21.416889687500003
Dataset008_HepaticVessel,487.97329240188714,71.03464906250001,12.976531250000006,381.36860013835167,223.05199997284876,45.47815406250001,6.2056540625000025,0.0,13.597997187500006,18.256682500000004
Dataset009_Spleen,499.65163488327767,67.86244187499999,10.972467187500008,369.62682545085164,211.21992585296803,56.03895125000002,17.009003125000003,13.597997187500006,0.0,6.8693890625
Dataset010_Colon,503.6328933988079,64.37654656250002,13.565999375000002,365.7228057633517,206.94268057872188,59.1648253125,21.416889687500003,18.256682500000004,6.8693890625,0.0
