,BRATS,BRATS,BRATS,BRATS,BRATS,BRATS,Heart,Heart,Hippocampus,Hippocampus,Hippocampus,Hippocampus,Liver,Liver,Liver,Liver,Lung,Lung,Pancreas,Pancreas,Pancreas,Pancreas,Prostate,Prostate,Prostate,Prostate,Hepatic Vessel,Hepatic Vessel,Hepatic Vessel,Hepatic Vessel,Spleen,Spleen,Colon,Colon
,Dice,Dice,Dice,NSD,NSD,NSD,Dice,NSD,Dice,Dice,NSD,NSD,Dice,Dice,NSD,NSD,Dice,NSD,Dice,Dice,NSD,NSD,Dice,Dice,NSD,NSD,Dice,Dice,NSD,NSD,Dice,NSD,Dice,NSD
Team,L1,L2,L3,L1,L2,L3,L1,L1,L1,L2,L1,L2,L1,L2,L1,L2,L1,L1,L1,L2,L1,L2,L1,L2,L1,L2,L1,L2,L1,L2,L1,L1,L1,L1
nnU-Net,0.68,0.48,0.68,0.87,0.73,0.91,0.93,0.96,0.9,0.89,0.98,0.98,0.95,0.74,0.98,0.88,0.69,0.69,0.8,0.52,0.95,0.73,0.76,0.9,0.96,0.99,0.63,0.69,0.83,0.79,0.96,0.99,0.56,0.68
K.A.V.athlon,0.67,0.47,0.67,0.88,0.73,0.9,0.92,0.95,0.9,0.89,0.98,0.97,0.95,0.62,0.98,0.79,0.61,0.64,0.75,0.43,0.92,0.66,0.73,0.88,0.95,0.98,0.62,0.63,0.83,0.72,0.97,1.0,0.36,0.47
NVDLMED,0.68,0.45,0.68,0.87,0.7,0.9,0.92,0.96,0.88,0.87,0.96,0.97,0.95,0.71,0.98,0.87,0.52,0.5,0.78,0.38,0.95,0.57,0.69,0.87,0.93,0.97,0.63,0.64,0.83,0.72,0.96,1.0,0.56,0.66
Lupin,0.66,0.42,0.64,0.88,0.68,0.89,0.92,0.97,0.9,0.88,0.98,0.98,0.95,0.61,0.98,0.77,0.55,0.55,0.76,0.21,0.95,0.37,0.73,0.88,0.94,0.98,0.6,0.47,0.81,0.54,0.94,0.98,0.09,0.16
CerebriuDIKU,0.7,0.43,0.67,0.88,0.69,0.89,0.89,0.91,0.9,0.88,0.97,0.97,0.94,0.57,0.97,0.73,0.59,0.56,0.71,0.25,0.92,0.46,0.69,0.86,0.95,0.98,0.59,0.38,0.79,0.44,0.95,0.98,0.28,0.43
LS Wang's Group,0.68,0.46,0.66,0.87,0.7,0.87,0.9,0.92,0.9,0.89,0.98,0.97,0.94,0.55,0.98,0.72,0.55,0.56,0.71,0.26,0.91,0.48,0.71,0.85,0.96,0.98,0.55,0.64,0.77,0.73,0.96,0.99,0.41,0.51
MIMI,0.65,0.44,0.66,0.88,0.7,0.89,0.9,0.92,0.89,0.88,0.97,0.97,0.94,0.6,0.97,0.74,0.55,0.56,0.7,0.26,0.89,0.45,0.71,0.87,0.94,0.98,0.6,0.56,0.79,0.64,0.94,0.97,0.29,0.38
Whale,0.64,0.3,0.23,0.85,0.54,0.55,0.89,0.91,0.86,0.85,0.93,0.95,0.94,0.62,0.98,0.81,0.51,0.51,0.66,0.28,0.89,0.43,0.7,0.88,0.95,0.98,0.56,0.46,0.8,0.57,0.95,0.99,0.18,0.29
