,exp,hp,meta,mean,std,dist,upper,lower
1749,Model<br>Architecture,-0.75,weightedtau,0.036068731815927256,0.14729869734598677,KLD-PP:NS-1000-BINS,0.18336742916191404,-0.11122996553005951
1659,Model<br>Architecture,-0.75,weightedtau,-0.020007435939319508,0.14861562348485666,KLD-PP:NN,0.12860818754553716,-0.16862305942417616
1746,Model<br>Architecture,-0.75,gain,0.6744186046511627,0.3859518212543288,KLD-PP:NS-1000-BINS,1.0603704259054916,0.28846678339683385
1745,Model<br>Architecture,-0.75,delta,0.0017402881722733722,0.04408515141556957,KLD-PP:NS-1000-BINS,0.04582543958784294,-0.0423448632432962
2379,Pretraining<br>Data,-0.75,weightedtau,0.1414106473485277,0.16955458560212525,KLD-PP:NN,0.3109652329506529,-0.02814393825359754
2378,Pretraining<br>Data,-0.75,regret,0.19990579822000862,0.17227018550832437,KLD-PP:NN,0.372175983728333,0.027635612711684243
2377,Pretraining<br>Data,-0.75,rank,0.6147240597460255,0.18036478389055505,KLD-PP:NN,0.7950888436365806,0.43435927585547046
2376,Pretraining<br>Data,-0.75,gain,0.28294573643410853,0.3740519759083683,KLD-PP:NN,0.6569977123424768,-0.09110623947425978
2375,Pretraining<br>Data,-0.75,delta,-0.011797505293705664,0.033080615859551,KLD-PP:NN,0.021283110565845337,-0.044878121153256664
1295,Co-Training<br>Data,-0.75,delta,0.00956634118267425,0.036163797124318046,SEMANTIC,0.045730138306992296,-0.026597455941643797
1296,Co-Training<br>Data,-0.75,gain,0.6550387596899224,0.36674749347501784,SEMANTIC,1.0217862531649402,0.2882912662149046
1297,Co-Training<br>Data,-0.75,rank,0.5020971518670344,0.1995569906983902,SEMANTIC,0.7016541425654246,0.30254016116864424
1298,Co-Training<br>Data,-0.75,regret,0.18201599625961284,0.17011333188012615,SEMANTIC,0.35212932813973896,0.0119026643794867
1299,Co-Training<br>Data,-0.75,weightedtau,-0.016526490264272345,0.1963614502012854,SEMANTIC,0.17983495993701304,-0.21288794046555776
669,Augmentation<br>Policy,-0.75,weightedtau,0.13060583227761213,0.2158622741851784,VDNA-PP:NN-1000-BINS,0.3464681064627905,-0.08525644190756626
668,Augmentation<br>Policy,-0.75,regret,0.15940806977189592,0.1514094011070884,VDNA-PP:NN-1000-BINS,0.3108174708789843,0.007998668664807529
667,Augmentation<br>Policy,-0.75,rank,0.5956454559894119,0.17872658990078072,VDNA-PP:NN-1000-BINS,0.7743720458901926,0.41691886608863116
666,Augmentation<br>Policy,-0.75,gain,0.6627906976744186,0.39768672942672095,VDNA-PP:NN-1000-BINS,1.0604774271011395,0.2651039682476976
665,Augmentation<br>Policy,-0.75,delta,0.004401436032250878,0.05163895728457796,VDNA-PP:NN-1000-BINS,0.056040393316828835,-0.04723752125232708
1839,Model<br>Architecture,-0.75,weightedtau,0.02804545748858359,0.16134402770504677,KLD-PP:NS-W:SN-1000-BINS,0.18938948519363036,-0.13329857021646319
215,Augmentation<br>Policy,-0.75,delta,0.0035501348879910326,0.05582034034710766,KLD-PP:NN,0.05937047523509869,-0.05227020545911663
216,Augmentation<br>Policy,-0.75,gain,0.6511627906976744,0.40553999099783683,KLD-PP:NN,1.0567027816955112,0.24562279969983752
217,Augmentation<br>Policy,-0.75,rank,0.5927081133751055,0.173989943544964,KLD-PP:NN,0.7666980569200695,0.41871816983014154
218,Augmentation<br>Policy,-0.75,regret,0.16143268370048672,0.1488100776491845,KLD-PP:NN,0.3102427613496712,0.012622606051302221
1209,Co-Training<br>Data,-0.75,weightedtau,0.005596006338860919,0.18788306693752263,KLD-PP:NS-W:TS-100-BINS,0.19347907327638356,-0.1822870605986617
1208,Co-Training<br>Data,-0.75,regret,0.17502832232982612,0.17082982604406377,KLD-PP:NS-W:TS-100-BINS,0.3458581483738899,0.004198496285762354
1207,Co-Training<br>Data,-0.75,rank,0.5288605646839322,0.2002066171190833,KLD-PP:NS-W:TS-100-BINS,0.7290671818030154,0.3286539475648489
1206,Co-Training<br>Data,-0.75,gain,0.6627906976744186,0.3808974131407108,KLD-PP:NS-W:TS-100-BINS,1.0436881108151295,0.28189328453370777
