,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.04697077996528648,0.05053302469722125,0.09337593142645527,0.16960667099949145,0.1766653642477573,0.26071785870603587,0.18165439479500234,0.20692382187542957,0.2695373170683014,0.16863939114199825,0.1650027971402238,0.21086856101544338,0.18909136014353733,0.29651884383160876,0.29502764893671735,0.09791394878918093,0.09778320865154308,0.1554899396736551,0.14472224658248353,0.08607685166221313,0.08756204267748804,0.08685912440084285,0.08630392464996536,0.08608265208662091,0.08648639926453783,0.08621296194919921,0.1704862413309471,0.1898234910639589,0.1757113085991318,0.22908080915510784,0.1955436762950526,0.24981200989602045,0.19907945579527891,0.19941489932555628,0.20431051709028947,0.19762867897713438,0.20475582726392555,0.19721219206546164,0.1967999794482419,0.20586944220074346,0.2051610461183936,0.20102107449084017,0.1951990131505293,0.19616990895934888,0.20767222790045722,0.21660165531839037,0.1862194551264164,0.2198573935092155,0.19245411820010477,0.2663791563069339,0.2614224475096715,0.22720538716756275,0.26669785305462285,0.267006207145143,0.26749016037228396,0.2675284636390436,0.22774919392652387,0.22195527274487367,0.22114722269082016,0.23413303625218448,0.3239565805085147,0.23487400042924675,0.19976690637862005,0.21308418684609817,0.23650604016027407,0.2154480587328198,0.21485616203079927,0.2268696091738448,0.2084061460949131,0.24838990423834423,,0.05491697564732166,0.05070650815820599,0.09480168618872208,0.26143743004715236,0.18152902643440136,0.2696883055832199,0.21173557051260483,0.2955860238793959,0.09630914670097132,0.09716059955551888,0.15678684669636514,0.14384079629674906,0.08700994919672964,0.08630330109165224,0.0885604975826395,0.09008156091247775,0.08904955801937173,0.0840695684313647,0.08805095999559945,0.1933853733775655,0.22977187930183848,0.24862840449389678,0.20071898639547686,0.20153508295687034,0.20402748619696393,0.20058122783042215,0.20283395806045135,0.19729104149117754,0.19402198318873182,0.20413134528928162,0.20656360762392825,0.2011115783349136,0.19592340977142186,0.19778618574411588,0.20900327471437719,0.21814360432640884,0.21915212730129557,0.19073805839927824,0.26657896063760056,0.266742919366211,0.2677373895186923,0.2672127162599185,0.2668798585024357,0.22707506757550247,0.22346477264836023,0.22027369760268173,0.2347171587514743,0.19948753711286274,0.21385353499359447,0.23534669936428204,0.215112143874022,0.21545856295569665,0.22547958875982,0.20870027640264552,0.24783564279024345
lapgyn4_surgical_actions,0.04697077996528648,0.0,0.016031226649288,0.025314551811358624,0.21567762128231588,0.22393973190983935,0.31881899244676165,0.19081289050676767,0.24195416355581184,0.3009860323740796,0.19238591635564958,0.18323646318501166,0.22604397512102248,0.21236808863903836,0.3194227322767305,0.32582301260418606,0.13028746891038676,0.13191541394737488,0.1654781092724275,0.14455921913772998,0.06451115086084508,0.06586222519501254,0.06456686038508158,0.06460883203239792,0.0643593671972538,0.06497641601502205,0.0642857051535518,0.21116284502936394,0.1753605445818308,0.2105916553318753,0.2758133781802935,0.25504458370724603,0.27438920032399106,0.1970606728700196,0.1969196853450905,0.20070155154843478,0.19575920810247074,0.20171518132478397,0.19498461033809375,0.1952305773264883,0.2036061058369314,0.20092641994354032,0.19809895794859853,0.19343346510403442,0.1955253369179053,0.20393543160759434,0.22434092547272472,0.22763796212602652,0.22497230399912727,0.25242255630501237,0.31103649717929094,0.24303423121342538,0.2265828685733032,0.31132388627399554,0.31141362047181553,0.31166208102215975,0.3118087663125949,0.23258007644374293,0.23417075439499774,0.23442606291381674,0.2637368188023974,0.36337326894649163,0.21734538497049308,0.19278357433674465,0.2149861857740835,0.2173945219347278,0.202509909649612,0.20279540746780442,0.21409102184267254,0.2277645047639919,0.2829420187262325,0.04792861592299186,,0.014928807461910217,0.02534703333858019,0.31961062924128825,0.19094512040218264,0.30039579262508165,0.22761282079571632,0.31840149204095997,0.12960356163776265,0.1308756938013876,0.16645031187852774,0.14438676711361037,0.06584487347409146,0.06495508908669059,0.06554817177387248,0.06748733004391114,0.06402668676145418,0.06312102584063238,0.0672911784749915,0.1765829999853683,0.2760349874229929,0.273423023586243,0.19789189598352186,0.19769108866852683,0.2002855514958621,0.19734769258003593,0.20096531750194066,0.19544366350839676,0.19348592437083428,0.20168834580988254,0.20168979007523874,0.1986326541974035,0.1939764454739909,0.19577662597699602,0.20454448661301183,0.22467999513978695,0.22504873221074634,0.25053096833580185,0.31114703229970836,0.311143538495697,0.3122777753733774,0.3116004518198351,0.3115154462703732,0.23179823876580427,0.23544894415198198,0.2337641956588065,0.21738342341102,0.1918003656636674,0.21450853912450685,0.21688890820531204,0.20277797679790943,0.20445362980625795,0.21367837725850763,0.22784280822665853,0.2818441151068834
lapgyn4_instrument_count,0.05053302469722125,0.016031226649288,0.0,0.019744483142967305,0.1952768149958636,0.19855911001289675,0.2872161530350767,0.19431872636429032,0.2138586110295395,0.27625444725100373,0.17094071863043286,0.162775963056045,0.2096796242372671,0.19471274719689882,0.29629037933204755,0.2993953152760571,0.12346244974819287,0.12672719673038424,0.17316963401813784,0.1644046498032613,0.055464772135880164,0.057177684635386965,0.055729695407306504,0.055528041128770536,0.05558909200718863,0.056046576987043725,0.055343085056361145,0.19175211709214862,0.1902449951467951,0.20926750508345832,0.2508905231141798,0.222895150519283,0.2604398842082303,0.20698868213704108,0.2080185327485585,0.21207301335558038,0.20594204543378067,0.21279674777611035,0.20524833540149348,0.20551674925956376,0.21449451950175602,0.2124471034761389,0.2088516084206094,0.20341530696183643,0.2054555464171282,0.21503915228406623,0.22583573959833542,0.2093164102132902,0.22882657454854857,0.22863874547681257,0.28643512169155205,0.25607544106702274,0.23302475854052593,0.28657612174077235,0.28685204485979354,0.287091062787753,0.2871711556820696,0.22436929953208515,0.22997337917051972,0.23056624225457345,0.2523228240477159,0.33965478853703035,0.2114034694356679,0.1912624738948689,0.19897515962776324,0.22123992236879134,0.19153770748335186,0.19762160973925,0.20522408331079323,0.21721147949688624,0.26523476777770033,0.051197206353535696,0.016903703245070553,,0.02149649498526509,0.28788426025269287,0.19428795035985547,0.27596621068985294,0.21080876924317143,0.29501951970988666,0.12270568689892516,0.12511516817375434,0.17452318319329063,0.1640783212934381,0.057155222977202165,0.055852450413664136,0.05775140936216963,0.058135761019001836,0.0554487525562644,0.05358986343487072,0.05718484231593207,0.19287848625203702,0.2512160871634696,0.25957830502502754,0.2086630091081086,0.20925948424814883,0.21142174455617857,0.20846611707324791,0.21119774194634391,0.2057202331245413,0.20331939323332274,0.21271539954400193,0.21368798897831773,0.20938703349838916,0.20397567281619816,0.2065854972608776,0.21598922829914985,0.22734658781063388,0.2288503933614287,0.227006565425839,0.28650893994215404,0.28652767466468837,0.28759792476025664,0.286956748383172,0.28674513735781393,0.22407602555272865,0.23104062171494452,0.22980573781672187,0.2114506935957435,0.19019438523668641,0.19873004422456622,0.22046306899976142,0.19156941707306857,0.1985519251463524,0.20430453962865724,0.21736333223779714,0.2645307190864511
lapgyn4_anatomical_actions,0.09337593142645527,0.025314551811358624,0.019744483142967305,0.0,0.248936788516364,0.24718948128200466,0.3353361747312817,0.23553277595823166,0.2542016286078108,0.31465953128331836,0.20964374162594104,0.2003823625730785,0.24907044948756582,0.23700414223067234,0.332559111005111,0.33865089388453334,0.1768716362533206,0.18000957926291422,0.2113916270365616,0.20137896910229175,0.09425269550341356,0.09588089932594515,0.09396023934503384,0.09408662931910475,0.09411103764596952,0.09479032800390275,0.09384982517169548,0.2417483712145277,0.20965290872654416,0.25575091056546295,0.30568450417095366,0.2770408560926929,0.30066224872171654,0.2376232384666075,0.23762932548991428,0.23981226156460295,0.23740439698651955,0.24040431409106447,0.23584872170361537,0.23735364299246373,0.2425999106540007,0.24009911853235305,0.23745157546014573,0.23513358360033032,0.2355125026110659,0.24129664104662013,0.26183275190149646,0.25652309257239353,0.2639141252238994,0.28230104608738055,0.3378493665876432,0.2747422677900456,0.26825864051196935,0.33815647500895457,0.33824375905277915,0.33825299934949676,0.3385890939588573,0.2668552577981252,0.27394012201881923,0.2749399889196929,0.2967130276007709,0.38607391129393587,0.2387119861443267,0.22603509512427494,0.2347562753918387,0.24323708163304084,0.22045648458800365,0.22394454053624485,0.23593280583126386,0.25242718382541973,0.3131797821225897,0.09418757407504777,0.026551458669323652,0.019331409732807208,,0.3360759582496755,0.2355291991745903,0.3144858174357206,0.2505113162213564,0.33115350072745886,0.17635486352063118,0.1787535535724737,0.2124301942744778,0.20119338774418014,0.0964119638267844,0.09474137568404506,0.09621877139766509,0.09706669130363656,0.0922386086795022,0.0927067624429237,0.09632892898891998,0.21118129905096533,0.3059328402988345,0.30013157657342915,0.2385848825538099,0.2382099123285248,0.23912530053473796,0.23921620631633733,0.23947654317999606,0.23636872539344847,0.23527075622813098,0.24095631570904832,0.24062349364718078,0.23815980106921003,0.236162802907591,0.23601292192957513,0.2421679345761752,0.2630383205193483,0.26392122192840695,0.2808627151604564,0.3378121268324047,0.33800957815285043,0.33910060791274776,0.3381522913034092,0.3382838725356276,0.26650068711408625,0.27484669815864027,0.27396190524408814,0.23887235429630496,0.22459200520875694,0.23404882156265855,0.24266306400119242,0.22082311869733126,0.22531066288566776,0.23538871647796875,0.25245596297099204,0.3124928956344313
sklin2_skin_lesions,0.16960667099949145,0.21567762128231588,0.1952768149958636,0.248936788516364,0.0,0.15078637028675163,0.19961376515029788,0.2280451273714767,0.16533367538434365,0.2213730355338773,0.14094358453107766,0.1387853886597593,0.1875694653342691,0.1603199561453968,0.2483891502411985,0.24209343866551647,0.12392065048584913,0.13859818088916842,0.22459850670725284,0.236751584637566,0.2030587955702795,0.20510145104908659,0.2050614869902124,0.20317138011408248,0.2038292216750346,0.20385353220141586,0.20431770962357954,0.06278055735441021,0.23221700045240065,0.14055495278132218,0.1911744462181534,0.1003958119184611,0.23474874960776815,0.23545660832671755,0.23815358808300519,0.24346199306723568,0.23447068331601473,0.24407633862392974,0.2337853371700238,0.23313998024996796,0.24550509217705607,0.24612766804610658,0.23862050222251374,0.22857513657015432,0.2369996971088784,0.24608052787622903,0.25207363239401315,0.0565223398240869,0.25969355314470277,0.08618017653473926,0.1910263859528721,0.31132436303272476,0.23877458803766738,0.19155222667495758,0.19216087764737327,0.19246821764428773,0.19277317201312924,0.1701931306356635,0.15978219161091667,0.16091898463802093,0.1880165875059382,0.26080060953420753,0.26022003962485374,0.2283896828225634,0.2225871512699636,0.2839422484693608,0.2359093012932404,0.2452857517827792,0.23661167415152604,0.18586762159387388,0.1752756961519195,0.16790862806686582,0.21297127411856465,0.19922604854129908,0.25220000265493514,0.19992750479585777,0.22665458563430924,0.22143091308433394,0.18729614040392906,0.24749599314942672,0.12388057256933874,0.13576017542488877,0.2255800631129059,0.23763140955280093,0.20186877195072236,0.20346851247848502,0.2078130972050926,0.20719067755591533,0.20897607661545348,0.20193208193407836,0.2005512434906661,0.2384657190673898,0.19133762854521041,0.23347452785128925,0.2391513684572015,0.24185617985283653,0.24286079875098804,0.23885225459930182,0.24009431298029107,0.23399587085080562,0.22896403107281948,0.24366319300914663,0.2475535101355083,0.23908381067893622,0.2290159443864965,0.24050328677125882,0.2485480231054143,0.2549327868491428,0.2586901930199301,0.08590867672129182,0.1913862895284102,0.1913971879454498,0.19282868015291377,0.19185554820113962,0.1919187271002682,0.16897053639900578,0.15973670915467264,0.16012890687192677,0.26066704002289603,0.22731035997190613,0.22376586619960312,0.2823513972512855,0.23527106186922334,0.24448806398878464,0.23359078886665896,0.18607331991887296,0.17428228691577136
identify_nbi_infframes,0.1766653642477573,0.22393973190983935,0.19855911001289675,0.24718948128200466,0.15078637028675163,0.0,0.08143429432652319,0.27854493383436896,0.10884435690300182,0.1263342962379746,0.09781057802413631,0.09820873352335248,0.15046792265727074,0.1172201357913683,0.17313911282738845,0.1643502651103005,0.1623406146887261,0.17678694956273142,0.2597165706279702,0.27180248162502496,0.22877851991398765,0.2317049112864788,0.23037769559669202,0.22819010563207595,0.22980564995104108,0.2299738016864295,0.23117568292637425,0.11393552551202647,0.22125474747755386,0.13795736775369666,0.13444486846625756,0.11598954393311012,0.2152475227659632,0.25562425453218285,0.25080611710074074,0.2520407055112559,0.2569652019184614,0.2499285388302917,0.25347066736367585,0.2544919705612626,0.2514076417789821,0.2581938973478921,0.2500474350098441,0.2543335788985483,0.2477670664810221,0.25087483974309976,0.23862532624824492,0.12011090211667849,0.25053717517603824,0.09163228801030919,0.21370673899134202,0.3405344986503248,0.2587695287743439,0.21385334510005863,0.21450525148342972,0.21465328435547099,0.21523137693750444,0.2546938579548329,0.2519454431517735,0.25281735912687664,0.13032544666068507,0.26735928215159027,0.24167376480862685,0.23720679080936885,0.1964458808065293,0.29836490853248326,0.21081715373459192,0.23021423175122221,0.22549798578652028,0.18195211064395092,0.22435532595156882,0.1754630690059077,0.21427296826958803,0.2019507823313075,0.2514952228520875,0.08113022505934622,0.27641733356970966,0.12832243736332627,0.1498232642861082,0.17155614772349542,0.16042580849866217,0.17304204496707337,0.26185896296944644,0.2717544785649257,0.2277823970263726,0.22732739536975088,0.23454670291596336,0.23363483894578596,0.23441247776224397,0.22767001170648582,0.22486580991261282,0.22872264835142025,0.1357330375341006,0.21437439228505872,0.2578210216320105,0.25463789199210285,0.2518746992687375,0.2644118746114433,0.24470478744057697,0.2521494908276373,0.24956598439466546,0.249636016462787,0.259237694126313,0.24991555971638912,0.2565579040793828,0.25153533851096266,0.2546110812014253,0.24279925287790155,0.24934764428686584,0.09118958533280146,0.21376825266106414,0.21443164034162532,0.2145450924425889,0.21398653320240923,0.21457141131262708,0.25584242859914563,0.25274064230178916,0.25033655301949054,0.24153579702301775,0.23608662419020215,0.19815341781096024,0.29646428348581666,0.210277092575145,0.22802718340327743,0.22223377615441875,0.18293039478027576,0.2246412621942002
laryngeal_tissues,0.26071785870603587,0.31881899244676165,0.2872161530350767,0.3353361747312817,0.19961376515029788,0.08143429432652319,0.0,0.357133693244908,0.1217316248985057,0.12696092994726108,0.12069579945973727,0.1257191119308843,0.15828368487811917,0.12612664171753132,0.195183151668625,0.18251755601492295,0.2513136904897715,0.2653996858941649,0.34471429291284994,0.37774795930270166,0.3325694381266706,0.33562386396703625,0.3342597401921224,0.3319541246302563,0.3335215311302824,0.33377327043149657,0.3348179970513086,0.15499321666891674,0.3028731570376322,0.20725463627035168,0.17795311415588178,0.14799796579363483,0.27478931723205174,0.3449988312637304,0.3420842404013877,0.3407692557973357,0.34779291188005435,0.33851316809448445,0.3438114142809345,0.3459461619082409,0.33989409192541303,0.347341677879606,0.3393620483452576,0.34527680070494593,0.33658001727474973,0.3378725303891616,0.31462192205741846,0.17172724836773334,0.3289893125668252,0.11734998695835253,0.253176465569718,0.42253621932864704,0.34326882799503156,0.2534171468689958,0.2539335924748697,0.25396408150368777,0.25481073103897955,0.3085199874362311,0.3043919297169174,0.30589951337060245,0.17830246706370573,0.3032651129328862,0.30380338740026713,0.3165654694875358,0.268053317166135,0.3688590878285789,0.28089068194885086,0.3016107763857796,0.2952219320090318,0.23416250512114076,0.27529749137041876,0.2592455097037173,0.31378436251340236,0.2911720991176283,0.33951305510318996,,0.35476953179777276,0.1299030280477067,0.15732152302969749,0.19310565548206596,0.2497839211678511,0.2626670731838715,0.34682500799070104,0.37771282889779373,0.33166931414158796,0.33135521922320554,0.3390964003189826,0.3378200070086179,0.3381986089091843,0.3308355988800702,0.32837806851368767,0.3117598102536053,0.17890182542776475,0.27428316181918805,0.34733252312627133,0.3463684422993716,0.3403303476699039,0.3554360239350218,0.3331235242186277,0.34263173597088364,0.3406587039639805,0.3391145653232655,0.3480837569854933,0.3386415815667262,0.34782166669585235,0.34063832529587446,0.34238023593391553,0.31950831534978485,0.3274487178406611,0.11784306260781663,0.25320060433344194,0.2540440764511154,0.2537697674557092,0.25327840772172483,0.254265803213346,0.309497195517353,0.3051363792590555,0.3034091198062979,0.30397935194662007,0.3150379777251126,0.2695249586737597,0.36720544480760275,0.28017209191448966,0.2995553497690009,0.2920293197889831,0.23553936502349457,0.275897068046362
nerthus_bowel_cleansing_quality,0.18165439479500234,0.19081289050676767,0.19431872636429032,0.23553277595823166,0.2280451273714767,0.27854493383436896,0.357133693244908,0.0,0.29680389170894916,0.3088607100228725,0.23193710265731338,0.2197068909407207,0.24272891653587605,0.2298300530469255,0.34379628448212307,0.3489619341065277,0.10430090727539248,0.08722087714038015,0.03151204122065241,0.08302099592489144,0.15173552276350424,0.1517517059691854,0.15166399478241027,0.1518612739919981,0.15192485525425206,0.15174280916812113,0.15224084021808154,0.23572489248962486,0.15811639652297232,0.25839812556459085,0.3089915680395866,0.29673430089925323,0.26911148247913397,0.23500571937690998,0.22915219419955862,0.2343188650500634,0.23137236300833008,0.23366691677926188,0.23090271588126787,0.22880371062357607,0.23652165359967864,0.23834953830556793,0.23165333777284963,0.2285283992920744,0.23562692397663873,0.23797972342638185,0.2772500904626654,0.24788448197808555,0.2791070800101222,0.28336525006315383,0.2996912401102683,0.30829700903120827,0.21154652447763594,0.29976431292123584,0.30012526364776404,0.3008519076301287,0.3003086918648869,0.16092196155743888,0.15790520702609254,0.1563011586959121,0.30126408750428424,0.35010119424470426,0.2580978346272863,0.19879499712239804,0.2247839803404207,0.2526625168535188,0.23793868341160065,0.2198880695803206,0.2264927554093991,0.28668058470050695,0.2594510211067912,0.18135670247036106,0.19802871501643132,0.19516473542693527,0.23532879404125648,0.3578182698380549,,0.3064160315054049,0.24193190773308487,0.3437357471378953,0.10437920932783137,0.09063851445369378,0.03163379651340932,0.08255878649749482,0.15028480306537617,0.15303079862910896,0.15376492104240758,0.15300790098785744,0.1542874866017358,0.15126054953620174,0.15100774434138378,0.15884347848361302,0.30962363755780525,0.267753355751814,0.2374366093556431,0.23110022869228508,0.23376273028409508,0.23363138311328144,0.2325271213967323,0.23114615580900144,0.22709921889903478,0.2350157903888414,0.24033798197646186,0.2328809197958875,0.22789010927183367,0.23613776022119198,0.23923178802026282,0.2775845327038381,0.2795599268041755,0.28215059889671396,0.3003805683796877,0.29962407326291624,0.3006252465133824,0.30077397087075025,0.2996391945470338,0.15995185059216874,0.15950554119364796,0.15509103498555088,0.2588305889070167,0.19736852527532406,0.22468854930985152,0.25218133319896663,0.23735411252756144,0.2213085492018026,0.22574879184150096,0.2868802037484637,0.25780006107565195
stanford_dogs_image_categorization,0.20692382187542957,0.24195416355581184,0.2138586110295395,0.2542016286078108,0.16533367538434365,0.10884435690300182,0.1217316248985057,0.29680389170894916,0.0,0.15691619315774197,0.044278442366404644,0.045152492749306876,0.10030745658850584,0.08734062677571267,0.17725141059911112,0.1729605166036552,0.19725915362288352,0.2142505157461261,0.2805249341702988,0.2995080382582972,0.26590866342689634,0.2685990892126074,0.2673116933244282,0.26537899480458077,0.26660998663844715,0.2672248982712133,0.2676090899027256,0.12959464557479106,0.2571530916054307,0.16553773471711858,0.15851795098906715,0.11940050376012172,0.21548721616289945,0.27816580368249455,0.2737893174366981,0.2739648796617942,0.28012108455578677,0.27224845677686327,0.2766790746932515,0.27752000509149033,0.27355282718029017,0.27956551622344994,0.27288721609075706,0.27913561110335444,0.2708906529916635,0.2729145121298401,0.2692632957320992,0.1467077104521109,0.28036369589484794,0.12656054398729238,0.21622436459163258,0.3450032958201926,0.250220903068505,0.21663382154105634,0.2170992320271113,0.21690444313907653,0.21772727208837345,0.24937095548692162,0.2424539118484833,0.24397083926577312,0.16868401077496603,0.26056334884186405,0.232729055602159,0.2506082709288041,0.20294870454691505,0.29291245070071265,0.20251080370448427,0.22527394711498044,0.21931122901229655,0.17586436192201432,0.22609578095725236,0.204921975512104,0.23328330272249131,0.217228242073507,0.25844318395157934,0.12146283394915797,0.29498285987775763,0.15775104116896943,0.10156737634563485,0.175944030495748,0.19569434278752618,0.21176812684131519,0.28203224902005886,0.29993420007832966,0.26591040325728704,0.2659895669907102,0.2723981271947192,0.2701446301758459,0.2711786332158448,0.26519943467848417,0.262294334408122,0.2640909429944549,0.15926494171912953,0.21544086650782313,0.28063647063504965,0.2775749367769283,0.2740508042577965,0.2865931012191257,0.2679159847607432,0.27669004636297256,0.2734367617892189,0.27238878636639163,0.2802062519919962,0.27292714327767476,0.28031644857767296,0.2732367126805584,0.2764925224874071,0.27308841802166683,0.27928019204092913,0.12673360783594184,0.21612673120870535,0.21716086890422232,0.21728168826781447,0.2163593053441626,0.21721653245131278,0.24956670279942855,0.2434874662320137,0.2416594388056895,0.2328018784781784,0.24842644636269418,0.2040948982732166,0.29132692803133065,0.20179647596886768,0.22381602585200935,0.21676983047333878,0.17640055447730152,0.22635158666770444
svhn,0.2695373170683014,0.3009860323740796,0.27625444725100373,0.31465953128331836,0.2213730355338773,0.1263342962379746,0.12696092994726108,0.3088607100228725,0.15691619315774197,0.0,0.13142188210760247,0.1298059878423011,0.09410803587753086,0.07089000946998056,0.13527841460046872,0.1263096702631984,0.2442556967010971,0.2536089244355616,0.2992766799701404,0.32589207625105265,0.30651365187484,0.3092384728337333,0.3078989225049322,0.30621117372791684,0.30746518483710134,0.3077520490852377,0.3089150035389693,0.19248634727466774,0.27489183589174215,0.21208455128017828,0.19970375867533957,0.20337206631069057,0.2718544487314011,0.300213662977622,0.2936241260617653,0.2928909528709962,0.3009838969541932,0.29050690296883386,0.2978210013006509,0.29875383580353554,0.29239947567394414,0.2996126795507449,0.2920174491030254,0.2987175256254241,0.2905096343877139,0.2912961960654682,0.2906545632835247,0.20584900593492417,0.3021510125498713,0.17660728239720486,0.27562282431404483,0.37917108568180896,0.30198736339084964,0.2755687306147853,0.2763818490668512,0.2762967456561751,0.276679541310766,0.2819997172000581,0.2781615217488468,0.27983777807687393,0.205288170629846,0.32469550983979184,0.25097799778227137,0.2722723167178643,0.23124923884251664,0.3101076813386667,0.23693894212561156,0.2382947061457896,0.24396177826849907,0.24211921702725564,0.2847369073246973,0.2689360898862467,0.29667819628016934,0.27910316012754166,0.3175486712471728,0.12698822049008962,0.3067205124585504,,0.0926658437819726,0.13441325447781155,0.24300391067198224,0.2514386673367825,0.30067596334097196,0.3265893601459639,0.30541633039008365,0.3057578853396473,0.3122592871899096,0.3117546406534598,0.31131296201481223,0.3062405251394742,0.3032021387961842,0.2821066926075279,0.20018169886251702,0.2713438585939198,0.302569475109028,0.29721567839088303,0.29234288589567864,0.30764442255742086,0.28571684859826274,0.2971660969367266,0.29463118681223655,0.2917526285544453,0.30041745017575294,0.29199529522119916,0.30142014110206494,0.2935153163583931,0.2945713009798722,0.2948743570752492,0.30106415445102375,0.17699593790253915,0.27573879780384747,0.2760302925369696,0.27625722375258177,0.2756379922191814,0.27617518005828423,0.2825508980762719,0.27805965843146774,0.2775508936539087,0.251534702733059,0.271051825894492,0.2324846288067838,0.30917269098257677,0.23635673155776377,0.23680332638994422,0.24142599563124892,0.24289805628607275,0.2848767688283521
