,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.028085947036743164,0.035247981548309326,0.0637083649635315,0.24013590812683105,0.20539915561676025,0.4652023911476135,0.16533678770065308,0.3268349766731262,0.5064354538917542,0.2352190613746643,0.2278892993927002,0.3674936294555664,0.343538761138916,0.4927612543106079,0.5087130665779114,0.09177565574645996,0.08702075481414795,0.12984693050384521,0.11392372846603394,0.060923218727111816,0.06171095371246338,0.06115502119064331,0.06103271245956421,0.06046485900878906,0.06063181161880493,0.060326337814331055,0.24678534269332886,0.20332759618759155,0.2666846513748169,0.3472609519958496,0.2965114116668701,0.36211544275283813,0.2369113564491272,0.2424820065498352,0.2523435950279236,0.23380166292190552,0.2549141049385071,0.23453181982040405,0.23414969444274902,0.2552359700202942,0.24807018041610718,0.24629271030426025,0.23144584894180298,0.24025249481201172,0.2596825361251831,0.28480321168899536,0.2657439112663269,0.28253477811813354,0.2815733551979065,0.3784564733505249,0.2676182985305786,0.2943856120109558,0.3791232109069824,0.37889325618743896,0.38007843494415283,0.3794691562652588,0.2788556218147278,0.28060632944107056,0.2785192131996155,0.4071805477142334,0.44802266359329224,0.3225395083427429,0.2447463870048523,0.29444849491119385,0.26777327060699463,0.29941505193710327,0.2862843871116638,0.30168014764785767,0.30353808403015137,0.35441267490386963,,0.03782165050506592,0.03443259000778198,0.06436765193939209,0.46569913625717163,0.16480261087417603,0.5046100616455078,0.3696390390396118,0.49221014976501465,0.09043067693710327,0.08590346574783325,0.1311030387878418,0.11237192153930664,0.06212794780731201,0.060610949993133545,0.06088733673095703,0.0631515383720398,0.06152212619781494,0.05890536308288574,0.06403106451034546,0.20415711402893066,0.34785646200180054,0.35988426208496094,0.23924720287322998,0.24187320470809937,0.2513766288757324,0.2328440546989441,0.25568264722824097,0.23538494110107422,0.2325904369354248,0.2538300156593323,0.2505268454551697,0.24752575159072876,0.22962790727615356,0.24072587490081787,0.2583550214767456,0.28427690267562866,0.2832382917404175,0.2769928574562073,0.37928277254104614,0.3784445524215698,0.379716694355011,0.3802146911621094,0.37894803285598755,0.2777087688446045,0.28202420473098755,0.27891236543655396,0.3233875632286072,0.24384433031082153,0.294979989528656,0.26714253425598145,0.29928940534591675,0.2878771424293518,0.30111753940582275,0.304388165473938,0.35307377576828003
lapgyn4_surgical_actions,0.028085947036743164,0.0,0.01039743423461914,0.018794775009155273,0.26607567071914673,0.22071504592895508,0.4805449843406677,0.1705796718597412,0.33539360761642456,0.5006154179573059,0.22327882051467896,0.21176135540008545,0.35694074630737305,0.3375586271286011,0.4747236371040344,0.4944508671760559,0.11922508478164673,0.11409503221511841,0.14089339971542358,0.11697566509246826,0.046603262424468994,0.04731905460357666,0.04657679796218872,0.046718060970306396,0.046114444732666016,0.046449899673461914,0.046088457107543945,0.2578679919242859,0.1821492314338684,0.2837126851081848,0.37051087617874146,0.33932363986968994,0.3607286810874939,0.2369060516357422,0.24094104766845703,0.24891626834869385,0.23430246114730835,0.2514494061470032,0.2343328595161438,0.23427915573120117,0.25265729427337646,0.24542659521102905,0.24372589588165283,0.23147761821746826,0.23985940217971802,0.25525426864624023,0.28919410705566406,0.286538302898407,0.2859910726547241,0.3146669864654541,0.3938677906990051,0.2627580165863037,0.2777811884880066,0.3944491147994995,0.3940964341163635,0.395052969455719,0.3944966793060303,0.26754313707351685,0.2766530513763428,0.2758191227912903,0.39366090297698975,0.45396751165390015,0.29331761598587036,0.23268526792526245,0.28143948316574097,0.2443910837173462,0.270979642868042,0.26145243644714355,0.27788597345352173,0.3069272041320801,0.3641568422317505,0.0284346342086792,,0.009408056735992432,0.018931865692138672,0.4809858798980713,0.1702253818511963,0.4985865354537964,0.359214186668396,0.47385478019714355,0.1187700629234314,0.11242103576660156,0.14180785417556763,0.11603432893753052,0.047828853130340576,0.046393394470214844,0.04632073640823364,0.04852426052093506,0.045565009117126465,0.04488050937652588,0.04929858446121216,0.1817491054534912,0.3708733320236206,0.35866647958755493,0.2386234998703003,0.2399018406867981,0.24753451347351074,0.23287516832351685,0.25256311893463135,0.23514163494110107,0.23341214656829834,0.25108420848846436,0.24703764915466309,0.2452988624572754,0.22967368364334106,0.23943281173706055,0.25389164686203003,0.28810423612594604,0.2870748043060303,0.3098098039627075,0.3946242332458496,0.393677294254303,0.39489680528640747,0.3954004645347595,0.39432013034820557,0.2666126489639282,0.2778592109680176,0.2758256793022156,0.2942754626274109,0.23142534494400024,0.28061234951019287,0.24400252103805542,0.2714887857437134,0.26344358921051025,0.27806055545806885,0.3077099919319153,0.36275559663772583
lapgyn4_instrument_count,0.035247981548309326,0.01039743423461914,0.0,0.01270139217376709,0.2516234517097473,0.22114920616149902,0.4727312922477722,0.17274385690689087,0.32585638761520386,0.49124032258987427,0.2145264744758606,0.20291739702224731,0.3517959713935852,0.33229851722717285,0.4623602032661438,0.4806014895439148,0.11817687749862671,0.11166417598724365,0.14850974082946777,0.13133001327514648,0.03780388832092285,0.038717567920684814,0.037827253341674805,0.03785985708236694,0.03749239444732666,0.03779268264770508,0.03729444742202759,0.2559661269187927,0.19682449102401733,0.29801881313323975,0.35902804136276245,0.32659924030303955,0.3637245297431946,0.2456149458885193,0.25220155715942383,0.2614900469779968,0.24291694164276123,0.2642669677734375,0.24348431825637817,0.243380606174469,0.26494401693344116,0.25692254304885864,0.2550032138824463,0.2395992875099182,0.24966442584991455,0.26841557025909424,0.2920306921005249,0.28601527214050293,0.28983867168426514,0.3173448443412781,0.3760642409324646,0.2724037170410156,0.28446608781814575,0.3765731453895569,0.37629449367523193,0.37731897830963135,0.3766622543334961,0.2568572759628296,0.26972419023513794,0.2693033218383789,0.4067269563674927,0.436958372592926,0.29014474153518677,0.23141759634017944,0.2701115608215332,0.24796020984649658,0.263450562953949,0.25813359022140503,0.2713785767555237,0.30947601795196533,0.3490442633628845,0.035463690757751465,0.01443791389465332,,0.01368933916091919,0.47308284044265747,0.17256438732147217,0.48938995599746704,0.3538755178451538,0.4612668752670288,0.11777377128601074,0.10971784591674805,0.14942717552185059,0.1302674412727356,0.03935098648071289,0.03758549690246582,0.037986040115356445,0.03940916061401367,0.03672999143600464,0.03603440523147583,0.03996056318283081,0.1969471573829651,0.3593704104423523,0.3617236614227295,0.24808931350708008,0.2513236999511719,0.25978022813796997,0.24177879095077515,0.26499468088150024,0.24444538354873657,0.24224478006362915,0.26335608959198,0.2593204379081726,0.25668442249298096,0.23751729726791382,0.24977433681488037,0.26691240072250366,0.29145944118499756,0.2909371852874756,0.31267428398132324,0.37682443857192993,0.375873327255249,0.3771291971206665,0.37764865159988403,0.3764473795890808,0.25619977712631226,0.270530104637146,0.26948171854019165,0.2910255789756775,0.22984635829925537,0.26927649974823,0.24761205911636353,0.26372450590133667,0.2597707509994507,0.2714197039604187,0.31023645401000977,0.3479449152946472
lapgyn4_anatomical_actions,0.0637083649635315,0.018794775009155273,0.01270139217376709,0.0,0.29475975036621094,0.2561204433441162,0.49584782123565674,0.2163955569267273,0.3487294316291809,0.5138256549835205,0.23709142208099365,0.2260526418685913,0.3760783076286316,0.3588263988494873,0.4806419014930725,0.5011240243911743,0.16978812217712402,0.16113126277923584,0.18951624631881714,0.16926443576812744,0.06960535049438477,0.07066941261291504,0.06940692663192749,0.06963074207305908,0.06915253400802612,0.06957769393920898,0.06898796558380127,0.2894998788833618,0.21717321872711182,0.33408498764038086,0.40206944942474365,0.3672335743904114,0.3929590582847595,0.2776329517364502,0.2834767699241638,0.29084086418151855,0.27589350938796997,0.29348206520080566,0.2756626605987549,0.2765390872955322,0.29461872577667236,0.2863522171974182,0.28533244132995605,0.27270621061325073,0.2802196741104126,0.2962108850479126,0.3222770094871521,0.3206945061683655,0.3198225498199463,0.35341161489486694,0.41859549283981323,0.29556190967559814,0.3158022165298462,0.4192383289337158,0.4188329577445984,0.4196351170539856,0.41919034719467163,0.29684215784072876,0.31244349479675293,0.3125244975090027,0.42959773540496826,0.47230809926986694,0.3153560161590576,0.26597684621810913,0.30319273471832275,0.270624577999115,0.2900288701057434,0.2805628776550293,0.30078423023223877,0.33167749643325806,0.3891158699989319,0.06398940086364746,0.02338486909866333,0.012463510036468506,,0.49621427059173584,0.21618425846099854,0.5123522281646729,0.37853455543518066,0.47935056686401367,0.16933321952819824,0.15930408239364624,0.19038426876068115,0.1683691143989563,0.07169324159622192,0.0694953203201294,0.0698937177658081,0.07155215740203857,0.06727677583694458,0.06784391403198242,0.07198667526245117,0.21679991483688354,0.40241819620132446,0.3914201855659485,0.279438853263855,0.28243207931518555,0.2891865372657776,0.2743951082229614,0.2943008542060852,0.27650564908981323,0.27553802728652954,0.29320669174194336,0.28774070739746094,0.28700482845306396,0.27107447385787964,0.27970266342163086,0.2948272228240967,0.3215456008911133,0.32086557149887085,0.3490299582481384,0.41917383670806885,0.4184918999671936,0.41971760988235474,0.4199959635734558,0.419053852558136,0.296100378036499,0.31331831216812134,0.31227827072143555,0.3161618709564209,0.26421815156936646,0.301877498626709,0.270393431186676,0.29081690311431885,0.2823808193206787,0.3009868860244751,0.33237993717193604,0.38810980319976807
sklin2_skin_lesions,0.24013590812683105,0.26607567071914673,0.2516234517097473,0.29475975036621094,0.0,0.24215829372406006,0.40032607316970825,0.23609232902526855,0.3351552486419678,0.44373470544815063,0.2417963743209839,0.23089665174484253,0.36291927099227905,0.33133649826049805,0.4341857433319092,0.4378346800804138,0.16487324237823486,0.17502528429031372,0.23433160781860352,0.24060821533203125,0.21622174978256226,0.21651756763458252,0.21722358465194702,0.21668940782546997,0.21666604280471802,0.2168474793434143,0.21606826782226562,0.07346946001052856,0.2688412070274353,0.22241568565368652,0.3054565191268921,0.14878547191619873,0.3081841468811035,0.2832384705543518,0.2931520342826843,0.30315840244293213,0.27978307008743286,0.3061707615852356,0.28070998191833496,0.278739869594574,0.3074812889099121,0.3016047477722168,0.29444420337677,0.2702867388725281,0.29419440031051636,0.31106406450271606,0.34817540645599365,0.07378894090652466,0.3471564054489136,0.11217302083969116,0.23381054401397705,0.337715208530426,0.29075151681900024,0.23488068580627441,0.23445892333984375,0.2351052165031433,0.23514753580093384,0.21851086616516113,0.21197599172592163,0.21284490823745728,0.3453284502029419,0.3061225414276123,0.3407247066497803,0.2721860408782959,0.31039243936538696,0.32061338424682617,0.323077917098999,0.32030540704727173,0.30414295196533203,0.27432119846343994,0.19842439889907837,0.2393817901611328,0.26921987533569336,0.2556294798851013,0.2957950234413147,0.4007731080055237,0.23532724380493164,0.4422767758369446,0.3643566370010376,0.4338817596435547,0.16590243577957153,0.1717779040336609,0.23417282104492188,0.24177247285842896,0.21514290571212769,0.21734005212783813,0.21810311079025269,0.2167256474494934,0.2193053960800171,0.21509259939193726,0.21452927589416504,0.27303051948547363,0.306384801864624,0.3061150908470154,0.28785645961761475,0.29458683729171753,0.30118441581726074,0.27920204401016235,0.304468035697937,0.2808178663253784,0.27624809741973877,0.30548131465911865,0.3045451045036316,0.29653483629226685,0.2680368423461914,0.2970689535140991,0.3103947043418884,0.347864031791687,0.3478391170501709,0.1107749342918396,0.2347211241722107,0.23365002870559692,0.2358684539794922,0.23492538928985596,0.23442941904067993,0.21730822324752808,0.2120557427406311,0.2133968472480774,0.3415842652320862,0.27070438861846924,0.31163567304611206,0.32032865285873413,0.3222350478172302,0.3209570646286011,0.3022976517677307,0.27422279119491577,0.1970345377922058
identify_nbi_infframes,0.20539915561676025,0.22071504592895508,0.22114920616149902,0.2561204433441162,0.24215829372406006,0.0,0.29531294107437134,0.2619776725769043,0.3244580030441284,0.3572084903717041,0.2556760907173157,0.2430524230003357,0.36397475004196167,0.3270155191421509,0.39300769567489624,0.38898003101348877,0.18578273057937622,0.18788224458694458,0.24006128311157227,0.21964991092681885,0.19691729545593262,0.1975308656692505,0.19743698835372925,0.19685035943984985,0.19731420278549194,0.19736701250076294,0.19821935892105103,0.22143661975860596,0.23174476623535156,0.2264634370803833,0.28732216358184814,0.26953452825546265,0.3306400179862976,0.262900173664093,0.25572341680526733,0.26072245836257935,0.2616046071052551,0.2596287131309509,0.2591773271560669,0.25874918699264526,0.2606791853904724,0.2649155855178833,0.258045494556427,0.2576857805252075,0.26032835245132446,0.2631016969680786,0.3128928542137146,0.22903287410736084,0.31571024656295776,0.21822911500930786,0.32875144481658936,0.3340224027633667,0.3296689987182617,0.3284018039703369,0.3288955092430115,0.3295767903327942,0.3295062184333801,0.3370611071586609,0.3362407088279724,0.3352876305580139,0.2844419479370117,0.38079768419265747,0.3129555583000183,0.260317325592041,0.2782905697822571,0.30554336309432983,0.28948861360549927,0.28635698556900024,0.2927060127258301,0.30112314224243164,0.32700586318969727,0.20511764287948608,0.21603518724441528,0.22207146883010864,0.2590652108192444,0.29469573497772217,0.26067662239074707,0.35892587900161743,0.3649755120277405,0.3919168710708618,0.18471193313598633,0.1838582158088684,0.24136227369308472,0.2200496792793274,0.196078360080719,0.19570326805114746,0.19904905557632446,0.19929635524749756,0.19961464405059814,0.1973322629928589,0.19570201635360718,0.23488575220108032,0.2894117832183838,0.32807815074920654,0.2638692259788513,0.2575873136520386,0.26076453924179077,0.26404571533203125,0.257174551486969,0.25731563568115234,0.2561243176460266,0.26024478673934937,0.26617431640625,0.25910937786102295,0.25837045907974243,0.2628519535064697,0.2634989023208618,0.31302469968795776,0.31621259450912476,0.21572893857955933,0.32897651195526123,0.32881176471710205,0.3287944197654724,0.3296360969543457,0.32946252822875977,0.3373755216598511,0.3356857895851135,0.3353201746940613,0.3136214017868042,0.2597185969352722,0.2807764410972595,0.30422550439834595,0.2899554967880249,0.28533631563186646,0.291443407535553,0.3018723130226135,0.3257477879524231
laryngeal_tissues,0.4652023911476135,0.4805449843406677,0.4727312922477722,0.49584782123565674,0.40032607316970825,0.29531294107437134,0.0,0.4798872470855713,0.3966444134712219,0.183635413646698,0.32125240564346313,0.33920300006866455,0.2619832754135132,0.22454333305358887,0.33461999893188477,0.3286482095718384,0.46085286140441895,0.453088641166687,0.47389864921569824,0.4874193072319031,0.47904324531555176,0.47997140884399414,0.47967714071273804,0.47911179065704346,0.47926223278045654,0.4796972870826721,0.47989314794540405,0.36140817403793335,0.4580087661743164,0.4508247375488281,0.3818758726119995,0.39438676834106445,0.4828171133995056,0.5191443562507629,0.5165947079658508,0.514711856842041,0.5202860832214355,0.513827383518219,0.5177541971206665,0.5187655687332153,0.5146245956420898,0.5191618204116821,0.5139010548591614,0.5183882713317871,0.5140091180801392,0.5136764049530029,0.5328130722045898,0.41521644592285156,0.5369843244552612,0.3186211585998535,0.4911593198776245,0.574202299118042,0.5269321799278259,0.4913756847381592,0.49126070737838745,0.4916219711303711,0.49195849895477295,0.4788058400154114,0.4768121838569641,0.4781915545463562,0.4473663568496704,0.5232380628585815,0.4754362106323242,0.48954319953918457,0.49876242876052856,0.49850499629974365,0.49127042293548584,0.47240251302719116,0.47588926553726196,0.45810461044311523,0.5099972486495972,0.46499454975128174,0.5031511783599854,0.47466397285461426,0.49723607301712036,,0.4790395498275757,0.18671119213104248,0.260871946811676,0.33310413360595703,0.4607117772102356,0.45161956548690796,0.4747602939605713,0.48851412534713745,0.4781789183616638,0.47927606105804443,0.4818175435066223,0.4812820553779602,0.4814043641090393,0.4778830409049988,0.4776468873023987,0.4628056287765503,0.3821336627006531,0.48149681091308594,0.5210177898406982,0.5181599855422974,0.5140476226806641,0.5215476751327515,0.511917233467102,0.5162144899368286,0.5167570114135742,0.5155479907989502,0.5189973711967468,0.5144562125205994,0.5194462537765503,0.5164164304733276,0.5151758790016174,0.5335341691970825,0.5368146896362305,0.3187265992164612,0.49167317152023315,0.4913499355316162,0.49121391773223877,0.4913484454154968,0.4919126629829407,0.4786868691444397,0.4758961796760559,0.4795125722885132,0.4754977822303772,0.4894936680793762,0.5002919435501099,0.4981191158294678,0.4911479949951172,0.4728580117225647,0.4766364097595215,0.45865195989608765,0.5095293521881104
nerthus_bowel_cleansing_quality,0.16533678770065308,0.1705796718597412,0.17274385690689087,0.2163955569267273,0.23609232902526855,0.2619776725769043,0.4798872470855713,0.0,0.36690181493759155,0.4485543966293335,0.21733129024505615,0.20401448011398315,0.33416587114334106,0.3100799322128296,0.43371766805648804,0.44703763723373413,0.07717019319534302,0.05814790725708008,0.020789921283721924,0.05919557809829712,0.11713987588882446,0.11635488271713257,0.11668246984481812,0.1173129677772522,0.11721020936965942,0.11691707372665405,0.11721926927566528,0.2355571985244751,0.12443685531616211,0.2920633554458618,0.3574778437614441,0.35000211000442505,0.29100143909454346,0.2292528748512268,0.2248319387435913,0.2325575351715088,0.22425204515457153,0.23280954360961914,0.22410595417022705,0.22158628702163696,0.23549091815948486,0.23492425680160522,0.22784101963043213,0.22011160850524902,0.23356199264526367,0.23873597383499146,0.3015509843826294,0.26022791862487793,0.2977924942970276,0.3057587146759033,0.30812275409698486,0.28028690814971924,0.21822106838226318,0.3081094026565552,0.30776387453079224,0.3091251254081726,0.308228075504303,0.1513376235961914,0.14992189407348633,0.14731520414352417,0.3880237340927124,0.3701181411743164,0.2780373692512512,0.18365192413330078,0.21811187267303467,0.24128109216690063,0.24202299118041992,0.22678923606872559,0.22846823930740356,0.35813599824905396,0.2721831798553467,0.16551554203033447,0.18426644802093506,0.17289716005325317,0.2156345248222351,0.4802975058555603,,0.4447442293167114,0.33455562591552734,0.43399083614349365,0.07704246044158936,0.06118488311767578,0.020955979824066162,0.058837890625,0.11580830812454224,0.11782681941986084,0.11755186319351196,0.11754590272903442,0.11830312013626099,0.11672824621200562,0.11651366949081421,0.12464010715484619,0.3585924506187439,0.2889639735221863,0.23247408866882324,0.22537004947662354,0.2311071753501892,0.22468572854995728,0.23299264907836914,0.22432613372802734,0.22066587209701538,0.23383057117462158,0.237778902053833,0.23014312982559204,0.2182607650756836,0.23374485969543457,0.23830252885818481,0.29988616704940796,0.29905200004577637,0.3017401099205017,0.309237539768219,0.30725401639938354,0.3079737424850464,0.3093646168708801,0.30777525901794434,0.15093302726745605,0.15126746892929077,0.14677739143371582,0.2791866660118103,0.1812155842781067,0.2183789610862732,0.24094301462173462,0.24118083715438843,0.22784721851348877,0.2269560694694519,0.3589692711830139,0.26998698711395264
stanford_dogs_image_categorization,0.3268349766731262,0.33539360761642456,0.32585638761520386,0.3487294316291809,0.3351552486419678,0.3244580030441284,0.3966444134712219,0.36690181493759155,0.0,0.4147617220878601,0.14287304878234863,0.15126806497573853,0.24343198537826538,0.2606114149093628,0.40877145528793335,0.4268895387649536,0.3327089548110962,0.33510321378707886,0.3497317433357239,0.3475133776664734,0.3441438674926758,0.3448716998100281,0.34468597173690796,0.34417450428009033,0.34401679039001465,0.3447665572166443,0.3441048264503479,0.3286629319190979,0.3834044337272644,0.32981133460998535,0.3673282265663147,0.36652278900146484,0.3680537939071655,0.40448206663131714,0.40428775548934937,0.4059188961982727,0.4037003517150879,0.4068717956542969,0.4031822681427002,0.40234464406967163,0.40671736001968384,0.4064732789993286,0.40423035621643066,0.4039834141731262,0.400115430355072,0.40834754705429077,0.4173513650894165,0.35900765657424927,0.4196017384529114,0.3703969717025757,0.4064076542854309,0.4277653694152832,0.36555635929107666,0.406512975692749,0.40676867961883545,0.40710020065307617,0.40673160552978516,0.37917453050613403,0.37253302335739136,0.37276405096054077,0.4132578372955322,0.4378955364227295,0.3682463765144348,0.35871171951293945,0.35885584354400635,0.38196074962615967,0.35042834281921387,0.3512347936630249,0.352664589881897,0.33956849575042725,0.4026482105255127,0.32418715953826904,0.34760814905166626,0.3279660940170288,0.35092002153396606,0.3959386944770813,0.3665034770965576,0.4138867259025574,0.2474392056465149,0.4085724353790283,0.33175718784332275,0.33370834589004517,0.3499336838722229,0.3474503755569458,0.3446342945098877,0.345234215259552,0.34715956449508667,0.3453417420387268,0.3455445170402527,0.34315216541290283,0.34330105781555176,0.3853670358657837,0.36764347553253174,0.367607057094574,0.4067566990852356,0.4039425849914551,0.4062933325767517,0.4042702913284302,0.40602433681488037,0.4040359854698181,0.4004061818122864,0.406871497631073,0.40676623582839966,0.4047561287879944,0.4035035967826843,0.4002108573913574,0.4091011881828308,0.4174615144729614,0.4198732376098633,0.3697385787963867,0.4065217971801758,0.4065968990325928,0.40696465969085693,0.40706872940063477,0.40639936923980713,0.37895017862319946,0.373623788356781,0.37290525436401367,0.368590772151947,0.35665374994277954,0.35914283990859985,0.38142234086990356,0.3502119183540344,0.3519101142883301,0.3515285849571228,0.33937501907348633,0.40210777521133423
svhn,0.5064354538917542,0.5006154179573059,0.49124032258987427,0.5138256549835205,0.44373470544815063,0.3572084903717041,0.183635413646698,0.4485543966293335,0.4147617220878601,0.0,0.3096526861190796,0.30807721614837646,0.13014960289001465,0.09880286455154419,0.1908898949623108,0.18664336204528809,0.4612058401107788,0.4559842348098755,0.45374470949172974,0.45186150074005127,0.46881359815597534,0.469245970249176,0.4688768982887268,0.46882009506225586,0.46928298473358154,0.4692671298980713,0.46966660022735596,0.4340022802352905,0.4410385489463806,0.4634506106376648,0.3790687918663025,0.5096310973167419,0.45841342210769653,0.47102177143096924,0.4682978391647339,0.4685825705528259,0.47087419033050537,0.46805012226104736,0.4697849750518799,0.470139741897583,0.4675188660621643,0.47014474868774414,0.4666141867637634,0.4693254232406616,0.46512502431869507,0.46802228689193726,0.4835931062698364,0.46642982959747314,0.4857901334762573,0.4358416199684143,0.4925416111946106,0.5201462507247925,0.459098219871521,0.4924706220626831,0.49256080389022827,0.4928836226463318,0.49278295040130615,0.4588366150856018,0.45225149393081665,0.4537622332572937,0.4898996949195862,0.5187991261482239,0.3920683264732361,0.4248431324958801,0.41619133949279785,0.42416638135910034,0.40215522050857544,0.3716534376144409,0.39032042026519775,0.503331184387207,0.4994623064994812,0.5074228048324585,0.5039784908294678,0.49247318506240845,0.5142761468887329,0.18490618467330933,0.44761914014816284,,0.12645351886749268,0.1904575228691101,0.461483895778656,0.45493078231811523,0.453552782535553,0.4536399245262146,0.46771758794784546,0.4685845971107483,0.4713965654373169,0.46999043226242065,0.47050559520721436,0.46903830766677856,0.46642595529556274,0.44496411085128784,0.37878453731536865,0.45759207010269165,0.4727868437767029,0.4693676233291626,0.46705347299575806,0.47230201959609985,0.4661291241645813,0.4688336253166199,0.46850264072418213,0.468392014503479,0.4703446626663208,0.46805256605148315,0.47053492069244385,0.46648502349853516,0.46899521350860596,0.4839194416999817,0.48571592569351196,0.43579578399658203,0.4927104711532593,0.492432177066803,0.4922044277191162,0.49259448051452637,0.49274343252182007,0.4584128260612488,0.45091432332992554,0.45485764741897583,0.3927428722381592,0.42453330755233765,0.41668230295181274,0.4242756962776184,0.4020264744758606,0.37135058641433716,0.39143937826156616,0.5035352110862732,0.49873262643814087
