,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.00303572416305542,0.0036062002182006836,0.006957828998565674,0.026459991931915283,0.024989306926727295,0.057572007179260254,0.02057284116744995,0.03284364938735962,0.09100538492202759,0.023048818111419678,0.023497939109802246,0.052160561084747314,0.05336904525756836,0.05283874273300171,0.056403398513793945,0.01179414987564087,0.010525703430175781,0.015804708003997803,0.01362907886505127,0.0074915289878845215,0.007616519927978516,0.007517695426940918,0.007487297058105469,0.0074326395988464355,0.007426440715789795,0.00741732120513916,0.02788710594177246,0.02445089817047119,0.028258919715881348,0.03611791133880615,0.052738845348358154,0.04882532358169556,0.02947789430618286,0.02988511323928833,0.031035244464874268,0.0292702317237854,0.0313456654548645,0.029137372970581055,0.029199540615081787,0.031157255172729492,0.030646681785583496,0.03015190362930298,0.02900928258895874,0.02910250425338745,0.03173255920410156,0.036721229553222656,0.029747068881988525,0.03695708513259888,0.03276515007019043,0.05439180135726929,0.04131186008453369,0.03249078989028931,0.05449193716049194,0.054490745067596436,0.0547713041305542,0.05466413497924805,0.04314374923706055,0.04174458980560303,0.04152333736419678,0.05282682180404663,0.06925880908966064,0.04313528537750244,0.028605937957763672,0.036976158618927,0.035966455936431885,0.039338111877441406,0.03657716512680054,0.03916817903518677,0.041518449783325195,0.05044424533843994,2.276897430419922e-05,0.004365801811218262,0.003504931926727295,0.0071212053298950195,0.05709868669509888,0.02046835422515869,0.09122562408447266,0.05293673276901245,0.05280512571334839,0.011627495288848877,0.010280609130859375,0.01599574089050293,0.013418316841125488,0.007574677467346191,0.007429301738739014,0.007480740547180176,0.007788419723510742,0.0076427459716796875,0.0071926116943359375,0.007887542247772217,0.02466219663619995,0.03629058599472046,0.04829150438308716,0.02984035015106201,0.029762685298919678,0.03087562322616577,0.029478013515472412,0.031154215335845947,0.02910327911376953,0.0287817120552063,0.03112238645553589,0.03094857931137085,0.030427157878875732,0.02896183729171753,0.029247045516967773,0.0316770076751709,0.03686803579330444,0.03706216812133789,0.03198695182800293,0.054520487785339355,0.054475486278533936,0.05432027578353882,0.054767489433288574,0.05465584993362427,0.04330700635910034,0.041926801204681396,0.041823506355285645,0.043278276920318604,0.0285947322845459,0.037110328674316406,0.03577905893325806,0.039207398891448975,0.03655087947845459,0.0389438271522522,0.04154735803604126,0.05029577016830444
lapgyn4_surgical_actions,0.00303572416305542,0.0,0.0013495683670043945,0.0025879740715026855,0.029421448707580566,0.027141273021697998,0.06006342172622681,0.021184861660003662,0.036209821701049805,0.09247493743896484,0.023322582244873047,0.023565232753753662,0.053221046924591064,0.05450695753097534,0.05283576250076294,0.056580185890197754,0.015248596668243408,0.013599514961242676,0.01725304126739502,0.014005303382873535,0.006171047687530518,0.006263375282287598,0.0061751604080200195,0.00618588924407959,0.00611269474029541,0.006116747856140137,0.006098628044128418,0.02964925765991211,0.022490382194519043,0.03074467182159424,0.03875952959060669,0.05823683738708496,0.04948204755783081,0.029679715633392334,0.030067622661590576,0.031097471714019775,0.029467880725860596,0.031442999839782715,0.02931833267211914,0.02937835454940796,0.03134965896606445,0.0307081937789917,0.03023684024810791,0.029130280017852783,0.02948606014251709,0.03179359436035156,0.03797042369842529,0.03271055221557617,0.03803229331970215,0.03631114959716797,0.05619323253631592,0.04073673486709595,0.031972289085388184,0.056292057037353516,0.05628138780593872,0.056547343730926514,0.05644524097442627,0.04202067852020264,0.04144597053527832,0.04135531187057495,0.05305105447769165,0.07056021690368652,0.04112660884857178,0.027947068214416504,0.0365138053894043,0.03370600938796997,0.037493765354156494,0.034946978092193604,0.037711501121520996,0.04314833879470825,0.05183696746826172,0.003056347370147705,0.001400589942932129,0.0011799931526184082,0.002639293670654297,0.05957514047622681,0.021091580390930176,0.09266024827957153,0.05401051044464111,0.052777767181396484,0.015186071395874023,0.013292193412780762,0.017381012439727783,0.013861477375030518,0.006254792213439941,0.006114780902862549,0.006086409091949463,0.006444573402404785,0.0061571598052978516,0.005903303623199463,0.0065438151359558105,0.022555172443389893,0.0389331579208374,0.04894751310348511,0.03000473976135254,0.029888927936553955,0.030854225158691406,0.029540657997131348,0.03134697675704956,0.029313087463378906,0.029077231884002686,0.03128093481063843,0.03095090389251709,0.030555665493011475,0.029031217098236084,0.029529154300689697,0.031706809997558594,0.038037121295928955,0.03818744421005249,0.03548556566238403,0.05631685256958008,0.056261539459228516,0.05611312389373779,0.056568264961242676,0.056460022926330566,0.042193591594696045,0.0416111946105957,0.04161357879638672,0.04128694534301758,0.027906417846679688,0.03651118278503418,0.03353637456893921,0.03743124008178711,0.03498399257659912,0.03756493330001831,0.0431784987449646,0.051690757274627686
lapgyn4_instrument_count,0.0036062002182006836,0.0013495683670043945,0.0,0.0016031265258789062,0.026336073875427246,0.025765955448150635,0.0581018328666687,0.02100318670272827,0.03407067060470581,0.08999943733215332,0.02093440294265747,0.020942330360412598,0.05155080556869507,0.05272406339645386,0.04976707696914673,0.053267836570739746,0.014390289783477783,0.012325823307037354,0.01771867275238037,0.014955103397369385,0.004816889762878418,0.004926919937133789,0.0048160552978515625,0.004803955554962158,0.004775822162628174,0.0047931671142578125,0.004741668701171875,0.028164565563201904,0.02267211675643921,0.03087782859802246,0.03605198860168457,0.05560821294784546,0.0474165678024292,0.030101001262664795,0.030798912048339844,0.03197258710861206,0.029932677745819092,0.03233754634857178,0.029806196689605713,0.029902517795562744,0.03213459253311157,0.03144967555999756,0.03091609477996826,0.02948075532913208,0.02992832660675049,0.032642483711242676,0.03664761781692505,0.031242787837982178,0.03683280944824219,0.034990668296813965,0.05202144384384155,0.0416102409362793,0.030900299549102783,0.05211949348449707,0.05211609601974487,0.05238407850265503,0.052279531955718994,0.03888702392578125,0.03884965181350708,0.03882002830505371,0.05289185047149658,0.06638479232788086,0.03860384225845337,0.02634185552597046,0.03311282396316528,0.032543957233428955,0.034219563007354736,0.032249391078948975,0.0346032977104187,0.04202425479888916,0.047762513160705566,0.0035896897315979004,0.002142190933227539,2.9265880584716797e-05,0.0017719864845275879,0.05761063098907471,0.02093130350112915,0.09019976854324341,0.05231970548629761,0.04970252513885498,0.014313697814941406,0.011987268924713135,0.017839491367340088,0.014818549156188965,0.004943430423736572,0.004754483699798584,0.004819393157958984,0.00504910945892334,0.004763364791870117,0.004546761512756348,0.0050733089447021484,0.022840917110443115,0.036231040954589844,0.04689013957977295,0.030508220195770264,0.03067183494567871,0.031699538230895996,0.0300980806350708,0.03212165832519531,0.02978736162185669,0.029505133628845215,0.03209269046783447,0.03177148103713989,0.0312504768371582,0.029401421546936035,0.03005683422088623,0.03256535530090332,0.03677809238433838,0.03697681427001953,0.03420865535736084,0.05214160680770874,0.05209225416183472,0.05195724964141846,0.052411437034606934,0.052285611629486084,0.03910195827484131,0.038995444774627686,0.039061546325683594,0.03875613212585449,0.026242613792419434,0.033095717430114746,0.03238946199417114,0.03414452075958252,0.032249391078948975,0.03443145751953125,0.04204374551773071,0.047647178173065186
lapgyn4_anatomical_actions,0.006957828998565674,0.0025879740715026855,0.0016031265258789062,0.0,0.032693326473236084,0.0313873291015625,0.06344503164291382,0.027368664741516113,0.03960716724395752,0.09551548957824707,0.025711774826049805,0.025891244411468506,0.05687141418457031,0.05805623531341553,0.05489182472229004,0.058617234230041504,0.021390020847320557,0.018764197826385498,0.02374565601348877,0.020471811294555664,0.008998870849609375,0.009128391742706299,0.00896918773651123,0.008985459804534912,0.0089377760887146,0.008966565132141113,0.008898913860321045,0.03366386890411377,0.026712357997894287,0.03695082664489746,0.04274439811706543,0.0623469352722168,0.053249895572662354,0.03608304262161255,0.03676682710647583,0.037812232971191406,0.03598487377166748,0.03818577527999878,0.03579515218734741,0.03597539663314819,0.03801757097244263,0.0372624397277832,0.03680926561355591,0.03551226854324341,0.03577232360839844,0.038370728492736816,0.04251134395599365,0.03706306219100952,0.04264533519744873,0.04095876216888428,0.059215426445007324,0.04677224159240723,0.03666222095489502,0.05933481454849243,0.05932152271270752,0.05957871675491333,0.05948829650878906,0.04504573345184326,0.04540365934371948,0.04543179273605347,0.058209002017974854,0.07327902317047119,0.04390639066696167,0.032446980476379395,0.039267778396606445,0.03722316026687622,0.039738237857818604,0.037215232849121094,0.040313780307769775,0.04715460538864136,0.054421961307525635,0.006944417953491211,0.0036032795906066895,0.001556992530822754,3.528594970703125e-05,0.06295579671859741,0.02729356288909912,0.09572392702102661,0.05766427516937256,0.05480325222015381,0.021292269229888916,0.01842409372329712,0.02387559413909912,0.02034860849380493,0.009198129177093506,0.008925378322601318,0.009012877941131592,0.00926220417022705,0.008790671825408936,0.00870203971862793,0.009288012981414795,0.026824593544006348,0.04294228553771973,0.052758216857910156,0.03643923997879028,0.03661847114562988,0.037535011768341064,0.03611743450164795,0.03796595335006714,0.035770297050476074,0.03557401895523071,0.03798675537109375,0.03750211000442505,0.03714364767074585,0.03546416759490967,0.035838544368743896,0.038301825523376465,0.04261523485183716,0.04278409481048584,0.04016846418380737,0.05932307243347168,0.05929875373840332,0.059169769287109375,0.059604644775390625,0.05949389934539795,0.04524731636047363,0.04556310176849365,0.04563075304031372,0.044052958488464355,0.03233224153518677,0.039202332496643066,0.03707796335220337,0.03970712423324585,0.03722727298736572,0.0401531457901001,0.04716867208480835,0.054312705993652344
sklin2_skin_lesions,0.026459991931915283,0.029421448707580566,0.026336073875427246,0.032693326473236084,0.0,0.02204310894012451,0.04595673084259033,0.025835394859313965,0.02931392192840576,0.08042806386947632,0.018100202083587646,0.01721280813217163,0.04782658815383911,0.04829978942871094,0.041214585304260254,0.04305201768875122,0.017497360706329346,0.016985416412353516,0.025023996829986572,0.023719847202301025,0.02077430486679077,0.02084028720855713,0.02088642120361328,0.020797014236450195,0.02083289623260498,0.020886540412902832,0.020790934562683105,0.007027745246887207,0.025700390338897705,0.021045446395874023,0.025894522666931152,0.026951074600219727,0.03599280118942261,0.030650854110717773,0.03165483474731445,0.03278684616088867,0.03058546781539917,0.033116936683654785,0.030372917652130127,0.030389010906219482,0.03291213512420654,0.03255176544189453,0.03150761127471924,0.029535353183746338,0.0307655930519104,0.03333485126495361,0.03905707597732544,0.007651984691619873,0.03940457105636597,0.011444568634033203,0.030203521251678467,0.0456082820892334,0.02590930461883545,0.030360162258148193,0.030294477939605713,0.030466198921203613,0.03046649694442749,0.033329546451568604,0.03158295154571533,0.0316312313079834,0.042589545249938965,0.04417765140533447,0.03600865602493286,0.02516549825668335,0.029827237129211426,0.03439950942993164,0.03167349100112915,0.030607759952545166,0.030173122882843018,0.030686795711517334,0.02586662769317627,0.02617967128753662,0.0303305983543396,0.027092814445495605,0.03288280963897705,0.04552263021469116,0.02567470073699951,0.08073943853378296,0.04854786396026611,0.04120093584060669,0.01756042242050171,0.016543447971343994,0.025052309036254883,0.023880720138549805,0.020665884017944336,0.020957112312316895,0.02121800184249878,0.020884931087493896,0.021141469478607178,0.02071666717529297,0.0204160213470459,0.02636110782623291,0.02610945701599121,0.03549474477767944,0.031214892864227295,0.03186589479446411,0.03248560428619385,0.03088897466659546,0.032566070556640625,0.03019791841506958,0.029824256896972656,0.032888710498809814,0.032863080501556396,0.03189116716384888,0.029524922370910645,0.031164467334747314,0.03337287902832031,0.03923165798187256,0.03949105739593506,0.011147141456604004,0.030321121215820312,0.030257463455200195,0.030260860919952393,0.030475080013275146,0.030422210693359375,0.03354811668395996,0.03166794776916504,0.03187280893325806,0.036122918128967285,0.024996578693389893,0.02997952699661255,0.034282028675079346,0.031530141830444336,0.03055661916732788,0.029860377311706543,0.03065168857574463,0.02571970224380493
identify_nbi_infframes,0.024989306926727295,0.027141273021697998,0.025765955448150635,0.0313873291015625,0.02204310894012451,0.0,0.027462005615234375,0.029906868934631348,0.021724164485931396,0.06443929672241211,0.01762014627456665,0.01693260669708252,0.04468369483947754,0.0446208119392395,0.032136738300323486,0.033670663833618164,0.02161383628845215,0.020811915397644043,0.026771605014801025,0.024582505226135254,0.022236764430999756,0.02240157127380371,0.022349536418914795,0.022243797779083252,0.02232646942138672,0.022295057773590088,0.022423923015594482,0.02090376615524292,0.026045024394989014,0.02035510540008545,0.022762656211853027,0.04159969091415405,0.040902674198150635,0.02948760986328125,0.02840322256088257,0.02871495485305786,0.029578566551208496,0.028625428676605225,0.02906489372253418,0.02910006046295166,0.02842235565185547,0.02941131591796875,0.028371572494506836,0.02916806936264038,0.02763223648071289,0.028788745403289795,0.038134872913360596,0.022223353385925293,0.03900867700576782,0.01826298236846924,0.0425683856010437,0.04781681299209595,0.031009554862976074,0.042496442794799805,0.04263859987258911,0.04275113344192505,0.04273444414138794,0.04493314027786255,0.04242837429046631,0.042311668395996094,0.03378641605377197,0.053033411502838135,0.03477215766906738,0.0265042781829834,0.029987454414367676,0.03501075506210327,0.030846774578094482,0.029541373252868652,0.03213834762573242,0.036996543407440186,0.04341822862625122,0.02473008632659912,0.027617931365966797,0.026162028312683105,0.03175479173660278,0.027048707008361816,0.02967923879623413,0.06535482406616211,0.045318603515625,0.03204810619354248,0.021431267261505127,0.020262181758880615,0.0269625186920166,0.024740934371948242,0.022074401378631592,0.022272348403930664,0.022744059562683105,0.02266836166381836,0.022699296474456787,0.022353947162628174,0.022021114826202393,0.02658867835998535,0.023139894008636475,0.040387094020843506,0.029571354389190674,0.028691887855529785,0.02873629331588745,0.030213892459869385,0.027969539165496826,0.028655648231506348,0.028567731380462646,0.028630733489990234,0.029449462890625,0.02863478660583496,0.029465019702911377,0.02806943655014038,0.028939247131347656,0.03838014602661133,0.03905308246612549,0.01812690496444702,0.042582929134368896,0.04266214370727539,0.042326271533966064,0.042696595191955566,0.0427626371383667,0.04523193836212158,0.0422816276550293,0.04258608818054199,0.0349392294883728,0.026435911655426025,0.03032243251800537,0.034786224365234375,0.030756771564483643,0.029275178909301758,0.031913816928863525,0.037026166915893555,0.043267905712127686
laryngeal_tissues,0.057572007179260254,0.06006342172622681,0.0581018328666687,0.06344503164291382,0.04595673084259033,0.027462005615234375,0.0,0.0600816011428833,0.038462042808532715,0.028997719287872314,0.0346606969833374,0.03660726547241211,0.03005504608154297,0.027518153190612793,0.027511000633239746,0.02736145257949829,0.055919349193573,0.054358720779418945,0.05771416425704956,0.057825326919555664,0.057592570781707764,0.057846784591674805,0.05775582790374756,0.05763036012649536,0.05770963430404663,0.05767577886581421,0.05780327320098877,0.04137915372848511,0.055245935916900635,0.04822683334350586,0.039320290088653564,0.05773085355758667,0.06702917814254761,0.062442779541015625,0.06132763624191284,0.060909926891326904,0.06259346008300781,0.06087601184844971,0.062102556228637695,0.06216740608215332,0.06064385175704956,0.06185215711593628,0.06084173917770386,0.0624050498008728,0.05986905097961426,0.060726821422576904,0.06992870569229126,0.047141313552856445,0.07112133502960205,0.033382415771484375,0.0695311427116394,0.08223879337310791,0.05952322483062744,0.06948202848434448,0.06957447528839111,0.06963586807250977,0.06966769695281982,0.06947505474090576,0.06638753414154053,0.06638854742050171,0.05573248863220215,0.07783347368240356,0.05953007936477661,0.05760842561721802,0.06095010042190552,0.06447136402130127,0.06014823913574219,0.05697351694107056,0.05904674530029297,0.0636526346206665,0.07292282581329346,0.05724567174911499,0.0640329122543335,0.05857551097869873,0.06367015838623047,7.092952728271484e-06,0.05986696481704712,0.02979433536529541,0.03018277883529663,0.027352869510650635,0.05576801300048828,0.05391353368759155,0.05795401334762573,0.05808037519454956,0.057372093200683594,0.05780291557312012,0.058279216289520264,0.05816519260406494,0.05819779634475708,0.05758732557296753,0.05737382173538208,0.05590856075286865,0.039499640464782715,0.06660294532775879,0.06258553266525269,0.06158947944641113,0.060898542404174805,0.06317877769470215,0.06018340587615967,0.06164664030075073,0.06169891357421875,0.0609743595123291,0.06171977519989014,0.06112796068191528,0.06276941299438477,0.060323238372802734,0.060991108417510986,0.070270836353302,0.07110553979873657,0.03368186950683594,0.06957310438156128,0.06964457035064697,0.06924116611480713,0.06951892375946045,0.06972271203994751,0.06970351934432983,0.06617790460586548,0.06683987379074097,0.05952566862106323,0.057685256004333496,0.06130915880203247,0.06432682275772095,0.05993300676345825,0.056778907775878906,0.05907505750656128,0.06365621089935303,0.07279574871063232
nerthus_bowel_cleansing_quality,0.02057284116744995,0.021184861660003662,0.02100318670272827,0.027368664741516113,0.025835394859313965,0.029906868934631348,0.0600816011428833,0.0,0.03912097215652466,0.08796286582946777,0.021863996982574463,0.021438956260681152,0.050960659980773926,0.05183476209640503,0.047888875007629395,0.05074596405029297,0.009381473064422607,0.007171213626861572,0.0028623342514038086,0.006845593452453613,0.013142764568328857,0.013084471225738525,0.013119399547576904,0.013201117515563965,0.013177096843719482,0.013134121894836426,0.013194441795349121,0.026638686656951904,0.014595627784729004,0.030427753925323486,0.03715091943740845,0.056488752365112305,0.03956645727157593,0.025850892066955566,0.02534306049346924,0.026243150234222412,0.02541506290435791,0.02629953622817993,0.02523261308670044,0.025077402591705322,0.026496052742004395,0.02648639678955078,0.025481224060058594,0.024915635585784912,0.02608513832092285,0.026827991008758545,0.037124693393707275,0.029117047786712646,0.03691220283508301,0.03426641225814819,0.04367643594741821,0.03779768943786621,0.024356424808502197,0.04366028308868408,0.04368108510971069,0.04396945238113403,0.043826282024383545,0.02549189329147339,0.02427494525909424,0.023984909057617188,0.051502883434295654,0.05784207582473755,0.035723984241485596,0.01963752508163452,0.025540947914123535,0.030371904373168945,0.02998948097229004,0.027724087238311768,0.02870100736618042,0.04619556665420532,0.03899192810058594,0.020504415035247803,0.023692309856414795,0.021127402782440186,0.027302086353302002,0.05960124731063843,1.1742115020751953e-05,0.08798176050186157,0.05159890651702881,0.04794514179229736,0.009407460689544678,0.007513582706451416,0.002870500087738037,0.006790876388549805,0.012973666191101074,0.013265728950500488,0.013259470462799072,0.013251006603240967,0.013364672660827637,0.013147234916687012,0.013116717338562012,0.014679014682769775,0.037394940853118896,0.03910505771636963,0.0263136625289917,0.025405585765838623,0.025986790657043457,0.025644421577453613,0.02616584300994873,0.02519547939300537,0.024837076663970947,0.02642059326171875,0.02680140733718872,0.025861263275146484,0.024817705154418945,0.026139020919799805,0.026828348636627197,0.03706097602844238,0.03710484504699707,0.03352862596511841,0.04381328821182251,0.043629467487335205,0.04346424341201782,0.04399985074996948,0.043800413608551025,0.025709211826324463,0.024379730224609375,0.024158239364624023,0.03588509559631348,0.019412457942962646,0.025635898113250732,0.030222415924072266,0.029814541339874268,0.027711689472198486,0.028410494327545166,0.04623568058013916,0.0387728214263916
stanford_dogs_image_categorization,0.03284364938735962,0.036209821701049805,0.03407067060470581,0.03960716724395752,0.02931392192840576,0.021724164485931396,0.038462042808532715,0.03912097215652466,0.0,0.0723034143447876,0.012738943099975586,0.01425856351852417,0.03685504198074341,0.041119158267974854,0.0384058952331543,0.04206657409667969,0.03266674280166626,0.03207993507385254,0.0357661247253418,0.03415960073471069,0.03467029333114624,0.03490650653839111,0.034831106662750244,0.03470909595489502,0.034726083278656006,0.03475552797317505,0.034748971462249756,0.02890777587890625,0.038933753967285156,0.026143550872802734,0.03130984306335449,0.05338960886001587,0.04700666666030884,0.042531490325927734,0.04196566343307495,0.04202008247375488,0.042650699615478516,0.04213982820510864,0.04227203130722046,0.04227644205093384,0.041809678077697754,0.04244357347488403,0.04174196720123291,0.042643189430236816,0.04024231433868408,0.04207581281661987,0.04803043603897095,0.03181326389312744,0.04903167486190796,0.031685590744018555,0.05390524864196777,0.05898475646972656,0.03528517484664917,0.053889334201812744,0.05397599935531616,0.054145991802215576,0.054062604904174805,0.05143064260482788,0.04800635576248169,0.04788970947265625,0.043767690658569336,0.0642768144607544,0.044883012771606445,0.03658449649810791,0.04033786058425903,0.04613852500915527,0.0416337251663208,0.04009878635406494,0.042049407958984375,0.03968757390975952,0.05323994159698486,0.03224831819534302,0.03897428512573242,0.034617602825164795,0.039965689182281494,0.03798627853393555,0.03895002603530884,0.07286083698272705,0.037719666957855225,0.03837895393371582,0.032408714294433594,0.031656503677368164,0.03594350814819336,0.03419762849807739,0.03461343050003052,0.03490656614303589,0.03534001111984253,0.035038888454437256,0.03516209125518799,0.03458261489868164,0.03457045555114746,0.039409637451171875,0.031506121158599854,0.04659748077392578,0.042776286602020264,0.04199177026748657,0.04203653335571289,0.0432094931602478,0.04152405261993408,0.04204738140106201,0.04171860218048096,0.04202455282211304,0.04241245985031128,0.041937828063964844,0.04288959503173828,0.04046070575714111,0.042342305183410645,0.04832834005355835,0.04903209209442139,0.03149992227554321,0.05396229028701782,0.05400508642196655,0.05369365215301514,0.05407750606536865,0.05408233404159546,0.051657676696777344,0.04807800054550171,0.048217594623565674,0.04496663808822632,0.03650820255279541,0.04051929712295532,0.04592329263687134,0.04146641492843628,0.039891064167022705,0.04178386926651001,0.039646148681640625,0.05311983823776245
svhn,0.09100538492202759,0.09247493743896484,0.08999943733215332,0.09551548957824707,0.08042806386947632,0.06443929672241211,0.028997719287872314,0.08796286582946777,0.0723034143447876,0.0,0.06371426582336426,0.06437915563583374,0.01750117540359497,0.013242781162261963,0.03109806776046753,0.03022843599319458,0.08572781085968018,0.08428013324737549,0.08683943748474121,0.085807204246521,0.08691120147705078,0.08710998296737671,0.08702284097671509,0.08694577217102051,0.08704650402069092,0.08700507879257202,0.08710628747940063,0.07859605550765991,0.08564162254333496,0.08027762174606323,0.06689471006393433,0.10265105962753296,0.0941351056098938,0.08952134847640991,0.08867514133453369,0.08852237462997437,0.08964323997497559,0.08852225542068481,0.08924984931945801,0.08933407068252563,0.08817809820175171,0.08908772468566895,0.08824896812438965,0.08945512771606445,0.08716875314712524,0.08832955360412598,0.0950695276260376,0.08241313695907593,0.09599870443344116,0.07609158754348755,0.0998125672340393,0.10735613107681274,0.08334451913833618,0.0997849702835083,0.09988391399383545,0.09997320175170898,0.09995096921920776,0.09759986400604248,0.09436303377151489,0.09440028667449951,0.09067177772521973,0.10836446285247803,0.08366584777832031,0.08284586668014526,0.08468133211135864,0.08850926160812378,0.08378082513809204,0.0798829197883606,0.08283394575119019,0.09728670120239258,0.10107409954071045,0.09071367979049683,0.09374666213989258,0.09051263332366943,0.09574687480926514,0.02942490577697754,0.08773839473724365,2.3543834686279297e-05,0.016922473907470703,0.030999302864074707,0.08559393882751465,0.08384782075881958,0.08695733547210693,0.08609926700592041,0.08669626712799072,0.08703303337097168,0.08756566047668457,0.08737820386886597,0.08740031719207764,0.08699995279312134,0.08657395839691162,0.08631885051727295,0.06686502695083618,0.09376239776611328,0.08970814943313599,0.08889055252075195,0.08841073513031006,0.09023052453994751,0.0878371000289917,0.08888030052185059,0.08884429931640625,0.08849412202835083,0.08901524543762207,0.08855628967285156,0.08981549739837646,0.08752351999282837,0.08856874704360962,0.09536236524581909,0.09598171710968018,0.07616162300109863,0.09982365369796753,0.09990501403808594,0.09956192970275879,0.099872887134552,0.09997963905334473,0.09781390428543091,0.09415370225906372,0.0947723388671875,0.08370566368103027,0.08288264274597168,0.08492094278335571,0.08839923143386841,0.08358728885650635,0.07966059446334839,0.08284741640090942,0.09724801778793335,0.1009526252746582
