,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.004395933821797371,0.0050006587989628315,0.006007509306073189,0.012388805858790874,0.012090416625142097,0.03195200115442276,0.005954975262284279,0.011488791555166245,0.031555626541376114,0.008033132180571556,0.006904410198330879,0.01148143783211708,0.011924361810088158,0.019611574709415436,0.022080527618527412,0.013153387233614922,0.008341580629348755,0.006688499823212624,0.004661929793655872,0.004794985055923462,0.0047945789992809296,0.004694826900959015,0.004833099897950888,0.0046923803165555,0.004711583256721497,0.004812706261873245,0.016182340681552887,0.005060275550931692,0.01413615420460701,0.0373477004468441,0.027019452303647995,0.010977229103446007,0.01092279702425003,0.0093756765127182,0.008541479706764221,0.011409400030970573,0.008376071229577065,0.010676464065909386,0.010951224714517593,0.008921336382627487,0.009500667452812195,0.009137384593486786,0.011832375079393387,0.011577947065234184,0.008403819985687733,0.018368415534496307,0.018978331238031387,0.018128840252757072,0.01415526308119297,0.02355339378118515,0.01400800608098507,0.009161395952105522,0.02354801818728447,0.023525111377239227,0.02359725534915924,0.023516029119491577,0.008415358141064644,0.007704855874180794,0.007696240209043026,0.010556560009717941,0.027525603771209717,0.02108483947813511,0.008305593393743038,0.01843077316880226,0.018278181552886963,0.022125184535980225,0.023873381316661835,0.015621278434991837,0.016102902591228485,0.020993657410144806,0.00019901752239093184,0.00763867050409317,0.004666311666369438,0.005912352818995714,0.032147057354450226,0.005959770176559687,0.030892211943864822,0.012031344696879387,0.019775740802288055,0.01278215367347002,0.00827599223703146,0.006658036261796951,0.004721871577203274,0.00458926847204566,0.004376920871436596,0.005041185300797224,0.005111032165586948,0.004702447913587093,0.004479300696402788,0.004992335103452206,0.004853999242186546,0.03701362758874893,0.011017650365829468,0.011213894002139568,0.00945486593991518,0.008815579116344452,0.011395643465220928,0.008351010270416737,0.010490112006664276,0.011116495355963707,0.008706468157470226,0.009221943095326424,0.009219566360116005,0.011792273260653019,0.011696146801114082,0.00839538685977459,0.018070872873067856,0.018159370869398117,0.014195863157510757,0.02347976341843605,0.02338070422410965,0.023531515151262283,0.023578986525535583,0.023504868149757385,0.008544238284230232,0.007606418803334236,0.007812284864485264,0.020696260035037994,0.008255072869360447,0.018586289137601852,0.018402351066470146,0.02195221185684204,0.02426527440547943,0.01565936580300331,0.016124624758958817,0.020800920203328133
lapgyn4_surgical_actions,0.004395933821797371,0.0,0.0019285485614091158,0.0019944682717323303,0.0118536576628685,0.015992362052202225,0.0358303003013134,0.007218381855636835,0.010860893875360489,0.03528686240315437,0.01147681288421154,0.01015550084412098,0.013413905166089535,0.01530405692756176,0.02278386801481247,0.025526544079184532,0.010443884879350662,0.00781396683305502,0.006703165825456381,0.005025759339332581,0.0035198284313082695,0.0035272128880023956,0.003498879261314869,0.0035090509336441755,0.0034529853146523237,0.003459744155406952,0.0034761999268084764,0.01447964459657669,0.007765338756144047,0.018165621906518936,0.04144654795527458,0.02359110489487648,0.01478927955031395,0.014618799090385437,0.012691427022218704,0.011391907930374146,0.015274176374077797,0.010988723486661911,0.014376232400536537,0.014758017845451832,0.011814063414931297,0.012645553797483444,0.012324946001172066,0.015792369842529297,0.015234132297337055,0.010865211486816406,0.021113552153110504,0.016223419457674026,0.02087736316025257,0.013337209820747375,0.026054423302412033,0.017360210418701172,0.01198392640799284,0.02604261040687561,0.026007838547229767,0.026075417175889015,0.026014134287834167,0.008332713507115841,0.008473219349980354,0.00852926354855299,0.011636292561888695,0.029841629788279533,0.024458063766360283,0.011083018034696579,0.022388912737369537,0.02074301987886429,0.026073161512613297,0.02752329222857952,0.019572895020246506,0.019871540367603302,0.023466667160391808,0.00446842098608613,0.00354486214928329,0.0014290385879576206,0.001906149322167039,0.03606138378381729,0.00732005387544632,0.03459013253450394,0.014031445607542992,0.02295595407485962,0.010155871510505676,0.007782269269227982,0.0067031364887952805,0.004967975430190563,0.003304857760667801,0.0033580432645976543,0.0034152474254369736,0.0034943714272230864,0.003423879388719797,0.0033679152838885784,0.0035738502629101276,0.007479859981685877,0.041112422943115234,0.014807182364165783,0.01490113977342844,0.012805767357349396,0.011783935129642487,0.015272547490894794,0.010988551191985607,0.014199063181877136,0.014916859567165375,0.011623285710811615,0.01220310665667057,0.012378252111375332,0.015783414244651794,0.015339037403464317,0.010905027389526367,0.02080613002181053,0.020910225808620453,0.013341490179300308,0.02600976824760437,0.025891603901982307,0.026027357205748558,0.02608228661119938,0.02601604163646698,0.00839623436331749,0.008422283455729485,0.008451633155345917,0.024069005623459816,0.011010698042809963,0.02252979204058647,0.0208715982735157,0.025902248919010162,0.027915125712752342,0.019636519253253937,0.01988879218697548,0.02333102934062481
lapgyn4_instrument_count,0.0050006587989628315,0.0019285485614091158,0.0,0.0017615363467484713,0.010632517747581005,0.01681404560804367,0.036670930683612823,0.007737655192613602,0.010447509586811066,0.03610807657241821,0.012090395204722881,0.01067214272916317,0.014216838404536247,0.016111180186271667,0.021837007254362106,0.02479367144405842,0.009612483903765678,0.006952197290956974,0.006026668474078178,0.005775510333478451,0.0023506125435233116,0.0023592482320964336,0.002341867657378316,0.0023259527515619993,0.0023090755566954613,0.002303535118699074,0.0022997038904577494,0.013915715739130974,0.007581472396850586,0.01811867207288742,0.04225835204124451,0.02279633656144142,0.014451121911406517,0.015441607683897018,0.013494850136339664,0.012170849367976189,0.016093408688902855,0.011731309816241264,0.015199104323983192,0.015578621998429298,0.01258847489953041,0.013437774032354355,0.013123547658324242,0.01661154441535473,0.016057435423135757,0.011540068313479424,0.021794000640511513,0.015904836356639862,0.021576369181275368,0.013216866180300713,0.024515938013792038,0.018154259771108627,0.011467810720205307,0.02450747787952423,0.024464868009090424,0.024521004408597946,0.0244782492518425,0.007683170028030872,0.008082320913672447,0.008171478286385536,0.011373501271009445,0.02819463610649109,0.025205351412296295,0.011899774894118309,0.02320072054862976,0.020713556557893753,0.026893306523561478,0.028336841613054276,0.02039189822971821,0.01948416978120804,0.0220278799533844,0.005050729960203171,0.003232271410524845,0.0006684214458800852,0.0018260087817907333,0.036885540932416916,0.007911011576652527,0.03541805222630501,0.014843841083347797,0.022016193717718124,0.009330105036497116,0.006917365826666355,0.006011861842125654,0.005763329565525055,0.002237997017800808,0.002287446055561304,0.0022200183011591434,0.0023081121034920216,0.0023009805008769035,0.0022826814092695713,0.0024116409476846457,0.007437211461365223,0.041924286633729935,0.014427261427044868,0.01572231575846672,0.013612045906484127,0.012573431245982647,0.016089241951704025,0.011749045923352242,0.015021299943327904,0.0157376229763031,0.01240813359618187,0.0129658542573452,0.01317494548857212,0.016602084040641785,0.016162555664777756,0.011578813195228577,0.021487021818757057,0.02160891331732273,0.013218958862125874,0.02451140619814396,0.02437070943415165,0.02449066936969757,0.02454722672700882,0.024491574615240097,0.007783178705722094,0.008110396564006805,0.008040654473006725,0.02481904998421669,0.01182638294994831,0.023341726511716843,0.020849913358688354,0.026721425354480743,0.028726093471050262,0.02045494131743908,0.019434545189142227,0.02191569283604622
lapgyn4_anatomical_actions,0.006007509306073189,0.0019944682717323303,0.0017615363467484713,0.0,0.011457283049821854,0.017561625689268112,0.03739926964044571,0.008508802391588688,0.010775625705718994,0.03685494512319565,0.01297580637037754,0.011604313738644123,0.01490013487637043,0.01686386577785015,0.022881217300891876,0.02592889964580536,0.009521150961518288,0.007985063828527927,0.006896937731653452,0.006233939900994301,0.0038207967299968004,0.003824876854196191,0.0038248617202043533,0.003791989292949438,0.0037836278788745403,0.0037809384521096945,0.0037602740339934826,0.013874834403395653,0.008838186971843243,0.019234372302889824,0.04302418604493141,0.022068774327635765,0.015763618052005768,0.016297323629260063,0.01435653492808342,0.013015098869800568,0.01694248616695404,0.012572081759572029,0.016057152301073074,0.016430329531431198,0.013427657075226307,0.014298966154456139,0.013985464349389076,0.017441902309656143,0.016904428601264954,0.012383493594825268,0.022596362978219986,0.01554981991648674,0.022374555468559265,0.013173461891710758,0.025994881987571716,0.01901785284280777,0.012721382081508636,0.025996342301368713,0.025952067226171494,0.025993257761001587,0.025965005159378052,0.008410463109612465,0.009038753807544708,0.009124256670475006,0.012041047215461731,0.029607094824314117,0.025960303843021393,0.012664275243878365,0.023965630680322647,0.021656911820173264,0.02765110321342945,0.029096694663167,0.021147985011339188,0.020805969834327698,0.02352892793715,0.006056898273527622,0.002405855804681778,0.0016337991692125797,0.00030062763835303485,0.0376303493976593,0.008695715107023716,0.03615811467170715,0.015539263375103474,0.023054074496030807,0.009290210902690887,0.007970440201461315,0.006928376853466034,0.0061789159663021564,0.003675252664834261,0.0037826071493327618,0.0036231069825589657,0.0036922497674822807,0.003741983324289322,0.0037431465461850166,0.0038290522061288357,0.008605261333286762,0.04269011318683624,0.0157533660531044,0.01657826453447342,0.014475339092314243,0.013427898287773132,0.016939561814069748,0.012572172097861767,0.0158771350979805,0.016589678823947906,0.013249276205897331,0.013820399530231953,0.014041710644960403,0.01743071712553501,0.017012493684887886,0.012424077838659286,0.022290199995040894,0.022406158968806267,0.013174672611057758,0.026000969111919403,0.025863036513328552,0.025982853025197983,0.02603227272629738,0.02597924880683422,0.008466742932796478,0.009030894376337528,0.008975965902209282,0.02557741478085518,0.012593450956046581,0.02410655841231346,0.02179885096848011,0.02747979387640953,0.02948714792728424,0.021211305633187294,0.020793022587895393,0.023416554555296898
sklin2_skin_lesions,0.012388805858790874,0.0118536576628685,0.010632517747581005,0.011457283049821854,0.0,0.020627833902835846,0.04018053412437439,0.011858342215418816,0.009463411755859852,0.03971526026725769,0.015775933861732483,0.01424484048038721,0.017661530524492264,0.019677679985761642,0.023281153291463852,0.026370925828814507,0.006199246272444725,0.00560022285208106,0.008222496137022972,0.012256180867552757,0.009497171267867088,0.009508567862212658,0.009614244103431702,0.009504164569079876,0.00959385372698307,0.00960608571767807,0.009511008858680725,0.008227406069636345,0.011945381760597229,0.021394997835159302,0.04573459550738335,0.01730099320411682,0.017795521765947342,0.02113322541117668,0.019908197224140167,0.018950175493955612,0.021505214273929596,0.018758660182356834,0.02091256156563759,0.02113027125597,0.019399277865886688,0.019926976412534714,0.01957309991121292,0.021809034049510956,0.02187402732670307,0.01856907457113266,0.028493188321590424,0.012093107216060162,0.02825775370001793,0.008593582548201084,0.017906611785292625,0.024154990911483765,0.015270255506038666,0.017888490110635757,0.017908016219735146,0.017932312563061714,0.017858613282442093,0.008441401645541191,0.010607722215354443,0.010752977803349495,0.013886929489672184,0.0211762897670269,0.030921749770641327,0.01739879697561264,0.02731984481215477,0.02657555602490902,0.031068023294210434,0.033137157559394836,0.02459390088915825,0.020839063450694084,0.015761584043502808,0.012365741655230522,0.011847663670778275,0.010928923264145851,0.011557213962078094,0.04039810597896576,0.012076165527105331,0.039032988250255585,0.01832663267850876,0.023556802421808243,0.005867829546332359,0.00560490507632494,0.008157817646861076,0.012285304255783558,0.009656761772930622,0.00986233539879322,0.009468361735343933,0.009327320381999016,0.009604033082723618,0.009701546281576157,0.009307635948061943,0.01207605842500925,0.04539904743432999,0.017690956592559814,0.021405573934316635,0.01997585967183113,0.01925463043153286,0.021433025598526,0.018714087083935738,0.02073063887655735,0.021289711818099022,0.019206266850233078,0.019550852477550507,0.01961931586265564,0.02173764258623123,0.021973347291350365,0.018610620871186256,0.028187431395053864,0.028295179829001427,0.008559281006455421,0.0178779698908329,0.017783526331186295,0.01791623793542385,0.017928730696439743,0.017818717285990715,0.008389877155423164,0.01074090227484703,0.010502191260457039,0.030527330935001373,0.017296552658081055,0.02749171480536461,0.026735544204711914,0.030886974185705185,0.033528462052345276,0.02459869161248207,0.02064303494989872,0.015567380003631115
identify_nbi_infframes,0.012090416625142097,0.015992362052202225,0.01681404560804367,0.017561625689268112,0.020627833902835846,0.0,0.024365611374378204,0.010752550326287746,0.017420366406440735,0.023558860644698143,0.010126439854502678,0.010127432644367218,0.011933074332773685,0.011605069041252136,0.018256153911352158,0.019332870841026306,0.02442716807126999,0.017896637320518494,0.014432039111852646,0.012466790154576302,0.016151439398527145,0.016139306128025055,0.016019295901060104,0.016188379377126694,0.01602873206138611,0.016055557876825333,0.016176577657461166,0.02651604637503624,0.01068531721830368,0.008610323071479797,0.026676388457417488,0.037132855504751205,0.010124599561095238,0.011422587558627129,0.011757386848330498,0.012320363894104958,0.010956422425806522,0.01260482706129551,0.011271532624959946,0.0109664062038064,0.012348178774118423,0.012062013149261475,0.011919086799025536,0.010558206588029861,0.011427270248532295,0.012810200452804565,0.016755621880292892,0.02960110642015934,0.01666206680238247,0.01983519084751606,0.023697515949606895,0.012280631810426712,0.012407357804477215,0.02369479089975357,0.023707779124379158,0.023761054500937462,0.023658841848373413,0.015168825164437294,0.01342189870774746,0.013350406661629677,0.015669267624616623,0.02720680460333824,0.01666325330734253,0.011075000278651714,0.012792344205081463,0.01713242009282112,0.014603007584810257,0.017781155183911324,0.012057170271873474,0.013055294752120972,0.021332355216145515,0.012009483762085438,0.01950022764503956,0.0164288729429245,0.01746407151222229,0.024364016950130463,0.01062474399805069,0.022999731823801994,0.012000751681625843,0.01817598193883896,0.023997807875275612,0.01791485771536827,0.0144479526206851,0.012504843063652515,0.01596328802406788,0.015675170347094536,0.016468597576022148,0.016493793576955795,0.016020283102989197,0.01574551686644554,0.016333870589733124,0.01066580880433321,0.02646651491522789,0.010158609598875046,0.01134275458753109,0.011746241711080074,0.012216051109135151,0.01090500969439745,0.012545947916805744,0.01123342290520668,0.010923556983470917,0.012315932661294937,0.012289557605981827,0.011869576759636402,0.010515125468373299,0.01144882757216692,0.01279446855187416,0.01672152429819107,0.016725778579711914,0.02011888101696968,0.023584522306919098,0.023522261530160904,0.023690735921263695,0.02370697632431984,0.023615267127752304,0.015264470130205154,0.013319913297891617,0.013511141762137413,0.016499333083629608,0.011123313568532467,0.012938156723976135,0.01723797246813774,0.014517326839268208,0.017962615936994553,0.011918073520064354,0.013180330395698547,0.02108684554696083
laryngeal_tissues,0.03195200115442276,0.0358303003013134,0.036670930683612823,0.03739926964044571,0.04018053412437439,0.024365611374378204,0.0,0.029368355870246887,0.03579573705792427,0.00608521793037653,0.024962840601801872,0.026501502841711044,0.022965416312217712,0.02094460465013981,0.023545892909169197,0.023070409893989563,0.04423576593399048,0.03770430013537407,0.03418658673763275,0.03197816386818886,0.035991329699754715,0.035981833934783936,0.035856276750564575,0.036029499024152756,0.03586816042661667,0.035895101726055145,0.036019593477249146,0.046336956322193146,0.0308667104691267,0.023943334817886353,0.02353101596236229,0.056965772062540054,0.025487853214144707,0.02290160022675991,0.02400149405002594,0.025060409680008888,0.022400282323360443,0.025484789162874222,0.022968251258134842,0.022679168730974197,0.024784017354249954,0.024227574467658997,0.024326559156179428,0.02220315858721733,0.022716499865055084,0.025776807218790054,0.021879248321056366,0.04943355917930603,0.02191917598247528,0.03827285021543503,0.04029129073023796,0.022383887320756912,0.029587483033537865,0.040326111018657684,0.04027218744158745,0.040363915264606476,0.04027119278907776,0.033323515206575394,0.03034341335296631,0.030155405402183533,0.03246944397687912,0.04338880255818367,0.02195505052804947,0.02488308772444725,0.01710871234536171,0.02584473416209221,0.016656365245580673,0.020702267065644264,0.017927473410964012,0.022016022354364395,0.03932676091790199,0.03192403167486191,0.03933822736144066,0.036270733922719955,0.0373026579618454,0.00031095300801098347,0.02913343533873558,0.006248755380511284,0.022288434207439423,0.023524388670921326,0.04380427673459053,0.037723004817962646,0.034195445477962494,0.032023265957832336,0.03579355776309967,0.03552348539233208,0.036290157586336136,0.03631959110498428,0.03586731106042862,0.03559911251068115,0.036170318722724915,0.030806615948677063,0.02356206253170967,0.025622036308050156,0.02285359613597393,0.02390863001346588,0.02477569878101349,0.022505123168230057,0.025386668741703033,0.023083575069904327,0.02256753295660019,0.024858776479959488,0.024642542004585266,0.024352755397558212,0.022175827994942665,0.0226777084171772,0.025788184255361557,0.021937424317002296,0.02187095582485199,0.03864549100399017,0.040147602558135986,0.0400812104344368,0.040233634412288666,0.0402737632393837,0.04025952145457268,0.03346638381481171,0.030216265469789505,0.03047746978700161,0.022005705162882805,0.024957731366157532,0.017086099833250046,0.025920972228050232,0.01667134091258049,0.02071351930499077,0.017810579389333725,0.022199194878339767,0.039114225655794144
nerthus_bowel_cleansing_quality,0.005954975262284279,0.007218381855636835,0.007737655192613602,0.008508802391588688,0.011858342215418816,0.010752550326287746,0.029368355870246887,0.0,0.009109605103731155,0.028887219727039337,0.005526277702301741,0.004604566842317581,0.007429680787026882,0.009182415902614594,0.01842835173010826,0.02065536379814148,0.01493197213858366,0.00845312885940075,0.004899441264569759,0.003913323860615492,0.00698429811745882,0.006984241772443056,0.006878231652081013,0.007015911862254143,0.00686994194984436,0.006905287504196167,0.006999225355684757,0.0172601118683815,0.004628744907677174,0.012250285595655441,0.03495904058218002,0.02871440351009369,0.009129256941378117,0.012156317941844463,0.011164277791976929,0.010355900041759014,0.01237424649298191,0.010252673178911209,0.011915724724531174,0.012057069689035416,0.010790339671075344,0.01118486002087593,0.0108410082757473,0.012535728514194489,0.012885923497378826,0.010120279155671597,0.020116349682211876,0.02039271593093872,0.019929006695747375,0.012107716873288155,0.02415771409869194,0.015082042664289474,0.009342438541352749,0.024156197905540466,0.024147268384695053,0.024217061698436737,0.024117162451148033,0.00556844100356102,0.0043480899184942245,0.004333993420004845,0.00996062345802784,0.028125829994678497,0.021923324093222618,0.007939477451145649,0.017350709065794945,0.01959640346467495,0.02098177745938301,0.02385050617158413,0.014810014516115189,0.013126987963914871,0.021590344607830048,0.005975049454718828,0.010042209178209305,0.007459647953510284,0.008375510573387146,0.02958977222442627,0.0002585043548606336,0.028208153322339058,0.007923697121441364,0.018630556762218475,0.014502347446978092,0.00850717257708311,0.004894547630101442,0.00394803611561656,0.006784368306398392,0.006644171662628651,0.007189493626356125,0.007205551490187645,0.006862889975309372,0.00668021896854043,0.0071030473336577415,0.004574895370751619,0.03462592884898186,0.009181608445942402,0.01237668376415968,0.011215711012482643,0.010618260130286217,0.012298518791794777,0.010201041586697102,0.01175430603325367,0.012203887104988098,0.010588529519736767,0.010886820033192635,0.010847695171833038,0.012472989037632942,0.0129525912925601,0.010171015746891499,0.01988338679075241,0.019955767318606377,0.01219031773507595,0.02405380830168724,0.023976702243089676,0.02413932792842388,0.02417273260653019,0.024092018604278564,0.005674717016518116,0.004266822244971991,0.004371158313006163,0.02158275805413723,0.007861818186938763,0.017527449876070023,0.019732199609279633,0.02082056924700737,0.02414621412754059,0.01477022748440504,0.013156495057046413,0.021338358521461487
stanford_dogs_image_categorization,0.011488791555166245,0.010860893875360489,0.010447509586811066,0.010775625705718994,0.009463411755859852,0.017420366406440735,0.03579573705792427,0.009109605103731155,0.0,0.03524837642908096,0.011474596336483955,0.010196879506111145,0.013259967789053917,0.015408249571919441,0.022205602377653122,0.023793740198016167,0.01013862807303667,0.0068185157142579556,0.006142749451100826,0.009096672758460045,0.009328536689281464,0.009357890114188194,0.00945138931274414,0.009353380650281906,0.009395033121109009,0.009442492388188839,0.00935755018144846,0.011081565171480179,0.010255921632051468,0.017426125705242157,0.041410692036151886,0.021392976865172386,0.014314872212707996,0.020455650985240936,0.0192364901304245,0.01830732263624668,0.020689690485596657,0.01811029016971588,0.020215954631567,0.0203436017036438,0.018760863691568375,0.0193279217928648,0.018949009478092194,0.020886201411485672,0.02113308571279049,0.017970997840166092,0.028245339170098305,0.01387975923717022,0.028033984825015068,0.008164359256625175,0.024657845497131348,0.023591823875904083,0.014874637126922607,0.024649016559123993,0.02466975897550583,0.024717576801776886,0.02461296319961548,0.007563930470496416,0.008861872367560863,0.008976123295724392,0.009684174321591854,0.0280630961060524,0.02988627552986145,0.016547825187444687,0.02549571543931961,0.02668100595474243,0.029038401320576668,0.0317213349044323,0.022872552275657654,0.016709059476852417,0.022235816344618797,0.011481576599180698,0.011000891216099262,0.010528994724154472,0.0107304397970438,0.036026813089847565,0.00930982269346714,0.03455113619565964,0.01393396221101284,0.022480079904198647,0.009916705079376698,0.006946493871510029,0.006213907152414322,0.009091323241591454,0.009381557814776897,0.009626437909901142,0.009317330084741116,0.00914994440972805,0.009360839612782001,0.009512517601251602,0.009102215990424156,0.010427779518067837,0.04107663035392761,0.014204930514097214,0.02072211727499962,0.019313376396894455,0.01864026114344597,0.020638011395931244,0.01802835427224636,0.020035110414028168,0.02051120437681675,0.01852615922689438,0.01900296099483967,0.01900377869606018,0.020794663578271866,0.02122586965560913,0.018023226410150528,0.027977652847766876,0.02806302160024643,0.008251367136836052,0.02455485612154007,0.02449076995253563,0.024654503911733627,0.024669550359249115,0.024567080661654472,0.007388588041067123,0.008944587782025337,0.008742311969399452,0.02951677143573761,0.01646532490849495,0.025688689202070236,0.02683882787823677,0.02885984629392624,0.03205619752407074,0.022811248898506165,0.016517728567123413,0.021991753950715065
svhn,0.031555626541376114,0.03528686240315437,0.03610807657241821,0.03685494512319565,0.03971526026725769,0.023558860644698143,0.00608521793037653,0.028887219727039337,0.03524837642908096,0.0,0.024648364633321762,0.026148924604058266,0.022267885506153107,0.020171064883470535,0.02109111286699772,0.020411714911460876,0.04369806498289108,0.037174779921770096,0.03365303575992584,0.03143293783068657,0.035510677844285965,0.035503968596458435,0.035381659865379333,0.03554752841591835,0.03538930416107178,0.035416632890701294,0.03553742915391922,0.045801177620887756,0.030643556267023087,0.023264121264219284,0.02123083919286728,0.05643071234226227,0.02528863027691841,0.021934349089860916,0.023400185629725456,0.024619922041893005,0.021374665200710297,0.025061270222067833,0.02207786776125431,0.02175619639456272,0.02426762878894806,0.02357489988207817,0.023766763508319855,0.0211226437240839,0.02157670259475708,0.025355085730552673,0.020378796383738518,0.048899754881858826,0.020439665764570236,0.037737004458904266,0.03900085389614105,0.021140944212675095,0.02941225841641426,0.03903999924659729,0.03898199275135994,0.039084382355213165,0.0389888659119606,0.032785817980766296,0.02981323003768921,0.029630137607455254,0.032042719423770905,0.041780292987823486,0.02047153189778328,0.024394912645220757,0.01548052579164505,0.023842547088861465,0.014917265623807907,0.018701110035181046,0.017068546265363693,0.022029584273695946,0.03795206546783447,0.03154589980840683,0.038795895874500275,0.0357162244617939,0.036758553236722946,0.006070516537874937,0.028650600463151932,0.0007007673848420382,0.021574193611741066,0.021040242165327072,0.04326658695936203,0.037193022668361664,0.03366538882255554,0.031478412449359894,0.03530285507440567,0.03505799174308777,0.03578365594148636,0.0358218178153038,0.035391148179769516,0.03513006493449211,0.03568354994058609,0.03057359904050827,0.021251501515507698,0.025424033403396606,0.02180519700050354,0.023309815675020218,0.024295978248119354,0.021478915587067604,0.024958889931440353,0.022224899381399155,0.021626165136694908,0.02438286319375038,0.024048270657658577,0.02377031370997429,0.021114984527230263,0.02152791991829872,0.02536109834909439,0.02045469358563423,0.02039116807281971,0.03810981661081314,0.03884892165660858,0.03878959268331528,0.038941897451877594,0.038985349237918854,0.03898477181792259,0.032928671687841415,0.029685042798519135,0.02994525246322155,0.020526986569166183,0.024472316727042198,0.015454767271876335,0.023908112198114395,0.014973056502640247,0.018693629652261734,0.016970740631222725,0.0222259983420372,0.03774894401431084
