,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.004395933821797371,0.005000659264624119,0.006007510237395763,0.012388808652758598,0.012090418487787247,0.03195200115442276,0.005954975727945566,0.011488796211779118,0.03155563026666641,0.008033134043216705,0.006904410198330879,0.01148143969476223,0.011924363672733307,0.019611570984125137,0.022080525755882263,0.013153387233614922,0.008341580629348755,0.006688500754535198,0.004661930724978447,0.004794984590262175,0.0047945789992809296,0.004694826435297728,0.00483310129493475,0.004692379385232925,0.004711582791060209,0.004812706261873245,0.016182344406843185,0.005060276016592979,0.014136156067252159,0.0373476967215538,0.027019452303647995,0.010977229103446007,0.010922801680862904,0.0093756765127182,0.00854148156940937,0.011409402824938297,0.008376073092222214,0.010676462203264236,0.010951226577162743,0.008921336382627487,0.009500667452812195,0.00913738552480936,0.011832374148070812,0.011577945202589035,0.008403819054365158,0.018368415534496307,0.018978334963321686,0.018128838390111923,0.01415526494383812,0.02355339750647545,0.01400800608098507,0.009161394089460373,0.02354801818728447,0.023525111377239227,0.02359725907444954,0.023516034707427025,0.008415361866354942,0.007704854942858219,0.007696241140365601,0.01055656373500824,0.027525607496500015,0.02108483761548996,0.008305594325065613,0.018430769443511963,0.018278181552886963,0.022125180810689926,0.023873381316661835,0.015621280297636986,0.016102902591228485,0.020993664860725403,0.00019901758059859276,0.007638671435415745,0.0046663121320307255,0.0059123532846570015,0.03214704990386963,0.005959770642220974,0.03089221753180027,0.012031344696879387,0.019775740802288055,0.012782156467437744,0.008275993168354034,0.006658036261796951,0.004721870645880699,0.004589268937706947,0.0043769218027591705,0.005041187163442373,0.005111032631248236,0.004702448844909668,0.004479300696402788,0.004992336966097355,0.004853999242186546,0.03701363503932953,0.011017652228474617,0.011213895864784718,0.009454868733882904,0.00881558284163475,0.011395648121833801,0.008351009339094162,0.010490112006664276,0.011116495355963707,0.008706469088792801,0.009221946820616722,0.009219568222761154,0.011792276054620743,0.011696147732436657,0.008395387791097164,0.018070872873067856,0.018159369006752968,0.014195862226188183,0.02347976341843605,0.023380709812045097,0.023531517013907433,0.02357899397611618,0.023504875600337982,0.008544240146875381,0.007606417406350374,0.007812284864485264,0.020696254447102547,0.008255073800683022,0.01858629286289215,0.018402351066470146,0.02195221185684204,0.02426527813076973,0.01565936952829361,0.016124624758958817,0.020800922065973282
lapgyn4_surgical_actions,0.004395933356136084,0.0,0.0019285482121631503,0.0019944680389016867,0.0118536576628685,0.015992362052202225,0.0358302928507328,0.007218381389975548,0.010860897600650787,0.03528686240315437,0.011476811021566391,0.01015549898147583,0.01341390423476696,0.01530405692756176,0.022783860564231873,0.025526538491249084,0.010443883016705513,0.00781396683305502,0.0067031653597950935,0.005025759339332581,0.0035198277328163385,0.003527211956679821,0.0034988783299922943,0.003509051166474819,0.003452983917668462,0.0034597432240843773,0.0034761992283165455,0.014479642733931541,0.007765337824821472,0.018165620043873787,0.041446536779403687,0.02359110116958618,0.014789273962378502,0.014618802815675735,0.012691422365605831,0.011391906999051571,0.015274178236722946,0.010988723486661911,0.01437622681260109,0.014758017845451832,0.011814059689640999,0.012645550072193146,0.012324944138526917,0.015792366117239,0.015234125778079033,0.010865207761526108,0.021113552153110504,0.016223415732383728,0.020877357572317123,0.013337209820747375,0.026054421439766884,0.017360206693410873,0.011983921751379967,0.026042604818940163,0.02600783295929432,0.026075415313243866,0.026014134287834167,0.008332714438438416,0.00847321655601263,0.008529262617230415,0.01163629349321127,0.029841626062989235,0.024458054453134537,0.011083018034696579,0.02238890528678894,0.02074301615357399,0.0260731503367424,0.027523288503289223,0.019572891294956207,0.019871536642313004,0.023466672748327255,0.0044684214517474174,0.0035448619164526463,0.0014290385879576206,0.0019061488565057516,0.0360613688826561,0.007320052944123745,0.03459013253450394,0.014031440950930119,0.022955946624279022,0.010155871510505676,0.007782268337905407,0.006703134160488844,0.004967973567545414,0.00330485706217587,0.0033580432645976543,0.003415247891098261,0.0034943707287311554,0.00342387892305851,0.003367914818227291,0.0035738504957407713,0.00747985765337944,0.041112422943115234,0.014807179570198059,0.01490113977342844,0.012805767357349396,0.011783936992287636,0.015272549353539944,0.010988548398017883,0.014199059456586838,0.014916856773197651,0.011623283848166466,0.012203107587993145,0.012378251180052757,0.015783414244651794,0.015339034609496593,0.010905025526881218,0.020806126296520233,0.020910218358039856,0.013341485522687435,0.026009760797023773,0.025891605764627457,0.02602735348045826,0.026082288473844528,0.02601604536175728,0.008396235294640064,0.008422281593084335,0.008451631292700768,0.02406899631023407,0.011010697111487389,0.02252979204058647,0.020871592685580254,0.025902241468429565,0.027915123850107193,0.019636519253253937,0.01988879032433033,0.02333102747797966
lapgyn4_instrument_count,0.005000659264624119,0.001928548444993794,0.0,0.0017615366959944367,0.010632520541548729,0.01681404560804367,0.036670930683612823,0.007737656123936176,0.010447513312101364,0.03610808402299881,0.012090396136045456,0.01067214272916317,0.014216840267181396,0.016111182048916817,0.02183700166642666,0.02479366958141327,0.009612483903765678,0.006952197290956974,0.006026669405400753,0.005775511264801025,0.0023506125435233116,0.0023592477664351463,0.0023418671917170286,0.0023259534500539303,0.002309075091034174,0.002303535118699074,0.0022997036576271057,0.013915716670453548,0.007581472396850586,0.01811867207288742,0.04225834459066391,0.022796332836151123,0.014451120048761368,0.015441615134477615,0.01349484920501709,0.012170851230621338,0.016093412414193153,0.011731311678886414,0.015199100598692894,0.015578626655042171,0.01258847489953041,0.013437772169709206,0.013123548589646816,0.01661154255270958,0.01605743169784546,0.011540066450834274,0.02179400436580181,0.015904836356639862,0.02157636545598507,0.013216867111623287,0.024515941739082336,0.018154259771108627,0.011467807926237583,0.024507474154233932,0.024464868009090424,0.024521008133888245,0.024478256702423096,0.007683172356337309,0.008082319051027298,0.008171478286385536,0.011373503133654594,0.028194639831781387,0.025205347687005997,0.011899776756763458,0.02320071868598461,0.020713552832603455,0.02689330093562603,0.028336841613054276,0.02039189822971821,0.01948416978120804,0.022027889266610146,0.005050730891525745,0.0032322716433554888,0.000668421620503068,0.0018260087817907333,0.03688553720712662,0.007911011576652527,0.0354180634021759,0.014843840152025223,0.022016189992427826,0.009330106899142265,0.006917365826666355,0.006011861376464367,0.00576332863420248,0.002237997017800808,0.002287446055561304,0.0022200189996510744,0.0023081121034920216,0.002300980966538191,0.0022826814092695713,0.002411641413345933,0.007437210530042648,0.04192429035902023,0.014427261427044868,0.01572231948375702,0.013612048700451851,0.01257343590259552,0.016089245676994324,0.011749044060707092,0.015021298080682755,0.0157376229763031,0.012408134527504444,0.012965858913958073,0.01317494548857212,0.016602087765932083,0.016162555664777756,0.011578813195228577,0.021487021818757057,0.021608911454677582,0.013218957930803299,0.02451140619814396,0.024370715022087097,0.02449066936969757,0.024547230452299118,0.024491582065820694,0.0077831801027059555,0.008110394701361656,0.008040654473006725,0.02481904625892639,0.01182638294994831,0.023341728374361992,0.020849917083978653,0.026721425354480743,0.02872609719634056,0.02045494318008423,0.019434545189142227,0.02191569283604622
lapgyn4_anatomical_actions,0.006007511168718338,0.0019944682717323303,0.0017615368124097586,0.0,0.011457286775112152,0.01756162941455841,0.03739927336573601,0.008508804254233837,0.010775632224977016,0.036854956299066544,0.012975810095667839,0.011604314669966698,0.014900137670338154,0.0168638713657856,0.022881215438246727,0.025928903371095657,0.009521151892840862,0.007985064759850502,0.006896939128637314,0.006233941297978163,0.0038207971956580877,0.003824876621365547,0.0038248617202043533,0.0037919906899333,0.0037836278788745403,0.0037809391506016254,0.0037602742668241262,0.013874837197363377,0.008838188834488392,0.019234374165534973,0.04302418231964111,0.022068776190280914,0.015763618052005768,0.01629733294248581,0.01435653306543827,0.013015101663768291,0.016942491754889488,0.012572084553539753,0.016057152301073074,0.016430335119366646,0.013427658006548882,0.014298968017101288,0.01398546528071165,0.017441902309656143,0.016904424875974655,0.012383494526147842,0.022596370428800583,0.01554982177913189,0.022374553605914116,0.013173465617001057,0.025994887575507164,0.01901785470545292,0.012721382081508636,0.025996346026659012,0.025952069088816643,0.025993265211582184,0.025965014472603798,0.008410466834902763,0.009038752876222134,0.009124258533120155,0.012041051872074604,0.029607100412249565,0.025960303843021393,0.012664278037846088,0.023965630680322647,0.021656913682818413,0.027651101350784302,0.029096700251102448,0.021147985011339188,0.020805973559617996,0.023528939113020897,0.006056899670511484,0.002405856503173709,0.001633799634873867,0.00030062769656069577,0.0376303493976593,0.00869571603834629,0.03615812584757805,0.015539264306426048,0.023054074496030807,0.009290213696658611,0.00797044113278389,0.006928376853466034,0.006178915500640869,0.0036752531304955482,0.0037826080806553364,0.003623108845204115,0.0036922504659742117,0.003741984022781253,0.0037431474775075912,0.0038290536031126976,0.008605261333286762,0.04269012436270714,0.0157533697783947,0.016578271985054016,0.014475343748927116,0.01342790387570858,0.016939567402005196,0.012572172097861767,0.01587713696062565,0.016589678823947906,0.01324927806854248,0.013820406049489975,0.014041714370250702,0.01743072271347046,0.017012497410178185,0.012424079701304436,0.022290199995040894,0.022406158968806267,0.013174673542380333,0.0260009728372097,0.025863047689199448,0.02598285675048828,0.026032283902168274,0.025979259982705116,0.008466744795441628,0.009030894376337528,0.008975966833531857,0.02557741105556488,0.012593453750014305,0.024106565862894058,0.02179885469377041,0.02747979573905468,0.029487155377864838,0.02121131122112274,0.02079302817583084,0.023416558280587196
sklin2_skin_lesions,0.012388810515403748,0.011853659525513649,0.010632521472871304,0.011457286775112152,0.0,0.020627841353416443,0.040180545300245285,0.011858345940709114,0.009463418275117874,0.03971527889370918,0.01577593944966793,0.01424484420567751,0.017661534249782562,0.01967768743634224,0.02328115701675415,0.026370931416749954,0.006199247669428587,0.005600225180387497,0.008222498930990696,0.01225618552416563,0.009497174061834812,0.009508568793535233,0.009614245034754276,0.009504169225692749,0.009593854658305645,0.00960608758032322,0.009511010721325874,0.008227408863604069,0.011945385485887527,0.0213950052857399,0.045734602957963943,0.01730099506676197,0.01779552549123764,0.021133240312337875,0.019908199086785316,0.01895018294453621,0.021505223587155342,0.01875866763293743,0.02091256156563759,0.021130282431840897,0.019399281591176987,0.019926980137825012,0.01957310363650322,0.021809037774801254,0.02187402732670307,0.01856907829642296,0.028493201360106468,0.012093111872673035,0.028257757425308228,0.008593586273491383,0.017906619235873222,0.024154994636774063,0.01527025643736124,0.017888493835926056,0.017908019945025444,0.017932318150997162,0.01785862259566784,0.008441406302154064,0.010607724077999592,0.010752981528639793,0.013886937871575356,0.021176297217607498,0.030921753495931625,0.017398804426193237,0.02731984667479992,0.026575561612844467,0.031068025156855583,0.03313716873526573,0.024593906477093697,0.020839069038629532,0.015761595219373703,0.012365749105811119,0.011847669258713722,0.010928927920758724,0.011557216756045818,0.04039810970425606,0.01207616925239563,0.039033010601997375,0.018326634541153908,0.023556804284453392,0.0058678314089775085,0.005604906473308802,0.008157817646861076,0.012285305187106133,0.009656764566898346,0.009862339124083519,0.009468368254601955,0.00932732317596674,0.009604036808013916,0.00970154907554388,0.009307640604674816,0.0120760602876544,0.04539906233549118,0.01769096404314041,0.02140558324754238,0.019975870847702026,0.019254639744758606,0.021433036774396896,0.018714092671871185,0.02073064260184765,0.02128971368074417,0.019206272438168526,0.019550863653421402,0.019619323313236237,0.021737651899456978,0.02197335660457611,0.018610626459121704,0.02818743698298931,0.028295185416936874,0.00855928286910057,0.0178779736161232,0.01778353750705719,0.0179162435233593,0.01792873814702034,0.01781872846186161,0.008389880880713463,0.01074090413749218,0.010502194054424763,0.030527330935001373,0.017296556383371353,0.027491725981235504,0.02673555538058281,0.030886981636285782,0.03352847695350647,0.024598702788352966,0.020643044263124466,0.015567384660243988
identify_nbi_infframes,0.012090418487787247,0.015992362052202225,0.01681404560804367,0.01756162755191326,0.020627841353416443,0.0,0.024365611374378204,0.010752551257610321,0.017420373857021332,0.02355886623263359,0.010126441717147827,0.010127432644367218,0.01193307526409626,0.011605070903897285,0.01825615018606186,0.019332870841026306,0.02442716807126999,0.017896639183163643,0.014432040974497795,0.01246679201722145,0.016151439398527145,0.016139304265379906,0.016019295901060104,0.016188383102416992,0.01602872833609581,0.016055557876825333,0.016176577657461166,0.02651604823768139,0.010685318149626255,0.008610323071479797,0.02667638659477234,0.03713285177946091,0.010124598629772663,0.011422593146562576,0.011757384985685349,0.012320365756750107,0.010956425219774246,0.012604828923940659,0.011271530762314796,0.010966408997774124,0.012348178774118423,0.0120620122179389,0.011919086799025536,0.010558206588029861,0.011427268385887146,0.012810198590159416,0.01675562374293804,0.02960111014544964,0.01666206493973732,0.01983519457280636,0.023697521537542343,0.012280631810426712,0.01240735687315464,0.02369479276239872,0.023707779124379158,0.02376106195151806,0.02365884929895401,0.015168831683695316,0.01342189684510231,0.013350408524274826,0.01566927321255207,0.02720680832862854,0.01666325144469738,0.011075003072619438,0.012792343273758888,0.017132418230175972,0.014603005722165108,0.017781157046556473,0.012057170271873474,0.013055294752120972,0.02133236452937126,0.012009486556053162,0.019500229507684708,0.016428876668214798,0.01746407151222229,0.024364015087485313,0.01062474399805069,0.022999737411737442,0.012000750750303268,0.01817597821354866,0.02399781160056591,0.01791485771536827,0.014447951689362526,0.012504841201007366,0.01596328802406788,0.015675172209739685,0.016468603163957596,0.016493795439600945,0.016020283102989197,0.01574551686644554,0.016333874315023422,0.010665807873010635,0.02646651864051819,0.010158609598875046,0.011342758312821388,0.011746244505047798,0.012216055765748024,0.010905012488365173,0.01254594698548317,0.011233421042561531,0.010923556052148342,0.012315934523940086,0.012289561331272125,0.011869577690958977,0.010515127331018448,0.011448830366134644,0.01279446855187416,0.01672152429819107,0.016725776717066765,0.02011888101696968,0.023584522306919098,0.0235222689807415,0.023690737783908844,0.023706980049610138,0.0236152745783329,0.015264473855495453,0.013319911435246468,0.013511141762137413,0.01649932935833931,0.011123314499855042,0.01293815765529871,0.01723797246813774,0.014517327770590782,0.01796261966228485,0.011918075382709503,0.013180332258343697,0.02108684554696083
laryngeal_tissues,0.03195200115442276,0.0358302965760231,0.036670930683612823,0.03739926591515541,0.04018054157495499,0.024365607649087906,0.0,0.02936835214495659,0.03579574450850487,0.006085218396037817,0.024962838739156723,0.026501499116420746,0.022965412586927414,0.02094460278749466,0.0235458854585886,0.023070404306054115,0.04423575848340988,0.03770429641008377,0.03418658673763275,0.03197816386818886,0.035991325974464417,0.03598182275891304,0.03585626557469368,0.036029499024152756,0.035868145525455475,0.03589509427547455,0.03601958602666855,0.046336956322193146,0.030866706743836403,0.023943331092596054,0.023531010374426842,0.05696576088666916,0.02548784576356411,0.02290160581469536,0.024001488462090492,0.025060411542654037,0.02240028604865074,0.025484787300229073,0.022968241944909096,0.022679170593619347,0.024784013628959656,0.0242275670170784,0.02432655543088913,0.022203152999281883,0.022716492414474487,0.025776799768209457,0.021879248321056366,0.04943355545401573,0.021919168531894684,0.038272857666015625,0.04029129445552826,0.022383885458111763,0.02958747372031212,0.04032609984278679,0.04027217999100685,0.040363918989896774,0.04027119651436806,0.03332351893186569,0.030343404039740562,0.030155399814248085,0.03246944770216942,0.04338880628347397,0.021955043077468872,0.02488308772444725,0.01710870862007141,0.025844726711511612,0.016656361520290375,0.020702265202999115,0.017927469685673714,0.022016022354364395,0.03932677209377289,0.03192403167486191,0.03933822363615036,0.036270733922719955,0.0373026579618454,0.0003109529206994921,0.029133431613445282,0.0062487563118338585,0.022288426756858826,0.02352438122034073,0.04380428045988083,0.03772299736738205,0.0341954380273819,0.03202325478196144,0.03579355403780937,0.03552348539233208,0.03629016876220703,0.036319583654403687,0.03586730733513832,0.03559911251068115,0.03617032244801521,0.030806610360741615,0.023562060669064522,0.025622034445405006,0.02285359799861908,0.02390863187611103,0.024775702506303787,0.022505125030875206,0.025386663153767586,0.02308356761932373,0.02256752736866474,0.02485877275466919,0.024642543867230415,0.024352753534913063,0.022175826132297516,0.0226777084171772,0.02578817866742611,0.021937420591711998,0.02187095209956169,0.038645483553409576,0.04014759510755539,0.040081217885017395,0.040233634412288666,0.040273766964673996,0.040259528905153275,0.03346638381481171,0.030216258019208908,0.030477460473775864,0.02200569584965706,0.024957729503512383,0.017086097970604897,0.025920968502759933,0.01667133904993534,0.02071351744234562,0.017810579389333725,0.022199193015694618,0.039114221930503845
nerthus_bowel_cleansing_quality,0.005954976659268141,0.007218381855636835,0.007737656589597464,0.008508804254233837,0.011858345940709114,0.010752552188932896,0.029368357732892036,0.0,0.009109608829021454,0.028887225314974785,0.005526278633624315,0.004604566842317581,0.0074296812526881695,0.009182417765259743,0.01842835173010826,0.02065536566078663,0.014931973069906235,0.008453130722045898,0.004899442195892334,0.003913324326276779,0.006984298583120108,0.006984242238104343,0.006878231186419725,0.007015914656221867,0.006869941018521786,0.006905287504196167,0.006999225355684757,0.0172601155936718,0.004628745838999748,0.01225028745830059,0.034959036856889725,0.028714405372738838,0.009129256010055542,0.012156323529779911,0.011164276860654354,0.010355902835726738,0.012374249286949635,0.010252676904201508,0.011915722861886024,0.012057073414325714,0.010790340602397919,0.011184860952198505,0.0108410082757473,0.012535728514194489,0.012885922566056252,0.010120279155671597,0.020116353407502174,0.02039271593093872,0.019929002970457077,0.012107720598578453,0.024157719686627388,0.015082042664289474,0.009342437610030174,0.024156199768185616,0.024147268384695053,0.024217069149017334,0.02411717176437378,0.0055684433318674564,0.00434808898717165,0.004333993420004845,0.009960627183318138,0.028125833719968796,0.02192332223057747,0.007939479313790798,0.017350707203149796,0.0195964016020298,0.02098177559673786,0.023850509896874428,0.014810014516115189,0.013126988895237446,0.021590353921055794,0.005975051317363977,0.010042211972177029,0.007459649816155434,0.008375510573387146,0.02958976849913597,0.00025850438396446407,0.028208160772919655,0.00792369619011879,0.018630556762218475,0.01450235117226839,0.008507173508405685,0.00489454809576273,0.003948035649955273,0.006784369237720966,0.006644173059612513,0.007189496885985136,0.00720555242151022,0.0068628909066319466,0.006680219899863005,0.007103050127625465,0.004574895370751619,0.034625936299562454,0.009181610308587551,0.012376687489449978,0.011215714737772942,0.01061826478689909,0.012298522517085075,0.010201040655374527,0.01175430603325367,0.012203888967633247,0.010588531382381916,0.010886824689805508,0.010847695171833038,0.012472991831600666,0.01295259315520525,0.010171016678214073,0.01988338679075241,0.019955767318606377,0.01219031773507595,0.02405381016433239,0.023976711556315422,0.02413932979106903,0.024172740057110786,0.02409202978014946,0.005674718413501978,0.004266822244971991,0.004371157847344875,0.021582752466201782,0.007861820049583912,0.01752745360136032,0.019732199609279633,0.02082057110965252,0.024146221578121185,0.01477023120969534,0.013156496919691563,0.021338358521461487
stanford_dogs_image_categorization,0.011488797143101692,0.010860897600650787,0.010447513312101364,0.010775631293654442,0.009463416412472725,0.017420373857021332,0.035795748233795166,0.009109608829021454,0.0,0.03524839133024216,0.011474600993096828,0.010196883231401443,0.013259973376989365,0.015408257022500038,0.02220560796558857,0.023793745785951614,0.010138630867004395,0.006818518042564392,0.00614275224506855,0.009096676483750343,0.009328540414571762,0.009357891976833344,0.00945139117538929,0.009353384375572205,0.009395034983754158,0.009442495182156563,0.009357552975416183,0.011081570759415627,0.010255925357341766,0.017426129430532455,0.04141070321202278,0.021392982453107834,0.01431487500667572,0.02045566588640213,0.019236493855714798,0.018307331949472427,0.0206897035241127,0.018110299482941628,0.0202159583568573,0.020343612879514694,0.018760867416858673,0.019327927380800247,0.01894901692867279,0.02088620513677597,0.02113308757543564,0.01797100156545639,0.02824535220861435,0.013879764825105667,0.028033990412950516,0.008164362981915474,0.024657856673002243,0.02359183132648468,0.014874638989567757,0.02464902400970459,0.024669766426086426,0.02471758797764778,0.024612978100776672,0.0075639355927705765,0.008861874230206013,0.008976126089692116,0.009684180840849876,0.028063107281923294,0.02988627925515175,0.016547834500670433,0.02549572102725506,0.02668101154267788,0.029038405045866966,0.03172134608030319,0.02287255972623825,0.016709065064787865,0.02223583310842514,0.01148158311843872,0.011000895872712135,0.01052900031208992,0.010730443522334099,0.03602682054042816,0.009309826418757439,0.03455115854740143,0.013933965936303139,0.022480085492134094,0.00991670973598957,0.006946496665477753,0.006213909015059471,0.009091325104236603,0.009381560608744621,0.009626442566514015,0.009317336603999138,0.009149948135018349,0.0093608433380723,0.009512520395219326,0.009102221578359604,0.01042778231203556,0.041076648980379105,0.014204936102032661,0.020722128450870514,0.0193133894354105,0.018640272319316864,0.020638026297092438,0.01802835986018181,0.020035114139318466,0.020511209964752197,0.018526166677474976,0.019002974033355713,0.019003786146640778,0.020794672891497612,0.021225880831480026,0.018023233860731125,0.027977660298347473,0.028063029050827026,0.008251368999481201,0.024554865434765816,0.024490784853696823,0.024654511362314224,0.02466956526041031,0.024567097425460815,0.007388591766357422,0.008944589644670486,0.008742313832044601,0.02951677516102791,0.016465332359075546,0.02568870037794113,0.026838839054107666,0.028859855607151985,0.032056212425231934,0.02281126007437706,0.01651773601770401,0.02199176326394081
svhn,0.03155563771724701,0.03528686612844467,0.03610808402299881,0.036854952573776245,0.03971527889370918,0.02355886436998844,0.006085218861699104,0.028887223452329636,0.035248395055532455,0.0,0.02464836835861206,0.026148928329348564,0.022267889231443405,0.020171068608760834,0.02109111100435257,0.020411714911460876,0.04369806498289108,0.03717479109764099,0.03365304693579674,0.031432949006557465,0.03551068529486656,0.035503972321748734,0.035381659865379333,0.035547539591789246,0.03538930416107178,0.03541663661599159,0.03553742915391922,0.04580118879675865,0.030643563717603683,0.023264124989509583,0.02123083919286728,0.056430716067552567,0.02528863027691841,0.02193436026573181,0.023400183767080307,0.02461993135511875,0.021374672651290894,0.02506127581000328,0.02207786776125431,0.021756205707788467,0.02426763065159321,0.02357489988207817,0.023766767233610153,0.02112264558672905,0.02157669886946678,0.025355085730552673,0.020378801971673965,0.04889976605772972,0.020439665764570236,0.03773701190948486,0.03900086134672165,0.021140947937965393,0.02941225841641426,0.03904000297188759,0.03898199275135994,0.03908438980579376,0.038988884538412094,0.03278583288192749,0.02981323003768921,0.0296301431953907,0.0320427343249321,0.04178030043840408,0.02047153189778328,0.024394920095801353,0.01548052579164505,0.023842547088861465,0.014917265623807907,0.018701113760471344,0.01706854999065399,0.022029586136341095,0.03795208781957626,0.03154590725898743,0.03879590332508087,0.035716235637664795,0.036758556962013245,0.00607051607221365,0.02865060418844223,0.0007007676758803427,0.021574193611741066,0.021040242165327072,0.04326659440994263,0.03719302639365196,0.03366538882255554,0.031478412449359894,0.035302866250276566,0.035057999193668365,0.03578367456793785,0.0358218252658844,0.035391151905059814,0.03513006865978241,0.035683564841747284,0.03057359904050827,0.021251507103443146,0.025424037128686905,0.021805204451084137,0.023309824988245964,0.0242959912866354,0.02147892490029335,0.024958889931440353,0.022224899381399155,0.021626166999340057,0.02438286878168583,0.024048281833529472,0.023770317435264587,0.02111499011516571,0.02152792364358902,0.02536110207438469,0.02045469544827938,0.02039116993546486,0.03810981661081314,0.03884892165660858,0.03878960758447647,0.03894190490245819,0.03898536413908005,0.038984790444374084,0.03292868286371231,0.029685044661164284,0.0299452543258667,0.020526980981230736,0.024472318589687347,0.015454770997166634,0.023908115923404694,0.014973057433962822,0.01869363710284233,0.016970744356513023,0.0222260020673275,0.037748947739601135
