,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0043959347531199455,0.005000659264624119,0.006007509306073189,0.0123888049274683,0.012090417556464672,0.03195200115442276,0.005954975727945566,0.01148878876119852,0.031555626541376114,0.00803313311189413,0.006904411129653454,0.011481438763439655,0.011924361810088158,0.019611582159996033,0.02208053134381771,0.013153390027582645,0.008341580629348755,0.006688499823212624,0.004661929327994585,0.004794985521584749,0.0047945803962647915,0.004694828297942877,0.004833099897950888,0.004692381247878075,0.004711584188044071,0.00481270719319582,0.016182340681552887,0.005060276016592979,0.014136157929897308,0.037347711622714996,0.027019459754228592,0.01097723189741373,0.010922793298959732,0.0093756802380085,0.008541479706764221,0.011409399099647999,0.008376072160899639,0.010676467791199684,0.010951222851872444,0.008921338245272636,0.009500669315457344,0.009137386456131935,0.01183237787336111,0.011577950790524483,0.008403822779655457,0.018368415534496307,0.018978334963321686,0.01812884584069252,0.01415526308119297,0.02355339191854,0.014008008874952793,0.009161397814750671,0.023548023775219917,0.023525115102529526,0.02359725534915924,0.02351602539420128,0.008415356278419495,0.007704857736825943,0.007696241140365601,0.010556559078395367,0.027525603771209717,0.021084846928715706,0.008305594325065613,0.01843077689409256,0.01827818527817726,0.02212519198656082,0.023873381316661835,0.015621282160282135,0.016102902591228485,0.020993651822209358,0.00019901750783901662,0.00763867050409317,0.004666311200708151,0.0059123532846570015,0.03214706480503082,0.005959771107882261,0.030892208218574524,0.012031348422169685,0.019775746390223503,0.01278215367347002,0.008275993168354034,0.006658037193119526,0.004721872974187136,0.004589268937706947,0.004376920871436596,0.005041184369474649,0.005111032631248236,0.004702448844909668,0.0044793011620640755,0.004992335103452206,0.004854000639170408,0.03701362758874893,0.011017651297152042,0.011213893070816994,0.009454865008592606,0.008815577253699303,0.011395642533898354,0.00835101306438446,0.010490113869309425,0.011116497218608856,0.008706469088792801,0.009221942164003849,0.009219568222761154,0.011792273260653019,0.011696146801114082,0.00839538685977459,0.018070876598358154,0.018159374594688416,0.014195866882801056,0.0234797652810812,0.02338070049881935,0.023531518876552582,0.023578986525535583,0.023504864424467087,0.008544238284230232,0.007606420200318098,0.007812286727130413,0.02069626934826374,0.008255073800683022,0.018586289137601852,0.018402352929115295,0.02195221558213234,0.02426527440547943,0.01565936580300331,0.016124624758958817,0.020800922065973282
lapgyn4_surgical_actions,0.004395932890474796,0.0,0.0019285483285784721,0.001994467806071043,0.011853653937578201,0.015992360189557076,0.0358303003013134,0.007218380458652973,0.01086089015007019,0.035286854952573776,0.011476811021566391,0.010155499912798405,0.013413903303444386,0.015304052270948887,0.02278386987745762,0.025526542216539383,0.010443884879350662,0.007813965901732445,0.006703164894133806,0.005025758408010006,0.0035198284313082695,0.0035272128880023956,0.0034988794941455126,0.003509050002321601,0.0034529855474829674,0.0034597436897456646,0.003476199693977833,0.014479640871286392,0.007765337824821472,0.018165621906518936,0.04144655168056488,0.02359110489487648,0.01478927955031395,0.01461879163980484,0.012691427953541279,0.011391906067728996,0.015274172648787498,0.010988721624016762,0.014376235194504261,0.014758013188838959,0.011814062483608723,0.012645553797483444,0.012324945069849491,0.015792369842529297,0.015234136022627354,0.010865211486816406,0.021113550290465355,0.016223415732383728,0.02087736502289772,0.013337206095457077,0.026054417714476585,0.017360210418701172,0.011983927339315414,0.02604260854423046,0.026007838547229767,0.02607540972530842,0.026014123111963272,0.008332710713148117,0.008473219349980354,0.008529262617230415,0.011636288836598396,0.029841624200344086,0.024458065629005432,0.01108301617205143,0.022388912737369537,0.020743021741509438,0.026073163375258446,0.027523290365934372,0.019572895020246506,0.019871536642313004,0.023466655984520912,0.0044684200547635555,0.003544861450791359,0.0014290382387116551,0.0019061490893363953,0.03606138378381729,0.007320052944123745,0.03459012508392334,0.014031445607542992,0.02295595407485962,0.010155869647860527,0.007782268337905407,0.006703135557472706,0.004967975430190563,0.0033048572950065136,0.003358042798936367,0.003415245795622468,0.0034943711943924427,0.00342387892305851,0.003367914818227291,0.0035738490987569094,0.007479859981685877,0.04111241549253464,0.014807179570198059,0.014901135116815567,0.012805763632059097,0.011783929541707039,0.015272542834281921,0.010988550260663033,0.014199062250554562,0.01491686049848795,0.011623283848166466,0.012203102000057697,0.012378250248730183,0.015783410519361496,0.015339033678174019,0.010905025526881218,0.02080613002181053,0.020910225808620453,0.013341490179300308,0.02600976452231407,0.02589159645140171,0.02602735534310341,0.026082277297973633,0.026016030460596085,0.008396233431994915,0.00842228438705206,0.008451633155345917,0.024069011211395264,0.011010697111487389,0.022529788315296173,0.020871594548225403,0.025902245193719864,0.027915120124816895,0.01963651552796364,0.01988878846168518,0.02333102747797966
lapgyn4_instrument_count,0.005000658333301544,0.0019285487942397594,0.0,0.0017615363467484713,0.010632515884935856,0.01681404374539852,0.03667093440890312,0.007737655192613602,0.010447505861520767,0.036108072847127914,0.012090395204722881,0.010672144591808319,0.014216838404536247,0.01611117646098137,0.021837010979652405,0.024793673306703568,0.009612485766410828,0.006952196359634399,0.006026668474078178,0.005775509402155876,0.0023506125435233116,0.0023592484649270773,0.0023418678902089596,0.0023259525187313557,0.0023090760223567486,0.0023035353515297174,0.0022997038904577494,0.013915713876485825,0.007581471931189299,0.01811867393553257,0.042258359491825104,0.02279633842408657,0.014451124705374241,0.01544160395860672,0.013494853861629963,0.01217084750533104,0.016093406826257706,0.01173130888491869,0.015199108049273491,0.01557862013578415,0.012588475830852985,0.013437775894999504,0.013123549520969391,0.016611546277999878,0.016057439148426056,0.011540070176124573,0.021793998777866364,0.015904836356639862,0.021576374769210815,0.013216864317655563,0.02451593428850174,0.018154261633753777,0.01146781351417303,0.02450747787952423,0.024464869871735573,0.024521000683307648,0.0244782455265522,0.007683168165385723,0.008082321844995022,0.008171478286385536,0.011373497545719147,0.02819463424384594,0.025205358862876892,0.011899773962795734,0.02320072427392006,0.020713556557893753,0.026893313974142075,0.028336839750409126,0.02039189822971821,0.01948416978120804,0.022027872502803802,0.005050729028880596,0.0032322711776942015,0.0006684213876724243,0.0018260088982060552,0.036885544657707214,0.007911012507975101,0.03541804850101471,0.014843843877315521,0.022016197443008423,0.009330104105174541,0.006917365826666355,0.0060118623077869415,0.005763330962508917,0.002237997017800808,0.002287445589900017,0.002220017369836569,0.0023081121034920216,0.0023009805008769035,0.0022826814092695713,0.0024116402491927147,0.0074372123926877975,0.041924282908439636,0.014427261427044868,0.015722312033176422,0.013612043112516403,0.012573427520692348,0.016089238226413727,0.011749045923352242,0.015021301805973053,0.0157376267015934,0.012408134527504444,0.012965851463377476,0.013174944557249546,0.016602084040641785,0.016162553802132607,0.011578813195228577,0.021487025544047356,0.02160891704261303,0.013218961656093597,0.02451140619814396,0.024370703846216202,0.02449066750705242,0.024547221139073372,0.0244915671646595,0.007783178240060806,0.008110396564006805,0.0080406554043293,0.024819059297442436,0.01182638294994831,0.023341726511716843,0.020849913358688354,0.026721429079771042,0.028726091608405113,0.02045493945479393,0.01943454146385193,0.02191569283604622
lapgyn4_anatomical_actions,0.0060075088404119015,0.001994468504562974,0.001761536579579115,0.0,0.011457281187176704,0.017561625689268112,0.03739927336573601,0.008508803322911263,0.01077562291175127,0.03685494512319565,0.01297580637037754,0.011604314669966698,0.01490013487637043,0.01686386577785015,0.022881224751472473,0.025928903371095657,0.009521152824163437,0.007985063828527927,0.006896937731653452,0.006233938969671726,0.003820796962827444,0.003824877552688122,0.0038248624186962843,0.003791988827288151,0.0037836290430277586,0.003780939383432269,0.00376027449965477,0.013874833472073078,0.008838187903165817,0.019234372302889824,0.04302419349551201,0.022068779915571213,0.015763621777296066,0.016297318041324615,0.014356537722051144,0.013015097007155418,0.01694248430430889,0.012572081759572029,0.01605715975165367,0.0164303258061409,0.013427658006548882,0.014298968017101288,0.013985466212034225,0.01744190603494644,0.0169044341892004,0.012383496388792992,0.022596362978219986,0.01554981991648674,0.022374559193849564,0.013173460960388184,0.025994878262281418,0.01901785470545292,0.012721385806798935,0.025996346026659012,0.025952070951461792,0.025993255898356438,0.025964997708797455,0.008410461246967316,0.009038755670189857,0.00912425760179758,0.012041045352816582,0.029607094824314117,0.02596031129360199,0.01266427431255579,0.023965636268258095,0.021656915545463562,0.027651110664010048,0.02909669652581215,0.021147988736629486,0.020805971696972847,0.023528920486569405,0.00605689687654376,0.0024058560375124216,0.001633798936381936,0.00030062769656069577,0.0376303605735302,0.00869571603834629,0.036158110946416855,0.015539267100393772,0.023054078221321106,0.009290210902690887,0.007970440201461315,0.0069283777847886086,0.006178917363286018,0.0036752528976649046,0.0037826071493327618,0.003623106051236391,0.003692250233143568,0.003741983789950609,0.0037431465461850166,0.0038290515076369047,0.008605263195931911,0.04269011318683624,0.0157533660531044,0.01657826267182827,0.01447533629834652,0.013427895493805408,0.01693955808877945,0.012572173960506916,0.015877138823270798,0.016589678823947906,0.013249276205897331,0.013820396736264229,0.014041711576282978,0.01743071712553501,0.017012491822242737,0.012424077838659286,0.022290203720331192,0.022406162694096565,0.013174675405025482,0.0260009728372097,0.025863032788038254,0.025982853025197983,0.02603227086365223,0.025979241356253624,0.008466742001473904,0.009030896238982677,0.008975967764854431,0.025577425956726074,0.012593451887369156,0.02410656027495861,0.02179885283112526,0.02747979573905468,0.029487144201993942,0.021211303770542145,0.020793022587895393,0.023416556417942047
sklin2_skin_lesions,0.012388806790113449,0.011853661388158798,0.010632520541548729,0.011457284912467003,0.0,0.020627837628126144,0.040180545300245285,0.011858344078063965,0.009463409893214703,0.03971526771783829,0.015775935724377632,0.01424484420567751,0.017661530524492264,0.019677679985761642,0.023281164467334747,0.026370933279395103,0.006199248600751162,0.005600223783403635,0.008222497068345547,0.012256180867552757,0.009497173130512238,0.009508571587502956,0.009614246897399426,0.00950416550040245,0.009593857452273369,0.00960608758032322,0.009511010721325874,0.00822740700095892,0.011945383623242378,0.0213950015604496,0.04573461413383484,0.01730099692940712,0.01779552921652794,0.021133221685886383,0.019908204674720764,0.018950175493955612,0.021505214273929596,0.018758662045001984,0.020912570878863335,0.02113027125597,0.019399283453822136,0.01992698200047016,0.01957310363650322,0.021809039637446404,0.021874036639928818,0.018569082021713257,0.02849319390952587,0.012093110010027885,0.028257764875888824,0.008593583479523659,0.017906613647937775,0.024154996499419212,0.015270261093974113,0.017888495698571205,0.017908019945025444,0.017932312563061714,0.017858613282442093,0.008441400714218616,0.010607726871967316,0.010752979665994644,0.01388692855834961,0.0211762934923172,0.03092176467180252,0.01739879697561264,0.027319852262735367,0.026575565338134766,0.031068038195371628,0.03313716500997543,0.024593906477093697,0.020839067175984383,0.01576158218085766,0.012365743517875671,0.011847665533423424,0.010928924195468426,0.011557217687368393,0.04039812088012695,0.01207616925239563,0.039032988250255585,0.018326638266444206,0.02355680987238884,0.005867830477654934,0.005604906007647514,0.008157819509506226,0.012285308912396431,0.009656764566898346,0.009862336330115795,0.009468360804021358,0.009327322244644165,0.009604034945368767,0.009701548144221306,0.009307635948061943,0.012076063081622124,0.045399054884910583,0.017690960317850113,0.021405573934316635,0.01997585967183113,0.01925462856888771,0.021433023735880852,0.018714092671871185,0.020730644464492798,0.02128971740603447,0.019206270575523376,0.019550850614905357,0.019619319587945938,0.02173764444887638,0.021973349153995514,0.018610624596476555,0.02818744257092476,0.028295189142227173,0.00855928473174572,0.0178779736161232,0.017783526331186295,0.017916239798069,0.017928730696439743,0.017818715423345566,0.008389877155423164,0.010740906000137329,0.010502194985747337,0.030527349561452866,0.017296554520726204,0.027491716668009758,0.02673555165529251,0.030886981636285782,0.033528465777635574,0.02459869347512722,0.02064303681254387,0.015567381866276264
identify_nbi_infframes,0.012090415693819523,0.015992365777492523,0.01681404560804367,0.017561625689268112,0.020627832040190697,0.0,0.024365613237023354,0.010752550326287746,0.017420358955860138,0.023558858782052994,0.010126439854502678,0.010127434507012367,0.01193307526409626,0.011605067178606987,0.018256157636642456,0.019332874566316605,0.024427171796560287,0.017896637320518494,0.014432039111852646,0.012466788291931152,0.016151439398527145,0.016139309853315353,0.016019299626350403,0.016188379377126694,0.016028735786676407,0.01605556160211563,0.016176581382751465,0.02651604451239109,0.01068531721830368,0.008610323071479797,0.026676395907998085,0.037132859230041504,0.010124601423740387,0.011422584764659405,0.011757387779653072,0.012320362962782383,0.010956421494483948,0.01260482706129551,0.011271536350250244,0.010966405272483826,0.012348179705440998,0.012062015011906624,0.01191908773034811,0.01055820845067501,0.011427273973822594,0.01281020324677229,0.016755621880292892,0.02960110828280449,0.016662070527672768,0.01983518898487091,0.023697514086961746,0.012280633673071861,0.012407361529767513,0.02369479462504387,0.023707782849669456,0.023761052638292313,0.023658834397792816,0.015168823301792145,0.013421900570392609,0.013350408524274826,0.015669265761971474,0.02720680646598339,0.016663257032632828,0.01107499934732914,0.012792346999049187,0.01713242195546627,0.01460301224142313,0.017781155183911324,0.012057172134518623,0.013055294752120972,0.021332349628210068,0.012009481899440289,0.01950022764503956,0.0164288729429245,0.01746407337486744,0.02436402626335621,0.01062474399805069,0.022999728098511696,0.012000753544270992,0.01817598193883896,0.023997806012630463,0.01791485771536827,0.014447953552007675,0.012504846788942814,0.015963289886713028,0.015675168484449387,0.0164685919880867,0.016493793576955795,0.016020283102989197,0.015745515003800392,0.016333866864442825,0.01066581066697836,0.02646651491522789,0.010158608667552471,0.01134275272488594,0.011746239848434925,0.012216047383844852,0.010905006900429726,0.012545949779450893,0.011233423836529255,0.010923557914793491,0.012315932661294937,0.012289555743336678,0.011869576759636402,0.010515124537050724,0.01144882757216692,0.01279446855187416,0.01672152616083622,0.016725782305002213,0.02011888474225998,0.023584522306919098,0.023522257804870605,0.023690735921263695,0.023706970736384392,0.023615259677171707,0.01526446919888258,0.013319915160536766,0.013511144556105137,0.016499340534210205,0.011123314499855042,0.012938154861330986,0.01723797246813774,0.014517329633235931,0.017962615936994553,0.01191807258874178,0.013180330395698547,0.02108684554696083
laryngeal_tissues,0.03195199370384216,0.0358303040266037,0.036670930683612823,0.03739926591515541,0.04018052667379379,0.024365607649087906,0.0,0.029368354007601738,0.03579572215676308,0.006085216999053955,0.024962838739156723,0.026501504704356194,0.022965416312217712,0.02094459906220436,0.023545898497104645,0.023070409893989563,0.04423576593399048,0.03770429641008377,0.03418658673763275,0.03197816014289856,0.035991329699754715,0.035981833934783936,0.035856280475854874,0.03602949529886246,0.03586816415190697,0.035895101726055145,0.036019593477249146,0.04633695259690285,0.030866708606481552,0.023943331092596054,0.023531019687652588,0.05696577578783035,0.025487855076789856,0.022901590913534164,0.02400149777531624,0.02506040595471859,0.022400278598070145,0.025484785437583923,0.02296825498342514,0.0226791650056839,0.024784017354249954,0.024227574467658997,0.024326561018824577,0.02220315858721733,0.022716505452990532,0.025776810944080353,0.021879248321056366,0.04943355545401573,0.02191917784512043,0.03827285021543503,0.04029128700494766,0.02238388918340206,0.029587488621473312,0.040326111018657684,0.04027219116687775,0.04036390781402588,0.04027118161320686,0.0333235040307045,0.030343415215611458,0.030155401676893234,0.03246943652629852,0.04338879883289337,0.021955054253339767,0.024883083999156952,0.01710871234536171,0.025844736024737358,0.01665636897087097,0.020702265202999115,0.01792747527360916,0.022016022354364395,0.0393267497420311,0.03192402422428131,0.03933822363615036,0.03627073019742966,0.0373026579618454,0.00031095300801098347,0.02913343533873558,0.006248753983527422,0.022288434207439423,0.023524392396211624,0.04380427300930023,0.037723004817962646,0.03419544920325279,0.03202327340841293,0.03579355776309967,0.03552348166704178,0.03629014641046524,0.036319587379693985,0.03586731106042862,0.03559911251068115,0.03617031127214432,0.03080662153661251,0.023562058806419373,0.025622036308050156,0.022853590548038483,0.023908624425530434,0.024775691330432892,0.02250511571764946,0.025386668741703033,0.023083575069904327,0.02256753295660019,0.02485877461731434,0.02464253269135952,0.024352753534913063,0.022175826132297516,0.022677704691886902,0.025788184255361557,0.021937428042292595,0.02187095768749714,0.03864549472928047,0.040147602558135986,0.0400812029838562,0.04023363068699837,0.0402737557888031,0.04025951027870178,0.03346637636423111,0.030216269195079803,0.03047746978700161,0.022005710750818253,0.024957731366157532,0.017086096107959747,0.025920968502759933,0.01667134091258049,0.02071351557970047,0.017810577526688576,0.02219919115304947,0.039114221930503845
nerthus_bowel_cleansing_quality,0.0059549747966229916,0.007218383252620697,0.007737655192613602,0.008508802391588688,0.011858340352773666,0.010752550326287746,0.029368359595537186,0.0,0.009109601378440857,0.02888721600174904,0.005526277236640453,0.0046045673079788685,0.0074296798557043076,0.009182414971292019,0.018428359180688858,0.020655367523431778,0.014931973069906235,0.00845312885940075,0.004899441264569759,0.003913322929292917,0.006984299048781395,0.006984243169426918,0.006878232583403587,0.0070159113965928555,0.00686994381248951,0.006905288435518742,0.006999226287007332,0.0172601118683815,0.004628744907677174,0.012250285595655441,0.03495904803276062,0.028714409098029137,0.009129258804023266,0.012156314216554165,0.011164279654622078,0.01035589911043644,0.012374243699014187,0.010252673178911209,0.011915728449821472,0.012057067826390266,0.010790340602397919,0.01118486188352108,0.010841009207069874,0.012535730376839638,0.0128859281539917,0.01012028194963932,0.020116347819566727,0.02039271593093872,0.019929010421037674,0.01210771594196558,0.024157710373401642,0.015082043595612049,0.009342441335320473,0.024156201630830765,0.024147270247340202,0.024217061698436737,0.024117156863212585,0.005568439606577158,0.004348090384155512,0.004333993420004845,0.00996062159538269,0.028125829994678497,0.021923329681158066,0.007939476519823074,0.017350710928440094,0.0195964053273201,0.02098178304731846,0.02385050617158413,0.014810015447437763,0.013126987963914871,0.02159033715724945,0.005975048989057541,0.010042209178209305,0.007459647487848997,0.008375510573387146,0.029589779675006866,0.00025850438396446407,0.02820814773440361,0.007923698052763939,0.018630560487508774,0.014502347446978092,0.00850717257708311,0.00489454809576273,0.003948037512600422,0.006784368772059679,0.006644171662628651,0.007189491763710976,0.007205551490187645,0.006862889975309372,0.00668021896854043,0.007103046402335167,0.004574896302074194,0.03462592512369156,0.009181609377264977,0.01237668190151453,0.011215709149837494,0.010618257336318493,0.012298515997827053,0.010201042518019676,0.011754307895898819,0.012203888967633247,0.010588530451059341,0.010886818170547485,0.010847694240510464,0.012472988106310368,0.012952590361237526,0.010171016678214073,0.01988338865339756,0.019955769181251526,0.012190320529043674,0.02405380830168724,0.023976698517799377,0.02413932792842388,0.02417273074388504,0.024092014878988266,0.005674716550856829,0.004266823176294565,0.004371158313006163,0.021582767367362976,0.007861819118261337,0.017527449876070023,0.019732199609279633,0.02082057110965252,0.02414621412754059,0.014770226553082466,0.013156494125723839,0.021338358521461487
stanford_dogs_image_categorization,0.011488794349133968,0.010860900394618511,0.010447513312101364,0.010775630362331867,0.009463413618505001,0.017420371994376183,0.035795748233795166,0.009109608829021454,0.0,0.03524838015437126,0.011474600061774254,0.010196884162724018,0.01325997244566679,0.015408254228532314,0.022205617278814316,0.023793749511241913,0.010138632729649544,0.006818517576903105,0.006142751779407263,0.009096674621105194,0.009328541345894337,0.009357893839478493,0.009451393969357014,0.009353382512927055,0.009395038709044456,0.009442497044801712,0.009357554838061333,0.011081568896770477,0.010255924426019192,0.017426133155822754,0.041410718113183975,0.021392986178398132,0.014314880594611168,0.020455650985240936,0.019236499443650246,0.01830732822418213,0.020689694210886955,0.01811029575765133,0.020215969532728195,0.020343605428934097,0.01876087114214897,0.019327931106090546,0.01894901879131794,0.020886212587356567,0.021133098751306534,0.017971009016036987,0.02824534848332405,0.013879764825105667,0.02803400158882141,0.008164361119270325,0.024657852947711945,0.02359183505177498,0.014874646440148354,0.024649029597640038,0.024669770151376724,0.024717582389712334,0.024612966924905777,0.007563931401818991,0.008861877024173737,0.00897612702101469,0.009684176184237003,0.028063103556632996,0.029886294156312943,0.016547830775380135,0.025495730340480804,0.026681017130613327,0.02903842180967331,0.03172134608030319,0.0228725615888834,0.016709065064787865,0.022235816344618797,0.011481579393148422,0.011000894010066986,0.010528997518122196,0.010730444453656673,0.036026835441589355,0.009309826418757439,0.034551143646240234,0.013933969661593437,0.02248009294271469,0.009916707873344421,0.006946496665477753,0.006213909946382046,0.009091328829526901,0.009381560608744621,0.009626440703868866,0.009317330084741116,0.009149948135018349,0.0093608433380723,0.0095125213265419,0.009102217853069305,0.010427785106003284,0.041076645255088806,0.014204935170710087,0.020722121000289917,0.019313380122184753,0.018640263006091118,0.020638015121221542,0.018028363585472107,0.020035119727253914,0.020511213690042496,0.018526166677474976,0.019002962857484818,0.01900378428399563,0.020794667303562164,0.021225877106189728,0.018023233860731125,0.02797766402363777,0.028063036501407623,0.00825137086212635,0.024554867297410965,0.024490773677825928,0.024654511362314224,0.024669557809829712,0.02456708252429962,0.007388589903712273,0.00894459243863821,0.00874231569468975,0.0295167937874794,0.016465330496430397,0.025688696652650833,0.026838837191462517,0.028859857469797134,0.03205620497465134,0.022811254486441612,0.01651773415505886,0.02199176326394081
svhn,0.03155563026666641,0.03528686985373497,0.03610808402299881,0.03685494512319565,0.03971526026725769,0.023558862507343292,0.006085219327360392,0.028887221589684486,0.03524836525321007,0.0,0.02464836649596691,0.026148930191993713,0.022267887368798256,0.020171064883470535,0.021091120317578316,0.020411718636751175,0.04369807243347168,0.037174783647060394,0.03365303948521614,0.03143293410539627,0.03551068529486656,0.03550397977232933,0.03538167104125023,0.03554752841591835,0.03538931906223297,0.03541664034128189,0.03553743660449982,0.045801177620887756,0.030643559992313385,0.023264126852154732,0.021230846643447876,0.05643072724342346,0.025288637727499008,0.02193434350192547,0.023400193080306053,0.024619923904538155,0.021374667063355446,0.025061272084712982,0.022077878937125206,0.021756194531917572,0.024267632514238358,0.02357490360736847,0.023766767233610153,0.021122649312019348,0.021576710045337677,0.02535509318113327,0.020378798246383667,0.04889976233243942,0.020439671352505684,0.037737004458904266,0.039000850170850754,0.021140947937965393,0.029412269592285156,0.039040010422468185,0.038982000201940536,0.03908437862992287,0.0389888659119606,0.0327858105301857,0.029813239350914955,0.0296301431953907,0.032042715698480606,0.041780292987823486,0.020471539348363876,0.024394914507865906,0.015480529516935349,0.023842552676796913,0.014917271211743355,0.018701111897826195,0.01706854999065399,0.022029586136341095,0.037952058017253876,0.03154589608311653,0.03879589959979057,0.0357162207365036,0.03675856068730354,0.006070518866181374,0.02865060791373253,0.0007007673848420382,0.021574199199676514,0.02104024589061737,0.04326658695936203,0.03719303011894226,0.03366539627313614,0.03147841989994049,0.03530286252498627,0.03505799174308777,0.03578364849090576,0.0358218252658844,0.035391151905059814,0.03513006865978241,0.03568354994058609,0.030573606491088867,0.021251503378152847,0.025424033403396606,0.02180519700050354,0.02330981381237507,0.024295974522829056,0.021478913724422455,0.0249588955193758,0.022224903106689453,0.021626168861985207,0.02438286691904068,0.024048268795013428,0.023770315572619438,0.021114984527230263,0.02152791991829872,0.02536110207438469,0.02045469731092453,0.020391173660755157,0.03810982406139374,0.03884892538189888,0.03878958523273468,0.03894190490245819,0.038985345512628555,0.038984764367341995,0.032928671687841415,0.02968505397439003,0.029945259913802147,0.02052699215710163,0.024472318589687347,0.015454767271876335,0.023908115923404694,0.014973058365285397,0.018693631514906883,0.016970740631222725,0.0222259983420372,0.037748947739601135
