,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.004395933356136084,0.005000659264624119,0.006007511168718338,0.012388810515403748,0.012090418487787247,0.03195200115442276,0.005954976659268141,0.011488797143101692,0.03155563771724701,0.008033134043216705,0.006904410198330879,0.01148144155740738,0.011924363672733307,0.019611569121479988,0.022080525755882263,0.013153387233614922,0.008341582491993904,0.006688500288873911,0.004661930724978447,0.004794985055923462,0.0047945789992809296,0.004694826435297728,0.00483310129493475,0.004692378919571638,0.004711583256721497,0.00481270719319582,0.016182344406843185,0.005060276016592979,0.014136156067252159,0.0373476967215538,0.027019450441002846,0.010977229103446007,0.010922802612185478,0.0093756765127182,0.00854148156940937,0.011409403756260872,0.008376073092222214,0.010676463134586811,0.010951228439807892,0.008921338245272636,0.009500667452812195,0.009137384593486786,0.011832375079393387,0.01157794427126646,0.008403819054365158,0.018368419259786606,0.018978334963321686,0.018128836527466774,0.014155268669128418,0.02355339750647545,0.01400800608098507,0.009161395020782948,0.02354801818728447,0.023525113239884377,0.02359725907444954,0.023516038432717323,0.008415361866354942,0.007704854942858219,0.007696241140365601,0.010556564666330814,0.027525607496500015,0.02108483761548996,0.008305594325065613,0.018430769443511963,0.018278181552886963,0.022125184535980225,0.023873381316661835,0.015621280297636986,0.016102904453873634,0.020993664860725403,0.000199017595150508,0.007638671435415745,0.0046663130633533,0.005912352818995714,0.03214705362915993,0.005959770642220974,0.03089221939444542,0.012031344696879387,0.019775740802288055,0.01278215553611517,0.008275993168354034,0.006658036261796951,0.004721871577203274,0.004589268937706947,0.004376921337097883,0.005041187629103661,0.005111033096909523,0.004702448844909668,0.004479301627725363,0.004992336966097355,0.004853998310863972,0.03701363503932953,0.011017652228474617,0.011213896796107292,0.009454868733882904,0.00881558284163475,0.011395648121833801,0.008351009339094162,0.01049011293798685,0.011116493493318558,0.008706469088792801,0.009221946820616722,0.009219568222761154,0.011792276054620743,0.011696148663759232,0.00839538685977459,0.018070872873067856,0.018159372732043266,0.014195865020155907,0.02347976341843605,0.023380711674690247,0.02353152073919773,0.02357899583876133,0.023504875600337982,0.008544240146875381,0.0076064178720116615,0.007812285330146551,0.020696256309747696,0.008255073800683022,0.01858629286289215,0.018402352929115295,0.02195221558213234,0.024265281856060028,0.01565936766564846,0.016124626621603966,0.020800922065973282
lapgyn4_surgical_actions,0.004395933821797371,0.0,0.001928548444993794,0.0019944682717323303,0.011853659525513649,0.015992362052202225,0.0358302965760231,0.007218381855636835,0.010860897600650787,0.03528686612844467,0.011476811952888966,0.01015549898147583,0.01341390609741211,0.01530405506491661,0.022783856838941574,0.025526534765958786,0.010443883016705513,0.007813967764377594,0.006703164894133806,0.005025759339332581,0.003519827965646982,0.003527211956679821,0.0034988783299922943,0.003509051166474819,0.003452983917668462,0.0034597432240843773,0.003476199461147189,0.014479642733931541,0.0077653382904827595,0.018165618181228638,0.041446536779403687,0.02359110116958618,0.014789274893701077,0.014618802815675735,0.012691423296928406,0.011391906999051571,0.015274178236722946,0.010988723486661911,0.014376227743923664,0.014758018776774406,0.011814060620963573,0.012645550072193146,0.012324944138526917,0.015792366117239,0.015234125778079033,0.010865207761526108,0.021113552153110504,0.016223415732383728,0.020877355709671974,0.01333721075206995,0.026054423302412033,0.017360204830765724,0.011983923614025116,0.026042606681585312,0.026007836684584618,0.026075417175889015,0.026014136150479317,0.008332714438438416,0.008473215624690056,0.008529262617230415,0.011636295355856419,0.029841627925634384,0.024458054453134537,0.011083018034696579,0.02238890714943409,0.02074301615357399,0.0260731540620327,0.027523290365934372,0.019572891294956207,0.019871538504958153,0.023466672748327255,0.004468421917408705,0.0035448619164526463,0.0014290387043729424,0.0019061487400904298,0.0360613688826561,0.007320052944123745,0.034590136259794235,0.014031441882252693,0.02295595034956932,0.010155872441828251,0.007782269269227982,0.0067031350918114185,0.004967974033206701,0.0033048572950065136,0.0033580430317670107,0.003415248356759548,0.003494370961561799,0.0034238791558891535,0.0033679152838885784,0.003573850728571415,0.007479856722056866,0.04111242666840553,0.014807180501520634,0.014901140704751015,0.012805769219994545,0.011783936992287636,0.015272550284862518,0.010988547466695309,0.014199060387909412,0.014916855841875076,0.01162328477948904,0.012203107587993145,0.012378251180052757,0.015783414244651794,0.015339035540819168,0.010905025526881218,0.020806126296520233,0.020910222083330154,0.013341487385332584,0.026009762659668922,0.025891605764627457,0.026027357205748558,0.026082290336489677,0.02601604349911213,0.008396235294640064,0.008422281593084335,0.008451631292700768,0.02406899631023407,0.011010697111487389,0.02252979204058647,0.020871594548225403,0.025902245193719864,0.02791512757539749,0.019636517390608788,0.01988879032433033,0.02333102747797966
lapgyn4_instrument_count,0.005000659264624119,0.0019285482121631503,0.0,0.0017615368124097586,0.010632521472871304,0.01681404560804367,0.036670930683612823,0.007737656589597464,0.010447513312101364,0.03610808402299881,0.012090396136045456,0.01067214272916317,0.014216840267181396,0.016111180186271667,0.02183699794113636,0.02479366585612297,0.009612483903765678,0.006952197756618261,0.006026668474078178,0.005775511264801025,0.0023506125435233116,0.0023592477664351463,0.0023418674245476723,0.0023259534500539303,0.0023090748582035303,0.002303535118699074,0.0022997038904577494,0.013915715739130974,0.007581471931189299,0.01811867207288742,0.04225834459066391,0.022796330973505974,0.014451120048761368,0.015441613271832466,0.01349484734237194,0.012170851230621338,0.016093412414193153,0.011731310747563839,0.015199100598692894,0.015578625723719597,0.01258847489953041,0.013437772169709206,0.013123546727001667,0.01661154255270958,0.01605743169784546,0.011540066450834274,0.02179400436580181,0.015904836356639862,0.02157636359333992,0.013216868974268436,0.024515943601727486,0.018154257908463478,0.011467808857560158,0.024507474154233932,0.024464868009090424,0.024521006271243095,0.024478256702423096,0.007683172356337309,0.008082319051027298,0.008171478286385536,0.011373504064977169,0.028194637969136238,0.025205347687005997,0.011899776756763458,0.023200716823339462,0.020713550969958305,0.02689330093562603,0.028336839750409126,0.02039189636707306,0.01948416978120804,0.022027887403964996,0.005050731357187033,0.0032322716433554888,0.0006684215622954071,0.0018260085489600897,0.03688553348183632,0.007911011576652527,0.035418055951595306,0.014843838289380074,0.022016191855072975,0.00933010596781969,0.0069173662923276424,0.006011861376464367,0.005763329099863768,0.0022379967849701643,0.002287446055561304,0.002220019232481718,0.002308112336322665,0.002300980733707547,0.002282681642100215,0.002411641413345933,0.007437209598720074,0.04192429035902023,0.014427261427044868,0.01572231948375702,0.013612048700451851,0.01257343403995037,0.016089245676994324,0.011749044060707092,0.015021299012005329,0.01573762111365795,0.012408134527504444,0.012965857982635498,0.01317494548857212,0.016602085903286934,0.016162555664777756,0.011578812263906002,0.021487019956111908,0.02160891331732273,0.013218959793448448,0.02451140806078911,0.024370713159441948,0.02449066936969757,0.024547234177589417,0.024491578340530396,0.007783179637044668,0.008110394701361656,0.00804065354168415,0.024819044396281242,0.01182638294994831,0.02334173023700714,0.020849915221333504,0.026721427217125893,0.02872609719634056,0.02045493945479393,0.019434545189142227,0.02191569283604622
lapgyn4_anatomical_actions,0.006007510237395763,0.0019944680389016867,0.0017615366959944367,0.0,0.011457286775112152,0.01756162755191326,0.03739926591515541,0.008508804254233837,0.010775631293654442,0.036854952573776245,0.01297580823302269,0.011604312807321548,0.014900137670338154,0.0168638676404953,0.02288120985031128,0.02592889592051506,0.009521150961518288,0.007985065691173077,0.006896938197314739,0.0062339408323168755,0.0038207967299968004,0.0038248763885349035,0.0038248614873737097,0.0037919906899333,0.0037836271803826094,0.003780938684940338,0.0037602740339934826,0.013874834403395653,0.008838187903165817,0.019234374165534973,0.043024174869060516,0.022068772464990616,0.01576361432671547,0.01629732921719551,0.014356531202793121,0.013015099801123142,0.01694248989224434,0.012572083622217178,0.016057150438427925,0.016430333256721497,0.013427657075226307,0.014298966154456139,0.013985464349389076,0.017441900447010994,0.016904424875974655,0.012383492663502693,0.022596366703510284,0.01554981991648674,0.022374549880623817,0.013173466548323631,0.025994887575507164,0.01901785098016262,0.012721382081508636,0.025996342301368713,0.025952067226171494,0.025993263348937035,0.02596501260995865,0.008410465903580189,0.009038751013576984,0.009124258533120155,0.01204105094075203,0.029607100412249565,0.025960300117731094,0.012664277106523514,0.02396562695503235,0.021656911820173264,0.027651097625494003,0.02909669652581215,0.021147985011339188,0.020805971696972847,0.0235289353877306,0.006056899204850197,0.0024058562703430653,0.0016337994020432234,0.00030062763835303485,0.0376303493976593,0.008695715107023716,0.03615812212228775,0.015539262443780899,0.023054072633385658,0.009290212765336037,0.00797044113278389,0.006928376853466034,0.006178915500640869,0.003675252664834261,0.0037826071493327618,0.0036231083795428276,0.0036922500003129244,0.003741983789950609,0.0037431474775075912,0.0038290531374514103,0.008605258539319038,0.04269012063741684,0.0157533660531044,0.016578268259763718,0.014475343748927116,0.01342790201306343,0.016939565539360046,0.012572170235216618,0.0158771350979805,0.016589675098657608,0.013249277137219906,0.013820403255522251,0.014041712507605553,0.01743071898818016,0.017012495547533035,0.012424077838659286,0.022290196269750595,0.022406160831451416,0.013174673542380333,0.026000969111919403,0.02586304396390915,0.02598285675048828,0.026032282039523125,0.02597925439476967,0.008466743864119053,0.009030893445014954,0.008975965902209282,0.025577407330274582,0.012593453750014305,0.024106565862894058,0.02179885283112526,0.02747979760169983,0.02948715351521969,0.021211307495832443,0.020793024450540543,0.023416558280587196
sklin2_skin_lesions,0.012388808652758598,0.0118536576628685,0.010632520541548729,0.011457286775112152,0.0,0.020627841353416443,0.04018054157495499,0.011858345940709114,0.009463416412472725,0.03971527889370918,0.01577593758702278,0.01424484234303236,0.017661534249782562,0.01967768371105194,0.023281149566173553,0.026370927691459656,0.0061992472037673,0.00560022471472621,0.008222497999668121,0.012256184592843056,0.009497173130512238,0.009508568793535233,0.009614244103431702,0.009504169225692749,0.00959385372698307,0.009606086649000645,0.009511010721325874,0.008227407932281494,0.011945383623242378,0.0213950015604496,0.045734599232673645,0.017300991341471672,0.01779552549123764,0.021133236587047577,0.019908195361495018,0.01895017921924591,0.021505221724510193,0.01875866763293743,0.02091255784034729,0.021130278706550598,0.019399281591176987,0.019926976412534714,0.01957309991121292,0.021809037774801254,0.021874023601412773,0.01856907457113266,0.02849319949746132,0.012093108147382736,0.02825774997472763,0.008593587204813957,0.017906617373228073,0.024154992774128914,0.01527025643736124,0.017888493835926056,0.017908018082380295,0.017932318150997162,0.01785862073302269,0.00844140537083149,0.010607723146677017,0.010752981528639793,0.013886936008930206,0.02117629535496235,0.030921749770641327,0.017398802563548088,0.02731984481215477,0.02657555602490902,0.031068023294210434,0.03313716500997543,0.024593904614448547,0.020839069038629532,0.015761591494083405,0.012365748174488544,0.011847667396068573,0.010928927920758724,0.011557213962078094,0.04039810970425606,0.01207616738975048,0.03903300315141678,0.01832663267850876,0.023556802421808243,0.0058678314089775085,0.005604906007647514,0.008157817646861076,0.012285305187106133,0.009656762704253197,0.00986233726143837,0.009468368254601955,0.009327322244644165,0.009604034945368767,0.00970154907554388,0.009307639673352242,0.012076057493686676,0.04539906233549118,0.017690960317850113,0.021405581384897232,0.019975867122411728,0.019254637882113457,0.021433033049106598,0.018714088946580887,0.02073064260184765,0.021289711818099022,0.019206268712878227,0.019550859928131104,0.019619321450591087,0.02173764817416668,0.021973352879285812,0.018610622733831406,0.028187435120344162,0.028295185416936874,0.00855928286910057,0.0178779736161232,0.01778353378176689,0.0179162435233593,0.01792874000966549,0.01781872659921646,0.008389879018068314,0.010740903206169605,0.010502193123102188,0.030527327209711075,0.017296556383371353,0.027491725981235504,0.02673555165529251,0.030886981636285782,0.03352847322821617,0.024598699063062668,0.020643040537834167,0.015567382797598839
identify_nbi_infframes,0.012090418487787247,0.015992362052202225,0.01681404560804367,0.01756162941455841,0.020627841353416443,0.0,0.024365607649087906,0.010752552188932896,0.017420373857021332,0.02355886436998844,0.010126441717147827,0.010127432644367218,0.011933076195418835,0.011605069041252136,0.01825614832341671,0.019332867115736008,0.02442716807126999,0.017896641045808792,0.014432039111852646,0.01246679201722145,0.016151439398527145,0.016139304265379906,0.016019295901060104,0.01618838496506214,0.01602872833609581,0.016055557876825333,0.016176579520106316,0.02651604823768139,0.010685318149626255,0.008610323071479797,0.02667638659477234,0.03713285177946091,0.010124599561095238,0.011422593146562576,0.011757384054362774,0.012320364825427532,0.010956425219774246,0.012604829855263233,0.011271530762314796,0.010966408997774124,0.012348178774118423,0.012062011286616325,0.011919086799025536,0.010558206588029861,0.011427267454564571,0.012810198590159416,0.01675562560558319,0.02960110455751419,0.01666206121444702,0.019835198298096657,0.023697521537542343,0.012280629947781563,0.012407357804477215,0.02369479089975357,0.023707780987024307,0.02376106008887291,0.02365884929895401,0.015168830752372742,0.01342189684510231,0.013350408524274826,0.01566927321255207,0.02720680832862854,0.01666325144469738,0.011075003072619438,0.012792342342436314,0.017132416367530823,0.014603005722165108,0.017781157046556473,0.012057170271873474,0.013055296614766121,0.021332362666726112,0.012009486556053162,0.019500229507684708,0.016428878530859947,0.01746407151222229,0.024364015087485313,0.01062474399805069,0.022999737411737442,0.012000750750303268,0.01817598007619381,0.02399780973792076,0.01791485771536827,0.014447951689362526,0.01250484213232994,0.01596328802406788,0.015675172209739685,0.016468603163957596,0.016493795439600945,0.016020283102989197,0.01574551872909069,0.016333874315023422,0.010665806010365486,0.02646651864051819,0.010158609598875046,0.011342758312821388,0.011746244505047798,0.012216053903102875,0.010905012488365173,0.01254594512283802,0.011233421973884106,0.010923555120825768,0.012315932661294937,0.01228956039994955,0.011869577690958977,0.010515126399695873,0.011448830366134644,0.012794467620551586,0.01672152429819107,0.016725778579711914,0.02011888101696968,0.023584522306919098,0.0235222689807415,0.023690737783908844,0.023706981912255287,0.023615272715687752,0.015264473855495453,0.013319911435246468,0.013511141762137413,0.01649932935833931,0.011123314499855042,0.012938158586621284,0.01723797246813774,0.014517329633235931,0.01796261966228485,0.011918074451386929,0.013180332258343697,0.02108684554696083
laryngeal_tissues,0.03195200115442276,0.0358302928507328,0.036670930683612823,0.03739927336573601,0.040180545300245285,0.024365611374378204,0.0,0.029368357732892036,0.035795748233795166,0.006085218861699104,0.024962840601801872,0.026501499116420746,0.02296541817486286,0.02094460278749466,0.02354588359594345,0.023070402443408966,0.04423576220870018,0.03770430386066437,0.03418658301234245,0.031978167593479156,0.035991325974464417,0.03598182648420334,0.03585626929998398,0.03602950647473335,0.035868145525455475,0.03589509800076485,0.036019593477249146,0.046336960047483444,0.030866708606481552,0.023943331092596054,0.02353101223707199,0.05696576088666916,0.02548784762620926,0.02290160581469536,0.02400149032473564,0.025060409680008888,0.02240028791129589,0.025484789162874222,0.022968243807554245,0.022679172456264496,0.024784013628959656,0.02422756887972355,0.024326559156179428,0.022203154861927032,0.022716490551829338,0.025776801630854607,0.021879252046346664,0.04943355545401573,0.021919166669249535,0.03827286511659622,0.04029129445552826,0.022383883595466614,0.029587479308247566,0.04032610356807709,0.04027218371629715,0.040363918989896774,0.040271200239658356,0.03332352265715599,0.03034340590238571,0.030155401676893234,0.032469455152750015,0.04338880628347397,0.02195504494011402,0.02488309144973755,0.01710870862007141,0.025844726711511612,0.016656361520290375,0.020702265202999115,0.017927471548318863,0.022016026079654694,0.03932677209377289,0.031924039125442505,0.03933822736144066,0.036270737648010254,0.0373026542365551,0.00031095294980332255,0.02913343533873558,0.0062487563118338585,0.022288428619503975,0.023524384945631027,0.04380428045988083,0.03772300109267235,0.034195445477962494,0.03202326223254204,0.03579355403780937,0.035523489117622375,0.03629016876220703,0.036319587379693985,0.03586731106042862,0.03559911996126175,0.03617032617330551,0.030806608498096466,0.02356206253170967,0.025622036308050156,0.02285359799861908,0.02390863373875618,0.024775702506303787,0.022505126893520355,0.025386663153767586,0.023083573207259178,0.022567525506019592,0.024858776479959488,0.024642543867230415,0.024352755397558212,0.022175827994942665,0.0226777084171772,0.02578818053007126,0.021937422454357147,0.02187095582485199,0.038645487278699875,0.040147602558135986,0.040081217885017395,0.040233638137578964,0.040273770689964294,0.040259528905153275,0.03346638381481171,0.030216259881854057,0.030477464199066162,0.022005697712302208,0.02495773322880268,0.017086101695895195,0.025920972228050232,0.01667134277522564,0.02071351930499077,0.017810579389333725,0.022199194878339767,0.039114221930503845
nerthus_bowel_cleansing_quality,0.005954975727945566,0.007218381389975548,0.007737656123936176,0.008508804254233837,0.011858345940709114,0.010752551257610321,0.02936835214495659,0.0,0.009109608829021454,0.028887223452329636,0.005526278167963028,0.004604566842317581,0.007429681718349457,0.009182415902614594,0.018428348004817963,0.02065536007285118,0.014931971207261086,0.008453130722045898,0.004899441264569759,0.0039133247919380665,0.00698429811745882,0.0069842408411204815,0.006878230720758438,0.007015914190560579,0.006869940087199211,0.00690528703853488,0.006999225355684757,0.0172601118683815,0.004628745838999748,0.012250285595655441,0.034959036856889725,0.02871440164744854,0.009129256010055542,0.012156322598457336,0.01116427592933178,0.010355900973081589,0.01237424835562706,0.010252675041556358,0.011915722861886024,0.012057073414325714,0.010790339671075344,0.011184859089553356,0.0108410082757473,0.012535727582871914,0.012885918840765953,0.010120278224349022,0.020116353407502174,0.02039271406829357,0.019929001107811928,0.012107720598578453,0.02415771782398224,0.015082040801644325,0.009342437610030174,0.024156199768185616,0.024147268384695053,0.024217065423727036,0.02411717176437378,0.005568442866206169,0.00434808898717165,0.004333993420004845,0.009960627183318138,0.028125833719968796,0.02192332036793232,0.007939478382468224,0.017350707203149796,0.01959639973938465,0.020981773734092712,0.02385050803422928,0.014810013584792614,0.013126988895237446,0.021590352058410645,0.00597505085170269,0.010042211040854454,0.007459649816155434,0.008375508710741997,0.02958976849913597,0.0002585043548606336,0.028208158910274506,0.00792369619011879,0.018630556762218475,0.014502350240945816,0.008507173508405685,0.004894547630101442,0.003948035649955273,0.006784368306398392,0.006644172128289938,0.007189496420323849,0.007205551490187645,0.006862889975309372,0.006680220365524292,0.007103049196302891,0.004574893973767757,0.034625932574272156,0.009181609377264977,0.012376686558127403,0.011215713806450367,0.010618263855576515,0.012298522517085075,0.010201040655374527,0.01175430603325367,0.012203885242342949,0.010588530451059341,0.010886822827160358,0.010847695171833038,0.012472989037632942,0.012952592223882675,0.010171014815568924,0.01988338492810726,0.019955769181251526,0.01219031773507595,0.02405380830168724,0.023976709693670273,0.02413932979106903,0.024172738194465637,0.02409202605485916,0.005674717947840691,0.004266821779310703,0.004371157847344875,0.021582752466201782,0.007861820049583912,0.01752745360136032,0.019732199609279633,0.02082057110965252,0.024146221578121185,0.014770228415727615,0.013156495988368988,0.021338358521461487
stanford_dogs_image_categorization,0.011488796211779118,0.010860897600650787,0.010447513312101364,0.010775632224977016,0.009463418275117874,0.017420373857021332,0.03579574450850487,0.009109608829021454,0.0,0.035248395055532455,0.011474600993096828,0.010196883231401443,0.013259975239634514,0.015408255159854889,0.02220560424029827,0.023793742060661316,0.010138630867004395,0.006818518973886967,0.0061427513137459755,0.009096678346395493,0.009328540414571762,0.009357891045510769,0.00945139117538929,0.009353386238217354,0.009395034983754158,0.009442495182156563,0.009357553906738758,0.011081570759415627,0.010255924426019192,0.017426131293177605,0.04141069948673248,0.021392982453107834,0.014314875937998295,0.02045566774904728,0.019236493855714798,0.018307331949472427,0.020689701661467552,0.018110301345586777,0.0202159583568573,0.020343612879514694,0.018760869279503822,0.019327925518155098,0.01894901692867279,0.02088620699942112,0.02113308571279049,0.01797100156545639,0.028245355933904648,0.013879763893783092,0.028033986687660217,0.008164364844560623,0.024657856673002243,0.02359182946383953,0.01487464178353548,0.02464902400970459,0.024669768288731575,0.02471758797764778,0.024612978100776672,0.0075639355927705765,0.008861874230206013,0.008976126089692116,0.009684180840849876,0.028063107281923294,0.02988627925515175,0.016547834500670433,0.025495722889900208,0.02668100968003273,0.029038406908512115,0.03172134608030319,0.02287255972623825,0.016709066927433014,0.02223583124577999,0.011481584049761295,0.011000895872712135,0.01052900031208992,0.010730442591011524,0.03602682054042816,0.009309826418757439,0.03455115854740143,0.013933965936303139,0.022480085492134094,0.00991670973598957,0.006946496665477753,0.006213909015059471,0.009091326035559177,0.009381560608744621,0.00962644163519144,0.009317336603999138,0.009149948135018349,0.0093608433380723,0.009512522257864475,0.009102221578359604,0.010427781380712986,0.0410766527056694,0.014204936102032661,0.020722128450870514,0.01931339129805565,0.018640272319316864,0.020638026297092438,0.01802835799753666,0.020035116001963615,0.0205112062394619,0.018526166677474976,0.019002974033355713,0.019003786146640778,0.020794671028852463,0.021225880831480026,0.018023233860731125,0.027977660298347473,0.028063032776117325,0.00825137086212635,0.024554867297410965,0.024490784853696823,0.024654515087604523,0.024669567123055458,0.024567097425460815,0.007388591766357422,0.008944589644670486,0.008742313832044601,0.02951677516102791,0.016465332359075546,0.02568870224058628,0.026838839054107666,0.028859859332442284,0.032056212425231934,0.02281125634908676,0.01651773601770401,0.02199176326394081
svhn,0.03155563026666641,0.03528686240315437,0.03610808402299881,0.036854956299066544,0.03971527889370918,0.02355886623263359,0.006085218396037817,0.028887225314974785,0.03524839133024216,0.0,0.02464836835861206,0.026148926466703415,0.022267889231443405,0.020171066746115685,0.02109110727906227,0.020411713048815727,0.04369806870818138,0.03717479109764099,0.03365304321050644,0.031432945281267166,0.03551068156957626,0.035503968596458435,0.035381659865379333,0.035547543317079544,0.03538930416107178,0.035416632890701294,0.03553742915391922,0.045801181346178055,0.030643559992313385,0.023264124989509583,0.02123083919286728,0.05643071234226227,0.02528863027691841,0.02193436026573181,0.023400183767080307,0.024619929492473602,0.021374672651290894,0.02506127581000328,0.02207786589860916,0.021756205707788467,0.02426763065159321,0.02357489988207817,0.023766765370965004,0.02112264558672905,0.021576697006821632,0.025355085730552673,0.020378801971673965,0.04889976233243942,0.020439662039279938,0.03773701190948486,0.03900086507201195,0.021140944212675095,0.02941225841641426,0.03904000669717789,0.03898199647665024,0.03908438980579376,0.038988880813121796,0.03278582543134689,0.02981323003768921,0.0296301431953907,0.0320427343249321,0.04178030043840408,0.02047153189778328,0.024394918233156204,0.015480524860322475,0.023842545226216316,0.014917264692485332,0.018701110035181046,0.01706854999065399,0.022029587998986244,0.037952080368995667,0.03154590725898743,0.03879590332508087,0.035716235637664795,0.036758556962013245,0.00607051607221365,0.02865060418844223,0.0007007676176726818,0.021574191749095917,0.021040242165327072,0.04326659068465233,0.03719302639365196,0.03366538882255554,0.031478412449359894,0.03530286252498627,0.035057999193668365,0.03578367829322815,0.0358218252658844,0.035391151905059814,0.03513007238507271,0.035683564841747284,0.030573595315217972,0.021251507103443146,0.025424033403396606,0.021805204451084137,0.023309823125600815,0.0242959875613451,0.02147892490029335,0.024958888068795204,0.022224899381399155,0.02162616327404976,0.02438286691904068,0.024048279970884323,0.023770317435264587,0.02111499011516571,0.02152792364358902,0.02536110207438469,0.02045469358563423,0.02039116993546486,0.03810982033610344,0.03884892165660858,0.03878960758447647,0.03894190490245819,0.03898536413908005,0.03898478299379349,0.032928675413131714,0.029685042798519135,0.0299452543258667,0.020526980981230736,0.024472320452332497,0.015454770997166634,0.023908115923404694,0.014973058365285397,0.01869363710284233,0.016970742493867874,0.0222260020673275,0.037748947739601135
