,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0010406639194115996,0.0008857966167852283,0.0010743807069957256,0.0025988107081502676,0.004209466278553009,0.006855006795376539,0.001772871008142829,0.0025077080354094505,0.005539387464523315,0.0019608340226113796,0.0017315896693617105,0.0028534624725580215,0.002783601637929678,0.0038860454224050045,0.004356699995696545,0.004129677079617977,0.002553660422563553,0.0022585445549339056,0.0018957918509840965,0.0016860254108905792,0.0017058682860806584,0.0016524919774383307,0.0016802421305328608,0.001663468312472105,0.0016766020562499762,0.0016919318586587906,0.0027670850977301598,0.0013386032078415155,0.003147608833387494,0.006406750530004501,0.004099825397133827,0.002496830653399229,0.0019632596522569656,0.0018852915382012725,0.0018665955867618322,0.001980274450033903,0.0018814585637301207,0.001935481559485197,0.0019420278258621693,0.0019143553217872977,0.001908032689243555,0.0018772302428260446,0.0020976546220481396,0.0021864534355700016,0.0018984578782692552,0.00449199415743351,0.0029549337923526764,0.004428627900779247,0.0022002169862389565,0.005565491504967213,0.0022220148239284754,0.002160077914595604,0.005544476676732302,0.005558393895626068,0.0055764177814126015,0.005558930337429047,0.0028497325256466866,0.0025561016518622637,0.0025744494050741196,0.0026697481516748667,0.006562350783497095,0.00464066956192255,0.0018635583110153675,0.003887300845235586,0.004434318281710148,0.004852155223488808,0.005081613548099995,0.0031327868346124887,0.003455347614362836,0.005390860140323639,4.046877074870281e-05,0.0019124021055176854,0.0008599626016803086,0.0010991509770974517,0.006875207647681236,0.0017409102292731404,0.005435984581708908,0.002892263699322939,0.003910487052053213,0.003996552433818579,0.0025135804899036884,0.0022398079745471478,0.0019388434011489153,0.0016361711313948035,0.0015631498536095023,0.001811389229260385,0.0017948478925973177,0.0016224498394876719,0.0015519206644967198,0.0017019116785377264,0.0012844873126596212,0.00634715287014842,0.0025298180989921093,0.002041445579379797,0.0018733476754277945,0.0018723014509305358,0.001952128717675805,0.0018813159549608827,0.001925888704136014,0.0020048865117132664,0.001883761491626501,0.001905868761241436,0.0019020023755729198,0.002050952520221472,0.0021700107026845217,0.0018909224309027195,0.0044437977485358715,0.004420112352818251,0.0022021615877747536,0.005552189890295267,0.005525761283934116,0.005530570633709431,0.005574516952037811,0.005555196199566126,0.0029221270233392715,0.0025007654912769794,0.002618082333356142,0.004509403370320797,0.0018367867451161146,0.003910299390554428,0.004469514358788729,0.004808020778000355,0.0051635317504405975,0.0031490768305957317,0.003472308162599802,0.005351177882403135
lapgyn4_surgical_actions,0.0010406639194115996,0.0,0.0005959693808108568,0.0004337201244197786,0.00299386796541512,0.00515653844922781,0.007797613739967346,0.0019629138987511396,0.002789625432342291,0.0057871537283062935,0.0028696381486952305,0.002657465171068907,0.0030032910872250795,0.003006595652550459,0.00474777165800333,0.0052523016929626465,0.0035135787911713123,0.0024014252703636885,0.002164228353649378,0.0015942330937832594,0.0012027511838823557,0.0012163699138909578,0.0011811518343165517,0.0012028750497847795,0.0011857422068715096,0.001185701577924192,0.0012003729352727532,0.0027947111520916224,0.0019745007157325745,0.004125031176954508,0.007353859022259712,0.0037846905179321766,0.0034101358614861965,0.0026634284295141697,0.0024530570954084396,0.0023335525766015053,0.0027414257638156414,0.0023064399138092995,0.002638602163642645,0.002680384088307619,0.0024268634151667356,0.0024439473636448383,0.0024392264895141125,0.00291765620931983,0.002956941956654191,0.0023426220286637545,0.005057324189692736,0.0027284258976578712,0.004996051080524921,0.002642266917973757,0.006264391355216503,0.002477470552548766,0.0027823683340102434,0.00625042337924242,0.006253593601286411,0.006271284073591232,0.00626132357865572,0.0027416148222982883,0.0025729816406965256,0.002593433018773794,0.003491068724542856,0.007216308265924454,0.005416938103735447,0.0025436575524508953,0.004812171217054129,0.004947258159518242,0.005775664001703262,0.005936573259532452,0.004038495942950249,0.004339886363595724,0.005973572377115488,0.0010695266537368298,0.0009713839972391725,0.0004898615879938006,0.00042915879748761654,0.0078205531463027,0.0019468547543510795,0.00568010751157999,0.0030770287849009037,0.004772046115249395,0.003400023328140378,0.0023601746652275324,0.0021478338167071342,0.0016321295406669378,0.0011403616517782211,0.0011166945332661271,0.0012432062067091465,0.0012563373893499374,0.001166385249234736,0.0011240600142627954,0.001237572985701263,0.0018945543561130762,0.007294061128050089,0.003442713525146246,0.0027696783654391766,0.0024233919102698565,0.0023680441081523895,0.002708615269511938,0.0023541864939033985,0.002641601487994194,0.0027728131972253323,0.00237554800696671,0.002418921561911702,0.002485844772309065,0.0028768302872776985,0.002927546389400959,0.002332900185137987,0.005005214363336563,0.0049901786260306835,0.0026088834274560213,0.006264356896281242,0.006231129169464111,0.0062355888076126575,0.006279500667005777,0.006263048853725195,0.002812262624502182,0.00253965868614614,0.00262024300172925,0.005283090751618147,0.002515616361051798,0.004830211866647005,0.004983038175851107,0.0057324571534991264,0.006019933149218559,0.004061821848154068,0.004350095987319946,0.005946656689047813
lapgyn4_instrument_count,0.0008857966167852283,0.0005959693808108568,0.0,0.0005651650135405362,0.002472005784511566,0.005071032326668501,0.007711286656558514,0.0019485198426991701,0.002596658654510975,0.006035671569406986,0.002662142040207982,0.0023490278981626034,0.003168640658259392,0.0031968876719474792,0.004462275188416243,0.004989151377230883,0.00347324600443244,0.0022505423985421658,0.002164070727303624,0.001777710858732462,0.0010252478532493114,0.0010366656351834536,0.0009976013097912073,0.0010160879464820027,0.001008855877444148,0.0010110577568411827,0.0010220844997093081,0.0025911754928529263,0.0016797580756247044,0.003777534933760762,0.007264947518706322,0.003616944421082735,0.002945244312286377,0.002529887482523918,0.0023881257511675358,0.0022775197867304087,0.002631980227306485,0.002271526725962758,0.0025218992959707975,0.0025770822539925575,0.002356982324272394,0.0023371700663119555,0.002346842084079981,0.002786473371088505,0.0028474610298871994,0.0022646612487733364,0.004997678101062775,0.002684209495782852,0.004937923979014158,0.0023891825694590807,0.005691858008503914,0.0025848657824099064,0.0023426231928169727,0.0056815557181835175,0.005681351292878389,0.005697927437722683,0.0056899297051131725,0.002597622573375702,0.00245817843824625,0.0024805315770208836,0.0030678086914122105,0.006643179804086685,0.00532187195494771,0.0024911791551858187,0.004725725390017033,0.004656518343836069,0.005690230987966061,0.00585049856454134,0.003953093662858009,0.0038909409195184708,0.005404436960816383,0.0009122799383476377,0.0011044578859582543,0.00015683670062571764,0.0006492119282484055,0.00773279694840312,0.0019445092184469104,0.005932187661528587,0.0032567353919148445,0.004500770941376686,0.003355092369019985,0.0022030146792531013,0.002143614226952195,0.0018154607387259603,0.000996443908661604,0.0009267610148526728,0.0011086519807577133,0.0011143232695758343,0.0009844419546425343,0.0009221635409630835,0.0010537023190408945,0.0016317467670887709,0.007204541005194187,0.00297794071957469,0.0026321103796362877,0.002365849446505308,0.0023017926141619682,0.002578345825895667,0.0023066445719450712,0.0025185439735651016,0.002666998188942671,0.0023133736103773117,0.002290444215759635,0.0023795149754732847,0.002747837919741869,0.0028123254887759686,0.002251935424283147,0.004947066772729158,0.004931303206831217,0.002369682537391782,0.0056955935433506966,0.005661651957780123,0.005666353739798069,0.0057090651243925095,0.005692820064723492,0.0026666629128158092,0.002435675822198391,0.002506374614313245,0.005188210867345333,0.0024588126689195633,0.004743778612464666,0.004691837355494499,0.005646924488246441,0.0059335194528102875,0.003976356703788042,0.0039002480916678905,0.005375368520617485
lapgyn4_anatomical_actions,0.0010743807069957256,0.0004337201244197786,0.0005651650135405362,0.0,0.002978954464197159,0.0049868677742779255,0.007627502083778381,0.0021205702796578407,0.002908958587795496,0.0057664904743433,0.0028490438126027584,0.0026301403995603323,0.003181709907948971,0.003155024256557226,0.004521641880273819,0.005056599620729685,0.003716560546308756,0.0025199814699590206,0.002392301568761468,0.0018316505011171103,0.0013016997836530209,0.001311895321123302,0.0012780764373019338,0.001295918831601739,0.0012881509028375149,0.0012858344707638025,0.0012968853116035461,0.002919570542871952,0.0020340299233794212,0.004032034892588854,0.007183536887168884,0.003916624933481216,0.0034321886487305164,0.0025638684164732695,0.0023956727236509323,0.0023087728768587112,0.002645140513777733,0.002287924289703369,0.002545953029766679,0.002587848575785756,0.0023828682024031878,0.0023927497677505016,0.0023882463574409485,0.0028034758288413286,0.0028205825947225094,0.0023165687453001738,0.0049214111641049385,0.0029497595969587564,0.0048640426248312,0.0027342073153704405,0.006198335438966751,0.0024956180714070797,0.002800325397402048,0.006185919977724552,0.0061885276809334755,0.006205600220710039,0.006195971742272377,0.002879173494875431,0.0027112900279462337,0.0027327132411301136,0.0034466141369193792,0.007157662883400917,0.005227014888077974,0.0024582301266491413,0.004643959458917379,0.004736038390547037,0.005607163067907095,0.0057681528851389885,0.0038699540309607983,0.004358797334134579,0.005927659571170807,0.0011013264302164316,0.0011572270886972547,0.0004582268884405494,9.551834955345839e-05,0.007650441490113735,0.0021026157774031162,0.005662844516336918,0.0032485078554600477,0.004546659998595715,0.0036058472469449043,0.0024751080200076103,0.002373059280216694,0.0018697691848501563,0.0012637602631002665,0.0012192444410175085,0.001355569576844573,0.0013705982128158212,0.0012688180431723595,0.0012212066212669015,0.0013382467441260815,0.0019586151465773582,0.007123131304979324,0.0034645625855773687,0.0026653199456632137,0.00236529647372663,0.002334072720259428,0.002616134937852621,0.002327862661331892,0.002552209421992302,0.0026662363670766354,0.002342981519177556,0.0023767100647091866,0.0024366690777242184,0.002763888332992792,0.0027934908866882324,0.0023050126619637012,0.004871823824942112,0.004856806714087725,0.002713229274377227,0.006198834162205458,0.006166157312691212,0.006171061657369137,0.006214273627847433,0.006197738461196423,0.0029489281587302685,0.002686594147235155,0.002759432652965188,0.005094076041132212,0.0024350937455892563,0.004662012215703726,0.00477239303290844,0.005563883110880852,0.0058513907715678215,0.003893279004842043,0.004370898474007845,0.005898235831409693
sklin2_skin_lesions,0.0025988107081502676,0.00299386796541512,0.002472005784511566,0.002978954464197159,0.0,0.005424535367637873,0.008071135729551315,0.0029516597278416157,0.002544514136388898,0.006561963353306055,0.002965227235108614,0.0025667832233011723,0.003401894588023424,0.0035511853639036417,0.004785528406500816,0.005320124793797731,0.002887522103264928,0.0016345574986189604,0.0023996802046895027,0.0029968866147100925,0.0021266862750053406,0.0021215053275227547,0.0021403534337878227,0.0021227914839982986,0.002148096216842532,0.0021512419916689396,0.002141722710803151,0.0013224047143012285,0.0023647628258913755,0.004087440203875303,0.007590657565742731,0.002538766013458371,0.0025227011647075415,0.003934236243367195,0.003930233418941498,0.003847427200525999,0.003985926043242216,0.0038775266148149967,0.003933084197342396,0.00396071607246995,0.0039184968918561935,0.0038800956681370735,0.0038622156716883183,0.0040111537091434,0.004135522060096264,0.003829189343377948,0.006150390021502972,0.002120501361787319,0.0061058299615979195,0.002323996974155307,0.0037492290139198303,0.0042228796519339085,0.002207317389547825,0.003733585122972727,0.0037476071156561375,0.0037573983427137136,0.003742914879694581,0.0017643553437665105,0.002057665027678013,0.0020957142114639282,0.0028626322746276855,0.004580603912472725,0.0061539821326732635,0.0034283879213035107,0.005179898347705603,0.005465100519359112,0.006153569091111422,0.006447111256420612,0.004466595593839884,0.003061149502173066,0.0037063034251332283,0.002591504715383053,0.003055509412661195,0.002572455443441868,0.003050432540476322,0.00808686576783657,0.002973586320877075,0.006461454555392265,0.0035226684994995594,0.004823022987693548,0.002754609100520611,0.0015917185228317976,0.002364512998610735,0.003017921233549714,0.002179693430662155,0.002171090804040432,0.0021758093498647213,0.0021666288375854492,0.002168780192732811,0.002152001252397895,0.0020886179991066456,0.0024444630835205317,0.007530043832957745,0.002549252938479185,0.003996757324784994,0.003918569069355726,0.003859511110931635,0.0039276788011193275,0.0038713847752660513,0.003908828366547823,0.0040128896944224834,0.003883897792547941,0.003822223749011755,0.0038757987786084414,0.003985333256423473,0.004117315635085106,0.0038269637152552605,0.00610849866643548,0.0060996925458312035,0.002242522779852152,0.0037418280262500048,0.003720821114256978,0.003722808323800564,0.0037573310546576977,0.0037365746684372425,0.0017918874509632587,0.0021021110005676746,0.002078457735478878,0.006021863780915737,0.0033829237800091505,0.005208882503211498,0.005510825198143721,0.006106928922235966,0.00652728695422411,0.004472509957849979,0.0030332941096276045,0.0036715383175760508
identify_nbi_infframes,0.004209466278553009,0.00515653844922781,0.005071032326668501,0.0049868677742779255,0.005424535367637873,0.0,0.0037104575894773006,0.004425514489412308,0.00444914773106575,0.0034234574995934963,0.0025727557949721813,0.0029898753855377436,0.004286444745957851,0.003941996023058891,0.0029343068599700928,0.0028531188145279884,0.008182192221283913,0.006372362375259399,0.005736269988119602,0.0053125349804759026,0.005837882868945599,0.00585725624114275,0.005802402272820473,0.005831838585436344,0.0058163832873106,0.00582949398085475,0.005847102031111717,0.006116512231528759,0.003948991186916828,0.001930236117914319,0.003290022723376751,0.007486170157790184,0.0037969020195305347,0.0034983009099960327,0.003580711781978607,0.0037252733018249273,0.003379566827788949,0.003755738493055105,0.003465233137831092,0.0033961606677621603,0.0036697424948215485,0.0036989443469792604,0.0036233444698154926,0.003259008750319481,0.0033118240535259247,0.0037888402584940195,0.003826792584732175,0.006683646701276302,0.0038439582567662,0.003708143252879381,0.006259453482925892,0.003953573759645224,0.004194676410406828,0.006228073034435511,0.0062579382210969925,0.006269142962992191,0.006248103454709053,0.005856628995388746,0.005192508455365896,0.005164020694792271,0.003562765195965767,0.007098807953298092,0.0033538276329636574,0.0029625953175127506,0.0021808671299368143,0.004138590767979622,0.0025369038339704275,0.0033979269210249186,0.0023780157789587975,0.0038896030746400356,0.006317490711808205,0.004179101437330246,0.0061195045709609985,0.005040796473622322,0.004971863701939583,0.0036936174146831036,0.00435500917956233,0.0034012477844953537,0.0041852183640003204,0.0029160846024751663,0.00803765095770359,0.006333950441330671,0.0057427952997386456,0.005366723984479904,0.005787358619272709,0.005714346654713154,0.005968757439404726,0.005948987789452076,0.005775767844170332,0.005695897154510021,0.00584486685693264,0.003944490570574999,0.0032872632145881653,0.0037479002494364977,0.003459574654698372,0.0035983496345579624,0.003694389946758747,0.0034268524032086134,0.0037061895709484816,0.0034521003253757954,0.0033272108994424343,0.003700071247294545,0.0037721835542470217,0.0036167223006486893,0.0032611489295959473,0.003358342219144106,0.0038026131223887205,0.0038463647942990065,0.003847421845421195,0.0038249348290264606,0.006228742655366659,0.00621358398348093,0.006213068962097168,0.006251851562410593,0.006238621659576893,0.005938885733485222,0.005137592554092407,0.005223361775279045,0.003330923616886139,0.002992777619510889,0.0022029357496649027,0.004167325794696808,0.0025169956497848034,0.003413067664951086,0.0023278368171304464,0.0039216517470777035,0.0062741562724113464
laryngeal_tissues,0.006855006795376539,0.007797613739967346,0.007711286656558514,0.007627502083778381,0.008071135729551315,0.0037104575894773006,0.0,0.007037235889583826,0.007076361682265997,0.0034310403279960155,0.005221541039645672,0.0056260377168655396,0.006642438471317291,0.006146092899143696,0.004016183782368898,0.0039728251285851,0.01082235760986805,0.009012816473841667,0.008363878354430199,0.007953655906021595,0.00847705639898777,0.008496295660734177,0.00844145379960537,0.008471078239381313,0.008455516770482063,0.00846871268004179,0.008486343547701836,0.008757704868912697,0.006606258451938629,0.00483812065795064,0.004805607255548239,0.01012728363275528,0.006097240839153528,0.005512332543730736,0.00564199686050415,0.005783196538686752,0.005388807039707899,0.00582312885671854,0.005491005256772041,0.0054149506613612175,0.005706228315830231,0.00572187639772892,0.0056790015660226345,0.005293184891343117,0.005273853428661823,0.005851973779499531,0.004769730381667614,0.009324353188276291,0.0047570872120559216,0.006266793701797724,0.009049206972122192,0.0058776261284947395,0.006845572032034397,0.009018151089549065,0.009041756391525269,0.009055650793015957,0.009034674614667892,0.008391701616346836,0.007636470254510641,0.007586476393043995,0.0061495485715568066,0.009636307135224342,0.004664701409637928,0.005314767360687256,0.0040031904354691505,0.005868012085556984,0.0037293988279998302,0.0045211585238575935,0.004246716853231192,0.005497125908732414,0.009202865883708,0.006828760728240013,0.008760715834796429,0.007679224945604801,0.007612763904035091,4.021727363578975e-05,0.006968402303755283,0.003597464645281434,0.006516440771520138,0.0040010493248701096,0.010677462443709373,0.00897463783621788,0.00836917757987976,0.008007856085896492,0.008426818996667862,0.008353015407919884,0.008607654832303524,0.0085879135876894,0.00841483660042286,0.008334740996360779,0.00848405435681343,0.00659704115241766,0.0048406971618533134,0.006073943804949522,0.005448094569146633,0.005658279173076153,0.005744682624936104,0.005436875857412815,0.005755491554737091,0.005488872528076172,0.0053535932675004005,0.0057465266436338425,0.005793900229036808,0.0056499638594686985,0.005312969908118248,0.005294008180499077,0.005879777483642101,0.004769380670040846,0.004742896184325218,0.006396619603037834,0.009015044197440147,0.008996190503239632,0.008996356278657913,0.009031807072460651,0.009030431509017944,0.008476076647639275,0.007579123601317406,0.007646125741302967,0.004686616361141205,0.0053497678600251675,0.004005208145827055,0.005884571000933647,0.0037290819454938173,0.004506767727434635,0.004230208229273558,0.005531901493668556,0.009164728224277496
nerthus_bowel_cleansing_quality,0.001772871008142829,0.0019629138987511396,0.0019485198426991701,0.0021205702796578407,0.0029516597278416157,0.004425514489412308,0.007037235889583826,0.0,0.001623543445020914,0.004522535018622875,0.0020498279482126236,0.0018398638349026442,0.001823821454308927,0.001843899954110384,0.004311433993279934,0.004676995798945427,0.0037980927154421806,0.002102565485984087,0.001367593533359468,0.0011127598118036985,0.0019174611661583185,0.0019336289260536432,0.0019012702396139503,0.0019246453884989023,0.0018965511117130518,0.0019070167327299714,0.0019193112384527922,0.0023202754091471434,0.0013958289055153728,0.0031493999995291233,0.006598462350666523,0.0036930444184690714,0.002501701470464468,0.002944650361314416,0.0028050190303474665,0.0026925767306238413,0.0029586483724415302,0.002695217030122876,0.002915012650191784,0.002921711653470993,0.0027969456277787685,0.002805938245728612,0.0027669300325214863,0.003037033136934042,0.0031988429836928844,0.0026978938840329647,0.005701086949557066,0.00254715234041214,0.005636414512991905,0.0016829452943056822,0.006230147555470467,0.0031597651541233063,0.0029362617060542107,0.006202259566634893,0.006225579418241978,0.006241576746106148,0.0062186941504478455,0.0019897455349564552,0.0015627143438905478,0.001558326301164925,0.0027760835364460945,0.007177690975368023,0.005629427265375853,0.0025676367804408073,0.004461923614144325,0.005541492719203234,0.005417884327471256,0.005944491364061832,0.003860129974782467,0.0031864838674664497,0.006128126755356789,0.0017731854459270835,0.0022156035993248224,0.0019065163796767592,0.0021063885651528835,0.007060186937451363,7.304814062081277e-05,0.004385514184832573,0.0018668209668248892,0.004343980923295021,0.0036560799926519394,0.0021144389174878597,0.001365658245049417,0.0011310175759717822,0.001847553881816566,0.001856613322161138,0.0019634871277958155,0.0019340170547366142,0.001873674220405519,0.0018363469280302525,0.001921909162774682,0.0013848645612597466,0.0065394495613873005,0.002536750864237547,0.0030337306670844555,0.002792473416775465,0.002727353945374489,0.002922454848885536,0.0027059426065534353,0.002899663522839546,0.0029940675012767315,0.002733128610998392,0.002764992881566286,0.002799790119752288,0.0029977685771882534,0.0031889674719423056,0.002699060831218958,0.005658441223204136,0.005628545768558979,0.0016521001234650612,0.006206199526786804,0.006185451522469521,0.006190270185470581,0.0062315198592841625,0.006210970692336559,0.002058034762740135,0.0015194725710898638,0.001594266970641911,0.00551421707496047,0.0025454042479395866,0.004493308253586292,0.0055777630768716335,0.005372947547584772,0.005995575338602066,0.0038532810285687447,0.003201515879482031,0.006084044463932514
stanford_dogs_image_categorization,0.0025077080354094505,0.002789625432342291,0.002596658654510975,0.002908958587795496,0.002544514136388898,0.00444914773106575,0.007076361682265997,0.001623543445020914,0.0,0.004980020225048065,0.0021335305646061897,0.0018502108287066221,0.0017665312625467777,0.002034251345321536,0.004209747072309256,0.00453025009483099,0.0037934142164885998,0.002429707907140255,0.0016593319596722722,0.0018815075745806098,0.0022075558081269264,0.002220693277195096,0.002207478042691946,0.0022148103453218937,0.0022014915011823177,0.0022135875187814236,0.0022153714671730995,0.002205580472946167,0.001991541590541601,0.0032943759579211473,0.006629080045968294,0.0033016414381563663,0.002338242717087269,0.0038719766307622194,0.0037825601175427437,0.003667444922029972,0.0039192624390125275,0.0036820685490965843,0.003865438513457775,0.003887197468429804,0.003760093357414007,0.003753633936867118,0.003728203009814024,0.003989899531006813,0.00411132350564003,0.0036550248041749,0.006447367835789919,0.002464462071657181,0.006390636321157217,0.0014235186390578747,0.005902023985981941,0.004133892711251974,0.0030871867202222347,0.005871637724339962,0.005902380682528019,0.00591157516464591,0.005890036933124065,0.002217687666416168,0.0019620470702648163,0.0019552363082766533,0.002133510075509548,0.006693050265312195,0.006242460571229458,0.003390837926417589,0.00508085498586297,0.006043070461601019,0.005997620988637209,0.006472050212323666,0.004432506859302521,0.0024853311479091644,0.0059411292895674706,0.002506671706214547,0.0030426078010350466,0.0026071700267493725,0.0029112431220710278,0.00709929782897234,0.0016612919280305505,0.004839702043682337,0.0018227276159450412,0.0042547062039375305,0.0036618695594370365,0.0024321647360920906,0.0016713920049369335,0.0019007186638191342,0.002186086494475603,0.0021980185993015766,0.0022700850386172533,0.0022319008130580187,0.002194411586970091,0.002182146068662405,0.0021954025141894817,0.002035013400018215,0.00656881183385849,0.0023709398228675127,0.0039613209664821625,0.0037657786160707474,0.003698525484651327,0.003871733555570245,0.0036833416670560837,0.003844229970127344,0.003958174958825111,0.0037067048251628876,0.0036979219876229763,0.0037584882229566574,0.003955125343054533,0.004097579978406429,0.003655634820461273,0.006405400112271309,0.006382607854902744,0.0013964857207611203,0.00587278138846159,0.005858703050762415,0.005860655102878809,0.005896789487451315,0.005878335330635309,0.0022428645752370358,0.0019557203631848097,0.0019539883360266685,0.00611993670463562,0.003359737806022167,0.005120284855365753,0.006083985790610313,0.005947344936430454,0.006531190127134323,0.004423065576702356,0.002483183518052101,0.005898729898035526
svhn,0.005539387464523315,0.0057871537283062935,0.006035671569406986,0.0057664904743433,0.006561963353306055,0.0034234574995934963,0.0034310403279960155,0.004522535018622875,0.004980020225048065,0.0,0.0041617825627326965,0.004564501345157623,0.0038308545481413603,0.0033895871601998806,0.003960670903325081,0.004117970354855061,0.007916707545518875,0.0065805912017822266,0.005720950663089752,0.005532975308597088,0.006348650436848402,0.006367424502968788,0.006325847469270229,0.006351728457957506,0.00632678484544158,0.00633738748729229,0.006353560835123062,0.006455129012465477,0.005260144360363483,0.004353427793830633,0.004949997179210186,0.007449784316122532,0.005480458028614521,0.005234335083514452,0.005213127471506596,0.005245828535407782,0.005145746283233166,0.005245090462267399,0.005194767378270626,0.005141592584550381,0.005268333479762077,0.005306417588144541,0.005239913705736399,0.005171062424778938,0.005263257771730423,0.005294302944093943,0.005900304764509201,0.006807370111346245,0.005877545569092035,0.004469352774322033,0.00870746560394764,0.005186673253774643,0.0059996917843818665,0.008677126839756966,0.008699802681803703,0.008714543655514717,0.008692488074302673,0.005588265601545572,0.004924538545310497,0.004876318853348494,0.005353912245482206,0.00929497741162777,0.005530241411179304,0.0044143181294202805,0.004190738778561354,0.006417484953999519,0.004542260896414518,0.0053473166190087795,0.0041234539821743965,0.004449150525033474,0.008851798251271248,0.0055380407720804214,0.006505747325718403,0.005942308809608221,0.005698954686522484,0.003453393466770649,0.004462015815079212,0.00017749209655448794,0.0036830399185419083,0.0039770714938640594,0.007807564921677113,0.006581975147128105,0.005735490471124649,0.00555817736312747,0.006278614047914743,0.006264686118811369,0.006412822753190994,0.0063936300575733185,0.0063001783564686775,0.0062479665502905846,0.0063558174297213554,0.005228374619036913,0.004963117651641369,0.005490685813128948,0.005259326659142971,0.005205776542425156,0.005251538008451462,0.005172718316316605,0.005225306376814842,0.00519503653049469,0.005134742707014084,0.005261098500341177,0.005350242368876934,0.005259188823401928,0.005149967037141323,0.0052850255742669106,0.005319172982126474,0.005895690061151981,0.00586892943829298,0.004553953651338816,0.008670894429087639,0.008654208853840828,0.008658257313072681,0.008692094124853611,0.008687062188982964,0.00563705712556839,0.004872613120824099,0.004919675178825855,0.005514775402843952,0.004452436696738005,0.004211398307234049,0.006439856253564358,0.004520108457654715,0.005341492593288422,0.004085894674062729,0.004481794312596321,0.00881137140095234
