,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0010406638029962778,0.0008857967332005501,0.0010743809398263693,0.0025988114066421986,0.004209467209875584,0.0068550072610378265,0.0017728712409734726,0.002507709199562669,0.00553938839584589,0.001960834488272667,0.0017315895529463887,0.002853462938219309,0.0027836021035909653,0.00388604449108243,0.004356699530035257,0.004129677079617977,0.00255366088822484,0.0022585445549339056,0.0018957924330607057,0.0016860254108905792,0.0017058681696653366,0.0016524918610230088,0.001680242596194148,0.0016634679632261395,0.0016766020562499762,0.0016919318586587906,0.002767085563391447,0.0013386034406721592,0.003147608833387494,0.006406750530004501,0.004099825397133827,0.002496830653399229,0.0019632605835795403,0.001885291188955307,0.0018665959360077977,0.0019802749156951904,0.001881459029391408,0.0019354810938239098,0.0019420285243541002,0.0019143553217872977,0.0019080325728282332,0.0018772303592413664,0.0020976546220481396,0.0021864527370780706,0.0018984577618539333,0.0044919950887560844,0.0029549337923526764,0.00442862743511796,0.0022002174519002438,0.005565493367612362,0.002222015056759119,0.0021600774489343166,0.005544476676732302,0.005558393895626068,0.005576418712735176,0.0055589317344129086,0.002849733456969261,0.00255610141903162,0.0025744494050741196,0.0026697490829974413,0.006562352180480957,0.004640669096261263,0.0018635587766766548,0.003887300845235586,0.0044343178160488605,0.00485215475782752,0.005081614479422569,0.0031327868346124887,0.0034553478471934795,0.005390862934291363,4.046878166263923e-05,0.001912402454763651,0.0008599628927186131,0.0010991510935127735,0.006875206716358662,0.0017409102292731404,0.005435986444354057,0.002892263699322939,0.003910486586391926,0.003996553365141153,0.0025135804899036884,0.0022398082073777914,0.0019388431683182716,0.0016361712478101254,0.0015631499700248241,0.0018113900441676378,0.0017948481254279613,0.0016224500723183155,0.0015519208973273635,0.0017019120277836919,0.0012844871962442994,0.006347154267132282,0.0025298185646533966,0.0020414460450410843,0.0018733483739197254,0.0018723021494224668,0.0019521291833370924,0.001881315722130239,0.001925888704136014,0.0020048865117132664,0.001883761608041823,0.0019058693433180451,0.0019020027248188853,0.002050952985882759,0.0021700109355151653,0.0018909224309027195,0.0044437977485358715,0.004420112352818251,0.0022021615877747536,0.005552190355956554,0.005525763146579266,0.005530571565032005,0.0055745188146829605,0.005555198527872562,0.002922127489000559,0.0025007654912769794,0.002618082333356142,0.004509402438998222,0.0018367868615314364,0.003910300321877003,0.004469514824450016,0.004808020778000355,0.005163532681763172,0.003149077296257019,0.0034723090939223766,0.005351178348064423
lapgyn4_surgical_actions,0.0010406638029962778,0.0,0.000595969264395535,0.0004337201244197786,0.0029938681982457638,0.00515653844922781,0.007797612808644772,0.001962913665920496,0.002789626130834222,0.0057871537283062935,0.002869637683033943,0.0026574647054076195,0.003003290854394436,0.0030065954197198153,0.004747768864035606,0.0052523002959787846,0.0035135780926793814,0.0024014252703636885,0.0021642278879880905,0.0015942330937832594,0.001202750951051712,0.0012163694482296705,0.001181151601485908,0.0012028750497847795,0.0011857417412102222,0.0011857012286782265,0.0012003725860267878,0.0027947109192609787,0.0019745007157325745,0.0041250307112932205,0.007353856228291988,0.0037846893537789583,0.003410134930163622,0.002663428895175457,0.002453056164085865,0.0023335523437708616,0.0027414257638156414,0.0023064399138092995,0.0026386012323200703,0.002680384088307619,0.0024268629495054483,0.002443946897983551,0.002439226023852825,0.002917655510827899,0.002956940559670329,0.0023426213301718235,0.005057323724031448,0.002728425431996584,0.004996049217879772,0.002642266917973757,0.006264390889555216,0.002477469854056835,0.002782367402687669,0.006250421982258558,0.006253592669963837,0.006271284073591232,0.006261324509978294,0.0027416152879595757,0.002572980709373951,0.002593432553112507,0.0034910691902041435,0.007216308265924454,0.00541693577542901,0.0025436575524508953,0.004812169820070267,0.004947256296873093,0.005775662139058113,0.005936572793871164,0.004038495011627674,0.004339885897934437,0.00597357377409935,0.0010695266537368298,0.0009713839390315115,0.0004898615879938006,0.0004291586810722947,0.007820550352334976,0.001946854405105114,0.005680107977241278,0.003077027853578329,0.0047720447182655334,0.003400023328140378,0.0023601744323968887,0.002147833351045847,0.0016321290750056505,0.0011403615353628993,0.0011166944168508053,0.0012432064395397902,0.0012563372729346156,0.0011663850164040923,0.0011240600142627954,0.0012375731021165848,0.001894553774036467,0.007294060662388802,0.0034427130594849586,0.0027696783654391766,0.0024233921431005,0.002368044340983033,0.0027086157351732254,0.002354186028242111,0.0026416010223329067,0.0027728124987334013,0.0023755477741360664,0.002418921794742346,0.002485844772309065,0.0028768302872776985,0.002927546389400959,0.0023328997194767,0.0050052134320139885,0.004990177229046822,0.002608882961794734,0.0062643554992973804,0.006231130100786686,0.00623558834195137,0.006279501132667065,0.0062630497850477695,0.002812262624502182,0.002539657987654209,0.0026202425360679626,0.00528308842331171,0.002515616128221154,0.004830211400985718,0.004983037710189819,0.005732456687837839,0.006019933149218559,0.004061821848154068,0.004350095987319946,0.005946656223386526
lapgyn4_instrument_count,0.0008857967332005501,0.000595969264395535,0.0,0.0005651650717481971,0.002472006483003497,0.005071032792329788,0.007711285725235939,0.0019485200755298138,0.002596659818664193,0.006035672500729561,0.0026621422730386257,0.0023490276653319597,0.0031686408910900354,0.003196887904778123,0.004462273791432381,0.004989150911569595,0.0034732455387711525,0.002250542864203453,0.002164070727303624,0.0017777110915631056,0.0010252478532493114,0.0010366655187681317,0.0009976013097912073,0.0010160881793126464,0.0010088556446135044,0.0010110576404258609,0.00102208461612463,0.00259117572568357,0.0016797580756247044,0.0037775347009301186,0.007264946587383747,0.0036169439554214478,0.0029452438466250896,0.0025298884138464928,0.0023881252855062485,0.0022775200195610523,0.002631980925798416,0.0022715269587934017,0.0025218988303095102,0.002577082719653845,0.002356982324272394,0.002337169833481312,0.002346841851249337,0.002786473371088505,0.002847460098564625,0.002264660783112049,0.004997678101062775,0.002684209495782852,0.004937923047691584,0.0023891832679510117,0.005691859405487776,0.0025848657824099064,0.002342622959986329,0.00568155525252223,0.005681351292878389,0.005697928369045258,0.005689931567758322,0.0025976235046982765,0.002458177972584963,0.0024805315770208836,0.0030678098555654287,0.006643179804086685,0.005321871489286423,0.0024911793880164623,0.004725724924355745,0.004656517878174782,0.005690230056643486,0.00585049856454134,0.003953093662858009,0.0038909411523491144,0.005404438823461533,0.0009122802293859422,0.0011044580023735762,0.0001568367297295481,0.0006492119282484055,0.007732795551419258,0.0019445091020315886,0.005932188592851162,0.003256734926253557,0.0045007700100541115,0.003355092601850629,0.0022030146792531013,0.0021436139941215515,0.0018154603894799948,0.000996443908661604,0.0009267610730603337,0.0011086524464190006,0.0011143232695758343,0.0009844419546425343,0.0009221635991707444,0.0010537025518715382,0.0016317464178428054,0.007204541936516762,0.00297794071957469,0.002632110845297575,0.002365850144997239,0.0023017930798232555,0.002578346524387598,0.0023066443391144276,0.0025185439735651016,0.002666997956112027,0.0023133736103773117,0.002290444914251566,0.0023795152083039284,0.002747837919741869,0.002812325954437256,0.002251935424283147,0.004947066307067871,0.0049313027411699295,0.002369682304561138,0.0056955935433506966,0.005661653354763985,0.005666353739798069,0.005709066521376371,0.005692820996046066,0.002666663145646453,0.0024356753565371037,0.002506374381482601,0.005188209004700184,0.0024588126689195633,0.004743779078125954,0.004691837355494499,0.005646924953907728,0.005933520384132862,0.003976357169449329,0.003900248557329178,0.00537536945194006
lapgyn4_anatomical_actions,0.0010743809398263693,0.0004337201244197786,0.0005651650717481971,0.0,0.002978955628350377,0.004986868239939213,0.007627502083778381,0.002120570745319128,0.002908959984779358,0.005766491871327162,0.0028490442782640457,0.002630140632390976,0.003181710373610258,0.0031550247222185135,0.004521640948951244,0.0050565991550683975,0.003716560546308756,0.0025199821684509516,0.0023923018015921116,0.0018316509667783976,0.0013016999000683427,0.0013118952047079802,0.0012780764373019338,0.0012959190644323826,0.0012881506700068712,0.0012858344707638025,0.0012968855444341898,0.0029195707757025957,0.002034030156210065,0.004032035358250141,0.00718353595584631,0.003916624933481216,0.0034321884158998728,0.0025638695806264877,0.002395672257989645,0.0023087733425199986,0.00264514097943902,0.0022879247553646564,0.002545952331274748,0.002587849274277687,0.0023828684352338314,0.0023927497677505016,0.0023882463574409485,0.0028034758288413286,0.002820582129061222,0.00231656851246953,0.0049214125610888,0.0029497598297894,0.004864041693508625,0.0027342080138623714,0.0061983373016119,0.0024956180714070797,0.002800325397402048,0.0061859204433858395,0.006188528146594763,0.006205602083355188,0.006195974536240101,0.0028791746590286493,0.0027112895622849464,0.002732713706791401,0.003446615533903241,0.007157663814723492,0.0052270139567554,0.0024582305923104286,0.004643958993256092,0.00473603792488575,0.005607162602245808,0.005768153816461563,0.0038699540309607983,0.004358797799795866,0.005927662365138531,0.001101326779462397,0.0011572272051125765,0.00045822697575204074,9.551834955345839e-05,0.007650440558791161,0.0021026157774031162,0.0056628454476594925,0.003248507622629404,0.00454665906727314,0.0036058477126061916,0.002475108252838254,0.002373059280216694,0.0018697689520195127,0.0012637602631002665,0.0012192446738481522,0.0013555700425058603,0.001370598329231143,0.0012688182760030031,0.001221206970512867,0.0013382472097873688,0.0019586149137467146,0.007123132701963186,0.0034645628184080124,0.002665320411324501,0.002365297172218561,0.0023340736515820026,0.0026161361020058393,0.0023278624285012484,0.0025522096548229456,0.0026662363670766354,0.002342981519177556,0.0023767107632011175,0.0024366695433855057,0.0027638887986540794,0.0027934913523495197,0.002305012894794345,0.004871823824942112,0.004856807179749012,0.0027132295072078705,0.006198834627866745,0.006166159640997648,0.006171063054352999,0.006214275490492582,0.006197741255164146,0.0029489288572221994,0.002686594147235155,0.0027594328857958317,0.005094075575470924,0.0024350942112505436,0.0046620131470263,0.00477239303290844,0.005563883576542139,0.005851392168551683,0.003893279703333974,0.004370898939669132,0.00589823629707098
sklin2_skin_lesions,0.0025988114066421986,0.0029938681982457638,0.002472006483003497,0.002978955628350377,0.0,0.005424536764621735,0.008071137592196465,0.0029516606591641903,0.0025445157662034035,0.006561966147273779,0.0029652281664311886,0.0025667836889624596,0.003401895985007286,0.00355118652805686,0.004785528406500816,0.005320125259459019,0.002887522568926215,0.0016345581971108913,0.00239968067035079,0.002996887778863311,0.002126686740666628,0.0021215053275227547,0.0021403536666184664,0.0021227928809821606,0.002148096449673176,0.002151242457330227,0.002141722943633795,0.0013224051799625158,0.0023647635243833065,0.004087440669536591,0.007590658031404018,0.002538766246289015,0.002522701397538185,0.003934238106012344,0.003930233418941498,0.003847428597509861,0.003985927440226078,0.0038775280117988586,0.003933084197342396,0.003960717469453812,0.003918497823178768,0.003880096133798361,0.003862216370180249,0.004011154640465975,0.004135522060096264,0.0038291895762085915,0.0061503928154706955,0.0021205018274486065,0.0061058299615979195,0.0023239979054778814,0.0037492304109036922,0.004222880117595196,0.0022073176223784685,0.003733585588634014,0.003747608046978712,0.0037573999725282192,0.0037429167423397303,0.0017643561586737633,0.0020576652605086565,0.0020957146771252155,0.002862633904442191,0.004580605309456587,0.0061539821326732635,0.0034283893182873726,0.00517989881336689,0.005465100519359112,0.006153569556772709,0.0064471131190657616,0.004466596059501171,0.003061150200664997,0.0037063052877783775,0.0025915056467056274,0.0030555101111531258,0.0025724563747644424,0.0030504330061376095,0.008086866699159145,0.0029735867865383625,0.0064614578150212765,0.003522668732330203,0.0048230234533548355,0.0027546100318431854,0.001591718872077763,0.0023645134642720222,0.0030179214663803577,0.0021796938963234425,0.0021710912697017193,0.0021758107468485832,0.0021666293032467365,0.0021687806583940983,0.002152001950889826,0.002088619163259864,0.0024444633163511753,0.0075300466269254684,0.0025492534041404724,0.003996758721768856,0.003918570466339588,0.003859513206407428,0.003927680663764477,0.0038713852409273386,0.003908829297870398,0.004012890160083771,0.003883899189531803,0.0038222256116569042,0.0038757994771003723,0.003985334653407335,0.0041173165664076805,0.003826964646577835,0.006108499132096767,0.006099693477153778,0.0022425230126827955,0.0037418287247419357,0.0037208229769021273,0.0037228092551231384,0.003757332917302847,0.0037365765310823917,0.0017918880330398679,0.0021021110005676746,0.0020784582011401653,0.00602186331525445,0.0033829249441623688,0.00520888390019536,0.0055108265951275826,0.006106930319219828,0.0065272897481918335,0.004472511820495129,0.0030332952737808228,0.0036715392488986254
identify_nbi_infframes,0.004209467209875584,0.00515653844922781,0.005071032792329788,0.004986868239939213,0.005424536764621735,0.0,0.0037104575894773006,0.004425514955073595,0.004449149593710899,0.0034234581980854273,0.0025727557949721813,0.0029898753855377436,0.004286445677280426,0.003941996954381466,0.002934306161478162,0.0028531188145279884,0.008182192221283913,0.006372363306581974,0.005736269988119602,0.0053125363774597645,0.005837882868945599,0.005857255309820175,0.005802401807159185,0.005831839982420206,0.005816382355988026,0.005829493515193462,0.0058471024967730045,0.006116512697190046,0.0039489916525781155,0.001930236117914319,0.0032900224905461073,0.007486169226467609,0.0037969015538692474,0.0034983023069798946,0.00358071131631732,0.0037252740003168583,0.0033795672934502363,0.0037557389587163925,0.003465232439339161,0.003396161599084735,0.0036697424948215485,0.003698943881317973,0.0036233444698154926,0.003259008750319481,0.00331182312220335,0.003788840025663376,0.003826793050393462,0.006683646701276302,0.003843957558274269,0.003708144184201956,0.006259455345571041,0.003953573759645224,0.004194676410406828,0.006228072568774223,0.0062579382210969925,0.006269143894314766,0.006248105317354202,0.0058566308580338955,0.005192507989704609,0.005164020694792271,0.0035627661272883415,0.0070988088846206665,0.00335382716730237,0.002962595783174038,0.0021808668971061707,0.004138590767979622,0.002536903601139784,0.0033979269210249186,0.0023780157789587975,0.003889603540301323,0.0063174935057759285,0.004179102368652821,0.006119505502283573,0.005040797404944897,0.004971863701939583,0.0036936169490218163,0.0043550096452236176,0.0034012487158179283,0.0041852183640003204,0.0029160843696445227,0.00803765282034874,0.006333950906991959,0.005742794834077358,0.0053667230531573296,0.005787358619272709,0.0057143475860357285,0.005968759767711163,0.005948987789452076,0.005775768309831619,0.005695898085832596,0.005844868719577789,0.0039444901049137115,0.0032872636802494526,0.003747900715097785,0.003459575120359659,0.003598350565880537,0.0036943908780813217,0.0034268535673618317,0.003706189338117838,0.0034521003253757954,0.0033272106666117907,0.003700071247294545,0.00377218471840024,0.003616722533479333,0.0032611493952572346,0.0033583426848053932,0.0038026131223887205,0.003846364561468363,0.0038474216125905514,0.0038249348290264606,0.0062287431210279465,0.0062135858461260796,0.00621307035908103,0.006251853425055742,0.006238623987883329,0.0059388866648077965,0.00513759208843112,0.005223361309617758,0.003330922918394208,0.0029927780851721764,0.0022029359824955463,0.004167326260358095,0.002516995882615447,0.0034130681306123734,0.0023278372827917337,0.003921652212738991,0.0062741562724113464
laryngeal_tissues,0.0068550072610378265,0.007797612808644772,0.007711285725235939,0.007627502083778381,0.008071137592196465,0.0037104575894773006,0.0,0.007037235889583826,0.007076363544911146,0.0034310403279960155,0.005221541039645672,0.005626036319881678,0.006642438471317291,0.006146092899143696,0.0040161823853850365,0.0039728241972625256,0.0108223557472229,0.009012816473841667,0.008363877423107624,0.00795365683734417,0.00847705639898777,0.008496293798089027,0.008441452868282795,0.008471079170703888,0.00845551397651434,0.008468711748719215,0.008486341685056686,0.008757704868912697,0.006606257986277342,0.004838120192289352,0.004805605858564377,0.01012728177011013,0.006097239442169666,0.005512333940714598,0.005641995929181576,0.005783196073025465,0.005388807505369186,0.00582312885671854,0.005491003394126892,0.005414951592683792,0.005706227384507656,0.005721875000745058,0.005679001100361347,0.005293183960020542,0.005273851100355387,0.005851972848176956,0.004769730381667614,0.009324351325631142,0.00475708581507206,0.006266794167459011,0.009049206972122192,0.005877625197172165,0.006845570169389248,0.009018149226903915,0.009041755460202694,0.009055650793015957,0.009034676477313042,0.008391703478991985,0.007636468391865492,0.007586476393043995,0.0061495499685406685,0.009636307135224342,0.004664699546992779,0.005314767826348543,0.004003189504146576,0.005868011154234409,0.0037293978966772556,0.0045211585238575935,0.004246715921908617,0.005497125443071127,0.00920286774635315,0.006828761659562588,0.008760716766119003,0.007679225876927376,0.007612762972712517,4.021726635983214e-05,0.006968401838093996,0.0035974648781120777,0.006516439840197563,0.004001048393547535,0.010677461512386799,0.008974635973572731,0.008369175717234612,0.008007854223251343,0.008426818996667862,0.008353015407919884,0.008607657626271248,0.0085879135876894,0.00841483660042286,0.008334740996360779,0.00848405621945858,0.0065970392897725105,0.0048406971618533134,0.006073943339288235,0.005448095500469208,0.005658280104398727,0.005744682624936104,0.005436876323074102,0.005755490157753229,0.005488871596753597,0.005353592336177826,0.005746525712311268,0.005793900694698095,0.005649963393807411,0.005312969442456961,0.005294008180499077,0.005879776552319527,0.0047693802043795586,0.004742895253002644,0.0063966186717152596,0.009015042334794998,0.008996192365884781,0.008996356278657913,0.009031808003783226,0.009030433371663094,0.008476076647639275,0.007579122669994831,0.0076461248099803925,0.004686614032834768,0.00534976739436388,0.004005208611488342,0.005884571000933647,0.0037290817126631737,0.004506767727434635,0.004230208229273558,0.005531901493668556,0.009164728224277496
nerthus_bowel_cleansing_quality,0.0017728712409734726,0.001962913665920496,0.0019485200755298138,0.002120570745319128,0.0029516606591641903,0.004425514955073595,0.007037235889583826,0.0,0.001623544143512845,0.00452253594994545,0.0020498281810432673,0.0018398636020720005,0.0018238218035548925,0.0018439003033563495,0.004311432596296072,0.004676994867622852,0.0037980922497808933,0.0021025657188147306,0.0013675936497747898,0.0011127600446343422,0.0019174612825736403,0.0019336288096383214,0.0019012701231986284,0.0019246458541601896,0.0018965508788824081,0.0019070167327299714,0.0019193114712834358,0.0023202758748084307,0.0013958290219306946,0.0031493999995291233,0.006598461419343948,0.0036930441856384277,0.002501701470464468,0.002944651525467634,0.002805018797516823,0.0026925771962851286,0.002958649303764105,0.00269521726295352,0.0029150117188692093,0.002921712351962924,0.0027969456277787685,0.0028059380128979683,0.0027669300325214863,0.003037033136934042,0.0031988422852009535,0.0026978934183716774,0.005701087880879641,0.00254715234041214,0.005636413581669331,0.0016829456435516477,0.0062301489524543285,0.0031597651541233063,0.0029362617060542107,0.006202259100973606,0.006225579883903265,0.006241577677428722,0.006218696478754282,0.00198974646627903,0.001562714227475226,0.001558326417580247,0.002776084467768669,0.0071776919066905975,0.005629426799714565,0.0025676374789327383,0.004461923614144325,0.005541492253541946,0.005417883396148682,0.005944492295384407,0.0038601302076131105,0.003186484333127737,0.006128129083663225,0.0017731859115883708,0.002215603832155466,0.0019065168453380466,0.0021063885651528835,0.007060186471790075,7.304814062081277e-05,0.004385515581816435,0.0018668207339942455,0.004343980923295021,0.0036560806911438704,0.002114439383149147,0.0013656581286340952,0.0011310174595564604,0.0018475539982318878,0.0018566136714071035,0.00196348805911839,0.001934017171151936,0.0018736744532361627,0.0018363473936915398,0.0019219096284359694,0.001384864328429103,0.006539450027048588,0.0025367513298988342,0.0030337313655763865,0.0027924743480980396,0.0027273548766970634,0.002922455780208111,0.0027059426065534353,0.002899663522839546,0.002994067035615444,0.002733128610998392,0.0027649938128888607,0.002799790585413575,0.0029977692756801844,0.0031889677047729492,0.002699060831218958,0.005658440757542849,0.005628545302897692,0.0016521000070497394,0.0062061999924480915,0.00618545338511467,0.006190271116793156,0.006231521721929312,0.0062109725549817085,0.002058035461232066,0.0015194723382592201,0.001594266970641911,0.005514215677976608,0.0025454042479395866,0.004493309184908867,0.005577763542532921,0.005372948013246059,0.005995576269924641,0.003853281494230032,0.003201516345143318,0.006084044463932514
stanford_dogs_image_categorization,0.002507709199562669,0.002789626130834222,0.002596659818664193,0.002908959984779358,0.0025445157662034035,0.004449149593710899,0.007076363544911146,0.001623544143512845,0.0,0.004980023019015789,0.0021335314959287643,0.001850211527198553,0.0017665320774540305,0.0020342525094747543,0.004209747072309256,0.004530250560492277,0.0037934156134724617,0.002429709304124117,0.0016593325417488813,0.0018815086223185062,0.002207556739449501,0.0022206937428563833,0.0022074785083532333,0.002214811509475112,0.0022014917340129614,0.0022135882172733545,0.0022153721656650305,0.0022055814042687416,0.001991542521864176,0.0032943771220743656,0.006629081442952156,0.0033016421366482973,0.002338243182748556,0.003871979657560587,0.003782560583204031,0.0036674465518444777,0.003919264767318964,0.00368207017891109,0.003865438513457775,0.0038871997967362404,0.0037600945215672255,0.003753634635359049,0.003728204406797886,0.003989900462329388,0.00411132350564003,0.0036550257354974747,0.00644737109541893,0.0024644630029797554,0.006390637252479792,0.0014235195703804493,0.005902026779949665,0.004133894108235836,0.003087187185883522,0.005871639586985111,0.005902382545173168,0.005911577958613634,0.005890040658414364,0.00221768906340003,0.0019620475359261036,0.0019552370067685843,0.00213351147249341,0.006693053059279919,0.0062424615025520325,0.003390839323401451,0.005080856382846832,0.006043071858584881,0.005997622385621071,0.0064720530062913895,0.004432507790625095,0.002485332079231739,0.005941133480519056,0.002506673103198409,0.0030426091980189085,0.0026071714237332344,0.0029112438205629587,0.007099298760294914,0.0016612925101071596,0.004839704837650061,0.0018227279651910067,0.004254707135260105,0.0036618714220821857,0.0024321656674146652,0.0016713924705982208,0.0019007191294804215,0.002186087192967534,0.0021980195306241512,0.002270086668431759,0.0022319015115499496,0.0021944125182926655,0.0021821469999849796,0.0021954039111733437,0.002035013632848859,0.006568814627826214,0.002370940987020731,0.003961323294788599,0.003765780944377184,0.0036985278129577637,0.003871736116707325,0.0036833425983786583,0.0038442309014499187,0.003958175890147686,0.0037067062221467495,0.003697924315929413,0.003758489852771163,0.003955126740038395,0.0040975818410515785,0.0036556359846144915,0.006405401974916458,0.0063826097175478935,0.0013964860700070858,0.005872783251106739,0.005858706310391426,0.0058606574311852455,0.005896792747080326,0.005878339055925608,0.0022428655065596104,0.001955720828846097,0.001953988801687956,0.006119937635958195,0.003359739203006029,0.005120287649333477,0.00608398811891675,0.005947347730398178,0.006531192921102047,0.004423067905008793,0.0024831844493746758,0.005898732226341963
svhn,0.00553938839584589,0.0057871537283062935,0.006035672500729561,0.005766491871327162,0.006561966147273779,0.0034234581980854273,0.0034310403279960155,0.00452253594994545,0.004980023019015789,0.0,0.004161783028393984,0.004564501345157623,0.0038308557122945786,0.0033895878586918116,0.003960670903325081,0.004117970354855061,0.007916707545518875,0.0065805925987660885,0.005720951594412327,0.0055329762399196625,0.006348650902509689,0.006367424502968788,0.006325847934931517,0.006351730786263943,0.0063267843797802925,0.006337388418614864,0.0063535613007843494,0.006455129943788052,0.005260144826024771,0.0043534282594919205,0.004949996713548899,0.007449784316122532,0.005480458028614521,0.0052343374118208885,0.005213127471506596,0.0052458299323916435,0.005145748145878315,0.0052450913935899734,0.005194766912609339,0.005141594912856817,0.005268333945423365,0.005306417588144541,0.005239914171397686,0.005171062424778938,0.005263256840407848,0.005294302478432655,0.005900305695831776,0.006807371042668819,0.005877544637769461,0.004469354636967182,0.008707467466592789,0.005186673253774643,0.0059996917843818665,0.008677126839756966,0.008699803613126278,0.008714545518159866,0.008692490868270397,0.005588267929852009,0.004924538545310497,0.004876319319009781,0.005353914108127356,0.009294979274272919,0.005530240945518017,0.004414319060742855,0.004190738778561354,0.006417484953999519,0.004542260430753231,0.0053473180159926414,0.0041234539821743965,0.004449151456356049,0.008851801976561546,0.005538042634725571,0.006505749188363552,0.00594231067225337,0.0056989556178450584,0.003453393466770649,0.0044620162807404995,0.00017749215476214886,0.0036830399185419083,0.0039770714938640594,0.007807566784322262,0.00658197607845068,0.005735490471124649,0.005558177828788757,0.006278614513576031,0.006264687515795231,0.006412826012820005,0.006393630988895893,0.006300180219113827,0.0062479679472744465,0.006355819292366505,0.005228374619036913,0.0049631185829639435,0.00549068721011281,0.00525932852178812,0.005205778405070305,0.005251539871096611,0.005172720178961754,0.005225306376814842,0.00519503653049469,0.005134742707014084,0.005261098966002464,0.005350244231522083,0.0052591897547245026,0.005149967968463898,0.0052850269712507725,0.005319173447787762,0.005895690061151981,0.00586892943829298,0.004553954117000103,0.008670896291732788,0.008654211647808552,0.00865825917571783,0.008692096918821335,0.008687065914273262,0.0056370580568909645,0.004872613586485386,0.00491967611014843,0.0055147744715213776,0.004452437628060579,0.004211399704217911,0.00643985765054822,0.004520109388977289,0.005341494455933571,0.0040858956053853035,0.004481795243918896,0.008811373263597488
