,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.001040663686580956,0.0008857965585775673,0.0010743807069957256,0.0025988109409809113,0.004209466278553009,0.006855005864053965,0.0017728707753121853,0.002507708966732025,0.005539387464523315,0.0019608340226113796,0.001731589320115745,0.0028534624725580215,0.0027836018707603216,0.0038860442582517862,0.00435669906437397,0.0041296761482954025,0.002553660189732909,0.002258544322103262,0.0018957920838147402,0.0016860251780599356,0.001705867936834693,0.0016524915117770433,0.0016802422469481826,0.0016634677303954959,0.0016766018234193325,0.001691931509412825,0.002767084864899516,0.0013386030914261937,0.0031476083677262068,0.006406749133020639,0.004099824465811253,0.002496829954907298,0.001963260117918253,0.0018852909561246634,0.001866595703177154,0.001980274450033903,0.0018814586801454425,0.0019354807445779443,0.001942028058692813,0.001914355088956654,0.0019080324564129114,0.001877230009995401,0.0020976541563868523,0.002186452504247427,0.001898457296192646,0.00449199415743351,0.0029549335595220327,0.004428626969456673,0.0022002169862389565,0.005565491504967213,0.0022220145910978317,0.0021600769832730293,0.00554447527974844,0.005558392498642206,0.005576418247073889,0.005558930803090334,0.002849732991307974,0.0025561009533703327,0.0025744489394128323,0.0026697483845055103,0.006562350783497095,0.004640667699277401,0.0018635583110153675,0.0038872999139130116,0.004434317350387573,0.004852153826504946,0.005081613548099995,0.003132786136120558,0.003455346915870905,0.005390862002968788,,0.0019124021055176854,0.0008599626598879695,0.0010991508606821299,0.006875205785036087,0.001740909880027175,0.005435985513031483,0.0028922632336616516,0.003910485655069351,0.003996552433818579,0.002513580024242401,0.002239807741716504,0.0019388427026569843,0.0016361708985641599,0.0015631497371941805,0.0018113896949216723,0.001794847659766674,0.0016224498394876719,0.0015519206644967198,0.0017019117949530482,0.0012844869634136558,0.00634715287014842,0.0025298180989921093,0.002041445579379797,0.00187334802467376,0.0018723018001765013,0.001952128834091127,0.0018813153728842735,0.0019258882384747267,0.002004886046051979,0.0018837612587958574,0.0019058689940720797,0.0019020023755729198,0.002050952520221472,0.002170010469853878,0.0018909221980720758,0.004443796817213297,0.004420111421495676,0.0022021611221134663,0.0055521889589726925,0.005525762215256691,0.005530570168048143,0.005574517883360386,0.0055551971308887005,0.0029221270233392715,0.002500765025615692,0.002618081634864211,0.004509401507675648,0.0018367863958701491,0.003910299390554428,0.004469513893127441,0.00480801984667778,0.0051635317504405975,0.003149077296257019,0.003472308162599802,0.005351177416741848
lapgyn4_surgical_actions,0.0010406641522422433,0.0,0.0005959694390185177,0.0004337202408351004,0.0029938691295683384,0.0051565393805503845,0.007797614671289921,0.0019629141315817833,0.0027896270621567965,0.005787154659628868,0.002869638614356518,0.0026574654038995504,0.003003291320055723,0.003006596118211746,0.004747770726680756,0.005252302158623934,0.0035135787911713123,0.0024014259688556194,0.002164228819310665,0.0015942335594445467,0.0012027513002976775,0.001216369797475636,0.0011811517179012299,0.0012028752826154232,0.001185741974040866,0.001185701577924192,0.0012003728188574314,0.0027947118505835533,0.0019745011813938618,0.004125031642615795,0.007353858090937138,0.0037846905179321766,0.003410135628655553,0.002663429593667388,0.002453056862577796,0.0023335530422627926,0.0027414262294769287,0.0023064403794705868,0.0026386016979813576,0.00268038478679955,0.0024268636479973793,0.002443947596475482,0.0024392264895141125,0.00291765620931983,0.00295694125816226,0.002342621795833111,0.005057324655354023,0.0027284263633191586,0.004996051080524921,0.002642267383635044,0.006264392752200365,0.002477470552548766,0.002782367868348956,0.00625042337924242,0.006253593601286411,0.006271285004913807,0.006261325906962156,0.0027416159864515066,0.0025729811750352383,0.002593433251604438,0.0034910698886960745,0.007216309662908316,0.00541693763807416,0.0025436580181121826,0.004812171217054129,0.004947258159518242,0.005775663070380688,0.005936574190855026,0.004038495942950249,0.004339886829257011,0.005973575171083212,0.001069527119398117,,0.0004898617044091225,0.00042915885569527745,0.007820552214980125,0.0019468548707664013,0.00568010937422514,0.00307702855207026,0.004772045649588108,0.003400024026632309,0.002360174898058176,0.0021478338167071342,0.0016321295406669378,0.0011403618846088648,0.0011166947660967708,0.0012432066723704338,0.001256337622180581,0.0011663853656500578,0.001124060247093439,0.0012375733349472284,0.0018945543561130762,0.007294062525033951,0.003442714223638177,0.0027696790639311075,0.0024233926087617874,0.002368045039474964,0.0027086162008345127,0.0023541864939033985,0.0026416017208248377,0.002772813430055976,0.0023755482397973537,0.002418922260403633,0.002485845237970352,0.002876830752938986,0.0029275468550622463,0.002332900185137987,0.005005214363336563,0.0049901786260306835,0.0026088831946253777,0.00626435736194253,0.006231131497770548,0.006235589273273945,0.006279502529650927,0.006263051647692919,0.0028122630901634693,0.0025396584533154964,0.00262024300172925,0.005283089354634285,0.002515616826713085,0.00483021279796958,0.004983038641512394,0.005732458084821701,0.006019934080541134,0.004061822779476643,0.004350096918642521,0.005946657620370388
lapgyn4_instrument_count,0.0008857967332005501,0.0005959693226031959,0.0,0.0005651650717481971,0.0024720062501728535,0.005071032792329788,0.007711285725235939,0.0019485197262838483,0.002596659818664193,0.006035672500729561,0.0026621422730386257,0.0023490276653319597,0.003168640658259392,0.0031968881376087666,0.004462273791432381,0.004989150911569595,0.0034732455387711525,0.0022505423985421658,0.002164070960134268,0.0017777110915631056,0.0010252478532493114,0.0010366655187681317,0.0009976011933758855,0.0010160880628973246,0.0010088556446135044,0.0010110576404258609,0.0010220844997093081,0.00259117572568357,0.0016797580756247044,0.003777534468099475,0.007264946587383747,0.0036169439554214478,0.0029452438466250896,0.0025298884138464928,0.0023881252855062485,0.0022775200195610523,0.0026319806929677725,0.0022715269587934017,0.0025218985974788666,0.002577082719653845,0.002356982324272394,0.002337169833481312,0.002346841851249337,0.0027864729054272175,0.002847460098564625,0.002264660783112049,0.004997678101062775,0.002684209495782852,0.004937922582030296,0.002389183035120368,0.0056918589398264885,0.0025848657824099064,0.0023426227271556854,0.005681554786860943,0.005681350827217102,0.005697928369045258,0.0056899311020970345,0.002597623271867633,0.002458177972584963,0.0024805315770208836,0.003067809622734785,0.006643179338425398,0.005321871023625135,0.0024911793880164623,0.004725724458694458,0.004656517878174782,0.005690229125320911,0.00585049856454134,0.003953093662858009,0.0038909409195184708,0.005404438823461533,0.0009122801711782813,0.0011044580023735762,,0.0006492119282484055,0.007732795085757971,0.0019445089856162667,0.005932188592851162,0.003256734926253557,0.0045007700100541115,0.003355092369019985,0.002203014213591814,0.0021436139941215515,0.001815460273064673,0.000996443908661604,0.0009267610148526728,0.0011086523300036788,0.0011143232695758343,0.0009844419546425343,0.0009221635991707444,0.0010537025518715382,0.0016317465342581272,0.007204541936516762,0.00297794071957469,0.002632110845297575,0.0023658499121665955,0.002301793312653899,0.002578346524387598,0.0023066443391144276,0.002518543740734458,0.002666998188942671,0.0023133736103773117,0.002290444914251566,0.0023795152083039284,0.002747837919741869,0.002812325954437256,0.002251935191452503,0.004947066307067871,0.0049313027411699295,0.002369682304561138,0.0056955935433506966,0.005661653354763985,0.005666353739798069,0.005709066055715084,0.005692820996046066,0.002666663145646453,0.0024356753565371037,0.002506374381482601,0.005188209004700184,0.0024588126689195633,0.004743779078125954,0.004691836889833212,0.005646924488246441,0.005933520384132862,0.003976357169449329,0.0039002480916678905,0.005375368520617485
lapgyn4_anatomical_actions,0.0010743808234110475,0.00043372006621211767,0.0005651650717481971,0.0,0.002978954929858446,0.004986867308616638,0.007627501152455807,0.0021205702796578407,0.0029089595191180706,0.0057664904743433,0.0028490435797721148,0.0026301401667296886,0.0031817094422876835,0.003155024256557226,0.004521640948951244,0.00505659868940711,0.003716559847816825,0.0025199817027896643,0.0023923013359308243,0.001831650617532432,0.0013016995508223772,0.0013118949718773365,0.0012780760880559683,0.001295918831601739,0.0012881506700068712,0.0012858342379331589,0.0012968850787729025,0.002919570542871952,0.0020340299233794212,0.0040320344269275665,0.007183535024523735,0.003916624002158642,0.003432187717407942,0.0025638691149652004,0.0023956720251590014,0.0023087728768587112,0.002645140513777733,0.002287924522534013,0.0025459518656134605,0.0025878488086163998,0.002382867969572544,0.002392749534919858,0.002388246124610305,0.0028034751303493977,0.0028205818962305784,0.002316568046808243,0.004921411629766226,0.002949759364128113,0.004864041227847338,0.0027342073153704405,0.006198336370289326,0.0024956176057457924,0.0028003244660794735,0.0061859190464019775,0.006188526749610901,0.006205601152032614,0.006195972673594952,0.002879174193367362,0.002711289096623659,0.0027327132411301136,0.00344661483541131,0.007157662883400917,0.005227013491094112,0.0024582301266491413,0.0046439580619335175,0.004736036993563175,0.005607161670923233,0.0057681528851389885,0.0038699533324688673,0.004358796868473291,0.005927661433815956,0.0011013264302164316,0.0011572269722819328,0.0004582268884405494,,0.007650439627468586,0.0021026155445724726,0.005662844516336918,0.0032485071569681168,0.004546658601611853,0.0036058472469449043,0.0024751077871769667,0.0023730590473860502,0.0018697686027735472,0.0012637600302696228,0.0012192444410175085,0.0013555698096752167,0.0013705982128158212,0.0012688180431723595,0.0012212067376822233,0.0013382469769567251,0.001958614680916071,0.007123131304979324,0.003464562352746725,0.0026653201784938574,0.002365296706557274,0.002334073418751359,0.0026161354035139084,0.0023278621956706047,0.0025522089563310146,0.0026662361342459917,0.0023429812863469124,0.002376710530370474,0.0024366690777242184,0.002763888332992792,0.0027934908866882324,0.0023050126619637012,0.004871823359280825,0.004856806248426437,0.002713228575885296,0.006198833230882883,0.006166158709675074,0.006171061657369137,0.00621427409350872,0.0061977398581802845,0.0029489281587302685,0.002686593681573868,0.0027594324201345444,0.00509407464414835,0.0024350937455892563,0.0046620117500424385,0.004772392101585865,0.005563882179558277,0.0058513907715678215,0.0038932792376726866,0.004370898008346558,0.0058982353657484055
sklin2_skin_lesions,0.002598810475319624,0.002993866801261902,0.002472005318850279,0.0029789539985358715,0.0,0.005424534436315298,0.008071133866906166,0.0029516592621803284,0.002544514602050185,0.006561962887644768,0.0029652267694473267,0.002566782757639885,0.003401894122362137,0.003551185131072998,0.004785526543855667,0.0053201233968138695,0.0028875211719423532,0.0016345572657883167,0.0023996797390282154,0.002996886381879449,0.0021266855765134096,0.00212150439620018,0.002140352502465248,0.0021227914839982986,0.0021480952855199575,0.0021512415260076523,0.00214172201231122,0.0013224044814705849,0.002364762593060732,0.004087439272552729,0.0075906552374362946,0.00253876531496644,0.0025227004662156105,0.003934236243367195,0.003930232021957636,0.0038474267348647118,0.003985926043242216,0.0038775261491537094,0.0039330823346972466,0.003960715606808662,0.003918496426194906,0.0038800945039838552,0.0038622147403657436,0.004011152777820826,0.004135520197451115,0.0038291877135634422,0.006150389555841684,0.0021205011289566755,0.00610582809895277,0.002323996741324663,0.0037492287810891867,0.0042228782549500465,0.002207316691055894,0.003733583725988865,0.003747606184333563,0.00375739810988307,0.003742914879694581,0.0017643554601818323,0.0020576645620167255,0.0020957139786332846,0.002862632740288973,0.00458060298115015,0.00615397933870554,0.0034283879213035107,0.005179896950721741,0.0054650986567139626,0.006153566762804985,0.006447110325098038,0.004466594196856022,0.003061148803681135,0.0037063038907945156,0.002591504482552409,0.0030555089469999075,0.0025724549777805805,0.003050431841984391,0.008086862973868847,0.0029735856223851442,0.006461454555392265,0.0035226671025156975,0.004823021125048399,0.0027546086348593235,0.0015917181735858321,0.002364512300118804,0.003017920069396496,0.002179692965000868,0.0021710903383791447,0.0021758098155260086,0.002166628371924162,0.0021687797270715237,0.002152001019567251,0.0020886179991066456,0.0024444623850286007,0.00753004290163517,0.002549252239987254,0.003996757324784994,0.003918568603694439,0.0038595113437622786,0.003927679266780615,0.003871383611112833,0.003908826969563961,0.0040128882974386215,0.003883897326886654,0.0038222242146730423,0.0038757978472858667,0.003985333256423473,0.004117314703762531,0.003826963249593973,0.006108496803790331,0.006099690683186054,0.0022425218485295773,0.003741827327758074,0.003720821114256978,0.003722807625308633,0.003757330821827054,0.003736574901267886,0.001791887218132615,0.0021021100692451,0.0020784572698175907,0.006021860521286726,0.0033829230815172195,0.005208881571888924,0.005510824266821146,0.006106927525252104,0.006527286488562822,0.004472509957849979,0.003033293876796961,0.00367153761908412
identify_nbi_infframes,0.004209466744214296,0.005156537517905235,0.005071032326668501,0.0049868677742779255,0.005424536298960447,0.0,0.0037104571238160133,0.00442551402375102,0.004449149593710899,0.0034234574995934963,0.0025727555621415377,0.0029898749198764563,0.004286444745957851,0.003941996488720179,0.002934306161478162,0.0028531185816973448,0.008182191289961338,0.006372362375259399,0.005736269522458315,0.005312535911798477,0.005837881937623024,0.005857255309820175,0.005802401341497898,0.005831838585436344,0.005816381424665451,0.005829493049532175,0.00584710156545043,0.006116512231528759,0.003948991186916828,0.0019302358850836754,0.0032900222577154636,0.007486168295145035,0.00379690108820796,0.003498302074149251,0.0035807108506560326,0.0037252737674862146,0.0033795670606195927,0.003755738725885749,0.0034652322065085173,0.0033961613662540913,0.003669742029160261,0.0036989436484873295,0.0036233444698154926,0.00325900805182755,0.0033118226565420628,0.0037888395600020885,0.003826792584732175,0.006683645769953728,0.003843957558274269,0.0037081437185406685,0.0062594544142484665,0.003953573293983936,0.004194675479084253,0.006228071637451649,0.006257937289774418,0.006269142962992191,0.006248104851692915,0.005856630392372608,0.005192507524043322,0.005164020229130983,0.003562765894457698,0.007098807953298092,0.0033538267016410828,0.0029625955503433943,0.002180866664275527,0.004138590767979622,0.002536903601139784,0.003397926688194275,0.00237801531329751,0.0038896026089787483,0.006317493040114641,0.004179101902991533,0.006119505036622286,0.005040796473622322,0.0049718632362782955,0.003693616483360529,0.004355008713901043,0.003401248250156641,0.004185217898339033,0.002916084136813879,0.008037651889026165,0.006333950441330671,0.005742794368416071,0.005366722121834755,0.005787358153611422,0.005714346654713154,0.005968758836388588,0.005948986858129501,0.005775767378509045,0.005695897154510021,0.005844867788255215,0.003944489173591137,0.0032872632145881653,0.0037479002494364977,0.003459575120359659,0.0035983501002192497,0.003694390645250678,0.0034268531017005444,0.0037061888724565506,0.0034520996268838644,0.003327210433781147,0.0037000710144639015,0.0037721842527389526,0.0036167223006486893,0.0032611489295959473,0.003358342219144106,0.003802612656727433,0.003846364328637719,0.003847421146929264,0.003824933897703886,0.006228742189705372,0.006213584914803505,0.006213068962097168,0.00625185202807188,0.006238623522222042,0.005938885733485222,0.005137591622769833,0.0052233608439564705,0.0033309226855635643,0.002992777619510889,0.002202935516834259,0.004167325794696808,0.0025169954169541597,0.003413067664951086,0.00232783704996109,0.0039216517470777035,0.006274155806750059
laryngeal_tissues,0.006855008192360401,0.007797613739967346,0.007711286656558514,0.007627502549439669,0.00807113852351904,0.003710458055138588,0.0,0.007037236355245113,0.007076364476233721,0.003431040793657303,0.005221541505306959,0.005626036785542965,0.006642438936978579,0.0061460938304662704,0.004016183316707611,0.0039728251285851,0.010822356678545475,0.009012817405164242,0.008363879285752773,0.007953657768666744,0.00847705639898777,0.008496294729411602,0.00844145379960537,0.008471080102026463,0.008455515839159489,0.008468711748719215,0.008486341685056686,0.008757705800235271,0.006606259383261204,0.00483812065795064,0.0048056067898869514,0.01012728177011013,0.006097239907830954,0.005512334872037172,0.005641996394842863,0.00578319700434804,0.005388808436691761,0.005823129788041115,0.005491003859788179,0.005414952058345079,0.005706227850168943,0.005721875932067633,0.0056790015660226345,0.005293184891343117,0.005273851566016674,0.0058519733138382435,0.004769730847328901,0.009324353188276291,0.004757086746394634,0.006266794633120298,0.009049207903444767,0.005877626594156027,0.0068455711007118225,0.009018151089549065,0.009041756391525269,0.009055652655661106,0.009034676477313042,0.00839170441031456,0.007636469788849354,0.0075864773243665695,0.006149550434201956,0.009636308066546917,0.004664700478315353,0.0053147682920098305,0.004003189969807863,0.005868011154234409,0.0037293981295078993,0.004521158989518881,0.004246716387569904,0.005497125908732414,0.009202869608998299,0.006828762590885162,0.008760716766119003,0.00767922680824995,0.007612763904035091,,0.006968402303755283,0.003597465343773365,0.006516440771520138,0.004001048859208822,0.010677462443709373,0.00897463783621788,0.00836917757987976,0.008007854223251343,0.008426819927990437,0.008353015407919884,0.008607657626271248,0.0085879135876894,0.008414837531745434,0.008334741927683353,0.008484057150781155,0.006597040221095085,0.004840697627514601,0.006073944270610809,0.005448095966130495,0.005658280570060015,0.005744684021919966,0.005436877254396677,0.005755491554737091,0.005488872062414885,0.0053535932675004005,0.0057465266436338425,0.00579390162602067,0.005649964325129986,0.005312969908118248,0.005294008646160364,0.005879777483642101,0.0047693802043795586,0.004742895718663931,0.006396619137376547,0.009015044197440147,0.008996193297207355,0.008996356278657913,0.0090318089351058,0.009030433371663094,0.008476078510284424,0.007579123135656118,0.007646125741302967,0.004686614498496056,0.0053497678600251675,0.004005208611488342,0.0058845714665949345,0.003729082178324461,0.0045067681930959225,0.004230208694934845,0.0055319019593298435,0.009164728224277496
nerthus_bowel_cleansing_quality,0.0017728712409734726,0.0019629134330898523,0.0019485196098685265,0.0021205705124884844,0.002951660193502903,0.00442551402375102,0.007037235423922539,0.0,0.0016235439106822014,0.00452253594994545,0.0020498281810432673,0.0018398636020720005,0.0018238213378936052,0.0018439001869410276,0.004311433061957359,0.004676994867622852,0.003798091784119606,0.002102565485984087,0.001367593533359468,0.0011127600446343422,0.0019174609333276749,0.0019336286932229996,0.001901269773952663,0.001924645621329546,0.0018965507624670863,0.0019070164998993278,0.0019193110056221485,0.002320275641977787,0.0013958290219306946,0.0031493999995291233,0.006598460488021374,0.003693043952807784,0.0025017010048031807,0.0029446512926369905,0.0028050183318555355,0.002692576963454485,0.0029586488381028175,0.002695217030122876,0.0029150114860385656,0.002921711653470993,0.0027969451621174812,0.0028059380128979683,0.0027669300325214863,0.0030370326712727547,0.00319884205237031,0.0026978934183716774,0.005701086949557066,0.0025471521075814962,0.005636413116008043,0.001682945410721004,0.006230147555470467,0.0031597649212926626,0.0029362610075622797,0.006202258635312319,0.00622557895258069,0.006241577211767435,0.006218695547431707,0.0019897460006177425,0.001562714111059904,0.001558326301164925,0.002776084002107382,0.007177690975368023,0.005629425868391991,0.0025676372461020947,0.004461923614144325,0.005541491787880659,0.005417882930487394,0.005944491364061832,0.0038601295091211796,0.0031864834018051624,0.006128128618001938,0.0017731855623424053,0.002215603832155466,0.001906516612507403,0.0021063885651528835,0.007060186006128788,,0.0043855151161551476,0.0018668206175789237,0.0043439799919724464,0.0036560799926519394,0.0021144389174878597,0.0013656580122187734,0.0011310172267258167,0.0018475537654012442,0.0018566134385764599,0.0019634875934571028,0.0019340170547366142,0.001873674220405519,0.0018363469280302525,0.0019219093956053257,0.001384864328429103,0.006539449095726013,0.002536750864237547,0.003033731132745743,0.0027924738824367523,0.0027273548766970634,0.002922455547377467,0.0027059423737227917,0.0028996628243476152,0.002994067035615444,0.002733128145337105,0.002764993580058217,0.0027997903525829315,0.0029977690428495407,0.0031889674719423056,0.002699060831218958,0.005658440291881561,0.005628544371575117,0.0016520996578037739,0.006206199061125517,0.0061854529194533825,0.006190270185470581,0.006231520790606737,0.006210971623659134,0.002058034995570779,0.0015194721054285765,0.0015942667378112674,0.005514215677976608,0.002545404015108943,0.004493308253586292,0.0055777630768716335,0.005372947081923485,0.005995575338602066,0.0038532812613993883,0.003201515879482031,0.00608404353260994
stanford_dogs_image_categorization,0.0025077075697481632,0.0027896242681890726,0.0025966577231884003,0.0029089576564729214,0.0025445136707276106,0.004449146334081888,0.007076358422636986,0.001623542862944305,0.0,0.004980019293725491,0.0021335298661142588,0.0018502101302146912,0.0017665305640548468,0.0020342508796602488,0.004209744278341532,0.004530247300863266,0.0037934123538434505,0.0024297074414789677,0.001659331377595663,0.0018815071089193225,0.002207555342465639,0.0022206921130418777,0.002207476645708084,0.0022148096468299627,0.002201490104198456,0.002213586587458849,0.002215370535850525,0.0022055795416235924,0.001991541124880314,0.0032943745609372854,0.006629076320677996,0.0033016400411725044,0.002338241320103407,0.0038719766307622194,0.003782557789236307,0.0036674439907073975,0.003919261507689953,0.003682067384943366,0.0038654357194900513,0.0038871970027685165,0.003760091494768858,0.003753631841391325,0.003728201612830162,0.0039898972027003765,0.004111320711672306,0.003655022941529751,0.00644736597314477,0.002464461140334606,0.006390633061528206,0.001423518406227231,0.005902022588998079,0.004133891314268112,0.003087184624746442,0.005871634930372238,0.005902377888560295,0.005911573767662048,0.005890036001801491,0.0022176874335855246,0.001962045906111598,0.0019552353769540787,0.002133509609848261,0.006693047471344471,0.006242456845939159,0.0033908369950950146,0.005080852657556534,0.006043067667633295,0.0059976172633469105,0.006472047884017229,0.004432504065334797,0.00248533021658659,0.005941128823906183,0.00250667124055326,0.003042606869712472,0.002607169561088085,0.002911241725087166,0.0070992931723594666,0.0016612912295386195,0.004839701112359762,0.0018227265682071447,0.004254703875631094,0.003661868628114462,0.002432163804769516,0.0016713913064450026,0.0019007176160812378,0.0021860855631530285,0.002198017667979002,0.0022700850386172533,0.002231899881735444,0.00219441088847816,0.002182145370170474,0.002195402281358838,0.002035012235864997,0.0065688095055520535,0.0023709391243755817,0.003961320035159588,0.00376577815040946,0.00369852501899004,0.003871733322739601,0.0036833402700722218,0.003844228107482195,0.003958173096179962,0.003706703195348382,0.003697921521961689,0.003758487058803439,0.003955124411731958,0.004097578581422567,0.0036556334234774113,0.006405397318303585,0.006382604595273733,0.0013964849058538675,0.005872778594493866,0.00585870211943984,0.0058606527745723724,0.005896788090467453,0.005878334864974022,0.002242863643914461,0.001955719431862235,0.001953987404704094,0.006119932979345322,0.003359736641868949,0.0051202839240431786,0.006083983462303877,0.00594734214246273,0.006531187798827887,0.004423064179718494,0.0024831825867295265,0.00589872756972909
svhn,0.005539387464523315,0.0057871523313224316,0.006035671103745699,0.0057664900086820126,0.006561963818967342,0.003423457033932209,0.0034310396295040846,0.004522534552961588,0.004980021622031927,0.0,0.004161781631410122,0.004564500413835049,0.0038308543153107166,0.0033895873930305243,0.003960669972002506,0.004117969423532486,0.007916705682873726,0.006580590270459652,0.005720949731767178,0.0055329748429358006,0.00634864903986454,0.006367422640323639,0.00632584560662508,0.0063517289236187935,0.006326782517135143,0.006337386555969715,0.006353558972477913,0.006455128081142902,0.005260143429040909,0.004353427328169346,0.004949995316565037,0.007449782453477383,0.005480456631630659,0.005234336014837027,0.005213126074522734,0.005245828535407782,0.005145746748894453,0.005245089530944824,0.005194765515625477,0.005141593515872955,0.005268332548439503,0.005306416191160679,0.005239912774413824,0.005171061027795076,0.0052632554434239864,0.005294301081448793,0.0059003038331866264,0.0068073696456849575,0.005877543240785599,0.004469352774322033,0.00870746560394764,0.005186672322452068,0.005999689921736717,0.008677124977111816,0.00869979988783598,0.008714543655514717,0.008692488074302673,0.005588266532868147,0.004924537613987923,0.004876317922025919,0.005353912711143494,0.00929497741162777,0.005530239082872868,0.0044143181294202805,0.004190737847238779,0.00641748309135437,0.004542259499430656,0.005347316153347492,0.004123453050851822,0.004449149593710899,0.008851800113916397,0.0055380407720804214,0.006505747325718403,0.005942308809608221,0.0056989542208611965,0.0034533925354480743,0.004462014883756638,,0.0036830389872193336,0.003977070562541485,0.007807564456015825,0.0065819742158055305,0.005735489074140787,0.0055581750348210335,0.0062786126509308815,0.006264685653150082,0.0064128246158361435,0.006393629126250744,0.0063001783564686775,0.006247966084629297,0.0063558174297213554,0.005228373222053051,0.0049631171859800816,0.005490685347467661,0.005259327124804258,0.005205777008086443,0.005251538939774036,0.005172718781977892,0.005225305445492268,0.005195035599172115,0.005134741775691509,0.00526109803467989,0.005350242834538221,0.005259188357740641,0.005149967037141323,0.0052850255742669106,0.005319172516465187,0.005895688198506832,0.005868927575647831,0.004553952254354954,0.00867089256644249,0.008654208853840828,0.008658255450427532,0.008692095056176186,0.008687064051628113,0.005637056659907103,0.004872611723840237,0.004919674247503281,0.005514772608876228,0.004452436231076717,0.004211398307234049,0.006439855322241783,0.004520107991993427,0.005341492593288422,0.004085894674062729,0.004481794312596321,0.00881136953830719
