,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0010406638029962778,0.0008857966749928892,0.0010743808234110475,0.0025988114066421986,0.004209467209875584,0.0068550072610378265,0.0017728712409734726,0.0025077094323933125,0.00553938839584589,0.001960834488272667,0.0017315896693617105,0.002853462938219309,0.0027836021035909653,0.003886044956743717,0.004356699995696545,0.004129677079617977,0.0025536606553941965,0.0022585445549339056,0.0018957923166453838,0.0016860254108905792,0.0017058681696653366,0.001652491744607687,0.0016802424797788262,0.0016634680796414614,0.0016766020562499762,0.0016919318586587906,0.002767085563391447,0.0013386033242568374,0.0031476090662181377,0.006406750530004501,0.00409982493147254,0.002496830653399229,0.0019632605835795403,0.001885291188955307,0.0018665959360077977,0.0019802749156951904,0.001881459029391408,0.0019354810938239098,0.0019420284079387784,0.0019143554382026196,0.0019080325728282332,0.0018772302428260446,0.0020976546220481396,0.0021864529699087143,0.0018984577618539333,0.0044919950887560844,0.0029549337923526764,0.004428627900779247,0.0022002174519002438,0.005565492436289787,0.002222015056759119,0.0021600774489343166,0.005544476211071014,0.005558393895626068,0.005576419178396463,0.005558932200074196,0.0028497332241386175,0.00255610141903162,0.0025744494050741196,0.0026697488501667976,0.006562352180480957,0.004640669096261263,0.0018635587766766548,0.0038873006124049425,0.004434318281710148,0.004852154292166233,0.005081614479422569,0.003132786601781845,0.003455347614362836,0.005390862934291363,4.0468778024660423e-05,0.001912402454763651,0.0008599627763032913,0.0010991510935127735,0.006875206716358662,0.0017409103456884623,0.005435986444354057,0.002892263699322939,0.0039104861207306385,0.003996553365141153,0.0025135804899036884,0.0022398082073777914,0.0019388430519029498,0.0016361712478101254,0.0015631499700248241,0.0018113900441676378,0.0017948481254279613,0.0016224500723183155,0.0015519208973273635,0.0017019121441990137,0.0012844873126596212,0.006347154267132282,0.0025298185646533966,0.0020414460450410843,0.0018733483739197254,0.0018723021494224668,0.0019521292997524142,0.001881315722130239,0.001925888704136014,0.0020048865117132664,0.001883761608041823,0.0019058693433180451,0.0019020026084035635,0.002050952985882759,0.0021700109355151653,0.0018909224309027195,0.0044437977485358715,0.004420111887156963,0.0022021615877747536,0.005552189890295267,0.005525763146579266,0.005530571565032005,0.0055745188146829605,0.005555198527872562,0.002922127489000559,0.002500765258446336,0.002618082333356142,0.004509402438998222,0.0018367867451161146,0.003910300321877003,0.004469514824450016,0.004808020778000355,0.005163532681763172,0.0031490775290876627,0.003472308861091733,0.005351178348064423
lapgyn4_surgical_actions,0.0010406638029962778,0.0,0.000595969264395535,0.0004337201244197786,0.0029938681982457638,0.00515653844922781,0.007797612342983484,0.001962913665920496,0.0027896263636648655,0.005787153262645006,0.002869637683033943,0.002657464472576976,0.003003290854394436,0.0030065954197198153,0.004747769795358181,0.005252300761640072,0.0035135778598487377,0.0024014252703636885,0.0021642278879880905,0.0015942330937832594,0.001202750951051712,0.0012163694482296705,0.0011811514850705862,0.0012028750497847795,0.0011857417412102222,0.0011857012286782265,0.0012003725860267878,0.0027947109192609787,0.0019745007157325745,0.0041250307112932205,0.007353856228291988,0.003784689586609602,0.0034101346973329782,0.002663428895175457,0.002453056164085865,0.0023335523437708616,0.0027414257638156414,0.0023064399138092995,0.0026386012323200703,0.002680384088307619,0.0024268629495054483,0.002443946897983551,0.0024392257910221815,0.0029176552779972553,0.002956940559670329,0.0023426213301718235,0.005057323724031448,0.0027284256648272276,0.0049960496835410595,0.002642266917973757,0.006264391355216503,0.002477469854056835,0.002782367402687669,0.006250421516597271,0.006253592204302549,0.006271284073591232,0.006261324509978294,0.0027416152879595757,0.0025729804765433073,0.0025934327859431505,0.0034910691902041435,0.007216307800263166,0.00541693577542901,0.0025436575524508953,0.004812170285731554,0.004947256296873093,0.005775661673396826,0.005936572328209877,0.004038495011627674,0.004339885897934437,0.00597357377409935,0.0010695266537368298,0.0009713839390315115,0.0004898615879938006,0.0004291587392799556,0.007820550352334976,0.0019468542886897922,0.00568010751157999,0.003077027853578329,0.0047720447182655334,0.0034000230953097343,0.002360174199566245,0.002147833351045847,0.0016321289585903287,0.0011403615353628993,0.0011166944168508053,0.0012432064395397902,0.0012563371565192938,0.0011663851328194141,0.0011240598978474736,0.001237572985701263,0.001894553890451789,0.007294060196727514,0.0034427130594849586,0.0027696783654391766,0.0024233921431005,0.002368044573813677,0.0027086155023425817,0.0023541857954114676,0.0026416010223329067,0.002772812731564045,0.0023755477741360664,0.002418921561911702,0.002485844539478421,0.002876830054447055,0.002927546389400959,0.0023328997194767,0.0050052134320139885,0.004990177229046822,0.0026088824961334467,0.0062643554992973804,0.006231129635125399,0.006235587876290083,0.006279501132667065,0.006263050250709057,0.0028122623916715384,0.002539657987654209,0.002620242303237319,0.005283087957650423,0.0025156158953905106,0.004830211400985718,0.004983037710189819,0.005732456222176552,0.006019933149218559,0.004061821848154068,0.004350095987319946,0.005946655757725239
lapgyn4_instrument_count,0.0008857967332005501,0.0005959693226031959,0.0,0.0005651650717481971,0.0024720062501728535,0.005071032792329788,0.007711286190897226,0.0019485198426991701,0.002596660051494837,0.006035672500729561,0.0026621422730386257,0.0023490276653319597,0.003168640658259392,0.0031968881376087666,0.004462274257093668,0.004989150911569595,0.0034732455387711525,0.0022505426313728094,0.002164070960134268,0.0017777110915631056,0.0010252478532493114,0.0010366655187681317,0.0009976013097912073,0.0010160881793126464,0.0010088556446135044,0.0010110577568411827,0.0010220844997093081,0.00259117572568357,0.0016797580756247044,0.0037775347009301186,0.007264946587383747,0.0036169439554214478,0.0029452438466250896,0.0025298884138464928,0.0023881252855062485,0.0022775200195610523,0.0026319806929677725,0.0022715269587934017,0.0025218988303095102,0.002577082719653845,0.002356982324272394,0.002337169833481312,0.002346842084079981,0.002786473371088505,0.002847460098564625,0.002264660783112049,0.004997678101062775,0.002684209495782852,0.004937922582030296,0.0023891832679510117,0.0056918589398264885,0.0025848657824099064,0.0023426227271556854,0.0056815557181835175,0.005681350827217102,0.005697928369045258,0.0056899311020970345,0.0025976235046982765,0.002458177972584963,0.0024805315770208836,0.003067809622734785,0.006643179804086685,0.005321870557963848,0.0024911793880164623,0.004725724924355745,0.004656517878174782,0.005690229590982199,0.00585049856454134,0.003953093662858009,0.0038909409195184708,0.005404438823461533,0.0009122801711782813,0.0011044580023735762,0.0001568367297295481,0.0006492119282484055,0.007732795551419258,0.0019445093348622322,0.005932188592851162,0.003256734926253557,0.0045007700100541115,0.0033550928346812725,0.0022030144464224577,0.0021436139941215515,0.0018154603894799948,0.000996443908661604,0.0009267610730603337,0.0011086524464190006,0.0011143232695758343,0.0009844419546425343,0.0009221635991707444,0.0010537025518715382,0.0016317465342581272,0.007204541936516762,0.00297794071957469,0.002632110845297575,0.0023658499121665955,0.002301793312653899,0.002578346524387598,0.0023066443391144276,0.0025185439735651016,0.002666998188942671,0.0023133736103773117,0.002290444914251566,0.0023795152083039284,0.0027478383854031563,0.002812325954437256,0.002251935424283147,0.004947066307067871,0.0049313027411699295,0.002369682304561138,0.0056955935433506966,0.005661653354763985,0.005666353739798069,0.005709066055715084,0.005692821927368641,0.002666663145646453,0.0024356753565371037,0.002506374381482601,0.005188209004700184,0.0024588126689195633,0.004743779078125954,0.004691837355494499,0.005646924488246441,0.005933520384132862,0.003976357169449329,0.003900248557329178,0.00537536945194006
lapgyn4_anatomical_actions,0.0010743810562416911,0.0004337201826274395,0.000565165129955858,0.0,0.0029789553955197334,0.0049868687056005,0.007627503015100956,0.002120570745319128,0.0029089602176100016,0.005766492336988449,0.0028490442782640457,0.002630140632390976,0.003181710373610258,0.003155024955049157,0.004521641880273819,0.005056599620729685,0.003716560546308756,0.0025199824012815952,0.0023923020344227552,0.0018316509667783976,0.0013016999000683427,0.0013118954375386238,0.0012780764373019338,0.0012959191808477044,0.0012881509028375149,0.0012858345871791244,0.001296885428018868,0.0029195710085332394,0.0020340303890407085,0.004032035358250141,0.007183536887168884,0.003916624933481216,0.0034321884158998728,0.0025638698134571314,0.002395672257989645,0.002308773575350642,0.0026451414451003075,0.0022879247553646564,0.002545952796936035,0.0025878497399389744,0.0023828684352338314,0.0023927500005811453,0.002388246590271592,0.0028034760616719723,0.0028205823618918657,0.00231656851246953,0.004921412095427513,0.0029497600626200438,0.0048640426248312,0.0027342080138623714,0.006198337767273188,0.0024956180714070797,0.002800325397402048,0.006185920909047127,0.006188528146594763,0.006205602549016476,0.006195974536240101,0.002879174891859293,0.0027112895622849464,0.0027327139396220446,0.003446615766733885,0.007157664280384779,0.005227014422416687,0.0024582308251410723,0.004643959458917379,0.00473603792488575,0.005607162602245808,0.00576815428212285,0.0038699540309607983,0.004358797334134579,0.005927662365138531,0.0011013266630470753,0.0011572272051125765,0.0004582270048558712,9.551836410537362e-05,0.007650440558791161,0.00210261601023376,0.005662846378982067,0.0032485078554600477,0.004546659998595715,0.0036058479454368353,0.002475108252838254,0.0023730595130473375,0.0018697690684348345,0.0012637604959309101,0.001219244790263474,0.001355570275336504,0.0013705984456464648,0.001268818392418325,0.0012212068540975451,0.0013382474426180124,0.0019586151465773582,0.007123133167624474,0.0034645632840692997,0.0026653208769857883,0.002365297405049205,0.0023340738844126463,0.0026161361020058393,0.002327862661331892,0.0025522096548229456,0.0026662368327379227,0.0023429817520081997,0.002376710996031761,0.0024366695433855057,0.002763889031484723,0.0027934913523495197,0.0023050131276249886,0.004871824290603399,0.004856807179749012,0.002713229274377227,0.006198834627866745,0.006166159640997648,0.006171063520014286,0.006214275490492582,0.006197741255164146,0.0029489288572221994,0.002686594147235155,0.0027594328857958317,0.005094075575470924,0.0024350942112505436,0.004662012681365013,0.004772393498569727,0.005563883576542139,0.005851392168551683,0.003893280168995261,0.0043708994053304195,0.005898237228393555
sklin2_skin_lesions,0.002598811872303486,0.002993868663907051,0.002472006483003497,0.0029789553955197334,0.0,0.005424537230283022,0.00807113852351904,0.0029516606591641903,0.0025445157662034035,0.006561966612935066,0.0029652281664311886,0.0025667839217931032,0.0034018957521766424,0.0035511869937181473,0.004785528872162104,0.005320125725120306,0.002887522568926215,0.0016345581971108913,0.0023996809031814337,0.002996887778863311,0.002126686740666628,0.0021215055603533983,0.0021403536666184664,0.002122792648151517,0.002148096449673176,0.002151242457330227,0.0021417231764644384,0.0013224051799625158,0.0023647635243833065,0.004087441135197878,0.007590658962726593,0.0025387664791196585,0.002522701397538185,0.003934238571673632,0.003930233884602785,0.003847428597509861,0.003985927905887365,0.0038775282446295023,0.003933084663003683,0.003960717935115099,0.0039184982888400555,0.0038800963666290045,0.003862216603010893,0.004011154640465975,0.004135522525757551,0.0038291895762085915,0.0061503928154706955,0.00212050206027925,0.006105830892920494,0.0023239976726472378,0.0037492304109036922,0.004222880117595196,0.0022073176223784685,0.003733585588634014,0.003747608046978712,0.003757400205358863,0.003742916975170374,0.001764356391504407,0.0020576654933393,0.002095714909955859,0.002862633904442191,0.004580605309456587,0.006153983063995838,0.0034283895511180162,0.005179899279028177,0.005465100985020399,0.006153569556772709,0.0064471131190657616,0.004466596525162458,0.003061150200664997,0.003706305753439665,0.0025915061123669147,0.0030555101111531258,0.0025724563747644424,0.003050433471798897,0.008086866699159145,0.00297358725219965,0.006461458280682564,0.0035226689651608467,0.0048230234533548355,0.0027546100318431854,0.001591718872077763,0.0023645134642720222,0.0030179214663803577,0.0021796938963234425,0.002171091502532363,0.0021758107468485832,0.002166629768908024,0.0021687806583940983,0.002152001950889826,0.002088619163259864,0.002444463549181819,0.0075300466269254684,0.002549253636971116,0.003996759187430143,0.0039185709320008755,0.0038595134392380714,0.003927681129425764,0.003871385706588626,0.003908829297870398,0.004012890625745058,0.003883899189531803,0.0038222260773181915,0.0038757999427616596,0.003985335119068623,0.004117317032068968,0.0038269648794084787,0.006108500063419342,0.006099693477153778,0.0022425230126827955,0.003741829190403223,0.003720823209732771,0.003722809487953782,0.003757332917302847,0.003736576996743679,0.0017918881494551897,0.0021021110005676746,0.0020784582011401653,0.00602186331525445,0.0033829249441623688,0.00520888390019536,0.00551082706078887,0.006106930784881115,0.006527289282530546,0.004472512286156416,0.0030332952737808228,0.003671539481729269
identify_nbi_infframes,0.004209467209875584,0.00515653844922781,0.005071032792329788,0.004986868239939213,0.005424536764621735,0.0,0.0037104575894773006,0.004425514489412308,0.004449149593710899,0.0034234579652547836,0.0025727557949721813,0.0029898756183683872,0.004286445677280426,0.003941996954381466,0.0029343063943088055,0.002853119047358632,0.008182192221283913,0.006372363306581974,0.005736270919442177,0.005312536843121052,0.005837882868945599,0.00585725624114275,0.005802401807159185,0.005831839516758919,0.005816382355988026,0.005829493515193462,0.0058471024967730045,0.006116512697190046,0.003948991186916828,0.001930236117914319,0.0032900224905461073,0.007486169226467609,0.0037969015538692474,0.0034983023069798946,0.00358071131631732,0.0037252740003168583,0.0033795672934502363,0.0037557389587163925,0.003465232439339161,0.0033961618319153786,0.0036697424948215485,0.003698944114148617,0.0036233444698154926,0.0032590085174888372,0.00331182312220335,0.003788840025663376,0.003826793050393462,0.006683646701276302,0.0038439577911049128,0.003708144184201956,0.006259455345571041,0.003953573759645224,0.004194675944745541,0.006228072568774223,0.0062579382210969925,0.006269143894314766,0.006248105317354202,0.005856631323695183,0.005192507989704609,0.005164020694792271,0.0035627661272883415,0.0070988088846206665,0.00335382716730237,0.002962595783174038,0.0021808668971061707,0.004138590767979622,0.002536903601139784,0.003397927153855562,0.0023780157789587975,0.0038896033074706793,0.0063174935057759285,0.004179102368652821,0.006119505502283573,0.005040797404944897,0.004971863701939583,0.0036936169490218163,0.00435500917956233,0.0034012487158179283,0.0041852183640003204,0.002916084136813879,0.00803765282034874,0.006333950906991959,0.005742794834077358,0.0053667230531573296,0.005787359084933996,0.0057143475860357285,0.005968759767711163,0.005948988255113363,0.005775768309831619,0.0056958976201713085,0.005844868719577789,0.0039444901049137115,0.0032872636802494526,0.003747900715097785,0.0034595755860209465,0.003598350565880537,0.0036943911109119654,0.0034268535673618317,0.003706189338117838,0.0034521003253757954,0.0033272108994424343,0.003700071480125189,0.0037721849512308836,0.0036167227663099766,0.0032611496280878782,0.0033583426848053932,0.003802613355219364,0.003846364561468363,0.0038474213797599077,0.0038249343633651733,0.006228742655366659,0.006213586311787367,0.006213069893419743,0.006251852959394455,0.006238624453544617,0.0059388866648077965,0.00513759208843112,0.005223361775279045,0.0033309231512248516,0.0029927780851721764,0.0022029359824955463,0.0041673267260193825,0.0025169956497848034,0.0034130681306123734,0.0023278375156223774,0.003921652212738991,0.0062741562724113464
laryngeal_tissues,0.006855006795376539,0.007797611877322197,0.007711285725235939,0.007627501618117094,0.00807113666087389,0.0037104575894773006,0.0,0.007037235423922539,0.007076363079249859,0.0034310403279960155,0.0052215405739843845,0.005626036319881678,0.006642438005656004,0.006146092899143696,0.0040161823853850365,0.0039728241972625256,0.010822354815900326,0.009012815542519093,0.008363878354430199,0.00795365683734417,0.00847705639898777,0.008496293798089027,0.00844145193696022,0.008471079170703888,0.00845551397651434,0.00846871081739664,0.008486340753734112,0.008757703937590122,0.006606257986277342,0.004838119260966778,0.004805605858564377,0.010127280838787556,0.006097238976508379,0.005512334406375885,0.005641995929181576,0.005783196073025465,0.005388807039707899,0.005823127925395966,0.005491002928465605,0.005414951127022505,0.005706227384507656,0.005721875000745058,0.005679001100361347,0.005293183494359255,0.005273851100355387,0.005851972382515669,0.004769730381667614,0.009324351325631142,0.00475708581507206,0.006266793701797724,0.009049206972122192,0.005877625197172165,0.006845569703727961,0.009018149226903915,0.00904175452888012,0.009055650793015957,0.009034675545990467,0.00839170254766941,0.007636468391865492,0.00758647546172142,0.006149549502879381,0.009636306203901768,0.004664699546992779,0.005314767360687256,0.004003189038485289,0.005868010688573122,0.003729397663846612,0.004521158058196306,0.004246715921908617,0.00549712497740984,0.00920286774635315,0.0068287611939013,0.008760715834796429,0.007679224945604801,0.007612762972712517,4.021726635983214e-05,0.006968401372432709,0.0035974648781120777,0.0065164389088749886,0.004001047927886248,0.010677461512386799,0.008974635973572731,0.008369175717234612,0.008007854223251343,0.008426818996667862,0.008353014476597309,0.008607657626271248,0.008587912656366825,0.008414835669100285,0.008334740065038204,0.008484055288136005,0.0065970392897725105,0.004840696696192026,0.006073943339288235,0.005448095500469208,0.00565827963873744,0.005744683090597391,0.00543687678873539,0.005755490157753229,0.00548887113109231,0.005353592336177826,0.005746525712311268,0.005793900694698095,0.005649963393807411,0.005312969442456961,0.0052940077148377895,0.005879776552319527,0.0047693802043795586,0.004742894787341356,0.006396618206053972,0.009015041403472424,0.008996192365884781,0.008996355347335339,0.009031807072460651,0.009030431509017944,0.008476076647639275,0.0075791217386722565,0.007646124344319105,0.004686614498496056,0.005349766928702593,0.004005208145827055,0.00588457053527236,0.00372908147983253,0.004506767727434635,0.004230208229273558,0.005531901028007269,0.009164728224277496
nerthus_bowel_cleansing_quality,0.0017728714738041162,0.001962913665920496,0.0019485200755298138,0.002120570745319128,0.0029516606591641903,0.004425514955073595,0.007037236355245113,0.0,0.0016235443763434887,0.0045225368812680244,0.002049828413873911,0.0018398638349026442,0.0018238218035548925,0.0018439005361869931,0.004311433527618647,0.004676995798945427,0.003798092482611537,0.0021025659516453743,0.0013675937661901116,0.0011127600446343422,0.0019174612825736403,0.0019336289260536432,0.0019012701231986284,0.0019246459705755115,0.00189655099529773,0.0019070166163146496,0.0019193114712834358,0.0023202758748084307,0.0013958291383460164,0.0031494004651904106,0.006598461419343948,0.003693044651299715,0.002501701470464468,0.002944651758298278,0.002805018797516823,0.0026925774291157722,0.002958649303764105,0.0026952174957841635,0.002915011951699853,0.002921712351962924,0.0027969456277787685,0.0028059380128979683,0.00276693026535213,0.003037033136934042,0.003198842518031597,0.0026978934183716774,0.005701088346540928,0.0025471525732427835,0.005636413581669331,0.0016829456435516477,0.0062301489524543285,0.0031597656197845936,0.002936261473223567,0.006202259566634893,0.006225580349564552,0.00624157814309001,0.006218696478754282,0.00198974646627903,0.0015627143438905478,0.0015583265339955688,0.002776084467768669,0.0071776919066905975,0.005629426799714565,0.0025676372461020947,0.004461923614144325,0.005541492719203234,0.005417883861809969,0.005944492295384407,0.0038601302076131105,0.0031864841002970934,0.0061281295493245125,0.0017731859115883708,0.0022156040649861097,0.0019065169617533684,0.002106388797983527,0.007060186471790075,7.304814789677039e-05,0.004385515581816435,0.0018668208504095674,0.004343980457633734,0.003656080923974514,0.002114439383149147,0.001365658245049417,0.0011310174595564604,0.0018475541146472096,0.0018566137878224254,0.00196348805911839,0.0019340172875672579,0.0018736745696514845,0.001836347277276218,0.001921909861266613,0.0013848644448444247,0.006539450492709875,0.0025367513298988342,0.00303373159840703,0.0027924743480980396,0.002727355109527707,0.002922456245869398,0.002705942839384079,0.002899663522839546,0.0029940675012767315,0.0027331288438290358,0.0027649940457195044,0.002799790585413575,0.002997769508510828,0.003188967937603593,0.002699060831218958,0.005658440757542849,0.005628545302897692,0.0016521000070497394,0.006206199526786804,0.006185453850775957,0.006190271116793156,0.006231521721929312,0.0062109725549817085,0.0020580352284014225,0.001519472454674542,0.0015942670870572329,0.005514216143637896,0.0025454044807702303,0.004493309184908867,0.005577764008194208,0.005372948013246059,0.005995576735585928,0.0038532819598913193,0.003201516345143318,0.0060840449295938015
stanford_dogs_image_categorization,0.0025077094323933125,0.0027896263636648655,0.002596659818664193,0.002908959984779358,0.00254451553337276,0.004449149593710899,0.0070763640105724335,0.001623544143512845,0.0,0.004980023019015789,0.0021335314959287643,0.001850211527198553,0.0017665319610387087,0.0020342525094747543,0.004209747537970543,0.0045302510261535645,0.0037934151478111744,0.0024297090712934732,0.0016593325417488813,0.0018815086223185062,0.002207556739449501,0.0022206935100257397,0.0022074782755225897,0.002214811509475112,0.0022014915011823177,0.0022135882172733545,0.0022153721656650305,0.0022055814042687416,0.001991542521864176,0.0032943771220743656,0.006629081442952156,0.003301642369478941,0.002338243182748556,0.003871979657560587,0.003782560583204031,0.0036674467846751213,0.003919264767318964,0.0036820699460804462,0.003865438513457775,0.0038871995639055967,0.003760094288736582,0.003753634635359049,0.003728204406797886,0.003989900462329388,0.00411132350564003,0.0036550257354974747,0.0064473701640963554,0.0024644630029797554,0.006390637718141079,0.0014235193375498056,0.005902026779949665,0.004133894108235836,0.0030871869530528784,0.005871639586985111,0.005902382079511881,0.005911578424274921,0.005890040658414364,0.00221768906340003,0.0019620475359261036,0.0019552370067685843,0.00213351147249341,0.006693053059279919,0.0062424615025520325,0.0033908395562320948,0.005080856382846832,0.006043072324246168,0.0059976219199597836,0.0064720530062913895,0.004432507790625095,0.002485332079231739,0.005941133014857769,0.002506673103198409,0.0030426091980189085,0.0026071714237332344,0.0029112440533936024,0.007099298760294914,0.0016612925101071596,0.004839704371988773,0.0018227279651910067,0.004254707135260105,0.0036618714220821857,0.0024321656674146652,0.0016713924705982208,0.0019007188966497779,0.002186087192967534,0.0021980195306241512,0.002270086668431759,0.0022319015115499496,0.0021944125182926655,0.0021821469999849796,0.0021954039111733437,0.0020350138656795025,0.006568814627826214,0.002370940987020731,0.003961323294788599,0.003765780944377184,0.0036985278129577637,0.003871736116707325,0.003683342831209302,0.0038442309014499187,0.003958175890147686,0.003706705989316106,0.003697924315929413,0.003758489852771163,0.003955126740038395,0.0040975818410515785,0.003655636217445135,0.006405401974916458,0.0063826097175478935,0.0013964860700070858,0.005872783251106739,0.005858706776052713,0.0058606574311852455,0.005896792747080326,0.005878339521586895,0.0022428655065596104,0.0019557205960154533,0.001953988801687956,0.006119937635958195,0.003359739203006029,0.005120287649333477,0.00608398811891675,0.0059473467990756035,0.006531192921102047,0.004423067905008793,0.0024831844493746758,0.005898732226341963
svhn,0.00553938839584589,0.0057871537283062935,0.006035672966390848,0.0057664914056658745,0.006561966147273779,0.0034234579652547836,0.003431040560826659,0.00452253594994545,0.004980023019015789,0.0,0.004161783494055271,0.004564501345157623,0.0038308552466332912,0.003389588091522455,0.003960670903325081,0.004117970354855061,0.007916707545518875,0.0065805925987660885,0.005720951594412327,0.0055329762399196625,0.006348650902509689,0.006367424502968788,0.006325847469270229,0.006351730786263943,0.0063267843797802925,0.006337388418614864,0.0063535613007843494,0.006455130409449339,0.005260145291686058,0.0043534282594919205,0.004949997179210186,0.007449784781783819,0.005480458028614521,0.0052343374118208885,0.005213127471506596,0.0052458299323916435,0.005145748145878315,0.0052450913935899734,0.005194767378270626,0.00514159444719553,0.005268334411084652,0.005306418053805828,0.005239914171397686,0.005171062424778938,0.005263256840407848,0.005294302944093943,0.005900305230170488,0.006807371973991394,0.005877545103430748,0.004469354636967182,0.008707467466592789,0.0051866741850972176,0.0059996917843818665,0.008677126839756966,0.008699802681803703,0.008714546449482441,0.008692491799592972,0.005588268395513296,0.004924538545310497,0.004876319319009781,0.005353914108127356,0.009294979274272919,0.005530241411179304,0.004414319060742855,0.004190739244222641,0.006417485419660807,0.004542260896414518,0.0053473180159926414,0.0041234539821743965,0.004449151456356049,0.008851801976561546,0.005538042634725571,0.006505749188363552,0.005942310206592083,0.0056989556178450584,0.0034533932339400053,0.004462016746401787,0.00017749216931406409,0.003683040151372552,0.0039770714938640594,0.007807566784322262,0.006581976544111967,0.005735490936785936,0.005558176897466183,0.006278614979237318,0.006264687515795231,0.006412826478481293,0.006393630988895893,0.006300180219113827,0.006247967481613159,0.006355819292366505,0.0052283750846982,0.0049631185829639435,0.00549068721011281,0.005259328987449408,0.005205778405070305,0.005251540802419186,0.005172720178961754,0.0052253068424761295,0.005195036996155977,0.0051347436383366585,0.005261098966002464,0.005350244697183371,0.0052591897547245026,0.005149968899786472,0.00528502743691206,0.005319173447787762,0.005895690061151981,0.00586892943829298,0.004553954117000103,0.008670896291732788,0.008654212579131126,0.008658258244395256,0.00869209785014391,0.008687065914273262,0.0056370580568909645,0.004872613120824099,0.00491967611014843,0.0055147744715213776,0.004452437162399292,0.004211399704217911,0.00643985765054822,0.004520108923316002,0.005341494455933571,0.0040858956053853035,0.004481795243918896,0.008811373263597488
