,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0010406641522422433,0.0008857967332005501,0.0010743808234110475,0.002598810475319624,0.004209466744214296,0.006855008192360401,0.0017728712409734726,0.0025077075697481632,0.005539387464523315,0.0019608342554420233,0.0017315899021923542,0.002853462938219309,0.002783601637929678,0.0038860465865582228,0.004356700927019119,0.0041296775452792645,0.0025536606553941965,0.0022585447877645493,0.0018957919673994184,0.0016860256437212229,0.0017058687517419457,0.001652492443099618,0.001680242014117539,0.0016634687781333923,0.0016766022890806198,0.0016919320914894342,0.0027670850977301598,0.0013386034406721592,0.003147609531879425,0.006406752392649651,0.004099826328456402,0.0024968315847218037,0.0019632591865956783,0.0018852921202778816,0.0018665955867618322,0.0019802742172032595,0.0018814587965607643,0.001935482257977128,0.0019420278258621693,0.0019143556710332632,0.0019080330384895205,0.00187723059207201,0.002097655087709427,0.0021864543668925762,0.0018984584603458643,0.00449199415743351,0.00295493402518332,0.0044286297634243965,0.002200216753408313,0.005565491504967213,0.0022220155224204063,0.0021600783802568913,0.005544477608054876,0.005558394361287355,0.0055764177814126015,0.005558929406106472,0.0028497318271547556,0.0025561023503541946,0.0025744496379047632,0.002669747918844223,0.006562351249158382,0.004640671424567699,0.0018635584274306893,0.0038873017765581608,0.00443431967869401,0.00485215662047267,0.005081614479422569,0.003132787300273776,0.0034553478471934795,0.005390859209001064,4.0468767110724e-05,0.0019124022219330072,0.0008599626016803086,0.0010991512099280953,0.006875209975987673,0.001740910578519106,0.005435984581708908,0.0028922646306455135,0.003910487983375788,0.003996552899479866,0.0025135804899036884,0.002239808440208435,0.0019388439832255244,0.0016361713642254472,0.0015631497371941805,0.0018113887635990977,0.0017948481254279613,0.0016224499559029937,0.0015519207809120417,0.0017019114457070827,0.0012844876619055867,0.006347153335809708,0.002529818331822753,0.0020414453465491533,0.0018733476754277945,0.0018723012180998921,0.0019521282520145178,0.0018813163042068481,0.0019258891697973013,0.0020048869773745537,0.0018837617244571447,0.0019058684119954705,0.0019020026084035635,0.002050952520221472,0.002170010469853878,0.0018909226637333632,0.004443798679858446,0.004420113284140825,0.002202162053436041,0.005552190355956554,0.005525760352611542,0.005530571565032005,0.005574516952037811,0.005555195268243551,0.002922126790508628,0.002500766422599554,0.0026180827990174294,0.004509405232965946,0.0018367868615314364,0.003910299390554428,0.004469514824450016,0.004808021243661642,0.0051635317504405975,0.0031490768305957317,0.0034723086282610893,0.005351178348064423
lapgyn4_surgical_actions,0.001040663686580956,0.0,0.0005959693226031959,0.00043372006621211767,0.002993866801261902,0.005156537517905235,0.007797613739967346,0.0019629134330898523,0.0027896242681890726,0.0057871523313224316,0.002869637683033943,0.002657465171068907,0.0030032906215637922,0.0030065947212278843,0.00474777165800333,0.0052523016929626465,0.0035135787911713123,0.002401425037533045,0.0021642278879880905,0.0015942328609526157,0.0012027511838823557,0.0012163699138909578,0.0011811519507318735,0.001202874700538814,0.0011857422068715096,0.0011857014615088701,0.0012003728188574314,0.0027947109192609787,0.0019745007157325745,0.004125031176954508,0.007353859022259712,0.0037846905179321766,0.0034101358614861965,0.0026634270325303078,0.002453057561069727,0.002333552110940218,0.002741424832493067,0.002306439448148012,0.002638602629303932,0.0026803831569850445,0.002426863182336092,0.0024439473636448383,0.0024392264895141125,0.00291765620931983,0.0029569424223154783,0.002342622261494398,0.005057322792708874,0.002728425431996584,0.004996051546186209,0.002642266219481826,0.0062643904238939285,0.0024774703197181225,0.002782368566840887,0.00625042337924242,0.006253593601286411,0.006271282210946083,0.0062613217160105705,0.0027416138909757137,0.0025729816406965256,0.0025934327859431505,0.0034910673275589943,0.007216307334601879,0.005416938569396734,0.002543657086789608,0.004812171682715416,0.004947258159518242,0.005775664933025837,0.005936572328209877,0.004038495477288961,0.004339885897934437,0.005973569117486477,0.001069526420906186,0.0009713838808238506,0.0004898614715784788,0.0004291587683837861,0.0078205531463027,0.0019468545215204358,0.0056801061145961285,0.0030770287849009037,0.004772046115249395,0.003400022629648447,0.0023601744323968887,0.0021478338167071342,0.0016321297734975815,0.0011403616517782211,0.0011166943004354835,0.0012432056246325374,0.0012563372729346156,0.0011663851328194141,0.0011240598978474736,0.0012375726364552975,0.0018945543561130762,0.007294059731066227,0.0034427130594849586,0.0027696776669472456,0.002423390978947282,0.002368043176829815,0.0027086143381893635,0.0023541864939033985,0.002641601487994194,0.0027728131972253323,0.0023755477741360664,0.0024189206305891275,0.002485844539478421,0.0028768295887857676,0.0029275459237396717,0.0023328997194767,0.005005214363336563,0.0049901786260306835,0.0026088834274560213,0.006264356430619955,0.006231126841157675,0.00623558834195137,0.006279498804360628,0.006263046525418758,0.002812261926010251,0.0025396589189767838,0.00262024300172925,0.005283091217279434,0.002515616128221154,0.004830211400985718,0.004983037710189819,0.0057324571534991264,0.006019932217895985,0.004061820916831493,0.004350095521658659,0.005946656223386526
lapgyn4_instrument_count,0.0008857965585775673,0.0005959694390185177,0.0,0.0005651650717481971,0.002472005318850279,0.005071032326668501,0.007711286656558514,0.0019485196098685265,0.0025966577231884003,0.006035671103745699,0.002662142040207982,0.0023490278981626034,0.003168640658259392,0.003196887206286192,0.004462276119738817,0.00498915184289217,0.0034732462372630835,0.0022505423985421658,0.0021640704944729805,0.0017777106259018183,0.0010252479696646333,0.0010366658680140972,0.000997601542621851,0.001016087830066681,0.0010088561102747917,0.0010110577568411827,0.00102208461612463,0.0025911752600222826,0.0016797579592093825,0.0037775347009301186,0.007264949381351471,0.0036169448867440224,0.0029452447779476643,0.0025298865512013435,0.002388126216828823,0.002277519553899765,0.0026319799944758415,0.0022715264931321144,0.0025218999944627285,0.0025770817883312702,0.002356982557103038,0.002337170299142599,0.002346842084079981,0.002786473836749792,0.0028474614955484867,0.00226466148160398,0.004997677635401487,0.002684209495782852,0.0049379244446754456,0.002389182336628437,0.005691857542842627,0.00258486601524055,0.00234262365847826,0.005681556649506092,0.005681351758539677,0.005697926972061396,0.005689928308129311,0.0025976221077144146,0.0024581789039075375,0.0024805315770208836,0.003067808225750923,0.0066431788727641106,0.005321873351931572,0.002491178922355175,0.004725726321339607,0.004656518809497356,0.005690231919288635,0.00585049856454134,0.003953094594180584,0.003890941385179758,0.005404435098171234,0.0009122798801399767,0.0011044578859582543,0.00015683670062571764,0.0006492119864560664,0.007732798345386982,0.0019445093348622322,0.005932186730206013,0.003256735857576132,0.004500771407037973,0.003355091903358698,0.0022030146792531013,0.002143614459782839,0.0018154612043872476,0.000996443908661604,0.000926760898437351,0.0011086517479270697,0.0011143232695758343,0.0009844419546425343,0.0009221634827554226,0.0010537020862102509,0.0016317469999194145,0.007204541005194187,0.002977940486744046,0.0026321099139750004,0.002365848980844021,0.002301792148500681,0.0025783453602343798,0.002306644804775715,0.0025185442063957453,0.002666998654603958,0.0023133736103773117,0.0022904439829289913,0.0023795152083039284,0.0027478374540805817,0.0028123254887759686,0.002251935424283147,0.004947067238390446,0.004931304138153791,0.0023696827702224255,0.005695594009011984,0.005661650560796261,0.005666353274136782,0.005709064193069935,0.0056928182020783424,0.002666662447154522,0.0024356762878596783,0.0025063748471438885,0.005188212729990482,0.0024588126689195633,0.004743778146803379,0.004691837355494499,0.005646924953907728,0.0059335194528102875,0.003976356238126755,0.0039002476260066032,0.005375368986278772
lapgyn4_anatomical_actions,0.0010743807069957256,0.0004337202408351004,0.0005651650717481971,0.0,0.0029789539985358715,0.0049868677742779255,0.007627502549439669,0.0021205705124884844,0.0029089576564729214,0.0057664900086820126,0.0028490438126027584,0.002630140632390976,0.003181709907948971,0.0031550240237265825,0.004521643742918968,0.005056600086390972,0.003716561011970043,0.0025199814699590206,0.0023923013359308243,0.0018316502682864666,0.0013016999000683427,0.0013118956703692675,0.0012780767865478992,0.0012959185987710953,0.0012881513684988022,0.0012858347035944462,0.0012968855444341898,0.0029195703100413084,0.0020340299233794212,0.004032035358250141,0.007183538284152746,0.003916625399142504,0.0034321893472224474,0.0025638677179813385,0.0023956731893122196,0.0023087728768587112,0.0026451400481164455,0.002287924289703369,0.0025459537282586098,0.0025878483429551125,0.0023828684352338314,0.002392750233411789,0.002388246590271592,0.002803476294502616,0.0028205837588757277,0.002316569210961461,0.004921411629766226,0.0029497598297894,0.004864043556153774,0.002734207082539797,0.006198335438966751,0.0024956183042377234,0.0028003263287246227,0.006185921374708414,0.00618852861225605,0.006205599755048752,0.006195970810949802,0.0028791727963835,0.002711290493607521,0.002732713706791401,0.003446613671258092,0.00715766241773963,0.005227016285061836,0.0024582301266491413,0.004643959924578667,0.004736038856208324,0.005607164930552244,0.005768153816461563,0.0038699540309607983,0.004358797334134579,0.005927657708525658,0.001101326197385788,0.0011572269722819328,0.000458226801129058,9.551835682941601e-05,0.00765044242143631,0.0021026157774031162,0.005662843585014343,0.0032485085539519787,0.004546660929918289,0.0036058470141142607,0.0024751080200076103,0.002373059745877981,0.0018697696505114436,0.0012637602631002665,0.0012192444410175085,0.0013555691111832857,0.001370598329231143,0.0012688182760030031,0.0012212067376822233,0.0013382466277107596,0.0019586156122386456,0.007123131304979324,0.0034645628184080124,0.0026653194800019264,0.0023652962408959866,0.0023340722545981407,0.0026161344721913338,0.0023278631269931793,0.0025522098876535892,0.0026662368327379227,0.002342981519177556,0.0023767095990478992,0.0024366690777242184,0.0027638881001621485,0.0027934906538575888,0.002305012894794345,0.004871824756264687,0.004856807645410299,0.002713229972869158,0.006198834627866745,0.00616615591570735,0.006171062588691711,0.006214273162186146,0.006197737064212561,0.0029489281587302685,0.0026865946128964424,0.002759433351457119,0.005094078369438648,0.0024350939784199,0.0046620117500424385,0.00477239303290844,0.005563883576542139,0.0058513907715678215,0.0038932785391807556,0.004370898474007845,0.00589823629707098
sklin2_skin_lesions,0.0025988109409809113,0.0029938691295683384,0.0024720062501728535,0.002978954929858446,0.0,0.005424536298960447,0.00807113852351904,0.002951660193502903,0.0025445136707276106,0.006561963818967342,0.0029652277007699013,0.0025667839217931032,0.0034018955193459988,0.0035511855967342854,0.004785530269145966,0.005320126190781593,0.002887522801756859,0.001634557731449604,0.0023996802046895027,0.002996886847540736,0.002126686740666628,0.002121505793184042,0.00214035389944911,0.002122791949659586,0.0021480973809957504,0.002151242457330227,0.002141723409295082,0.0013224049471318722,0.002364763058722019,0.004087441135197878,0.007590660825371742,0.002538766711950302,0.0025227018631994724,0.0039342353120446205,0.00393023481592536,0.0038474274333566427,0.003985926043242216,0.003877527080476284,0.003933086525648832,0.00396071607246995,0.003918497823178768,0.0038800970651209354,0.003862216370180249,0.004011155106127262,0.0041355243884027,0.0038291907403618097,0.006150391418486834,0.0021205018274486065,0.006105832755565643,0.002323996974155307,0.0037492294795811176,0.00422288104891777,0.0022073183208703995,0.0037335860542953014,0.003747608046978712,0.0037573985755443573,0.0037429146468639374,0.0017643551109358668,0.0020576659590005875,0.0020957146771252155,0.0028626322746276855,0.004580603912472725,0.006153984926640987,0.003428388386964798,0.005179900210350752,0.005465101916342974,0.006153571885079145,0.006447112187743187,0.004466596525162458,0.003061150200664997,0.003706302959471941,0.002591504715383053,0.0030555096454918385,0.002572455443441868,0.003050433238968253,0.008086868561804295,0.0029735867865383625,0.006461455021053553,0.003522669430822134,0.004823024850338697,0.002754609100520611,0.0015917187556624413,0.002364513697102666,0.0030179223977029324,0.0021796938963234425,0.002171090804040432,0.0021758091170340776,0.0021666293032467365,0.0021687806583940983,0.0021520014852285385,0.0020886179991066456,0.0024444640148431063,0.007530044764280319,0.0025492534041404724,0.003996757790446281,0.003918568603694439,0.0038595106452703476,0.0039276788011193275,0.0038713859394192696,0.003908829763531685,0.004012891091406345,0.003883898723870516,0.003822223749011755,0.0038757992442697287,0.003985334187746048,0.004117316100746393,0.0038269648794084787,0.006108500529080629,0.00609969487413764,0.002242523245513439,0.0037418289575725794,0.0037208208814263344,0.003722808789461851,0.0037573310546576977,0.003736574202775955,0.0017918874509632587,0.0021021116990596056,0.002078458433970809,0.006021866574883461,0.0033829244785010815,0.005208882503211498,0.0055108265951275826,0.006106930784881115,0.006527287885546684,0.004472510889172554,0.003033294575288892,0.0036715390160679817
identify_nbi_infframes,0.004209466278553009,0.0051565393805503845,0.005071032792329788,0.004986867308616638,0.005424534436315298,0.0,0.003710458055138588,0.00442551402375102,0.004449146334081888,0.003423457033932209,0.002572755329310894,0.0029898756183683872,0.004286445211619139,0.003941996023058891,0.00293430732563138,0.0028531192801892757,0.008182194083929062,0.006372362375259399,0.005736269988119602,0.0053125349804759026,0.005837883334606886,0.005857257172465324,0.005802403669804335,0.0058318376541137695,0.0058163851499557495,0.005829494446516037,0.005847102962434292,0.006116511765867472,0.003948991186916828,0.001930236117914319,0.0032900236546993256,0.007486171089112759,0.0037969027180224657,0.0034982997458428144,0.003580712713301182,0.0037252730689942837,0.003379566129297018,0.003755738493055105,0.00346523430198431,0.003396160202100873,0.0036697429604828358,0.0036989448126405478,0.00362334493547678,0.003259009448811412,0.0033118249848484993,0.003788841189816594,0.003826792584732175,0.006683646701276302,0.0038439591880887747,0.0037081430200487375,0.006259453482925892,0.003953574225306511,0.00419467780739069,0.006228073500096798,0.006257939152419567,0.006269142031669617,0.006248102523386478,0.005856627132743597,0.005192509852349758,0.005164020694792271,0.003562764497473836,0.007098807953298092,0.003353828564286232,0.0029625953175127506,0.0021808675955981016,0.0041385916993021965,0.0025369045324623585,0.0033979269210249186,0.002378016011789441,0.0038896033074706793,0.006317488849163055,0.004179100971668959,0.0061195045709609985,0.005040796473622322,0.004971863701939583,0.003693618346005678,0.0043550096452236176,0.0034012473188340664,0.004185219295322895,0.002916085533797741,0.00803765095770359,0.006333951372653246,0.005742795765399933,0.005366724915802479,0.005787358619272709,0.005714346654713154,0.005968756042420864,0.005948987789452076,0.005775768309831619,0.005695897154510021,0.0058448659256100655,0.003944491036236286,0.0032872632145881653,0.0037479004822671413,0.0034595741890370846,0.003598349168896675,0.0036943890154361725,0.0034268517047166824,0.0037061902694404125,0.0034521010238677263,0.0033272113651037216,0.003700071247294545,0.0037721828557550907,0.0036167223006486893,0.00326114846393466,0.003358342219144106,0.0038026131223887205,0.0038463654927909374,0.003847422543913126,0.003824935294687748,0.0062287431210279465,0.006213583052158356,0.006213069893419743,0.006251851096749306,0.006238620262593031,0.0059388852678239346,0.005137593485414982,0.00522336270660162,0.003330925013870001,0.0029927780851721764,0.002202935516834259,0.004167325794696808,0.002516995882615447,0.003413067664951086,0.0023278365842998028,0.0039216517470777035,0.0062741562724113464
laryngeal_tissues,0.006855005864053965,0.007797614671289921,0.007711285725235939,0.007627501152455807,0.008071133866906166,0.0037104571238160133,0.0,0.007037235423922539,0.007076358422636986,0.0034310396295040846,0.0052215405739843845,0.0056260377168655396,0.006642438005656004,0.006146091967821121,0.004016184713691473,0.0039728255942463875,0.01082235760986805,0.009012816473841667,0.008363877423107624,0.00795365497469902,0.00847705639898777,0.008496296592056751,0.008441455662250519,0.008471076376736164,0.008455518633127213,0.008468713611364365,0.008486343547701836,0.008757703006267548,0.006606258451938629,0.00483812065795064,0.004805607721209526,0.01012728363275528,0.0060972413048148155,0.005512330215424299,0.005641998257488012,0.00578319514170289,0.005388805642724037,0.005823127925395966,0.005491006188094616,0.005414949730038643,0.005706228315830231,0.00572187639772892,0.0056790015660226345,0.005293185357004404,0.005273854359984398,0.005851974710822105,0.004769729450345039,0.009324351325631142,0.004757087677717209,0.006266792304813862,0.009049205109477043,0.005877626594156027,0.006845572963356972,0.00901815202087164,0.009041756391525269,0.009055648930370808,0.009034671820700169,0.008391698822379112,0.007636471185833216,0.007586475927382708,0.006149547174572945,0.009636307135224342,0.004664701875299215,0.005314766429364681,0.0040031904354691505,0.005868012551218271,0.003729399759322405,0.0045211585238575935,0.004246716853231192,0.005497125908732414,0.009202862158417702,0.006828759331256151,0.008760715834796429,0.0076792240142822266,0.007612763904035091,4.0217280911747366e-05,0.006968402303755283,0.003597463946789503,0.006516441237181425,0.004001049790531397,0.010677460581064224,0.00897463783621788,0.008369178511202335,0.008007857948541641,0.008426818996667862,0.008353013545274734,0.0086076520383358,0.0085879135876894,0.00841483660042286,0.008334740996360779,0.008484052494168282,0.00659704115241766,0.004840696230530739,0.006073943339288235,0.0054480936378240585,0.005658277776092291,0.005744680296629667,0.005436873994767666,0.005755492020398378,0.005488872528076172,0.005353593733161688,0.005746526177972555,0.005793898366391659,0.005649963393807411,0.005312968976795673,0.005294007249176502,0.005879777483642101,0.004769381135702133,0.0047428966499865055,0.006396620534360409,0.009015042334794998,0.008996187709271908,0.008996356278657913,0.009031804278492928,0.009030427783727646,0.0084760757163167,0.007579124998301268,0.007646126672625542,0.0046866172924637794,0.00534976739436388,0.004005207680165768,0.00588457053527236,0.003729082178324461,0.0045067667961120605,0.00423020776361227,0.005531900562345982,0.009164728224277496
nerthus_bowel_cleansing_quality,0.0017728707753121853,0.0019629141315817833,0.0019485197262838483,0.0021205702796578407,0.0029516592621803284,0.00442551402375102,0.007037236355245113,0.0,0.001623542862944305,0.004522534552961588,0.0020498279482126236,0.0018398640677332878,0.001823821454308927,0.0018438998376950622,0.0043114349246025085,0.004676996264606714,0.0037980929482728243,0.002102565485984087,0.001367593533359468,0.0011127596953883767,0.0019174613989889622,0.0019336292752996087,0.0019012705888599157,0.0019246450392529368,0.0018965518102049828,0.0019070168491452932,0.0019193117041140795,0.0023202754091471434,0.0013958290219306946,0.0031493999995291233,0.006598463747650385,0.0036930451169610023,0.0025017019361257553,0.0029446491971611977,0.0028050197288393974,0.0026925764977931976,0.002958647906780243,0.0026952167972922325,0.002915013348683715,0.002921710954979062,0.002796945860609412,0.0028059384785592556,0.00276693026535213,0.0030370336025953293,0.003198843915015459,0.002697894349694252,0.005701086483895779,0.00254715234041214,0.00563641544431448,0.0016829450614750385,0.006230146624147892,0.0031597656197845936,0.0029362626373767853,0.006202260032296181,0.006225580349564552,0.006241575814783573,0.006218693219125271,0.001989745069295168,0.001562714809551835,0.001558326417580247,0.0027760828379541636,0.007177690975368023,0.0056294286623597145,0.0025676367804408073,0.0044619245454669,0.005541493650525808,0.0054178861901164055,0.005944491364061832,0.003860130440443754,0.0031864838674664497,0.006128124892711639,0.001773185096681118,0.0022156035993248224,0.0019065161468461156,0.002106388797983527,0.007060188800096512,7.304814789677039e-05,0.004385513253509998,0.0018668211996555328,0.004343981854617596,0.003656079526990652,0.0021144391503185034,0.0013656584778800607,0.0011310178088024259,0.0018475539982318878,0.0018566132057458162,0.0019634864293038845,0.0019340170547366142,0.001873674220405519,0.0018363471608608961,0.0019219086971133947,0.0013848646776750684,0.006539449095726013,0.002536750864237547,0.003033730201423168,0.0027924729511141777,0.002727353246882558,0.002922454383224249,0.0027059430722147226,0.00289966375567019,0.002994067966938019,0.002733128610998392,0.0027649924159049988,0.002799790119752288,0.0029977685771882534,0.003188967239111662,0.002699060831218958,0.005658441688865423,0.005628546234220266,0.0016521003562957048,0.006206200458109379,0.006185450125485659,0.006190270185470581,0.006231519393622875,0.00621096882969141,0.002058034762740135,0.0015194728039205074,0.0015942670870572329,0.005514219403266907,0.0025454042479395866,0.004493307787925005,0.005577763542532921,0.005372948013246059,0.005995574872940779,0.0038532805629074574,0.003201515879482031,0.006084044463932514
stanford_dogs_image_categorization,0.002507708966732025,0.0027896270621567965,0.002596659818664193,0.0029089595191180706,0.002544514602050185,0.004449149593710899,0.007076364476233721,0.0016235439106822014,0.0,0.004980021622031927,0.0021335314959287643,0.0018502117600291967,0.0017665318446233869,0.002034252043813467,0.004209749400615692,0.004530251957476139,0.003793416079133749,0.0024297088384628296,0.0016593325417488813,0.001881508040241897,0.0022075569722801447,0.0022206944413483143,0.0022074789740145206,0.002214810810983181,0.002201492665335536,0.002213588450103998,0.002215372398495674,0.0022055809386074543,0.001991542521864176,0.0032943771220743656,0.006629083305597305,0.0033016433008015156,0.0023382441140711308,0.0038719763979315758,0.003782561980187893,0.0036674458533525467,0.003919263370335102,0.003682069480419159,0.0038654408417642117,0.0038871983997523785,0.003760094754397869,0.0037536355666816235,0.0037282046396285295,0.003989901393651962,0.0041113258339464664,0.0036550271324813366,0.0064473701640963554,0.0024644630029797554,0.0063906400464475155,0.001423519104719162,0.005902025382965803,0.004133894573897123,0.003087188582867384,0.005871640983968973,0.005902383476495743,0.005911576561629772,0.00589003786444664,0.002217687666416168,0.001962048001587391,0.0019552367739379406,0.0021335105411708355,0.006693052127957344,0.006242464296519756,0.003390838857740164,0.005080857779830694,0.00604307372123003,0.00599762424826622,0.006472052540630102,0.004432508256286383,0.002485332079231739,0.0059411292895674706,0.002506672404706478,0.003042608965188265,0.0026071707252413034,0.0029112445190548897,0.007099301554262638,0.0016612925101071596,0.004839703440666199,0.001822728430852294,0.004254708532243967,0.003661870490759611,0.002432165900245309,0.0016713929362595081,0.0019007197115570307,0.0021860874257981777,0.002198019064962864,0.002270085271447897,0.0022319015115499496,0.0021944125182926655,0.002182146767154336,0.002195402979850769,0.00203501433134079,0.006568813696503639,0.002370940987020731,0.003961321897804737,0.003765779547393322,0.003698525484651327,0.0038717342540621758,0.003683343529701233,0.0038442315999418497,0.003958176821470261,0.003706705989316106,0.0036979224532842636,0.0037584896199405193,0.003955126274377108,0.004097580909729004,0.003655636217445135,0.006405402906239033,0.006382611580193043,0.0013964864192530513,0.005872783716768026,0.0058587039820849895,0.0058606574311852455,0.0058967904187738895,0.0058783357962965965,0.002242865040898323,0.001955721527338028,0.001953989267349243,0.006119941361248493,0.003359739203006029,0.00512028718367219,0.006083987653255463,0.005947347730398178,0.006531191524118185,0.004423066973686218,0.002483184216544032,0.005898732226341963
svhn,0.005539387464523315,0.005787154659628868,0.006035672500729561,0.0057664904743433,0.006561962887644768,0.0034234574995934963,0.003431040793657303,0.00452253594994545,0.004980019293725491,0.0,0.0041617825627326965,0.004564501810818911,0.0038308552466332912,0.0033895871601998806,0.003960672300308943,0.004117970820516348,0.007916709408164024,0.006580591667443514,0.0057209511287510395,0.0055329748429358006,0.006348651368170977,0.006367426365613937,0.006325849331915379,0.006351727992296219,0.006326787173748016,0.006337388884276152,0.006353561766445637,0.006455129012465477,0.005260144360363483,0.0043534282594919205,0.004949998576194048,0.007449786178767681,0.00548045989125967,0.00523433368653059,0.005213129334151745,0.005245829001069069,0.005145746283233166,0.005245090462267399,0.005194769706577063,0.005141592584550381,0.005268334411084652,0.005306418519467115,0.005239915102720261,0.005171063356101513,0.005263259634375572,0.0052943043410778046,0.005900304764509201,0.006807371042668819,0.0058775474317371845,0.004469352774322033,0.00870746560394764,0.0051866741850972176,0.005999693647027016,0.008677128702402115,0.008699803613126278,0.008714543655514717,0.008692486211657524,0.005588265135884285,0.0049245404079556465,0.004876319319009781,0.005353911779820919,0.009294978342950344,0.005530243739485741,0.0044143181294202805,0.004190740175545216,0.006417486350983381,0.00454226229339838,0.005347317084670067,0.004123454913496971,0.004449151456356049,0.008851795457303524,0.005538039840757847,0.00650574779137969,0.005942308343946934,0.005698956083506346,0.0034533943980932236,0.004462016746401787,0.00017749209655448794,0.003683040849864483,0.003977072890847921,0.007807564921677113,0.00658197607845068,0.005735491402447224,0.005558178760111332,0.006278614513576031,0.006264686584472656,0.00641282182186842,0.006393630988895893,0.006300179287791252,0.006247967015951872,0.006355816498398781,0.005228376016020775,0.004963118117302656,0.005490686744451523,0.005259326659142971,0.005205776076763868,0.005251537077128887,0.00517271738499403,0.005225307308137417,0.005195037927478552,0.005134744569659233,0.005261098966002464,0.0053502414375543594,0.0052591897547245026,0.005149967037141323,0.005285026505589485,0.005319173447787762,0.005895690992474556,0.005868931300938129,0.004553955048322678,0.008670896291732788,0.008654206991195679,0.008658258244395256,0.008692093193531036,0.008687060326337814,0.005637056659907103,0.0048726145178079605,0.004919676575809717,0.005514778196811676,0.004452437162399292,0.004211398772895336,0.006439857184886932,0.004520109388977289,0.005341492593288422,0.004085894674062729,0.004481794312596321,0.008811372332274914
