,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0010406638029962778,0.0008857967332005501,0.0010743810562416911,0.002598811872303486,0.004209467209875584,0.006855006795376539,0.0017728714738041162,0.0025077094323933125,0.00553938839584589,0.001960834488272667,0.0017315896693617105,0.002853463403880596,0.0027836021035909653,0.0038860442582517862,0.00435669906437397,0.004129677079617977,0.00255366088822484,0.0022585447877645493,0.0018957924330607057,0.001686025527305901,0.0017058681696653366,0.0016524919774383307,0.0016802427126094699,0.0016634680796414614,0.0016766020562499762,0.0016919319750741124,0.002767085563391447,0.0013386033242568374,0.0031476090662181377,0.006406750530004501,0.004099825397133827,0.002496830653399229,0.0019632605835795403,0.001885291188955307,0.0018665959360077977,0.0019802749156951904,0.001881459029391408,0.0019354812102392316,0.001942028640769422,0.0019143554382026196,0.0019080325728282332,0.0018772303592413664,0.0020976546220481396,0.0021864527370780706,0.0018984577618539333,0.0044919950887560844,0.0029549337923526764,0.004428626969456673,0.0022002176847308874,0.005565493367612362,0.0022220148239284754,0.0021600776817649603,0.005544476211071014,0.005558394361287355,0.005576418712735176,0.005558932665735483,0.002849733456969261,0.00255610141903162,0.0025744494050741196,0.002669749315828085,0.006562352180480957,0.004640668630599976,0.0018635587766766548,0.0038873006124049425,0.004434318281710148,0.004852155223488808,0.005081614479422569,0.0031327868346124887,0.003455348312854767,0.0053908624686300755,4.046878530061804e-05,0.001912402454763651,0.0008599628927186131,0.0010991508606821299,0.006875207182019949,0.001740910462103784,0.005435986444354057,0.002892263699322939,0.003910487052053213,0.003996553365141153,0.0025135804899036884,0.002239808440208435,0.0019388431683182716,0.0016361712478101254,0.0015631499700248241,0.0018113901605829597,0.0017948481254279613,0.0016224500723183155,0.0015519210137426853,0.0017019121441990137,0.0012844871962442994,0.006347154267132282,0.0025298185646533966,0.0020414460450410843,0.0018733483739197254,0.0018723021494224668,0.001952129416167736,0.001881315722130239,0.0019258888205513358,0.0020048865117132664,0.0018837617244571447,0.0019058693433180451,0.0019020027248188853,0.0020509527530521154,0.0021700109355151653,0.0018909224309027195,0.004443797282874584,0.004420112818479538,0.0022021618206053972,0.005552190355956554,0.005525763146579266,0.005530572030693293,0.005574519280344248,0.005555197596549988,0.002922127489000559,0.0025007654912769794,0.002618082333356142,0.004509402438998222,0.0018367869779467583,0.003910300321877003,0.004469515290111303,0.004808021243661642,0.0051635331474244595,0.0031490775290876627,0.0034723090939223766,0.005351178348064423
lapgyn4_surgical_actions,0.0010406638029962778,0.0,0.0005959693226031959,0.0004337201826274395,0.002993868663907051,0.00515653844922781,0.007797611877322197,0.001962913665920496,0.0027896263636648655,0.0057871537283062935,0.002869637915864587,0.002657464472576976,0.003003291320055723,0.0030065951868891716,0.004747768864035606,0.005252299830317497,0.003513578325510025,0.002401425503194332,0.0021642278879880905,0.001594233326613903,0.0012027511838823557,0.0012163694482296705,0.0011811517179012299,0.0012028750497847795,0.0011857416247949004,0.0011857014615088701,0.0012003728188574314,0.0027947109192609787,0.0019745007157325745,0.0041250307112932205,0.007353856228291988,0.003784689586609602,0.003410134930163622,0.0026634291280061007,0.0024530563969165087,0.0023335525766015053,0.0027414257638156414,0.0023064399138092995,0.0026386012323200703,0.002680384088307619,0.0024268629495054483,0.002443946897983551,0.002439226023852825,0.002917655510827899,0.002956940559670329,0.0023426213301718235,0.005057323724031448,0.002728425431996584,0.004996049217879772,0.002642267383635044,0.006264391355216503,0.002477470086887479,0.0027823676355183125,0.006250421982258558,0.006253593135625124,0.006271284073591232,0.006261324509978294,0.0027416152879595757,0.002572980709373951,0.0025934327859431505,0.0034910691902041435,0.007216308265924454,0.005416936241090298,0.0025436575524508953,0.004812169820070267,0.004947256296873093,0.005775662139058113,0.005936572328209877,0.004038495011627674,0.004339886363595724,0.00597357377409935,0.0010695268865674734,0.0009713839972391725,0.0004898615879938006,0.0004291586810722947,0.007820550352334976,0.0019468542886897922,0.005680107977241278,0.0030770276207476854,0.004772045183926821,0.0034000230953097343,0.0023601744323968887,0.002147833351045847,0.0016321293078362942,0.0011403615353628993,0.0011166944168508053,0.0012432064395397902,0.0012563372729346156,0.0011663851328194141,0.0011240601306781173,0.0012375731021165848,0.0018945536576211452,0.007294060662388802,0.0034427132923156023,0.0027696783654391766,0.0024233921431005,0.002368044573813677,0.0027086155023425817,0.0023541857954114676,0.0026416012551635504,0.0027728122659027576,0.0023755477741360664,0.002418921794742346,0.002485844772309065,0.002876830054447055,0.002927546389400959,0.0023328997194767,0.0050052134320139885,0.004990177694708109,0.002608882961794734,0.006264355964958668,0.006231130100786686,0.0062355888076126575,0.006279501598328352,0.006263049319386482,0.002812262624502182,0.002539657987654209,0.0026202425360679626,0.00528308842331171,0.002515616361051798,0.004830212332308292,0.004983037710189819,0.0057324571534991264,0.006019933149218559,0.004061821382492781,0.004350095987319946,0.005946656223386526
lapgyn4_instrument_count,0.0008857966749928892,0.000595969264395535,0.0,0.000565165129955858,0.002472006483003497,0.005071032792329788,0.007711285725235939,0.0019485200755298138,0.002596659818664193,0.006035672966390848,0.0026621422730386257,0.002349027432501316,0.003168641123920679,0.003196887904778123,0.004462273791432381,0.004989150445908308,0.0034732455387711525,0.002250542864203453,0.002164070727303624,0.0017777110915631056,0.0010252478532493114,0.0010366655187681317,0.0009976013097912073,0.0010160881793126464,0.0010088555281981826,0.0010110576404258609,0.00102208461612463,0.00259117572568357,0.0016797580756247044,0.0037775347009301186,0.007264946587383747,0.003616943722590804,0.0029452438466250896,0.0025298884138464928,0.0023881252855062485,0.0022775200195610523,0.002631980925798416,0.0022715269587934017,0.0025218988303095102,0.002577082719653845,0.002356982324272394,0.002337169833481312,0.0023468416184186935,0.002786473138257861,0.002847459865733981,0.002264660783112049,0.004997678101062775,0.002684209495782852,0.004937922582030296,0.0023891832679510117,0.0056918589398264885,0.002584865316748619,0.0023426231928169727,0.00568155525252223,0.005681351292878389,0.005697928369045258,0.0056899311020970345,0.0025976235046982765,0.002458177972584963,0.0024805315770208836,0.003067809622734785,0.0066431802697479725,0.005321871023625135,0.0024911793880164623,0.004725724458694458,0.0046565174125134945,0.005690230056643486,0.00585049856454134,0.003953093662858009,0.003890941385179758,0.005404438357800245,0.0009122802875936031,0.0011044580023735762,0.0001568367297295481,0.0006492118118330836,0.007732796017080545,0.0019445092184469104,0.005932188592851162,0.003256734926253557,0.004500770475715399,0.003355092601850629,0.0022030146792531013,0.0021436139941215515,0.0018154605058953166,0.000996443908661604,0.0009267610148526728,0.0011086524464190006,0.0011143232695758343,0.0009844419546425343,0.0009221636573784053,0.0010537025518715382,0.0016317463014274836,0.007204542402178049,0.00297794071957469,0.002632110845297575,0.0023658499121665955,0.0023017930798232555,0.002578346524387598,0.0023066443391144276,0.0025185439735651016,0.0026669977232813835,0.0023133736103773117,0.002290444914251566,0.0023795152083039284,0.002747837919741869,0.002812325954437256,0.002251935424283147,0.004947066307067871,0.004931303672492504,0.0023696827702224255,0.0056955935433506966,0.005661653354763985,0.005666353739798069,0.005709066521376371,0.005692820996046066,0.0026666633784770966,0.0024356753565371037,0.002506374381482601,0.005188209004700184,0.002458812901750207,0.004743779078125954,0.004691837355494499,0.0056469254195690155,0.005933520384132862,0.003976356703788042,0.003900248324498534,0.00537536945194006
lapgyn4_anatomical_actions,0.0010743808234110475,0.0004337201244197786,0.0005651650717481971,0.0,0.0029789553955197334,0.004986868239939213,0.007627501618117094,0.002120570745319128,0.002908959984779358,0.0057664914056658745,0.0028490442782640457,0.0026301401667296886,0.003181710373610258,0.00315502448938787,0.004521640948951244,0.005056598223745823,0.003716560546308756,0.0025199821684509516,0.002392301568761468,0.0018316509667783976,0.0013016997836530209,0.0013118952047079802,0.0012780764373019338,0.0012959190644323826,0.001288150786422193,0.0012858344707638025,0.001296885428018868,0.002919570542871952,0.0020340299233794212,0.004032034892588854,0.00718353595584631,0.003916624002158642,0.003432188183069229,0.0025638695806264877,0.002395672257989645,0.002308773109689355,0.00264514097943902,0.0022879247553646564,0.002545952331274748,0.002587849274277687,0.0023828682024031878,0.0023927497677505016,0.0023882463574409485,0.002803475596010685,0.0028205816633999348,0.00231656851246953,0.0049214125610888,0.002949759364128113,0.004864041227847338,0.0027342080138623714,0.0061983373016119,0.0024956176057457924,0.002800325397402048,0.006185919977724552,0.00618852861225605,0.006205601617693901,0.006195973604917526,0.0028791744261980057,0.0027112895622849464,0.002732713706791401,0.0034466153010725975,0.007157663349062204,0.0052270139567554,0.0024582305923104286,0.004643958993256092,0.00473603792488575,0.00560716213658452,0.005768153816461563,0.0038699537981301546,0.004358797334134579,0.005927661433815956,0.001101326779462397,0.0011572272051125765,0.00045822697575204074,9.551834227750078e-05,0.007650440558791161,0.0021026157774031162,0.0056628454476594925,0.003248507622629404,0.004546659532934427,0.0036058477126061916,0.002475108252838254,0.002373059280216694,0.0018697690684348345,0.0012637602631002665,0.0012192446738481522,0.0013555700425058603,0.001370598329231143,0.0012688182760030031,0.0012212067376822233,0.0013382472097873688,0.001958614680916071,0.007123132701963186,0.0034645628184080124,0.002665320411324501,0.002365297172218561,0.002334073418751359,0.0026161358691751957,0.0023278621956706047,0.0025522096548229456,0.002666235901415348,0.002342981519177556,0.002376710530370474,0.002436669310554862,0.002763888565823436,0.002793491119518876,0.0023050126619637012,0.004871823824942112,0.004856807179749012,0.0027132295072078705,0.006198834627866745,0.006166159175336361,0.006171063054352999,0.006214275490492582,0.006197740323841572,0.002948928624391556,0.002686594147235155,0.0027594328857958317,0.00509407464414835,0.0024350942112505436,0.004662012681365013,0.00477239303290844,0.005563883576542139,0.005851391702890396,0.0038932792376726866,0.004370898939669132,0.00589823629707098
sklin2_skin_lesions,0.0025988114066421986,0.0029938681982457638,0.0024720062501728535,0.0029789553955197334,0.0,0.005424536764621735,0.00807113666087389,0.0029516606591641903,0.00254451553337276,0.006561966147273779,0.002965227933600545,0.0025667836889624596,0.003401895985007286,0.0035511860623955727,0.004785527475178242,0.005320124793797731,0.0028875223360955715,0.0016345580806955695,0.0023996804375201464,0.002996887546032667,0.0021266865078359842,0.0021215053275227547,0.0021403534337878227,0.0021227924153208733,0.002148096216842532,0.002151242457330227,0.002141722943633795,0.0013224049471318722,0.002364763291552663,0.004087440669536591,0.007590658031404018,0.002538766246289015,0.0025227011647075415,0.003934238106012344,0.003930233418941498,0.0038474281318485737,0.003985927440226078,0.003877527778968215,0.003933084197342396,0.003960717469453812,0.003918497823178768,0.003880096133798361,0.0038622161373496056,0.0040111541748046875,0.004135521594434977,0.003829189343377948,0.006150392349809408,0.0021205018274486065,0.0061058299615979195,0.0023239979054778814,0.0037492304109036922,0.0042228796519339085,0.0022073176223784685,0.003733585588634014,0.003747608046978712,0.003757399506866932,0.0037429167423397303,0.0017643561586737633,0.0020576652605086565,0.0020957146771252155,0.002862633904442191,0.0045806048437952995,0.0061539821326732635,0.003428389085456729,0.005179898347705603,0.0054651000536978245,0.006153569091111422,0.006447112187743187,0.004466596059501171,0.003061150200664997,0.003706305054947734,0.002591505879536271,0.0030555101111531258,0.0025724563747644424,0.003050432540476322,0.00808686576783657,0.0029735867865383625,0.006461457349359989,0.0035226684994995594,0.0048230234533548355,0.0027546097990125418,0.0015917187556624413,0.0023645134642720222,0.0030179214663803577,0.002179693663492799,0.0021710910368710756,0.0021758105140179396,0.0021666293032467365,0.0021687806583940983,0.002152001950889826,0.00208861893042922,0.002444462850689888,0.007530046161264181,0.0025492534041404724,0.003996758721768856,0.003918570466339588,0.0038595127407461405,0.003927680663764477,0.003871385008096695,0.003908829297870398,0.0040128896944224834,0.003883898723870516,0.0038222253788262606,0.0038757994771003723,0.003985334653407335,0.0041173165664076805,0.0038269644137471914,0.006108499132096767,0.006099693477153778,0.0022425230126827955,0.0037418287247419357,0.00372082251124084,0.0037228092551231384,0.0037573324516415596,0.0037365760654211044,0.001791887916624546,0.0021021110005676746,0.0020784579683095217,0.0060218628495931625,0.0033829249441623688,0.00520888390019536,0.0055108265951275826,0.006106930319219828,0.006527289282530546,0.004472510889172554,0.0030332952737808228,0.0036715390160679817
identify_nbi_infframes,0.004209467209875584,0.00515653844922781,0.005071032792329788,0.0049868687056005,0.005424537230283022,0.0,0.0037104575894773006,0.004425514955073595,0.004449149593710899,0.0034234579652547836,0.0025727557949721813,0.0029898751527071,0.004286445677280426,0.003941996488720179,0.002934305928647518,0.002853118348866701,0.008182192221283913,0.006372363306581974,0.005736269988119602,0.0053125363774597645,0.005837882868945599,0.005857255309820175,0.005802402272820473,0.005831839516758919,0.005816382355988026,0.005829493515193462,0.0058471024967730045,0.006116512697190046,0.0039489916525781155,0.001930236117914319,0.0032900222577154636,0.007486168760806322,0.0037969015538692474,0.0034983023069798946,0.003580711083486676,0.0037252740003168583,0.00337956752628088,0.003755739191547036,0.003465232439339161,0.0033961618319153786,0.0036697424948215485,0.0036989436484873295,0.0036233444698154926,0.003259008750319481,0.0033118226565420628,0.003788840025663376,0.003826793283224106,0.006683645769953728,0.0038439573254436255,0.0037081444170325994,0.006259455345571041,0.003953573293983936,0.004194676876068115,0.006228072568774223,0.006257939152419567,0.006269143894314766,0.006248105317354202,0.0058566308580338955,0.005192507989704609,0.005164020694792271,0.003562766360118985,0.0070988088846206665,0.00335382716730237,0.002962595783174038,0.0021808668971061707,0.004138590302318335,0.002536903601139784,0.0033979269210249186,0.0023780157789587975,0.003889603540301323,0.006317493040114641,0.004179102834314108,0.006119505036622286,0.005040797870606184,0.0049718632362782955,0.0036936167161911726,0.00435500917956233,0.0034012487158179283,0.0041852183640003204,0.0029160846024751663,0.00803765282034874,0.006333950906991959,0.005742794834077358,0.005366723984479904,0.005787358619272709,0.005714347120374441,0.005968759767711163,0.005948987789452076,0.005775768309831619,0.005695898085832596,0.005844868719577789,0.003944489639252424,0.0032872639130800962,0.0037479004822671413,0.003459575120359659,0.003598350565880537,0.0036943908780813217,0.0034268535673618317,0.0037061888724565506,0.0034521003253757954,0.003327210433781147,0.003700071247294545,0.00377218471840024,0.003616722533479333,0.0032611493952572346,0.0033583426848053932,0.003802612889558077,0.003846364328637719,0.003847421845421195,0.0038249348290264606,0.0062287431210279465,0.0062135858461260796,0.006213069893419743,0.006251853425055742,0.006238623522222042,0.0059388866648077965,0.005137592554092407,0.005223361775279045,0.0033309226855635643,0.0029927780851721764,0.00220293621532619,0.004167326260358095,0.002516995882615447,0.0034130681306123734,0.00232783704996109,0.003921652212738991,0.0062741562724113464
laryngeal_tissues,0.0068550072610378265,0.007797612342983484,0.007711286190897226,0.007627503015100956,0.00807113852351904,0.0037104575894773006,0.0,0.007037236355245113,0.0070763640105724335,0.003431040560826659,0.005221541039645672,0.005626036319881678,0.006642439402639866,0.006146092899143696,0.0040161823853850365,0.003972823731601238,0.0108223557472229,0.009012817405164242,0.008363877423107624,0.00795365683734417,0.00847705639898777,0.008496293798089027,0.008441452868282795,0.008471079170703888,0.008455514907836914,0.008468711748719215,0.008486342616379261,0.008757704868912697,0.006606258451938629,0.004838120192289352,0.004805606324225664,0.01012728177011013,0.006097239442169666,0.005512334406375885,0.0056419954635202885,0.005783196538686752,0.005388807505369186,0.00582312885671854,0.005491003394126892,0.005414951592683792,0.005706227850168943,0.005721875466406345,0.005679001100361347,0.005293183960020542,0.005273851100355387,0.005851972848176956,0.004769730381667614,0.009324351325631142,0.00475708581507206,0.006266795098781586,0.009049206972122192,0.005877625197172165,0.0068455711007118225,0.00901815015822649,0.009041755460202694,0.009055651724338531,0.009034676477313042,0.008391703478991985,0.007636468857526779,0.007586476393043995,0.006149550434201956,0.009636307135224342,0.004664700012654066,0.0053147682920098305,0.004003189504146576,0.005868010688573122,0.0037293978966772556,0.0045211585238575935,0.004246716387569904,0.005497125908732414,0.00920286774635315,0.006828762590885162,0.008760716766119003,0.007679226342588663,0.007612762972712517,4.021726635983214e-05,0.006968401838093996,0.0035974651109427214,0.006516439374536276,0.004001048859208822,0.010677462443709373,0.008974636904895306,0.008369176648557186,0.008007854223251343,0.008426818996667862,0.008353015407919884,0.008607657626271248,0.0085879135876894,0.008414835669100285,0.008334741927683353,0.00848405621945858,0.006597038824111223,0.0048406971618533134,0.006073943804949522,0.005448095500469208,0.005658280104398727,0.0057446835562586784,0.00543687678873539,0.0057554906234145164,0.005488872528076172,0.005353592336177826,0.005746526177972555,0.005793901160359383,0.005649963393807411,0.005312969908118248,0.005294008180499077,0.005879777017980814,0.0047693802043795586,0.004742896184325218,0.006396619603037834,0.009015042334794998,0.008996192365884781,0.008996357209980488,0.0090318089351058,0.009030432440340519,0.00847607757896185,0.007579122669994831,0.0076461248099803925,0.004686614498496056,0.0053497678600251675,0.004005208611488342,0.005884571000933647,0.003729082178324461,0.004506767727434635,0.004230208229273558,0.005531901493668556,0.009164728224277496
nerthus_bowel_cleansing_quality,0.0017728712409734726,0.001962913665920496,0.0019485198426991701,0.002120570745319128,0.0029516606591641903,0.004425514489412308,0.007037235423922539,0.0,0.001623544143512845,0.00452253594994545,0.0020498281810432673,0.0018398636020720005,0.0018238218035548925,0.0018439001869410276,0.004311432130634785,0.004676994867622852,0.0037980922497808933,0.0021025659516453743,0.001367593533359468,0.0011127600446343422,0.0019174611661583185,0.0019336288096383214,0.0019012702396139503,0.0019246458541601896,0.0018965507624670863,0.0019070166163146496,0.0019193114712834358,0.002320275641977787,0.0013958290219306946,0.0031493999995291233,0.006598461419343948,0.0036930441856384277,0.0025017012376338243,0.002944651525467634,0.002805018564686179,0.0026925771962851286,0.002958649303764105,0.00269521726295352,0.0029150117188692093,0.0029217121191322803,0.0027969456277787685,0.0028059380128979683,0.0027669297996908426,0.003037033136934042,0.003198841819539666,0.0026978934183716774,0.005701087880879641,0.0025471521075814962,0.005636412650346756,0.0016829457599669695,0.0062301489524543285,0.003159764688462019,0.0029362617060542107,0.006202259100973606,0.006225580349564552,0.006241577677428722,0.006218696013092995,0.001989746233448386,0.001562714111059904,0.001558326417580247,0.002776084467768669,0.00717769144102931,0.005629426334053278,0.0025676372461020947,0.004461923614144325,0.005541491787880659,0.005417883396148682,0.005944491364061832,0.003860129974782467,0.0031864838674664497,0.006128128618001938,0.0017731860280036926,0.002215603832155466,0.0019065167289227247,0.00210638833232224,0.007060186006128788,7.304814062081277e-05,0.0043855151161551476,0.0018668207339942455,0.004343980923295021,0.0036560804583132267,0.002114439383149147,0.0013656581286340952,0.0011310174595564604,0.0018475539982318878,0.0018566134385764599,0.00196348805911839,0.0019340170547366142,0.0018736743368208408,0.0018363473936915398,0.0019219096284359694,0.0013848640955984592,0.006539450027048588,0.002536750864237547,0.003033731132745743,0.0027924743480980396,0.00272735464386642,0.002922455780208111,0.0027059423737227917,0.0028996632900089025,0.002994067035615444,0.002733128610998392,0.002764993580058217,0.0027997903525829315,0.0029977690428495407,0.0031889677047729492,0.002699060831218958,0.005658440291881561,0.005628545768558979,0.0016521000070497394,0.006206199526786804,0.00618545338511467,0.006190271116793156,0.006231521721929312,0.006210972089320421,0.0020580352284014225,0.0015194723382592201,0.0015942668542265892,0.005514215677976608,0.0025454044807702303,0.004493309184908867,0.005577763542532921,0.005372948013246059,0.005995576735585928,0.0038532812613993883,0.0032015161123126745,0.006084044463932514
stanford_dogs_image_categorization,0.0025077094323933125,0.0027896263636648655,0.002596660051494837,0.0029089602176100016,0.0025445157662034035,0.004449149593710899,0.007076363079249859,0.0016235443763434887,0.0,0.004980023019015789,0.0021335314959287643,0.001850211527198553,0.0017665321938693523,0.0020342522766441107,0.004209747072309256,0.004530250560492277,0.0037934156134724617,0.002429709304124117,0.0016593325417488813,0.0018815086223185062,0.002207556739449501,0.0022206935100257397,0.0022074785083532333,0.002214811509475112,0.0022014915011823177,0.0022135882172733545,0.002215372398495674,0.0022055814042687416,0.001991542521864176,0.0032943771220743656,0.006629081442952156,0.003301642369478941,0.002338243182748556,0.003871979657560587,0.003782560583204031,0.0036674465518444777,0.003919265232980251,0.00368207017891109,0.0038654389791190624,0.0038871997967362404,0.0037600945215672255,0.003753634635359049,0.003728204406797886,0.003989900462329388,0.004111323039978743,0.0036550257354974747,0.00644737109541893,0.0024644627701491117,0.006390636786818504,0.0014235196867957711,0.005902026779949665,0.004133893642574549,0.0030871874187141657,0.005871639586985111,0.0059023830108344555,0.005911578424274921,0.005890040658414364,0.00221768906340003,0.0019620475359261036,0.0019552370067685843,0.00213351147249341,0.006693053059279919,0.0062424615025520325,0.003390839323401451,0.005080855917185545,0.006043071858584881,0.0059976219199597836,0.0064720530062913895,0.004432507790625095,0.0024853323120623827,0.005941133014857769,0.0025066733360290527,0.003042608965188265,0.002607171656563878,0.002911243587732315,0.007099298760294914,0.0016612925101071596,0.004839704371988773,0.0018227278487756848,0.0042547076009213924,0.0036618714220821857,0.0024321656674146652,0.0016713925870135427,0.0019007192458957434,0.0021860869601368904,0.0021980195306241512,0.002270086668431759,0.0022319015115499496,0.0021944125182926655,0.0021821472328156233,0.0021954039111733437,0.0020350138656795025,0.006568814627826214,0.002370940987020731,0.003961323294788599,0.003765780944377184,0.0036985273472964764,0.003871736116707325,0.0036833425983786583,0.0038442311342805624,0.003958174958825111,0.003706705989316106,0.003697924315929413,0.003758489852771163,0.003955126740038395,0.0040975818410515785,0.003655636217445135,0.006405401974916458,0.006382610648870468,0.0013964861864224076,0.005872783716768026,0.005858706310391426,0.005860657896846533,0.005896793212741613,0.005878339521586895,0.0022428655065596104,0.001955720828846097,0.001953988801687956,0.006119937635958195,0.0033597394358366728,0.005120287649333477,0.00608398811891675,0.005947347730398178,0.006531193386763334,0.004423067439347506,0.0024831844493746758,0.005898732226341963
svhn,0.00553938839584589,0.005787153262645006,0.006035672500729561,0.005766492336988449,0.006561966612935066,0.0034234579652547836,0.0034310403279960155,0.0045225368812680244,0.004980023019015789,0.0,0.004161783028393984,0.004564501345157623,0.0038308557122945786,0.0033895878586918116,0.003960669972002506,0.004117969423532486,0.007916707545518875,0.0065805925987660885,0.005720950663089752,0.0055329762399196625,0.006348650902509689,0.006367424502968788,0.006325847934931517,0.006351730786263943,0.0063267843797802925,0.006337387952953577,0.0063535613007843494,0.006455129943788052,0.005260144360363483,0.0043534282594919205,0.004949996713548899,0.007449783850461245,0.005480458028614521,0.0052343374118208885,0.005213127471506596,0.005245829466730356,0.005145748145878315,0.0052450913935899734,0.005194767378270626,0.00514159444719553,0.005268333945423365,0.0053064171224832535,0.005239914171397686,0.005171062424778938,0.005263256840407848,0.005294302478432655,0.005900305695831776,0.006807371042668819,0.005877544172108173,0.004469354636967182,0.008707467466592789,0.005186673253774643,0.005999692250043154,0.00867712777107954,0.008699803613126278,0.008714545518159866,0.008692491799592972,0.005588267929852009,0.004924538545310497,0.004876319319009781,0.005353914573788643,0.009294980205595493,0.0055302404798567295,0.004414319060742855,0.004190738312900066,0.006417484488338232,0.004542260430753231,0.005347317084670067,0.0041234539821743965,0.004449151456356049,0.008851801976561546,0.005538042634725571,0.006505748722702265,0.005942310206592083,0.005698955152183771,0.003453393466770649,0.004462016746401787,0.00017749215476214886,0.0036830396857112646,0.003977071959525347,0.007807565852999687,0.00658197607845068,0.005735490471124649,0.005558176897466183,0.006278614513576031,0.006264687515795231,0.006412826478481293,0.006393630988895893,0.0063001797534525394,0.006247967481613159,0.006355819292366505,0.005228374153375626,0.0049631185829639435,0.005490686744451523,0.00525932852178812,0.005205778405070305,0.005251539871096611,0.005172720178961754,0.005225305911153555,0.005195036996155977,0.005134742707014084,0.005261098966002464,0.005350244231522083,0.0052591897547245026,0.005149967968463898,0.00528502743691206,0.005319173447787762,0.005895690061151981,0.005868930369615555,0.004553954117000103,0.008670896291732788,0.008654211647808552,0.008658258244395256,0.00869209785014391,0.008687065914273262,0.0056370580568909645,0.004872613586485386,0.00491967611014843,0.0055147744715213776,0.004452437628060579,0.004211399704217911,0.006439857184886932,0.004520109388977289,0.0053414939902722836,0.004085895139724016,0.004481795243918896,0.008811373263597488
