,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.532819926738739,0.45352792739868164,0.5500830411911011,1.3305914402008057,2.155247211456299,3.509763717651367,0.907710075378418,1.283947229385376,2.8361668586730957,1.0039472579956055,0.8865739107131958,1.4609730243682861,1.4252043962478638,1.9896550178527832,2.230630397796631,2.1143946647644043,1.3074743747711182,1.1563749313354492,0.9706457257270813,0.8632450699806213,0.8734045624732971,0.8460758328437805,0.8602842092514038,0.8516956567764282,0.8584202527999878,0.8662691116333008,1.416747808456421,0.6853649616241455,1.6115758419036865,3.2802562713623047,2.0991106033325195,1.2783772945404053,1.0051894187927246,0.965269148349762,0.9556971788406372,1.0139007568359375,0.9633070230484009,0.9909663796424866,0.9943186044692993,0.9801499843597412,0.9769127368927002,0.9611419439315796,1.0739991664886475,1.1194639205932617,0.9720103740692139,2.2999014854431152,1.5129262208938599,2.2674574851989746,1.1265113353729248,2.84953236579895,1.137671709060669,1.1059596538543701,2.8387720584869385,2.845897674560547,2.8551266193389893,2.8461732864379883,1.4590635299682617,1.3087239265441895,1.3181182146072388,1.36691153049469,3.35992431640625,2.3760225772857666,0.9541420936584473,1.9902980327606201,2.2703709602355957,2.4843032360076904,2.6017866134643555,1.6039868593215942,1.7691380977630615,2.7601218223571777,,0.9791500568389893,0.44030097126960754,0.56276535987854,3.520106077194214,0.8913460969924927,2.7832250595092773,1.4808390140533447,2.002169132232666,2.0462353229522705,1.2869532108306885,1.1467818021774292,0.9926877021789551,0.8377196788787842,0.8003328442573547,0.9274317026138306,0.9189622402191162,0.8306944370269775,0.7945834994316101,0.871379017829895,0.6576575040817261,3.2497429847717285,1.295267105102539,1.0452203750610352,0.9591543674468994,0.9586187601089478,0.9994902014732361,0.9632337093353271,0.9860550165176392,1.0265018939971924,0.9644860029220581,0.9758051633834839,0.9738253951072693,1.0500879287719727,1.1110455989837646,0.9681523442268372,2.275224447250366,2.2630975246429443,1.1275067329406738,2.842721462249756,2.829190731048584,2.8316526412963867,2.854153633117676,2.844261646270752,1.4961292743682861,1.2803919315338135,1.3404581546783447,2.30881404876709,0.9404348731040955,2.0020737648010254,2.2883918285369873,2.4617066383361816,2.643728733062744,1.6123278141021729,1.7778222560882568,2.7398033142089844
lapgyn4_surgical_actions,0.532819926738739,0.0,0.3051362931728363,0.22206470370292664,1.532860517501831,2.6401476860046387,3.992377758026123,1.005011796951294,1.4282886981964111,2.9630227088928223,1.4692546129226685,1.3606219291687012,1.5376849174499512,1.539376974105835,2.4308581352233887,2.689177989959717,1.7989519834518433,1.2295297384262085,1.108084797859192,0.8162474036216736,0.6158085465431213,0.6227812170982361,0.6047496199607849,0.6158720254898071,0.6070997714996338,0.6070790886878967,0.6145908236503601,1.4308921098709106,1.0109443664550781,2.112015724182129,3.765174627304077,1.9377610683441162,1.7459890842437744,1.3636757135391235,1.2559648752212524,1.1947789192199707,1.4036099910736084,1.1808972358703613,1.350963830947876,1.372356653213501,1.2425538301467896,1.2513009309768677,1.2488837242126465,1.4938396215438843,1.513953685760498,1.1994221210479736,2.5893497467041016,1.3969539403915405,2.5579774379730225,1.3528406620025635,3.2073683738708496,1.2684646844863892,1.4245721101760864,3.200216054916382,3.2018394470214844,3.210897445678711,3.2057981491088867,1.4037070274353027,1.317366123199463,1.327837586402893,1.7874274253845215,3.6947498321533203,2.7734713554382324,1.3023526668548584,2.4638311862945557,2.5329954624176025,2.957139015197754,3.039525270462036,2.067709445953369,2.2220215797424316,3.058469772338867,0.5475977063179016,,0.2508091330528259,0.21972927451133728,4.004121780395508,0.9967894554138184,2.908215284347534,1.5754382610321045,2.443286895751953,1.7408119440078735,1.208409309387207,1.0996906757354736,0.8356500864028931,0.5838651061058044,0.5717476010322571,0.6365216970443726,0.6432446837425232,0.59718918800354,0.5755187273025513,0.6336374282836914,0.9700115919113159,3.7345590591430664,1.7626692056655884,1.418075442314148,1.240776777267456,1.2124388217926025,1.3868112564086914,1.205343246459961,1.3524997234344482,1.419680118560791,1.216280460357666,1.238487958908081,1.2727525234222412,1.4729371070861816,1.498903751373291,1.1944446563720703,2.562669277191162,2.5549707412719727,1.3357479572296143,3.207350254058838,3.190338611602783,3.1926212310791016,3.215104579925537,3.206681728363037,1.4398784637451172,1.300304889678955,1.3415641784667969,2.7049412727355957,1.287995457649231,2.4730684757232666,2.5513153076171875,2.9350178241729736,3.0822057723999023,2.079652786254883,2.2272491455078125,3.0446879863739014
lapgyn4_instrument_count,0.45352792739868164,0.3051362931728363,0.0,0.2893645167350769,1.265667200088501,2.5963687896728516,3.94817852973938,0.9976421594619751,1.329489827156067,3.090264320373535,1.3630168437957764,1.2027021646499634,1.6223440170288086,1.6368067264556885,2.284684419631958,2.554445266723633,1.77830171585083,1.1522778272628784,1.1080043315887451,0.9101880788803101,0.5249269008636475,0.5307727456092834,0.5107718110084534,0.520237147808075,0.5165340900421143,0.5176615118980408,0.5233072638511658,1.3266819715499878,0.8600361347198486,1.9340977668762207,3.7196526527404785,1.8518753051757812,1.507964849472046,1.2953028678894043,1.2227201461791992,1.1660902500152588,1.3475741147994995,1.1630218029022217,1.2912122011184692,1.3194663524627686,1.2067749500274658,1.1966309547424316,1.2015830278396606,1.426674246788025,1.457899570465088,1.1595063209533691,2.5588111877441406,1.3743152618408203,2.528216600418091,1.2232617139816284,2.914231777191162,1.323451280593872,1.199422836303711,2.908956289291382,2.9088516235351562,2.917339324951172,2.9132447242736816,1.3299832344055176,1.258587121963501,1.2700321674346924,1.57071852684021,3.401308059692383,2.7247979640960693,1.2754838466644287,2.4195711612701416,2.3841371536254883,2.9133975505828857,2.995455265045166,2.023983955383301,1.992161750793457,2.7670726776123047,0.46708744764328003,0.565482497215271,,0.3323965072631836,3.95919132232666,0.9955887198448181,3.037280559539795,1.6674482822418213,2.304394245147705,1.717807412147522,1.1279433965682983,1.0975303649902344,0.9295157194137573,0.5101792812347412,0.47450166940689087,0.5676300525665283,0.5705335140228271,0.5040342807769775,0.47214776277542114,0.5394957065582275,0.8354542255401611,3.688725471496582,1.5247056484222412,1.3476407527923584,1.2113151550292969,1.1785181760787964,1.3201134204864502,1.181001901626587,1.2894943952560425,1.3655030727386475,1.1844472885131836,1.1727077960968018,1.2183117866516113,1.4068931341171265,1.439910888671875,1.1529909372329712,2.53289794921875,2.524827003479004,1.2132773399353027,2.9161438941955566,2.89876651763916,2.9011731147766113,2.923041820526123,2.914724588394165,1.3653315305709839,1.247065782546997,1.2832636833190918,2.656363010406494,1.2589120864868164,2.4288148880004883,2.4022207260131836,2.8912253379821777,3.0379624366760254,2.0358948707580566,1.9969271421432495,2.7521889209747314
lapgyn4_anatomical_actions,0.5500830411911011,0.22206470370292664,0.2893645167350769,0.0,1.525225043296814,2.553276538848877,3.9052810668945312,1.085732102394104,1.4893875122070312,2.9524435997009277,1.4587105512619019,1.3466318845748901,1.629035472869873,1.615372657775879,2.315080404281616,2.5889787673950195,1.9028788805007935,1.2902307510375977,1.2248585224151611,0.9378052353858948,0.6664702892303467,0.6716903448104858,0.6543750762939453,0.6635105609893799,0.6595332026481628,0.6583472490310669,0.6640052795410156,1.494820237159729,1.0414234399795532,2.064401865005493,3.6779704093933105,2.0053117275238037,1.7572803497314453,1.3127012252807617,1.2265841960906982,1.1820919513702393,1.3543121814727783,1.171417474746704,1.303527593612671,1.3249788284301758,1.2200285196304321,1.2250878810882568,1.2227821350097656,1.4353795051574707,1.4441380500793457,1.1860830783843994,2.5197629928588867,1.5102770328521729,2.490389347076416,1.3999143838882446,3.173548460006714,1.2777564525604248,1.4337663650512695,3.1671910285949707,3.1685261726379395,3.1772680282592773,3.1723384857177734,1.474137306213379,1.3881802558898926,1.3991494178771973,1.76466703414917,3.6647236347198486,2.6762311458587646,1.2586140632629395,2.377707004547119,2.424851417541504,2.8708670139312744,2.9532947540283203,1.9814163446426392,2.2317042350769043,3.0349628925323486,0.5638792514801025,0.5925003290176392,0.23461219668388367,,3.917025327682495,1.0765392780303955,2.89937686920166,1.6632359027862549,2.3278894424438477,1.8461940288543701,1.2672553062438965,1.2150063514709473,0.9573216438293457,0.6470452547073364,0.6242532730102539,0.6940518617630005,0.7017463445663452,0.6496349573135376,0.6252578496932983,0.6851825714111328,1.0028108358383179,3.6470437049865723,1.7738561630249023,1.3646440505981445,1.2110321521759033,1.1950457096099854,1.3394615650177002,1.1918655633926392,1.3067312240600586,1.3651130199432373,1.1996065378189087,1.2168759107589722,1.2475746870040894,1.4151110649108887,1.4302674531936646,1.1801666021347046,2.4943737983703613,2.486685037612915,1.3891732692718506,3.1738030910491943,3.157073497772217,3.1595840454101562,3.181708812713623,3.173243284225464,1.5098514556884766,1.3755360841751099,1.4128295183181763,2.608166456222534,1.2467681169509888,2.3869504928588867,2.443465232849121,2.848708152770996,2.995912551879883,1.9933592081069946,2.2379002571105957,3.019896984100342
sklin2_skin_lesions,1.3305914402008057,1.532860517501831,1.265667200088501,1.525225043296814,0.0,2.777362823486328,4.13242244720459,1.5112501382827759,1.302791953086853,3.3597264289855957,1.518196702003479,1.3141932487487793,1.7417705059051514,1.8182075023651123,2.450190544128418,2.7239041328430176,1.4784114360809326,0.8368936777114868,1.2286365032196045,1.5344064235687256,1.088863492012024,1.0862107276916504,1.0958609580993652,1.086869716644287,1.0998252630233765,1.1014360189437866,1.096562147140503,0.6770713925361633,1.2107588052749634,2.0927696228027344,3.8864169120788574,1.2998483180999756,1.2916229963302612,2.0143299102783203,2.012279510498047,1.9698833227157593,2.040794849395752,1.985294222831726,2.0137391090393066,2.0278873443603516,2.0062708854675293,1.9866092205047607,1.977454662322998,2.0537109375,2.117387294769287,1.9605449438095093,3.149000644683838,1.0856969356536865,3.126185178756714,1.1898868083953857,1.9196058511734009,2.1621146202087402,1.1301465034484863,1.9115957021713257,1.9187750816345215,1.9237886667251587,1.9163732528686523,0.9033503532409668,1.0535246133804321,1.0730059146881104,1.4656684398651123,2.3452696800231934,3.150838851928711,1.7553352117538452,2.6521081924438477,2.7981314659118652,3.150627374649048,3.300921678543091,2.2868971824645996,1.567308783531189,1.8976283073425293,1.3268508911132812,1.5644211769104004,1.317097544670105,1.561821699142456,4.140475273132324,1.5224764347076416,3.3082661628723145,1.8036062717437744,2.4693877696990967,1.4103602170944214,0.8149600028991699,1.2106307744979858,1.5451756715774536,1.116003155708313,1.1115987300872803,1.114014983177185,1.109314203262329,1.1104156970977783,1.1018248796463013,1.0693728923797607,1.2515652179718018,3.8553833961486816,1.3052177429199219,2.0463404655456543,2.006308078765869,1.9760706424713135,2.010972499847412,1.9821492433547974,2.0013203620910645,2.0545997619628906,1.988556146621704,1.956979513168335,1.9844093322753906,2.0404913425445557,2.1080660820007324,1.9594058990478516,3.127551555633545,3.1230428218841553,1.1481716632843018,1.915816307067871,1.9050612449645996,1.9060782194137573,1.9237542152404785,1.9131271839141846,0.9174466133117676,1.0762808322906494,1.064170479774475,3.083193778991699,1.7320573329925537,2.6669483184814453,2.8215432167053223,3.1267480850219727,3.3419718742370605,2.289926052093506,1.5530470609664917,1.8798279762268066
identify_nbi_infframes,2.155247211456299,2.6401476860046387,2.5963687896728516,2.553276538848877,2.777362823486328,0.0,1.899754285812378,2.2658634185791016,2.2779645919799805,1.7528104782104492,1.3172509670257568,1.5308161973953247,2.194659948348999,2.0183024406433105,1.5023648738861084,1.46079683303833,4.189282417297363,3.2626497745513916,2.9369704723358154,2.7200186252593994,2.9889960289001465,2.998914957046509,2.970829725265503,2.9859018325805664,2.977987766265869,2.9847006797790527,2.993716239929199,3.1316545009613037,2.021883726119995,0.9882808923721313,1.684491515159607,3.832918643951416,1.9440135955810547,1.791130781173706,1.8333241939544678,1.9073402881622314,1.730338454246521,1.922938346862793,1.7741990089416504,1.7388347387313843,1.8789081573486328,1.8938593864440918,1.8551523685455322,1.6686123609542847,1.6956534385681152,1.9398860931396484,1.9593180418014526,3.422027111053467,1.9681063890457153,1.8985697031021118,3.204840898513794,2.0242297649383545,2.147674083709717,3.1887731552124023,3.20406436920166,3.20980167388916,3.1990299224853516,2.9985949993133545,2.6585640907287598,2.6439785957336426,1.8241362571716309,3.6345901489257812,1.7171595096588135,1.5168490409851074,1.1166038513183594,2.1189584732055664,1.2988946437835693,1.7397387027740479,1.2175440788269043,1.9914767742156982,3.2345566749572754,2.139700412750244,3.1331868171691895,2.580888271331787,2.5455942153930664,1.8911317586898804,2.229764699935913,1.7414393424987793,2.142831802368164,1.4930351972579956,4.115278244018555,3.242982864379883,2.9403109550476074,2.7477622032165527,2.963127613067627,2.925745964050293,3.0560050010681152,3.045881748199463,2.957193374633789,2.91629958152771,2.992572784423828,2.0195789337158203,1.6830790042877197,1.918925166130066,1.771302580833435,1.842355489730835,1.8915282487869263,1.7545490264892578,1.897568941116333,1.7674752473831177,1.7035319805145264,1.8944364786148071,1.9313585758209229,1.8517619371414185,1.669708490371704,1.7194714546203613,1.946937918663025,1.9693386554718018,1.9698797464370728,1.9583663940429688,3.1891162395477295,3.1813559532165527,3.181091785430908,3.200948715209961,3.1941754817962646,3.040709972381592,2.6304471492767334,2.674360990524292,1.7054325342178345,1.5323022603988647,1.1279032230377197,2.1336710453033447,1.2887017726898193,1.7474908828735352,1.1918526887893677,2.0078859329223633,3.2123680114746094
laryngeal_tissues,3.509763717651367,3.992377758026123,3.94817852973938,3.9052810668945312,4.13242244720459,1.899754285812378,0.0,3.603064775466919,3.623098373413086,1.7566927671432495,2.673429012298584,2.880530834197998,3.400928497314453,3.1467998027801514,2.0562856197357178,2.034086227416992,5.541046142578125,4.614562034606934,4.282305717468262,4.072272300720215,4.340252876281738,4.350102424621582,4.322023868560791,4.337192535400391,4.3292236328125,4.335980415344238,4.345006942749023,4.483944892883301,3.382404327392578,2.4771175384521484,2.46047043800354,5.185168266296387,3.121786594390869,2.822315216064453,2.888701915740967,2.960996627807617,2.7590694427490234,2.9814419746398926,2.8113937377929688,2.7724552154541016,2.92158842086792,2.929600238800049,2.9076485633850098,2.7101101875305176,2.700212001800537,2.9962100982666016,2.4421019554138184,4.774068355560303,2.4356281757354736,3.2085986137390137,4.6331939697265625,3.0093443393707275,3.504931926727295,4.617292881011963,4.629378795623779,4.636493682861328,4.625754356384277,4.2965521812438965,3.909872055053711,3.8842759132385254,3.1485695838928223,4.933789253234863,2.388326406478882,2.721161127090454,2.049633026123047,3.0044217109680176,1.9094517230987549,2.314833164215088,2.174318790435791,2.814528226852417,4.711868762969971,3.496325969696045,4.48548698425293,3.9317636489868164,3.8977348804473877,,3.567821741104126,1.8419021368026733,3.3364171981811523,2.048536777496338,5.466860771179199,4.5950140953063965,4.285018444061279,4.1000213623046875,4.314531326293945,4.2767438888549805,4.407120704650879,4.397011756896973,4.308396339416504,4.267387390136719,4.343836784362793,3.3776843547821045,2.4784369468688965,3.1098592281341553,2.7894248962402344,2.8970394134521484,2.9412779808044434,2.7836809158325195,2.9468111991882324,2.810302257537842,2.741039514541626,2.9422214031219482,2.966477394104004,2.8927814960479736,2.720240592956543,2.7105321884155273,3.0104458332061768,2.441922664642334,2.4283623695373535,3.275068759918213,4.615701675415039,4.606050491333008,4.606134414672852,4.624285697937012,4.623581886291504,4.339751720428467,3.8805108070373535,3.914815902709961,2.3995466232299805,2.7390809059143066,2.0506668090820312,3.0129003524780273,1.909289836883545,2.307465076446533,2.1658668518066406,2.832333564758301,4.692340850830078
nerthus_bowel_cleansing_quality,0.907710075378418,1.005011796951294,0.9976421594619751,1.085732102394104,1.5112501382827759,2.2658634185791016,3.603064775466919,0.0,0.8312546014785767,2.3155384063720703,1.0495120286941528,0.942010223865509,0.9337966442108154,0.9440769553184509,2.207453727722168,2.3946216106414795,1.9446232318878174,1.076513648033142,0.7002079486846924,0.5697331428527832,0.9817401170730591,0.9900179505348206,0.973450243473053,0.9854186177253723,0.971034049987793,0.9763925075531006,0.9826873540878296,1.187981128692627,0.7146644592285156,1.6124927997589111,3.3784122467041016,1.890838623046875,1.280871033668518,1.5076615810394287,1.4361695051193237,1.3785995244979858,1.5148283243179321,1.3799512386322021,1.4924860000610352,1.4959166049957275,1.4320361614227295,1.4366402626037598,1.416668176651001,1.55496084690094,1.6378072500228882,1.3813214302062988,2.918956756591797,1.3041419982910156,2.8858437538146973,0.8616681098937988,3.189836025238037,1.6177997589111328,1.5033657550811768,3.1755566596984863,3.1874966621398926,3.195687770843506,3.1839723587036133,1.0187500715255737,0.8001096844673157,0.7978631258010864,1.421355128288269,3.674978017807007,2.8822662830352783,1.3146302700042725,2.2845048904418945,2.8372440338134766,2.773956298828125,3.0435798168182373,1.976386547088623,1.6314797401428223,3.1376020908355713,0.9078711271286011,1.1343891620635986,0.9761365652084351,1.0784709453582764,3.6148152351379395,,2.2453837394714355,0.9558122158050537,2.2241179943084717,1.871913194656372,1.0825928449630737,0.6992169618606567,0.5790808796882629,0.9459476470947266,0.950586199760437,1.0053057670593262,0.9902167320251465,0.9593212604522705,0.9402097463607788,0.9840177297592163,0.7090505361557007,3.348198413848877,1.2988165616989136,1.5532704591751099,1.4297467470169067,1.3964056968688965,1.4962973594665527,1.3854426145553589,1.4846274852752686,1.532962441444397,1.3993618488311768,1.4156768321990967,1.433492660522461,1.5348578691482544,1.63275146484375,1.3819191455841064,2.8971216678619385,2.881814956665039,0.8458751440048218,3.1775741577148438,3.166952133178711,3.1694185733795166,3.1905388832092285,3.1800179481506348,1.0537140369415283,0.7779698371887207,0.8162646293640137,2.8232784271240234,1.3032469749450684,2.3005740642547607,2.8558149337768555,2.7509491443634033,3.069735050201416,1.9728801250457764,1.6391762495040894,3.1150307655334473
stanford_dogs_image_categorization,1.283947229385376,1.4282886981964111,1.329489827156067,1.4893875122070312,1.302791953086853,2.2779645919799805,3.623098373413086,0.8312546014785767,0.0,2.549771785736084,1.0923681259155273,0.9473083019256592,0.9044643640518188,1.0415372848510742,2.155390739440918,2.319488525390625,1.9422286748886108,1.2440110445022583,0.849578320980072,0.9633324146270752,1.1302690505981445,1.1369951963424683,1.130228877067566,1.1339834928512573,1.1271637678146362,1.1333571672439575,1.1342705488204956,1.1292576789855957,1.019669771194458,1.6867210865020752,3.394089698791504,1.6904408931732178,1.1971805095672607,1.9824535846710205,1.9366710186004639,1.877732753753662,2.0066635608673096,1.885219931602478,1.9791046380996704,1.990246295928955,1.9251683950424194,1.9218610525131226,1.9088406562805176,2.0428290367126465,2.1049976348876953,1.871373176574707,3.301053762435913,1.2618050575256348,3.2720065116882324,0.7288419604301453,3.0218377113342285,2.116553783416748,1.5806397199630737,3.006279468536377,3.022019863128662,3.0267281532287598,3.0157008171081543,1.1354568004608154,1.004568338394165,1.0010813474655151,1.092357873916626,3.4268431663513184,3.1961402893066406,1.7361098527908325,2.601398468017578,3.094053030014038,3.070782423019409,3.3136911392211914,2.269443988800049,1.2724900245666504,3.041860342025757,1.2834166288375854,1.5578159093856812,1.334871768951416,1.4905569553375244,3.634840965270996,0.8505817651748657,2.477928876876831,0.9332367181777954,2.178410053253174,1.874878168106079,1.2452688217163086,0.8557530045509338,0.973168134689331,1.1192766427993774,1.1253859996795654,1.1622843742370605,1.1427335739135742,1.1235392093658447,1.1172592639923096,1.124046802520752,1.0419270992279053,3.3632330894470215,1.2139217853546143,2.0281975269317627,1.9280798435211182,1.893646240234375,1.9823288917541504,1.8858715295791626,1.9682462215423584,2.0265860557556152,1.8978334665298462,1.8933372497558594,1.9243468046188354,2.0250251293182373,2.097961902618408,1.8716857433319092,3.2795658111572266,3.2678961753845215,0.7150008678436279,3.0068650245666504,2.9996578693389893,3.0006566047668457,3.019157886505127,3.0097098350524902,1.1483471393585205,1.0013290643692017,1.0004422664642334,3.1334080696105957,1.720186471939087,2.6215872764587402,3.115001916885376,3.045041799545288,3.343970775604248,2.264610767364502,1.271390438079834,3.020150899887085
svhn,2.8361668586730957,2.9630227088928223,3.090264320373535,2.9524435997009277,3.3597264289855957,1.7528104782104492,1.7566927671432495,2.3155384063720703,2.549771785736084,0.0,2.1308329105377197,2.337024688720703,1.9613978862762451,1.735469102859497,2.0278635025024414,2.108400821685791,4.053354263305664,3.369263172149658,2.9291272163391113,2.832883834838867,3.250509262084961,3.2601213455200195,3.2388339042663574,3.2520859241485596,3.2393136024475098,3.2447426319122314,3.253023147583008,3.3050265312194824,2.6931941509246826,2.2289552688598633,2.534398317337036,3.8142895698547363,2.8059945106506348,2.679980754852295,2.669121265411377,2.6858649253845215,2.6346230506896973,2.6854867935180664,2.6597206592559814,2.6324963569641113,2.6973869800567627,2.716885805130005,2.6828360557556152,2.6475839614868164,2.6947875022888184,2.7106828689575195,3.02095627784729,3.4853742122650146,3.009303092956543,2.288309335708618,4.458223342895508,2.6555769443511963,3.0718419551849365,4.442688941955566,4.454298973083496,4.461847305297852,4.450555324554443,2.8611931800842285,2.5213637351989746,2.496675491333008,2.741204023361206,4.759029388427734,2.8314833641052246,2.260131359100342,2.145658254623413,3.285752296447754,2.3256373405456543,2.7378265857696533,2.111208438873291,2.2779653072357178,4.532122611999512,2.835477590560913,3.3309433460235596,3.0424628257751465,2.91786527633667,1.7681373357772827,2.2845523357391357,,1.885716438293457,2.0362606048583984,3.997473955154419,3.369971752166748,2.9365711212158203,2.8457865715026855,3.2146506309509277,3.207520008087158,3.2833669185638428,3.2735390663146973,3.2256920337677,3.1989593505859375,3.2541794776916504,2.6769278049468994,2.541116714477539,2.8112316131591797,2.6927762031555176,2.665358543395996,2.688788652420044,2.648432731628418,2.675356864929199,2.6598587036132812,2.62898850440979,2.6936826705932617,2.7393250465393066,2.6927051544189453,2.6367838382720947,2.7059338092803955,2.723416805267334,3.0185933113098145,3.004891872406006,2.3316242694854736,4.439498424530029,4.4309563636779785,4.433028221130371,4.450353622436523,4.44777774810791,2.886173725128174,2.4947779178619385,2.518873929977417,2.8235645294189453,2.2796478271484375,2.156236410140991,3.2972068786621094,2.314295768737793,2.734844923019409,2.0919785499572754,2.2946791648864746,4.511422634124756
