,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,41.15992142969816,101.2721636270717,145.70265390071313,443.35738709556085,427.6331151787944,717.8681900553698,248.5360326054121,784.6533951487711,788.2677015256357,733.5319344036752,700.3371451901965,734.8204328648129,704.9160153102565,944.6212855712541,931.0953171454134,201.69556555453778,178.16444974467657,242.8213064805697,221.91364423763065,90.91472128522864,133.01419297871644,133.26538694137804,133.05575688022003,132.89292414787442,133.6775522842104,133.51257877406294,476.25743644934323,303.6853011579532,699.8500498101555,724.1554998565455,457.5189927794594,618.5500172548999,509.69356409872216,502.3852313229909,506.33189899310565,511.04933377018347,506.6682987192644,505.48894223918535,507.02855080961353,507.17707067739616,508.31610904972865,505.43777765524004,507.6536450498496,511.666171660362,508.53300620037925,541.7010370876353,471.5426365553577,544.4135684160824,509.4717560379372,537.3406841935113,568.8927468043494,527.0577009595265,536.1405515124679,536.2199139649085,537.2883040365157,537.0373763086366,353.35248022225704,378.51468354320843,372.647234367721,507.8271638922748,580.3599622975432,647.651271289805,530.4129765614597,556.90084341215,672.346126349712,625.727823924451,645.7091153188991,609.0312213647316,768.733480356738,528.4575046064772,,44.30465215660479,103.74671393856505,148.039474635836,719.9604041907892,251.77175367361855,793.6483686291447,739.1777039004558,945.5448987975559,203.09540120656908,179.75873556827838,242.42397146533966,221.34651480831477,94.95680104821156,137.76428031435125,135.72606265076018,135.74863629857322,136.5244463514382,134.70056515592347,139.51938567771586,307.40459632500057,728.3236451481229,619.7435417401781,511.1327129154879,501.3217137861865,506.8736208370149,512.2362425845513,507.7186894346778,505.0752013462532,507.3504840927761,507.28972076451305,509.54039374419267,507.9261853839601,509.2563257737954,512.2241706765477,508.4107630748195,540.8270672600282,545.8733494174044,506.7820925508282,539.5285305325399,534.740405221264,534.8763092951032,536.1563456176357,537.6019446571444,358.7203719146909,376.5692252830659,366.35699904879465,645.3760403731819,530.5299313239223,558.5930855444717,669.8447572690363,626.6943274569221,648.8224610773375,609.3656265142793,767.1717759126254,531.5813687482935
lapgyn4_surgical_actions,41.15992142969816,0.0,65.24292859629529,92.25024904287537,453.0011944073089,421.45484962934836,709.4324018659627,264.8784040100409,778.6954631169947,774.1672222679006,717.622094073612,681.140071915285,722.3782698784372,697.0797155166553,935.2983976771613,920.8188302965937,235.84003372238215,210.01867346197474,260.338193183808,222.14226856922403,72.90151864153316,106.73659886942983,106.85833039823046,106.54204384589497,106.7304735082283,107.48492524937652,106.96889448328213,477.5896810634796,264.8395551127374,683.8954155061416,722.8372127301956,468.22034875001265,614.8661111773407,501.4294323370264,491.44362397850983,494.68461827129556,503.5948270267112,493.8580317901926,497.1359261545974,498.91740455483017,495.45353505882855,498.02640788736085,494.7101423606715,500.35951378532195,505.40299361840346,495.37789071186205,542.6096112843362,461.29228159574313,545.7960634406725,526.6695563591909,563.7750694615531,566.4252757818847,532.5154548741995,562.5399153739407,562.8253910464284,563.6216286808016,563.4379734275026,370.51201620229165,404.00573106003685,399.99102434366193,510.57967741165106,610.2302131045528,622.3989418292996,505.6290529653106,532.1729405545024,654.6199847908383,597.9040153239187,625.1059513527073,586.0873670000544,784.1418548339584,557.8632032504214,41.82201223054352,,67.70816912380144,95.30932966604212,711.3916940412107,267.75721330901877,779.9646378920855,727.878050550757,936.0672448688185,235.5642710447043,211.43951929899848,259.5359684340848,222.08827468405053,76.61585737465577,110.18018451517787,108.96771329279161,109.6970010213484,109.9113898690486,107.54982249876417,111.40999977345052,268.14467883932605,727.0046994960661,615.8661726857532,503.2734297475672,490.66588010034377,495.5741351185626,505.0652348278868,495.26425635209176,496.67215639385915,498.93740222338374,495.29322094820805,498.6098239545891,497.05844252440147,501.9688947601884,505.46862811353446,495.929911527357,541.6020362100185,547.6002308081419,524.4932752097707,566.0760063884816,561.232064062557,561.3273329706249,562.5659833197944,564.17537718265,375.84250220330614,402.2235501446092,393.5957284940492,619.9857803194697,505.9896561347948,534.0382452571362,651.6725634909789,598.9977037215788,628.3221367401432,586.3342321970688,782.5706204924587,560.9918089381529
lapgyn4_instrument_count,101.2721636270717,65.24292859629529,0.0,21.39278820549191,498.68275175836834,464.03825865303634,755.5830728956853,214.52295529497246,834.8616766712651,819.6908170544041,776.800063113732,745.482419553962,782.1243712120133,762.618314820407,996.2814539861154,982.4907372762594,219.20111766893106,180.35903786725157,215.52736660106993,201.2414981583459,47.13359916019925,40.048460187915566,40.27756876302675,39.565555890602326,40.2976335850575,41.48177733690804,40.9322798791103,512.1263686562827,247.62409327330369,724.501130964248,760.2178696928802,498.49956736561353,652.7197301133785,483.6411206073369,472.65630112147346,473.98002577124055,486.0804994801766,472.4819325455362,479.3724315797458,481.5483314257464,474.54499726585846,478.6334819433745,474.78112380646417,484.2618118462987,490.9742427893419,474.07338524737935,526.393948260848,483.9601233172944,529.9884099780699,599.5284419451743,549.1676838444353,551.7715697054826,522.5620925105488,547.8831392831638,547.6566056733959,548.8251823183621,548.278266031111,404.24190513515236,446.0070610590617,442.50312361032655,521.9992300215288,602.2524025741499,634.3810172032313,510.4899592800941,540.7641480552254,674.8940044364347,616.2170651851343,643.8921951748556,590.3891264451008,786.8167862474387,551.1969527852121,104.20702440597074,68.6885421467253,,23.629302888643053,757.7758917301221,218.47056683878606,824.9429906686867,786.628490564809,996.994047049092,218.75678261271875,181.1798645238673,215.37025342067776,200.32909080401984,51.82812436734662,43.93982358421266,42.05241101789386,43.30643762474426,40.97041591068634,41.081726349884775,48.17718825996565,248.18189244744076,764.5953571016685,653.7404766692355,484.8970977521628,472.1196473857733,474.9729070769441,487.80466352396445,473.80031226803607,479.5026554371336,481.1795932997152,474.92110337488896,478.4834629296339,477.1408553238756,485.868579805374,491.7704687143045,473.7353397376849,525.7366342718459,531.2831483166908,596.057702271532,551.0383738749592,546.2653080874707,546.6776499162467,547.8903840808794,548.5796811955341,409.6809177611691,444.54446952928186,435.625018440054,631.0579576713983,510.90903059067546,542.3252184082472,672.6454050726225,617.539842281058,646.353769131722,589.9349800757378,785.5251907291329,553.311568952227
lapgyn4_anatomical_actions,145.70265390071313,92.25024904287537,21.39278820549191,0.0,566.049062473436,521.1548386556047,802.3011989962652,238.68438689377047,885.4465341704339,864.9952729216602,831.0766463562394,804.9318739890217,835.1454233208315,820.0634368575901,1024.3844205591656,1013.522022488783,269.5939801101935,223.45175045559034,241.1018781419873,231.82309757141468,81.92542218900641,60.238428350722444,60.22634715711868,59.12023572810341,60.63517357619591,61.81243496097744,61.218465792218836,576.079851032408,257.6261618205991,779.6631986661592,798.0235295352691,554.9472781415097,675.0333135406563,504.00472856266754,491.74060243086217,492.1829140421672,506.9277508590534,490.21736912845995,499.98727861670545,502.528242162233,492.6960761823917,497.2628839182421,493.5168704034901,505.6721587549479,512.7760024858372,491.0415044025429,547.7990115552279,528.9853742413743,550.8209283938777,673.6000487146857,584.6471826858905,570.7380235823211,553.5201821371542,583.5292552442963,583.3274977684576,584.6177675144919,583.6521981803216,466.7382311097247,513.5395620881848,510.6769330524586,559.5976549335568,631.8888787768941,660.9663390451246,538.3723781993274,570.3770012765028,703.7226288520295,646.5275463378815,677.1813885031663,620.6478279910305,837.59361207647,584.618244566163,149.10996711093955,96.97588679071566,21.495357679620952,,804.2875869983773,243.0860022848699,869.855484792093,838.9572604747633,1024.9660013059245,268.6090453609322,224.1107984883962,241.13931295889304,230.2928709328881,87.13372696154849,63.383192172983996,61.14062022305416,62.72711754158598,58.82328132173403,61.27330790795861,70.52266294219629,256.15339698483047,801.8990314462619,675.8340060088669,504.7698403209962,491.30613635337517,493.0729231667713,508.56934820619756,491.3441914186528,499.95352739647035,501.95286510578865,492.68372546795393,496.26948326656986,495.56713882277415,507.65228781569334,513.4623106767232,490.62953338273815,546.7145840535256,552.0468451753343,670.0451285059229,586.1216216814597,581.9751781057757,582.6239621201155,583.8127372401559,583.8990117489318,472.136152091786,512.339597153398,503.0540168619929,656.9201773124756,538.4734255262265,571.5979485003163,701.9257959219794,648.2028272493998,679.2346097365673,620.0063261871437,836.238986832709,586.1961885607113
sklin2_skin_lesions,443.35738709556085,453.0011944073089,498.68275175836834,566.049062473436,0.0,370.1617790747519,581.0535730888665,518.7984816086007,778.6572342244956,645.6429641738646,701.476866868053,652.4315511304712,643.7562185837376,586.961045101629,794.5436361499906,779.9330042559686,337.7798859180977,370.8888673069553,506.4355968759561,392.0566257694893,437.2654865998712,470.1560070111641,471.51953382038306,471.8537228803923,469.7484719099883,469.3119247046825,469.5151207265262,155.79110942921363,500.6011764833987,472.1008065016061,634.2454430811202,223.08397379684206,639.4070897562615,573.4781300710522,571.9716887861143,578.237523252862,572.4349202898036,578.7368319296509,569.9788437789107,568.5289643298654,579.2626704806592,578.7062472780449,576.2551972805342,567.2588310452664,573.5070460649683,582.1484831332401,607.6936450551337,173.25071584189305,609.0955692168087,162.7285897334869,524.4473769966839,615.8515448966515,581.2237540597424,521.8919087334755,523.275725323651,522.6624836879035,524.1210781684616,280.04791000086357,286.2664691350722,285.2585537428588,495.0539072006836,565.1518955590997,659.5344591520018,583.9195126870973,594.342436905847,658.3774291110657,631.6240207783774,643.1884108429135,627.5239196385462,585.7320067056984,515.0535901819745,441.65167215257696,450.09865148492884,504.5883962804984,571.2154208002567,582.9500818188127,517.804945087755,650.7279412863123,647.2180385240381,795.3815836453499,337.8947596382461,370.465525880392,505.15206324766086,394.9545652314288,434.77271525584104,474.1177181583888,475.14924581218963,473.0490073850517,478.52083257176014,470.819592432867,462.7393178453107,508.1505818218405,637.9883864345446,641.1918243880734,576.2070367042529,571.115355624,578.0600632852147,573.386247645625,579.7323461546707,570.064587838861,568.791580008006,578.6086449562691,581.6302030113927,578.333343659282,565.5300289377625,572.6588387572025,584.3921539631541,608.5050347945387,611.6252906714678,163.07244221394558,527.5324935301979,521.7939576556608,520.273862306314,521.4516895527308,525.0018585681514,279.94379158312853,284.6577524142515,285.43119207340806,660.78799285597,585.411407431842,596.7828988263443,654.184842539855,630.5984329634114,646.7189657022147,627.6083006632444,583.9333846719111,518.0515136646743
identify_nbi_infframes,427.6331151787944,421.45484962934836,464.03825865303634,521.1548386556047,370.1617790747519,0.0,319.69861802362846,465.15167472417784,728.2209688716916,406.79251385316013,625.9038270164434,595.5452529683353,468.37227061357385,414.28001989866544,608.3045831705446,588.1099863209021,363.2438028475105,395.54569031441594,450.2599157398926,364.7359164466656,398.01273530823346,418.46775843275225,418.2956136545416,419.7901140996723,416.2982101917796,414.58878309283625,414.860753157293,320.81722462699196,418.237764786868,299.0219335173239,534.1352012195771,450.4272699164547,593.7223754824535,596.4092276107676,590.4144895623688,593.8480778233765,599.051666028628,593.0715577716505,592.5076696177663,593.8649886364151,593.7091016729195,597.0050917718994,593.0369052668641,595.7722983959402,617.2393618919656,595.9392868163404,624.9320889170559,329.4213983411569,628.0634519571407,350.3698846865617,572.1033569110585,661.7544220165807,624.7884985123587,569.0454970450579,570.0429713945006,569.1486605486474,571.8749890289693,246.66220859648402,254.62563871161774,255.44530987016418,426.46709424809916,605.4464253568805,672.4550694751711,563.664725044455,590.9219806815033,678.3835039158066,634.2398549546675,638.1924376198106,631.5903813431053,742.5866496407987,585.5225540959534,422.97057901075834,416.4306806493272,472.43749593874287,526.51672784777,320.9680546095321,462.0402336460089,413.5324470421659,471.24436577557947,608.9436558778148,361.50691528645984,395.1413894446891,447.54191374577755,368.8124236676353,390.28778167750653,415.86094985101494,423.34490467962655,420.5692045672059,429.84686203611227,418.97146006069653,399.0823187274554,434.8067786765207,537.3267340829464,595.4283607586948,598.7404268241162,587.2897676815811,594.8570508356275,600.5510060066186,593.694604512161,590.0755320610772,594.7548614954728,593.4320907969125,599.5145481409537,594.9161704426459,594.1436538103517,615.4508422411257,597.3797164918195,625.9837008236115,628.8886845603993,354.0962727148128,575.558258603428,568.4264167219841,566.4543721864565,568.1811183433896,572.9464899543067,246.41054007493474,253.73188136398795,257.3290979630969,673.8475703020127,566.6395394650765,594.0941265667784,672.3848169932132,632.302673746405,641.7782328446232,632.0234412687827,741.4051158640247,588.3083962158418
laryngeal_tissues,717.8681900553698,709.4324018659627,755.5830728956853,802.3011989962652,581.0535730888665,319.69861802362846,0.0,727.8456700864194,736.4502573197336,129.92092022969769,600.8905094846572,597.8308478936128,301.93018353392574,237.68006703455734,360.4340954605872,338.80785906600386,666.6320668720894,696.9740259917771,704.9088046382535,675.3184223790632,704.196556985301,736.0668411715543,736.5306166171074,737.1330383726523,734.7540852927436,733.8584132549921,734.0333419908883,502.3549080092773,698.9412193857557,374.54441143188654,535.8995881728565,572.4330345559308,698.1562637388251,772.0398911087163,772.8865005811501,774.8643356652196,772.834559450725,775.9729621945116,770.6490288047617,770.5969565291355,774.3075619410889,775.0647347643754,773.2109690254069,770.9584496406873,787.3579776559567,778.1351510857501,776.3248440647308,540.677681117986,778.732504335773,445.1382290629463,758.7186039554514,808.0381792549863,771.2117179774514,757.2385623954127,757.7637047049978,756.9439390432913,759.3331841899472,368.78461362115416,337.1185331614271,338.7965748377319,616.1046230022748,749.8882378681282,759.0635915050422,699.3198662103838,712.3980127407433,756.5204713357058,727.1798134558084,718.4733902347061,735.3287613977054,807.2236956983916,785.4872032607188,713.6354138275328,704.4314882708758,760.7004652531251,806.8523365921918,,724.9667936702484,135.44040861495108,304.3957799843842,361.2681853443125,666.0622144141668,697.6174600353233,701.5958499059469,678.4832785459087,699.1179968776177,736.2138487531882,738.8508694971972,737.205067313397,741.7309456322143,736.9463736512059,721.3336854465855,710.1376290282528,537.6708339285672,699.2328380960162,773.518537316879,771.3329354528987,775.8662051845135,773.0667866408812,775.9413354007779,769.4496043067214,772.1470264971964,774.1150366231506,777.308630234331,774.3261265435472,770.9316658042218,786.8174058067116,778.6291674160705,777.5485581671068,778.8341190259081,451.54272657401185,761.7707886844337,756.9773819760418,755.6179569256763,756.0106266093175,759.8073189337163,367.7033042533786,337.690050564039,347.80232651024136,762.0425425514671,702.5855108706126,715.4139485339078,752.8171756383717,725.0191099104047,721.8545183385372,736.7274634550688,805.808019894527,788.2040346414235
nerthus_bowel_cleansing_quality,248.5360326054121,264.8784040100409,214.52295529497246,238.68438689377047,518.7984816086007,465.15167472417784,727.8456700864194,0.0,863.1353539871621,791.7445204152922,786.0213623835176,758.3978661936931,775.3478322995566,749.8305802824277,934.4398332881556,928.3802642488042,138.54333643217637,98.29120122583245,14.785930472209174,98.12792286992558,177.28374606063653,166.42214038719192,166.76651471301426,166.41655096459894,166.30551977603417,166.28635445836989,167.062887708144,495.9984580831082,239.73460496991993,707.7462873028531,719.5967930993844,513.2761523264825,605.8919451680132,469.8337933518628,461.3740494642826,464.48561853864055,471.8530515048168,463.1704827192903,466.10831184965866,468.041343791132,464.6869924852903,468.0621606182612,463.8631929927184,469.9337858917539,487.7282546433718,465.8442792702979,502.7316125959831,477.35431309910257,505.42433146786465,610.5938033978106,462.39292884196345,533.5462027625576,473.2493561094342,461.12586719030816,460.9817431669279,462.2925716395306,461.7029140843461,343.22849087266684,384.3136637963733,380.714385394956,490.5740909061145,521.4457695699857,656.6320357605316,520.4274022794968,569.0513750470766,684.4404709041538,650.6150685646943,649.3906917665163,606.4990972017608,808.8644591013276,480.3951925713827,250.49758324610974,269.6625257246917,216.86651798091245,238.1225028831377,729.5055905767878,,795.9277249407053,779.2192308230716,935.6828238567828,140.79748730976058,100.70601208080234,15.328086895558755,97.02571767866644,178.5328878293602,170.22949537292124,168.0151024178603,167.21985922255763,169.04249531745262,168.5131546887537,170.87946189112813,240.10418681184157,723.7539018042453,606.8695083386227,470.894642808311,459.0096953695454,465.2496124026772,473.10985936002425,463.619438716117,465.8916027181704,468.1365518393367,464.44207751416485,468.5247703805725,466.2822507823694,471.53678864945095,488.8202856992707,465.68006799968606,502.57848089201264,506.14605685060417,607.8154068741335,464.288694968937,459.9868816859016,459.8566141020151,461.7793181803338,462.4391930127166,349.0924047628516,383.45256888647367,373.37462687787746,654.3468696741502,520.6690737807146,571.093074259166,682.1470833340818,651.2112970304528,652.0563362745961,605.9967104055119,807.3800364218863,481.8665994812705
stanford_dogs_image_categorization,784.6533951487711,778.6954631169947,834.8616766712651,885.4465341704339,778.6572342244956,728.2209688716916,736.4502573197336,863.1353539871621,0.0,759.1018683741859,436.0708760707378,404.5967591898841,462.4580693788499,506.44246853711013,921.7114829641147,903.4551834165818,792.4425846816823,804.589372481486,857.9195094565079,800.6036493845018,806.9765520198168,845.775439128857,846.4256560563413,846.3396636561877,844.6011754517303,844.3696831155714,844.5528513398591,714.6595853131743,823.6854902793056,768.3862855498725,819.0228461688723,772.0545696137754,850.0485643493685,869.9408191255833,868.022223925102,872.0798548895069,869.2788112636067,873.4520985077733,866.3304715035622,867.201983672658,871.6260487321267,871.3661474169917,870.1119727113352,866.0437464307932,870.820300971996,875.1180321010744,884.9657768020696,778.5550859146974,886.6616318378406,707.2752014715998,913.4658197807923,913.6498810888193,853.884821775436,912.2049653059364,912.4157551535552,911.9254124622469,914.1070207318096,719.7042889106816,701.9235753245623,702.9103167070883,863.0288900505982,937.6087424264507,855.9398232781317,845.1594122109944,823.7832331683003,857.3308928636352,831.1503866272587,841.9217345170478,853.7560891405617,795.9229029388755,917.6994694307075,783.3265843665513,778.065082418982,841.5620678199624,889.6140842856793,738.3400929590383,862.8110888831969,765.4240259045539,472.0030903764906,923.6338367634753,793.7879619651667,807.7583974222692,856.352720518724,804.2228867737397,808.0047884228408,850.2050762273889,850.8805924723945,850.3293809222928,855.071516570373,850.1046185688552,839.7157780941296,832.2655876680183,823.3499352380686,852.1700366980859,873.6144744285104,868.0805758471763,875.0749647032046,869.777963812119,874.9909110340017,867.8772762734854,869.6535891152665,872.9227475783503,875.5382168924224,873.4230163458697,867.6334365814904,870.9337994942862,876.0076213976237,886.1688265748647,887.726124050529,711.9791028768419,915.6040776673825,912.441188135721,910.9553753287644,911.7438684001047,914.9326928184249,720.1186101045402,704.7220287541671,708.780785764568,858.095390327007,847.9965448157916,825.602313822626,857.0393548588683,831.0526410944509,846.4822142639989,857.1739972215779,795.9118903106435,921.2602047614284
svhn,788.2677015256357,774.1672222679006,819.6908170544041,864.9952729216602,645.6429641738646,406.79251385316013,129.92092022969769,791.7445204152922,759.1018683741859,0.0,600.0841964698946,575.73760544272,294.9830904005484,225.73313361680493,296.7126499563054,286.8539613024032,724.1619873273788,760.3985898407193,772.2631324883879,729.860450788294,770.0085900623563,800.9508105955966,801.4758787485589,802.2678095929372,800.1066526121317,799.1552376693439,799.206787951631,589.5403083797086,758.8702537350553,423.1440519292573,546.1578666225596,663.3691838926452,712.6271125382256,795.5646994568954,794.3305686654013,795.9028127823225,796.6366711772203,795.5296714055747,793.8300121600299,793.7906815284811,795.0267898797083,797.1391507221749,794.9455020509045,794.7674085373811,808.8628364787163,797.8100186025322,806.1766132549258,634.0940490677012,809.2200991632327,522.7746431013923,794.235610941139,839.5078571849666,779.4719399868629,792.8523932215096,793.1752987441698,792.4518057054645,794.9732368337656,472.9967146641561,433.584936991297,434.7443933045954,654.8254694904067,794.6784117140926,763.5104280420956,714.0366513333021,725.6195154729809,761.8726276040392,732.6937998406925,718.7999457695867,740.3049122330765,849.5040658831105,828.2879896217055,783.9341791646826,770.0836767568418,825.9065432234763,869.6444906574843,129.03997664721558,789.012922503689,,298.4830278845485,297.0782654197861,723.7096501317376,761.4325599970226,769.0994761088261,732.9094249873418,766.2559338889934,802.5432480625382,804.8500157343196,803.018972269629,806.660598569666,802.4266026978827,787.2986401718068,769.1192419994093,548.2905356461348,713.6828928869332,797.4122241683867,793.1168698006325,797.3712848174528,797.0153684298248,796.0026364489158,792.8495539750699,795.390648619608,795.13521334917,799.2526863185656,796.4497994629102,795.2277268119981,808.4990700757241,798.7729581467047,807.3324926927347,809.3945778516619,529.8337183883575,797.3673650920657,792.6657056623771,790.8728830514833,791.7185746241663,795.3689398674898,471.6550042536729,434.81657910268814,444.53301617765317,767.4578136393884,717.4499687759011,729.1470525490629,758.5473540196247,730.0774158787513,722.6443421083399,741.9711321422408,848.7181056069991,830.8551849861294
