,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,853.6157158330516,1026.7491186343213,1532.1311579975327,4762.3540445715735,4277.121351526825,6311.6563511491595,3183.437729505742,5856.515451301925,6707.865298915456,5192.87339534965,4883.58406377517,5641.214708599011,5332.08958210226,7737.270920995099,7704.186941047004,2477.8270827093074,2500.4372803974093,3430.8383236410064,2491.257494614275,1562.6746304076378,1572.4335751092112,1579.5499979700721,1561.908174180563,1571.6578067996184,1581.131349484097,1577.8474213454583,4841.859343193887,3626.0778723601907,4927.410189507599,5930.399108011944,5333.5281677123185,5698.607114681816,4894.961964372008,4881.930084128486,4992.208041137331,4883.536580332353,5022.898282521104,4865.103676362494,4853.527960033472,5029.717761441831,4977.140796162579,4945.710712208112,4878.83359236041,4864.195321976183,5049.415129077177,5681.676459175774,5455.191670826013,5677.402609999022,4705.968511702287,5605.854028250587,5785.586289718878,5470.542525355591,5605.924284119462,5588.384600598605,5611.103698021374,5605.284649043902,4057.5150917846727,4217.4086943181355,4210.53922071105,5543.22301921319,6239.0327447792915,6202.203573696353,5180.43677947257,5530.889436028101,6207.115623089153,5918.6627736026385,6055.795552122396,6106.413427795459,5942.294919489573,5408.737104974546,,937.9253877058691,1091.7056581096358,1570.5766876682842,6336.39920330536,3247.123039013182,6793.925457411241,5733.937424376172,7745.181142304186,2523.4704739074637,2552.8898884516825,3429.2906806778005,2538.210215308606,1666.9044640580692,1700.918245492293,1661.7272687548198,1690.7421492122385,1677.0344566063004,1667.607853520426,1741.4644881441259,3706.0075635173616,6004.856867832781,5721.205481133735,4960.9885990231,4957.596905267295,5040.69524204484,4945.372127415978,5056.232264947881,4911.426220527103,4895.186611320725,5058.105938066633,5038.268902947691,5007.993253177454,4908.404683758992,4911.474235606479,5087.633592871838,5703.685212405113,5701.456409234489,4764.652285655739,5615.804499715181,5620.962861224422,5616.249169817597,5623.970768724515,5622.606479653754,4110.421938799684,4280.241583546777,4289.971439010766,6272.348140218459,5235.237297409609,5570.93990951233,6219.864700429887,5943.6292672729505,6108.935928269409,6137.964556350727,5953.4965212331035,5417.391677752241
lapgyn4_surgical_actions,853.6157158330516,0.0,451.40082703102144,638.5665583003229,4504.214819278687,4238.0550910642405,6159.156800440359,3436.9565883135097,5413.822876678789,6501.315127568738,4540.490773862391,4179.609875804064,5248.770813317053,4933.861768756756,7519.072269110254,7502.047770845929,2786.1841007044495,2828.8096778998447,3708.5195297610453,2594.1756286125815,1203.741894552446,1221.3027306043596,1225.1068593229243,1212.6650834092843,1217.430515458851,1227.31742781086,1220.1715804965802,4426.100352333537,3420.863420070562,4649.955023245881,5708.591110193194,5040.652009833635,5369.618914696608,4765.751690370602,4731.974472953796,4838.6806756244205,4737.512843659345,4876.453751523195,4721.507047497264,4702.615726319316,4898.972104069411,4845.137633912391,4796.776042468362,4689.446897268417,4701.440425829093,4899.21381110023,5766.939414137019,5133.689934142232,5773.237882437859,4517.687680429644,5715.8278290693415,5868.0731905384855,5305.929304058179,5713.746474877475,5699.199037103233,5717.7476725640045,5716.049799796914,3993.4856603635317,4247.0564625057095,4253.874022422887,5016.534181660651,6326.607279534203,5943.767923193915,4999.78365724207,5246.725011172365,6030.31628196527,5590.704849290742,5740.882589376261,5838.57201403404,5724.001088290153,5511.038704156019,912.0407875946139,,542.4950198667366,703.4975629152182,6186.89265707297,3499.59260550693,6603.371899150621,5364.608145307485,7527.413544338657,2848.093757564477,2881.137039109509,3708.610705288254,2654.5435274444785,1339.1889631793715,1342.549737682917,1325.0454867558924,1342.8556659304763,1326.5613712365703,1321.9040348479784,1395.5323085536584,3505.5309172434736,5786.7882374523515,5398.056054379252,4839.048415982364,4819.096206464717,4894.495672436006,4810.293213378812,4916.4883038203925,4770.186313849,4750.760710528466,4928.708114254402,4913.792653600039,4871.98750355322,4727.638194435494,4748.875627587432,4954.70449323219,5798.747593539567,5808.212276662658,4580.114576155689,5722.720266059833,5729.492376584244,5729.694556056975,5728.232958688732,5733.210211682104,4063.052138279099,4300.756434811464,4349.3708957977415,6019.318867991895,5067.012679182484,5284.307026250206,6048.277066309107,5622.64428631163,5809.285779592912,5869.820010302197,5737.081600579147,5519.81069632307
lapgyn4_instrument_count,1026.7491186343213,451.40082703102144,0.0,540.22835999074,4417.6829495393085,4105.056678180237,6013.001520562202,3136.7367670617696,5378.143323939192,6293.329090367402,4580.916212904816,4205.404305454797,5151.588625205418,4823.307389726657,7422.220180865327,7433.3255997811675,2570.2568073287266,2627.6166335263424,3485.6129535843575,2468.1651892905206,774.0501134486208,708.1849978618302,710.685449863995,699.0910837496813,705.1025440924636,712.4604643321159,704.743540954953,4436.023574680771,3378.129715962792,4537.967901443753,5615.366328374771,4995.7149431430225,5444.058631289064,4620.869945107604,4591.356684847516,4709.461488952961,4580.951162846832,4752.500605554651,4575.921684729925,4547.736066179128,4773.118547989842,4714.649046793677,4662.695310614603,4519.522551200942,4657.277560243807,4782.942003766382,5691.926717703181,5171.7288905453,5710.102781402276,4618.18597973025,5515.852113243956,5787.043173511304,5226.249152140966,5514.271036541766,5498.337272862613,5516.667615083164,5514.592693655637,3853.9248736724207,4119.5454994641295,4131.969327125202,5182.9126264519855,6132.316463672723,5713.113084346423,4712.061081766614,4994.967694896032,5877.152396251466,5354.625061902849,5541.184788989522,5593.194185551864,5629.569149221208,5388.885208033133,1087.0994137596176,549.1702178944929,,608.1970631219519,6039.225344681074,3200.8944622639406,6393.159104152999,5258.111535595534,7427.9729183108,2634.23923457556,2672.9500717905466,3486.639154261365,2524.5906313608357,905.922155977998,829.5691004662922,817.0470466319252,819.5268051150852,808.1363917464682,796.5106693242278,866.3899846661475,3460.36353710808,5690.241526048702,5472.504808885782,4693.257644428015,4681.928134482721,4759.242760449795,4653.824592474388,4787.767647370285,4615.783743495129,4595.704706443733,4800.147046508511,4789.64652803502,4735.263317690564,4554.386039899855,4705.155539233654,4835.090034526323,5728.519475312485,5745.471098718892,4678.752249335046,5522.344840970873,5529.723993421692,5528.765145590696,5525.4990106091445,5532.817252437492,3920.5570262504725,4173.523957352273,4231.201538254725,5786.303075903404,4778.446153163919,5033.252335947023,5895.828078909584,5379.981144407491,5602.221901143204,5628.608734958874,5641.852452571757,5396.561235965955
lapgyn4_anatomical_actions,1532.1311579975327,638.5665583003229,540.22835999074,0.0,4820.926320077564,4632.748624551576,6381.0267913590915,3755.5359905377236,5667.404446772342,6693.97313585831,4926.352934928224,4622.354662356226,5587.791737909887,5305.852630900161,7669.130875591895,7693.909526775404,3314.4419942836175,3357.5717263364886,4062.051377216146,3045.822118852342,1427.1441788117186,1388.3469167231897,1395.269422046682,1380.7994518100227,1387.1309370298568,1400.5025008523276,1385.2037209175264,4809.727237357703,3723.86732799119,4983.6622495530355,6083.366358941345,5333.325020982983,5691.225361363505,5123.3822184371475,5081.485396530302,5180.793895446567,5096.84057229434,5213.75105042854,5080.044765556186,5059.911600211211,5246.354233997228,5192.469387482002,5149.5327102672545,5028.64117606455,5118.13895062492,5232.9777874903175,6220.863037154337,5451.001637209252,6231.86685680133,4967.107672692095,5948.619042599301,6310.379363043935,5679.264177944746,5950.250792135145,5937.403775465447,5951.362614471359,5949.561710991015,4502.444245870805,4765.800262450981,4777.134081127526,5479.626776660069,6467.548478441033,6238.485584264945,5332.3448485931,5477.087334540371,6372.095160743529,5868.7641460269115,6062.406946958365,6109.8064048579,5840.1487844505145,5838.0904011748125,1589.5063722095206,741.4528492929248,626.712000228249,,6404.795146983675,3815.296204724659,6784.627961930213,5677.510802896926,7671.866842659218,3370.302236558532,3395.8936769510556,4062.082461489064,3095.008387864054,1556.3163536179873,1492.3972921065792,1472.2811875091138,1477.7434993025377,1457.085543177991,1471.1508232849833,1545.6997542158356,3784.6055893775974,6153.261798429427,5714.513557678036,5184.349785016389,5162.033547650123,5227.525425196134,5160.887678830195,5241.39419774905,5113.992251376179,5097.324873670503,5262.873689089815,5249.131713655544,5214.290826076081,5062.860387964814,5155.322116112688,5280.478774757181,6253.843756005479,6262.453345874574,5024.409091176729,5952.344160574842,5961.548689103171,5965.305877211265,5957.814652529356,5962.986354423575,4559.575367241684,4813.0387816979455,4860.240747879012,6302.543998330176,5386.8067642739925,5509.662463876272,6385.866130175855,5893.538760914889,6125.661489999776,6132.361851362024,5851.883380017876,5841.436452548032
sklin2_skin_lesions,4762.3540445715735,4504.214819278687,4417.6829495393085,4820.926320077564,0.0,4824.663253009883,5464.440778996611,4647.304033380744,6031.160260431412,5969.29061488626,5519.098357734469,5246.518963627259,5632.583813167419,5191.763045974428,6733.137748861265,6713.248629771098,3886.365826347642,3759.2177458001584,4865.770763055098,4497.796836439859,4404.078831187116,4372.692912843832,4361.429737263577,4365.5486168953685,4366.9910504720665,4351.323184663859,4367.744800057915,1907.999256984126,4863.51636983083,4681.231977389207,5725.3122388138045,2456.1485428405813,5585.483781487772,5044.728700028025,5008.293970129223,5131.009839383632,4963.490275206446,5160.677402358066,4984.335630306585,4908.471812266208,5203.296614133085,5174.270996027043,5077.863663773792,4843.472297537148,5214.746142839426,5239.130497563428,5976.481183696058,1914.100113562573,5970.456533024149,2011.8601925737948,4717.807560825596,5932.464773497043,5258.566342667375,4721.473299335984,4709.36070702952,4720.150256698666,4717.169817113102,3406.0187003278133,3299.902728269165,3327.257536923421,5578.519884043537,5065.396624441008,6436.773765866662,5567.275385655546,6055.2273412245095,6711.971580612068,6336.926043127429,6288.551082282677,6287.479385452022,5740.052097182643,4200.952047210047,4787.495253364521,4557.4872868666625,4489.796936633297,4849.574886167317,5484.66614826539,4652.353316810868,6008.908074469411,5701.834456532313,6745.598405574599,3946.092631322983,3771.171183474845,4885.318449423743,4524.086625437121,4425.395167121336,4447.056574250588,4424.270408495583,4440.577959708622,4444.906820694595,4396.898462117075,4407.401020555622,4951.9194544023585,5777.473479673051,5594.588970930033,5104.931725041642,5080.803830696308,5153.114675408213,5014.265340777229,5169.499383072365,5002.10311970234,4939.865773428266,5190.454785062167,5226.5559417018685,5129.777629802296,4847.210014499311,5241.575885994305,5276.730996447492,5991.14321722479,5999.597163331267,2080.4924364071667,4717.895089281104,4734.884687538696,4737.969821266366,4723.104947103511,4737.450165539644,3412.5288461365235,3328.8846119005357,3369.9397308185726,6495.003779610503,5606.873945269928,6080.121838468041,6722.434324923081,6362.789481974668,6319.911336488567,6317.412499388176,5750.315382353838,4203.811871172957
identify_nbi_infframes,4277.121351526825,4238.0550910642405,4105.056678180237,4632.748624551576,4824.663253009883,0.0,4223.37972575135,3831.2277657808927,5680.601277346061,5133.396016855399,5245.319077725917,4851.998923152181,4954.700581229457,4592.587288638272,6890.9426702698765,6822.446931840225,3791.060382130592,3576.4991491042474,3963.195510297856,3444.9840823419463,3873.6597028837787,3777.3901977758132,3768.5923407740283,3794.060865854589,3778.8312063655458,3760.632196775875,3787.0159807022324,4581.2015431399195,4031.964904075029,4283.048450496721,5701.594134156569,5100.991763921475,5629.520924496154,4889.633858932045,4841.660272149838,4942.98578414709,4899.239658296198,4950.052868281746,4854.753506555639,4859.475253390336,4967.5286908008975,4961.644842467956,4897.467466333828,4860.723323391912,5025.717063328037,4989.269478112019,5459.053261695306,4998.245566084485,5497.498927141021,5008.7476206978135,5233.499297140783,5744.2529159225005,5700.891356021846,5218.925788516955,5211.816931412858,5221.67963491539,5229.794729855137,4194.852080454581,4310.483838740033,4301.137278378589,5078.766308294355,5746.877882950799,5644.7115764224,4483.4738261321445,4977.182343017566,5816.935688000212,5375.81771937858,5302.111768262514,5264.87298712887,6022.038542633655,5248.038185843101,4301.56033541575,4303.597391616951,4203.199813765945,4673.918918589749,4237.3707843917055,3847.8621138791736,5210.480435097298,5026.635353124568,6897.934092246329,3839.1920063159314,3601.8317615627393,3971.858466149819,3486.692952645315,3882.2742802013017,3829.0463990704247,3881.089848095655,3865.357303555387,3894.841430877309,3829.1507213721648,3769.0899746884274,4139.3289718905435,5762.05118845108,5641.661376564574,4937.0517648978475,4896.84218024735,4976.985998234957,4959.784376288455,4964.956143029885,4881.944540762492,4890.0577419230685,4975.969602511994,5022.73785468805,4939.7237532820045,4879.891124349931,5060.341546322787,5036.550213281154,5486.203720968243,5519.478506565671,5057.051111307892,5235.361727540147,5228.656573774204,5231.519713797332,5233.29279216581,5240.304016787821,4245.466205482635,4353.041155660181,4336.368150446689,5705.1932430925435,4534.127228776768,5019.226206561865,5832.278019615212,5399.44812574657,5335.753829479572,5296.479545846159,6032.001384997702,5249.030967713799
laryngeal_tissues,6311.6563511491595,6159.156800440359,6013.001520562202,6381.0267913590915,5464.440778996611,4223.37972575135,0.0,5577.461562868193,6091.697034867476,2814.9566696051543,5442.461589771252,5286.874461778019,3604.121684154683,3281.957266198352,5305.592807129219,5275.7217636408295,5605.69916580143,5549.554127494175,5756.19144117284,5721.232298123603,5666.127801942806,5692.313264873876,5686.71879410016,5707.86149050522,5692.91341257942,5680.334220970421,5695.283733886324,5190.251715285531,5753.371291769574,5648.423717560279,5891.039497927806,5627.447115974908,6384.912494460255,6112.980030818628,6083.17304239492,6133.651643876246,6115.1956299035355,6127.057991016195,6093.131907965343,6093.412752856707,6139.712232993861,6157.776118128004,6104.201518834805,6091.095161673566,6229.047855280087,6155.8444662394795,6117.059510057612,5662.169962067339,6160.146857395718,5084.420886020958,5927.0746236173545,6528.523227037952,6388.346676396553,5910.067142972222,5909.100415645323,5914.590949728263,5918.809453714703,4941.701159434753,4896.131253692799,4908.620041937187,6112.116843620683,6250.424881491605,6194.168255825041,5512.984567231759,5895.465168251898,6346.491659623738,5976.333528868483,5817.351915037739,5867.89140251908,6569.197124905392,6034.960379339936,6346.08787218741,6192.978824655917,6073.151880286336,6398.60664716415,,5580.723221496615,2878.372288023381,3662.3542852997507,5303.25197276366,5648.5461257320285,5581.298486397134,5771.398677624287,5751.840394030449,5671.8756559925305,5744.516355042158,5761.39720565382,5743.924016057987,5771.566368098918,5742.472545069519,5678.406047032641,5843.121996161048,5916.28667207823,6388.972813435894,6145.736532193103,6118.568209168599,6157.398963029787,6154.033006649681,6134.985531015347,6119.254426613084,6120.43076685557,6151.350474701858,6204.527464750304,6138.529680973439,6102.346048013886,6255.50657336661,6197.769915637079,6142.007685711208,6178.070465739492,5115.941978585164,5932.053517063735,5914.67472592502,5915.590922607256,5925.058751531596,5926.191903495276,4952.395636370633,4924.637386242952,4953.13445829489,6246.318803044304,5536.1550861389205,5919.20266393824,6363.7333130309025,5993.639667318186,5851.781399686426,5884.205163429901,6570.962758712589,6042.309497035063
nerthus_bowel_cleansing_quality,3183.437729505742,3436.9565883135097,3136.7367670617696,3755.5359905377236,4647.304033380744,3831.2277657808927,5577.461562868193,0.0,6162.455518161592,6086.669531063904,5414.307610549449,5110.262328732329,5480.931553577502,5084.570761091769,6845.4850147996485,6911.723836573612,1826.9120046425496,1390.2585683508628,282.81047903038143,1876.6851665443583,2797.2608219932727,2741.7991579887675,2740.2498834405033,2736.352115821226,2739.719904367536,2731.353105938943,2738.5835250815626,4668.092690252577,3064.256678525419,4744.790775401216,5470.152210629755,5004.895151678593,5188.375432899563,4733.346898370276,4725.816554207169,4842.56947667415,4734.356098705206,4864.922024714997,4706.510315962083,4700.183999217729,4864.741266981765,4838.618312155122,4776.837618268356,4676.005670784079,4912.028361222424,4904.664310646769,5546.774097771031,4940.9089155414085,5566.581303098414,5183.164636654226,4993.0633975404635,5514.667171298912,4980.123895251093,4986.093098576417,4970.183901492442,4994.308787121851,4989.677969614107,3024.788720887421,3198.055696511621,3180.3818513292763,5491.136355752738,5421.965123322754,5491.615150000028,4409.384785549187,4790.823744209303,5690.066327360864,5257.319396368914,5206.347746927377,5123.669784112556,5895.453389801854,4882.807652424812,3213.3167621275707,3485.3966200626264,3211.3894766510757,3773.105817734707,5590.244377719721,,6152.547277661886,5541.833704539644,6862.256956342355,1871.9404447928964,1450.5877038078102,290.44553391433374,1878.1853681154744,2844.219899760579,2828.271523194392,2816.769273964366,2826.259562284671,2844.005193783005,2795.905104726365,2808.003881681517,3135.3662254984583,5531.639690312904,5204.3208176035305,4786.502582487557,4778.28337329867,4875.427141966917,4779.976176490496,4878.103140885265,4741.851992097202,4719.3812474382075,4874.815233358149,4898.590640420326,4829.710750250299,4701.522207094243,4940.9312500959395,4935.625567083418,5564.167707225413,5582.111151534602,5238.3049163944725,5002.728109295502,5005.59287917587,4998.773093850406,5005.986263815516,5005.14862438932,3096.8089645750947,3249.296455657988,3202.5166514693137,5531.150395689141,4463.354933478104,4820.901330267701,5692.376407048631,5281.139910506276,5244.815997896229,5159.341046977913,5907.153885919657,4878.556034082162
stanford_dogs_image_categorization,5856.515451301925,5413.822876678789,5378.143323939192,5667.404446772342,6031.160260431412,5680.601277346061,6091.697034867476,6162.455518161592,0.0,6219.603797362706,3764.2657328471705,3372.0595481501387,3821.301383514622,4123.560570423838,7114.71692259631,7166.7345706150445,5855.778101329672,5679.022545122043,6347.060819245177,5409.350627959641,5252.3638391501045,5273.9452272239905,5272.683666000476,5279.937263632499,5273.020563063197,5263.218691739476,5272.2661877118635,5772.1440462838045,5910.283916568116,5488.35675744993,5803.734727697069,6258.74410017591,6291.051176367976,6195.230404508713,6179.922693193361,6261.057876798875,6171.378975374363,6286.786442760278,6157.392793014572,6149.224976963938,6306.442195306201,6261.429268616312,6219.741485918695,6113.984714683531,6170.895604683468,6312.26094058224,6848.9160278317,6475.061115081843,6872.766001825689,6088.365736484007,6726.138951129018,7124.573628926805,5815.627450427195,6713.254460509112,6708.730736151982,6712.060920913892,6719.343237324581,5858.667680733652,5844.875073502398,5866.713969947957,5891.005441560124,7027.953614394196,6407.628243136731,5986.879385963872,6004.697738135646,6605.770563794522,6080.938852284643,6047.271647743319,6306.481538119527,5891.202177725865,6672.331510192958,5906.562823345213,5499.2737293053215,5478.934343067082,5736.846047480291,6122.6105283406105,6199.866919196858,6318.155453294931,3975.28717494196,7125.106104582235,5909.424459729477,5730.913174141989,6354.016684810562,5468.853929636418,5334.68826301986,5404.813864619102,5393.426334075926,5385.546518724929,5402.102584365144,5410.953676729519,5344.593395279682,6024.626127886977,5875.9082382562665,6327.877185222547,6286.728962511698,6256.558826729085,6321.67853642845,6245.549462065361,6326.457689376837,6211.104613387571,6193.561554782242,6334.386037448448,6349.101586914056,6296.6736705188305,6155.083370399078,6221.4658936052165,6375.618236085738,6887.006316381624,6908.335048516055,6173.606395993267,6731.733736597769,6724.669729753681,6725.339938825476,6724.646859889764,6732.033551617167,5924.397074152138,5915.21309530395,5982.117565447079,6485.505803719111,6061.342181045356,6027.303339599334,6645.127918266287,6115.241694846334,6114.567697781713,6348.822988717224,5906.4922657414445,6709.589093405248
svhn,6707.865298915456,6501.315127568738,6293.329090367402,6693.97313585831,5969.29061488626,5133.396016855399,2814.9566696051543,6086.669531063904,6219.603797362706,0.0,5250.175828327111,5018.981220110902,2541.5191989226314,2199.397977631435,3611.9154522181434,3660.0359513668573,6123.050564519799,6134.779215894672,6380.888330178541,6014.409927457619,5909.928611718878,5900.631274356265,5889.210681513969,5908.19729575371,5899.315600902555,5885.226079083728,5899.15966687901,5760.899208295461,5927.825613280138,5783.619272693224,5807.624787377166,6208.893116090736,6191.943966595038,6188.297634867471,6153.02539932389,6207.837687004689,6165.081096747644,6205.995756152184,6155.44262365902,6144.1236858664915,6224.841684801305,6227.926729046958,6183.752732356089,6098.765601601692,6293.4300435772375,6233.254703982428,6604.155648743166,6307.746833787267,6636.669736469852,6031.776546502253,6291.148208977005,6805.6247681628365,6056.796907004175,6278.399367047318,6275.3136779791685,6277.783986401483,6280.574236387438,5926.9483376035505,5923.757757755489,5936.630793468608,6438.678773256117,6602.07391251884,5777.941880551958,5496.016602996306,5715.8311962431835,5985.2640159041,5675.352438055981,5274.677562461828,5646.650492952429,6571.55463755092,6447.572185169412,6738.582383925171,6543.319131148705,6350.217607470509,6719.149029582893,2835.409577037145,6093.174510018238,,2641.8104348735296,3617.8436814607667,6153.521593150164,6163.736765015616,6389.058711790708,6043.6110479622475,5947.442066682595,5943.702683495449,5962.951174823062,5954.507174896301,5988.106873755256,5950.126415859486,5886.681015034799,6006.780789817082,5837.8133807225595,6211.468738463604,6220.839196596937,6185.740584313325,6235.912861746128,6207.792893592894,6214.063180173514,6184.671715924628,6164.149737074516,6234.710769315425,6272.550713375973,6214.824578733695,6123.810273268731,6317.981415224817,6277.854608873415,6629.207696624686,6662.137328966243,6069.737442098771,6296.319594717313,6281.76007292933,6282.1689697609045,6289.89478134984,6292.410401005634,5950.653777815002,5947.007533579868,5981.076963040814,5833.9617759811135,5531.167249296501,5737.558560217886,6006.785697980282,5700.547232039187,5314.356087551816,5681.142411910213,6576.802746642174,6459.602893451061
