,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,4.2124513349249,5.016426336200418,8.278540158441505,25.92841032949536,22.894076655157964,38.32265341066513,19.270350042243745,37.491887684313774,41.20180281886785,27.592174602742425,26.758203926813263,35.04050739343343,31.80433775986299,41.07931154843751,42.524386601855056,12.225989417114974,11.717198274328588,16.202919914907913,14.342175265304437,7.971399719076519,8.075124239439909,8.00717421497254,7.985033034985985,7.935012232087757,7.946633008731194,7.915448603419907,24.976041290145524,22.325544579802745,27.7451996327709,31.870571142415336,30.758396007834765,37.59486341992019,25.75478279311658,25.803937106753658,26.41673488579623,25.441251862115443,26.548504969860673,25.449971003988995,25.431271178718625,26.583070964062237,26.24185203967101,26.092717823716256,25.234562383487017,25.254834796813576,26.853285754948853,30.462673454404662,27.81952837560309,30.640566374467817,27.47429785613587,37.87214472384761,30.709785631551004,31.555097802474684,37.94241241734372,37.97503750788384,38.098284904434934,38.005814768683635,28.795530781692772,28.884671589144368,28.64156054307681,34.48258584081684,45.64273419157047,34.76742777487404,25.925819437773306,29.378554013755604,30.637126420064035,31.727104166698613,30.143719706152933,32.17774999442737,30.038285328043944,35.955117285861135,,5.427958570588455,5.147071815037343,8.562602925140553,38.47873103328412,19.262839667886695,41.45100721759201,35.53753068287894,41.03167004295619,12.194210698941934,11.766947283867744,16.43715323795349,14.304283219077568,8.463662103734627,8.261028275338699,8.261922451197528,8.506099117200261,8.265424074813613,8.103075705644827,8.553745112331463,22.659701091181155,32.09653774138094,37.4865425898913,26.031077479588333,26.00279969290758,26.438912214880908,25.652251999583022,26.663478672990635,25.649049134571122,25.349947461336313,26.670774600006233,26.508133040067126,26.351450417987728,25.273809320271234,25.46729508493572,26.946743315896544,30.64762971657995,30.78236640812389,27.271205123772422,37.996630946999815,37.86329022724558,38.04544644066323,38.12816548069403,37.972109404358775,28.774180074212033,29.044609307944356,28.76902534721161,34.949587981110874,26.146397972390027,29.53925330211925,30.69694541291913,31.765835739651187,30.321707887819038,32.201116597714474,30.1568257405465,36.03569605837812
lapgyn4_surgical_actions,4.2124513349249,0.0,2.0466072293540876,2.9585188261541404,29.712768363488408,26.406452031657526,42.775602640328685,21.147762492698703,39.68492049551832,43.90729895393575,28.16909672116074,26.50504042524389,36.28566284152173,33.22099003967326,43.00881317527541,44.81699934206651,15.733722750102995,15.319795306309075,18.58362080167138,15.438072815901286,6.4689471291428795,6.5537049985813525,6.478545438925217,6.474281481812373,6.422773726638766,6.449545161867391,6.39704861178603,27.392598893673828,21.44093852043768,31.015508526303393,36.41580895718313,36.359087860125065,39.58571429101772,26.991363699456926,26.90205628798919,27.39439632840407,26.72215615401555,27.52900845121717,26.63253738890244,26.655425678893764,27.68286536102962,27.27024677516505,27.124943010284092,26.452027477338962,26.51129902246548,27.78749376961677,32.409181651030615,31.105542275171537,32.474622038736484,32.00817235131078,41.8774239672529,31.62613131661224,31.71780119066431,41.949970616385656,41.96228906446897,42.072090283407874,41.986215712441634,29.570680212152865,30.46608113013781,30.361729877246802,36.17515560441816,49.174746576021334,33.722224550467544,26.15353575179352,29.997330078060934,29.76472465354908,30.739618164426222,29.494772023093567,31.77792998677842,32.1413551812668,39.069422580257324,4.445777830561497,,2.163498231815847,3.202595299439981,42.94011275909473,21.16191672910472,44.15894459626125,36.87683271531086,42.947518893786274,15.77461571288788,15.358226635147759,18.800060969259597,15.465040964642029,7.012134505891112,6.81603893137661,6.7411430534002825,6.967492178028159,6.620160647071771,6.63309399461448,7.134454945636399,21.667447725607655,36.64838082184029,39.49960776988372,27.258174018799394,27.076014267333896,27.384147019068223,26.86889979082615,27.71416179087554,26.85914584104731,26.67853276891469,27.74614004573482,27.479750990542005,27.449640309886952,26.492590596914383,26.639862879468126,27.86909531550278,32.530038296892684,32.68741621725644,31.778703813533525,41.998334163003044,41.85714456470012,42.039912153533464,42.123535281884564,41.985654262015956,29.56241425305222,30.616591938854917,30.43927594704602,33.9324941538089,26.376119363400353,30.032088398688565,29.89558814449905,30.878309456527795,29.76332732557084,31.899662998849465,32.26889893582829,39.13839536979659
lapgyn4_instrument_count,5.016426336200418,2.0466072293540876,0.0,2.662713812569095,28.355325224909407,26.017669378584767,41.668089105033275,21.294897623327987,38.94316119891605,42.76938746930435,27.563437635047954,25.92895225107775,35.662415191523365,32.649360534453415,41.72704811321536,43.347416226750624,15.559461886938728,15.111073197491073,19.249057610041508,17.07124259690184,5.0015882216285235,5.119894869321747,5.015072393864692,5.010554167829881,4.98898189921492,5.004123907838235,4.931602749167332,27.12451029066831,22.946515879398323,32.139839817875504,35.25430921722676,35.01055786432592,39.79684668661679,27.843184657847736,28.005382556487397,28.63445907725179,27.570985109627948,28.788182516043694,27.535579048297105,27.549655483862686,28.870731056956544,28.411912539199115,28.223789506111785,27.24550962579304,27.45449417909231,29.081292828986676,32.84350246572643,30.981782109891093,33.01957730476764,31.97874529172725,40.039244686534644,32.818446986735935,32.41500152625164,40.089157889262985,40.11982555626076,40.227538809754755,40.134784951269786,28.677942722578678,29.915143634387945,29.86596639867173,36.82988856956314,47.30196670647718,33.46522239310886,26.113285409507633,28.93061802415888,30.30134882881479,30.106742157797864,29.339468185364368,31.204597806530217,32.25090383514028,37.48037010945981,5.219858388360365,2.718055585324887,,3.00759591538392,41.83102673720621,21.330486843426392,43.02292636030048,36.20562206948976,41.649595152197605,15.61587437721219,15.11669244470842,19.47330811765031,17.09656386623626,5.51733566457203,5.362945211576605,5.336135839809341,5.467325815490714,5.182445696009946,5.133156731463281,5.634978040763826,23.226824647849618,35.4826577575672,39.718297563434874,28.192255909091276,28.19261223577196,28.564722367725157,27.7574898197284,28.928960674231163,27.759136044754182,27.53231474419838,28.91858183942362,28.71657076983336,28.552679868130948,27.261779341593062,27.643577727199897,29.146124808759822,33.010260991640294,33.222299064963906,31.767313466313045,40.149096838420164,40.00975416250243,40.190781976092936,40.27294306605023,40.13683862973401,28.70421894424758,30.009249171791726,29.96256746296435,33.64588791051789,26.30991224178797,28.974466504523992,30.413368181859337,30.1801179773365,29.564375561591817,31.278291894773584,32.3759530171288,37.57398408480782
lapgyn4_anatomical_actions,8.278540158441505,2.9585188261541404,2.662713812569095,0.0,32.87236906388361,29.998484357991018,44.66389881102347,26.05430976831873,41.689588534179805,45.91806360816905,30.589436362060734,29.27235966096552,38.94146437596119,36.303216482447425,44.06035192730998,46.00647261685226,21.079303394424826,20.409243179685895,23.61211004917962,21.285204851148105,9.216258126758689,9.328065380322936,9.193621830830253,9.215688624173197,9.171586113831054,9.202670606647516,9.123800846534042,30.88205953296663,25.30293174157861,36.088811446914995,39.62229435534048,39.40926263496977,42.92510348218488,31.443381894287256,31.53878826756335,31.94588019859522,31.271121644010222,32.07499225978744,31.153310282501245,31.280758210177304,32.22066304253819,31.71999652725995,31.649844415947204,30.974956172358596,30.87916456473021,32.21886248483248,35.89389877697087,34.63613908371197,36.04909578861434,35.95971289853162,44.54461978166879,35.118812839309534,35.77615113435981,44.62025910264801,44.63031033959187,44.715838231354304,44.64309119266567,33.11206418194594,34.67321599534552,34.647840734455535,39.87784748216037,51.12110605647706,36.440989133585134,29.83481861463332,32.66598904892149,32.652328614651964,33.18008730293101,31.96956989293221,34.55676471678916,34.84045493932372,41.995538863099455,8.485313684741008,3.661783728521886,2.862039499879298,,44.80755516009313,26.072084473743118,46.199550617151715,39.49738724252577,43.95856922148107,21.092065922538477,20.404560899694932,23.82857568402735,21.307675405745684,9.823513252376141,9.553790102920182,9.510952275654308,9.685448766359762,9.157661357437988,9.32877141770009,9.844749225666192,25.47913747045622,39.849381752498005,42.87610342243971,31.688772982217397,31.67407837035806,31.887368900397867,31.385311120894702,32.21546564315207,31.366974613198384,31.24686948702257,32.29328889294126,31.899275607813475,31.9687459758145,31.048775228153303,30.998860804741653,32.284776039135366,36.045256564824946,36.25030948933242,35.73677315996601,44.63404650815146,44.53095673025899,44.70407316423879,44.778855904907076,44.643242430714416,33.13312779863453,34.77459948038656,34.6871514049517,36.589981788288085,29.9896003938181,32.65815930857122,32.77188260381127,33.35980482013971,32.21786707643617,34.67267171331222,34.9612223866714,42.100270854701584
sklin2_skin_lesions,25.92841032949536,29.712768363488408,28.355325224909407,32.87236906388361,0.0,25.45166848493027,31.922535915910075,26.72293918811979,38.42450342755361,35.638440776941195,29.269886809027845,29.19374524649843,35.25370662606454,31.446540748656755,36.04667532178711,36.79552443264099,19.819784839647753,20.347393050773324,26.17630673530931,27.17836119411484,25.29298505664002,25.386360963973416,25.426321401666108,25.3285642260363,25.381790791719556,25.36288393337285,25.31050748698375,9.790589615781034,29.43989464193323,24.23068909031932,28.12298503864335,16.739650548543693,32.73328793611948,30.147456646787717,30.435961390623675,30.962047916288533,29.856881858240424,31.055202537861792,29.81302901562197,29.694093224480177,31.199570075695302,31.098824861478988,30.422312751069974,29.024064430229796,30.111516917192258,31.393813401448178,36.27458822814121,9.637472561716393,36.712145023179225,11.947509334144733,25.54745630462737,38.38119128171919,31.42100779690624,25.657415217473595,25.65663802105851,25.703680762780238,25.708164600900204,23.45835841851011,22.97444885167115,23.014365459364015,28.916522686027022,33.05715264529886,37.806358174924725,29.682757410961745,32.327230233099,36.7313599546073,35.49945972001794,34.484160466080965,34.07867660226844,28.128307368337804,22.864979162898596,25.89146363274812,29.97902051350814,29.021022035980014,33.26559982362747,32.06234774691902,26.623545830958893,35.859783537207754,35.531133881050714,36.02019645658611,19.837987456637524,20.161696939207218,26.337075781525456,27.336808642066202,25.443589316042825,25.479759493110585,25.720677646985926,25.69372099517283,25.83546901969333,25.356653919507202,25.411844001795103,30.094454006466187,28.34961326003117,32.638410752862825,30.581112474468032,30.751028413773433,30.868298012231683,30.077112111640233,30.84415101507506,29.8842590717575,29.485559717031776,31.243931752226068,31.37516896485423,30.7048559267147,29.11616253777749,30.5977661909711,31.514625502534354,36.5153767160569,36.810505550423784,11.972129354313203,25.664677573194318,25.545774577531283,25.77987182457582,25.730736914995635,25.657498477813107,23.397165466379054,23.025680978284285,23.085303392844366,37.881506270858225,29.841143217468726,32.55311235652851,36.70701663362,35.48973444706136,34.55730550268406,33.91445551035139,28.140572205694014,22.953245547745997
identify_nbi_infframes,22.894076655157964,26.406452031657526,26.017669378584767,29.998484357991018,25.45166848493027,0.0,21.483980338353,28.416233760962452,35.664517591589814,26.270326359612906,28.103473602861857,28.22184472018917,31.656113931629093,27.895346471564164,29.97759302627269,30.137617964025964,21.995345064141773,22.07850935971998,26.188348941111993,25.79865282949765,23.692285591559745,23.932675312468525,23.77986785493202,23.708145852479117,23.827247949003848,23.784810430527813,23.940514170895028,22.116156271495456,25.451541047839648,22.521044872543015,24.331376178724042,27.286598677274423,33.76719504226861,28.915639235036963,27.79609439592852,27.820388449473196,28.855095579505154,27.611689923838952,28.543879202141028,28.53298702460579,27.71754982850883,28.449215475135578,27.87742643613168,28.53671973254072,27.638600577089804,27.706060892828358,32.64142905503824,24.02392313398358,33.33869384436613,21.70299948150526,32.48568325356871,37.61725200041812,33.38501852814876,32.47923242157809,32.57138140992789,32.643158422334274,32.5861800603833,32.58472645979941,32.570548864212455,32.431628758265305,22.575062497307993,37.741513177224334,34.4236370094591,28.112563296550004,28.6702599592336,34.82973923975938,31.82059404422327,29.982799851728583,32.05692085456349,28.347161596048174,32.60158752692419,22.78407954685835,26.06569168617343,26.506622587480763,30.533022201349866,21.57893601535238,28.160332254342023,26.689808641738768,31.910391093340642,29.88001064695981,21.82588178660246,21.83649228419928,26.417823014237392,25.916569081425365,23.726969839571094,23.606815241694243,24.254461096441943,24.308197949285542,24.215853742840252,23.990571608400355,23.682747114414987,26.097183261227922,24.591578251666483,33.618600267694475,28.9967706672185,28.129319604162944,27.885780534728962,29.367403337809403,27.3124051340317,28.403308673473145,28.29606822181593,27.83947346366913,28.553772094415848,28.013037475524047,28.816325560890263,27.95655802764403,27.971006657434078,32.89537731071822,33.39559523987744,21.612013182373275,32.548417418568384,32.497879688787116,32.552174982651366,32.64632535339342,32.60253828791876,32.68597250605433,32.55637786766647,32.47550295890122,34.50577804039762,28.365170495511222,28.994852757470206,34.77407835015238,31.942581065844514,29.836844610981476,31.920213836115842,28.404779533986208,32.66043016898622
laryngeal_tissues,38.32265341066513,42.775602640328685,41.668089105033275,44.66389881102347,31.922535915910075,21.483980338353,0.0,41.36736687866885,37.62156167092625,13.810021295208077,30.04079951381086,32.30000856081557,24.078330361687172,20.828610174635735,22.86236750508685,23.06821746167912,37.27648766765388,37.005802038732654,39.660515674941294,42.94019379942915,41.96650530148472,42.17403751704072,42.08148241512325,41.97954474838416,42.059272476261974,42.07310851210307,42.13064394909451,27.152869145831424,38.86149275260256,33.436011339334954,26.85403464962436,31.971933811475473,39.64635172397067,43.29416556627393,42.58954537685714,42.08616465255428,43.4071366552917,41.85343110400439,43.12639063849881,43.26893629489715,41.87045570667824,42.710040836562065,42.216037788759635,43.2739409463175,41.568940925691635,41.62752222459649,44.151220972699456,31.54558403380691,45.12982537036715,23.963164267853443,38.45100650702775,51.359303793501894,43.263915952291654,38.474476655323606,38.50964402691142,38.56162378144737,38.55311353056224,39.459076879924126,39.26426561610644,39.2370450234111,28.11926642667843,42.231581563744655,42.40084875256176,40.53159841903134,40.03985671755564,44.70865558556814,42.007588787042906,39.57923093531949,40.93991116169626,35.18385646548791,41.18233083197991,38.16924393021152,43.92180598499229,42.13127148482679,45.18326867409089,,41.1786632212603,14.225023347648053,24.105373777805667,22.7893932622213,37.04491100863674,36.84750860136492,39.918446815958596,42.99879012109089,42.05709211461231,41.92681064347333,42.472482441494,42.58978576860242,42.3712809332404,42.06339022256921,41.934646157856804,39.5560837282255,27.03251650960976,39.574058371888306,43.413412761834124,42.83614417240308,42.03317714822059,43.80637300375203,41.4925963279646,42.980525967536536,42.971511795533004,42.10964775186961,42.627233726278625,42.26846385933534,43.61413975994633,41.92476289893876,41.935237978234206,44.48072161231105,45.06771671088126,23.922183401654024,38.50201782108809,38.459695247542356,38.48351992444716,38.5640131354507,38.55365066543603,39.54911139105272,39.20229805037275,39.33938641585074,42.3430657007161,40.78336099622459,40.278531101233895,44.619618670481415,42.049147648051154,39.51899399362276,40.87421726331093,35.21882234504467,41.34680311441805
nerthus_bowel_cleansing_quality,19.270350042243745,21.147762492698703,21.294897623327987,26.05430976831873,26.72293918811979,28.416233760962452,41.36736687866885,0.0,42.840244921221455,39.32502550717092,29.203938650484314,28.083443462907994,35.540765044139974,32.20656667869078,39.327728536754925,40.69464292603181,11.395259869908607,9.084976910767384,3.1201258155281266,9.358746694610662,15.677059715691279,15.618571566320377,15.64229997677882,15.701023042906769,15.687966391120789,15.669864737563678,15.702645268952768,25.76911203247072,16.518881884129563,31.165682932253308,34.04037308401078,36.40602896571426,32.570843587683314,26.466846223850013,25.651297661235436,26.114705078391708,25.96683359841584,26.055204952027864,25.89509095343827,25.679603405218508,26.274961090802424,26.525328170669393,25.858953394712323,25.574088825493206,26.122291110635135,26.50527156782246,33.32262083431572,28.420354137923873,33.34403441563771,30.969971200954888,32.80984876919631,33.30393117896841,25.73664675766793,32.81235566870289,32.83698086583671,32.97758191417803,32.854215562805194,17.979720700447636,17.905172045798246,17.62012747793847,34.9553238081623,39.891626732826055,32.632908514687436,22.369278853180013,25.178758188188443,29.366672698428175,29.080904018659663,26.85554874760018,27.666343854227048,36.09889016839827,29.80924238149783,19.360090090726302,22.66323030514672,21.596502179953156,26.288123988002024,41.5239242652502,,39.37326551907209,35.91643351767595,39.3634989779737,11.403605729684482,9.591906291283525,3.1918134158192153,9.447638975869822,15.880485586311352,15.88911368372866,15.96532643515513,16.054872174437484,16.053513208344686,15.83695610341746,15.859811345776556,16.76480009451282,34.283534599910865,32.442606726723206,26.825072202793322,25.89697434486481,26.108295591021026,26.24288607206774,26.110923996635954,26.042357776185362,25.67971140550523,26.32807979811004,26.853418548786074,26.187578478398805,25.59963990685155,26.335807108559017,26.62490206421066,33.356331068869366,33.52165282498922,30.790227075128595,32.97783513117147,32.71864607106805,32.85855608129059,33.01587342364586,32.82458681164823,18.074833953393323,18.116553040609574,17.633377085663547,32.84629956371715,22.466198169311806,25.344274159414763,29.442468937454294,29.048227275807278,27.006740849185537,27.563630867759727,36.19867346807712,29.781241123535615
stanford_dogs_image_categorization,37.491887684313774,39.68492049551832,38.94316119891605,41.689588534179805,38.42450342755361,35.664517591589814,37.62156167092625,42.840244921221455,0.0,38.080138499994206,23.143303312409977,22.297127517541192,26.156052701198583,27.26641915940255,39.23992125651368,40.84335900900954,37.926399938957445,37.992483106406254,40.71266456424125,40.71627569376562,40.18065100514392,40.33601645108292,40.26339552337925,40.1787083323306,40.19218065000916,40.237506011878516,40.233953592908435,35.11224868255368,42.58585789715748,36.23219313782543,36.898233127445415,41.60270271634679,43.32571294871276,44.38428291197511,43.72045604546635,43.53319942382122,44.29899470449354,43.474241051107796,44.10573557461001,44.05858677712443,43.50287639426361,43.934929148133094,43.6364320430566,44.26074660359892,42.82699551475214,43.49879461186768,46.439719608607966,39.11778676310822,47.18764133828452,38.19137688991492,45.482106728350715,50.84382776857412,40.93864449944434,45.53066935153021,45.57412511280431,45.64044691592481,45.59234967342909,42.71273962847225,41.87063456539279,41.81263388363949,37.90915178915995,50.22903790604775,43.500532754824064,40.19171144637147,40.069234910303685,45.575588671394854,40.862523844692895,39.99368805200348,41.29060858934969,37.98492640111248,45.28416104690371,37.36263483183893,40.44615448579819,39.63605567560277,42.30014667725275,37.72784329350208,42.868684281162444,38.41660454701385,27.11426195822405,39.26861652188569,37.887647222079224,37.964913546309205,40.92760491682239,40.822258723573924,40.611048348559976,40.54241829108976,40.888959370515856,40.92320514879056,40.72193826710429,40.49947884829406,40.40381318413782,43.18065699251833,37.165729415313294,43.3902528837113,44.70015841072151,43.95631719921967,43.71677088297648,44.71020092431002,43.42668321007456,44.349063501468486,43.9219069114563,43.81198004991043,44.04391356193336,43.90507407178146,44.52585794371143,43.0870383183415,43.861033920786824,46.79393430412264,47.26776090543754,38.356346707461825,45.53315690679979,45.52671531120001,45.59222140315009,45.65176902424196,45.5851889101055,42.823283289672275,42.0957308484409,41.92983793056103,43.67369946518178,40.36149762459753,40.25061194894973,45.640809056517924,40.99994446453049,40.21418931966199,41.26859434409678,37.99964645521071,45.45543230362873
svhn,41.20180281886785,43.90729895393575,42.76938746930435,45.91806360816905,35.638440776941195,26.270326359612906,13.810021295208077,39.32502550717092,38.080138499994206,0.0,28.107338199063978,28.647951330466846,15.190816244548643,11.805733044360167,14.95721650744137,15.140271771646415,37.70772375060198,37.5173222473873,38.60975080466397,40.118383873617,41.09538623482048,41.260050308535014,41.18306041749131,41.09540891090326,41.20343476193305,41.17455846241236,41.24580589928421,32.447643615618034,37.28815459269806,35.2812904990745,27.513738433914085,40.921916101952476,38.62654629063466,40.17616211483903,39.41154683032096,39.07380791748353,40.1782260685751,38.887002679860885,39.98822887470106,40.058482883063476,38.821687785363075,39.51449751686398,39.11462104864247,40.0224880164588,38.42973664692833,38.67859085084565,41.32369405078389,36.023983578422616,42.09583001505251,32.057697522865055,39.92363933989719,48.015379452292386,38.587136353151024,39.94765795900855,39.97384594641105,40.04833349712858,40.003947389236686,38.86530144886824,38.12595345485393,38.113055743422606,31.84268260208159,43.54623620311769,35.81196269773264,35.88680274183061,34.46256377397241,38.92495016931251,35.344475291778636,32.00701986147793,34.52667032352943,38.81943864810327,41.688473010888146,41.21147804115475,44.03656348517179,43.218981069058394,46.400282584180786,13.958017157257661,39.19814740736406,,15.15336147344647,14.946903368127881,37.57279844455255,37.4365138810454,38.76711306925475,40.27426815893059,41.26174760482164,41.094050171974196,41.682443915505786,41.691423023081704,41.54238214447265,41.298888440292004,40.992834136765325,37.97349099374132,27.682006797044778,38.60315653664328,40.33172450307342,39.644232292592264,38.99207228089291,40.60055696750781,38.599521713734234,39.94788355324091,39.814959154565074,39.10063600347438,39.5055891730744,39.3152611433686,40.379619211562485,38.75904806995837,38.96490655409542,41.62820487870334,42.073723884303675,32.09131331151648,39.96719318157732,39.913862872665725,39.93195412794746,40.033683073853915,39.99131128261623,38.90742542496693,38.113919274579075,38.210011731789706,35.92314516760391,36.13010191069371,34.63461312144148,38.93282424320625,35.39614597312993,31.959868691846506,34.54625990084945,38.84486996486507,41.82929376590488
