,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.03140081285108355,0.034660757184328414,0.064301893933086,0.1576092263351413,0.16552116090188618,0.3397936086625122,0.14932473400075535,0.18597876415511616,0.30469610620723275,0.14147153615416513,0.13549699215796487,0.18181326697701178,0.16333506387418723,0.3656146720159356,0.3676333095212324,0.0781244703391532,0.07918030133494189,0.1248835479164079,0.10897794574686777,0.06343498940907395,0.06444398007349075,0.06396875796368628,0.0635436339701968,0.06339093895254232,0.06365729635495007,0.06337039394356525,0.1574492042259894,0.15248414536052549,0.16585290361286292,0.2671798802573608,0.21478377623891826,0.26263037477140583,0.16866712602180609,0.16976471944290672,0.17641329678897,0.16728298925462445,0.1775159264610996,0.16640832001967645,0.16617970162449064,0.17888488091813978,0.1762017144489528,0.1719195926370788,0.1646036019739584,0.16751066495526193,0.18123263597887407,0.21130619194208144,0.17924061715528483,0.2135942400343765,0.2111016429664266,0.2957436652771871,0.24257182071099231,0.19997538654345842,0.2967559229956832,0.2967635427052008,0.29724261721960543,0.2976555209792513,0.19873832898005772,0.19401468204929856,0.19357445227051256,0.24068718431494704,0.40058888824138356,0.21300045685723507,0.16981060178448165,0.19396492008019922,0.2066919823885835,0.18816443236366626,0.18527260797061038,0.19918840683906097,0.19881986299292242,0.25132110066443436,,0.03733142595647704,0.03470096368324568,0.06523843982404198,0.3420211178673039,0.14906574948215343,0.3025062157043521,0.1833437493647985,0.36380085806673435,0.07730926032345944,0.0783050395178122,0.12591158646906842,0.10841674868166734,0.06421300897388163,0.06363968089551975,0.06486857685615355,0.06620901563577067,0.06521754045974062,0.062091338101767576,0.06492127283494623,0.15545006597155636,0.2673557753394197,0.26150785171117524,0.1706902071784357,0.171532325621852,0.17583673001827438,0.16960960522850754,0.17613537869295787,0.16708601165442813,0.16390670003553126,0.1768806348327677,0.17793093212803446,0.1726555191870671,0.16467434231560452,0.16813638053461377,0.18232342912170887,0.2122279748920122,0.2133858822118902,0.2079977956897756,0.2967726304493361,0.2961714002415713,0.2982989881344222,0.2970237157437108,0.2968972457376522,0.1974495742245928,0.19543789078722637,0.1931066101978203,0.21334971871149766,0.1687704142794641,0.1942723788793037,0.20602159854230168,0.18807955594363635,0.18629013328056604,0.19803419091785932,0.19944791928455186,0.2502707053292791
lapgyn4_surgical_actions,0.03140081285108355,0.0,0.010951191381078394,0.01829705277159653,0.19563186551587056,0.2053596887480041,0.39565747491625786,0.15092672056229917,0.2076872729267244,0.32945899712152654,0.1497786606839235,0.13926056722340957,0.18566088948630585,0.17381012917797908,0.38664065352286925,0.3949597386952982,0.0980544622675471,0.10002784070997234,0.12806362230199195,0.10345548622584581,0.04469834235137571,0.04552286443941518,0.04469063460227614,0.04475597908029267,0.04447622007240204,0.04493295402375813,0.044456160876898874,0.18928515229156334,0.13799145152691575,0.1959336862152804,0.31348516867396603,0.27170343998006435,0.28492444949641554,0.1663184057687818,0.16672133581863793,0.17273119852501576,0.16503634835835562,0.1741544075318672,0.16371987256536064,0.16389602791790825,0.17649624915624074,0.17225595041546427,0.16871596844001657,0.16224007915621813,0.1661861314453191,0.17754631205916038,0.21789098004760432,0.21461712008908804,0.21838320686842522,0.26488331707569035,0.34039857779944505,0.23152705373439617,0.1955387061561014,0.3413744846322357,0.34116986714382747,0.3415343443666172,0.3420066397005843,0.20044228038845716,0.20167411028114338,0.20207326959194355,0.26373278660166233,0.4421271785810703,0.19750667895061874,0.1618080201528074,0.19334236942511357,0.1906679452226681,0.17501565657150644,0.17316190477737783,0.18671969659505033,0.2151284095620235,0.2835957831964807,0.03223312502076528,,0.010226134914728095,0.018191448775373938,0.3979504192966439,0.15092803735723143,0.3266245964066493,0.18775419257571513,0.3847254562302004,0.09793303692497973,0.0987560409480912,0.12884993360628583,0.10338099457396344,0.045643764479901094,0.0450843570311596,0.045244927914080156,0.046771063250836374,0.044289346082514995,0.043788085011591524,0.04669071434036735,0.13916899634158397,0.31331133849880466,0.2840325436417537,0.167971583961516,0.16764561165120562,0.17192159030334198,0.16636272688292505,0.1737051647250347,0.16474046800284514,0.1625319435291101,0.1741782992268836,0.17363909312966852,0.1699892033614938,0.162087831544157,0.16568704743582438,0.17808068728644236,0.21805317951104464,0.21888932967067312,0.2613859521581678,0.3414456718441313,0.3406346314071306,0.34287877662884575,0.34145258971307807,0.3415675400340831,0.1990153013534439,0.20291599495920792,0.20173475223999782,0.19806746072795123,0.16023671987737403,0.19274819121453793,0.19051772601687647,0.17540505203608947,0.17499388140642763,0.18625525469603194,0.21568083538196683,0.2820854472219516
lapgyn4_instrument_count,0.034660757184328414,0.010951191381078394,0.0,0.01483402621301192,0.17790656112962921,0.18672455335554683,0.36719717299580035,0.15169491524168882,0.18711487057167278,0.3080022465419924,0.13524849722670032,0.12546331253081924,0.17341980321982822,0.1610285176865752,0.3644699212227505,0.3705526370750389,0.09185509670933358,0.09462467325668862,0.1323860878503869,0.1162002397499739,0.036379161068344476,0.037413581048481165,0.03647589365452733,0.036374900850139405,0.03631676797562014,0.036706819987806345,0.03619997174098227,0.1743905728309018,0.14708706401043598,0.19465880728007107,0.290141200151261,0.2433589439801483,0.27256649378971354,0.17192992059647638,0.1736379129493287,0.1802015373604121,0.1708100559206781,0.18152957712667828,0.16967449432610165,0.16985022609156417,0.18356920986241249,0.1795308748284336,0.17548546464380543,0.16775658802980728,0.17210002274738162,0.1850624919293979,0.21729180946740792,0.1999366554049295,0.2194688574392255,0.24479976067804227,0.3158191174011791,0.23947989233050854,0.19838075643317754,0.3166588295826236,0.3165947282013766,0.3169460121672556,0.31735745939081655,0.19155074053514873,0.1959388320009407,0.19664067208929184,0.25565394325409607,0.4165435688468846,0.19041931293539782,0.1591975941188366,0.1797854271739845,0.1917766373961518,0.1655961081766722,0.16779924949475297,0.17859206110109915,0.20728793799997772,0.2667243248632986,0.035340567916077495,0.012139293539258408,,0.015964195117790625,0.3693443834781751,0.15160043069202497,0.30542178645517754,0.1751541544945188,0.3624110371907995,0.09170243901376907,0.0930194130303345,0.13339639953080784,0.11599984913510757,0.0375197664732639,0.03663474513141657,0.03773344508433339,0.03811073806294629,0.0362243468089177,0.03513589139531606,0.03759997805228915,0.14928256730893552,0.2900085875905589,0.27169827852796574,0.17426319667319645,0.1749252032228239,0.1791732585879925,0.17275775860578524,0.18045226676628584,0.17073738352002027,0.16812303706165665,0.18135636341244057,0.18135627767394755,0.17674396727599562,0.16756474118857656,0.17222366382800952,0.185777675321096,0.21830087747359012,0.21992946605170594,0.2415869730459571,0.3168392960014016,0.3160278310644983,0.31818770339888897,0.31684852228216903,0.3168118218777714,0.1905204059531419,0.19697257291774303,0.19628745473910714,0.19093291116412553,0.15758446185797703,0.179396389168064,0.19147917354869246,0.16575331761841725,0.16904795416713717,0.177767527588086,0.20789559877203062,0.2655406965604298
lapgyn4_anatomical_actions,0.064301893933086,0.01829705277159653,0.01483402621301192,0.0,0.22491164934385632,0.22614435693976667,0.40629949573352975,0.19051403305631487,0.22022773769241694,0.34003508804647165,0.16703813729692243,0.15709981874988832,0.20700357472624684,0.19701297870854165,0.39367096465069373,0.401876186439704,0.13836172551319986,0.14112773085281996,0.16803881442957802,0.150462486792652,0.06848407720653304,0.06951364305545671,0.06822482572075314,0.06836235284774089,0.06823534954265367,0.06879630345434569,0.06812985104218623,0.21732899660368182,0.16839629353614288,0.23461651913996245,0.33904833933644063,0.2912946636640743,0.309151419445413,0.20124367163180482,0.20218826907280257,0.206968167139231,0.20072363348938638,0.20814400301305408,0.19899329389010884,0.20011814988287438,0.2106602341374676,0.2062526966128093,0.2031087608610882,0.19785829773357483,0.20046401462943386,0.2104065897669979,0.24786995327034955,0.24181055752549552,0.24943335804723882,0.29122410506551105,0.3649321481959994,0.25787607635049653,0.23200219027763003,0.3658792787648044,0.3656803244166322,0.3658438786686611,0.36647055133968354,0.2324242402820915,0.23844946889267116,0.2394624829320759,0.291254038453873,0.46075184713718786,0.2157545002082947,0.19203666832317942,0.2126608273399251,0.21399959765759782,0.1925893609223439,0.1926733970908418,0.20755642804290192,0.23568667426033368,0.31276674134312527,0.06509053877761091,0.01980462753038044,0.014523239250811726,,0.4084629314201637,0.19037091964652303,0.3378439523112652,0.2090551285683369,0.39153920151940574,0.13824100035846767,0.13963778671207447,0.16882500027378988,0.15033685297854316,0.07011098422934467,0.06881318098064218,0.06967575545600346,0.07051377879696191,0.06691686590750065,0.06736043320393174,0.0700830813828626,0.16982754901248226,0.33893640997446994,0.308603119555217,0.20299309555758283,0.2030631967090941,0.20594818881380234,0.2021913901878871,0.2074581006523646,0.2001326112483181,0.1984006403106301,0.2085749830577069,0.2073697264541986,0.20444052901022888,0.19806923784292624,0.20006291295738038,0.21105234883340024,0.24874975113211997,0.24990171980829037,0.28812168733058996,0.3658098596128515,0.36523884420089947,0.36733549411666255,0.3657915805762208,0.36605127731832676,0.23137456970035908,0.23943324600055643,0.2388537236987739,0.21622526861253805,0.19020896318941147,0.2119739250915832,0.21390675511708424,0.19311144064925043,0.19422181690643298,0.2071053111918137,0.23630794384504253,0.3116201569553959
sklin2_skin_lesions,0.1576092263351413,0.19563186551587056,0.17790656112962921,0.22491164934385632,0.0,0.14938868376877634,0.2552419476866167,0.20231886634329016,0.1625378907541702,0.24793783918266746,0.13634506396730933,0.13475737333028875,0.17476538846327022,0.1514815063484376,0.3117460881437849,0.30739820023796705,0.11502984031733224,0.1259915267227782,0.19584673070086958,0.20620043458969942,0.18326915759312684,0.18495668977814575,0.18492011463143693,0.18344611846603237,0.1840242309858293,0.18391362671957434,0.18426962373734737,0.05580652417929158,0.21082274582214847,0.13300631151927617,0.21941259608236535,0.10355049195120021,0.24300102905900034,0.21419058160286705,0.21704937497465568,0.22367281340123837,0.21300304063162392,0.22461391975234424,0.21225102096575085,0.2115626773502881,0.226074283458697,0.22553198653296877,0.21799744010246958,0.20686947163264244,0.21615611451114958,0.22756642028117402,0.25212805316069004,0.05207757896447713,0.2585016960448067,0.08845818809157431,0.20801171745157326,0.30221099673133217,0.2241751971661694,0.2092317169312983,0.20959125375662468,0.20973497751966888,0.2105731871658152,0.15548873092189677,0.1470620681888989,0.1483457677245248,0.18929661235032114,0.3155346746975632,0.2539471269358028,0.2130157012388012,0.21906400678136628,0.268695700105813,0.22786463345576824,0.23231027533967247,0.22755493798924772,0.18342580044501686,0.1732975094612798,0.1559932452389031,0.1938607147321291,0.1814135588181118,0.2275843525749351,0.25703354717026944,0.20096928740963238,0.2461197957306322,0.1746986128962319,0.3100733897773692,0.1147915588373257,0.12382973854230747,0.196427365443206,0.20695874876573628,0.1823582854729099,0.18358813648132266,0.1870617304239672,0.18660177374326412,0.18825029629047307,0.1824059562988567,0.1813394150572663,0.2166273087555618,0.21932561781930132,0.24168648638895868,0.21807687670260636,0.22028770325196576,0.22278935252396181,0.2164887374860739,0.22075067673066856,0.21265800255631193,0.20794563341582328,0.22414252308073954,0.22708498652718886,0.21860363052307333,0.20711721867888339,0.2187857867702835,0.22984495491279341,0.2544734073077608,0.2577688387249014,0.08726495913810481,0.2092462188573038,0.208473219192134,0.21083229134227738,0.20929928508287815,0.20948160200119179,0.15421558394431695,0.14682413199099192,0.1482198211854277,0.25469912362438296,0.21157585700711162,0.21995286999872962,0.2674274590227534,0.22730026071444176,0.23206468279995274,0.22526034762292302,0.18360251623011864,0.17240746959899356
identify_nbi_infframes,0.16552116090188618,0.2053596887480041,0.18672455335554683,0.22614435693976667,0.14938868376877634,0.0,0.13053572450410025,0.25267220804296325,0.1254381106971132,0.15728166756249629,0.11836748073993796,0.11956554431851327,0.1602117823457141,0.1320797804946592,0.23590901842189616,0.22876287088628475,0.1542441754857805,0.16450695183966374,0.23412140472248844,0.2368626375435448,0.20716972879082268,0.20936408453662486,0.20849325122712997,0.20678207660400544,0.20814868641134798,0.20811207736118645,0.20916019412040174,0.11882537075559901,0.20200716559387352,0.12466869414731183,0.16218185357035392,0.1388651893671577,0.22777421117167634,0.22961761713251888,0.22407881364845025,0.22623481730367134,0.2304011412636172,0.22450126767933504,0.22734373326964116,0.22795775231196075,0.22580484048444516,0.23170928964915105,0.22410425144733026,0.22729574009931935,0.221810472583007,0.2257076039716542,0.23334971522277775,0.12445374202691076,0.24356988846996777,0.11067220175290193,0.23961160492750902,0.3241972650258507,0.24349645202600506,0.24004672950703995,0.24057445358916268,0.24074032271305235,0.24160845908757167,0.24364182659608752,0.24157579267362658,0.24227607490767444,0.13194707193963434,0.3259701736157162,0.2414285286226513,0.22258078391284924,0.19919636437808314,0.28160858946162426,0.2102285670480183,0.22473100177203822,0.2211386663344143,0.18480142001708763,0.2287625653313421,0.16412591221239034,0.19809235762632937,0.18966688559000006,0.2300833046825724,0.13134062878795572,0.2508266670776846,0.15801844741220342,0.16008983150351236,0.23378567470952805,0.15256780881886756,0.1613672497683657,0.23566389706817653,0.23667387979541815,0.206240561183978,0.2060551329404316,0.2113030270320317,0.211060430094599,0.21190058049193067,0.20633022594683426,0.20395338006398325,0.20834823437901379,0.16290768503920822,0.22668804417235755,0.2316204340209929,0.2273812558793699,0.2259012885515667,0.2365488218595509,0.21975928496056787,0.22608927018644992,0.2237455630439571,0.22427393353896347,0.23263258825877445,0.22392679031519858,0.22953397370377626,0.22452347395824704,0.22910589184090335,0.23669818030467876,0.2425302333899225,0.10972166884513943,0.24015479462778677,0.2404727550680767,0.24105899270002978,0.24031984682276553,0.2407763410594238,0.24426488400898647,0.24227954935932247,0.24045141366252681,0.24181771924015927,0.22169639761183965,0.20068532156269214,0.2799930590666768,0.20996878516086837,0.22310423561711756,0.21858279460620267,0.1856168717863256,0.2287202505893851
laryngeal_tissues,0.3397936086625122,0.39565747491625786,0.36719717299580035,0.40629949573352975,0.2552419476866167,0.13053572450410025,0.0,0.4236855222462188,0.1859799677984677,0.1527318944964866,0.20174536706722038,0.21233218347849375,0.2264482154684605,0.19806532568765564,0.25248160486817395,0.2391920649346398,0.32994517663397416,0.3404925176174072,0.4102076176170112,0.4421857661120958,0.4088270477421626,0.4115550325185805,0.41042986379410673,0.4083975601603794,0.4097882373402584,0.4098583238366467,0.4108906351747599,0.20954295018274938,0.36936070341701016,0.26602884680376526,0.2401598893695704,0.1995875237234337,0.33655779476894465,0.4109947525609379,0.4069547772483387,0.4053338009460271,0.41375271711041967,0.40286669052603846,0.4098579121803718,0.4119317263389589,0.4040185346267764,0.4121527110334776,0.4042371507361321,0.41108077549846134,0.40098430026346443,0.4017355586217272,0.38831346085310825,0.2244684319140497,0.4022599381315032,0.15918150940817902,0.31567269737427295,0.492211211154878,0.4082474400596583,0.31620238520704075,0.3167149547413588,0.3164203683708491,0.3177561438050517,0.371913776150788,0.3689572394238078,0.3706414530146345,0.22647766639024336,0.38222245035594404,0.3702055638716889,0.3878585607045576,0.3413010722408174,0.4306111653222798,0.3530841350242946,0.3686554326194107,0.36393702209771,0.2972106894693814,0.33821830396664965,0.3381501671214748,0.39219656572782247,0.37111841820390823,0.4105887850153377,,0.4212587374225463,0.15619176451690284,0.22482664923815793,0.2502011929497293,0.3282831849309338,0.33826290894574285,0.4116925794873728,0.4421526987529384,0.40768775497567217,0.407794130259748,0.4142969419733008,0.4134477824819326,0.413927976454743,0.40734576935716377,0.4046992966314429,0.37833760033163755,0.24083913298563173,0.3359672827198008,0.4131362470994777,0.4112799128089121,0.40469254526886156,0.4211479544207229,0.39744311839031077,0.40857007205160784,0.4068298741062491,0.4035875079828787,0.41238451436091295,0.40313773207592746,0.4139489502842132,0.40438988933653586,0.40666417952864575,0.3931208552569746,0.40042987142266684,0.16006962562693272,0.31610600632989017,0.3169937194746939,0.31658210685383104,0.3159303889337538,0.3170048820547216,0.3731374483125129,0.3692448435575625,0.3685915288521721,0.37065585314513827,0.3863695195589333,0.3427383604418408,0.42917742013266763,0.3526603823358807,0.3665085089296593,0.3616037236016537,0.29865077766050435,0.339172828972342
nerthus_bowel_cleansing_quality,0.14932473400075535,0.15092672056229917,0.15169491524168882,0.19051403305631487,0.20231886634329016,0.25267220804296325,0.4236855222462188,0.0,0.2538230161440366,0.3284998306163396,0.18159493120141645,0.17038087216636522,0.1996073127680014,0.1868082194643833,0.4035495915120313,0.41022310627652814,0.07772672132016106,0.06550103242552047,0.024165821663257044,0.06194209505139989,0.11709266701716389,0.11705790520854835,0.11692927743926569,0.1172149180522609,0.11724239932322822,0.11704367799586539,0.11748915799461532,0.2068623862052077,0.12589143589689397,0.23851138649015605,0.3334695911690577,0.3069278899725165,0.269802959394745,0.19678542318467046,0.191756154869951,0.19889989079046194,0.19351831263458957,0.19882967811337052,0.19232020974280944,0.1904390458223536,0.20195654150761752,0.2020455661447918,0.19486328127402508,0.19019391855780213,0.19796120471615894,0.2044090816514895,0.2649697670844398,0.22548425357990612,0.2661046304442045,0.2882075755204676,0.320834652040105,0.29008476264555794,0.1788920039349034,0.3216149548179588,0.32152299690470504,0.32238345430000526,0.32218769291509847,0.13433890142426724,0.1302959104128969,0.12890878716049017,0.29521827221065805,0.42247764489460693,0.2279937032926472,0.16448368470455738,0.19657053676724698,0.2176793261035072,0.201462818001345,0.18486955404362904,0.19384470022458078,0.2725963300635803,0.25655871022587184,0.14891770002208476,0.15737440501924943,0.15255695233464106,0.19003172973578247,0.4258714802296572,,0.324141437361323,0.1999039706726711,0.40240358179197555,0.07764568812270024,0.0678260717825206,0.024262394550235385,0.061720865913321474,0.11587780760507287,0.1181969352647875,0.11847564693380233,0.11811134765488981,0.11912778308616537,0.11692026376015106,0.11643013283452841,0.12684562311360564,0.33377471482560345,0.2685266712689266,0.19975955483700059,0.1934375087741823,0.1978791202442636,0.1953921663337031,0.19789304687445583,0.19291055049442266,0.1890447684400431,0.1999633294109625,0.2044669497590011,0.19661991051277347,0.18926557405047348,0.19782057282562499,0.20541427662047493,0.2652744818058349,0.26680033600816266,0.28529098461625874,0.32240763533957123,0.32076038710488436,0.3229419442076443,0.32228799675396896,0.32129452268896225,0.13306249917430918,0.13177292048648903,0.12802834973206134,0.2294276990740731,0.16281392126008204,0.19628569338636254,0.21737308434958255,0.20103692788773486,0.18635889696564623,0.193136578612856,0.2731134724548665,0.2547671366971554
stanford_dogs_image_categorization,0.18597876415511616,0.2076872729267244,0.18711487057167278,0.22022773769241694,0.1625378907541702,0.1254381106971132,0.1859799677984677,0.2538230161440366,0.0,0.17811116386503636,0.046319339498108875,0.04822205596421435,0.08832533002333412,0.08051818176479697,0.2309333692619412,0.22786993485583612,0.17541191091900807,0.18783115482052626,0.2375899860591338,0.24791923540794697,0.2232993633623886,0.22538006016315357,0.22429934637044258,0.22302809759869377,0.22381493029755145,0.2243773803086455,0.22464529405045297,0.13038095143311526,0.22479602509192104,0.15963219087188776,0.1941917827129696,0.1497348460525547,0.22144329921757622,0.24585386788824176,0.2422369386034467,0.24395393928853332,0.24710785788271292,0.24302684140524355,0.2440052480572758,0.24445534239753172,0.24451701038684664,0.24818569098033832,0.24203181542708557,0.24559043762229926,0.23970513308174501,0.24436215369717718,0.25846713950810773,0.15171625473262412,0.26741938128780623,0.15240604745796776,0.24632127895281386,0.32109245231160677,0.22373478415748546,0.24718635015602242,0.24739556267572263,0.24721482710910325,0.24833983719242964,0.22464807593529584,0.21834227048572646,0.2198780077157148,0.17833746083872892,0.32020232350045524,0.21185516656547942,0.21907159546343224,0.18980830704247403,0.2595804604489835,0.18301166352287573,0.19765837772722816,0.19718064199231888,0.17777251534099142,0.23313507149847945,0.18438683934867173,0.20202690587527117,0.18994923266122898,0.22335281462765635,0.18691186669590631,0.252295261630803,0.17712657570487686,0.08979536210957603,0.22910798027978918,0.17439125516033854,0.18591692445705038,0.23852207587170607,0.24824545830884664,0.22314635193715404,0.22379886837986845,0.22813307551166256,0.2269447500681267,0.22741083718408506,0.22298539255532032,0.22050422377448248,0.23086875238139554,0.19438858525731595,0.22153440584948725,0.24852799941083137,0.24545110571935472,0.24374620569943453,0.2521783377715745,0.23960770830230668,0.24470448369784997,0.24116843221067305,0.2432679429011606,0.24910576133514103,0.2424289772626132,0.24629298472414313,0.24068358536757872,0.24757454442289029,0.2615889534099754,0.26663463445753544,0.15160345370334954,0.24688634921750574,0.24738779737922562,0.2481332656756891,0.24677302146264146,0.2476540394466555,0.22434079094410952,0.21916827378615128,0.21822298451933364,0.2123587014195284,0.21651104033435375,0.1904327520443738,0.25847840108180803,0.182747712690437,0.1970162596280555,0.19548130821215384,0.1783730442002342,0.23323073548894013
svhn,0.30469610620723275,0.32945899712152654,0.3080022465419924,0.34003508804647165,0.24793783918266746,0.15728166756249629,0.1527318944964866,0.3284998306163396,0.17811116386503636,0.0,0.15840341992419008,0.1609642770321401,0.11637586468685486,0.09796130275374335,0.15712158486100947,0.15162833787170815,0.27446666646601015,0.2825234052220317,0.319314621791373,0.34161839775970015,0.3312410677026638,0.33356007669074117,0.3322294252366029,0.33109549899005686,0.33212146993764957,0.33218361331772805,0.333228583027821,0.21794401687243928,0.2923530248117181,0.23965649207070472,0.23866109566732846,0.24516849449907116,0.30222454056141856,0.32011079995194847,0.31353783811815555,0.31323038290215355,0.32067165270099196,0.3110454175169646,0.31779436635610314,0.31850444846536674,0.31278447904671847,0.31919806431474723,0.3121832642633801,0.3183921203304172,0.3098694718452094,0.3115714333248627,0.3236973500555509,0.23496180440207362,0.33427116145909164,0.20990802703704248,0.3213365334303043,0.4064376242319272,0.3157194074286366,0.3217734405321371,0.3222193319975224,0.32215114667987915,0.32303553738922863,0.30410448923330646,0.30017981637498037,0.302067565504593,0.2301782496152113,0.3975865890544638,0.27287367209261354,0.2925787328115745,0.25577352357998173,0.3259191068327248,0.25954694258223665,0.2573793195221157,0.26543931036433466,0.27496963283179454,0.3229588018405339,0.3041103771222661,0.3258419114467186,0.310634514612146,0.3425301247171823,0.15368574026993304,0.326388866979631,,0.11450651485449818,0.15603374875833478,0.2731182669322402,0.28090664459049786,0.32010999233911785,0.34227145274142656,0.3299457702737293,0.330650211365057,0.33590636671038054,0.3356421538123956,0.3354746367135046,0.33116195421003414,0.3279169104110926,0.2993264223233365,0.23863553673128624,0.3017616157666404,0.32252073698343375,0.31688262211097185,0.3121021449496602,0.32679858172660775,0.3069034227617274,0.31744000823535806,0.31477648841413425,0.3122059101874878,0.3199190346715618,0.3123023388792057,0.32102697302725813,0.31185126577230676,0.31497019128767395,0.32753592255956165,0.3329314860376066,0.21002343758813152,0.3219547311821209,0.322044070447798,0.3223068216787391,0.32162371819068697,0.32221501438745503,0.304386438542662,0.30017754528515095,0.3003284829985573,0.27384260426686935,0.29124017159138493,0.2568988888082503,0.3252199715898174,0.2593792471220283,0.255994582544312,0.26364295632751544,0.27591116235031,0.3233912117978869
