,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.034625382728741716,0.04115934959186099,0.07920809808122575,0.2253534129415769,0.22607884931286745,0.4629831664675408,0.19584712644042437,0.2696040477327047,0.4354984765160307,0.2089913770672321,0.20135399285677735,0.268545376591878,0.25035361794537153,0.49428310400850073,0.5061741095650413,0.10567183380964013,0.10285200584327955,0.15734539331074268,0.12833390751321874,0.07550771798934246,0.07677561384602781,0.07595086601490023,0.07578755414346186,0.07535728237008715,0.07558466561997579,0.07516658454074275,0.2278759128133785,0.21272876731916818,0.2306198607166689,0.3536020183859574,0.28835713957164355,0.378896746655251,0.24206546552495306,0.2443603184828225,0.2561134283185593,0.23970193849693106,0.2579935002837093,0.23870104909858209,0.23833068899664273,0.2597769745272961,0.2542313811163267,0.2487362334349646,0.23575902767313028,0.24300512175332775,0.2640872529174606,0.30561309713907336,0.2517739370694042,0.30703310592936633,0.2830313823107664,0.4220487228695454,0.33377003956443485,0.283828661838304,0.4239781654340982,0.42355500456605,0.42408073212159214,0.4246707265658259,0.28467573701686055,0.279781358856932,0.2793292492069279,0.3604353624702522,0.5509288399521463,0.31757100307410724,0.24842229437703126,0.2950796551887844,0.2917906730437928,0.2859586608440352,0.2787539934033101,0.29477698128951396,0.29562719614608823,0.3628137502037939,0.0004976720382152361,0.045737051644166686,0.04078786627046674,0.0806817774898755,0.4643081260562187,0.1951409252330045,0.432616698296957,0.27069346330598,0.49296092315150464,0.10454268376183036,0.10196461428755994,0.15881522805375453,0.12740665990534472,0.07622900095132037,0.07587548244146286,0.07634782794857475,0.07873360602590398,0.0778407062568596,0.07353212795743824,0.07846077640185123,0.2161403959255615,0.3538285324427133,0.37701535548049736,0.2452856643869209,0.2452909475868812,0.2548139962488906,0.24200734020170134,0.25693336231874936,0.23964928662005203,0.2357490692824927,0.25710448657939333,0.25719682844801395,0.25018779755051923,0.23542469731438287,0.24302405860641835,0.2653225626520578,0.305795879514641,0.3072526735833076,0.27981008894623816,0.42304038738680916,0.4233270262898305,0.42542921821081053,0.4241517723296429,0.4237022001855878,0.28260810891620514,0.2815881114245773,0.2789439318975371,0.3183218051104619,0.24650921694333655,0.29548021155004756,0.29125082901554356,0.28608866615317863,0.28085171461412184,0.29347371211052586,0.296207982672809,0.36085138686460316
lapgyn4_surgical_actions,0.034625382728741716,0.0,0.012836739545934218,0.02264800681923114,0.25301794208215594,0.2488706404894413,0.48138446310379723,0.1960399705568444,0.28429128167683126,0.43204507508617135,0.2112308953464377,0.20012736431673722,0.2650214961908012,0.25353736999103016,0.47510363134333233,0.4938941347647443,0.12947086049978324,0.12657810393612431,0.1621674630872046,0.1263241935441317,0.055256328815716765,0.05632453618389602,0.055274179508201196,0.055509072838629464,0.05492106855210098,0.05528547171439679,0.05476178876388447,0.24659953369437054,0.18841783708455495,0.2528632652302567,0.37799883691527625,0.3317173489550308,0.37741002476929253,0.2377058928164363,0.23897688914893817,0.24888241497032845,0.23580342287638584,0.25077132500764054,0.23424091180037054,0.23439627382006956,0.2535471265017297,0.2472385526819774,0.2423569007232706,0.23156582759950223,0.23941790212174255,0.25575108535771435,0.3035967991569064,0.27345044946680785,0.3035995150300371,0.32040257237939446,0.4394745293701741,0.3168203633280935,0.27030718423681743,0.44125163700180015,0.4406649690303003,0.4409567173052501,0.4416425223815418,0.2732477875885667,0.2760123219919996,0.2766888963180506,0.3612042871984084,0.5561815607212093,0.28644290234493475,0.2337656148409547,0.2812761786458197,0.2655815212312792,0.2588917341560099,0.25490390819751957,0.2701715414146305,0.298888014635796,0.3734569315617572,0.03525800848402654,0.009705940405547403,0.011756418762748164,0.023070138365716697,0.4825597959504685,0.1955937395391944,0.428966086544846,0.2673440316067597,0.4737350170417297,0.12921979325547034,0.12508118857063266,0.16333168965731298,0.1259307380082518,0.0563418816111039,0.05554580129310754,0.05536084225754402,0.057722805316445344,0.05523530646090674,0.05376791193803015,0.058229369597907005,0.18990305356352682,0.3779571577550515,0.3758380873428968,0.24020853358348235,0.23921930692916488,0.24728178984846177,0.23734073924482285,0.25039044070421534,0.23527762212160816,0.23254008158075593,0.25055891917948675,0.24952381755776842,0.2441549499377049,0.23109153702952387,0.23856748948080492,0.2565768448010079,0.30301013901349233,0.30432953697604126,0.31718978687899757,0.44017728732417183,0.4405381502047907,0.4425796604603792,0.44114778203808014,0.4410560243772904,0.27141400055641596,0.2776541848184453,0.2760480605309169,0.2872815099161501,0.23166337957297006,0.28047960708906217,0.26546112766581786,0.25957481370847985,0.25747658066013845,0.2697156720342603,0.2993891180879077,0.3713666589445439
lapgyn4_instrument_count,0.04115934959186099,0.012836739545934218,0.0,0.018692575760045495,0.23164150350366985,0.2321598542215178,0.4622710204065804,0.19481168422301348,0.261895320675947,0.4153129091345923,0.19070511087115619,0.17962213054240975,0.24972299926823596,0.23720643856663093,0.4585906979530614,0.47325584720487934,0.12057084807135196,0.11760398274613312,0.16597887269862066,0.13897325345460765,0.04380955612608598,0.04507831456839104,0.04394517933091941,0.043929241320352176,0.043755856208098014,0.04406521371504276,0.04342846370902255,0.2321439399637637,0.19812852269123804,0.25613440984858205,0.3575032147298752,0.3042954860005546,0.3685184931385836,0.24337569160744515,0.2468343005971217,0.25806682824838406,0.24141406753049977,0.26014582858126106,0.24021546874099783,0.24031966101322216,0.2624897440773194,0.2557391324285544,0.2501735578916304,0.23661550186664557,0.24606226347861676,0.2655643708020803,0.3043180392113023,0.2601355277233054,0.30588783188840396,0.3060506037125117,0.4135331037880743,0.3257258256137785,0.2716519988766609,0.41520523824646355,0.41480416059749314,0.41504803484525865,0.415675726241708,0.25963015261476896,0.2662138141470427,0.2672679865686903,0.3612514003334131,0.5322714959459866,0.2777008808127086,0.2276542687232608,0.2626849309377965,0.2659618272651001,0.244989597174457,0.24524215041759856,0.2577062141109322,0.2908023663984325,0.35165223241352705,0.04151500615944114,0.016713362500584205,0.000594649987647492,0.020454864494860663,0.46338277436424447,0.19428767953915496,0.4122519734606772,0.2517927096614755,0.4569916352614257,0.12026203150624831,0.11575423165713873,0.16710530910711668,0.13857886990956986,0.04498845469920379,0.04416826530924479,0.044864853166903654,0.04604174395357795,0.04401437893572871,0.04215401162331106,0.045764186772387416,0.20083409331720747,0.3574979405128176,0.36699826354520737,0.24692672607647603,0.24741972654302405,0.25607524985899216,0.24360756900446712,0.2589862650968353,0.2414337842859889,0.2381566986467909,0.2595506260498682,0.258800809148831,0.2522181349551372,0.2359460853155041,0.24580996016476842,0.26647614735859826,0.3044736903480554,0.3066745470148037,0.30314228252851283,0.4142773073754985,0.4145583851302038,0.41670383121478477,0.4152432831319609,0.4149418110630866,0.2582184952001676,0.2675794222160005,0.266652188402696,0.2784894588890308,0.2252514963303791,0.2619740729065233,0.26570937444902804,0.2454021896641269,0.24721521933815005,0.2569133490517325,0.2913667112294061,0.34983402233695327
lapgyn4_anatomical_actions,0.07920809808122575,0.02264800681923114,0.018692575760045495,0.0,0.29859002056652095,0.293073776721538,0.5178193311521782,0.24841862316177585,0.310716515953115,0.4609572802586979,0.23725040881023213,0.22586548538597787,0.296530520174912,0.2875071806468247,0.5004992217855074,0.51725575256939,0.18638168536668492,0.18108841242464246,0.2165637265710551,0.18523905896904974,0.08294563145498526,0.0841207134989865,0.08263123437681161,0.08301654021391854,0.08256048663162693,0.08307860861897111,0.08216181075525907,0.2950150832551075,0.22823485406238697,0.3149195686277526,0.42738503594349825,0.3757562133977553,0.41978828769154725,0.28561530654598444,0.2880314111756914,0.29711395355686065,0.2844717811162959,0.2989573823513305,0.2825201679891662,0.28376143003707816,0.3018678679074864,0.2947635407209147,0.29038234183340716,0.2799793393682138,0.28730724805668306,0.30290175982536904,0.3479627888932516,0.32246125771423706,0.3483672311658284,0.3757274774791656,0.4809897991150329,0.3540440114513098,0.3192602895741701,0.4827992951769596,0.48221539623297927,0.4821691669718053,0.4830914479491647,0.31441014346076535,0.3239859349317594,0.3256059890312635,0.4120639348389483,0.5914166015885753,0.31643560355512,0.2744785935046864,0.3117075581208555,0.29926661681774525,0.2862261864901642,0.28186206499606453,0.30218984481809774,0.33295663875861836,0.41241063441034487,0.07974133133370284,0.02878475063203921,0.01809787367614594,0.000640450304290971,0.5188860034808519,0.24793716037837896,0.4583011739854802,0.2990012044042609,0.4987510323644363,0.18620095988481944,0.17934612565349348,0.21740893010039708,0.18488250412097398,0.08488145621265275,0.08337107149731388,0.08370082236508859,0.08521708121123574,0.08108259464749762,0.08131946937558694,0.08559465812241673,0.22967124983864118,0.4274024706276527,0.41866951666465446,0.28835891137322134,0.2881107470313497,0.29522312191877176,0.2859647095618336,0.2985449317164611,0.2838235502313947,0.28179391323576797,0.29917561310048274,0.2969529756592545,0.29252943810721727,0.27969951212919364,0.28641647898182876,0.3035780157069393,0.3478450559997777,0.3491600478900435,0.3729197571699197,0.4814429402284031,0.48206768229429614,0.4841264244779679,0.48240115417351104,0.482520767912477,0.31283857032799006,0.3253914342501988,0.32467457438050096,0.31723610588992956,0.2719336156205321,0.31048596771946035,0.29928726864847577,0.2870687966210944,0.28410202922296035,0.301720149371471,0.3335037016609861,0.41059992342681195
sklin2_skin_lesions,0.2253534129415769,0.25301794208215594,0.23164150350366985,0.29859002056652095,0.0,0.21409864539219428,0.3783478345712272,0.2569403277675476,0.24467710049358704,0.374943495887459,0.18626265901750683,0.17789935544666188,0.24570394290084985,0.21786497710514205,0.4432516633447102,0.4431907674944704,0.14555030848611938,0.1610542359367642,0.24591045697414565,0.24334726977939575,0.2182416693804594,0.22002595655646395,0.22001525539547265,0.21840744642279275,0.21912708943243492,0.21915731398171898,0.2190609641518031,0.07122168654211092,0.26860428753538657,0.18479559946613067,0.3022240567233535,0.1392166932003548,0.33771708703313774,0.2820917804148564,0.2894540128848443,0.30162670721839435,0.2793434712335031,0.30466531388884366,0.2790489319879951,0.27727561862762584,0.30654506107278984,0.3011410063045523,0.2914059257230213,0.2695007999014864,0.28926611081040055,0.3100225692347023,0.3551501099513936,0.06828939659502098,0.3599180043988603,0.11416030603051705,0.28933391401046654,0.39919987777064503,0.28639102326390586,0.29126312854409264,0.2910403601566037,0.2910421621186566,0.2924181605743824,0.21448148083313529,0.20209994853837743,0.20374228150877505,0.29849747788899506,0.432591207650357,0.34016809277971927,0.27327901374612673,0.30279694060617746,0.34575493775461646,0.30894478649803536,0.3103696099074319,0.2983844036387177,0.2664608121506895,0.24248180851378487,0.2236990746152659,0.2511354111965937,0.23691187336629754,0.300809103011822,0.3793846321453096,0.2553457964238399,0.3719416190446137,0.24645486930695704,0.44223298524249094,0.1463629117751608,0.15782273680721698,0.24605570154367223,0.24487039406841174,0.21631170323662524,0.2195632800287107,0.2221773267261229,0.22188618726637338,0.22449020570921868,0.21754867889608537,0.21548468207895322,0.27619680598951396,0.30208171331499245,0.33581729778347724,0.28782125456548896,0.29282632233222294,0.2992431729609909,0.28215737836952953,0.3005738516761528,0.27982570627722547,0.2735624807920581,0.30347716698101324,0.30466777927559613,0.2932967237085096,0.2687651586383879,0.2915144868888123,0.3120965024120249,0.3567904735663868,0.35983226977403493,0.11325899167420315,0.29062583594086744,0.290301666131375,0.293126858329258,0.29073555301618764,0.2911458648666978,0.21192862261509404,0.20205715139617889,0.2038405388025549,0.34175319200493576,0.2705987794348975,0.30392288733759953,0.34486766780488776,0.3083329768836002,0.31141272975917755,0.29607664561139485,0.2663796095049238,0.24073127491539575
identify_nbi_infframes,0.22607884931286745,0.2488706404894413,0.2321598542215178,0.293073776721538,0.21409864539219428,0.0,0.22994848627030345,0.3110423712595327,0.1946410019580847,0.2513568022136676,0.1505432647572194,0.14246857089425602,0.20989969915694423,0.1734439905918418,0.3731794235723703,0.3718056428332975,0.19157695069994468,0.19996918687955878,0.2784011404548966,0.2650578029630263,0.23486271862448477,0.23777547125249188,0.23635696871988537,0.23479889943752436,0.2363878428330138,0.2362245173591499,0.23749521040770355,0.17221376183998843,0.2522063845038346,0.177983497255208,0.2560355550124533,0.23103709194172486,0.36109575348222145,0.29265098469154055,0.2863291919100317,0.293168386176732,0.2926460257148965,0.29255538863753483,0.28870248022379863,0.2886884778812996,0.2946216862665898,0.2983901733669322,0.2884027772508147,0.28783094429245093,0.2856236399460589,0.29647688110953097,0.3429945037514297,0.18670185265951578,0.3519121618677578,0.17890105138937684,0.3808093919437691,0.42835001959321906,0.3150595256770566,0.38207438394193105,0.3822351888200257,0.38189940389646465,0.38318429397005743,0.3265837804191512,0.3203529621694311,0.3215440612701454,0.22319126401275485,0.5032911825572074,0.3255122777789785,0.2836850353987563,0.28503617716662305,0.36353225732726063,0.28607468542397774,0.2943969438868762,0.2970834298712466,0.29110565664287874,0.35668290015008314,0.22479633884812508,0.24059956478822275,0.23646880390750952,0.29621371144182845,0.22956452510201072,0.308189507854386,0.25161068552494725,0.21045549534553862,0.3711593052939178,0.1902322536717897,0.1953528517744221,0.2797389823370371,0.26582130229939094,0.23235189601525968,0.23425726571499064,0.23941255738672995,0.2406119331134313,0.2419637821531973,0.23517140076136797,0.23116643180184995,0.26023182146608287,0.2574124395607999,0.35905004078806485,0.2961993230389399,0.28987937125409613,0.2920242735034075,0.29920743702976027,0.28744679178246035,0.2879655130338997,0.2846211895435975,0.29209060578640567,0.3005391239990352,0.2894279907987723,0.2893508220679337,0.28764547760468195,0.30011095788356046,0.3453697213375191,0.35156921319168033,0.17781297996014062,0.3816687657008626,0.3822931347036327,0.3832463554837232,0.38191039481768096,0.3825371459081516,0.32611800582669026,0.3202721644147964,0.3201975618147357,0.32676033749561284,0.28076211914801086,0.28674367351280095,0.3623190469508847,0.2857616944970324,0.2939013698720715,0.2948090848979681,0.29221947194048237,0.35512020827740604
laryngeal_tissues,0.4629831664675408,0.48138446310379723,0.4622710204065804,0.5178193311521782,0.3783478345712272,0.22994848627030345,0.0,0.5114908698763934,0.29428368414413353,0.2303795400704485,0.2583396577695788,0.2614784060349034,0.2514715389427383,0.2173170497767492,0.42205535101265007,0.41916200008937743,0.42887357637699786,0.43311127597920906,0.49173223317768255,0.4998299960533445,0.48493018817538835,0.4880429816102356,0.48639381526162323,0.48482261689845163,0.4863960320634951,0.4865756613950707,0.48723287146828775,0.31707288678861095,0.45623440356634193,0.3874230972840236,0.4160353571043323,0.3672639353787444,0.5397017216621312,0.5187785149351228,0.5165852234125705,0.5191155546497684,0.5212447845347712,0.5187458399672856,0.5164358183453293,0.5182826715621127,0.5205853433778578,0.5240070679333992,0.5154122553053675,0.5168660741193121,0.5120949734805986,0.5196830573929321,0.5526466759949511,0.3660674195157082,0.5625206866719505,0.28336774751192517,0.5416869641785305,0.6402195537213231,0.529036494936987,0.5428224691330255,0.5427232497025452,0.5419215116470272,0.5438794587662222,0.4882844068851368,0.47885004426343747,0.4812390985078905,0.3822945909969252,0.6454997821919155,0.4987275829404463,0.4863651024620484,0.4835800765455203,0.5488553047775245,0.47754565949670713,0.4789714330173755,0.4833738398364886,0.46034573068975904,0.5423038634614381,0.46201290920842,0.4932124354604197,0.4670897515388582,0.5196649906466992,0.0002909081398889827,0.5089790471783083,0.2328763158973856,0.2509101302511284,0.4190503116555273,0.42875564980117753,0.4299933480799211,0.49206319163503437,0.5012410794589716,0.4819561873543674,0.48525630704146644,0.4899556140885394,0.4911046383408564,0.4918453221369049,0.4842630292784174,0.48098463784844564,0.46660645738740514,0.4163320940230232,0.5385824565786578,0.5233498035435831,0.520227203392484,0.5179888156646412,0.5274336186490705,0.5144060877663041,0.5159191232088927,0.514103832027107,0.5194472890381117,0.5253147126266244,0.5158113317442081,0.518621662259283,0.513372056901221,0.5246979233372574,0.555470811396692,0.5621920306978326,0.2844165796190776,0.5428353080239612,0.5431254900699924,0.5434137231350521,0.5418545786467193,0.543364538210047,0.48747435719316223,0.47868897737397276,0.48058140169306585,0.5000383636723207,0.48317589973180275,0.48450860294661746,0.5484513326546137,0.4770143211987078,0.4793670772308818,0.4825846073643486,0.46229318923416635,0.5412045926795255
nerthus_bowel_cleansing_quality,0.19584712644042437,0.1960399705568444,0.19481168422301348,0.24841862316177585,0.2569403277675476,0.3110423712595327,0.5114908698763934,0.0,0.3422978151130556,0.42396419629429116,0.2464356126913049,0.23308247320105518,0.28387351551727313,0.2704032891616729,0.48341804318786713,0.49063548403308466,0.10276885520655646,0.08261457235890061,0.03135458305503741,0.07534076579477894,0.14376464075475934,0.1437650472340507,0.14358525786702342,0.1440595333028909,0.14415721673448106,0.143730359802049,0.14428087606732573,0.2587395639410084,0.15467550032488891,0.29573866657195397,0.39043831564839404,0.3684161504271234,0.3293971829294857,0.25184790544956104,0.2476508903824521,0.2586326236724055,0.24760498499176514,0.25915381537974425,0.2463710243008793,0.24404164485292107,0.26272886080247526,0.2609157311894445,0.2519192689272488,0.24272626246260282,0.25641418978356545,0.2663693001870854,0.3388028169261236,0.2834932732254638,0.33858765845894834,0.3423319992378806,0.3769401027291194,0.3530406267048418,0.23188877912819772,0.3783024135577171,0.3778561025846671,0.378478353494996,0.37824148697418813,0.17183858777158784,0.16776526630737112,0.16595905209129333,0.38618090316790943,0.4882969241603529,0.29683197801623407,0.21155119125712712,0.2533785429422395,0.2795153325758856,0.2647231990312884,0.24707643086598546,0.25233745359047943,0.37235068643988056,0.3106768910380189,0.19548666913157053,0.2055688355558446,0.19582317053856885,0.24792959827673694,0.5126978339233681,0.0004219626824470171,0.419099025367466,0.28416298887245584,0.48310557491281597,0.10303607302955697,0.08605408218780208,0.0313481074217259,0.0751927795479761,0.14224774378799443,0.14523698078909675,0.14542030525634625,0.14497030959294158,0.14649657946253097,0.14401690973337342,0.14300417664833737,0.15606134814250477,0.39129148915154177,0.32766418555990046,0.25616715069845586,0.24879678230778435,0.2566017404999259,0.24980685035139444,0.25789008196418006,0.24704420772745644,0.24244391643403287,0.2600078349722619,0.2645676712358837,0.2541872251921288,0.24142132954020437,0.2562850842039362,0.2679330259238605,0.3380930227378247,0.33982292972379613,0.33983180575597427,0.3782087239896722,0.37734783580244907,0.3792002389776073,0.378642837595201,0.37716687230785034,0.17056188523991708,0.16939528226074704,0.16479311555025541,0.2985839182887094,0.20876783784993325,0.2531628945035818,0.2792205514315964,0.2641713028391207,0.24907782694652952,0.2514304081306456,0.3728088768901978,0.3081937048671247
stanford_dogs_image_categorization,0.2696040477327047,0.28429128167683126,0.261895320675947,0.310716515953115,0.24467710049358704,0.1946410019580847,0.29428368414413353,0.3422978151130556,0.0,0.2871560609044125,0.07103366023303356,0.07117002188946892,0.13391449547529855,0.13001334657055708,0.3657936912600718,0.37359319567032157,0.2482455068689694,0.26052712181576054,0.3164269981818546,0.3155865439042226,0.2924188439025025,0.29497800570621224,0.2935963692365354,0.29220007690478883,0.29308405930398385,0.2938137422021111,0.2940133909947985,0.2087884027467266,0.3159815990719502,0.23482400630033756,0.2974969022920135,0.24090341296810588,0.34636499131696485,0.34190135873492616,0.33904270046891916,0.34329671037198506,0.34300560516254586,0.34353080532413627,0.3396059826036954,0.33973248857161753,0.3450556448002263,0.3466196407314049,0.3394594625242301,0.3411205038730258,0.33542900998153735,0.34590796077527397,0.37648945756696883,0.24315052481051097,0.3848035370337666,0.24585006127173364,0.3796857613525877,0.4377561856348251,0.31339871685427356,0.3811379335330669,0.3811258335252886,0.38055715753284186,0.38217433618303315,0.3214074445678976,0.3113551340367524,0.3133025846846383,0.29219796681983945,0.47840049231982973,0.31100281268902075,0.3003976297225729,0.28358753685405425,0.3587375819973857,0.26879435288795545,0.2826737251959569,0.28351893839343884,0.264064768316952,0.3611379876295441,0.2670179996285782,0.2821159739399519,0.26593572081964895,0.31392494223757184,0.2937264743590463,0.34019558014504003,0.285248514310095,0.13600715191719887,0.36454068560445596,0.24714515570882048,0.25787172956924453,0.31687473726092863,0.3163904978307093,0.2915358568829289,0.29369592628340474,0.2977263699238675,0.29695133258545414,0.2978662822491195,0.29276031198417807,0.28927464861273827,0.32385435137270935,0.29779560419631645,0.3459319653107343,0.34584231840283486,0.3419321758723954,0.3427743943352388,0.3479318387106486,0.33980766984573463,0.3407486947481604,0.33655800433369876,0.34365726725204876,0.3479672420230915,0.34021003521704707,0.3417216611163072,0.3355873261521912,0.34963867629256307,0.3787527284170371,0.38435052395230757,0.24610308618248472,0.38043704944854506,0.38151406392661447,0.3819689814129218,0.38029428921844555,0.38135326774978284,0.32053940752551147,0.312055736675473,0.31169044087324027,0.31241838552270057,0.2961764791107377,0.2843200081193412,0.3582731091377358,0.2685184212689866,0.2830576606591248,0.2819197063028961,0.2647498129989917,0.3602537189678392
svhn,0.4354984765160307,0.43204507508617135,0.4153129091345923,0.4609572802586979,0.374943495887459,0.2513568022136676,0.2303795400704485,0.42396419629429116,0.2871560609044125,0.0,0.23147464936678952,0.22119252635167996,0.13418505226992858,0.11042781897595473,0.25197391308548717,0.2508205165877985,0.3779520553349366,0.3801114079130046,0.40900256260788215,0.4126174482927919,0.41418084365668567,0.4169910548870163,0.4150671855611926,0.41451117216344824,0.4155079975479149,0.415484225545198,0.416712031087872,0.34049404173705233,0.3908382354464667,0.35988635638917643,0.3886823503143404,0.43000154649621036,0.4751944028405418,0.4141791261173949,0.4078390028335374,0.41125826639536883,0.4141330456599279,0.41070870561697537,0.4108282066903455,0.41123265166420137,0.41274670762627486,0.416136840236251,0.4078542460967481,0.4106720916972699,0.40536033003111105,0.4130537664595943,0.4636563776944664,0.37560989480006823,0.471122390879247,0.3565326023865433,0.5164563645791704,0.5335788263691572,0.42749529266715613,0.5174137441615564,0.5175038967317618,0.5167016174479688,0.5179422009061836,0.42187442674169345,0.4107045699055838,0.4131012278015009,0.37765229229288666,0.6161327779913637,0.37264724330528265,0.3758612962582526,0.36697661029216644,0.42671745085420204,0.35461276888383675,0.33718649348593255,0.3554191379256231,0.4377721938651712,0.5001407038474902,0.43564340941654056,0.4307215525233367,0.4186890611260954,0.4615349073513546,0.2310311638850835,0.42153519931681754,0.0006198802305391125,0.1318550099070896,0.25116466690942074,0.37794794864626097,0.377464255656213,0.40863510334302233,0.4145740427705986,0.4113463485495341,0.4145689412502248,0.41893901969483127,0.4201401777443055,0.4201642174828043,0.41566374383733096,0.4103806768976359,0.39918838308174964,0.3887095816735413,0.4744666788227303,0.4180578095086939,0.41096973962817346,0.40946240908423104,0.42001122598368856,0.406384715826948,0.4110077081663426,0.4080654111330575,0.4115440460657906,0.4175470107995679,0.40934619338161826,0.4127526621701636,0.4061931108067637,0.41646668379620533,0.4659028713349654,0.47069020767298875,0.3571423753248017,0.5171323598740605,0.5175225802286185,0.5180078580859695,0.516383109226368,0.5172458165085375,0.42050193891554094,0.40989801749858906,0.41208898155100376,0.3747123707125907,0.3727666885176108,0.3676106485419987,0.4268515373120608,0.3541466517832204,0.3368584099711198,0.3550346045215722,0.43904972480256343,0.49884169022943525
