,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.08934228088786424,0.09407812168619609,0.12897408865041943,0.2529972843888399,0.2958532798477068,0.5084980191151014,0.23270830580727808,0.3401581423599863,0.45222024630320345,0.26335365557227064,0.2546251555381066,0.28976778672685544,0.27181688935337256,0.5141230100039469,0.525710008274423,0.15160028204177342,0.149911350531012,0.20386220996180732,0.1836720281806858,0.12928243759999872,0.13048580245433478,0.1297921300757144,0.12926169792404263,0.1290784999205043,0.12923111933070303,0.12911402757411022,0.25698656673492914,0.23964090617409886,0.26547972593991487,0.41446854063829053,0.35216728932165076,0.38744879779455965,0.26291644863125163,0.26440327446087963,0.272734956538661,0.2610711770173987,0.2741234121074751,0.25999902285204923,0.25968376297063034,0.27607604734662616,0.2723319258927276,0.2671975027890313,0.2576002678586774,0.2619991004148586,0.2789958932493417,0.3200716531715946,0.2804375279492639,0.32255113816198744,0.3328453533009614,0.43245165408482444,0.3535270861909533,0.2958244383232318,0.4338782508680745,0.4338190483843629,0.43447190599073776,0.4345618662280839,0.29731493752258986,0.29122674063464743,0.2908033236447166,0.3641471985314873,0.5734317922296417,0.3248770529014479,0.263140331807723,0.2997280165169193,0.3075884475815598,0.2939122429503967,0.2872367007643592,0.30459033392186863,0.3082351762318991,0.3740842087445959,0.05250236469148958,0.09773105554356448,0.09396302389274475,0.1302067258432094,0.5107440105380203,0.23241620951060904,0.4487544929350114,0.29189072811462763,0.5127736898403555,0.15088239589474972,0.1491451941776858,0.2052075893898931,0.18288921963669208,0.13021221689531248,0.12972854253681126,0.13101668993244503,0.1324029214097259,0.13169302172136235,0.127874393224083,0.13154938286760873,0.24286005370716618,0.4144456180031827,0.385755822584543,0.2657933693568463,0.2663348428342243,0.2724510412808132,0.2639396822096433,0.2729912585162907,0.26097976922167077,0.2570273140668581,0.27374712223303066,0.2750349116456745,0.2685503476944663,0.2576349451057127,0.26258885171109314,0.28057675971190726,0.321143504623789,0.32246535763434436,0.32824708718994544,0.4341413776599704,0.43268530924040005,0.43520584078972724,0.43440390328192247,0.43370780126452435,0.2961885172942328,0.29316439672805616,0.2902311593595239,0.32527090024260286,0.2621363623048515,0.3002739248834379,0.30697615914558063,0.29381202562400055,0.2886556763130681,0.30381239993409215,0.30876874468123544,0.37211948256489435
lapgyn4_surgical_actions,0.08934228088786424,0.0,0.06642059849020113,0.0743619440911027,0.29003180874180956,0.3349171611917524,0.5588009932500813,0.23269394863749998,0.3627068284208571,0.4718432359352448,0.27175182792144953,0.2589016423941758,0.2939818391386688,0.28261093238189,0.5278253817212905,0.5460318901228628,0.17355761032417727,0.17181274643961203,0.2056647049099105,0.17601706088662306,0.10699751804456153,0.10786264816201319,0.10704499456751988,0.10713043171305135,0.10661043099145873,0.1071401075137775,0.10667976613620946,0.28889176398193905,0.22136519523222253,0.2965746586953175,0.4559307728090649,0.40696771920171976,0.406017868526366,0.25929266244305416,0.2599969196100088,0.26760403900722596,0.2577237925401015,0.2693263010702628,0.2561017202396917,0.2560609620243383,0.2719306170543343,0.26699472092345955,0.26258199889063616,0.2540199188786349,0.2594926044403412,0.2734158702358154,0.3240258230149895,0.3151666795563769,0.3246446392257538,0.385076067885463,0.471686331752431,0.3397383445087462,0.2899831062712344,0.47303388812900904,0.47285722753015025,0.47320009602508634,0.47338121400808414,0.2954849523918441,0.29574378764673714,0.2962548734477307,0.38585536962997224,0.6048282789797428,0.30541783144976953,0.25225370020842464,0.29615496557177434,0.28774928386546095,0.2774460336777363,0.2720962024984589,0.28923798741620266,0.3242328284076465,0.40247646793906566,0.09060183277670643,0.06028693013569404,0.06540273944696721,0.07463122391857335,0.5611092049284281,0.23242177856495116,0.4680639520070733,0.2965352805740893,0.526335643224629,0.1733677541949013,0.17071779535127815,0.20659999335081303,0.17559172320783506,0.10845288344477083,0.10772689281815619,0.10781827942413402,0.10968461280551246,0.10717802271136567,0.1060569532699766,0.1098044476795095,0.22258756891326154,0.4558511360735192,0.4046141377517408,0.2616766831515154,0.2610198149967621,0.2668987450188421,0.25925769226146983,0.2690099888899583,0.2573954401461274,0.2546583889375603,0.2695710950035398,0.26911673174424144,0.2644386408800941,0.25370015864338447,0.2588815625121095,0.27448822069169126,0.32436347484445127,0.3252487463114424,0.3802964614270896,0.4731781345948811,0.47180084686491364,0.47426913814913735,0.4733929682570384,0.47298720216487156,0.29418801148799284,0.29741022220830954,0.2959136225596722,0.30595118339958743,0.25060051372966197,0.29553185659989034,0.28761704490775725,0.27804728592690287,0.2743827967662295,0.2888369123322472,0.32476124957730335,0.40030775205306945
lapgyn4_instrument_count,0.09407812168619609,0.06642059849020113,0.0,0.07038355700673798,0.26813556992337584,0.3119576249347956,0.5266439877065416,0.23428189827913776,0.33574000360286027,0.44808265022123966,0.2504944150079505,0.23835089813790178,0.27773414569918875,0.2654327236596152,0.5047842048493459,0.5197975236353493,0.1665903950443534,0.16584733294850423,0.21193843347424607,0.19165938066553712,0.0982664227711035,0.09960977733854018,0.09837471954727653,0.09837528929275219,0.09811379706851868,0.09842758286806032,0.09809712413411611,0.26992632254942883,0.2304267277661987,0.29314445056400285,0.42870335724470265,0.3728846313557006,0.39031986684618036,0.2661574164595005,0.26846842603040766,0.2767242019395619,0.2644408678585286,0.27840204111486155,0.26331166433133846,0.2634471255058079,0.2807154322110046,0.2758423899607491,0.27076714234680566,0.2606847855818742,0.2668059653252766,0.28275666074932654,0.32327138145961865,0.2968473819201738,0.3255226267066278,0.3601356913966434,0.4439183650326594,0.3499083019265727,0.29160475349361503,0.4451673904166623,0.4451978048687667,0.4454870806183005,0.44563041833850187,0.2854699722620183,0.2890299449561815,0.2898668411121358,0.3755967089035823,0.5791110232685388,0.29594065586210205,0.24873809176996556,0.28035890813742026,0.2890003117820084,0.2659200415664347,0.2641869350382209,0.27877040640839373,0.3133204357614653,0.3815300584503954,0.09497864610649456,0.06857685035994052,0.05323190105184955,0.0723236208464611,0.5287156107715105,0.2338962217731489,0.4444482717554251,0.28003133945145475,0.5032838170513914,0.16652086814313033,0.1642988176738927,0.21296318204942621,0.19120938662953807,0.09992292030660611,0.09888532738574675,0.1000546499281043,0.10082657000088735,0.0987366652522862,0.09706151764193868,0.10018462376473286,0.23301161451372457,0.4287049708975992,0.38892207636580145,0.2695222953395472,0.2698612264709522,0.27567697073965564,0.2672429432814121,0.27729162414369757,0.26457628524093996,0.2614729407037557,0.27835146634911623,0.27851417549174495,0.2724922380901308,0.26038303787041917,0.26679838836684333,0.28408952969234924,0.3245785786862523,0.3263858467494935,0.35580025768140794,0.44548324358113717,0.4440918366406271,0.44647070120185317,0.4456784491946605,0.44503831987291376,0.2847894296895706,0.290638790583559,0.28951303990106914,0.2963602316303048,0.24729536334877225,0.27991996489063325,0.288811029203058,0.26620521793173335,0.26584216797981486,0.27812797533400774,0.3138116743133938,0.3795553084787915
lapgyn4_anatomical_actions,0.12897408865041943,0.0743619440911027,0.07038355700673798,0.0,0.32393637542696346,0.36037916536856024,0.5721962796364793,0.27769035882583326,0.37761008670068497,0.4851220388663891,0.2909366759789753,0.2784395953477937,0.31848537075427913,0.3091696205480682,0.5385884809582484,0.5560967119179738,0.22096328784767064,0.21947043894990878,0.251685993177399,0.2293820795699571,0.13444486746006945,0.1356693818868457,0.13424335196972997,0.13446070670097698,0.1341455080378341,0.1348020587203743,0.13416690081567417,0.3226975350125227,0.25546570501109456,0.3422657290644228,0.48429755087625986,0.4302455238637367,0.4331595850429599,0.30044147184999354,0.30199093584523085,0.30845134915686784,0.2996233098419074,0.3098967076851187,0.2976843712808361,0.29874990161200676,0.31278829381402895,0.30733758318982407,0.30349188038937336,0.29598932466193,0.3001656698858738,0.3129218378339872,0.3590538844110628,0.34787344403887976,0.36029975025320055,0.41629934322814677,0.49951085632668907,0.3713785540215892,0.33102682288103624,0.5008101598274821,0.5006393333908337,0.5008705837807816,0.5011451333091658,0.3313108920236424,0.33703293314768035,0.3381623421459162,0.4193759923721374,0.6254986070451461,0.32689153197752685,0.2873255135830119,0.3196203381303452,0.3150222412023586,0.29864755222850126,0.29413793693519813,0.31374679138466055,0.3491103855025629,0.43402544755495837,0.13005724663499485,0.07765162248680407,0.06990566338716495,0.05204651307846941,0.5743083650525812,0.2771281084215895,0.48191710772799784,0.3210513070786183,0.5367305815400811,0.2207909392766833,0.2179721416430801,0.25249449925762124,0.22921627699792121,0.13668072671063977,0.1350653029324137,0.1359966207959074,0.13724275287573506,0.13326633252332407,0.13325732525393702,0.13687623154266076,0.25698964289104165,0.48442355566969975,0.4320987758083425,0.30302068788257674,0.30290161078452904,0.30736603875593005,0.3016578392700768,0.3092193066311797,0.298974511520806,0.2969200971426533,0.3104565342662917,0.3091896820265244,0.3052974984952155,0.2960679936402647,0.2996084033212343,0.31392686850574975,0.35982809285503575,0.3611434365479813,0.4120541705217035,0.5008645294608889,0.4996556377804291,0.5020486792634263,0.5008619649450301,0.5007555497574618,0.3304354304118015,0.33857594236245797,0.33771746687850795,0.3274068212749023,0.28540427739211627,0.3189593736656243,0.3149685272783941,0.2993694706325867,0.296130769331698,0.3136570746237321,0.349677086674838,0.43219068639252006
sklin2_skin_lesions,0.2529972843888399,0.29003180874180956,0.26813556992337584,0.32393637542696346,0.0,0.2747083653354848,0.4176489590913991,0.3035202087252039,0.3065386995325606,0.3964004623032737,0.2475614752015733,0.24222397447217722,0.27757041347630207,0.25203284252714525,0.4632901563606263,0.4656018317482192,0.19952367473161992,0.21232393259790625,0.29543238854576204,0.3015113786922785,0.2712320072869035,0.2732160368858556,0.2730118715480533,0.2710350464383814,0.27182455818247614,0.27189146724339974,0.27251068404883516,0.1291661313579021,0.3048979113101883,0.22330885352202445,0.3589339201643547,0.2169677142635108,0.3653787239062767,0.31599071393668077,0.3196248978373559,0.3277798321344356,0.31462907619523917,0.3293497484296416,0.3136122563596705,0.3125487555690895,0.3310856574796278,0.3298187760628082,0.3207129603398422,0.307086810981089,0.31942374395574136,0.3329377909069176,0.37021950926394487,0.12164770136557515,0.3770254499856549,0.18101135760673082,0.3321585309343156,0.4247165679691047,0.322156421883808,0.3338673250841698,0.3341735023295752,0.3344198218920428,0.3350713742672057,0.25730244466389485,0.2452149741843142,0.24684493019361015,0.30792069381950826,0.48513335344044434,0.36321851884805734,0.30917715785794164,0.32246182716114563,0.3771257623928612,0.33214349706373913,0.3347883317441691,0.32909276046583724,0.28849116670993047,0.2837079182048712,0.2513089589934363,0.2876110648684917,0.2727471956311898,0.3268623991092069,0.41943892939393224,0.30179084327852346,0.3933818378038299,0.27806726647643815,0.4617850885837558,0.19967971452736283,0.20981117680650369,0.2964221969658777,0.3024989316935367,0.27017300105039255,0.27183681100191925,0.27555700414699236,0.27525716992775096,0.277607130694289,0.270488879206887,0.2691392753034094,0.3120112235054528,0.359056663106738,0.3632745548479469,0.32105164633048006,0.32368922841405723,0.32678547647853956,0.31877822920029886,0.3250833441311025,0.3137646825880451,0.3085454451823457,0.32876287307042973,0.3323519788239825,0.32175339616702026,0.30723339883085804,0.32199227320229085,0.33590728230848654,0.3729293630591357,0.3764773193988935,0.17899961682188975,0.33387042118096066,0.3326440214218176,0.33546202746681164,0.33407392664658947,0.33385119185435197,0.2559555338783762,0.24549271665539663,0.24609149829427532,0.36454178795796166,0.3075885267594456,0.323916915350231,0.37578231760064124,0.33154420227490483,0.3350013337760237,0.32726813961163226,0.2887098988227189,0.28210552793497273
identify_nbi_infframes,0.2958532798477068,0.3349171611917524,0.3119576249347956,0.36037916536856024,0.2747083653354848,0.0,0.2389521290158604,0.39576253124669364,0.23325366063763567,0.28220138217524793,0.2149325043566438,0.2131290952101371,0.27232401806208406,0.2386769961693385,0.3808200381156339,0.3769261910654105,0.284958989277129,0.2976094753086769,0.37642265852973417,0.3731810427321642,0.33504472234524374,0.3382533467015555,0.33622656708038035,0.3342439645323118,0.33620870337538655,0.3356169502765629,0.3378334279038419,0.22856780052028602,0.3288220393586131,0.23592197117243116,0.2875989665043075,0.2619643917372714,0.3714749099801875,0.37100034564230444,0.3639190751323088,0.36672765854051104,0.3719935552524316,0.365445893525805,0.3682238739341055,0.36836986820012324,0.3674596937693755,0.3743146794351817,0.3644890476304937,0.3682369305361127,0.36342738663798624,0.3672747124479035,0.38919377694305946,0.23904079808795586,0.4002619381866561,0.21985949640329377,0.39193624914809544,0.48818343352341476,0.37988695786219906,0.39258049567072145,0.3933801539793951,0.3933548584679837,0.3945261803490563,0.4022737257607578,0.3970430688386626,0.39816965183120584,0.2564821184906442,0.5112278768080045,0.3734602063980258,0.3585658298494915,0.33229806201531364,0.4241725780818722,0.33791098308266054,0.3524601174280145,0.35331269194208825,0.3174535259498702,0.3743932496984635,0.29437818692334095,0.32509389078607165,0.3162794121045069,0.3645551262692821,0.23911328533147902,0.39380918708230667,0.28348091787696034,0.2729064985059083,0.3787647391273273,0.28329998626273567,0.2935929514012715,0.3783242349735725,0.3729055566791738,0.3340048884271522,0.3332944389032625,0.33957503271546663,0.3400687533647888,0.34151123098890696,0.3350820830809693,0.33229731282752417,0.33738723680219446,0.289103882438487,0.37042314252714337,0.3739008462380493,0.3682865731902194,0.36705337711819597,0.379909854091257,0.3602584449882551,0.36618212594813526,0.36369658925237913,0.36530370968111087,0.3761071519572564,0.36480950717686245,0.3700331692892685,0.3658628187680667,0.3710853798768439,0.3935028135880891,0.3996655780724042,0.21931423697235292,0.39239744849072644,0.3928650162049034,0.39396941120761597,0.39284083768177286,0.39349447488863315,0.40332582447689924,0.3980893376041308,0.39508866371013446,0.37471365333185047,0.35710395659278726,0.33403332047527956,0.423400637990599,0.33730365086668845,0.3513054462096804,0.3510279771036856,0.31797062924062336,0.3734395367263375
laryngeal_tissues,0.5084980191151014,0.5588009932500813,0.5266439877065416,0.5721962796364793,0.4176489590913991,0.2389521290158604,0.0,0.5989396873680267,0.3140176688047672,0.2792447629060206,0.32164444714485085,0.3297810487724834,0.3516073537650754,0.3163566978120027,0.4182163558418299,0.40269374226150356,0.5024969743759432,0.5133990889348942,0.5860265395709072,0.6108485883386287,0.5698482735764259,0.5735480335019185,0.5712248219352805,0.568663768736936,0.5707467823885285,0.5704069106051166,0.5723194344717082,0.3520249528577548,0.5260736557943422,0.41428544023847624,0.39273735693188344,0.3548906407742366,0.5110959771210755,0.5916536056463898,0.5865907042585601,0.5856019675020314,0.5944818694195141,0.5837012209640083,0.5900094885758342,0.5917164596823443,0.5855571193027123,0.5938977021753217,0.5844498406216336,0.5915979529402118,0.5823686636110883,0.5829239913211877,0.5798097741032392,0.37989714496132226,0.5938831005237357,0.28982039331052617,0.4974289560696161,0.6889904007291909,0.5746058652406898,0.49823942058926807,0.49905044710183033,0.4986019919287479,0.5000509117124834,0.5618549757062485,0.5553225057705762,0.5575387699899044,0.387223231938836,0.5897254065918693,0.5307107695683999,0.5567833963437614,0.5088240854247936,0.6032119477159343,0.5133794139204022,0.5258531358153912,0.5285003907464445,0.4657563070858748,0.5145346883454027,0.5066321908806815,0.5560020821618218,0.5319825971640781,0.5763177513412563,0.03913484195441761,0.5966783533289788,0.28372498252307543,0.3506789830246556,0.41586108738400884,0.5012598537673242,0.5107539710176371,0.5876278810003543,0.6107271885948069,0.5682774898478733,0.5681605641368495,0.5753398936132894,0.5748444096795489,0.5761090512833231,0.5689038105005004,0.5663155339011537,0.5373399294371661,0.3938230037229288,0.5105793832388154,0.5947071900620026,0.5915833570996369,0.5852932578410724,0.6032373728146873,0.5781848919868384,0.5884557162135422,0.5863913578640033,0.5841418709179135,0.5949567446834475,0.5838835005651378,0.5936378582139952,0.5846752161562165,0.5880421884999337,0.5850049456995725,0.5924913838321437,0.29207849383438855,0.49795792472738626,0.4989843111253589,0.49903785909630494,0.4978110641796507,0.49915991069234245,0.5631582587964434,0.556094816454866,0.5540142905173573,0.5319119763704211,0.5549033875263717,0.5105798727574966,0.6028879186182058,0.5122541601694657,0.524360547775236,0.5270029224677529,0.46692528866983607,0.5146352488540507
nerthus_bowel_cleansing_quality,0.23270830580727808,0.23269394863749998,0.23428189827913776,0.27769035882583326,0.3035202087252039,0.39576253124669364,0.5989396873680267,0.0,0.42376816354034275,0.4797764881569394,0.31752076401823554,0.30338337441286917,0.31986918230630046,0.3077399517690357,0.5556178297211192,0.5699766926472725,0.15129206565470757,0.13346659444505904,0.08244384015143481,0.12927360690898826,0.19010183167045375,0.190199215798437,0.19012041249248351,0.19035616764661795,0.19026838246871183,0.19004428892196268,0.19054294544963357,0.31515806314514255,0.20489412263992096,0.34858983172488944,0.48592124528116765,0.4522994638544635,0.39355491394128816,0.2884216396347481,0.28346299592006263,0.29212387143635615,0.2847110767108858,0.29238258904430675,0.2833223902001961,0.281157832703093,0.2957109069802306,0.29519098683799605,0.2870736252002831,0.28052926522418725,0.29027975163050335,0.29862212045701364,0.37165657485223424,0.3330167983202283,0.37214907594008273,0.41752527174387205,0.4551925936960232,0.3941829264117078,0.27102151427711707,0.456419688707126,0.4563129560842778,0.45701768893415434,0.45655938728755263,0.2190332513319787,0.21345105938572523,0.21174985952263747,0.42689759861823917,0.5886182185418023,0.33728057306158926,0.25247120737119144,0.2979003286253292,0.3142219820545331,0.30680095500743054,0.2844877289591379,0.2956062308711337,0.39223430959268657,0.3778717967251737,0.23257345311131147,0.2417574759439081,0.23519295421181458,0.2771974920390614,0.6013003284401632,0.051625397505239416,0.4744318627331803,0.3205369445113212,0.5550147206198385,0.15104578481623937,0.1366125902012752,0.08268032203351118,0.128831228601112,0.18935410842348266,0.19180446359974201,0.1918443386037719,0.19162890769429716,0.19279575446190012,0.1903500942953974,0.18995605375947172,0.20548918127669835,0.4861761024255996,0.3917474927791964,0.2920245208797773,0.2853826924793974,0.2909591457354309,0.286650959677955,0.29147969156108705,0.2842138352139598,0.27972006938940486,0.2936334763941931,0.29797225170651087,0.2891635981788387,0.2796481643387555,0.2901442329274325,0.29996472231804633,0.37149581501554985,0.3729452251014165,0.41349642256333485,0.4572800070068004,0.45489916522504775,0.4573344951879852,0.4570928666531192,0.45564881601092094,0.21787023193236815,0.21552503931326336,0.21095913633837898,0.3385922310026557,0.2508474206525636,0.29784131021801663,0.3138666638047408,0.30656908206787314,0.2864938470320494,0.29515561549394953,0.3927322431259467,0.3753277716349256
stanford_dogs_image_categorization,0.3401581423599863,0.3627068284208571,0.33574000360286027,0.37761008670068497,0.3065386995325606,0.23325366063763567,0.3140176688047672,0.42376816354034275,0.0,0.3171640737023097,0.12339812262844535,0.12399092376273466,0.1972472461709865,0.18792588858567727,0.3779109824258064,0.37431734330933353,0.33390019008175853,0.34804325387619395,0.4076272888734628,0.41249669311471376,0.3794438026587573,0.38247297017695775,0.3805680400781076,0.37875541641321797,0.37982539775913104,0.3801050526313735,0.38141515246157387,0.25588651302503174,0.37475193000306944,0.29048530747824197,0.31756763312645225,0.2704939887593592,0.36819035522561827,0.41393657474080686,0.40940231779535513,0.41154868376584997,0.4157559668002919,0.41079745186791916,0.4117601874327547,0.4117002585254249,0.4129825301542621,0.4175879923362895,0.40970028021714266,0.41376633409452707,0.40769248096767036,0.41264482807918623,0.4323042045706863,0.2876410959960346,0.44195087759146645,0.2760069966473997,0.400510388273971,0.5073532586466942,0.37587497054200536,0.40128759537281666,0.4020293004304957,0.40171797117065583,0.4030887671085458,0.4018834799100275,0.39170466496627065,0.39386103285911367,0.32256811730222174,0.49475890109706167,0.35699887410028996,0.37498541865940893,0.3365912309704566,0.4217014503474112,0.3240646952357749,0.3410388353686241,0.3441233592606287,0.31354839823333325,0.38703592792012936,0.33845110699241876,0.35554537725647606,0.34017415846427046,0.38148010509683283,0.314623419767501,0.42195862571991394,0.3164655914405259,0.19951339499600032,0.3758729932160677,0.33302903522317995,0.3453082871746157,0.4087127790889111,0.4129222285120604,0.3793188749134993,0.37953187626796836,0.3849578320724936,0.3840637868370753,0.3852108868745652,0.3797135221098752,0.376417289175454,0.38300719663344207,0.31843525097459585,0.36853900205056056,0.4177642098957204,0.4134232364371453,0.4120509404263035,0.4223624674374463,0.407134381361724,0.41221570477777947,0.40792483250256306,0.41134308735710795,0.4193705258699286,0.41013012657239534,0.41428754366800524,0.4078369089264756,0.4164519267061234,0.4360960979665924,0.44172768913917165,0.27674150701984035,0.4007217914106361,0.4015815917392745,0.40268308665320784,0.40085158789713327,0.4021579588698325,0.40241895989576737,0.39299871244211176,0.391195706381803,0.35878214701892924,0.3719396884340579,0.3374631399092659,0.42138998247353654,0.323305311545868,0.3408443412758745,0.3426787618881447,0.31374292995871866,0.386658825831693
svhn,0.45222024630320345,0.4718432359352448,0.44808265022123966,0.4851220388663891,0.3964004623032737,0.28220138217524793,0.2792447629060206,0.4797764881569394,0.3171640737023097,0.0,0.27872899992899797,0.27768444281858584,0.20760276817496673,0.18525864382339527,0.27448364005012404,0.2691584707454985,0.4236821229901898,0.42966471479800905,0.47010697419463554,0.48634953547858883,0.47003224336207106,0.4730633761933572,0.4709821755184196,0.46949403492155084,0.47108926527921613,0.47077348207614744,0.47258080422730186,0.35494382144383907,0.4337264919879569,0.378909082743373,0.38788335334429674,0.39728672094536444,0.4581090356348602,0.4714208109779954,0.4631719398862292,0.4634669139565352,0.4721214010313223,0.4615476795672583,0.46867175777916104,0.4689507850203719,0.46387851965711874,0.47087642088655784,0.4624293227747675,0.4695706739257663,0.46129708492396504,0.4627099724400708,0.48783000849050584,0.37872185750378606,0.4981855113472048,0.34978823584874746,0.49058719079030844,0.5726924790296024,0.4631967098399301,0.4912746728950133,0.49195231600766914,0.49181110030328873,0.4925413434960689,0.46579908680388404,0.4590655906460413,0.4614141774530286,0.38312820321331464,0.5921427384319178,0.41316888572518123,0.4341056888690762,0.3990378086784685,0.4734396670257433,0.3986926789140658,0.39260450714343365,0.4060326981502314,0.4288197661834249,0.4848216546567005,0.4515824031810146,0.46778619221499185,0.45172714922618273,0.4873816507433992,0.2804793920014418,0.47743413806069807,0.0455423538260772,0.20533705762252796,0.2739061848999579,0.4229405886358696,0.42752890468993515,0.470832164585411,0.4874514869652853,0.46842005837533685,0.4691486748101671,0.47483068466031475,0.47565831012920545,0.4757814812048517,0.4706164101051783,0.46703395304110323,0.4423496796930406,0.3883457722796593,0.4575668231189534,0.4747875905449059,0.4668970557632469,0.46280243056851555,0.47929099203774017,0.4570951664780086,0.4680920511231049,0.46530683670963513,0.46300590841971945,0.4718544532279618,0.4629454968433403,0.471763409406055,0.4625928338098657,0.46602619388543254,0.4917146902986702,0.4972793141640287,0.35073161931546537,0.4913870031378872,0.49130636873021005,0.4920536081959811,0.49131486367953436,0.4913810023006453,0.46637554569904466,0.4592490673028618,0.4590464938740264,0.4146150076720995,0.43241733766020907,0.40038108477456114,0.47333856090844906,0.3980866020883713,0.3919453273454715,0.4045654425185664,0.4295844790221942,0.48460538122447794
