,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.03471606823192448,0.04117126856154163,0.07948268813205478,0.22722439861982768,0.2297938002909145,0.4732106141347958,0.19684806614826228,0.2758581695763295,0.4421395319516614,0.2136080978746787,0.20427648346274774,0.27006267374862203,0.25255185762511356,0.5051785233210184,0.517056861097767,0.10567975640060184,0.10282649593724563,0.15757195924866665,0.1292457096180566,0.07593432948327433,0.07723721515602111,0.07639507453413738,0.07621379691339292,0.07579003042069048,0.07601798150557167,0.07560591059767889,0.23114664596371878,0.21266027480966168,0.23208680457780517,0.35845238710922933,0.2932379444912264,0.37893158003978467,0.24193407284837976,0.24418190249426652,0.25593225987086,0.23957519925784387,0.25782102757957936,0.23853944710461578,0.23817477707785262,0.25960999473632124,0.2540741870007604,0.24854124232023997,0.23563036210555655,0.24280542400825494,0.26391160923500634,0.30571084237718105,0.2550336686002955,0.3073464882613943,0.28969873482940456,0.4219006469692531,0.33491706282944134,0.28373617977553567,0.42381575057935295,0.4233977280249451,0.42392852112814194,0.4244542492030908,0.28460634593521583,0.27973760988320423,0.2792875153115819,0.36443282376238884,0.549409816753104,0.3174321227829967,0.24845692400802982,0.29495442362864654,0.29230277498502993,0.2858379302455182,0.278580055619477,0.29464931369468655,0.29655281332070477,0.36233275362300144,,0.045714886393046494,0.04081243185565202,0.08102981382319711,0.4749403460910983,0.19612019207974157,0.43899485184412956,0.27227714534633496,0.5040315748752987,0.10456523596225013,0.10193695234675232,0.15905547506895684,0.12830197778963878,0.07667697912070413,0.07628050165314737,0.07682299466388426,0.07924437768789577,0.07831223074464379,0.07394349559654236,0.07888308605794311,0.216114859789588,0.3585019215233466,0.3770795872377761,0.24515371827253207,0.24512477911692943,0.2546192544306055,0.2419369888694079,0.25675871434613334,0.23950346054611496,0.23558534937623724,0.2569210520723652,0.2570309120257474,0.24999966261878043,0.23531658618758555,0.24282299536472543,0.26516557702575994,0.3059611492389524,0.3075274339049373,0.2861642694609048,0.42293266664415985,0.42310666570488176,0.42530150126342947,0.42400907505166485,0.42352821683721376,0.282553729295346,0.2815455184959211,0.27888421157176246,0.31818528689886627,0.24652917147625403,0.2953599301192359,0.2917294425693623,0.28596996357813853,0.2806913752604898,0.2933489204330606,0.29712464882076867,0.360399744980837
lapgyn4_surgical_actions,0.03471606823192448,0.0,0.012847233995841477,0.022642985237149974,0.2574911701186706,0.2569808441871693,0.4995406310070469,0.19598043346861077,0.2933197996130511,0.4436043928982022,0.2179491764190859,0.20505155767762528,0.2684598941384908,0.25771946600114437,0.48956848880137144,0.507662438998412,0.13015796665216312,0.12701981639577276,0.16217514696514962,0.12643364114612798,0.05527881472897101,0.05635581068607293,0.055302121345284616,0.05553023185441157,0.054947880414596945,0.05531196367950808,0.054789660501839844,0.2528256981729372,0.18841685884336157,0.25738681040611255,0.3876240509127359,0.3404223684497206,0.37832877606686016,0.23772150123742125,0.239077163070606,0.24904154364702444,0.23580428180047586,0.2509672955457009,0.23426279771547437,0.2344081150559275,0.25374530895486613,0.24732030938923188,0.2424959060962098,0.23157048105030734,0.23961743734432153,0.2559743731834967,0.30330826914629605,0.28040337415209104,0.30330391111654276,0.33205057583307385,0.4408778309511885,0.3168919034299368,0.270334740153153,0.4426266555559923,0.4420370121801219,0.4423515643883229,0.44290786978836194,0.27338014167887714,0.27613688848509144,0.2767702090103714,0.36740212159635066,0.5556382546656933,0.28652021805783523,0.23379159158294457,0.2818420049955733,0.26550875281938546,0.2593851616402686,0.25520575755351643,0.2704134982725658,0.30113792608404344,0.37351997524259517,0.03536915464886186,,0.011764387158200287,0.023065351137463254,0.5011652468251425,0.1955260407623198,0.440216255918103,0.2708723597114504,0.4883059210637829,0.129969681400394,0.1255503870151135,0.16333532303727327,0.12603257156399145,0.05636967953562197,0.05555955196863998,0.05540099203790805,0.057768162452005285,0.05527245445751055,0.05378531751042406,0.05824542397020238,0.1898730930928461,0.3873253590746786,0.376804038333316,0.24022533563136844,0.23929886366395742,0.24744567207083465,0.2372965083673852,0.25064966291963664,0.23531003742861,0.23259035791462546,0.2507468435567527,0.2496201064380797,0.2443092335032923,0.23106418359195283,0.23872273482189388,0.2567537072418607,0.30271467050841927,0.3040373852123455,0.3283841445409831,0.44165515445240694,0.4418042424740557,0.444013216291668,0.4425641158436124,0.4424171685175545,0.2715128460057494,0.277771373755913,0.2761614677952853,0.28736326808041013,0.23169654654641086,0.2810399823356897,0.2653814914471,0.26008259617378104,0.25781427046128924,0.2699860944878977,0.3016642576139391,0.371438115192116
lapgyn4_instrument_count,0.04117126856154163,0.012847233995841477,0.0,0.018708461245528232,0.2342594967642606,0.23925910406222173,0.4755810856996258,0.19502220680064725,0.2689822074321734,0.423609860695814,0.1958073533633259,0.1832547493394873,0.2518074451051431,0.23992075146984365,0.4677679964159901,0.4820232593901786,0.12086212288805726,0.11774459977032353,0.1659491747195861,0.13938062086891262,0.043908733759496194,0.04519035268243987,0.044051178556291114,0.04402910388056608,0.043858762258946124,0.044168505024702,0.043533023699730514,0.23618707906678874,0.19807423583889366,0.2587790087204989,0.36404557410030314,0.31005700499837396,0.36834996180385016,0.24327020533388322,0.2467305514565567,0.25798316397579996,0.24130675945751914,0.2600757032834383,0.24010319830193255,0.24020407830724066,0.26242041163498175,0.2556397288953931,0.2500828065302558,0.23650790687450277,0.24599495486566175,0.2655044892299152,0.30394322054941975,0.26482079992946916,0.30564172793064875,0.3143114551749572,0.4136921120630358,0.32631141778254835,0.2715553298663452,0.41533414285192033,0.41493177158804156,0.41519855574120446,0.41571395970504654,0.2595777569395016,0.2661503396564646,0.26718038071666794,0.36440115565304654,0.5307179139485223,0.277610171953079,0.22757956508498794,0.2630617122198808,0.26607324384648573,0.24523826443507446,0.24531501629135394,0.25781183069579233,0.29192047589758763,0.35120262421062776,0.041538169183209746,0.016698142912583334,,0.020481285879294334,0.477065814947507,0.19448066850373485,0.4203129813650107,0.25394463011667223,0.46627760382552685,0.12059996899820238,0.11590767586711112,0.1670810951194433,0.13896521218084318,0.045098404427070526,0.044256136114313276,0.0449846991833049,0.04617436017239085,0.04413166574269341,0.04224716914384831,0.04586155076240615,0.20079175772786373,0.36381262527687863,0.36688110907442467,0.2468210407652009,0.24731062013956895,0.255993035833349,0.24350900062109848,0.25894214808775123,0.24132777388826152,0.23804922970314357,0.25947672724620247,0.25870416187182077,0.2521342738567132,0.23584243490597448,0.2457252731646733,0.2664020454718192,0.30413644141601454,0.30640710713020225,0.31094342118667284,0.41449189972770545,0.41459670329120746,0.4168757562751312,0.41541371386266324,0.41505716685106364,0.25814776465392225,0.2675039189597309,0.2665824672664576,0.2783991189999975,0.22517575307359927,0.262341426003012,0.26579985308690735,0.24565895664982113,0.24731216598692213,0.25704598918995936,0.292508719918773,0.3494042627628778
lapgyn4_anatomical_actions,0.07948268813205478,0.022642985237149974,0.018708461245528232,0.0,0.30298327702465777,0.304756513745123,0.5391320939001439,0.2483695182741424,0.3208460784659792,0.4756555696315511,0.24457773682383338,0.23131982832235293,0.3007475895837969,0.29279352709604634,0.515392193869774,0.5319091114924033,0.1873679168351143,0.18174193960681,0.21659843154464303,0.1853056902511629,0.08298243574816315,0.08416850778482049,0.08267524735102097,0.0830525390418369,0.0826023101173275,0.0831203248953262,0.08220529354734446,0.3014846133396606,0.22823113540398102,0.3204300639290257,0.4390633432854496,0.3847123042727697,0.42092405460660476,0.2856086522166109,0.28813238011681225,0.29729535231396764,0.2844444895599517,0.2991904257863339,0.2825172347921422,0.2837449310059923,0.30210518234881834,0.2948450033860507,0.29053253304537896,0.27995802559076,0.28754358699685667,0.30317375478247965,0.34779173464357305,0.3295347050272314,0.34815438666508486,0.38756222804273227,0.4819882871443881,0.3541605817637859,0.3192690932402643,0.4837605428294358,0.4831563736452826,0.4831443788546938,0.48392877249447785,0.31469969852828483,0.3242723836462583,0.32585660112477105,0.41933162827590353,0.5903307001391508,0.31652261684348404,0.2745792176795714,0.31275780028716416,0.2991848905916609,0.28693763146274776,0.2823141394823252,0.302657293774217,0.33552334347414636,0.41244550965465115,0.08006371577261151,0.028788835787520194,0.018109508341067997,,0.5405387542609649,0.24788113626300246,0.4726879289362056,0.3033037680100459,0.5137599218429914,0.18728333535908226,0.18002720775952075,0.2174337978155284,0.1849399116418043,0.08492551328088493,0.08339626919105494,0.08375849406100672,0.08528497758146088,0.0811412526008865,0.08135004326970077,0.0856249016984284,0.22963376414688497,0.4387806355065871,0.41985251222416853,0.2883554494872389,0.2881827469206128,0.2954053027455963,0.28588073640794043,0.29886599571698647,0.2838373784475038,0.2818296166747936,0.29940033432296537,0.29705477099788735,0.29270235192989313,0.2796368189877939,0.28659311254163367,0.3037915175077204,0.3476588488130953,0.34895423388518154,0.38422162888197353,0.4824949239243772,0.4829118293566034,0.48512408750197766,0.4833931283398813,0.4834558260897731,0.3130807644402037,0.3256573312252261,0.3249755461413531,0.317328910849704,0.2720378149093666,0.31151012545413814,0.29920190705976285,0.28780272470399915,0.28460197357480477,0.3022349537911851,0.33610956759969557,0.4106436811887906
sklin2_skin_lesions,0.22722439861982768,0.2574911701186706,0.2342594967642606,0.30298327702465777,0.0,0.219305441811321,0.38323039400779546,0.2627861153786014,0.24593500330074436,0.37411371887517253,0.18636116220942325,0.17728881183114786,0.24575251671310114,0.2177755620743368,0.44030535061994835,0.4413791805297529,0.14661038123742132,0.16238148834844632,0.24974472581904467,0.24946886467644114,0.22254110621198936,0.22448796106925595,0.22438687910673896,0.2227305068046047,0.2235135429434963,0.22355508684213138,0.22348426114214934,0.07141170762182704,0.2717912865371428,0.18471405575915567,0.3020292849338472,0.1402593863418498,0.3382237007657357,0.2870779533727341,0.29377821595473685,0.30570992213281634,0.28438637135377953,0.3085301937942081,0.28388540588180644,0.28212314541851785,0.3105321517827162,0.30580674781361217,0.295580242093479,0.27432519228364993,0.2933160198263288,0.3138146395611045,0.3605409105530932,0.06857471671036487,0.366190859402072,0.11558039208891599,0.28904516271274927,0.40962801226978607,0.29045743754776154,0.2909594385006137,0.29076143381110575,0.29075963075868605,0.29213376648202305,0.21738806384699588,0.20505352033371704,0.20671813843694553,0.2984869146662972,0.4322764224048335,0.3426340891550773,0.27720779380645355,0.30403108890482144,0.3521002166365098,0.3103377456816008,0.3114374439409159,0.3000353998293326,0.266437660974015,0.2430280376618672,0.22543114691092608,0.2549506770430368,0.23977185880683893,0.30567715706592213,0.38449933617458004,0.26105726617382596,0.3710247377334045,0.24650247833806183,0.43929988931489816,0.14735197472258965,0.15906892718786098,0.2499699524275102,0.25092770841756906,0.22063483373145978,0.22378230951833739,0.22680708355314969,0.22645458414223368,0.2291258144322973,0.22177908603621382,0.2196400412952132,0.2797693492782176,0.3018669926159133,0.33631769098362685,0.2928888848318262,0.297354242838322,0.30324533290428163,0.28761350013518183,0.3041126749180671,0.2846276054450585,0.2781793271778499,0.3074918720288663,0.3092226441238575,0.2974693885129056,0.2738188335073398,0.2957364225480215,0.3161132852502825,0.36244878204088005,0.36599714139400064,0.11456200158852821,0.2903341670875556,0.29001176311060806,0.29283038316562104,0.29044632024178707,0.2908558437710078,0.21493796429163448,0.2049887985276491,0.20676570451649545,0.34413824616947,0.2744266368730612,0.3052483429513727,0.35110316749214654,0.3097119579407205,0.31236383942056367,0.2976421496370509,0.26636384889064035,0.2413231883731785
identify_nbi_infframes,0.2297938002909145,0.2569808441871693,0.23925910406222173,0.304756513745123,0.219305441811321,0.0,0.2257363623878762,0.32582168105070036,0.19431100992161332,0.25127055602931325,0.149879306912317,0.14235781084685015,0.21545109062556933,0.17730332636379514,0.3723121116244778,0.3702373664108997,0.1960232525618324,0.2052873724549129,0.2900837329669997,0.27499215859588033,0.24451543356040423,0.24758534236134544,0.2461067924806764,0.24446112384557547,0.24606360054942394,0.24598624839152838,0.24726625642525868,0.1747417208420351,0.2650086842435677,0.1819190819632581,0.2571194562448966,0.23214841294112898,0.3714885673364072,0.3044565575009831,0.29696471908046473,0.3040363470385302,0.30434358621870383,0.30310533228888137,0.30002344274560233,0.30002647909674474,0.3055286993132069,0.31008482664808884,0.29911556053990357,0.29905646517449047,0.29640254494765284,0.307314245542863,0.3606871942236517,0.19052125613332055,0.37064818346827455,0.17927979467638042,0.3913413886738475,0.4503847237587085,0.3317226696966421,0.3926080648647719,0.3928798113499916,0.39256191978176036,0.39391454086484595,0.3437357457907599,0.3374347502869246,0.33858668626119676,0.2246479743142758,0.5181712705649691,0.34171436377494446,0.2944409306270938,0.29506085311294394,0.38108510949219954,0.2981750439040415,0.305694020768936,0.30968063994946127,0.2983153733787507,0.37085439464723413,0.22827886167746597,0.24811144437972643,0.24375537659018437,0.308584912637143,0.22539015732941695,0.3228942467621431,0.25181590668135223,0.21604765328517098,0.3702086990734437,0.1944383134465518,0.200518546832236,0.2916101206333995,0.2756476535580185,0.24199718260680603,0.24379755926365682,0.24949300147917128,0.25074994903227643,0.2520383261901217,0.2447058249231616,0.24073513304024735,0.2737612701814086,0.25859781517203007,0.36930535504201895,0.3080540272054012,0.3007955730459114,0.30283427069094093,0.3114238369922845,0.2976265336630564,0.29918903909062555,0.29548889707571246,0.3027856826755567,0.31226000893658257,0.3002218945930615,0.30090673131651313,0.29851597295965904,0.31124083072608505,0.3634604014195105,0.3701681785721524,0.17823681624862725,0.3921104395845504,0.3929278815632392,0.39381319503921164,0.392484820209634,0.3931200774404654,0.34335289030542404,0.3374207564857228,0.3370058163581367,0.34294435563796144,0.2914691213703733,0.2970599940139703,0.37958662566795465,0.2978418892133061,0.3049205955742087,0.3070004317065091,0.2994854693419647,0.3693765164311157
laryngeal_tissues,0.4732106141347958,0.4995406310070469,0.4755810856996258,0.5391320939001439,0.38323039400779546,0.2257363623878762,0.0,0.5394400983470407,0.2896160288297215,0.23288716560631423,0.2533197179624513,0.2568249676705727,0.25511832658960976,0.21873626240689192,0.42679237154684363,0.4223176987438261,0.4368492901404484,0.4425360430783367,0.5141332046361593,0.5239804663685899,0.5045631022938708,0.5081173233508631,0.5061376074826874,0.5044853250682743,0.5060240554415903,0.5063770881687933,0.5071529399467885,0.3169195138221351,0.48203177816655096,0.39455097928124944,0.42299547416147387,0.368468622515134,0.5586852778242952,0.5406642051709418,0.5372950989619694,0.5402602565570893,0.5434729085694934,0.5393429086779585,0.5379354305947774,0.539983084687602,0.5416507059271762,0.5463636669115561,0.5360682370759305,0.5390131687391012,0.5326056079995608,0.5406429368914454,0.5757977450268328,0.3678082007840242,0.5869882555126016,0.28285350508260343,0.5620176643038638,0.6757992551305205,0.5596002404056795,0.5633054895840375,0.5632710138966652,0.5625969323844424,0.5645855760557893,0.5089670715326949,0.49962317590340555,0.502118299043867,0.3859156773262935,0.6771112676368842,0.5176372754444226,0.5062390833637445,0.4982851703647837,0.5765570776299171,0.4940775885412995,0.49584648364301687,0.49855813816743666,0.4730922417722978,0.5655719918736175,0.47187096098513126,0.5093342040115076,0.4811572920045693,0.5419911659275725,,0.5366405833610102,0.2357105097573834,0.25472234513896064,0.4235238624787895,0.4365249199971468,0.4390229744073676,0.5151111253785425,0.5252431845551665,0.5014400291604473,0.5047543739340837,0.5105112518443002,0.5116661791217705,0.5123054170224167,0.5036924129043523,0.49992222446192236,0.49363363044222164,0.42361353757622183,0.5572350944952584,0.5456161866704308,0.5416150814788081,0.538823973534387,0.5506390543400776,0.534151574206118,0.5374647982643305,0.5350105069966742,0.5402476050524134,0.5477012345563965,0.5365294596338633,0.541268098183499,0.534459121775178,0.5462408417970193,0.5792823714951771,0.586354382848094,0.2838651985888291,0.56310727920094,0.5636613977913042,0.5639633313556309,0.5624071289615618,0.5638880160596891,0.5082709856645391,0.49940171311939763,0.5011699621300715,0.5191114801333208,0.5027598889905892,0.49962010186376915,0.5759312716155311,0.49325517243941164,0.49562955383449253,0.4972269453035575,0.4750911340334248,0.5645710154537653
nerthus_bowel_cleansing_quality,0.19684806614826228,0.19598043346861077,0.19502220680064725,0.2483695182741424,0.2627861153786014,0.32582168105070036,0.5394400983470407,0.0,0.35236640564156474,0.4361101217114375,0.253353361929042,0.23839287364408018,0.2869952564183339,0.27438463377690103,0.5018191454811324,0.5112695791188175,0.1036259837108796,0.08306883195430054,0.031401783988474416,0.07533602474683757,0.14367838551346873,0.14367610428658978,0.14349947271041408,0.14397722031743942,0.14406894824273175,0.1436443180371656,0.14419128746347792,0.26554243679547246,0.15480793320956393,0.30179352367930445,0.40521809138366194,0.3832051537022343,0.33284074532402363,0.25182483030397873,0.24765430513782413,0.25865860783354694,0.24757758922395257,0.25918777598805276,0.24634864401515957,0.2440169076242516,0.2627729219013575,0.2609140614031286,0.25194711344924153,0.24270976343758066,0.2564947660388197,0.26643385914940665,0.3390466200512495,0.2916769427348913,0.33866983729240174,0.35700369185787717,0.3816188461948602,0.3531456126604563,0.23225046028458468,0.38299846650467007,0.38243842318473065,0.3831277297922183,0.38284684136344155,0.17234427875978015,0.1681648289756169,0.16633600418887218,0.39608236387778084,0.49203013427691156,0.2971125236446013,0.2115712164528259,0.25440017671751236,0.27945658915296845,0.2654364372459045,0.24778337235970152,0.2527861028762347,0.3760613642507251,0.3129206540558481,0.19658496692593375,0.205585427285006,0.19598847672950948,0.24785798937257267,0.5411007619366923,,0.43071240804760674,0.28739021009413374,0.5015263065908653,0.10395115127247162,0.08653743953842968,0.03139051971195207,0.07518032571786958,0.14216352164632579,0.14516400068316265,0.1453296507959719,0.1448733189156953,0.1464063922601419,0.14393784302981538,0.1429289127486796,0.15613362708685474,0.40584709277329967,0.33116797116924335,0.2561409685185341,0.24879108634536784,0.2566354446377478,0.2497575935745068,0.2579649931623539,0.24702690283563167,0.24243797286359217,0.26004445404998355,0.2645719525378528,0.25422313186917667,0.24138438778876914,0.2563388643761503,0.26796571060100116,0.33827902434597057,0.3399269102829313,0.3541175700258092,0.383002689757058,0.381907350538396,0.38391044445410105,0.38328857850656806,0.38184400541906216,0.17103580152189482,0.16983073051730213,0.16517278131373508,0.29889837763276106,0.2087855836272085,0.2541381774451872,0.2791573588063215,0.2648976630207951,0.24987008162021812,0.2519199085676232,0.37653174181232474,0.3103648283697501
stanford_dogs_image_categorization,0.2758581695763295,0.2933197996130511,0.2689822074321734,0.3208460784659792,0.24593500330074436,0.19431100992161332,0.2896160288297215,0.35236640564156474,0.0,0.2841365348817788,0.07108828369658624,0.07133584668036441,0.1350414532768316,0.13048080555251473,0.36020781562684917,0.365935917284295,0.25196635106073323,0.26521530103292923,0.3245367307751791,0.32650163791882847,0.3014626223882112,0.30419707718706074,0.30268976327232194,0.3011936855095381,0.30221564280979335,0.3029474160738559,0.30316017105349935,0.20847364533470558,0.32445288364706504,0.23652898645424753,0.294478111982665,0.23709226957348756,0.3503625522428045,0.3512633628996756,0.34788055475284185,0.35211830517989884,0.352437749229479,0.3521954515115431,0.3488471859795944,0.3489778999830917,0.35378694080640816,0.35583985086868763,0.3481956765934541,0.3503126851235661,0.34359922596612075,0.3545039265706228,0.38664791416763455,0.24256175069619518,0.3958959484620196,0.24230459797797405,0.3813155895049523,0.45358260179937715,0.3216894277076262,0.38273330669169614,0.3828476305178089,0.38227329072714145,0.3839069618839539,0.32723963364739694,0.3173244916939791,0.3193273404055508,0.2898513565057906,0.48117090952549396,0.31771298222240474,0.30749590465154875,0.287695468836931,0.3689066262796842,0.2733710298213442,0.28713045197046183,0.2884113395539156,0.2659023259697878,0.36680671024934197,0.2730950291227897,0.2908944363749356,0.2733267091222147,0.3244485699635459,0.2892363880820573,0.3501493388267828,0.28233689677439344,0.13712675559355902,0.3588944917359258,0.25070345412379386,0.2624148745533442,0.3251418733416953,0.3272083550258874,0.3005532704132284,0.30262911885361743,0.3071123961022608,0.30643750565842404,0.3072978500629364,0.30166616538939695,0.2980135727626055,0.3328896237338578,0.2948351451679396,0.34990315263652405,0.35532129622309316,0.3509882452286276,0.3514081459649362,0.35782375407437533,0.348059821006222,0.349967919730114,0.34548060975626493,0.3522720935179385,0.3571365054277146,0.34895301027143366,0.3512065751924289,0.34395229238575564,0.35849352272540513,0.38930024492237336,0.3952928208087979,0.2425553246725825,0.3819981353075874,0.38320627849829003,0.38361313209356,0.38197263734301246,0.3830044326458437,0.3264819574501812,0.3180715189803612,0.3176014333240774,0.31904998448324584,0.30309847579521376,0.2885063660028371,0.3683080175020139,0.2730319139633807,0.28732559204530267,0.286640406895838,0.2666136478741087,0.36606183292216865
svhn,0.4421395319516614,0.4436043928982022,0.423609860695814,0.4756555696315511,0.37411371887517253,0.25127055602931325,0.23288716560631423,0.4361101217114375,0.2841365348817788,0.0,0.22728226915001704,0.21578357450397156,0.13476573942733727,0.11042468754576412,0.2516345729305582,0.25052311299530083,0.38074328080160635,0.38327853418410107,0.41843930280848607,0.42396923132875386,0.4251528082443034,0.42822110765483157,0.42617792182708925,0.42542633028718446,0.4266152828316261,0.42668019168367194,0.4278529527432227,0.338140535706527,0.39842373880230714,0.35908220589521833,0.3885993174950396,0.4292999876054463,0.48303989708212397,0.42816585893006476,0.42179673981862675,0.4255504658045688,0.42831908930722074,0.4248414390587806,0.42478648728661905,0.42514292384347896,0.4269359168995505,0.43077096545382787,0.42173692352748793,0.424568517284295,0.41824525987077416,0.4272705596970051,0.4761990044079826,0.374013315322739,0.4846310557164539,0.35575706238677174,0.5222384383073482,0.5562064144399214,0.4367523399066763,0.5232495544521056,0.5234185080614291,0.5226135128190472,0.5239069586551142,0.4299496965771788,0.4187928939951543,0.42136239798795194,0.3783144224466032,0.6264535265772746,0.379215976887438,0.38491633442526507,0.37146665021886194,0.4398096287356684,0.3593304387455927,0.3412892719231754,0.35955556401600397,0.4415376749505971,0.508055356190934,0.4420099962627716,0.44116731587474795,0.4275267613712167,0.4768326047472773,0.23364788776243953,0.43344098015641574,,0.1324290261633143,0.25080732382190873,0.38048784978302164,0.38044651141343055,0.41829569510829473,0.42587325452569724,0.42216991131211545,0.4253512408198554,0.4305678265433257,0.4317122980807172,0.43174944782495883,0.42647652774921474,0.42080633511433335,0.4076227938541168,0.3886977909158745,0.4821088468729861,0.432292738407673,0.4251959476276115,0.42343849173810955,0.4345910340483893,0.41992919570381176,0.42491855149542457,0.42147349193677247,0.42557598671900476,0.43232299989801826,0.42320937603185255,0.42694651818776025,0.4193857635917013,0.43119480175823177,0.4788903171959039,0.4840091360048895,0.3563298407870177,0.522833998832687,0.5234076633563953,0.523874085634697,0.522264605111769,0.5231455038935418,0.4286780293665231,0.4180545011636747,0.42008661274782805,0.3812915794508144,0.38167604517531806,0.3722400550605479,0.4397413589819493,0.35872843209460936,0.3407037620224802,0.35894913066479006,0.4428428207893893,0.5068062042414677
