,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.045051461705655056,0.05245456740225665,0.09534661448836788,0.26187510981080425,0.290432711055464,0.5502968691536552,0.2213660320602151,0.3553802713992146,0.49927539651434427,0.2682964998752744,0.25611351414571015,0.30569983736996886,0.28851326644426245,0.5707966639276167,0.5878773612271435,0.12633694233336387,0.1215966064401846,0.1819363902286097,0.15029586878986162,0.09112487103061073,0.09250876658501056,0.0916699451963402,0.09135110121219332,0.09092263650418182,0.0911096280471679,0.09078202373737237,0.2669716647278621,0.23970629934276605,0.2689400737196648,0.4229547360102869,0.35437138332672663,0.43433826978189005,0.27410257652880377,0.2759807551569275,0.28861821896830325,0.27110233146715446,0.2909927034491746,0.27021317175760173,0.2693017154834606,0.2931839707323671,0.2871217122247637,0.28068022958275435,0.26631845317319014,0.27477647464916327,0.2977027866216364,0.35529598980708044,0.2925763911895557,0.35706767170263265,0.34113472064907785,0.478475028984616,0.38338065731650683,0.31400542043198765,0.4805545180680617,0.4801626031641473,0.48078371905482103,0.48123038293716486,0.31624669537485794,0.31017102346033054,0.30963859125794413,0.4114023069020538,0.6278908993711734,0.35974372322543613,0.2778652467044017,0.3318208756252131,0.32814166071794937,0.32286628173408766,0.3139398058407883,0.3320146933247822,0.34081944588633645,0.40753305059969636,0.005457414587272702,0.057294339633682384,0.05190598511803504,0.09692076203700156,0.5524410217063865,0.2205698584792397,0.49550378473604517,0.30813127162612974,0.5698227997791794,0.12527123933102596,0.12072340767654285,0.18360883568453026,0.14934572516925507,0.09188182705260754,0.09174446604938896,0.09223142097996248,0.09481465451723253,0.09403080458658408,0.08909815861531337,0.09450511691608132,0.24299502670462347,0.4231110542677208,0.43231423557261583,0.2776860289243731,0.27743564174511104,0.28759206690152783,0.27395187333688575,0.2896117596804841,0.27109322512946715,0.26663010624677774,0.2903035182936897,0.29101517682940925,0.28274969229701746,0.2656276563863379,0.2749086685011096,0.2992296958031164,0.3557563554179274,0.35765663623761323,0.336957488575504,0.4799955526757833,0.4796004615656261,0.48212355692512376,0.48086321558876155,0.480045101011196,0.3142060986989205,0.31232675235520124,0.30920348836922007,0.36043304528595177,0.27598501442739515,0.3322038167151964,0.3273828832718323,0.3230133976264772,0.31612963906252556,0.3307937300745005,0.34143502535342407,0.4051933658070198
lapgyn4_surgical_actions,0.045051461705655056,0.0,0.020599859712209116,0.031626495905320406,0.2912432998930442,0.3189206417860078,0.5781933129465973,0.2200167198382878,0.37199453985948217,0.5001169383211943,0.2718710079678617,0.2560790595688159,0.30369068133524685,0.29342608537914605,0.5540517111468286,0.5776330834509642,0.15121862732715408,0.1463025491580964,0.1855019329185496,0.14587570508707134,0.06809053210871555,0.069130012624289,0.06825412351499192,0.06845555015240126,0.06772720576013397,0.0681838356897537,0.06767343412550175,0.2893565152767694,0.21335154543982565,0.2949347296199199,0.4529142076560632,0.4012956775986474,0.43300554300249405,0.26865560713924586,0.2696043172038407,0.28050918360369953,0.2661280315384965,0.2829213678970509,0.26456640491836814,0.26427113649931755,0.2860506172898899,0.2790807480046423,0.2733870339950792,0.26117098070545613,0.27024942902269516,0.2884386492832278,0.34941212515997166,0.31779445515602334,0.34936771357288005,0.38416211817075974,0.49849233888273015,0.3627523164251749,0.30135658770592816,0.5003875305946888,0.4997568000577185,0.5002176118061186,0.5005415092148984,0.30511775792079454,0.3065400438125653,0.30712924264771857,0.41570487842348314,0.63635230506659,0.32709956775865967,0.26118289946050655,0.3173271080395267,0.3001608308677345,0.2948922864153986,0.28891403134036087,0.306595072194784,0.3444089968543197,0.4200441563214972,0.04600653198395767,0.01588809636823072,0.019342293462329588,0.032109487805029535,0.5801354405056488,0.21936058320399746,0.4962329293162188,0.3063287856841014,0.5529355650291509,0.15114300025585087,0.14501407636872193,0.18663953154430113,0.14542235340402698,0.06951244838136711,0.06859680883911472,0.06844451822116313,0.07115525983960767,0.06836047942807966,0.0666125540607116,0.0715946439615073,0.21458148734535953,0.45277063854099275,0.43136543332711746,0.27161225043872506,0.27029294986603347,0.27906009343418847,0.2679762418613552,0.2823384717715397,0.26568344303756375,0.26254028474413016,0.28295975847107724,0.282121450993327,0.27569106070104954,0.26025670755727365,0.26941334414724194,0.2894077629640802,0.3489735672433233,0.3504589841419557,0.3799020455371477,0.4996919789805565,0.4992454216311195,0.5018075053954288,0.5004192103702759,0.49997464755166093,0.3031371278831927,0.3085271134812835,0.3066511786907481,0.3277979058780598,0.25913645411840214,0.31643579802102983,0.29977553146417546,0.29582401962349847,0.29157820570692283,0.3061477093825471,0.3449497643578569,0.417504372051514
lapgyn4_instrument_count,0.05245456740225665,0.020599859712209116,0.0,0.027356052681541163,0.2658146974134566,0.29882477184025374,0.552879114335651,0.21998740190059707,0.34368477833918987,0.47977514874148575,0.2455961974291027,0.23018592373532754,0.28474077414738574,0.27313579441632607,0.5331238565017697,0.552118260391244,0.1416752170886536,0.13684652920852902,0.19055496820968665,0.16069446124066877,0.05658433703130872,0.05795361483034933,0.056736164754591485,0.05667592229759339,0.05646020619038742,0.05672090284507681,0.05617275524476327,0.2700859295286592,0.22270706220422526,0.29434918866331994,0.42648777473192406,0.36692085558969034,0.4189716022708423,0.27482610104815597,0.2780620296519233,0.29030130496247863,0.27237895932113715,0.29283410054285525,0.2711501852664818,0.2708371557363502,0.29560824405628294,0.2882565784104147,0.2817669047290402,0.2668695509592934,0.27749676994803396,0.29873226346425186,0.34992354005874615,0.29984475915044023,0.35166483151834504,0.3627748227993435,0.4707383901436484,0.37332078854642703,0.30198697680961306,0.4726208277569993,0.47211848868645906,0.4724548896918732,0.47279476623560235,0.2933246724477528,0.29817630895563285,0.29925365049194214,0.41057093685542767,0.6127393773715508,0.31744943132921144,0.25538426469579806,0.29936907242205046,0.3021365463035726,0.2815556557740056,0.2792925562386002,0.2944119128609761,0.3344246110866427,0.39667417549737605,0.05306135738476014,0.02475380837942187,0.005636736677903478,0.029401125692085438,0.5546863384545679,0.21916296291730022,0.47593525830425687,0.28719561648324043,0.5317384997998831,0.14150779472070674,0.13519790001971904,0.19179258920995435,0.16033466930371298,0.058028253266291005,0.05706917945577793,0.05792610203702342,0.059321502629721516,0.05715255785702053,0.054684030119839314,0.05898457876597398,0.22545302449695198,0.4264707373502946,0.4174916237964609,0.27893292079104093,0.27919615597003283,0.28845536452309384,0.2750433498175404,0.29136864400726736,0.27235514037467123,0.26869441839456715,0.2924291458778321,0.29211525950717476,0.2841874937185078,0.2657933684530788,0.2771391524410142,0.30001315940729,0.35047043022084556,0.3527566294035626,0.35888452846594604,0.4719750604923647,0.471598565314599,0.47422943706491627,0.472751458102737,0.47209565359627437,0.2918236584392524,0.29993268464306033,0.2987856216785951,0.3183273922730119,0.25314011602404496,0.29863968912757444,0.301646172540982,0.28206884384598874,0.28121209423166743,0.29357580393891575,0.3350253776046642,0.39437941447136055
lapgyn4_anatomical_actions,0.09534661448836788,0.031626495905320406,0.027356052681541163,0.0,0.33899390132811935,0.36799895398114296,0.617244805746896,0.27538995689076157,0.39863226801108087,0.5320120443362735,0.29926497255372775,0.2833915812224642,0.33742505428819614,0.33041804284529974,0.5799234153366624,0.6010553132544729,0.21234240124232495,0.20513559641104023,0.24287082248313702,0.2085608328341605,0.10002681595738624,0.10129151816033558,0.09970289145115784,0.10020643318851774,0.09957950999442415,0.10013722557954757,0.09926760149274276,0.34056850410733863,0.2550994609941273,0.36019194099935126,0.5042993362903557,0.4455908575347529,0.4735641476374613,0.31916490005882325,0.3213959187768257,0.33145012510792854,0.3175964009112154,0.33367366223446054,0.3155449692418434,0.31645426261641424,0.33699813096475567,0.32923600634665884,0.3241793558663792,0.31248422005938314,0.3209148058630773,0.3381433629512789,0.39461966922982694,0.3690242784864999,0.3948677294732319,0.4401375555665836,0.540215544779078,0.40164151643117274,0.3522200999449298,0.542145287932079,0.5415520494442777,0.5416113592969798,0.5421332499203,0.35014368822558556,0.3581688572665951,0.35986861571934387,0.4689549594316036,0.6702316194020801,0.35823306793597354,0.304647493931395,0.3515064153775006,0.33691305630290946,0.32540124571865026,0.3184907773044612,0.3418754705520134,0.3805542681834251,0.4604983800362853,0.09632520295777869,0.03836477980172571,0.026644022399936372,0.005706511919138457,0.6190098184012081,0.2746235346588103,0.5286913549120515,0.3402845198459435,0.5783727803950072,0.21225134727403086,0.2036733946827941,0.2437525352853675,0.2082691307408361,0.10225073960488866,0.10072023896981608,0.10098767916217027,0.10279173440820456,0.09817801061085465,0.09815419296707761,0.10320191648715658,0.25635574401869277,0.5042322409357157,0.47260534258204223,0.3223051676443616,0.3218686772211765,0.32960656799356913,0.31933895454784944,0.3331402427323712,0.3169016404684539,0.31464478254175565,0.3341968762898426,0.33202084918776353,0.32663101733793387,0.3117969109893342,0.3198967540971653,0.3390836525831955,0.39468280483633955,0.39601864137399667,0.43630603515069794,0.5411648162096355,0.5410018263773142,0.5436455778515583,0.541933885318924,0.5416328383513979,0.3484482571395275,0.3598888583594064,0.3591451989090334,0.3589184579701643,0.30212961141369205,0.3501915400917567,0.33670717924888854,0.32637274725965193,0.3207041585704764,0.34147600802856976,0.3811492239160479,0.4582202166051069
sklin2_skin_lesions,0.26187510981080425,0.2912432998930442,0.2658146974134566,0.33899390132811935,0.0,0.28099697927793954,0.45919988066770956,0.30260114686395867,0.31915610009709505,0.43735289218049744,0.23802717514771782,0.22629174737253482,0.2824188606210915,0.253277320580957,0.5121065593910045,0.5166219465835649,0.17758061822746135,0.19360408958047343,0.28957605300101924,0.28576607531279824,0.2549850124371872,0.2571674583074702,0.25672465224483254,0.25514119111451705,0.25579321059342486,0.2559700785241388,0.256279532633183,0.09374022184359392,0.308157767377286,0.22138581355990253,0.3637008580695384,0.18755615697870007,0.4005893253392616,0.32899184004597215,0.33549292788569685,0.3481247410251489,0.32612100951670053,0.351210401898456,0.32551634206101465,0.32339457273436367,0.353754635281196,0.34874748269339456,0.3373108538846382,0.31533782172933156,0.33609971811714145,0.35704230462969466,0.41367313660400806,0.08943295684885638,0.4195440496583633,0.14753911541240575,0.35168434879111315,0.46579740408023396,0.3301868127078911,0.35386222164611025,0.35390607126171114,0.3539372622975657,0.3553093325765214,0.2560227894265365,0.24090148226002475,0.24301403567886545,0.3555416487465668,0.523186282828299,0.39109863048001675,0.31531689897354126,0.3478607171075383,0.3995111957067588,0.3565619442603247,0.3555039290346458,0.3450474799240879,0.3120986410202047,0.29483748540268867,0.2598078235763124,0.2888300638060292,0.27209903003297925,0.34171192160641983,0.4608753591984067,0.30040630957656633,0.433407080655912,0.2835315387560564,0.5107204597691273,0.17810081254356142,0.1904497704565302,0.29003045312662795,0.2873049584384054,0.2528539837949181,0.25628306582828386,0.2594398622001247,0.2594889226950239,0.26274961431980015,0.25434916126691953,0.2521283784062742,0.3167688442576259,0.363913470075504,0.3979776313436213,0.33541725355483476,0.33950973965491904,0.3458161192368675,0.32964323390488,0.3466182723332133,0.32595564348849587,0.3191744916444835,0.3505186751057223,0.35274040639372223,0.33951507338539577,0.3145785811877951,0.3384769935398586,0.35991996781610225,0.4156900410305769,0.4195219282806041,0.14628947480894072,0.3532723833135412,0.3529091739377078,0.35589858983569106,0.35359825917172505,0.353740343955514,0.25360713752041475,0.24116779783164116,0.24265134218592946,0.39306235179424087,0.3127954246383459,0.34931918956542085,0.3982095041916085,0.3560407608647767,0.3566860756243917,0.3427681299000225,0.311958107062432,0.29275044167984987
identify_nbi_infframes,0.290432711055464,0.3189206417860078,0.29882477184025374,0.36799895398114296,0.28099697927793954,0.0,0.27053759350012796,0.39501474987825125,0.24663515096685676,0.3079893010504537,0.1964544240712316,0.18656255493189178,0.2645908608176279,0.22264659037511905,0.45637399259955724,0.4560411857110408,0.2629098347766188,0.27318833257255715,0.36187077327631373,0.3419356184853348,0.3073857438107983,0.31111670055737073,0.30868236405027993,0.3070333909067534,0.308649446038354,0.3084131632892404,0.31060449432589976,0.22622061957784656,0.3245264203984408,0.2369920311220191,0.32533442009745517,0.2957903966032783,0.4443012857064038,0.37479495775854055,0.3670592133039289,0.3743972281045901,0.37461635876063093,0.3740678357679087,0.37036476213170455,0.3697981586945784,0.37671591505177415,0.38114400941855126,0.3693719649841093,0.3692203713656559,0.3678675043523868,0.3784088207436918,0.4395541677534248,0.24648114563471124,0.44969496454504565,0.2348398056385822,0.47342940593307775,0.5307754693583655,0.3978492864915144,0.47487472192365543,0.47506625847438605,0.4750001901234407,0.47659590259494067,0.4204403205934743,0.41281518693022834,0.4145356397419675,0.2971048478837697,0.6243279809734683,0.4095563146735314,0.3639207279093982,0.36432622908315887,0.45081056705745537,0.36546455796483257,0.37214904029200035,0.3785403903550219,0.36338546446630304,0.4405014661459408,0.2887792159429652,0.30968889041592096,0.30398427045713977,0.3716252228071113,0.27020300204043457,0.3918237458707363,0.3091561034030252,0.2661472073621779,0.45457392536525726,0.2613552919624137,0.26809717902901853,0.3635848361687969,0.3426370133618224,0.30463364882516897,0.3056206778819578,0.3122802437806244,0.3141772566876057,0.3159449323476211,0.30806413149497613,0.3043034703143547,0.33489079113532516,0.3274282115607723,0.44230224659405154,0.37881540737032754,0.37132417472183865,0.373579737038682,0.38238505938706174,0.36830728530928997,0.3685919617825746,0.3649152955049917,0.3737298680373518,0.3841633025657777,0.3707353726315229,0.37024027033056234,0.3691520191561876,0.3824752163108685,0.44308330113657096,0.4494634473451946,0.2346882294548024,0.4742832797113206,0.47511539152684346,0.4761430259095935,0.4747682646630138,0.47539052426336526,0.4201230598987661,0.41317398948144024,0.4120768379057342,0.4115433995797658,0.36088456571425387,0.36653622011378706,0.44986248024801256,0.3651042334652615,0.3717380257162437,0.3759831685826629,0.3640554390318716,0.4386629760291163
laryngeal_tissues,0.5502968691536552,0.5781933129465973,0.552879114335651,0.617244805746896,0.45919988066770956,0.27053759350012796,0.0,0.6242776360798388,0.35390139966750445,0.29892216549852596,0.31573208878166603,0.3166247874804358,0.31939065028013763,0.27884553010637175,0.5278225722876444,0.5179595292786575,0.5231193722584077,0.528615861502385,0.601097554392379,0.6078498592062334,0.5843491742600357,0.5883623391973727,0.5854781237289842,0.5836869596878842,0.5854029264412645,0.5855515847559334,0.5871918668974317,0.3825067159567829,0.5548806574024765,0.46249618919854046,0.5034472185654645,0.44891834436460204,0.6411239445942853,0.6256593941479177,0.6224630154162494,0.6251433090156384,0.6280242341814601,0.6248665218303601,0.6230234533516534,0.6244868388494611,0.6271942453169884,0.6315000119500203,0.6210562657053498,0.6240925967562021,0.6187157664511855,0.6255677307185068,0.6597506491685778,0.4382460349319689,0.6708958535400925,0.3445876926544314,0.6433744169711897,0.7577023731108197,0.6341893905000597,0.6449204625338565,0.644813653631372,0.644142771561697,0.6464081979395577,0.5964952448201154,0.5867949438629255,0.5901636835768147,0.465523983672028,0.7707141964070439,0.595717705477393,0.5861902605209455,0.57697121886311,0.6551931907478332,0.5720993782650092,0.5721827396167125,0.5789053510142088,0.5555299776153652,0.6380897654768929,0.5485956099193579,0.5878978436695779,0.5592020767390238,0.6200139718275698,0.005022258280761435,0.6211036925035138,0.30236613085342867,0.3197583050524624,0.5251916826389308,0.522641716430245,0.5251146372342812,0.6024461309269996,0.6087151789569747,0.5810807116199371,0.5833907552918607,0.589714354939439,0.5915149401111357,0.5925675671541408,0.5836716543555008,0.5803263532065808,0.5680472373416519,0.5045150800811984,0.6397182123419723,0.6307626637091243,0.6269460550026356,0.6237355642106128,0.6354069444364625,0.6195039920230985,0.6219411379561426,0.6196812832477455,0.6252421343656311,0.6332067621883619,0.6216525706020415,0.6255777655133765,0.6196363262198399,0.6312371354346716,0.6633168214324728,0.6704043982743942,0.347005662878754,0.6447134652246973,0.6452618825984424,0.645554602553262,0.6440692773987345,0.6454271245908773,0.5959187008545901,0.5870326090837436,0.5881785686100811,0.5978348030904543,0.582988912734257,0.5786173286287515,0.6551716329696077,0.5714272674657322,0.5724183585171255,0.5778204268390545,0.5568704999564864,0.6369437420903223
nerthus_bowel_cleansing_quality,0.2213660320602151,0.2200167198382878,0.21998740190059707,0.27538995689076157,0.30260114686395867,0.39501474987825125,0.6242776360798388,0.0,0.43971224107837475,0.4989924222565093,0.3190217825607789,0.30197561572106557,0.33201863213793453,0.3199906928799938,0.5743795867683917,0.5890930217250222,0.12422325067934034,0.10105998374936001,0.04315643208910242,0.09352400462499513,0.16409323663264125,0.1639977536805602,0.1639425648579076,0.16458248745402376,0.16442536426731577,0.16421719294813136,0.16459798402914055,0.30949651137009365,0.18257478979364677,0.3461907889134056,0.4755111597976621,0.4486283694850038,0.39827222221136843,0.28649219790213687,0.2822371798047021,0.2943233426502633,0.28190742386447687,0.2953817380075219,0.28062391808318,0.27791344240326077,0.2990221497423306,0.29654183738546014,0.28697915880884617,0.2763790537714327,0.29142081365041556,0.3031971699614651,0.3899670217158705,0.3351233706582525,0.38951656190197614,0.41265405319298964,0.44907530131295753,0.4027454987108967,0.26691384963356857,0.4507609391948466,0.4501727382802635,0.4508756472652023,0.450522589020819,0.20832629833118232,0.2017496942552987,0.19971827525662456,0.45527120845150015,0.5826659255207003,0.3471316607480819,0.24442708389860268,0.2992705589827585,0.3200174695792457,0.31342196399013644,0.29098762624350716,0.29801672646508653,0.4249492062806547,0.37001468348897015,0.22102731483531263,0.2307075201117728,0.22121304543428805,0.27472260894312445,0.6264725585649473,0.005392518117731318,0.49322929745459576,0.3326834532935722,0.5743216223638424,0.12432857512069997,0.10485637927379896,0.04320836563277805,0.09339556535101952,0.16301716395084398,0.1661922564227355,0.16600332535008616,0.1657792508192124,0.1671827424602881,0.16445885835273394,0.16375607105333373,0.18333587294363898,0.4761964047007383,0.3962214783456856,0.29111328632864086,0.28358583774771784,0.2923950787020854,0.28408678667623255,0.2940621038935004,0.28133910379476224,0.27637941107500325,0.29620651904303463,0.3006838259742325,0.2894226263339311,0.27475000038318786,0.2913810121593936,0.304716469599284,0.3889474441264266,0.39075253139004934,0.40949912085035167,0.45071089072152554,0.4494406650698186,0.4515467588388894,0.45094733915238905,0.4492985816775168,0.20689071182054336,0.20405199536683516,0.1988520893932761,0.34896944200093405,0.2417018649675015,0.29906093436350534,0.31944773536123616,0.3130672744258428,0.29321238184809517,0.2972240200610048,0.4254962210188209,0.3671602321275793
stanford_dogs_image_categorization,0.3553802713992146,0.37199453985948217,0.34368477833918987,0.39863226801108087,0.31915610009709505,0.24663515096685676,0.35390139966750445,0.43971224107837475,0.0,0.3512372961493966,0.0953247914975241,0.09342344516867068,0.1812244598350928,0.17450242496951623,0.4400948405492954,0.44320638576833404,0.33802089948246494,0.35188026876880774,0.41597296827687935,0.4141416783309659,0.3825070776809142,0.38585966616083195,0.3836789854429574,0.38185684900355044,0.3831138958849686,0.38345235920400933,0.38470649738839435,0.2684123580230781,0.39563879594824014,0.3027712818903531,0.3554983680388003,0.293970468772044,0.42564380918942435,0.4359251553430007,0.4317416527360778,0.4358735282686738,0.4373330949168009,0.43623050345918846,0.43321374944947444,0.4327914337994669,0.43844216053443097,0.44095601605859214,0.4322235933951496,0.4349922263216299,0.4288266139123861,0.43890494137835134,0.4757743954908739,0.3118799099950731,0.48481675528094836,0.3026154927379612,0.4580772100417839,0.5455662196894002,0.3970127681883351,0.4594939583278126,0.4600864136513695,0.45926969381628346,0.46120563853862706,0.4172208402740645,0.4057333267949136,0.4084895789819146,0.36410257413515223,0.5710543595452748,0.38654314510167465,0.3845895205257366,0.35807605959247046,0.44905782717769427,0.340476231308168,0.3559556641637327,0.35992059952479405,0.33637067963745215,0.4400179333306695,0.3527415024648114,0.3679057838249825,0.3490948530515905,0.40220259239931466,0.35385192152034783,0.43734950045665605,0.34949103012786653,0.18399590143800443,0.4386287180431825,0.3372834094479056,0.34865681135351567,0.41676497609089136,0.41509781786971967,0.3815495559445663,0.38304511687540627,0.38811847356403273,0.38802178015829336,0.3893150618180041,0.38305272133979973,0.37904905910748515,0.4055883097899937,0.3563819287551324,0.42535257914116786,0.44036056107304933,0.4355148126357686,0.4358629365223634,0.4437094995952042,0.43196109088957735,0.43374642940739583,0.428970236026323,0.43665800406835253,0.44306903162743727,0.4332061484510309,0.4352560803304971,0.4281173164519645,0.44332462891816454,0.4788539076770244,0.4845618833411182,0.3040966819354828,0.45868614582144646,0.45986004551591836,0.4608060129185783,0.4588646585527782,0.4597947863299183,0.4170756727605778,0.4066915535004805,0.4062167259280477,0.3886619623810229,0.379908117689816,0.3591119821467519,0.4488592039316337,0.3400762506148458,0.35656535049601185,0.3584544121422008,0.3365690080119503,0.4390910325784815
svhn,0.49927539651434427,0.5001169383211943,0.47977514874148575,0.5320120443362735,0.43735289218049744,0.3079893010504537,0.29892216549852596,0.4989924222565093,0.3512372961493966,0.0,0.2817277300383366,0.2680557731308042,0.1728761811962737,0.1462273962408155,0.330356976690375,0.32525139753920973,0.44665218033092113,0.446693812532836,0.4822622800433701,0.4861559284240209,0.4830490560135885,0.4865183421258722,0.48383803187290747,0.4829685343435307,0.4844071587313659,0.4843108858309951,0.48616109012644404,0.39526235353332184,0.4537947607643812,0.4165121728908363,0.45554365125429,0.49777870279787034,0.5500515661199623,0.4924412006908444,0.48497855194192047,0.48877258190189254,0.4923192013748937,0.4882939431608444,0.48877757479225314,0.48851079336098546,0.4909286847492259,0.49509093231362383,0.48504260005750277,0.48841507016836383,0.48302392254804777,0.4912266893630619,0.548275170655112,0.43276324140647615,0.5561655604570175,0.4159639805275367,0.5959110594141415,0.6241233719217747,0.49482378998434334,0.597253406671361,0.5974240364596175,0.5966173017777039,0.598048950923979,0.49624569391944573,0.48443821389505237,0.48764759904766014,0.4467352058262499,0.7188446918062692,0.4399738641891179,0.44253806792706063,0.43191430039470613,0.5001720990844167,0.4193064484186716,0.3980228880848717,0.42064665830251846,0.5042867829787421,0.5714141750572892,0.4992025689689078,0.4984383521076642,0.4840875476826253,0.5328783946700701,0.3002275147501147,0.495902681907583,0.005627112161948375,0.1707205197086679,0.3299425062928031,0.44665882897593634,0.44385521311657894,0.48212691992051826,0.4882226184137997,0.4799632067776555,0.4826757715772018,0.4880770552731963,0.49024726398654395,0.4903900317158315,0.484575876601219,0.4790536610705861,0.4638053280551846,0.45650189767794047,0.5491244831365896,0.4971153089150939,0.48842083561595406,0.48696362581204133,0.4991206360849759,0.4832588954820669,0.48849920338493796,0.48502135853390405,0.4894591688330191,0.4969869658710369,0.48690560403986305,0.4902507194269806,0.4838378984016737,0.4950269122629549,0.5507609396223265,0.5559819327559106,0.4175614879693136,0.5968890315939072,0.5971573982579538,0.597824137927911,0.5963876162796267,0.5967085234471066,0.4948911364847789,0.4839236921350123,0.4858784209583822,0.4424813114994258,0.4394884783798323,0.43282633865299064,0.5002593868157751,0.41888516384242336,0.39809147827539026,0.4198061382561219,0.5052787643306207,0.5700732438549184
