,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.032814122818763294,0.0405685775097861,0.07324420071229754,0.250271844023485,0.2434962062402378,0.4947639891268717,0.1750396298239076,0.328435107431963,0.467004281782006,0.2650814332695061,0.25189598834814697,0.297369907450342,0.2801449773908181,0.5426803639363553,0.5520163561528466,0.10947625018438464,0.10145461215676929,0.14973902971225772,0.11595192054910325,0.06806849917578274,0.06891953586249093,0.06833755526946762,0.06830669676065042,0.06791969525598943,0.0681331011175779,0.06764415957371661,0.2576735087641234,0.21276275782135068,0.2526980507294667,0.38104190882616934,0.31796232329461915,0.3822142286521122,0.24323337198437067,0.24691731215257035,0.25895672080399545,0.24075309444934856,0.2607645557204303,0.2405992078325202,0.24006343515706285,0.2623739234694392,0.256116975627813,0.25191143307751757,0.23689533440163063,0.24681562781479813,0.2671447299141977,0.29017831805558814,0.2804383077674609,0.28912232885632716,0.31811266434945734,0.42217820210457924,0.31611970166726633,0.2837452744341768,0.42396072659911904,0.42358658684656925,0.42416933920207167,0.42404032740865893,0.2768591075934619,0.2707872108210632,0.26922767727575725,0.386397331889342,0.5348968867866795,0.31864155891675305,0.24465468253909828,0.29477258280722274,0.28044887679109454,0.29459393677689366,0.2849756740111947,0.2966149092311962,0.3101070696088626,0.35516021534437725,0.0004981503468901316,0.04603286110552626,0.03989326271437217,0.07379037429031785,0.4972412360665863,0.17433503649726906,0.4636721661926009,0.29989518345285526,0.5417783264136601,0.10866292367520863,0.10100223736198888,0.15115843168235743,0.11512233762146512,0.06853486165918497,0.0685849673577188,0.0684970215902074,0.07031159808594245,0.06993688728524464,0.06623576819262647,0.07088020290026961,0.21502623178305863,0.3806042911876223,0.3808709500575627,0.24644260377262514,0.24745580403435186,0.25810902189627133,0.2418111424614539,0.2601986125129626,0.2412185235266208,0.2378163534302291,0.26017088843752867,0.2593526558981105,0.25326918027510903,0.23606326459794186,0.2465368705450882,0.26750780332815216,0.2894530872096835,0.2898542512079355,0.31363576439274476,0.42361321262815277,0.4226591574477727,0.42579502113571677,0.4243512226027164,0.4235484361317656,0.27420461567206234,0.2725096122660449,0.26938610855009015,0.31930397071064404,0.24327694184961682,0.29542194893110874,0.28017044765889365,0.29487464499470617,0.2872440600699845,0.29550581514274266,0.310629526555867,0.35346182319988895
lapgyn4_surgical_actions,0.036436637904971814,0.0,0.013475117940164462,0.022509400732189745,0.2879564334775432,0.279440400695929,0.5303341861667908,0.1875723587519471,0.34156590356188365,0.476066063927306,0.26144246685964867,0.24508593370798865,0.2977008017853321,0.28670211411302204,0.5276313219172326,0.5418117984884228,0.1410128979502272,0.135898643570103,0.16468344882569858,0.12064978698942164,0.05056524806030237,0.051320305965336266,0.0504578625913618,0.05074332680819471,0.05018901274188377,0.05058171426982308,0.0500218536405771,0.28501951827514593,0.19123127147407964,0.2905946807797296,0.4200401324367887,0.3719372081238068,0.38717364215413314,0.24756003960655612,0.2509104257598774,0.26104532935370195,0.24551305185749936,0.2631376060742191,0.2447645605426454,0.24490726657350556,0.2658556347025832,0.258104262519153,0.25462222422815095,0.24121889471010144,0.25208968338373067,0.2679518108835516,0.2985484353298572,0.3152660080934159,0.2964802208283148,0.3687373113944138,0.45023984313282667,0.3082690134404531,0.2744820417805446,0.45179174337168015,0.4512745827292802,0.45172297809784945,0.4514990888035183,0.2776473883210322,0.28049514421455857,0.280202866902276,0.39124164361189073,0.5531450024783129,0.2916276072494152,0.23903669111036152,0.29063684995834715,0.26166936253632433,0.27033984269684214,0.26436280076689833,0.2780512329175243,0.31785825376861576,0.37516885020874513,0.03735508505415698,0.011659951040491296,0.01232154133546223,0.022727524925549157,0.5326068221837272,0.18728820826426537,0.4726836132938085,0.30038146858054654,0.5263452591588976,0.14125272223037577,0.13461521535955195,0.1658694960055792,0.12041117110877991,0.05144362016642621,0.05099220298872798,0.05036835863992299,0.052214848624163,0.05008767162704991,0.049214142262881524,0.053281120127161935,0.19158410621030245,0.41925840590123603,0.3860511179979632,0.2499722891464234,0.2509578337102999,0.2595956797412151,0.24577216447162162,0.26327223049142967,0.2454954370430008,0.24336000626464543,0.2630212919443039,0.26046961039125,0.2563053328510548,0.23994139317361107,0.2510225521369582,0.26793811561891023,0.29726164696022117,0.2976890814048039,0.36405345376926596,0.45141440560213464,0.4503757058634096,0.4535658686692441,0.4520422701562504,0.4515390049944802,0.2752168517532993,0.28199680624718937,0.28011339984595873,0.2924005419783371,0.2374234975952464,0.2899920640743327,0.26176533755020304,0.2712464240463779,0.26720499666560193,0.2778158280486045,0.3186140411312718,0.37319742896486957
lapgyn4_instrument_count,0.04175011653424865,0.012198361016043914,0.0,0.017467966905441924,0.255880902785817,0.26092817826029713,0.5000035027801462,0.18065150670794977,0.31313367056642066,0.44943944575868155,0.23527513869309247,0.2199256149683076,0.2742558752186946,0.26280037911396437,0.494457526696156,0.5060000832266455,0.12809527099739287,0.12297477666112239,0.16276914619807079,0.12893527741457395,0.03979886959024282,0.040794538616758566,0.03982405353402024,0.03983753814195799,0.03972960293516999,0.04002227578858562,0.039375132100443,0.260569719001487,0.19695058132042614,0.2826984754585855,0.38873665799511986,0.3335564012214174,0.36787181487124554,0.24614744752284612,0.2520160303070795,0.26318240941066195,0.24408153817951944,0.26550092432700684,0.2437118414046195,0.24382732852883682,0.26766970732303874,0.25936341003247365,0.25543694316445176,0.23953957574541526,0.25172376727771634,0.2705838759467588,0.2897889469320395,0.29210380702514516,0.28922685373821155,0.34329852057068555,0.41581168315921313,0.3080155755787586,0.2689805668181429,0.41723771628207174,0.41684280387724293,0.41727377030172164,0.41697931842592273,0.2604565903797563,0.26677844427836134,0.2669391606653535,0.37839890448372004,0.5199966908150347,0.2780891239228589,0.2308822260200542,0.27184688654038824,0.25687485735378857,0.25567154844327944,0.2525423238635687,0.26623516022340626,0.30246403042028225,0.34713750778357527,0.042373580242619044,0.017653237426924297,0.0005930260544298788,0.018933827075658414,0.5020740991352381,0.18029818355654878,0.44614624137641246,0.2766530047526183,0.4930558259038326,0.1283666198720564,0.12122478635733734,0.16379067482053244,0.1288590792060627,0.04070296541172696,0.04032754986537372,0.04057566956132721,0.041318147583344955,0.03968288154829866,0.03823429337959986,0.04156213219654609,0.1983427797441581,0.38796025859195654,0.3669426082110627,0.24966517568674773,0.252288723401737,0.26132720031660533,0.24503208234401042,0.2650132248772211,0.2447146329778829,0.24211144305661533,0.2650302575719498,0.26255191607610184,0.257259123999269,0.23804802358607807,0.251271726360024,0.270580487270821,0.28919552747433835,0.2903952956183484,0.33866876746355,0.4169934706192572,0.41586117921169274,0.4190957997318338,0.41762912926239715,0.4168687741956997,0.25839510952530736,0.267701887241938,0.26696641221159534,0.27889738022001476,0.22900530259374555,0.27125928593617055,0.2568785953488954,0.25625517306192086,0.2547524466793447,0.2657159899356275,0.30329467307113434,0.3454406931809927
lapgyn4_anatomical_actions,0.08517199545702003,0.02278661013928828,0.019917184893220825,0.0,0.3339296815637779,0.33763393787322615,0.575755990194013,0.2418766916642403,0.37631403517249756,0.5175288628517597,0.29336395643745183,0.27715870380014185,0.33775198328094247,0.33039758873707903,0.5552490877960152,0.5688307068278281,0.20390661679129785,0.1958374900823782,0.22263407585455894,0.18140015542423707,0.07794042338397372,0.07874586788005952,0.07741490367783083,0.07791298780343638,0.07748874357359134,0.07800190818483066,0.07705246522206358,0.3358591838147782,0.23212472990799318,0.3622328605291183,0.47913970726740196,0.41786588883917597,0.4322004801379551,0.29941329913555803,0.30462340732375204,0.31392957042979064,0.2979907909095999,0.31613659813321454,0.29697826527719073,0.298266698074123,0.31900157988475136,0.3098902187662671,0.307182289682228,0.2935984874944475,0.3049372618811359,0.3198370169156016,0.346213858689899,0.3659705683936205,0.34419020722787,0.42561751816837934,0.4892221435834629,0.3441738711550184,0.32381086587031005,0.49074505913074806,0.490082652615736,0.4902802578849431,0.4902083548058793,0.32284969995731555,0.33289292546371196,0.33360447433653106,0.4478550730208939,0.5843264300423119,0.32292998857782007,0.2861075823208994,0.32885401956036425,0.29763352284689404,0.3032258438828328,0.2962919575040139,0.31682507969204243,0.3551899755984831,0.4140044176375617,0.08633203165042144,0.03131560074653179,0.01922265311331017,0.0006383871209240196,0.5776154182233955,0.24177609978920128,0.5148128692889471,0.34042621721826893,0.5536061985785681,0.2045258438800031,0.1941329773552149,0.22347550859582466,0.18129251150676168,0.07956334772588311,0.07869804291742569,0.0782979815966642,0.07906857385296866,0.07528282669205205,0.07648515698671576,0.08037891797733304,0.23207096427406262,0.47830597238566624,0.43154805172180477,0.3021817677057449,0.30435275544283413,0.3119538005825162,0.2980253253656339,0.3165533370078283,0.29801237660945806,0.2968456382695473,0.3166763607945543,0.3122159012521709,0.30925455702779797,0.2922258555958257,0.3038096976155885,0.3194399592094501,0.34540132742247753,0.3454926114566551,0.42099922903648535,0.4900182674229965,0.48921666397877034,0.49236093771057005,0.490615852233686,0.49030718298830595,0.32044552286833783,0.33385178621498157,0.3335203570268048,0.32364690238687677,0.28411607868405336,0.32768076145033975,0.29783044164916994,0.30444562790930735,0.29879544802521446,0.3166585778183547,0.35612356778332466,0.41231757662721924
sklin2_skin_lesions,0.20043494727595607,0.2180793967172714,0.20740206759750057,0.26325035122690954,0.0,0.2514326944328812,0.3982489206723483,0.210959962247232,0.29058107178285897,0.37043732253134276,0.21726009249480144,0.20678289795778257,0.23930150289410898,0.21736526339832413,0.42536122975659274,0.4335963841417237,0.129385879371745,0.1439058994081218,0.21136823441783498,0.20303094515725162,0.186552121695153,0.18746511204072944,0.18801524340430698,0.18646359376020166,0.18699105074740197,0.18692783594906487,0.186700952528609,0.07733221483638514,0.23941021145924613,0.18620467198772228,0.3015449308734166,0.15126143521845117,0.31272243517137627,0.24017677733894346,0.25121866829846656,0.2638225933518411,0.23747422071016783,0.2679202931671625,0.23840967060295568,0.2368697875962447,0.2685478565204381,0.25991116765055566,0.25351886797140566,0.22936591523787092,0.2510787201911295,0.27300660144230826,0.2949840253739602,0.07621677265763355,0.2970219580731259,0.12671899918221333,0.2740199697307378,0.32808257459827683,0.24676703226533822,0.27535763420707426,0.2754450830515239,0.2751867667377197,0.2762410891763529,0.1782597912491136,0.16636183350818087,0.16753916773965366,0.30030715535273145,0.39827368300300414,0.3136465586019923,0.23715940691885673,0.28028224588579903,0.2967430048541745,0.2901135827258795,0.2973084436888652,0.27867605729886175,0.25232508420312866,0.22341406892400573,0.199762695753337,0.21917434530236046,0.21106614018733877,0.26295759722133316,0.40012178216478733,0.2100437655063886,0.3665859269277528,0.23954365266086275,0.42463128319645216,0.13060563343561937,0.1413540224524426,0.2113011196617856,0.20476888736128607,0.18464195179149162,0.1880614246857372,0.18879502184728475,0.188975644622429,0.19088652419326832,0.1861301203567031,0.18452937102986622,0.24478854990321153,0.3011872373665072,0.311171070516273,0.24511069513729872,0.25336662970333035,0.2621640328241545,0.23839166574660522,0.26555354770831496,0.239030179962891,0.2339943695811425,0.26564423150014027,0.2639132547239367,0.2549089017699011,0.22773557118440102,0.25288033546126065,0.2737465738662871,0.29590531416963517,0.29707583469991755,0.12503298533524265,0.27594405776678527,0.2742118168101482,0.27723626871447227,0.2748070745612984,0.2755291763472585,0.17510107736796687,0.16662585942634264,0.16757925705788224,0.3156868958001966,0.23556646204548584,0.28056072922590725,0.29605011005144416,0.2896127322910067,0.2992837717447757,0.27681567592174194,0.2519240114526027,0.22158251612335028
identify_nbi_infframes,0.20866149396526,0.21830084124572727,0.2033915277525507,0.24851361473215572,0.17676460516982176,0.0,0.19595879454325071,0.2551549207401405,0.19658439819264545,0.20028739928772316,0.15502721400158168,0.14294096991022837,0.1755688072058679,0.14604306214886947,0.31850015173965796,0.3193650341388659,0.16995512035826182,0.17552479678027932,0.23159529957043584,0.23053037971346835,0.19947356774272634,0.20197293137259825,0.2007265010320238,0.19933064270466389,0.20101067176571996,0.2005295311664808,0.20179108221259523,0.1480204627400129,0.20067218894606986,0.15127531437320524,0.22377657020594063,0.2065721979765155,0.29759909537011664,0.24667251626428077,0.24402068183505926,0.24911176969937138,0.24732878856326046,0.24932736345406814,0.244619469563982,0.24469411786184736,0.24988326046047465,0.2518778365494383,0.24531615995576267,0.24429560010424597,0.24158060106025794,0.2516018347029442,0.2656932836164929,0.14895501014198262,0.27334902345556356,0.16003337259524342,0.29858484532877394,0.35039038330296907,0.24610465760198474,0.29956031881529527,0.2996792903162462,0.2991740100350079,0.300027925497941,0.2487375636307802,0.2436074265407897,0.24482034367718747,0.19638709158971762,0.39323687280961134,0.2563280201907992,0.24015774210527027,0.23429732771820563,0.2977450034568192,0.23034132994173673,0.24450958073457613,0.24124899441920256,0.2413879092657495,0.2744847562562726,0.2082550104645487,0.21139697751334013,0.2072268065355411,0.24973550433734798,0.19612196684631594,0.2523800488531298,0.20031079214024644,0.17554094928762273,0.31739445207392225,0.16950708979916462,0.1714343215005933,0.2324679210320248,0.23157878574407076,0.19709418702084164,0.19907037036739766,0.2028312373830163,0.2038341450773039,0.20530622682983302,0.20008687337976688,0.1959120445930892,0.20668727193604552,0.22438572444713728,0.2964122384418031,0.24997302689389359,0.24671799378253984,0.2481925405403957,0.2525920317258987,0.24506805312340896,0.24404718926460356,0.2419312751469,0.24841544505846333,0.2536852756184382,0.24576806867609297,0.2450154522655293,0.24377551539630576,0.2544258552257107,0.26741279400383666,0.27311114895332556,0.15882234005532164,0.2997161284712193,0.2996147600931117,0.30076378649605806,0.29962856119382225,0.30003370855836137,0.2483721757259512,0.24327288610492057,0.24402215240474423,0.2572632646682835,0.2375276346382591,0.23498354162937396,0.2971990029590801,0.2300527982823384,0.24468189801914725,0.2402098044895538,0.24223116425019953,0.2734391567172641
laryngeal_tissues,0.43120235232318044,0.4324346755533105,0.4245384838285691,0.45988255851255444,0.35844671288442254,0.2639381696945028,0.0,0.43605455748790856,0.31394040121201783,0.2081087460664149,0.27796432873846133,0.2781825171719878,0.23813484132770962,0.21166420438249733,0.3744915565424315,0.3813893693277617,0.40333175666685395,0.40404091551423393,0.4288753108087101,0.438234589294338,0.43291713822854405,0.43502792820107095,0.43420103056536563,0.43268765716233554,0.43449062050182163,0.4342088148768291,0.4345808375246143,0.31690314044844226,0.3836615332098463,0.359622572978888,0.3692273577717133,0.3582399574361881,0.47054664586402306,0.458465038476349,0.4587079294314882,0.45929997683830015,0.46020766737629104,0.4600661118270264,0.4571946800850495,0.4586283461920179,0.46053076826058004,0.46155422322185874,0.45726988149734704,0.45601734284237494,0.4537580199534086,0.4595659324144306,0.4837463603920146,0.3569702454008149,0.49162765711489154,0.2852485197192115,0.45711664989276624,0.5482986112507915,0.4414534112279227,0.45748507559695495,0.45754971783816756,0.45621133991525503,0.4580871074919777,0.4252942118876145,0.4160065507904256,0.4179959191845467,0.3601631806501586,0.5180868854339356,0.4432447899163652,0.4302185968707282,0.4355288162483927,0.4744541790283076,0.42664597628317896,0.4284486222492834,0.43770979402781407,0.41059239526932534,0.46001976267866457,0.4311357138314642,0.4487634486842049,0.42748109257423095,0.4595889262169204,0.00029113804436803814,0.43413136145193326,0.209008575775476,0.23689499588189428,0.3732257025646837,0.40366383673842976,0.40199633137465113,0.4276587567008115,0.43991476740597624,0.43043709587868184,0.43339041869213124,0.4358808291206927,0.4370249138424689,0.4379247862404487,0.4326630508546567,0.43063615087954277,0.3914174102424815,0.36813744816648863,0.4706304026204641,0.46194164016804384,0.4607040094920355,0.4590328567837032,0.4643597072118131,0.4575565060897321,0.4563624945728717,0.4561591137281689,0.4603171145275202,0.4625719160614934,0.4572769465093727,0.4568445345463614,0.45389321199648963,0.4632625695339502,0.48524406952262933,0.49190200299220876,0.2865261891322052,0.45828031698489924,0.45789575698263596,0.4579546514102746,0.4565235621644008,0.4580669752802687,0.4243876045078283,0.41604911678325085,0.4179474799915427,0.4438774445103415,0.4279203136839512,0.4354043194489632,0.4743406057768337,0.4269628427439943,0.4303059555831974,0.4382422464311485,0.4124008576175293,0.45916418455120667
nerthus_bowel_cleansing_quality,0.21665461007607878,0.20450759713820446,0.20897185120390982,0.2549605690409553,0.30292069450764275,0.3669297991119401,0.5869271654404383,0.0,0.4067692597706205,0.4703949668701632,0.2987047543241418,0.28217365966696684,0.31407729273789653,0.302403028974504,0.5504073464982457,0.5624638210805586,0.11725165326580561,0.09225229594748093,0.034778428250254206,0.07498076243806243,0.15059218931371687,0.14993124961278131,0.14968745370420422,0.1506776702637718,0.15057774497434062,0.1499661239600775,0.15073126645606022,0.3010044074482978,0.16413878930982306,0.3466615428475222,0.455146604333886,0.4369459157418718,0.36330254072360224,0.2563607861007463,0.252345754009403,0.263534999657107,0.25230119969923454,0.2638413026940982,0.2508805516294282,0.24875567406718457,0.26784105862515756,0.265463035065371,0.2573686948838124,0.24862791073693408,0.2634097840068077,0.27189376509258667,0.3474970923144759,0.3330471530221244,0.3444798664667339,0.4034761322930911,0.4108606647282975,0.344580308576085,0.24908848542671475,0.41224861294525816,0.4112894515726928,0.412376672817505,0.4118565446832676,0.18353154435818167,0.17767290588583073,0.17525372979840043,0.4340963340021769,0.5169564705621633,0.30793181289881105,0.21544926027531228,0.26899178336598795,0.2774520384697238,0.28047530669725096,0.26651482211857924,0.2649014112115844,0.40363638259091617,0.33481080005192965,0.21711718654492013,0.2150166129080694,0.20943103792028217,0.25257328074281515,0.5891935908026671,0.00042229624484689554,0.4644110903420776,0.31490718136255125,0.5497851450344455,0.11783062723074876,0.09596407668294264,0.03481368249486527,0.07513782089002977,0.14830477054656738,0.15177579472153374,0.1508372657465615,0.15086631642438425,0.15218683906768088,0.15076160120079662,0.1496979743432011,0.16419817603737613,0.4556099506513165,0.3621701301739454,0.2603050990326897,0.2533008408096912,0.26184610321247226,0.2535413594882859,0.2634528281926119,0.2514764750049371,0.24748723689620514,0.2650073897285488,0.26920378377308596,0.25967023055526,0.24633852579019722,0.2630195961210439,0.27256477560063785,0.3458944290734499,0.34618966843701005,0.3998904562593454,0.4127864181157812,0.4105450464098115,0.41335362736773285,0.4124318931348582,0.4111172724533068,0.18191346425003097,0.180142949311334,0.17383450178178633,0.3102586399218908,0.21257866232725178,0.2684951682187353,0.2777587096906775,0.2800959827065495,0.26933173749456896,0.26424311106842724,0.40427946356820205,0.3320979900834646
stanford_dogs_image_categorization,0.2107729335651618,0.22701661664401374,0.2106569470835703,0.24511897328099075,0.19877309626210216,0.19269759112121307,0.2746269319678526,0.2778263250186944,0.0,0.2615509108674648,0.06739212013809226,0.06714571597518987,0.11110091252376292,0.11267979298299272,0.3224528770490477,0.31952143712561143,0.2091814169521653,0.2169008854103799,0.258699167560428,0.25516454581051146,0.23750016044260655,0.23944225838632102,0.23868315789403427,0.2374686257110747,0.2379024155725611,0.23860477915435307,0.23879633292757052,0.1663166031510871,0.2550948434518079,0.187640219003595,0.25907075987891215,0.18091367038198816,0.27078718073623653,0.278809559074093,0.2771721086644113,0.27937887470094247,0.280048482520485,0.27950376770116536,0.2773548820940641,0.27784046101218524,0.2803916657838388,0.2820939169106403,0.277061097376185,0.2796412107824613,0.27528144590720016,0.2811173045341155,0.29149691562817487,0.19236771442462058,0.2991395844633681,0.2065795956122915,0.2804638929313959,0.3477263003804176,0.2507007685308862,0.28141537583750853,0.28154290641869895,0.28096674111410724,0.28242893547298215,0.26818153668796796,0.25803142340992535,0.25927457321900593,0.25114997948345985,0.3605070928300185,0.2569724356304173,0.24905716546405815,0.2362115541739227,0.29466763702642207,0.22579392014991267,0.24422717118076792,0.24105919117140684,0.20996327968353862,0.2687747624238795,0.20844603708272896,0.22327829029423052,0.21346978013757284,0.24753652405095372,0.2749075582222816,0.27603421223441843,0.2592925887886008,0.11260683318872146,0.3213172769728607,0.20870218486919656,0.214910171487388,0.2586923888212664,0.2562509700237246,0.2370401697317471,0.23888263320166517,0.24173165459233453,0.24041077405298372,0.24136171628783193,0.23833973587790722,0.2357338362382165,0.2609345138815723,0.2590089603356822,0.27094329226411107,0.28183804154714676,0.27923917045363533,0.28016844374603844,0.2836766637365111,0.2769679686825023,0.27810267432012653,0.27549634277406426,0.2803770807864155,0.2832050030616662,0.2771126519979783,0.27949018644303525,0.27542042972201203,0.2839836495548265,0.2928795149326644,0.2988683798717066,0.20581219523395683,0.28131524550221654,0.2817998986078661,0.28211105075450627,0.2807982626900198,0.2819705938028101,0.2669967307180853,0.258382832016697,0.25794444531161964,0.25841926956816064,0.24629000345474503,0.23699131650603203,0.2943564451845181,0.2259901377804216,0.2453600283911841,0.24007458171814067,0.210428234824483,0.2688494561689211
svhn,0.40399261904411393,0.38802406583566307,0.3811863667831378,0.40438563894922736,0.3794496685863091,0.30242620921597996,0.2526503412351249,0.3775334427027843,0.3127612143623128,0.0,0.2616283100013251,0.25458324114865677,0.13044305456338323,0.11031561848440627,0.23909821905841844,0.24651878622410123,0.3637224753501699,0.3649573392255519,0.370670151844311,0.372784732804919,0.3734843837639888,0.37553614949054914,0.3739945043542024,0.37397170225479526,0.37442800405865917,0.3740739151694301,0.3755327004008421,0.3607541701095558,0.3597402484561518,0.36405155247542387,0.3838981133388426,0.4376726173902129,0.42614608169139445,0.35928231462095955,0.3519107338291554,0.3529070915393772,0.3587588796509802,0.3523904324544825,0.3560643158675313,0.3568446697733974,0.3541221420928458,0.3575081246245546,0.3516088679403162,0.3563710927976541,0.35227686969830674,0.3537636807828103,0.4081105591026133,0.38900230538631275,0.4137762480459203,0.37742907546736315,0.4693272400907009,0.45300504546749465,0.3885384940542569,0.46970544197306513,0.469661943238965,0.4688664815303658,0.46974803755634026,0.38446664345477877,0.3736534435099538,0.37519514549106336,0.36205940117694224,0.5378099718144134,0.34403163744970117,0.338817948714322,0.3435477601969268,0.3771749357085886,0.33230964387082196,0.31861540186546433,0.33656409066245385,0.41040032306234187,0.45290491221192986,0.40504819149088983,0.38963605795779704,0.38272806416476807,0.40355103397602843,0.25404275597446113,0.37584310891705586,0.0006178000981519037,0.12812259618611022,0.2386347080766628,0.36476033842685696,0.3630548789720389,0.3696489480845319,0.3748193610755749,0.3713132943347549,0.37432678803717356,0.37626731804494595,0.37768980184451667,0.37753966987226717,0.37540318252625265,0.37149893190131145,0.3652455803547493,0.3823900458211412,0.4266687341232168,0.36212724043330846,0.354315244498521,0.3523773972053094,0.3639623519738846,0.3495858080890789,0.3561617228533265,0.3549864803767936,0.3538275340496062,0.3580557536323692,0.3528549701795406,0.3578864958765682,0.35252745000776964,0.3555906129096301,0.40920687035838754,0.41379607564380927,0.37770681894203195,0.4703840265306233,0.46979089621977527,0.47023212579146473,0.46864929898149643,0.4692767289199302,0.3828758162482754,0.372565150996329,0.3751210677470821,0.3458844434274776,0.3363941253791473,0.34368848135824925,0.37776419954882035,0.3324435333828619,0.31921899584207086,0.33696950718104907,0.4115492158996312,0.45190954400501443
