,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.031569484716872126,0.03575894883479841,0.06584889481488057,0.17922924145549435,0.18304561821398407,0.37405268698591865,0.15679967245692236,0.21915709512179524,0.3426200581646597,0.1711795079843993,0.16374361886806166,0.21043312540171588,0.19198184686226935,0.4060657173276385,0.4097448096554075,0.08580891445188434,0.0845479750358899,0.13186369708117057,0.11174604231106144,0.06469770769089628,0.06567943966151121,0.06516588601879711,0.06482138207119278,0.06463427751887604,0.06487417012805341,0.06454056029679515,0.1804519505418654,0.16757782730776383,0.18786456849099875,0.293325789703334,0.23786060942089482,0.2915530254333576,0.18775274514318335,0.1893756515021045,0.1972192241258593,0.18611679092125089,0.19844345115393633,0.18539874428608485,0.18510095763626158,0.19985598480659034,0.19643928342253214,0.19217361576305161,0.18319373166551647,0.1876445859753242,0.20272876508736296,0.23021694003467,0.2022756454925782,0.23184401727365073,0.23487073698202382,0.3253224077776225,0.26101409901110767,0.2214305669993408,0.3265096254992744,0.3264527107154904,0.32696332187580684,0.3272345932176859,0.2182717901250024,0.21339186448856184,0.21269275223823603,0.2757706595562295,0.4320236344388418,0.2390937396624478,0.18875960943372228,0.21841581386618547,0.2251507304465038,0.2143917627748035,0.21029422754393756,0.2233612359375459,0.22537125315903567,0.2761141177916866,0.00044610663840570595,0.03930754269881934,0.03563895483598223,0.06671373601979183,0.37632176898629455,0.15644401734560154,0.34020891916545526,0.21218877926265062,0.404416056878689,0.08496613741404525,0.083724215654032,0.13301164934939502,0.11109626093504468,0.06542233343846074,0.06496441719547477,0.06588115389492127,0.06732280542623627,0.06649131517398654,0.06322507620032805,0.06650912021118376,0.17040653883736812,0.29332971375868067,0.2903832325815645,0.19003099168195015,0.19083847958085484,0.19658668494850923,0.18821548608194688,0.19723820266316933,0.1860479559308733,0.18277999807789563,0.19787713279489044,0.19851622976471273,0.19302880134823863,0.18308114542625709,0.18810065657862812,0.20368755166116037,0.23076717732317525,0.23182245700986193,0.23142523960560907,0.3264303557918656,0.3257582171014146,0.32812366984922875,0.3268316517443338,0.32652917288045996,0.2166748803412789,0.21484221889268057,0.21235561059484137,0.23954450870146507,0.18767602482238988,0.21883067543245904,0.22457138197676285,0.21437755908787143,0.21156816227412714,0.22221117496511478,0.2259641281770733,0.2749507824030518
lapgyn4_surgical_actions,0.032354895330690574,0.0,0.01154944794596419,0.019211618269918695,0.21942413498483757,0.2235736262944564,0.4281620642305377,0.16116667355000278,0.24228278206821774,0.36691772646552767,0.17930473153091372,0.16756569904109478,0.2160770472369295,0.2040239553467476,0.42247587348460397,0.4321332193250702,0.1090615324092709,0.10895370207155775,0.13796932438127169,0.10840811150181692,0.0464106953803687,0.047221051400726854,0.04637174345788131,0.04648916816572456,0.04614949114817919,0.046579715657045974,0.0460788262259655,0.213544885759278,0.1522840092606279,0.22139959544122936,0.3402462073222391,0.2965028295799651,0.3121992445099738,0.18835507865000853,0.18937668118149126,0.19636947856457856,0.18687491001433054,0.19791214175879995,0.18568525359505889,0.18584358204313772,0.20032980693573577,0.19533132533684422,0.19179591775239535,0.18370898146360726,0.1892854505957761,0.20162236374352893,0.23904221112450658,0.23995715894410738,0.23897478917164586,0.2900892351054202,0.3687435997958801,0.2522522144087597,0.2171642266972466,0.36986514333849974,0.36961135983701054,0.3699999468772313,0.37028281442455946,0.22113365757172104,0.22290371502523476,0.22312125832167706,0.297146111769951,0.470717163722019,0.22318534702071563,0.18303228149398976,0.21947518006925293,0.2099292414782899,0.2010970245903826,0.19822233027805466,0.21187830223726578,0.24200018198747825,0.30773158731595673,0.033208792800511824,0.007392171527667764,0.010708633832748206,0.01918202411238342,0.43044748021759544,0.1610944256024457,0.3639567171187049,0.21833289995275185,0.42066663887210054,0.10899577822253431,0.10765925547447461,0.13888341583849884,0.10826511922320747,0.04734327356616007,0.0467949514169123,0.04673840321983794,0.04836756978130562,0.04599690743508217,0.04536599848345585,0.048612129812755096,0.15326767657149543,0.33988622447266725,0.311247948991341,0.1901620819704355,0.19005558673072576,0.19541145985893865,0.18799106224624973,0.1975911758287718,0.18661660580610867,0.1843847859100503,0.19794861063468816,0.19696312824315593,0.1931492859710322,0.18331607251623092,0.18867529896870516,0.20204556420780134,0.23884365551236394,0.2396378830315632,0.2862550643247864,0.3698072890255376,0.368954346352778,0.37144039110268434,0.3700116169496032,0.36995059948860487,0.2194824524664646,0.22417128657976004,0.2228269828914572,0.2238264878404746,0.18149460749034776,0.2188873394355126,0.20983593767034353,0.20161200462962117,0.20028830942985817,0.21146847049637404,0.24259070755865308,0.3061390558228666
lapgyn4_instrument_count,0.03600577368653544,0.011229385355456641,0.0,0.015361784751040171,0.19669873278248817,0.20392734660211104,0.3978275098219814,0.15935233543981236,0.21857099840413735,0.34238979366262146,0.16057893346823604,0.14970072208750312,0.19992942148539294,0.1872554526529089,0.395620431182819,0.4029294333727055,0.10050929166067196,0.10100208772349348,0.14011715359854757,0.11968818972337088,0.03727972828183242,0.038306305135190385,0.0373524663960821,0.03727649488176843,0.03721761317571295,0.03757407541977288,0.03702922734215762,0.19492254017825383,0.159824106081827,0.21770437034672818,0.3133361539607019,0.2642954039940476,0.29666023976510303,0.1913466967855845,0.19401701775939423,0.20167667188007551,0.18998816251188957,0.2032136815156298,0.18903596208204992,0.18918947938735867,0.20524659195593808,0.20024729571768263,0.1962327094788856,0.18655972685515174,0.1927557297573602,0.20707329465269209,0.23522240173569964,0.22173346624747117,0.23683650768334924,0.2672791715956123,0.3401356882882044,0.2572087696872004,0.21681568542821528,0.3411154676658362,0.3409984461969786,0.341376812026995,0.3415991205872483,0.2091128536809942,0.21401711180652988,0.2145806709313326,0.2868824735580777,0.44167952376192643,0.21325254551736192,0.17794431541681394,0.2033778842956953,0.2085854745792246,0.18913045655943866,0.19006615430454804,0.201519075303017,0.2311368197884705,0.2866513651056666,0.03667131384528939,0.013639010861922155,0.0005184321700518676,0.016563448741421377,0.3999528954741296,0.15919802507088354,0.3396654023022243,0.20181592369221907,0.3936795945014163,0.10042118903522802,0.09935668888273627,0.14116377956210646,0.11948801699718359,0.03836378616631625,0.037586888485596534,0.03846602620145015,0.038943424496034926,0.03713748269825045,0.03593702696658281,0.038653925092712996,0.1618508077643784,0.3130207949966486,0.29576771348638364,0.19393935683313202,0.19504128681243516,0.20044283987749945,0.19174556213786773,0.20224913776172604,0.19007109241074516,0.1874155274768997,0.20300124329691066,0.20241482183283074,0.19760187421765496,0.18609131269909313,0.19278323640406697,0.2076424257635882,0.2358496618793393,0.23744155696411923,0.26370119412141896,0.34117642344201626,0.34030222517717823,0.3427253541861364,0.3413790892598255,0.3411469652616542,0.2078515554474703,0.2149900695886046,0.21430440640737575,0.21386209092462624,0.1763163087786047,0.20296292183159748,0.2083519979814788,0.1893905504885198,0.1915286899013543,0.20076336605056644,0.2317788349522366,0.28537740336913175
lapgyn4_anatomical_actions,0.06878056434352595,0.019332835037224928,0.01598734899393283,0.0,0.2522989946406763,0.25305361123644277,0.44658701255228894,0.2047353431159804,0.26057433431174115,0.3847099296901052,0.20024634479970035,0.18908945282177986,0.24240441110617789,0.2324266013902601,0.43387680910528487,0.4432700413382817,0.15504514914167583,0.1545378935849338,0.18267531566269551,0.15920230552755033,0.0711414897936156,0.07212128055064321,0.07080721968572865,0.07102959294049092,0.07084281484277652,0.07138258132966144,0.07063193980146597,0.2469083751402722,0.18584951063669755,0.26854755751804893,0.37344764312290085,0.32174433890974163,0.3414487772203987,0.22831112534472695,0.2302823383349946,0.23618654936660347,0.22755461401798877,0.237591633254811,0.22600666219243074,0.22716265190458027,0.24014343502424168,0.23463637456622544,0.2316036966119402,0.22428013184594445,0.22902304605103763,0.24016403307183132,0.2737526651115062,0.2726919845440691,0.27451732040587246,0.3234172297859568,0.39668799953297185,0.2816343385722925,0.25716780016146756,0.39777906430892135,0.3975003106435941,0.39768060874264033,0.39811469637253927,0.2565721799528712,0.26372178605560087,0.26465924595956014,0.33216268546483907,0.49216178855540355,0.24507972210735368,0.2181835863176516,0.24404479259821943,0.2367106949740566,0.22295392698876454,0.22124338891271866,0.23756424715103455,0.2668582899174959,0.3390740448492962,0.06965753734084192,0.02294288481673716,0.015578979645395718,0.0006015931042437088,0.44867766270944265,0.20459082464873016,0.3824278843002249,0.244598341940028,0.4318238240039841,0.15504273579231095,0.1529806216945803,0.18351952651505832,0.1590322663150302,0.0727775821480529,0.07154080854242445,0.072091012739599,0.07293644002819752,0.06931214756116155,0.06988699694858497,0.07297188191121831,0.18694129796531067,0.37313495652233025,0.3408630494721998,0.23028676545543467,0.23085546940231655,0.23492516495546045,0.22872244216909135,0.23711957832937494,0.22710033151561132,0.22546349920534825,0.23807420478361913,0.23607787325673601,0.23308628245785273,0.22414142557946048,0.2284833061653847,0.24057212952664528,0.27421188331944124,0.27517191201515084,0.3198947070337558,0.397523939465124,0.3969176932654932,0.39928787984016667,0.39770845118117293,0.39780284016171996,0.25521116934401344,0.26465378973964493,0.2641496005386741,0.24563190148549133,0.2163633148682919,0.2432619001112758,0.23667752800931413,0.22365319781221335,0.22299513607908664,0.23717825405502327,0.26754027715358936,0.3378336391432644
sklin2_skin_lesions,0.16700410630714074,0.20169023569729297,0.18491278364375635,0.23390823309804615,0.0,0.16875934960851766,0.28230331710703194,0.2051189725269426,0.18898694487892487,0.27266505781920736,0.15253997972162975,0.14954979724000114,0.1889570912734565,0.1655216881367773,0.3333487250653151,0.3313277762039168,0.11844836530137506,0.13040601074785207,0.2000727942520084,0.20731270915789052,0.18528953551216626,0.18684356129436372,0.18692673128644222,0.18541616069087213,0.1859980545226986,0.18587870675588836,0.1861396785459722,0.059716342695651,0.21717257184673794,0.14405391934236383,0.234752221723551,0.11212665062845883,0.2559668263469388,0.22060775781928188,0.22505796860238605,0.2328274329054254,0.21913098741628617,0.23436215051386688,0.21869658850689844,0.21784431975832805,0.23565604154097974,0.233595082414617,0.226226910776325,0.2125505068656981,0.2243522798076425,0.23769954228863743,0.261419566167683,0.056459731480684755,0.2670924416546049,0.09538823807284363,0.22058300250171234,0.30867384627098504,0.22937901754665702,0.2218202125790574,0.2221177216730088,0.22218658849618173,0.2230768946351408,0.16114926100264854,0.15189128508906843,0.15314016071974673,0.21123468574032256,0.3308893329078592,0.2673596815889294,0.21929014827246515,0.23236346886467918,0.27607331809798974,0.2418823399208683,0.2470422697469291,0.23947725835964206,0.19612416308032105,0.18286406113232595,0.16560204393091824,0.20038319902143142,0.18849629417160096,0.2360529580058912,0.2840919034267027,0.20383639779045165,0.270465617378689,0.18895328086713115,0.3318657841731689,0.1184788771916975,0.12813410776660447,0.20051336054096558,0.2082910305103485,0.18419836788401178,0.18584205679822946,0.18880821898928496,0.18842616563832665,0.1901965050558288,0.1844922932683714,0.18334247916752394,0.22294041506521473,0.23460223195119623,0.2545816699684129,0.22469656367662144,0.2281079925407532,0.23179240340554932,0.22214039580396577,0.23076979292533745,0.21910941740484485,0.21435272613177528,0.23353355814115379,0.23563465238969364,0.226970179511198,0.2124447068097115,0.22688766833428448,0.23968714208833886,0.2635226260729844,0.2665051526503889,0.09408724938302687,0.22195766370664965,0.22098456108371772,0.22345903301831546,0.22177591723885115,0.22206956190996513,0.15951326449111772,0.15175994366191992,0.1530405894031528,0.2683585783231558,0.2178327645665161,0.23315144986265487,0.2749096448763837,0.24131431160755057,0.2472294506329775,0.23725203710640608,0.19617331132253507,0.1818269791288556
identify_nbi_infframes,0.17333108980088696,0.20949614508157655,0.19131797347831794,0.2319881163566345,0.15367332693768704,0.0,0.13987505648447457,0.25510043764971846,0.13577368973164808,0.16339567095897461,0.12475161271889501,0.12398342205011029,0.16430158850134632,0.1353054025741257,0.2475166693182932,0.24140616302036105,0.15834304007808542,0.16814357878601557,0.2355147485993257,0.2384246171164938,0.20795536521188784,0.2102129010446293,0.20928345661176678,0.2076001008311395,0.20906025135533063,0.20889293647965182,0.21004963142735222,0.12324462821960647,0.2033873932337537,0.12900189107708684,0.1703364946187196,0.14792559882186745,0.23862393166683635,0.23326292512001112,0.22784691287860037,0.23021236188070965,0.23402995097341284,0.22872880731508471,0.23098650726207262,0.23151619589797834,0.22993871749661818,0.23544404743471617,0.22798676297516912,0.23095952925290025,0.22547353004026205,0.23006489642937392,0.2395255317120404,0.1278292405642315,0.24943422019086942,0.11724320720369358,0.2474699005412631,0.3295864965212073,0.2459924480911953,0.24797448542591977,0.24849016759851394,0.24848799385458228,0.24935655961144537,0.24590550121511717,0.24311680145477066,0.2438651021953583,0.14112759902542793,0.33463595238518323,0.24442310909649173,0.22653669999128834,0.20492923896652795,0.2856318768876666,0.21380702027302245,0.22843039988897046,0.22533394699378778,0.19350383478061495,0.23615184843297435,0.17202978541637054,0.20236424958501364,0.19439484224972509,0.23560032505652645,0.14056612415185468,0.25308803848326683,0.1640311865398628,0.16414115941579574,0.24557544155117975,0.1568645612925264,0.16480770367719527,0.23692957450019292,0.23849530713581565,0.20675796641107425,0.20694824705673065,0.2119927116139392,0.21194508414941268,0.212913037494737,0.20733497171367093,0.20458821411822647,0.20977074984863103,0.171044950717318,0.2375166382824634,0.23540277606183424,0.231103894060465,0.22992930563478217,0.2401331013151229,0.2240581170369894,0.2298325542184963,0.22755689645997862,0.22848111987510444,0.2365257538877976,0.22788148303160288,0.23303214022964258,0.22818828555854373,0.23335314532090484,0.24262521745350624,0.24856997803638653,0.11624482043345052,0.24809077129407303,0.24835029108724654,0.24903457127807593,0.24818606315231087,0.24866712375528116,0.2464483716604277,0.24356229101160481,0.24218642903292506,0.2449373950130088,0.22544029111367675,0.20632367798141657,0.28415729631283765,0.21352021022327095,0.22706048908110157,0.2230365193012975,0.19435053213808043,0.23591764594221534
laryngeal_tissues,0.3613803630653246,0.4109860586406572,0.38464521319957345,0.42356171835886847,0.27542180857933607,0.15247508359133438,0.0,0.4349412516464994,0.20709174142859926,0.15894863189993072,0.2177632001387142,0.22706314979437164,0.23378229259090313,0.20444808708692097,0.26418117214141357,0.2535067830947037,0.34939581058970676,0.3591366296184987,0.4224886201513103,0.45253350767199674,0.42208204833522855,0.42476431366329864,0.42365412940323777,0.4216696775754214,0.42316672898574814,0.4231442814374559,0.4241473298906747,0.22981553037108132,0.3809131119422888,0.2866956504881745,0.2573553375186897,0.22252196958517403,0.359767492359697,0.42662510471842563,0.4227263286119523,0.42101353431771865,0.42934232644880926,0.4188308528289061,0.4254358320594212,0.42750070738252677,0.41996442329872086,0.4275665593490757,0.420031648553877,0.4264832512710711,0.4168295373250533,0.4177585223777867,0.4100046304799845,0.2481409177377969,0.42315019883619576,0.17772702341451607,0.33811500102366776,0.5093330129185145,0.4218259499218937,0.3385707180195899,0.33914796670246083,0.33857362002870023,0.33998773001021,0.38759870775885696,0.3835680520090048,0.3852597006490277,0.24843012426045116,0.40150567863117126,0.3859522875962986,0.4026864067947238,0.36055592936458003,0.44466562644673957,0.3689406460610326,0.382657106063647,0.3812255887346009,0.31822877736777844,0.3620029092389607,0.3599072713220413,0.4101445228456391,0.38852477831332166,0.4273065665182918,0.0002932453739821029,0.4325327676848979,0.16210852447103855,0.23211411121638803,0.26201934540469396,0.3480258149635723,0.35689738551601013,0.4235129694185935,0.4527774248218702,0.4207293835622684,0.42123110512613926,0.4272627414932326,0.42662282396564166,0.42721135837879964,0.42072408503044895,0.4180360847681792,0.38995110326498694,0.25779884827393174,0.35928343599415813,0.4289125485417977,0.4268850204505329,0.4206333411780365,0.4364991033281779,0.4137376513936971,0.42422485783918973,0.42276873848699137,0.4196098429751429,0.4279526030528996,0.4190515749369623,0.42915794771754323,0.4199676003170335,0.4224707422185314,0.4143703369052815,0.4217075446851035,0.17871873118390824,0.3385881607779083,0.3393563795469127,0.33900991148776355,0.33815584037036783,0.33932902415474275,0.38866155502448085,0.383680185049762,0.3834725761651351,0.38654635204036386,0.4011412730442755,0.36184768128546274,0.44339134224103377,0.3685749255209975,0.3810030658192721,0.37935499224666314,0.31976490724984596,0.3626373390991989
nerthus_bowel_cleansing_quality,0.165208614324629,0.16375219932423749,0.16532838562589222,0.20590308291764886,0.22669324952817207,0.27979137697798245,0.46309366498847404,0.0,0.29262148869304505,0.3638598116707078,0.210811016790667,0.1984686864078074,0.22922999864686894,0.21632094098532295,0.4387039968321982,0.4462344047078288,0.08730383894568569,0.07183767848415827,0.02680814309278312,0.06512425529484912,0.1250459806089776,0.12485897246682215,0.12469897045899897,0.12515909388054933,0.12516305481445458,0.12484824096589592,0.1253900773389312,0.22928018044761694,0.13518640461585646,0.26549933743575604,0.362984043375849,0.33821086281087054,0.29284354309522054,0.2113532003631688,0.2063689233949433,0.2144208998782363,0.2078697539177127,0.2143792867527046,0.20660554361584949,0.20466716366827706,0.21774239759091246,0.21738238032617746,0.20993011204451012,0.20446189176276958,0.2138936534008884,0.22050498611253322,0.2848327450442416,0.25122019340312746,0.2850475548235234,0.3153137662543561,0.34282828067435844,0.30334930214831135,0.19631148782825636,0.34376528703772674,0.3434525113120613,0.34436402789624254,0.3440903347090838,0.14640149218524615,0.14182092112727238,0.1401598924235426,0.32951402532554785,0.44566237500715306,0.24831043780580403,0.176838602529098,0.21395362503371324,0.232911813940881,0.22116184802075897,0.2054459791346467,0.21173098938348225,0.3047344686267874,0.2761335314169673,0.16504563778656703,0.1711061567146419,0.16607623966643112,0.2049823141914495,0.4653066442349132,0.0003925584783099446,0.35909002032926624,0.229660856537103,0.4376741603864837,0.08738937986302453,0.0745027425645774,0.02688426439048581,0.06499193605970045,0.1235381003355792,0.12613505337408307,0.12613175470933397,0.12587931247059797,0.12700861139280178,0.12495659370765419,0.1243423155002528,0.13594550332473404,0.36330734935846176,0.2915815820326234,0.21452186281463198,0.20790491215472093,0.21328205263632122,0.20968756627613766,0.2135204936570133,0.20717354273075525,0.2032773303435219,0.21559144990321263,0.22010432121990972,0.21178248131539945,0.20325221649138228,0.2137215479372462,0.2214573948817367,0.28466874964560696,0.2860025823833896,0.3122171464978556,0.3444816104138868,0.34268927032197105,0.3450046203188545,0.34431614255643733,0.34325054705046765,0.14507103360593723,0.14354021439539916,0.13915590717117265,0.2499498304494293,0.17489464505129942,0.21365236609594979,0.23272288224420395,0.22071248370797356,0.20727643292008424,0.21101007897288276,0.30529251568211757,0.27412864236435175
stanford_dogs_image_categorization,0.19196875747224523,0.21337828201805148,0.19339616648003402,0.22712951475007875,0.1697400474716594,0.13813233423918225,0.2029825895413574,0.26053157698734597,0.0,0.19518955482613953,0.05100765017815788,0.05269045165359994,0.09372092065378358,0.08761393761160186,0.24932283455042475,0.2463602753532044,0.183371455085311,0.19520201600645226,0.243655417665455,0.25193242301546553,0.22795081241208262,0.23002036165784337,0.2289977203269583,0.22772318213625503,0.2284701325294614,0.2290306179297101,0.22931339062715378,0.13749146886204866,0.23305371515868867,0.16580592168400757,0.2065845515612852,0.1549551905149476,0.23124906861274702,0.25485249263095094,0.2514764312205772,0.2532076965876781,0.256104209599065,0.25243845010231075,0.25306995738538685,0.2535166180627559,0.2538183950460615,0.25724660443705594,0.2512464027407255,0.25482761509937296,0.24905843961833607,0.25384926067351643,0.2673681556221776,0.15947876864942634,0.27615653179482835,0.16242587718362386,0.25299407329530715,0.329087024481764,0.23112869308386058,0.2538685168165146,0.25409208019637275,0.2538009320879112,0.2549946853675985,0.23531222470815022,0.22834537399540553,0.22980489317325753,0.19311940917164472,0.32808017693574776,0.22237313391906477,0.22712308533305747,0.20009808825970515,0.26879429345902245,0.19278608519710716,0.2086470278894489,0.20730739033026874,0.1834656536793119,0.24098946017113348,0.19018112443192192,0.20823544986393017,0.19622384686235755,0.23016692466391458,0.20375612452057665,0.2589074077309709,0.19399223423812945,0.09518949120872083,0.2476777311284837,0.18242334826118384,0.1932535449866855,0.2444024300977456,0.2524051711925845,0.22773598796709557,0.22862043045692562,0.23270693427517344,0.23144684344898891,0.2320603527160936,0.22785495426746274,0.22529954039000127,0.2391376361020377,0.20672240357886862,0.2313330434426718,0.25760452337166406,0.25452609673644166,0.2532682444238007,0.2609668823633824,0.24917276907589736,0.25374805677866713,0.25040760663191264,0.2528541597040663,0.2582264243432103,0.2515422698710325,0.25539556363498805,0.24994318301239465,0.2569859162513295,0.2701572617041379,0.27546670258059625,0.1616200158312743,0.25362947797610835,0.2541213209523513,0.25479314212697957,0.25341984768312614,0.2543570716541741,0.2348701319632549,0.22903358415862646,0.22820884573016437,0.2230695827660596,0.22454316485294423,0.20079276927354064,0.26785220281518857,0.19261735056855775,0.20832205270537335,0.20573650780821076,0.18406265780964884,0.24107906748508276
svhn,0.3355731908173572,0.3550060937470073,0.3354728759121265,0.36648122656464455,0.28100619747451155,0.19097035771680548,0.1666865470208052,0.351830984550228,0.20998070417847786,0.0,0.18738143504386778,0.18821907411580466,0.12190504192298873,0.10201561215508653,0.16770043331600404,0.16420238040453644,0.303983350056676,0.31141404007042495,0.34300966837839275,0.3630969956521056,0.35381794083742835,0.35610394476970175,0.3547474201989081,0.3537510524619091,0.35474528280483,0.35469985539094256,0.3558564256806593,0.2523250020627468,0.3183743365717877,0.27298409091992076,0.26860468760402983,0.283600248866686,0.33341182031784977,0.3419951294483472,0.3350960413229066,0.33468767912623787,0.342468532068264,0.3327078625900336,0.33956946117225,0.340330733124922,0.33442137043488884,0.34058581592246934,0.33378000041865397,0.3402141256118705,0.33189285178654754,0.3332634820705924,0.3513937713710925,0.2708543586805773,0.36121064113973195,0.24508052039027897,0.353806165262769,0.42871819870423344,0.3406009535338739,0.35418731052857144,0.35464029646468653,0.3543729399835498,0.35525656512586623,0.33124810893781953,0.32611864387931416,0.327923711396938,0.2623333602537951,0.4265854338690287,0.29725283384358925,0.31519068048061927,0.2829322074273504,0.3485560675760137,0.28400369249860424,0.2803896166339023,0.29065242245611606,0.3086951796993851,0.3557299945762999,0.33517574184051124,0.3521334031189647,0.3379766434391348,0.36852603992824934,0.1677983777791925,0.3497573568064516,0.0005983581766421816,0.11986511120031507,0.16674665566484137,0.3030191498415954,0.3097281350927165,0.3434736355115531,0.36400717158887647,0.3523443301083185,0.3534192552700135,0.3582051294326483,0.3581650053248978,0.35805610639558255,0.35404066104080184,0.35056973171276495,0.32524773397442774,0.26816305824753406,0.3331043336854492,0.34441770651724335,0.33837279901888895,0.3338150169431897,0.3485365412744567,0.3287465962451449,0.3392720064101805,0.3369412459082231,0.33397058264488017,0.34129725939993305,0.3340231770308051,0.34272296657449824,0.33371097252088533,0.3363975852083417,0.35480236245360186,0.36013881218304833,0.24527304537669115,0.3544265851674879,0.3544750692977209,0.35475034327587474,0.353871532838008,0.35449691634634717,0.3313415049192265,0.32584025185618704,0.326443325333578,0.29841542334761384,0.3137417710842849,0.28394302918956665,0.348043904822507,0.2838640541954274,0.27928266495689735,0.28925604807248373,0.30970324527786897,0.3558964271519348
