,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.04298135111804631,0.051915578272425836,0.08868160174059286,0.28576016318964165,0.30883758735841527,0.5887780910524867,0.19856272432143146,0.40827513462595066,0.5371110809201387,0.3215806041152923,0.3056136362248807,0.3363745769659283,0.31957781084874953,0.6246859324820055,0.6412023831661782,0.1297739868266602,0.11970665607547501,0.17330567296422794,0.1358142821823548,0.08283686824723355,0.08370055057063061,0.08319059536415463,0.08297905931008726,0.08260060497656388,0.08276701676199087,0.08238152547352501,0.29621477253305273,0.23800325464242766,0.29099319006899715,0.4552748530105505,0.3877487378096736,0.4379197399129308,0.2723571992069952,0.2760528201186876,0.28889538665846576,0.26936203880750853,0.2912375123695344,0.2694271402785759,0.2684304646020548,0.2930837293357892,0.28606928157363143,0.2813867807705603,0.26497851445361814,0.27587335461213325,0.298108798847989,0.33041771314497914,0.31980291144002915,0.32942221955442397,0.3756994547632717,0.48510731558181963,0.3566873701910246,0.3125472522951971,0.4871889438265329,0.4867385680138746,0.4874276447863902,0.4871900567933563,0.3056301406054766,0.2983849157159879,0.29671458562307174,0.43556737633183396,0.6276685095376664,0.3609642608867547,0.27262093878672883,0.33145042335607505,0.31448558879984556,0.3319125883352849,0.3202019951991403,0.3334785737524742,0.3533712412808052,0.4036489581671635,0.005458381330101524,0.057621086250695966,0.05100445714145377,0.08917139622515892,0.5916416384150485,0.19786878116592388,0.532974639655491,0.3391583543302813,0.6238380611028533,0.12898917631433776,0.11937185659123128,0.17497469298696205,0.13500684475533176,0.08327904788832295,0.08366046159191479,0.08347319582408337,0.0854247816886481,0.08514839529471643,0.08104932255067815,0.08604885569613513,0.2400609565652771,0.454821221741621,0.43636202276495145,0.2758218568009144,0.2769600603029648,0.2883155071656698,0.2708614473263398,0.2904259281989968,0.2699998094674358,0.266238981687581,0.29070441495718746,0.2901205744948242,0.2832665245136901,0.2638034202237802,0.2756789013607752,0.29859830732690673,0.3298700773137044,0.33045557257576375,0.3702453694838384,0.48708448917227376,0.48547438196026554,0.4890869646720306,0.48768158330170874,0.4863889784289603,0.30299977747555057,0.3004753561106561,0.29676679277564644,0.3616471661109629,0.27143359146901347,0.33210166784695283,0.31412451520837426,0.33220667089959177,0.3225656322609275,0.33266053003609336,0.35397430934965923,0.4013219219222797
lapgyn4_surgical_actions,0.046909098009149136,0.0,0.021303194861560737,0.031432627805194284,0.3231846725789597,0.345833171503867,0.6246734681918571,0.21085935346758078,0.4194162793712388,0.5450179428049321,0.31622685837053915,0.29700567003322387,0.335969906253436,0.3255627942715298,0.6069171705671044,0.6282555680973807,0.16183608819187614,0.1549207703122386,0.18765727095146184,0.13917017562842787,0.06316521780601311,0.0638382967437047,0.06322218319333721,0.06341414322263424,0.06272875572987753,0.06322485464389299,0.062687472999622,0.3241970703008256,0.21484138922133772,0.3302427097083571,0.49504722167299964,0.44205483486217834,0.4417229411744866,0.27521811743557917,0.27834347061608,0.2892818458258733,0.27263177728142557,0.2918689597081685,0.2719295163583384,0.2717292285454119,0.29482974019451935,0.28639436749609853,0.28241930487297884,0.26796015983028265,0.279550792076321,0.29707328434453595,0.33583472554263244,0.35491497207477685,0.3336620191609444,0.42724779787703876,0.5135669522841173,0.3461434965616075,0.3039943737044555,0.5153607213973612,0.5147331406728543,0.515324836400694,0.5148669893983742,0.30548764242835524,0.3072332027107787,0.3068735432556177,0.44154185979154004,0.6459890067122726,0.33145825524922257,0.2648350514199208,0.32552354344911205,0.2942704642209647,0.3053863886339958,0.29764315922892853,0.31321499800306285,0.3608791437661612,0.4247617997048392,0.04816046082143223,0.017924650147695745,0.019960032587716215,0.03168921006935527,0.6272596972800433,0.2104310256333885,0.540935098782028,0.3389135188523833,0.6056532893913855,0.16217714315147064,0.15388057041534503,0.1888393004674851,0.13888995931596412,0.0643558407608345,0.06384014827845085,0.0631815577179742,0.06538096176636535,0.0628944124894708,0.061872824765034994,0.06636897358388272,0.21495093560640907,0.49429558908702365,0.440464392105969,0.27793461972823263,0.27879741742856357,0.28799559143231923,0.2732371453224509,0.29185107854466175,0.2727441364400107,0.2704193156997676,0.2919121500345474,0.28930803373287595,0.28449441931447705,0.266342820425693,0.27849588269967596,0.29712343249729817,0.3346196460215156,0.3351210005597445,0.4216644753057783,0.5152049851338305,0.5134454338921446,0.5171684781942807,0.5156955530177871,0.5147619962912519,0.30291243770107545,0.3090268556481872,0.306844217847985,0.33215607110011747,0.26337817284402865,0.32481094166983815,0.2942551353698276,0.3065279818584039,0.3005940135288683,0.3131615476814984,0.36168469751587495,0.4220811535091862
lapgyn4_instrument_count,0.05294332608922152,0.019863435801624862,0.0,0.025959223051038788,0.2887222645430796,0.32419023559111193,0.5928161061364761,0.20477484364911952,0.38760195065022945,0.517906623947858,0.2867252844304208,0.26842017251947303,0.3100382778487668,0.29903457716448356,0.5750755265584333,0.5931088067834454,0.1485065513379551,0.14158040121577348,0.1868591277091291,0.14931634688826795,0.05222357072150219,0.053309317888203256,0.0522954771865598,0.05221230338577723,0.052053875768187985,0.05231025434682865,0.05175979971297401,0.29694282325916754,0.2202143274905839,0.3199955477433949,0.4614028008207851,0.39962663531662923,0.4193152343230676,0.27456665966952565,0.28040213251617113,0.2923766856797812,0.27210709243429954,0.2951401243003392,0.2717543528328107,0.27150724185538555,0.2976612872139628,0.28867123660220495,0.2841654340758896,0.26715669275762993,0.2801209606326347,0.30062137269859457,0.3275875354545571,0.3288494456041094,0.32704960947618034,0.3978395810926654,0.477857971100927,0.3478787312116832,0.29805329818732784,0.4795791938356583,0.47903965102792023,0.4795804773370824,0.4790702592328713,0.28959265759752006,0.2945446726965833,0.29475338191071826,0.42663749795288614,0.6139662617499498,0.31706927791562806,0.2572962376268815,0.3072252061774329,0.2903711812294357,0.29091508637657115,0.28552771374917185,0.30148501727697496,0.3445372893653508,0.39536604997383684,0.05384624708363458,0.025703213446982738,0.005635689847745906,0.027663477285364516,0.5952158038937403,0.20415951701900475,0.5138780586743456,0.31278745828263,0.573688810741445,0.14883950423830788,0.14009037794850127,0.18802843521610552,0.14929518679078713,0.05337748576808528,0.05293555261984912,0.05328454003194738,0.054202586482862414,0.05243112693947858,0.05042140527789484,0.054418445798499,0.22160471478265426,0.46071832967720605,0.4183032746293086,0.27851980620955086,0.28114730590399206,0.2906948916658396,0.2735052723367606,0.2944273972524657,0.2727778008816181,0.26996664902456313,0.2948274756805718,0.29248986095339036,0.28627766350790357,0.26531579093846036,0.27954027641817614,0.30086515983660334,0.32726200636071345,0.3284411561375133,0.3923693053775086,0.47953207666600933,0.47773032907008717,0.4815448270130159,0.48004948493256017,0.4788736448810954,0.2874584753702323,0.29575922526959736,0.29479905648053284,0.31799185026478216,0.2556894661464733,0.3066483128785949,0.29032160434295523,0.2916029594629499,0.28771184431375874,0.30105102894759833,0.34540889233124994,0.3929476117168614
lapgyn4_anatomical_actions,0.10135590418860167,0.03181035623816662,0.02869788450061362,0.0,0.3720801289812291,0.40426368009799385,0.6685583710006316,0.2685542803432566,0.4526925421830444,0.5856697310651057,0.3489150440012445,0.33000130348457096,0.37758307994003565,0.37128054177726577,0.6336616559585024,0.6530817659050924,0.2289872122132115,0.21903504022060133,0.2487563420669503,0.20384231930807664,0.09489622344668115,0.09578316784310087,0.09442286831453969,0.09497247019375955,0.09435358515023365,0.0949488777770011,0.09406716258360977,0.3783229998862526,0.25784425422892315,0.4041547542147892,0.5538850142293952,0.4883108365350223,0.48544500544031943,0.3295448319042895,0.3346532304890843,0.34468734559505637,0.3277804313451911,0.34725116370322956,0.3267075599513337,0.32772641426931454,0.3504525437333746,0.34067888406844593,0.337605562078502,0.3230733106530904,0.33493775422484356,0.35138555103993907,0.38469315519628966,0.40816068564447594,0.38253394627756615,0.4848672925100015,0.5536044923937175,0.38379143187860454,0.35595299188947854,0.5553474605165162,0.5546584002429777,0.5549549938293343,0.5546179407549816,0.3541741400308189,0.36311081596472594,0.36396066113960107,0.498757208945948,0.6766839434024852,0.364390442228749,0.31484285708825466,0.3666305418428889,0.333533538709389,0.34073825013818365,0.3320233930202507,0.35503438053332614,0.4013206091637608,0.4658253349612328,0.10301722477451444,0.04103648697592988,0.02788257363038931,0.0057042949015758595,0.6707813792504349,0.268229221914167,0.582408968058487,0.38059607167470466,0.6319457871141094,0.22953013516622867,0.2177163278460475,0.24966657040656004,0.2038255246045051,0.09681017756027327,0.09606071900582464,0.09544843238831699,0.0965219161806801,0.09215968039612649,0.09325451129592753,0.09787743715560979,0.25761756009210945,0.5531764392176826,0.4848071149196725,0.33253912137886177,0.3347243320530117,0.34281564346027205,0.32808251426055735,0.34758464548596113,0.32782644918886306,0.32658999011879963,0.3480544989003417,0.34338714436189427,0.3398475098139515,0.32146308703733917,0.3336839522056362,0.35117082016507883,0.3840242221757345,0.38406913375993296,0.47945087098375705,0.5549063162805843,0.553404147743424,0.557092675806163,0.5553816764591344,0.554634423599173,0.3516520291970312,0.3643350808749231,0.3639893610356414,0.3650179924233331,0.31294458882233644,0.3653990850367156,0.33369076739835046,0.34213598247714494,0.33453161582781654,0.3550355246225163,0.4022882830407909,0.4634200909113314
sklin2_skin_lesions,0.23372797971597964,0.2495878583495878,0.2370487136460418,0.29608353489197126,0.0,0.3152585150537609,0.4868970614989989,0.2482425952667948,0.3649610854715196,0.4440649548744864,0.2702123520910747,0.2574395446828027,0.2783684109718537,0.25571709634042017,0.5154351442849991,0.5286023911688325,0.1580672590812062,0.17216518430306013,0.24796469790697392,0.23543474712288906,0.21631161860986559,0.21739939957274823,0.21779772678334305,0.21636539929296442,0.21672930890577805,0.2167968778609057,0.21701062213952382,0.10061991474843099,0.27289195294196,0.22235612968547092,0.3718282526744972,0.20209693139972895,0.37619630785395075,0.27523599425241085,0.28630859113273793,0.2997127895364763,0.2724305838483083,0.304080674267024,0.2732027551430556,0.27156191340538127,0.30512441563352666,0.2961826566651419,0.2886969621546423,0.2637371067156165,0.2871780112949768,0.3096928799319036,0.34153741568960494,0.09763951154074876,0.3438494422600208,0.16132205568518387,0.3378433794793753,0.3778118258498704,0.28313201579200453,0.3395233387094678,0.33979181152622384,0.33966527350347564,0.3406262664994982,0.21242447453515095,0.1982738515186268,0.19996020824346722,0.35564121777211644,0.4981446210573851,0.35963967263665975,0.27209865239846076,0.32177283340239227,0.3392927633393729,0.33335850221990726,0.3387628396040833,0.31994703590713086,0.29661103228370456,0.2749340612401906,0.23298739748261404,0.25094664989927934,0.24162788412422503,0.2958702981367881,0.4893024032567259,0.24682019985306763,0.43922673018354474,0.27898273985719735,0.5140943172034382,0.15904720007266704,0.1699772331680993,0.2482965140994389,0.23728132789838619,0.214395865938734,0.21831742234245494,0.2191282850981054,0.21944738415393727,0.22199604605399204,0.2161649630113961,0.21440883103431155,0.2787863344058056,0.37190599765072996,0.3739013541760472,0.28072774268830214,0.28871226827621976,0.29826697737080804,0.27355930680972257,0.3015702325638311,0.27373895465938836,0.2684972994887811,0.302112135610616,0.3005008735349317,0.29017425277318565,0.261988412253688,0.28895972266243486,0.3110512467205012,0.34243130213288664,0.34403565802463326,0.1592073556753804,0.3400871132963009,0.33824060677140316,0.34161863929086767,0.3393104330152476,0.3396078764117333,0.20950522912269431,0.19879017619348496,0.19958103072423608,0.36205214664016305,0.2707757410984928,0.32228258551851363,0.33822642576682055,0.33292885050688714,0.34089145134644067,0.3182350061752598,0.29620969746611026,0.27283912764196605
identify_nbi_infframes,0.26155456196030635,0.2722291055153574,0.25647963613468067,0.30543810122405146,0.23513516681146607,0.0,0.24379801782325689,0.31854324932845945,0.252200998910205,0.2601679058469262,0.20142663313160636,0.18733514556970043,0.22306844875889245,0.19077868386650093,0.4154139041282021,0.41884115580770526,0.22900456712909573,0.2358609663387281,0.2968290551905898,0.2886545005775955,0.2550142803634194,0.25807204301576814,0.256187192843363,0.2548043869521688,0.25625467971190197,0.255764444062778,0.25780821655971214,0.19751390645863195,0.2567463192230372,0.20137694143548868,0.2949284127010582,0.2705854384248708,0.369197072510108,0.3115793231000946,0.30935903860586833,0.31531539795403885,0.31168120244887837,0.31650617506510204,0.3093940379451106,0.3088434556080167,0.3170358236765752,0.31830520539815954,0.31101515895959564,0.30853002727716394,0.3080958007440994,0.3190804954186373,0.33909278053421976,0.20254919070664973,0.3473623748154214,0.2143607406160608,0.38473423415595487,0.42842090669559807,0.3080848501620114,0.3860003223499672,0.38589802477133883,0.38584841186402047,0.38691904048781856,0.322671247303451,0.3159509983522033,0.31777998879199987,0.26489967284595123,0.5152687823462334,0.32248373293289934,0.30467351164485434,0.3003831239669501,0.3644723645298478,0.294343789682002,0.30735872824074584,0.30696227666620957,0.30237563473778895,0.3453539382280918,0.2611960013754363,0.26567313433655027,0.26086471751815504,0.30666028110598553,0.24391494996866708,0.3155549462991931,0.26104103896929587,0.22395282037824943,0.4142716767368464,0.2284474715808524,0.23160261066398852,0.29821102361500895,0.28988367304801355,0.2524569493039376,0.2541440631577268,0.25865753512087164,0.2598975842623338,0.26199338424057406,0.2565595100928123,0.25233904533056106,0.2644360937250454,0.29619924988777213,0.3681112874690001,0.3153184916124499,0.31235680489125106,0.31465198888714085,0.31760519962762335,0.3118673055197264,0.3079795607321264,0.30561780654683424,0.31527118678721566,0.32098726570980446,0.3115243182788343,0.3083783136768645,0.3094517028617567,0.3219041895232613,0.3417616782389724,0.3472246629719298,0.21389999496657908,0.3859787505554645,0.38588195698791994,0.38713799021121864,0.3861148368552316,0.3865444556308205,0.32226572924499053,0.3161752942944718,0.31591757317309105,0.3242281204387998,0.30198532916463267,0.30115321978914716,0.3642753219779188,0.29415471028857904,0.3078311175552656,0.305685314467168,0.3029506871902835,0.3438736126415408
laryngeal_tissues,0.47380987336084346,0.47595420200165584,0.46830639565396087,0.505000281545179,0.4119812036975927,0.3040234931141389,0.0,0.4920593450901329,0.3777171629027619,0.2642307026417946,0.33451939724942725,0.33017871315963304,0.2864722756246441,0.25914126578990976,0.47930919143920536,0.48371896814243753,0.4530592556903137,0.45192613533844006,0.48328091940143525,0.4877674498124185,0.477789097507244,0.48006765273973834,0.4787015012543516,0.4773900404761291,0.47895086412082266,0.4787812507849209,0.47972761901763883,0.3669783291344014,0.4303701439762828,0.4049689187424729,0.4509169862260151,0.4299169267867747,0.5441437838671274,0.5151497002703489,0.5174596033332095,0.5193133108422525,0.5158828340647462,0.5212160815514917,0.5136820501150483,0.5148142643194695,0.5213224464551726,0.5204628569524695,0.5160730856763104,0.5123257286995078,0.5123599587422272,0.5204004501326185,0.5434120110536032,0.40726474002239077,0.5517913328139379,0.33577523315431257,0.5316680649869906,0.6094954452791002,0.49134202541383254,0.5326025516791164,0.5322769669908759,0.531240115036586,0.5333007963332805,0.48435299888872535,0.47492162731741916,0.4778223372733908,0.4227348290211054,0.6236913238937294,0.5049168638431625,0.47950297479871373,0.49005680423824505,0.5311504659258872,0.4818294727225322,0.4820102587715951,0.49259184846867843,0.4758801137091001,0.5178740101479873,0.4735970246756106,0.49273918414642603,0.4724810019024521,0.5052131059604688,0.005021095628140635,0.4897681078609176,0.2656708343643628,0.286196184434968,0.4785881569094363,0.45285686418468646,0.45013580703418177,0.48314964350815315,0.48891067380834663,0.47543762716952165,0.4778626568114114,0.4812391892588822,0.48186867137560757,0.48328948877205347,0.4776830685698776,0.47590603107074814,0.4394726291531874,0.4503908715729301,0.5441391824946157,0.5192845908583581,0.5195132677716154,0.5183092302100548,0.5198589918842433,0.5183354751089798,0.5130349968466756,0.5126727521169088,0.5201128959467867,0.5220562100833182,0.5162440891173492,0.5123351092891215,0.5119751952892126,0.52427877008138,0.544953053529072,0.5520270170917337,0.33841629713604815,0.5332354370845339,0.5326200185642823,0.5327572425375965,0.5315328028035078,0.5331385202381369,0.4834338277015771,0.4760015069487108,0.4764207673073581,0.5063163147610669,0.47729490533992636,0.4901772078791896,0.5309999703277731,0.48268683727534445,0.4840206590956233,0.4928314223213467,0.4769890248917734,0.5168641358211604
nerthus_bowel_cleansing_quality,0.24187543373411946,0.2291039274132608,0.2345665313936064,0.28207689045825357,0.3444538089944784,0.4392414167774252,0.6845956854617252,0.0,0.4916419386109781,0.544360319804644,0.3636220765673882,0.3451247189133235,0.36090817402296277,0.3501373174666137,0.6363277444701568,0.6548148040643599,0.13895246608919226,0.11096459858540608,0.04730319500369769,0.09315257665344326,0.1716121837631578,0.17088300256095174,0.1707462745386225,0.17190564767145505,0.17156981383773187,0.17121055189877527,0.17180690027567613,0.3473270067453218,0.19145422036995868,0.39217866535462464,0.5324518258144676,0.508471224931137,0.42742695451890067,0.2882484420655828,0.2845805127262493,0.2968208075314033,0.28396318546193944,0.2977074669683858,0.28258000322443033,0.2801385293785629,0.3016166841354519,0.2984053555372439,0.28998517490270603,0.2797992985730551,0.29562053122073817,0.30625510498852315,0.39128704773233947,0.3777617189300957,0.3881839622887866,0.46537937558486464,0.48064607423904665,0.3875300828496351,0.28217169398217967,0.4824352519161238,0.4813742496024036,0.48251950285340384,0.48191579917181787,0.21572269394572147,0.20770892643411137,0.20512103857590996,0.49204088367814963,0.6147794512688116,0.35512515970909564,0.2471214593561046,0.312782704115079,0.3140764371888814,0.32649575444041157,0.3074248849931861,0.3078940670323408,0.4524706819035985,0.39275141227944477,0.24235792241309445,0.24103173077166518,0.23528186788266803,0.2794800616850872,0.6873593137978907,0.00539298194769323,0.537803018255627,0.3621350471736893,0.6359660444833988,0.1392634577454302,0.11500474855080078,0.04741457863832277,0.0933316543572086,0.16982726047475752,0.17342085726564663,0.17211157572629848,0.1724884995975462,0.1735768300952079,0.1719030670291153,0.17107607140887438,0.19091029308953458,0.5329495128619582,0.4257850159783448,0.2924599740171483,0.28575550721736764,0.2952265169933936,0.28517310280072006,0.2973803984554222,0.28334847906120053,0.2790246067043587,0.29865143226102797,0.3025533624715938,0.29239011149812627,0.2771808262132126,0.29526139652486305,0.30677814799538117,0.3893538742354624,0.38977116191631755,0.4612477002289383,0.4828900577350572,0.4803449196170042,0.48346057536787157,0.4825079083370154,0.48090575706601363,0.21398432384398636,0.21076938545777382,0.2038560316150974,0.3574200824516663,0.2442830880013446,0.3124381189510183,0.31425257728221107,0.3262417140306635,0.3103872465678599,0.30750565707250166,0.4532171383523509,0.38969968909001707
stanford_dogs_image_categorization,0.28940516110209213,0.30637213325754087,0.285224580771411,0.32429741791849265,0.2702859292294411,0.24196900463680454,0.3386159609650453,0.3680589519391192,0.0,0.32634555491472916,0.09301687782876275,0.09053717782500231,0.15564457207061105,0.15576088535350804,0.4065229435319978,0.4020521009531006,0.29228054967371064,0.30065828443171294,0.3515824886553909,0.34484630999385624,0.3198768697158462,0.32242737046303016,0.3212717449007647,0.31961404783286973,0.3202249393864742,0.32062428903203355,0.3218066764093764,0.22464494032514423,0.3283757604363511,0.248809480434097,0.3201588997098411,0.23792216540163202,0.34636680469269754,0.36425080103288754,0.36160603278525827,0.3640572232876295,0.36561462212906415,0.3643413855555168,0.36216610375422986,0.3621803368252481,0.36590053439210446,0.3682680776300804,0.36173955530583374,0.3649682339970874,0.36028745295546033,0.36665166460765997,0.38069055436418475,0.2605062060732395,0.38872928412548413,0.26454414231239415,0.359600668032615,0.44686868707182237,0.3256956065146955,0.3605327303331486,0.3612733760512027,0.3604321075540651,0.3621524053449555,0.35999868073506763,0.3475458135812249,0.34953111607024495,0.31736257861811457,0.45752186498073716,0.3267959928059545,0.3267253269692041,0.30589869077180454,0.3775943165272903,0.29313631583908867,0.31386652561461004,0.31315703909855463,0.279648941275261,0.34454650516376273,0.28733688228079746,0.30071641773975955,0.2895184463092931,0.32684907601806407,0.3392313344628298,0.36614947026657174,0.32429146846424717,0.15765960551893987,0.40511262661005754,0.2922674065857803,0.298196415483989,0.35235203614535365,0.3464047271351901,0.31955366161454535,0.3213109593095007,0.3247544990348842,0.32328984562900365,0.3249475856010853,0.3210681306635663,0.31794179242205556,0.33593861692854027,0.3205476476833654,0.34670414037341446,0.36772056620167454,0.3644889120016461,0.3654875649328686,0.3706465396466725,0.36150141791545576,0.3627139516601495,0.35928425126672914,0.36544138515135216,0.37020952746176516,0.3622042911285502,0.3645759307099581,0.3595032422522791,0.3699323252480953,0.3826169094407048,0.3886818074532522,0.26493628071840525,0.36022595986493317,0.36073120831706973,0.3617504110649975,0.3599795457493391,0.36109728295617805,0.359518396421308,0.3481566861914034,0.3473262882634641,0.3286416862018116,0.32376267310935536,0.30697140145952273,0.3775796335834095,0.2930481663690634,0.3149935132785101,0.312296102248939,0.27974588246801113,0.3443824601105546
svhn,0.4400724374799624,0.4223664059611707,0.41620238579900104,0.4396870264150233,0.42804138006543585,0.35532488509305726,0.3259382231161716,0.4207080009332218,0.3819645000825751,0.0,0.3143420806961217,0.3046502178068953,0.1651323373716192,0.14375901881816178,0.32426534208424745,0.32825422434095136,0.4044432045566818,0.4023250407523955,0.4126777607164247,0.41103076987356346,0.40875265847998016,0.4108985238770934,0.40911564715375376,0.4090403013552903,0.4095867849277781,0.40918843281276174,0.411092716782814,0.4077861282154026,0.3959677849831481,0.4092229484539176,0.45554760694458274,0.5049698906303913,0.4857280137195161,0.4044432911446647,0.39649967286226534,0.39813248846148763,0.40370374749906346,0.3978766166512925,0.40085358721543485,0.4012609077794632,0.40004108408602,0.40311697730598106,0.3963820093165362,0.4012115454791439,0.39792709696129236,0.39960375000544746,0.46066668458976817,0.43623037126186365,0.4661301333417538,0.43237693570707264,0.5400214381237872,0.5050133744294327,0.43062895384316846,0.5408484813344573,0.540622316886926,0.5400066673597304,0.5409125299047912,0.4310646015588654,0.41933005761953,0.42139327366445434,0.4177354152924082,0.639544188140024,0.39093732752706856,0.37616303030745846,0.3867878042081443,0.41820125639233496,0.3751126319999163,0.35835156048823824,0.379654191422794,0.46352263248669145,0.5097620749273198,0.44126559203312193,0.424974002340369,0.41840858004229886,0.4387407243117525,0.32815386507607924,0.4186197156242174,0.005624338716902487,0.16332027710922364,0.3241205498172713,0.4056596772855664,0.4005116346261748,0.4118900569254379,0.41317743975781884,0.4065897638865381,0.4094725293073065,0.4118056083846336,0.4133283464070935,0.41333247134185647,0.41067496229060274,0.4069822528756796,0.4019191213492118,0.4552787195017597,0.486118048192974,0.4081164319326253,0.3990583357003921,0.3976118570881406,0.4092263294195816,0.3947199036931565,0.40098058230155675,0.39965578477145447,0.3992040946044271,0.40406954050172905,0.39812234538835206,0.4025806411903402,0.398370513780678,0.40159850765704486,0.4614878251115181,0.46651862965144064,0.4332763446548976,0.5415862970107554,0.5404505691184077,0.5410448914416117,0.5398463255286536,0.5399756209746394,0.42909614855108325,0.4185344234496392,0.42085278478238053,0.3929464604472681,0.3740120091498034,0.3870811533088415,0.41868109107911183,0.37554279911227123,0.3594395893669745,0.3795707396607325,0.46458100217009873,0.5086478243516707
