,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.03281412688089609,0.0405685825043581,0.07324420968789631,0.2502718751183177,0.24349623659999525,0.49476404979475086,0.1750396520296854,0.32843514807151075,0.46700434057271545,0.2650814661491121,0.2518960197319514,0.29736994496961683,0.28014501281479964,0.542680431495911,0.5520164249990545,0.10947626396997041,0.1014546249480722,0.14973904870998922,0.11595193521284805,0.06806850774008699,0.06891954454259114,0.0683375638645024,0.06830670536159142,0.06791970380378193,0.06813310969330783,0.06764416808383336,0.257673540948014,0.21276278495760792,0.25269808219765677,0.38104195609920594,0.3179623622440025,0.3822142763626377,0.24323340303329746,0.2469173438431926,0.2589567539977423,0.24075312523248438,0.2607645891643297,0.24059923862497445,0.24006346589090433,0.2623739570600172,0.2561170083717175,0.25191146537238873,0.23689536474881306,0.24681565937741848,0.2671447641482161,0.290178355152925,0.28043834278366736,0.28912236578170936,0.31811270344020837,0.4221782544583381,0.31611974149510175,0.28374531061038677,0.42396077918669517,0.42358663936863983,0.42416939181194435,0.42404037999458155,0.2768591423700338,0.27078724499043116,0.26922771126333833,0.3863973799309832,0.534896952518889,0.31864159914001106,0.24465471419694712,0.29477262030942875,0.28044891226069907,0.29459397429666956,0.2849757104085669,0.2966149470204502,0.3101071084873015,0.35516025970769227,0.000498150408487564,0.0460328669518138,0.039893267637460095,0.07379038333478738,0.49724129702337483,0.1743350586264772,0.4636722245951982,0.29989522129525625,0.5417783938686781,0.1086629373408794,0.10100225011635784,0.15115845086562213,0.11512235215482997,0.06853487029320612,0.06858497598355937,0.06849703021013884,0.07031160692247668,0.06993689608029663,0.06623577653598453,0.07088021184072084,0.21502625920400698,0.3806043384207644,0.38087099761921084,0.24644263525599625,0.24745583579398295,0.2581090549720669,0.2418111733304625,0.2601986458848512,0.24121855438650464,0.23781638387856596,0.2601709217804806,0.2593526890229337,0.2532692127216932,0.23606329482411492,0.24653690207675744,0.26750783759557384,0.2894531242287287,0.2898542882196414,0.31363580295981175,0.42361326513903497,0.42265920986878014,0.4257950739529223,0.4243512752241646,0.4235484886519237,0.27420465014699136,0.27250964663339644,0.26938614255437143,0.3193040109852817,0.24327697332349507,0.2954219865135319,0.2801704830940655,0.29487468254111493,0.28724409676089474,0.2955058527864763,0.31062956551217946,0.35346186736383634
lapgyn4_surgical_actions,0.036436638840317684,0.0,0.013475118275120882,0.0225094012702771,0.28795644025762324,0.2794404077871009,0.530334199800839,0.1875723636386798,0.34156591164172456,0.4760660758329843,0.26144247308595675,0.2450859396772299,0.2977008092423845,0.2867021212765871,0.5276313348800233,0.5418118118592253,0.14101290165664346,0.1358986473484569,0.16468345325087064,0.12064979021669986,0.05056524955556825,0.05132030748254053,0.05045786408627528,0.05074332831054504,0.05018901422409659,0.05058171576331175,0.05002185511773182,0.28501952500869077,0.19123127655348318,0.29059468795543913,0.4200401424373779,0.3719372167543426,0.3871736519250217,0.24756004552643124,0.25091043181657996,0.26104533565944876,0.24551305773414006,0.26313761245466216,0.24476456640793948,0.24490727245722754,0.2658556411093219,0.258104268699442,0.2546222303605564,0.2412189004880363,0.2520896894339114,0.2679518173600921,0.29854844285562554,0.315266015725875,0.29648022833031984,0.36873731995620534,0.45023985487210993,0.30826902082810437,0.2744820488121634,0.45179175515223324,0.4512745944939188,0.45172298986220843,0.4514991005720511,0.27764739571490965,0.2804951516233607,0.28020287429773966,0.3912416531290984,0.5531450162372409,0.2916276145373141,0.23903669747892792,0.29063685738169054,0.261669369000331,0.27033984949584333,0.26436280736907714,0.27805123984129093,0.3178582620079353,0.37516885985775034,0.03735508600447453,0.011659951408748717,0.01232154163837285,0.022727525471673442,0.5326068358944736,0.18728821312473504,0.47268362508574036,0.30038147612719623,0.5263452720834974,0.14125272592209318,0.13461521909115629,0.1658695004682903,0.12041117432627226,0.05144362169130073,0.050992204485580936,0.05036836012980921,0.05221485015371903,0.05008767312226253,0.04921414371599724,0.0532811216877819,0.19158411126273817,0.41925841586354895,0.3860511277437217,0.24997229511883176,0.25095783972967967,0.2595956859995386,0.24577217034668675,0.26327223687304635,0.24549544293918726,0.24336001210296515,0.26302129827317944,0.260469616618736,0.2563053390234955,0.23994139891840516,0.251022558152743,0.2679381220926541,0.2972616544621365,0.2976890889454111,0.3640534622086731,0.4514144173683169,0.4503757176106846,0.45356588047693963,0.45204228192581036,0.45153901676093006,0.2752168591007901,0.28199681368495383,0.28011340723801115,0.29240054929253195,0.23742350391473394,0.28999207148737116,0.26176534401132867,0.2712464308878807,0.26720500333180125,0.27781583497178974,0.3186140493951745,0.37319743857547294
lapgyn4_instrument_count,0.041750119523190445,0.01219836189488565,0.0,0.01746796819034162,0.2558809209079178,0.2609281969835086,0.5000035390856314,0.18065151961470838,0.3131336924681193,0.4494394768812507,0.23527515534057208,0.21992563050472616,0.27425589422128194,0.2628003974275992,0.49445756143277697,0.5060001187666974,0.1280952798747341,0.12297478525750088,0.16276915779444467,0.128935286525464,0.039798872378853586,0.0407945414778468,0.03982405632202592,0.039837540931401766,0.03972960572095819,0.04002227859246024,0.039375134859089986,0.2605697377557219,0.19695059558557904,0.2826984952292386,0.3887366850359353,0.33355642560350374,0.3678718402170116,0.24614746465199694,0.25201604790533666,0.26318242783611917,0.24408155514658483,0.2655009429188081,0.24371185835655484,0.2438273454807945,0.26766972606331746,0.25936342816324687,0.25543696100421626,0.23953959236095823,0.25172378481680174,0.2705838949224455,0.2897889669019932,0.29210382788702194,0.28922687366852595,0.34329854501492385,0.41581171220382596,0.308015597085608,0.26898058643016054,0.4172377454249579,0.4168428329944661,0.4172737994501831,0.4169793475563421,0.26045660894614653,0.2667784634046259,0.26693917979108645,0.378398931698837,0.5199967272590218,0.27808914339317725,0.2308822417420281,0.2718469052942831,0.2568748753863732,0.25567156641178523,0.252542341378658,0.2662351788162271,0.302464052306631,0.34713753185871543,0.04237358327296491,0.017653238539140664,0.0005930260950910597,0.018933828467318108,0.5020741355853426,0.18029819645584633,0.4461462722803783,0.27665302388388063,0.493055860545455,0.12836662875243948,0.12122479482658777,0.16379068650080192,0.12885908830768927,0.04070296826696981,0.04032755268039599,0.04057567240464932,0.04131815048883988,0.03968288433048957,0.03823429605888095,0.04156213510512129,0.1983427941072431,0.3879602855505802,0.36694263350653883,0.24966519307557264,0.25228874099867904,0.2613272185828815,0.24503209939413811,0.265013243443984,0.24471465000302733,0.24211145988070895,0.2650302761192029,0.26255193442847297,0.25725914199952143,0.23804804009926767,0.25127174388093027,0.2705805062654022,0.2891955473844412,0.29039531563946636,0.33866879164018604,0.41699349973381605,0.4158612082588512,0.41909582900646514,0.41762915842296533,0.416868803304718,0.25839512792971503,0.2677019064478671,0.26696643133246994,0.2788973997634532,0.22900531818319125,0.27125930464165615,0.2568786133605011,0.2562551910953633,0.25475246432323884,0.265716008476353,0.3032946950169193,0.3454407171270605
lapgyn4_anatomical_actions,0.08517199730061757,0.02278661069227455,0.019917185424405234,0.0,0.33392968972922654,0.33763394711212125,0.5757560040449652,0.24187669804279882,0.3763140438942195,0.5175288758334667,0.2933639630518874,0.2771587101464086,0.33775199162543207,0.3303975969351812,0.555249101320703,0.56883072088067,0.2039066221286443,0.19583749515985627,0.2226340814672888,0.18140016020728578,0.07794042551186484,0.07874587002704558,0.07741490578750541,0.07791298992711446,0.07748874567834824,0.07800191030966042,0.07705246731514509,0.33585919192584723,0.232124735677281,0.36223286992691506,0.4791397187644893,0.41786589912382976,0.4322004910711429,0.2994133071765376,0.3046234155129761,0.3139295788191099,0.29799079893876346,0.3161366065564202,0.29697827326800025,0.29826670611112377,0.3190015883911069,0.30989022705154856,0.30718229791429286,0.2935984954300136,0.30493726993969156,0.3198370254245859,0.3462138674935423,0.3659705777015713,0.3441902159502894,0.42561752824168103,0.4892221556540033,0.34417387984916614,0.3238108739749096,0.49074507124207634,0.49008266470284967,0.4902802699728108,0.4902083668917717,0.3228497076032741,0.3328929333091879,0.3336044822201142,0.44785508469216395,0.5843264440716693,0.32292999650504,0.28610758972198336,0.32885402790215473,0.29763353025556594,0.303225851317626,0.2962919649803252,0.3168250875502143,0.35518998384410705,0.41400442783940866,0.08633203354848204,0.031315601903439114,0.01922265362260398,0.0006383871377581861,0.5776154321341957,0.2417761061734314,0.5148128822039183,0.34042622563459257,0.5536062120674654,0.20452584923254027,0.19413298240318777,0.22347551421952128,0.18129251629888932,0.07956334990753876,0.07869804507832513,0.07829798375061375,0.07906857599338477,0.07528282875363368,0.0764851590598786,0.08037892018954082,0.23207097005398342,0.47830598387403694,0.4315480626546245,0.3021817758175182,0.3043527636357647,0.3119538089253462,0.2980253333907339,0.3165533454534592,0.2980123846457504,0.2968456462652614,0.31667636926165327,0.31221590960566137,0.30925456530201445,0.2922258635027506,0.30380970565412574,0.3194399677206981,0.3454013362014875,0.3454926201988596,0.4209992389856265,0.49001827951207555,0.489216676039966,0.4923609498654695,0.49061586433624405,0.49030719508636683,0.32044553049194874,0.3338517940689967,0.33352036493888637,0.3236469103104195,0.28411608600991967,0.3276807697691554,0.2978304490699897,0.30444563539272534,0.29879545557071663,0.3166585856747387,0.3561235760631753,0.4123175868120016
sklin2_skin_lesions,0.200434951227453,0.21807940103352913,0.20740207167112712,0.2632503562856544,0.0,0.2514326995774992,0.39824892789316607,0.21095996670691514,0.29058107730622235,0.370437329852065,0.2172600970939375,0.20678290226236107,0.2393015077824785,0.2173652679016897,0.4253612376066357,0.4335963920714759,0.12938588214975114,0.1439059025214202,0.2113682389362727,0.20303094951657538,0.18655212548835043,0.18746511584277348,0.18801524721829974,0.18646359754404992,0.18699105454987486,0.18692783974061597,0.18670095632305522,0.07733221646082016,0.23941021632469303,0.18620467567706195,0.30154493684597705,0.15126143877315162,0.31272244046952236,0.24017678150663327,0.25121867263032727,0.2638225979128098,0.23747422479249508,0.2679202978049823,0.23840967470997054,0.2368697916399634,0.2685478611806329,0.25991117215951154,0.25351887235172327,0.2293659191444713,0.25107872456316593,0.27300660619704764,0.29498403093572845,0.07621677386295334,0.2970219636805674,0.12671900186842527,0.27401997415288815,0.32808258053574413,0.2467670367919561,0.275357638646893,0.2754450875052642,0.27518677118691537,0.27624109364558863,0.17825979453873225,0.16636183642517338,0.16753917067326665,0.30030716045745176,0.3982736893179831,0.3136465645930102,0.23715941122083,0.28028225132722717,0.2967430108732391,0.2901135883988438,0.29730844958825986,0.27867606262496925,0.2523250897474225,0.2234140727383963,0.1997626996849397,0.21917434953969328,0.2110661443454594,0.2629576022853567,0.40012178940742776,0.2100437699380388,0.36658593418526575,0.23954365756337376,0.42463129102847696,0.13060563623878058,0.14135402550971593,0.2113011241806929,0.2047688917542791,0.18464195553113463,0.1880614284934686,0.18879502565491899,0.18897564846088616,0.19088652806205503,0.18613012414932995,0.1845293747771245,0.24478855486240647,0.30118724332645574,0.3111710757874888,0.24511069939470503,0.25336663407019033,0.26216403734029725,0.23839166983409632,0.26555355230037914,0.2390301840923214,0.233994373586621,0.26564423609114485,0.26391325929940596,0.25490890619262807,0.22773557506027042,0.25288033988102393,0.2737465786386095,0.2959053197643414,0.2970758403221621,0.125032987979603,0.27594406222330814,0.27421182124102106,0.27723627320827093,0.2748070789782769,0.27552918080427946,0.1751010805905478,0.16662586232428106,0.1675792599774584,0.3156869017952056,0.23556646629691913,0.28056073465309417,0.29605011603638687,0.2896127379462436,0.2992837776953742,0.27681568122862665,0.2519240169791904,0.22158251990463834
identify_nbi_infframes,0.208661494317473,0.21830084160576535,0.20339152785345105,0.24851361484009382,0.17676460568865526,0.0,0.195958794828844,0.2551549216537317,0.19658439820336157,0.2002874000878344,0.15502721461093394,0.1429409703586117,0.17556880784827814,0.1460430627032625,0.31850015259873377,0.31936503469106997,0.1699551204568846,0.1755247970218068,0.23159530027610753,0.23053038033638953,0.19947356764022267,0.20197293127427718,0.20072650092737107,0.1993306425925963,0.2010106716705422,0.20052953107167953,0.20179108210417174,0.14802046342725078,0.2006721891196433,0.15127531464103228,0.22377657062918221,0.20657219819915906,0.29759909578496924,0.24667251633275106,0.24402068192692095,0.24911176980168495,0.2473287886519851,0.24932736355747664,0.2446194696516739,0.2446941179657856,0.24988326053986537,0.25187783662399416,0.24531616004971074,0.2442956001974474,0.24158060113880245,0.2516018347956317,0.2656932834669147,0.14895501042977188,0.27334902331636063,0.16003337356878217,0.2985848454399614,0.3503903833623838,0.2461046580449895,0.2995603189406689,0.29967929043581587,0.2991740101671766,0.30002792562585123,0.24873756428461657,0.2436074271699474,0.24482034432147806,0.1963870917618979,0.39323687321445244,0.25632801995405696,0.2401577422454163,0.2342973278587493,0.2977450035452497,0.23034133002957996,0.24450958075834786,0.24124899452787382,0.2413879098111959,0.27448475630496927,0.20825501082086106,0.21139697769081423,0.2072268066589861,0.24973550444468007,0.19612196713209204,0.25238004976753126,0.20031079295850904,0.1755409499396019,0.31739445289970275,0.1695070898822873,0.17143432173238699,0.23246792171629732,0.2315787863391356,0.19709418693593178,0.1990703702530051,0.20283123728032537,0.2038341449767158,0.20530622670436205,0.20008687328417596,0.19591204449514577,0.20668727211442384,0.2243857248761097,0.29641223884566864,0.24997302695587847,0.24671799387556814,0.24819254061139912,0.2525920317957622,0.24506805324166023,0.24404718934456646,0.24193127525328206,0.2484154451600667,0.2536852756728916,0.24576806879027996,0.24501545235270533,0.24377551547561524,0.2544258553095507,0.26741279386543043,0.273111148784546,0.15882234102741896,0.29971612858996144,0.2996147602316691,0.30076378664050796,0.29962856133161164,0.30003370867738505,0.24837217640741371,0.24327288672510428,0.24402215302725722,0.2572632643910124,0.23752763478927474,0.2349835417752541,0.29719900304646485,0.23005279838648807,0.24468189803303256,0.2402098046189769,0.24223116478921503,0.27343915675372304
laryngeal_tissues,0.43120237416636037,0.4324346976490213,0.42453850570955565,0.45988258188992104,0.35844673146081385,0.26393818279390346,0.0,0.4360545799047474,0.31394041667475014,0.20810875477018764,0.27796434281586757,0.27818253141528215,0.23813485194280884,0.21166421389749235,0.3744915713421031,0.38138938432871444,0.4033317775056053,0.4040409364359821,0.4288753324748509,0.438234611710585,0.43291716060651375,0.43502795067114486,0.4342010529774735,0.4326876795040354,0.4344906429337908,0.4342088372960442,0.4345808599730977,0.31690315684796516,0.3836615535529346,0.3596225909826109,0.36922737404973593,0.3582399746110015,0.47054666826050773,0.4584650611578628,0.4587079519868067,0.4592999993515142,0.4602076901551534,0.46006613432814936,0.45719470269244344,0.4586283688557308,0.4605307908058911,0.461554245926543,0.45726990401861956,0.45601736551121513,0.45375804229213873,0.4595659549562873,0.4837463841219919,0.35697026312158825,0.4916276811442814,0.28524853394856636,0.4571166719200581,0.5482986377876053,0.44145343379797963,0.457485097620587,0.4575497398990932,0.45621136188727207,0.4580871295431497,0.42529423376344,0.41600657222888715,0.4179959406981014,0.36016319693844046,0.5180869096383501,0.44324481204732635,0.4302186186970664,0.4355288379362,0.474454203145778,0.42664599725434516,0.42844864364214236,0.4377098158782984,0.4105924158450095,0.4600197855741902,0.43113573568794816,0.4487634712937665,0.42748111461482996,0.4595889495718694,0.0002911380568239439,0.43413138374404525,0.20900858452969778,0.23689500642990072,0.37322571730412146,0.4036638575734535,0.4019963522131852,0.4276587782745397,0.439914789890293,0.43043711810194696,0.43339044104901503,0.4358808516020687,0.4370249363826547,0.4379248088016003,0.43266307316653047,0.43063617311502744,0.39141743094293957,0.3681374643721054,0.4706304250311274,0.4619416629594971,0.46070403213161504,0.45903287935834847,0.464359730203464,0.4575565284607561,0.45636251715858556,0.4561591363198819,0.46031713702297195,0.4625719388227174,0.45727696901835035,0.4568445572617458,0.4538932343573309,0.46326259223958277,0.4852440932761949,0.49190202707062325,0.2865262034451985,0.4582803390496619,0.45789577902412354,0.4579546734855424,0.4565235841341073,0.4580669973145609,0.4243876263695271,0.4160491381872587,0.4179475014817394,0.4438774666795522,0.42792033541165275,0.4354043411485672,0.4743406298422713,0.42696286371635006,0.4303059770647738,0.43824226832468693,0.41240087825877486,0.4591642073616168
nerthus_bowel_cleansing_quality,0.21665461248096748,0.2045075992237362,0.20897185311559738,0.2549605714197392,0.30292069785892384,0.3669298032344842,0.5869271718879097,0.0,0.40676926429621285,0.47039497254019663,0.29870475756768067,0.28217366265878957,0.31407729661051587,0.30240303244181677,0.5504073536288856,0.5624638284546746,0.11725165465543877,0.09225229684594821,0.03477842861050573,0.07498076341651633,0.15059219050475825,0.14993125080704026,0.14968745489469198,0.1506776714586305,0.15057774616431546,0.14996612515342556,0.15073126765256273,0.30100441116322235,0.1641387909866803,0.34666154735530075,0.4551466095556699,0.43694592142453614,0.36330254523707095,0.25636078959808284,0.2523457577274621,0.2635350036189381,0.25230120319459864,0.2638413067170159,0.2508805551123513,0.24875567755331043,0.2678410626534462,0.2654630388919416,0.25736869865841766,0.2486279141468486,0.2634097876831163,0.27189376920316133,0.34749709664533873,0.3330471571500283,0.3444798707440683,0.40347613694314266,0.4108606699679127,0.3445803131088181,0.2490884883905749,0.4122486181964739,0.4112894568144956,0.4123766780851539,0.41185654993047816,0.18353154622985043,0.17767290770642574,0.17525373159503066,0.4340963400545018,0.5169564776575484,0.3079318170303883,0.21544926329123712,0.26899178706952104,0.27745204227589815,0.28047531029104467,0.2665148255691936,0.2649014145050357,0.4036363875373551,0.3348108038615077,0.21711718895838197,0.21501661516471765,0.20943103984307518,0.2525732831123269,0.5891935972733757,0.0004222962516379226,0.4644110959211719,0.31490718521907124,0.5497851521277762,0.11783062862872276,0.09596407761851716,0.03481368286338011,0.07513782187863219,0.14830477173184747,0.15177579593302692,0.1508372669477002,0.15086631761215213,0.15218684029832785,0.1507616023939397,0.14969797550984598,0.16419817772774337,0.4556099558940247,0.36217013468740356,0.26030510260499473,0.2533008445561204,0.26184610712430745,0.2535413629690691,0.26345283220134486,0.2514764784713388,0.24748724036620878,0.26500739371351717,0.2692037876675803,0.2596702343597428,0.24633852914141086,0.26301959978710254,0.27256477968730863,0.34589443339358333,0.34618967271121687,0.39989046088920843,0.41278642337628313,0.4105450516477775,0.4133536326411058,0.4124318983849353,0.4111172776785942,0.181913466098854,0.18014295116180473,0.17383450356999058,0.310258644050717,0.21257866530479258,0.2684951719114652,0.2777587135142724,0.2800959863080411,0.26933174098307067,0.2642431143521744,0.4042794685087672,0.3320979938426616
stanford_dogs_image_categorization,0.21077293642468342,0.22701661979152862,0.21065694993090328,0.24511897653709142,0.19877309915410413,0.19269759485525656,0.2746269369602981,0.27782632918224826,0.0,0.2615509158589918,0.06739212124225583,0.06714571713763212,0.11110091431861754,0.11267979500676642,0.3224528826711175,0.3195214425029557,0.2091814200497799,0.21690088852735845,0.2586991714664043,0.25516454956707446,0.23750016373427713,0.23944226170092542,0.23868316120039723,0.2374686290114161,0.23790241886179073,0.23860478246613856,0.23879633621313937,0.16631660605495302,0.2550948474516745,0.18764022265186714,0.25907076388613715,0.18091367349841492,0.2707871853192527,0.27880956360740106,0.27717211330771196,0.2793788794677437,0.28004848705699714,0.27950377248151514,0.2773548866238459,0.2778404655286475,0.28039167056857073,0.28209392165230573,0.27706110203247714,0.2796412152928818,0.27528145051829184,0.2811173093652044,0.2914969204359553,0.1923677176045532,0.2991395893730436,0.20657959931699477,0.2804638974799689,0.34772630599014964,0.25070077244828687,0.2814153804030434,0.28154291098727635,0.28096674568890656,0.28242894006475666,0.26818154103686886,0.2580314276694367,0.25927457750408905,0.2511499848462826,0.3605070988194188,0.2569724402181859,0.24905716931796668,0.23621155821197048,0.2946676418742695,0.22579392409873866,0.2442271755560635,0.24105919525139813,0.20996328271701714,0.26877476633683556,0.20844603991640548,0.2232782934020903,0.21346978303284037,0.24753652732477038,0.27490756323445986,0.2760342163927222,0.25929259375412705,0.11260683501919466,0.3213172825654032,0.20870218795797202,0.21491017460389056,0.25869239272117095,0.25625097378931333,0.23704017303417696,0.23888263652786604,0.24173165796502283,0.24041077738869296,0.2413617196456907,0.23833973917041212,0.23573383951967747,0.26093451796617356,0.25900896432522713,0.27094329686113805,0.28183804614288166,0.27923917511815066,0.28016844849405675,0.2836766683028926,0.2769679734234154,0.27810267885063655,0.27549634723356,0.2803770855525911,0.28320500783686814,0.2771126566687485,0.2794901909106622,0.2754204343255901,0.2839836544347924,0.2928795197775297,0.2988683847565117,0.2058121989545455,0.28131525007451846,0.2817999031892573,0.2821110553279123,0.28079826726381024,0.2819705983808618,0.2669967350293816,0.2583828363068369,0.25794444956188994,0.25841927419230043,0.24629000726436517,0.23699132055848116,0.2943564500472484,0.22599014174374032,0.24536003280643898,0.2400745857535056,0.2104282378426166,0.26884946008663896
svhn,0.40399262575021766,0.38802407215572526,0.38118637295190005,0.404385645202172,0.3794496744545611,0.3024262135439636,0.2526503441288687,0.37753344824614266,0.31276121883135954,0.0,0.2616283140278901,0.25458324485265343,0.13044305632814424,0.11031561981129989,0.23909822112504775,0.24651878850348152,0.36372248126907547,0.3649573450073469,0.3706701573111377,0.3727847387636821,0.3734843898660564,0.37553615561954545,0.3739945104638444,0.37397170836543725,0.37442801019223526,0.3740739212869282,0.37553270654785886,0.36075417532940224,0.35974025318273883,0.3640515573394919,0.3838981189763027,0.43767262356308057,0.42614608711009383,0.35928231985309617,0.3519107387653014,0.35290709634155215,0.3587588848782478,0.35239043721035634,0.35606432102948793,0.3568446749404167,0.3541221469238508,0.3575081296013543,0.3516088728329786,0.35637109798667255,0.35227687471819713,0.35376368552762555,0.40811056509715643,0.3890023109315352,0.41377625411606456,0.37742908104641054,0.46932724492582845,0.4530050516898467,0.3885384996974221,0.4697054468118962,0.46966194807777084,0.46886648632695244,0.469748042382263,0.38446664879783155,0.37365344884835905,0.37519515086148314,0.3620594054706515,0.5378099767140694,0.3440316415985428,0.3388179536654364,0.34354776483370075,0.37717494056568696,0.3323096482738146,0.31861540591389237,0.33656409534766973,0.4104003288548813,0.45290491781663134,0.40504819821766114,0.38963606427798353,0.3827280703372078,0.40355104021780064,0.2540427589053674,0.37584311444263474,0.0006178001047464333,0.12812259792789915,0.2386347101632028,0.3647603443557267,0.3630548847149856,0.36964895351776783,0.374819367092316,0.37131330043503963,0.37432679414564307,0.3762673241705734,0.377689807995257,0.37753967599083094,0.3754031886659439,0.37149893791469574,0.36524558515334593,0.3823900514208042,0.42666873955698204,0.36212724566611404,0.3543152495120512,0.3523774020341052,0.3639623573044805,0.34958581282220863,0.3561617280452929,0.35498648556250323,0.3538275389036317,0.3580557585856847,0.3528549750795851,0.35788650110476083,0.3525274550455395,0.3555906176703283,0.4092068763486576,0.41379608172967136,0.37770682451832094,0.470384031376275,0.4697909010876724,0.47023213060535163,0.4686493037966619,0.4692767337586511,0.3828758216001765,0.3725651563011777,0.3751210730743031,0.3458844476245233,0.33639413029732435,0.3436884859950371,0.3777642044310586,0.33244353778108526,0.3192189998777537,0.33696951189948376,0.41154922173353703,0.4519095496061939
