,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.04691491923501281,0.05295202494544077,0.101380066035867,0.23378668152926274,0.2616023489716625,0.47387430267946345,0.24194637768073152,0.28943720067547496,0.44018594582089476,0.205075073319276,0.2001948708347958,0.27120502742433916,0.2520637160700664,0.4845283773667962,0.5001397235685847,0.12278764841729646,0.12345447957634788,0.18996360784771188,0.16274214741993692,0.09848213371254734,0.10030713438505248,0.09918303579859486,0.09878820598198158,0.09829804042158673,0.09850397899373453,0.0982245716317246,0.230131497590196,0.2412325789521278,0.24344197138573564,0.3761470199610658,0.3073093855662097,0.4301945422180298,0.27562393819755193,0.2758298493763677,0.28826764006494177,0.2726161027837116,0.2906696479102978,0.2708545064431909,0.27002034662201513,0.2931858894420303,0.28801147935120114,0.2799329862611273,0.26746791602607245,0.27365611162404124,0.29722227602722806,0.37942776953788365,0.257974084749452,0.3833611684431495,0.28984318227488093,0.47035736585482263,0.4064787919184459,0.3152962012660484,0.47242614416709006,0.47212581194115144,0.4726642501036439,0.47393242710183836,0.3266929384269236,0.3217264898124233,0.3223312265807108,0.3777724534226797,0.6279821944787183,0.358443758720622,0.2826947515642444,0.33208024423695526,0.34033283755653443,0.3137071385847563,0.3076916103633567,0.3304644405777384,0.32615604247721586,0.41165577745356685,0.005456301305878528,0.05698485220298251,0.05273977951599651,0.10387985944586728,0.47445823771047935,0.2411017360059551,0.43763997019136314,0.2731298382510874,0.483051552647274,0.12141440336535395,0.12204831157384985,0.1916127997283747,0.1616886744821962,0.0995066123445339,0.09894476803163338,0.0999608109453364,0.10309848644051305,0.10187999431949252,0.09625805274467411,0.10203210073622461,0.24564979855212626,0.3773865036342783,0.42765242680118365,0.2793163862571706,0.2777933009176906,0.28682327597550783,0.276679695063619,0.2887444417934851,0.27201914700078667,0.2669104744741469,0.2898340315712562,0.291758622175498,0.28217700041204974,0.2672123563640091,0.27410198887171816,0.2997310562935921,0.38070499454278284,0.38360253813167133,0.28777171429420234,0.4713187694100557,0.47239897636777184,0.47360801876176056,0.4725287415128161,0.47227579060325164,0.3252084329733491,0.3239434777989248,0.3214510338039315,0.35913516681974833,0.2801612282867528,0.33218423268212893,0.3392577942216365,0.3137019431846272,0.3096762633358223,0.3288389536665727,0.32679626859372374,0.40928534850720794
lapgyn4_surgical_actions,0.04298324791406083,0.0,0.019865139545858106,0.03181618843930767,0.24961674552592772,0.272221849798604,0.4758979216095316,0.22916194230322012,0.3063952024618367,0.4224068097063426,0.21346734442608006,0.20477033536468353,0.26343511283757487,0.2516062260596003,0.46022149523005496,0.48528336201988964,0.1391294612662114,0.136722331097125,0.1832287883585504,0.15225747311156174,0.07293887276530168,0.07432563315365764,0.07319808429540746,0.0734216991828697,0.07263969855280111,0.07305788952302501,0.07257192733330728,0.24069788451024068,0.21174541285221338,0.24970574739728207,0.3852748565681935,0.3375717203889943,0.4221052676367387,0.26188257873279375,0.2605098375772529,0.2712850877843838,0.25943558164658503,0.2734629870411852,0.25697955053679744,0.25660225650451984,0.2767620771284014,0.27145285339072833,0.2639340188133498,0.2541864934442359,0.260435283683827,0.2792567028769822,0.3639929000415776,0.26551232457265206,0.3659137991561545,0.3132734413276439,0.47829715734002887,0.3786775464220353,0.2984903268538425,0.48030923081279653,0.4797266882672918,0.4800108652003058,0.4813791869544177,0.304620479416944,0.3056893096664465,0.3073199070807965,0.37587066262678415,0.623573490354694,0.3223286793484864,0.2572989140457666,0.30775575311128367,0.30595736721926914,0.28315016515119185,0.2793224527568085,0.29928227211837766,0.3231379987615731,0.4141959626402406,0.0435968023689656,0.013809448737411217,0.018700497170049808,0.032523298134213965,0.4762437825329161,0.22829651370862208,0.41973504239845477,0.26556358015056813,0.4590406313978179,0.1385135902033831,0.13512487152654817,0.18432744829905406,0.1516486837537126,0.07458059641803132,0.07329489546670467,0.07359534730658579,0.07680496311558963,0.07371744691713003,0.0712879773059047,0.07675315649481693,0.21414355818400863,0.38639956088358596,0.41999547747174915,0.2650793550406649,0.2614694689952348,0.2696657594748336,0.26259253273682004,0.272206998609297,0.2583856975918546,0.25438982893243,0.2735124708650525,0.27460329382340787,0.26644741839951175,0.25402479110130405,0.2598902090250735,0.2812295213577489,0.36429289251624497,0.36666323914603915,0.31148692784652765,0.4788860700921215,0.4802340695137606,0.48123159776517854,0.47997282492843796,0.4801689088139576,0.3032956926679786,0.30788827100197436,0.3063481955746288,0.3230140155988698,0.25464401048845686,0.30669296334668295,0.3052219064566184,0.28384205171400767,0.2816218278208624,0.29836873969002686,0.3233535648464987,0.4118529154493615
lapgyn4_instrument_count,0.05192366576464884,0.021306339968430316,0.0,0.02870435296809619,0.2370879862886064,0.2564867090542422,0.4683092317124615,0.23462788928394768,0.2852555006613374,0.4162750176701087,0.1935196399100614,0.18409357257847692,0.25438228562742227,0.24070803804368776,0.46148219398868295,0.4801714175233649,0.13418443191430024,0.131775713204991,0.1942021591120569,0.17112338035238578,0.06071412514814267,0.06234030844924472,0.060933700443117716,0.06090614172194063,0.06062638830877245,0.06089160992067574,0.060343878184407534,0.23399530945076927,0.22514044793688143,0.2627293309905855,0.37256780688114377,0.31773090601376264,0.41843847029961234,0.27500044591102574,0.2756591152677096,0.28813433019424206,0.2725661916541765,0.2904219416270345,0.2704790709244317,0.27010310000793736,0.29344897734195563,0.28775925014604653,0.27928997029721525,0.26651227740657857,0.274772553859541,0.2967269460065468,0.3730506949316121,0.2605385275438179,0.3766536813973471,0.3072696702757779,0.4614972096976566,0.3968229314442329,0.3058907627479927,0.46357715694236157,0.46314634801038007,0.46322025891091284,0.4646488868779096,0.2971963656478493,0.30192285605462604,0.30392089560562213,0.3866766981007186,0.6110564453176908,0.31773675474789304,0.2533921706107418,0.2905431802043897,0.3133472825783499,0.2714743087143435,0.2726772252847293,0.2869051959476264,0.32181660870142204,0.39810004612722016,0.05220994220075095,0.023818702114328693,0.005637628532705336,0.031065059404515975,0.46871514813200676,0.23363276586408638,0.413458417246214,0.25638693783921485,0.45984916159728406,0.1334279687842242,0.12994005560427696,0.1954957794173175,0.1704683991035963,0.06242601537965612,0.06099678572154362,0.062296301905965766,0.06413952633913964,0.06160382257374873,0.058729536451583755,0.06332088148228857,0.22920652194996238,0.37381251668765225,0.4164026457477106,0.27925687466634197,0.2771860152782715,0.28612463616195366,0.276456557583888,0.288173195092998,0.27186070053324396,0.2673627319686161,0.2899285591608747,0.29165486479368297,0.28201077874186026,0.2661826571293692,0.27465581706967074,0.2990618701845821,0.3743466981467268,0.37751355884501725,0.3061065077995849,0.4621612944588035,0.463629304175208,0.4647369964446052,0.4632893132657583,0.463294586301346,0.296354592250313,0.3042494534833393,0.3029229609166164,0.31856904925874163,0.2505136365371038,0.2896766497468386,0.3124716924323526,0.27179518838572825,0.274283160574482,0.28560974053175353,0.32209192789483565,0.395943841178888
lapgyn4_anatomical_actions,0.08869352561060269,0.031438027854844106,0.025962927143079777,0.0,0.2961335095998514,0.3054534261723081,0.5049897510517241,0.2821461753220652,0.3243281052196072,0.4397406541776223,0.23431014933989858,0.22533542687443492,0.2876779147036542,0.2775996804718014,0.4851286395394626,0.5067316914377498,0.19351503557166533,0.1897886148746319,0.23675430222370447,0.21300371308938315,0.10504003021086432,0.10666033716037898,0.10485279284704314,0.1053243216665423,0.10467790915559555,0.1051992901094895,0.10433948241644161,0.288156572558415,0.2521976196243572,0.3042260310337479,0.4251796857785981,0.3791949536449506,0.4588269572292204,0.3085545112835515,0.3077167109720348,0.3176509743997981,0.30721585751664887,0.3194444015816217,0.3041447919068905,0.30496489483419364,0.32288715773931764,0.31741241182729163,0.3102447918670532,0.3016906999865947,0.3062425348159664,0.32418560742316116,0.4051670266912162,0.314230253233425,0.40774108572499446,0.3669712372208239,0.5223565141526878,0.4186426117149825,0.34821137377555234,0.5245170563945543,0.5240963324422984,0.5238402554266086,0.5255010709562693,0.3456268263717208,0.35267583441425593,0.3552975020521737,0.4232885366607392,0.6616656203866482,0.3515664610010688,0.29401020282868,0.3340363590590475,0.34016904018014593,0.3083845469598082,0.30376087763292403,0.3275166599005733,0.35391959666097567,0.4539380888393574,0.08887997385713309,0.03565056412185017,0.025364796375737117,0.0057085705788217905,0.5055571142273061,0.2809532977695316,0.43735489265605276,0.29018822473345207,0.48353960945638574,0.19260433944373745,0.18811478475658566,0.23762639564914373,0.2124577330686987,0.10755894855890388,0.10528702965949441,0.10636950712903068,0.10888294140147661,0.10403518129421077,0.10295144064313774,0.10841901431172532,0.25499761875804783,0.42647831128438907,0.45747619117999594,0.31183552276383275,0.30864418360323553,0.31583541754744804,0.3104880587497689,0.3178859069825944,0.305712716138121,0.3023945738230137,0.31970067862713725,0.3202429550016255,0.31287089024240594,0.30199476698591343,0.30556304044429605,0.326390501587157,0.4059428422892072,0.4085241872351927,0.3660345420029092,0.5228156765160897,0.5244646625880676,0.5257096787589255,0.5240119641767743,0.5242921855261645,0.34484787429797126,0.3549369938868012,0.3537367617362396,0.35229464463364535,0.29086406476273546,0.3326884674210603,0.3396132000162267,0.3088762455419998,0.3055755091298362,0.32661263053816225,0.3540576701994607,0.45184223240914617
sklin2_skin_lesions,0.28587067445146197,0.3232838807579463,0.2888098904969433,0.3721988415308248,0.0,0.23517518970066076,0.4121101823645753,0.3445593269076761,0.27033628935851217,0.428226980531227,0.20537753129954645,0.1962166598526997,0.28620625806536976,0.2507496654459074,0.5073626006784885,0.4996109776553486,0.19459300501464405,0.21184839500231362,0.3227344524764286,0.3227442175766997,0.28433102891964956,0.2872631508033669,0.2862069858539056,0.2845858572420097,0.28538682660343806,0.2856489619539275,0.28601816034020255,0.08633679339631892,0.3363073093579169,0.2203578966654684,0.3535634841260039,0.1700386215350997,0.42368226374150175,0.3711171777403761,0.37445949576465737,0.38685275984201417,0.36807383550469386,0.38911377798390134,0.3665041064538718,0.3639288574007964,0.3928923589434217,0.39039428335529963,0.3760475407972287,0.3556811747339289,0.3754117963435313,0.3953264185917274,0.47363041815027207,0.08052546641997989,0.48120889835303615,0.13007707836206533,0.36576003913708743,0.5310243331394264,0.36830300724418097,0.3684599961299184,0.3682369377743351,0.36843132795129613,0.37021919037477713,0.2929664991955972,0.27686022516386266,0.2793657238793118,0.35523899387463354,0.5483517545803749,0.41691970236746156,0.34988085193551105,0.3709358005157426,0.4457077651103529,0.37627279377063927,0.3694242837999898,0.36601330911397045,0.3272978715301891,0.3133872928252267,0.2827878191641119,0.3184692981426286,0.29633244685310856,0.3768956645710515,0.4124669633990804,0.3418560604993385,0.4255585665850783,0.28780872011169956,0.5058970889400798,0.19479971855894765,0.2079312452027246,0.3231798805526097,0.32411337784284416,0.28199000712255046,0.2851896704537779,0.28984642036298675,0.2896821539908847,0.29353282077508014,0.28338278520891497,0.28083431879652504,0.34681643918808336,0.35398601965740417,0.4207663144889757,0.378299041489723,0.37962812523612655,0.3838597880982346,0.373105275069885,0.3831381249488143,0.3669749204582472,0.3590658986991855,0.3893857539803919,0.3942375209860235,0.37894788997386186,0.35545679887761916,0.3780123167253904,0.39926067849959923,0.47618019891667485,0.48120036806647004,0.12999190449482464,0.3666943868916581,0.3678156840313742,0.3704219795062115,0.3681188890300249,0.36810884164942287,0.29087515646518614,0.2769061989317989,0.279128171298099,0.4185831110854049,0.3463649460254072,0.37315292910374165,0.44438597576077177,0.37568439959597266,0.36988246765519817,0.36335697611285744,0.3274051399476349,0.3112279216342775
identify_nbi_infframes,0.30892306601195396,0.3459059420907703,0.32426809503191256,0.40437659526205244,0.3153973895195079,0.0,0.3043056324805609,0.43935075675877844,0.2420764478884177,0.3555754856393917,0.1926197338945566,0.1859641599872257,0.29438622130461145,0.24650212391656917,0.49808633023418675,0.49493624391219637,0.28511863184058783,0.29706276850322,0.4008182292976933,0.371345509547567,0.3372462130913394,0.34127838980882,0.3385564130699913,0.33683327275312297,0.33847346154163865,0.3383844126940215,0.3406461039090303,0.24927917161024804,0.3652005611567784,0.26324731146978786,0.3533562945792591,0.31838202619131517,0.4978092259271185,0.41200287030050115,0.40139869521826943,0.4099040647242518,0.41155208520327086,0.4088462828760432,0.4062451848069666,0.40560184118323617,0.4127997980354241,0.4185429140468387,0.4043026853820173,0.4048578703757882,0.4039500994039964,0.414448058447364,0.5022640969774845,0.28209948260903156,0.5122998042820633,0.25416901000045433,0.5414867797375228,0.5877494118622155,0.45247849318029,0.5431275062281782,0.5433698187919493,0.5433000028295889,0.5452792053827327,0.48268024171720264,0.47419919615513506,0.47590678744193626,0.3255289231945546,0.706834826193927,0.4633362016991403,0.39950950311125694,0.406884408070808,0.5005581720923755,0.41097140942410304,0.4127971259235108,0.42353179965845444,0.4085410568675589,0.5072514621097639,0.3065295332396051,0.33556620077614163,0.3297585738764234,0.4090896432688238,0.30345877151351547,0.4361375469133537,0.3564972667347872,0.2965205533318225,0.4957533555898147,0.2830250001497966,0.29152039233294147,0.40260538534465323,0.3717998692657206,0.3343363925485307,0.3350717048065863,0.34267063238390794,0.34492896983342297,0.3465633704244788,0.33748893718492273,0.33401847534854884,0.37678831048815853,0.3560847081824323,0.49515105392867326,0.4162101153020777,0.4063069849765645,0.4090001757533803,0.4200885600925509,0.40268412855344554,0.4043551763673554,0.3999742647142467,0.4089918770120017,0.42186232933570966,0.4062825069589929,0.4063546551250593,0.4049602330652228,0.41910772187249995,0.5059133733480187,0.5121975996002058,0.2542241574472808,0.5421307735522727,0.5435117402531224,0.5444336280171523,0.5427331019783916,0.5435378487779712,0.4822464032921524,0.47462941972623496,0.4732555188921963,0.4656217376758331,0.39622883888085947,0.4099019513416856,0.4993489822574659,0.41052629356627185,0.41204204688226065,0.42038096992546004,0.40925042954979796,0.5048732254788875
laryngeal_tissues,0.5889440483507593,0.6248033588474563,0.5929528332947842,0.6687256970002717,0.48707518064029565,0.24391152215716344,0.0,0.6847476851791767,0.33874627204800545,0.32611827055247145,0.3043958667869394,0.30883164400042185,0.3380511441824656,0.29050094307502594,0.5667222869968078,0.5460648157384261,0.5592948757736134,0.5672859607063595,0.6567412139799338,0.6601302848925453,0.6322510867935736,0.6369126308175692,0.6333866675678439,0.6315041062168577,0.6331768747655675,0.633472326448443,0.63540335744697,0.39225187238518266,0.6138156381997304,0.49590813353627755,0.5415675951199266,0.4621849035453762,0.6955549675117456,0.6769659093802549,0.6717554250078878,0.6753132873176213,0.679938115200719,0.6742665834496635,0.6737794201304936,0.6753001999126658,0.6776875095191315,0.6836289527895676,0.6706249757669802,0.6758623639152321,0.6693587236626537,0.6759621180198058,0.7169955012980002,0.4579381447182875,0.7283380847478487,0.35099875802029207,0.7108936300190538,0.8227734139062779,0.7027463371458,0.7128681676314413,0.7127202997905453,0.7122801798712459,0.7146493766314241,0.6527899549493408,0.642701595130027,0.6463547719479157,0.49526449510627946,0.8583737823472536,0.6399094019661751,0.6367523167531928,0.6225707500776301,0.7115646605287256,0.617630342913327,0.6167929751089198,0.6216745282388647,0.6019800246583382,0.7045416840679437,0.5866853084016949,0.6320107627481797,0.6000820565124643,0.6722329237804578,0.0050225685525295835,0.6812981003669683,0.33081923612242725,0.3388421923512447,0.5626776951303593,0.558866573180677,0.5630520489483862,0.6586086238588746,0.6609546297465145,0.6284946864277279,0.63099090770477,0.6381855310887039,0.6404927947063727,0.6414660911125222,0.6314136928557177,0.6274026774386388,0.6283573512185585,0.5436280699812908,0.6933523526154697,0.6825477120623684,0.6772204901524908,0.6737225702785761,0.6884566541969761,0.6681098188342915,0.6726274746530378,0.6695852866288421,0.6752639193242229,0.685527674741389,0.6715690691495242,0.6777254957385661,0.6705733040398252,0.6822643839843446,0.7211776988701963,0.7276647234270532,0.3532213528258443,0.7121834099378347,0.7132745298414643,0.7137310939415009,0.7120324497586685,0.7132737845914863,0.6522301862820876,0.6425046168528331,0.6442468218267698,0.6424988254450285,0.6330286676224093,0.6248572779718675,0.7117985749585583,0.6162087165912278,0.6163776991038566,0.6201328514142085,0.6034240935784053,0.7030331451699962
nerthus_bowel_cleansing_quality,0.1985909316233166,0.21089811505509248,0.20480604947486736,0.2686095677489032,0.24824854420565826,0.31851348355874814,0.49195001027747953,0.0,0.3680850503526597,0.42072562987296225,0.2604665475984722,0.24804212450238078,0.2960814362146953,0.28086644205999445,0.4647938861085076,0.46963042786575965,0.1075263497004082,0.09009864756525268,0.038860000064786,0.09386307833720292,0.1566660606775713,0.15721260424858247,0.15723191447186213,0.15734254933488484,0.1573781883900885,0.15731784808788943,0.15749005473151134,0.25683600870249884,0.17333863761702029,0.2874791882107876,0.3844138292724364,0.35538122819306783,0.3622491736306624,0.28464402094739416,0.2797636989171144,0.2916606605067308,0.27976212040028003,0.2928829015225878,0.2785742196844698,0.2755952965199694,0.2962404816497383,0.29455797252536964,0.2838046082011957,0.2728505529420613,0.28697242098640696,0.29991415280538547,0.3884490256164288,0.27526149962403057,0.39083422830142134,0.3261898653370188,0.4071055573853462,0.41730681972147377,0.2508160890784876,0.4086167605139064,0.40876429468996545,0.40887582541139184,0.4088669511400272,0.20014022048387142,0.19517611958967757,0.19374870881209028,0.39882011137788087,0.5405793784577437,0.3385155715248665,0.24157603025467533,0.2836449964833525,0.3258589510104808,0.2988812586666608,0.27308515702728425,0.287212582022217,0.3895684514950115,0.3423738701203664,0.19721919633732754,0.22017190629948527,0.20663695690536876,0.26992093811856893,0.4926645229980049,0.005392001152090511,0.41719417146875715,0.29593242589521757,0.4648919441582069,0.10730747806906885,0.09358587055322543,0.03886460784327378,0.09344166014519961,0.1562985758767937,0.15902547146220994,0.16000009533501516,0.15919025442745202,0.1608904791908821,0.15708959402450862,0.15650341550352412,0.17552300139827326,0.385797872906141,0.35970013074493684,0.28967925895482305,0.2812989566900912,0.289386147000931,0.28293376260014125,0.29049882011520234,0.2792296189390562,0.2736169974186373,0.29358811721674805,0.2986869464421086,0.2862780520840803,0.27224055180702234,0.28729204160291566,0.3024887947032858,0.3884196132765117,0.39170128146618377,0.3250044025642168,0.4078769495511286,0.40839927100774664,0.4091242856299655,0.4090277394360622,0.4072966996854733,0.19905953894710182,0.19665006235178772,0.19330240101433055,0.3398397061857711,0.23897228911279295,0.28364505813602026,0.32456495356439063,0.2984072534239357,0.27441059131622164,0.28592691163611883,0.38988437837379103,0.33987869043804225
stanford_dogs_image_categorization,0.4084388286834454,0.41955122238874654,0.387736581244462,0.4528500728684183,0.36513712755634564,0.2523543300829486,0.37801423078232677,0.49179054572034653,0.0,0.38221414008123444,0.09748604372292984,0.096009619255223,0.20423594562631875,0.1920706209731659,0.4829943032738383,0.49728748794010547,0.37557560404964324,0.3929433885500717,0.46429941333989677,0.46207670033208914,0.4272569111561827,0.4310600593996522,0.42818436556574846,0.42636115806527575,0.42797444827866554,0.4282732370701693,0.42955872251041843,0.31254097875188747,0.44623079010180605,0.35270605147858775,0.3964150238729973,0.3572791702057533,0.4965532527951223,0.48882703490691926,0.48408871589976754,0.4900073540243665,0.4901132535521271,0.49071313481778656,0.4856441037069723,0.48480045104105823,0.49345614311975056,0.4952107479686678,0.4851368981067531,0.4865515263183011,0.4807141593902226,0.4939600972904501,0.5502344908971444,0.36412153108909384,0.5585608517800484,0.3478165206290558,0.552956182743995,0.6144833228905133,0.4514300591201631,0.5549220353810707,0.5551256390387499,0.5543454015907356,0.5564615508004732,0.46287167068282964,0.4519454486688901,0.45535785966919495,0.41596459797751706,0.678905671949251,0.4328050685721083,0.42818024458126563,0.4016344660693806,0.5006907961785234,0.3784505941281938,0.3890497367270701,0.39676728125368976,0.3890764940874103,0.5240705731192117,0.40561533448174514,0.4174413161188349,0.39375573596453356,0.4567073310156168,0.3769487784608902,0.4892086485789059,0.38050271553925125,0.20776421165734882,0.48160362691999514,0.3744401580046939,0.38924877460867524,0.46495285373779516,0.4626891261403523,0.42577435439614714,0.4273054359821386,0.43312118811140843,0.4339827342772514,0.43509647957275643,0.42743090452391286,0.4228372092100333,0.45750427134389715,0.3976906457062185,0.4956888210859303,0.49400729269647115,0.488358307465223,0.4889168498687095,0.4970332087492185,0.4857928410897564,0.48630380427449504,0.48063582582660036,0.4905386943780349,0.49759717775159495,0.4866670971010238,0.4869942087657192,0.4797277981808455,0.49900109937337556,0.5537204719583729,0.5583669132592826,0.3503900829706683,0.5536766648148852,0.5552638105067966,0.5562372036312055,0.5540540267252101,0.5548510387337828,0.4628666213169812,0.453169235397597,0.45317411862585255,0.4352637304979915,0.42215913502080715,0.40248627714117025,0.5005386421828086,0.37782048895742426,0.3894238268052206,0.39499790544121793,0.3893334179783734,0.5221088592831891
svhn,0.5372966711343584,0.5451696266003783,0.5180609880366207,0.5858546656798238,0.44422649422679406,0.2602471374054627,0.264318158394947,0.5445002677878855,0.32646495594873826,0.0,0.25675634451988244,0.2414110234721042,0.17844630286336388,0.14807450219725699,0.33640507264522534,0.3218609446754397,0.4743323830334733,0.47511044968573746,0.5240305558320414,0.527728133765291,0.5255067410007785,0.5296159122819418,0.5264585862866424,0.5252449818438021,0.5270936125308172,0.5271737442978461,0.5289738075699065,0.3849719215820223,0.48856392945355676,0.42177560368299694,0.45530923111681065,0.49097187181743746,0.5959682384892582,0.5444066854133254,0.5378167127081159,0.5434368843546942,0.5444978557183127,0.5431187986406747,0.5406918717584461,0.5399289606293922,0.5460749302079893,0.5500174176989472,0.5382963414812425,0.5397904253465724,0.5345665532371892,0.5470830645320999,0.6031071750484118,0.4297501248534228,0.611397388289995,0.4000851575636672,0.6388144081755198,0.6906460200705706,0.5339715424318802,0.6405909447923255,0.6409564166787328,0.6400091849306607,0.6418329125515517,0.5378228125073612,0.525785555357294,0.5297626480548747,0.47234923154969655,0.7789401784103178,0.47031794724006626,0.48253957558947824,0.46200665735735924,0.5475488095362697,0.4476408871918135,0.42297150792880833,0.44646390720805806,0.5344525684109227,0.6147102046109179,0.5366006905716902,0.5417377371334673,0.5234396606242967,0.5873252097080699,0.26440002260401163,0.5409236611248054,0.005629639852501511,0.1760595163901294,0.3357323896516916,0.47368541188657665,0.47171000924191175,0.5241528179023514,0.5298140044693449,0.5218260292848951,0.5246513763707646,0.5314031612581059,0.533926954591512,0.5342250604904712,0.5268925502487443,0.5203590446769797,0.5006841855742056,0.45740359650504403,0.5940903447350308,0.5497022798381436,0.5416170173623835,0.5408587661537888,0.5516128077308552,0.5373796984552077,0.5403097282771927,0.5356592962043091,0.5440932273395884,0.5526252236439257,0.5403901872783345,0.5415988691087705,0.5352721485396861,0.551733238198579,0.6062696418159874,0.6110254901834073,0.4024127277252099,0.639396172382377,0.6406438053636938,0.6414111628530006,0.6397566773642567,0.6402468479514898,0.5367456791069102,0.5254409127898607,0.5273362608788947,0.47321831968095707,0.47890794971175754,0.46322624590756006,0.5475731543714926,0.44668714516669705,0.4225251495826902,0.44526567215607216,0.5353741111043352,0.6130236379411618
