,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0323549033914492,0.036005787921241164,0.06878061044936884,0.1670040836540227,0.17333108001386058,0.36138034889390597,0.1652085847383652,0.19196875986213033,0.3355731679396382,0.1439423586694074,0.13907633767455901,0.20077922319369568,0.18283193342140164,0.3854191693947311,0.38977736185691036,0.08305655704620372,0.08451869873404194,0.13318266342719914,0.11621949853051283,0.06808083122631955,0.06928630897948976,0.06865564443155127,0.06824412034767924,0.06802576560943499,0.06825146853976764,0.06797793459905574,0.16705954164925052,0.16675879917155087,0.17503688651744098,0.28076707199028106,0.23083985918046268,0.2905290835928909,0.18647132978850514,0.18750945125146,0.19522701497069928,0.1849355268229834,0.1965260776047542,0.18376483901610113,0.18362122215562574,0.1979452835045719,0.19481718250249366,0.1899194342842152,0.18205598419824787,0.18479026350507344,0.20063981754357438,0.2386395916718171,0.1891047361841867,0.24176609731526888,0.221322383407643,0.32829882141403527,0.27090489159898246,0.2197034605201481,0.3295927887944472,0.3294781870374779,0.330011480384367,0.3305968520724351,0.22467949205550697,0.2194044756529617,0.2191670040349295,0.2627523367123654,0.44272063557738,0.24134775906314376,0.18995511526282288,0.21882737999315569,0.23313044071824546,0.21178123917464506,0.2081431839923644,0.2240847509316548,0.21876997848175206,0.28277235751552976,,0.038933161542695986,0.03600896062999813,0.0701077186138526,0.3631532957789525,0.16480498162230023,0.3334368399500616,0.20248708421373957,0.38367648572837776,0.08209420835349925,0.08350264242245492,0.13436856475636513,0.11551701878875556,0.06887124217527432,0.06828621820589716,0.06946823880108192,0.07121995993718315,0.07017663810313779,0.06654892183789668,0.06999806313180221,0.17021437582933407,0.28108519397869924,0.28904334772754037,0.18883650180868675,0.1891347250102835,0.19431914798248895,0.18767155053103213,0.19502307835443783,0.18456557024681147,0.18109993570542607,0.19571019581076948,0.19677310452273583,0.19087488497337346,0.18221904776041503,0.18538328078037225,0.2019738470343506,0.23976471276370925,0.2415004035218877,0.21819731165833178,0.3292892634990333,0.32909039122347084,0.33092409615607093,0.32985994827795373,0.32968804693274223,0.22345328954818794,0.22096943397260546,0.21868224338588593,0.24181075295974083,0.18861512696259913,0.21913314103904197,0.23231902580322733,0.21162236235223283,0.2092991906625161,0.2226845061016544,0.21936856423061052,0.28154353389452247
lapgyn4_surgical_actions,0.031569488454770187,0.0,0.011229397002816843,0.019332822891425773,0.20169018706580438,0.2094961371918101,0.41098603457340943,0.1637521782459822,0.21337826404451132,0.3550060646339389,0.15226072219175713,0.142923752173286,0.20281697956655642,0.1916770857455961,0.40070503115807865,0.41156385556017505,0.10267521387519418,0.10398257026715578,0.13497195439210274,0.11003387970164422,0.048447424870618296,0.04943528043106128,0.04849533664053832,0.04857903787187604,0.04822739892810123,0.048624652841783314,0.04816562139178247,0.1953926572220693,0.14961993805420104,0.20138148808309358,0.32208956353273666,0.28481987950145765,0.3072609831937849,0.18200383956262528,0.18219741945836077,0.1891022230419142,0.18060860405087908,0.1906309427356458,0.17901638949185675,0.1792410917468756,0.19301752177614842,0.18856497932384597,0.18434798175472233,0.17758249218102756,0.18144749430616497,0.19440245422620622,0.24146197242874118,0.22033369682791903,0.2427127362135843,0.2709849115375782,0.36599753324383333,0.25685884609790255,0.21254394432538432,0.3672517597627857,0.3669207949985721,0.36729852751346614,0.36798220291241734,0.22048090696585035,0.2213239173961731,0.22197589505851364,0.2817510503800357,0.47502768472159,0.22165034329592548,0.1785561265718803,0.2136994242978374,0.21302980709203656,0.19528158703126683,0.19311376019652957,0.20789584511868325,0.23251104842971027,0.30904915977802283,0.03230857504478672,,0.010428067896025272,0.019408667243154234,0.4128173211804106,0.1635819170656165,0.35223133338970025,0.20501513915330183,0.3989214949494345,0.10242292154696034,0.10257087221113075,0.13585909276650598,0.10982282500631209,0.04944497665992589,0.04878609191018371,0.04895877328084139,0.05083853031290896,0.04831622808385378,0.04736855989862401,0.05077278298156807,0.15122655151381292,0.3220616573332322,0.30601223912969444,0.1839749070173163,0.18295093753886066,0.1879779691210062,0.18235706493559545,0.19003688565756766,0.18011701288937293,0.1776323281616412,0.1905205139359144,0.1901727980148435,0.1858339659568764,0.17756023815377295,0.18092432038522266,0.19518555262340434,0.24175221921880793,0.24313822231339904,0.2675452049644167,0.36695197805985547,0.36660579248828573,0.36852594352162926,0.36728573324942027,0.36738258135811513,0.21917847669963786,0.22273921902528027,0.22153270289283147,0.2222967207662564,0.17676797364960617,0.21304614138687603,0.2127369050297322,0.19560504234774634,0.1950157159805576,0.20722808156526618,0.2329840875089461,0.3074428912426058
lapgyn4_instrument_count,0.03575896053387204,0.011549459988321535,0.0,0.015987358152521693,0.18491279124307453,0.19131797124824568,0.3846452095391979,0.16532836961155187,0.1933961726994497,0.3354729108126352,0.1375048959094436,0.12851485168943177,0.19144575606805325,0.179582685841703,0.3812909928598604,0.3893665493471409,0.09668286655819607,0.09840509213492778,0.14054731571587523,0.12379768021186902,0.039022619006072005,0.04019239411900588,0.039164200882749606,0.039067257699426705,0.0389799150352728,0.03933481220017114,0.038808559130236044,0.18229583006624345,0.1592679812794502,0.20291752911728433,0.3005234596337508,0.2581780590534332,0.2973995447275596,0.18925774852250205,0.19087165839654519,0.1985496519517661,0.1880001185943282,0.20001502816000255,0.1865998970024716,0.18683408936960316,0.2020839820647094,0.19777840692021287,0.19291587574478938,0.18450877777882468,0.18908385332685068,0.20399478375649632,0.24296186431772146,0.20762985707325177,0.2458780164864281,0.2533124163050368,0.3411614074479661,0.2675724161020793,0.2162538174225427,0.34229057557343284,0.3421189344595103,0.3424655233610139,0.3430957302724574,0.20986794508724077,0.21432668764021834,0.21529525010299538,0.2770948547029467,0.4494510089298574,0.21421496740220852,0.1749610356278724,0.19805638227447972,0.21423749868624775,0.18382086638812936,0.18612146158428922,0.19747982055959612,0.2256972918581097,0.2907534379262291,0.03630967855545797,0.012970013785746254,,0.017349428719225356,0.3863481503990758,0.16506798699693193,0.33292760338484967,0.19331522282312655,0.3793350224608403,0.09637372927645643,0.096686819718367,0.14162088723208865,0.12345393169959615,0.040212174147226054,0.03926144430436305,0.04037232180606011,0.0410576246491271,0.0390699117671659,0.03765957518920718,0.04047457640672209,0.16199136972637052,0.3005571553201331,0.29614388355228227,0.1919789149721558,0.1920442746412944,0.19718178213525533,0.19040234395727423,0.1986877721352061,0.1877282297667452,0.1848147486805333,0.19966219337234775,0.1998959855491949,0.1944754091346501,0.18443976759567893,0.1891933411800394,0.20496452032373197,0.24408337177759148,0.24630426880792597,0.25023443951153146,0.3421093824313467,0.34174847003293407,0.3436384302027176,0.3424392853712445,0.3423837283415234,0.2089858542678511,0.2155876978659746,0.21480485198200192,0.21478466871050061,0.17305081071476902,0.19758416718751676,0.21380383852739587,0.18393132016860222,0.18744907024597873,0.19645086289468391,0.22623249360207792,0.28946785935140984
lapgyn4_anatomical_actions,0.06584892587858379,0.01921160577524103,0.015361793891486949,0.0,0.23390823909184744,0.2319881163566345,0.42356171835886847,0.20590308291764886,0.22712951475007875,0.3664812193361979,0.16994283535542232,0.1608616764659797,0.22425351542080815,0.21493884121046622,0.4099135191113782,0.42011418282850005,0.14529684187990283,0.14660705387060316,0.17756319454476344,0.15940556109070048,0.07287111315965009,0.07404092451735476,0.0726642310412485,0.07281734538160163,0.07262693923221117,0.07315664034661722,0.07244887294281427,0.2268202113905824,0.18134099403092566,0.24270611691144986,0.3500950330960316,0.3088520468322641,0.3343239932529481,0.21904070538382747,0.2197767915796637,0.225561762313371,0.21846278852237896,0.22684170048569274,0.21641731178641732,0.217633582997234,0.22937720373146425,0.22476575002145407,0.22086658221273509,0.21522940184491263,0.21771365871567505,0.22948872659312855,0.27354788356894644,0.25157802353044995,0.27578870180104664,0.30184100292446103,0.3936369583620685,0.2866939844510399,0.2516351828886289,0.39488618177766366,0.3945961753441193,0.394732860569404,0.3956062293075346,0.2523152302409,0.25863063040376827,0.2599703859422248,0.3119042689817173,0.4969769236136714,0.24147532269636884,0.2091316924625825,0.2328641954795115,0.23744473435549918,0.21283330567320474,0.21221349267047196,0.22875197845863443,0.2552250816317095,0.3396511348133668,0.06645589462283644,0.021171663419907463,0.015006526436016928,,0.4252931739540077,0.20557109593349535,0.36428549935486837,0.22647556692698967,0.4078782924886502,0.14498558334991624,0.14500134468574635,0.17837233637930583,0.15913926556246835,0.0746114231437777,0.07314302945004848,0.07406556480763771,0.07527241411993837,0.07147448363690415,0.07158449424624841,0.07476889849044308,0.1832239501156701,0.3501588384990976,0.33341817440563415,0.22112036580038746,0.22052102053508385,0.22426876362510323,0.22038821446391424,0.22594474343697019,0.21764243059907565,0.215642693313305,0.2270767323899615,0.2261433922606129,0.22247746823822134,0.21561095668142355,0.21727473175710346,0.2303915605947145,0.2744954769206278,0.2761977734638169,0.29889294234469366,0.39443662443309624,0.3943408580113116,0.39615125542011087,0.39476693364809057,0.3950147573571119,0.25142502917641385,0.25988327793005495,0.25916788103634986,0.24203538144958386,0.20701567398894855,0.23206572359952626,0.2372418594877837,0.2132757226622405,0.2138377483892397,0.22806047199409069,0.2557493497766683,0.3384046535287142
sklin2_skin_lesions,0.1792292269039084,0.21942408733469893,0.19669874590815364,0.2522990053574563,0.0,0.1536733202352568,0.27542186060230844,0.22669331166433507,0.1697400845123817,0.28100623747935094,0.13980061578153774,0.13734330531812108,0.19709331841987693,0.17237734841136865,0.3394046983965412,0.3346338004373724,0.12563148938952567,0.13697510645108113,0.2158852806682725,0.22509805436047636,0.19855054207326123,0.20048910601611766,0.2003175914069958,0.19876202228405948,0.19946827252207144,0.19942089952123412,0.19967776919089725,0.05716834403067266,0.23049001285978865,0.14247690500291932,0.23354423909231475,0.10941866186426613,0.26893809228060717,0.24027164203265455,0.24311132398869167,0.2507615810968318,0.23886435854574267,0.25184665282873153,0.23776287808409094,0.23688604920637205,0.2535572660383906,0.2530609965088856,0.24400502055014858,0.23137212209180735,0.24176586404650935,0.25529344524233955,0.29190364591804097,0.053442606779544724,0.2991467929318226,0.09137578753696268,0.22753591737866372,0.3459924579037578,0.24633904634805526,0.22910532907627632,0.22920285899075593,0.22936818148873386,0.23040514144204247,0.18091700890001622,0.1710937708102579,0.17248973753583527,0.20962896785083832,0.345297684292943,0.28029212594274844,0.23413489497552045,0.24144886357632483,0.2993145329605513,0.24985642275190237,0.25226657975631317,0.2475044178162094,0.2038090275425431,0.1917731684253969,0.1772036625662507,0.21689949377522638,0.20124040077072544,0.2556185214459082,0.27684254498117167,0.2250756969144278,0.279311571590557,0.1973649198051539,0.33780249555651654,0.1255025345428069,0.13438425182334224,0.21647191552483228,0.2260114366018202,0.19740319446822455,0.19905324084671777,0.20290227487614085,0.20225495766063128,0.20432349036036868,0.19765262604638845,0.1961222603907687,0.23746357928847767,0.2335575824187755,0.2674023414762321,0.24482805466040958,0.24674812274020858,0.24932175398560114,0.2429168519107279,0.24726772985112144,0.23817249038339608,0.23286488627880425,0.25145304964305426,0.25497754557157165,0.24505506629677137,0.23179321250853316,0.24456772456602607,0.2579016776468514,0.2944815663487989,0.2984724128450222,0.0902579209732007,0.2286997325412345,0.22827347895214675,0.23065290083307222,0.2290122159949196,0.2291536812458218,0.17968676455064947,0.1708840956769505,0.1724310561539436,0.28103533637148903,0.23215388519481284,0.2426465874801324,0.29802044167009545,0.2492121126484649,0.2520376106475154,0.24501496949845603,0.203984707906335,0.19081895774455476
identify_nbi_infframes,0.18304560806368025,0.22357361842697496,0.20392734447308775,0.25305361123644277,0.1687593354172559,0.0,0.15247508359133438,0.27979137697798245,0.13813233423918225,0.19097034698566456,0.12373511993788168,0.1241390652793441,0.18388432746233951,0.1535078093226353,0.26725432982507075,0.26070008538379597,0.16699773191597836,0.17722997823464468,0.2549110965589433,0.25190206066816234,0.2217532709248964,0.22425995649208705,0.22319885623910596,0.22143887888134856,0.22288002783387872,0.2228653832931104,0.22398424516507962,0.13358302514004944,0.22607688061584624,0.14003022877461083,0.18368279962750536,0.16394698720772985,0.2723659579712051,0.2560129072524772,0.24915833145576322,0.2525924440740561,0.25663245818955177,0.2507831190770962,0.25290144985852264,0.25345998606405395,0.2525237813636263,0.25883929898603497,0.2496713859011993,0.25261281536979596,0.24711016139986075,0.25284621653670136,0.2784400495740197,0.1433351271611999,0.28938988178103353,0.12523752098268714,0.2871656495027154,0.37223398694358845,0.27538276503625,0.2878018199802304,0.2883406485365285,0.28844408085503803,0.289470803143515,0.2843241579432678,0.28031433803803657,0.2810622588232523,0.15372643619515292,0.38564226799435675,0.278367409109611,0.2468727324148029,0.23007308526883158,0.31831623036957196,0.24101745537713504,0.25287368562824075,0.2524848675943163,0.21864187727170636,0.27652717389703957,0.18134020396313805,0.2154616557132954,0.20749114644932407,0.25747839281644774,0.15289490560605148,0.2776282781974271,0.19197589780331922,0.18409163534534223,0.26499604808428856,0.16512941354186078,0.17361201090065267,0.25657895228853217,0.25184424632224095,0.22039444861330398,0.22068907637861018,0.226350047281898,0.2264479461347034,0.2274367106334943,0.22108422962650648,0.21836101111098816,0.23351131387113305,0.18476135085327997,0.27079330699089443,0.25843354313477473,0.25280780074648435,0.25201051287262244,0.2634755883716294,0.24549684912056818,0.25158328884922304,0.24874682406315296,0.2506425142539211,0.26010407442977146,0.24988442270685818,0.2550743603678293,0.24977218264640338,0.2565569594451177,0.2819493925274802,0.28840628924343836,0.12427481715955832,0.2876829672064445,0.28829154178624883,0.288755697609711,0.28803119348759165,0.2885256475860071,0.2848326805426348,0.2808555811741227,0.2792738361894608,0.27899482534508024,0.24548518244193673,0.23192152106407646,0.3165153239758317,0.24066679896087134,0.2512053199511649,0.24957834641537346,0.2195279119304009,0.27620507593746235
laryngeal_tissues,0.3740526727593988,0.4281620382268645,0.397827506156357,0.44658701255228894,0.28230332811037845,0.13987505648447457,0.0,0.46309366498847404,0.2029825895413574,0.1666865170524498,0.2092533377409839,0.2197299908405635,0.23280000768282183,0.20233312053192576,0.28211475819331977,0.2684385996412134,0.3580570619979254,0.3674349682452071,0.4440563217240136,0.47118213889922245,0.43946924520479297,0.4426107583456915,0.4411229891672881,0.43911502490360793,0.4405626313690899,0.4407469384209346,0.4417731027578209,0.22899405311435145,0.4064258241161127,0.2943494929071024,0.275741286108552,0.231116248462772,0.39569628019310815,0.4522968492229853,0.44767792272776297,0.4471204669062725,0.45533943639095253,0.4447084294879359,0.4506199321806143,0.4528226054647835,0.4461959607756715,0.45450476797202266,0.4451666025633854,0.4521616989230353,0.4412914894808596,0.44419502299515684,0.44437008346212337,0.25186677787623224,0.4587004183846408,0.1776422685996492,0.38008396068966,0.5556536287210667,0.4557850118831738,0.38085791211272224,0.38130736576309077,0.3810213536081426,0.38249549800074334,0.4160660662191564,0.41114952741329747,0.41300591921242613,0.25866396718530227,0.46122515142366904,0.4140356796643092,0.4246488999629221,0.38489789910427125,0.4793442335494237,0.3949247037434724,0.406918534529895,0.40301803866661845,0.3438270918414533,0.40187064700150144,0.3720959574725079,0.42788626227075643,0.40260525028027516,0.45105160030358377,,0.4604688675416573,0.17030956625805366,0.23149525314838534,0.2793978372083486,0.35646696724066423,0.3646588219294915,0.44577207086614423,0.47140029048002996,0.43775172840113885,0.4386964246405133,0.4454852866009833,0.445049365899161,0.44558792989746054,0.4380024123689573,0.4349377847651734,0.41659022839529625,0.27677803111970734,0.3946654253394846,0.45527593504065533,0.45228089793175547,0.4461521837592586,0.4632850321614025,0.43875124256544007,0.4494052622109324,0.44724641385240527,0.44556299439116837,0.4550161829864545,0.4444807828310774,0.45527299987301567,0.4446652625581743,0.4495772290915858,0.4493228408454214,0.4569566939574806,0.17867773789867364,0.3806188018000406,0.38164016552655267,0.3812174881219123,0.380528163786879,0.3816619131161094,0.41695717007885136,0.41125666260537713,0.41119498527383713,0.41465334285368494,0.4226459936423457,0.38658888174900197,0.47796847156460587,0.3941804464036093,0.40479524642160747,0.40066505789700524,0.34533420388998026,0.4025623971814711
nerthus_bowel_cleansing_quality,0.15679964023087195,0.16116665141036443,0.15935231870181626,0.2047353431159804,0.20511903079734128,0.25510043764971846,0.4349412516464994,0.0,0.26053157698734597,0.35183100385547716,0.1837852836596619,0.17292767905028458,0.2176996560084052,0.20507041710063972,0.41327781675315856,0.4199114265692401,0.0795912551208589,0.06685540090862264,0.02488885515661842,0.06492413060345541,0.12168256977328065,0.12183363465214113,0.12170321644824789,0.12191641181141247,0.12201739317213907,0.12179523386229475,0.12221559853352609,0.21097758124492982,0.1302714963187343,0.24187483334333967,0.3364119941685393,0.31383376322458323,0.2787464085564325,0.20935091852253562,0.20438937812049662,0.21227954792788517,0.20581290949917308,0.2123935545711702,0.2045850995411987,0.2025869684323836,0.2155504651641324,0.21538753080010015,0.2074323957127026,0.2017628069626332,0.2105516406715091,0.2181077179473648,0.2822409345331436,0.22877288872237972,0.2838589181673491,0.291367880323063,0.33098460274970054,0.3089507988325815,0.18744584541599807,0.3319138289355047,0.3318166035755074,0.3325864427995094,0.3324199133242936,0.14116626042482275,0.1370786051821019,0.13571584097026687,0.30762732699373596,0.4371130022557407,0.24373053175243675,0.17417893073941682,0.20641013910415704,0.23447821810625943,0.21349622507267807,0.195760985526684,0.20566617094986034,0.29101365393851547,0.2668898002417317,0.15612206768092163,0.16862060646492294,0.16048059389832986,0.2047641536726425,0.4367024683031538,,0.34763920043632124,0.21802159476695243,0.41235442392288524,0.07951384491180999,0.06936700962815767,0.02494504960529661,0.06462971927699944,0.12057191162662712,0.12296592136893605,0.12351567230156182,0.12298057290725907,0.12419607072159919,0.12165389620065045,0.12102498602953886,0.1316864867310627,0.3368629447814545,0.27718846316422663,0.21283000725662488,0.2060101929509544,0.2108783037841232,0.20801779541118917,0.2111521257910835,0.20521425010673872,0.20103374329242818,0.21347425331105316,0.2180924048063877,0.20937565631011162,0.2010111172387551,0.21050159215778605,0.21945152081698172,0.28259769183980704,0.2845526770229834,0.28845163199435764,0.3323740435149473,0.3311296297209456,0.33303121743688235,0.3325882766223976,0.33141562544128494,0.1400072572499308,0.1384376601313421,0.1348378330206831,0.24510690100474816,0.17227901549015395,0.20619993341214576,0.23397778294374041,0.21297224911168855,0.19717184552622186,0.20474582652064222,0.29144834671001485,0.26500477240253073
stanford_dogs_image_categorization,0.219157097419859,0.24228276329681014,0.21857100376927677,0.26057433431174115,0.18898697671775666,0.13577368973164808,0.20709174142859926,0.29262148869304505,0.0,0.20998073639202647,0.052669026976362485,0.05490976523125673,0.10857474977205517,0.10108588912327961,0.26202912871072115,0.2627021383732858,0.20216482650783577,0.21514580597608862,0.2711763755424165,0.2804257656547362,0.2547531054407787,0.2571785208348182,0.2558505538695519,0.2544323338106024,0.25542412340395604,0.2559970808707851,0.25627412355855106,0.15531304455929718,0.2618306547610689,0.18355448715411815,0.21922273821359303,0.18557770189062747,0.2686525880881161,0.2858850327218675,0.28167262034879104,0.2840587355898071,0.2872160495919569,0.2833119708262589,0.283716388427033,0.28408445952314754,0.2847895463560202,0.2885920935723521,0.28148332580036073,0.2853015343422398,0.2775391998684492,0.2847915481916543,0.3081679941180542,0.18039616475798925,0.31802422968822364,0.17670482318851508,0.29947577625546257,0.37804148933159454,0.2597918389835771,0.30052779899585286,0.3007454184301158,0.3005284337231367,0.3017609687867575,0.2644103006539805,0.25652845034016586,0.2582133883096159,0.20622566421763058,0.38193910846597184,0.25183791111918163,0.25192874873038296,0.22394609455009767,0.30296298879093836,0.21588385123183354,0.22915686898860543,0.23067089496123436,0.21068081828015828,0.28678497392585234,0.21702240598831624,0.23844861010028406,0.22219839437980402,0.2641436192374628,0.20756559057949697,0.2908368563734064,0.20920767022364348,0.11039547207850184,0.2602674563146322,0.20084478937449693,0.2127705847607971,0.2722357393445827,0.280774134962253,0.2542611747857674,0.2553920400888414,0.2601821299365181,0.2591389035365889,0.25975320167706495,0.254411450056398,0.25147239538741867,0.2691264519930431,0.2196061033765449,0.2684217461603425,0.28908043051890936,0.28502289224205657,0.28348582375376447,0.2929355049244464,0.27916535232154654,0.28444863679457666,0.28035088287948146,0.2833272478792801,0.28960266288084546,0.2820833762898932,0.28644956582091347,0.27851714794252624,0.2884955937603301,0.31159394447177496,0.31718895944639536,0.17628007650168992,0.3000619376356126,0.3008447975204266,0.30137870093649005,0.3000826095280057,0.3009431834401774,0.264187297486303,0.25739525980030453,0.2565650573257398,0.25248379022441325,0.24869086892274173,0.22468206005698574,0.3018445777238534,0.21543111530276718,0.22838853404825776,0.22869323506045508,0.21132479591008457,0.2866450786849334
svhn,0.34262003796694657,0.3669176975787375,0.34238982338693813,0.38470992415726246,0.27266509667417427,0.16339566279578255,0.1589486080104034,0.3638598277588153,0.19518958796657448,0.0,0.16722242190506426,0.16705998345083592,0.12075678553169027,0.10039863454855869,0.17342496250762604,0.16739026462738277,0.3020256133627147,0.3082470275560675,0.350600008371385,0.3692664805891124,0.3616813827673562,0.3643789212944787,0.3627713861197589,0.3615902738936635,0.36282306525108593,0.36291235209401995,0.36395383079663557,0.2380679540278495,0.32384900207858114,0.26297512114780563,0.2646569591275043,0.28245791355728583,0.35228147809453914,0.3579128069726438,0.3514159623746132,0.3522132198407242,0.35868656043611397,0.35027996125741495,0.35537379479447617,0.35607226604583253,0.35194503221544376,0.35823150387514413,0.3501637429331564,0.3558497662022332,0.3464109835156846,0.35115260163242795,0.3716255438309741,0.2599551845456852,0.3826280020864629,0.23091681375432083,0.37415825376038436,0.46338756536537334,0.35096865163310054,0.3747983711355074,0.3752719496659308,0.375068449336444,0.37608146585255514,0.3443541281504902,0.3380427645528255,0.34019894664888417,0.26098452948685236,0.4601218163978986,0.3042855683283151,0.3220153764760969,0.28762728726431264,0.36440320209559574,0.28861364338863765,0.2818809855312041,0.2923829062269151,0.3186119481588582,0.37523155845065176,0.3417194166256705,0.3630961678854055,0.3459515196764976,0.38735618587147813,0.1598054569293393,0.3614229331836338,,0.11874664880339149,0.1723070557831733,0.30059008177183444,0.3061150470880343,0.3513611485522656,0.37023791290001484,0.3597904784904413,0.3611804554969547,0.36703908264916457,0.36699763297759885,0.3669328144841352,0.36180425936097055,0.3576746415694414,0.332133212499413,0.2650473130877472,0.3514309949235408,0.36095333031061716,0.3549543425344954,0.3505884714685285,0.3652297052422119,0.34538212314307976,0.3549902807389259,0.3518815211018584,0.35119770763549485,0.35924937997433404,0.35065528661553613,0.35875031942609276,0.34843607946563254,0.3550443444434687,0.3756266819636819,0.3812798592942204,0.23125498553731005,0.3746823366624075,0.3751208256674417,0.37526265707322787,0.37455828234346633,0.37520479443108734,0.3444130660014262,0.33792595967829775,0.33845822035294115,0.3053953071384251,0.3201661890396411,0.2888549716393123,0.3636949331623007,0.28814410564232984,0.2803971806978558,0.290675831836933,0.31960597189201034,0.3754178224485353
