,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0944408334292429,0.10087393085633445,0.1487748943346648,0.2813746960473156,0.31031110144053753,0.5149529736785898,0.28850376821678114,0.34367261658444126,0.48293456551288494,0.25663733973436187,0.25177704986304983,0.31791746516628494,0.29866724224705515,0.5242209761012988,0.540212421271221,0.1703610896261436,0.1708536776659148,0.23694506255296832,0.2103989191723431,0.14621142681113375,0.14807348775074491,0.14691679548868058,0.14631481077959957,0.14595489984510635,0.1460963214129852,0.1459091671302876,0.27779103067150857,0.28912532590536577,0.29088132194026917,0.42099226623882025,0.3549111080263193,0.4731025975425912,0.3223102395280535,0.3224390825518088,0.3346738507109289,0.3193966381031677,0.3370192083692308,0.31733878667437565,0.316724323742846,0.3398484402643487,0.33472715308147405,0.3265217440050184,0.31399009994187277,0.3204067408945051,0.3438111026746668,0.424018002159979,0.3055949329657519,0.42803638938065025,0.3367363624996098,0.5121457367610407,0.4505530452372659,0.36233507764498074,0.5141143607110477,0.5137721882968378,0.5146369328824726,0.5154368313953588,0.37244653706785646,0.3674464794321308,0.3681156112977908,0.4230238135353998,0.666407034235537,0.4046043871451035,0.3293791134652911,0.3784629636205088,0.3862269795242793,0.3601019482279508,0.35404724548465605,0.37661803382041376,0.37242889789085654,0.45676971506636044,0.05286912257435844,0.1047023754856877,0.10067267447560142,0.1511704359311994,0.5155728454193632,0.28779312072876284,0.48025612807510976,0.3197788973767201,0.5229509309333908,0.16919795856525083,0.16968852513048865,0.23862170595467397,0.2093104800023377,0.14741282171049538,0.14675861613173563,0.14784627813940285,0.15077910471223663,0.14951664801733938,0.14416917072240226,0.15000163230877755,0.29347022405447726,0.42177851918826137,0.4705807985794146,0.3261327267838916,0.32438690837651896,0.3335560795090601,0.3232592863882218,0.33534385692215324,0.31876291340033047,0.3135973956743813,0.33651016481597484,0.3383915840055298,0.3288041351175514,0.3139220288805956,0.3209228677908321,0.34623831999255095,0.4255487887229976,0.42791931781163733,0.3345072793404009,0.5130715288326196,0.5139509876963737,0.5153654695378136,0.5143350514169562,0.5139776467727049,0.3710925398081245,0.3698410362114257,0.36719748662279195,0.4055245421348431,0.3270376540778339,0.37862790714867656,0.38503103681095285,0.3599770992659699,0.355931578753107,0.3752425637536721,0.3728939382229615,0.4540929394915517
lapgyn4_surgical_actions,0.09043545358536265,0.0,0.06749363733627439,0.07872828623622556,0.29718817177123447,0.3209862560140206,0.5171778323729728,0.2760714331570854,0.3600961337703367,0.465321788645801,0.26443684700186876,0.25609866108527224,0.3104308168536145,0.2983959714427503,0.49985197520464486,0.525446598928071,0.18705798786944666,0.18440068548064897,0.2303386386135176,0.20019492208217193,0.12043444442112305,0.12189819238580624,0.1207157956830945,0.1210024249867052,0.12010287958197453,0.12059602207313883,0.12009814517213474,0.28826416626531925,0.2595171292752778,0.29711616297623383,0.4296969984578286,0.3849338201390551,0.4651460255873636,0.3086356381529513,0.30736289986043197,0.31788590928277005,0.30632795690918896,0.3199990804337206,0.3036850487464547,0.3033406457920014,0.32340294424350696,0.3182944270062702,0.3107913808852336,0.30088151585684564,0.3073614035839143,0.3257250751814561,0.4085565517484501,0.3131665116282214,0.41063846970122675,0.3602324525412217,0.5200420050661391,0.4228227364334044,0.3455447719949163,0.5220663085641176,0.5216069766743446,0.5218351812968621,0.522869593725291,0.35060236433059133,0.3517160048414033,0.3532496218068085,0.4214594151852096,0.6621307548723923,0.3684802780298171,0.30415550301042765,0.35433454697542804,0.3517549674862509,0.3294379356173165,0.3257255594363756,0.3456821347976604,0.36958379806063624,0.45916588169611217,0.09123513803714797,0.061227818015139546,0.06613256439614773,0.07957035578444693,0.5173601307685828,0.27534172219562303,0.4628135158349913,0.31254967981281956,0.4988925162902542,0.18634433064439562,0.18283831511410792,0.23145537413303807,0.19932876077500772,0.12228459631929572,0.12103373274414796,0.12136206593656493,0.12445389423559863,0.12145468479705948,0.1189736134169817,0.12446240866838512,0.26193823718556314,0.4308741640529699,0.46299600863866713,0.3118931662038844,0.30826117125883645,0.31652412554149,0.30915846456720963,0.3189687422649609,0.30530262737592,0.301295774738644,0.3201891236916491,0.3213993284682146,0.31307376875167964,0.3007524828002171,0.3067916135549349,0.32792942449218,0.40909928377548604,0.41112185838022,0.3584419972620847,0.5205592561336236,0.5218245009500774,0.5228062241587634,0.5218825769917499,0.5220631861891265,0.34939282379450587,0.353879098880528,0.3523760301185453,0.3693841130664941,0.301474386945944,0.35317465689188265,0.35101617426601367,0.33008518938858766,0.32798146247564763,0.34469305380245924,0.36956624326302967,0.4567970091696904
lapgyn4_instrument_count,0.09986394480845816,0.06898153161776611,0.0,0.07548781693864148,0.2852863497760817,0.3059801109669114,0.5103131746327256,0.2820674980903606,0.33940040298123986,0.45961844972992094,0.2448378248664122,0.23587598164813248,0.3015875232927059,0.2877381864038322,0.50154207868717,0.5208865032848382,0.18247010004512554,0.18000315733854433,0.2419179004479685,0.21942602471273676,0.10859287586876847,0.1104518068833415,0.10885960140556289,0.10885221180350388,0.10846882665988938,0.1087600528646302,0.10835800036194743,0.28194974356164354,0.2732763418305293,0.3104459398635889,0.4178615335497058,0.36572490063375246,0.462069303653027,0.3221247901923676,0.3227712280338215,0.33501380941114645,0.31951029156494426,0.33729362753325315,0.3174683193891016,0.3173479275300568,0.34038656688262314,0.3349831214329517,0.3264658785008933,0.31359260656973253,0.3219746657991677,0.3437397225491977,0.41788258491793656,0.30854316314026736,0.42149768780362806,0.3548396176338597,0.5042755120342163,0.44132064793564973,0.3534642683585708,0.5062220134193111,0.5060470025235914,0.506153252570768,0.5070756044522412,0.3435243280303131,0.34824618257786133,0.350177290044982,0.43243224269043135,0.6505136523149712,0.3645591576586321,0.3007580242116046,0.33755384448782766,0.3596371164897566,0.3185813383362449,0.31958562008928537,0.3339270676564125,0.3682901444466687,0.444044200451695,0.10017659207677171,0.07130177035004606,0.05328960311109664,0.07832604351056428,0.5105616055664143,0.28107922044623357,0.45684723355780577,0.3035995441845142,0.5004410594823132,0.18170125197952774,0.17815388465613802,0.24303997946502154,0.21861611500991784,0.11058237401687426,0.10924685665054998,0.1104373413374018,0.11244673726560019,0.10959214171405346,0.10697871736514403,0.11155097346717693,0.2774100865087622,0.41903562774641406,0.459918285654631,0.3265740447821647,0.324289947129927,0.33316636148062406,0.32348762696716643,0.33531717166457353,0.3190355499324584,0.314548222355139,0.3370510868805,0.338650413743395,0.3290480142472791,0.3134279334802371,0.32188045183464664,0.3461052650897768,0.419376565324665,0.4224446645710819,0.3536220755314545,0.5048315259151426,0.5062463736356213,0.5073820904911357,0.5063616731946675,0.5060969081605919,0.3430293732269749,0.35091621314012617,0.3493262013872135,0.3653124701122835,0.2980424355736514,0.33670128837980495,0.35875260482966065,0.31884473658151785,0.32121252578844867,0.3327579046941796,0.3682389311041039,0.44183995690665456
lapgyn4_anatomical_actions,0.13584812886202136,0.07828725198872252,0.07263632295255859,0.0,0.34262558855437564,0.3530574312513117,0.5449799915342195,0.32814131683871006,0.3767891929893936,0.48148299823006535,0.2841645229996312,0.27534161416472924,0.33365324060851564,0.32331495634611496,0.5238571305184716,0.5457361936193565,0.24024100739569157,0.2366754946882882,0.28301531735271346,0.2598846877392831,0.15172676196163976,0.15345278899410514,0.15164107275065414,0.1520096426010577,0.1513885440945863,0.15206503558513124,0.15121651869961225,0.33471321848893987,0.2990530850053083,0.3508266360276548,0.4684684559236373,0.42533231350012995,0.5008384016939803,0.35454096453150347,0.3538117118546914,0.36367449080135583,0.3532878357982582,0.36519555896157796,0.35008098719457137,0.3510684619252703,0.36889057321967084,0.3634806614018714,0.3564394810126658,0.3477266474505443,0.35231848840729185,0.37012866774378317,0.44935738979417084,0.3603493395629839,0.45168718828424825,0.41252081504744187,0.5630130553350198,0.46228904331753917,0.39448625931721737,0.5651517836827624,0.564803944191405,0.5647535959897478,0.5658916353674126,0.3906454537216443,0.3977076124454061,0.40009999650477945,0.46771418509185797,0.6991443487160325,0.3969903202055619,0.34011200414654086,0.3796320367460171,0.38528404669599126,0.3538735199992997,0.34921025949034057,0.37295422170643827,0.3993789237441659,0.4977537651951641,0.13612183475046497,0.08243359541565418,0.07212044002031597,0.05225310576724921,0.5453678308631131,0.3267623707541135,0.47900387128212607,0.33612359234883626,0.5222480875583977,0.23961483232307657,0.23481123350488126,0.28381913264725334,0.2594812564996557,0.1544389739162677,0.1520829700376566,0.1532811008418466,0.15589778506051744,0.15108515693977262,0.14992885799110692,0.15533089658489352,0.301879411526361,0.46975328494943713,0.4992959996341384,0.35804524218975725,0.3546208585520475,0.36188889880820974,0.35647415181747766,0.3637854194882534,0.3516576421391686,0.34849586845743996,0.36561988428331926,0.3662585848113843,0.3589958739835715,0.34818937024588203,0.3517453686587336,0.3723056807228424,0.45009727147290046,0.452576673203169,0.41158413842667907,0.5634362910037679,0.5649316084476581,0.5661314929499256,0.5647384706970802,0.5650565762495539,0.39006620608318754,0.40012986459092653,0.3987261709297252,0.39799216532511705,0.33693763043603264,0.3783176482099926,0.3847897375490903,0.35441255359470347,0.35107008338732903,0.37231355867272115,0.39923078227192565,0.49553066044650995
sklin2_skin_lesions,0.3320895432690964,0.3689337643438013,0.33474269414210517,0.4174050147445482,0.0,0.2845285773359958,0.45445927106481027,0.39049725785695555,0.32508567492726936,0.47031747575838256,0.25638772311764596,0.24708803813663252,0.33181553753639403,0.2962440263810406,0.5451140525478688,0.5378756183592877,0.24087122252503962,0.25827587132802665,0.3686002398862057,0.3690153345849886,0.329916476432157,0.33307732992939765,0.33218704483899253,0.3300222461683724,0.33106324512571517,0.3314375049486167,0.33178726123340874,0.13433775718154586,0.3826668670970124,0.2676427018663844,0.39816572575884296,0.2186883065292288,0.4664057610835801,0.4165835326420361,0.41985997573645034,0.4322326088900119,0.4136481920348477,0.4343536887873327,0.4119226756171198,0.40945889643499545,0.43820585452405725,0.43577516023273777,0.42162595207885,0.4012229993474996,0.421027063165865,0.4406027705802637,0.5170309969894253,0.12854308584870291,0.5245843283526175,0.17758898926657396,0.4079213399368804,0.5736785789845775,0.41429875603461275,0.4106125389711003,0.4103945329927615,0.41104326692466686,0.41224577991694034,0.3384170843326217,0.32235896171134126,0.3248461079844087,0.4004620791664132,0.5876150864257271,0.4616004972551485,0.39511606569642266,0.41548693654908436,0.4899559751478637,0.4206459167791752,0.4142513372383318,0.4103886333894214,0.37274733757305556,0.3588414938164588,0.3290190849928297,0.3640272408211481,0.34210587763134725,0.42211639792108646,0.45492811458775784,0.3877862460575341,0.4677051755718944,0.3333371498631288,0.5438880001521891,0.24128352823615323,0.2542442829897078,0.3691689277149561,0.3703289740295346,0.32810240035719884,0.33103362737196795,0.33575365212226443,0.33552681175266363,0.33950191392445594,0.3292704581000897,0.3266967926472706,0.39306686609305086,0.3984952455599672,0.46373520430678145,0.42388942470529883,0.4253175114244361,0.42935153552322014,0.4185870618417451,0.42852303256751834,0.4125552055247717,0.4044837444267111,0.43475481483779665,0.4396599557973616,0.42441975151401423,0.40110591325731654,0.4237161820091785,0.4445397949036082,0.5197197951459723,0.5245032234449225,0.17752783603261552,0.40893126225174536,0.40986745994055496,0.41246880428554955,0.41054304390800694,0.410439834010487,0.3363060550200436,0.32269634621049337,0.32460526999411066,0.46330269595883206,0.39153947804104633,0.417790437148072,0.4885519853009874,0.419980455918762,0.41449013062347095,0.40803360013854156,0.37294821367409337,0.3565533080922531
identify_nbi_infframes,0.35798878450819493,0.39430336642937636,0.37289964417351773,0.45168828583594856,0.3648822012610601,0.0,0.3484639114643423,0.48636394260688076,0.2945490097012924,0.39999388855083756,0.24274391183777166,0.23592060109153845,0.34156105442849427,0.29371970464806074,0.5387226676355907,0.536319164574224,0.3342596584172759,0.3461992761862259,0.4485377685396597,0.41980158325167727,0.3854107271306051,0.38975159743721954,0.38666808059757113,0.3849670958598359,0.38692180590974656,0.38657434066474006,0.3890103360957424,0.2984800642594656,0.4132828980634644,0.3136184808383299,0.39969053288739054,0.3679261161967631,0.5419230762595924,0.46017838900847474,0.4494651611393293,0.4578890643868139,0.4596904571793595,0.4568937844352876,0.4542988325799656,0.4537408739293527,0.4609275872686753,0.46679840797550215,0.452557180623227,0.45290525237733703,0.45213012185119006,0.4625106314438802,0.5484226900269393,0.33126273163818726,0.5582173003633475,0.30300027812844665,0.5848511149284221,0.6322929504026552,0.5003388606610916,0.5863398197080062,0.586602660796002,0.5866257339188445,0.5883966490255204,0.5294268386766722,0.5210769770815017,0.5226263098743724,0.3739024843565987,0.7463042165187711,0.5098302168210361,0.44753182524088614,0.4540806930011802,0.5467128311279759,0.4575168216318717,0.4592703322259649,0.4703154680837507,0.4561216524727432,0.5535717174120223,0.3557423251047909,0.3841474130236208,0.3781089633133303,0.4565230752808582,0.3473989751162579,0.48342372602564343,0.4010769756415991,0.3438050787343835,0.5366195878927377,0.3322322897612385,0.340620193265437,0.4502022847496919,0.4199972237357403,0.38302620461660997,0.3831942124243075,0.3908566238214453,0.39331867467493076,0.3950522461500655,0.3861516686519296,0.3825896471688818,0.4247568276399417,0.4025429588831607,0.5392928734321835,0.46427773714144616,0.4545408892471503,0.4571837895981459,0.46811670986190856,0.4509363025587481,0.4524174007134407,0.44815655227207435,0.45704312363982746,0.4700180594574302,0.4545396494943187,0.454629608964489,0.45342318539427046,0.4672704952190402,0.5523135028562478,0.5581512606667314,0.30315165261681365,0.5853325192308174,0.586556759819895,0.5876643535386818,0.5862707193479548,0.5869530405685908,0.5290796781363114,0.5217198379179679,0.5200399857473602,0.5121500775849956,0.444140020788117,0.4568639407081552,0.5455770678878709,0.45703816401294595,0.4586571943662624,0.4671217956777561,0.45677470708942924,0.5509825748922795
laryngeal_tissues,0.6266751766799031,0.6620936962490755,0.6303320663215846,0.7051482443170002,0.5280242963399422,0.28736163895610484,0.0,0.721434946584288,0.3853813623365265,0.36836682374171503,0.3486729272403969,0.35246538696068597,0.3798714466900226,0.33244891996851766,0.6047663593687955,0.5850767347357702,0.5971278124265699,0.6052284582482362,0.6938925538019918,0.697452940408032,0.6688772763139346,0.6737970666357105,0.6701497161897587,0.6680262283138224,0.6699479120297245,0.6701965304354033,0.6721486180264789,0.43377054217180866,0.651899216491669,0.5360440754909765,0.5804141484108207,0.5043059607477551,0.7318965314486179,0.7150545429530732,0.709747680892475,0.713327177061138,0.7178952848241085,0.7122171304640375,0.7118034001170419,0.7133898434907424,0.7159810686807717,0.7215536391816667,0.7086994415516827,0.7137874564203253,0.7076629256525161,0.7141798044441161,0.7533644579303651,0.4986033717849907,0.7645291455755758,0.3926274639623767,0.7465945864405638,0.8576289146289283,0.7399057874714419,0.7487078588131069,0.74852886986877,0.7483171692979393,0.7502812842061084,0.6906250395096556,0.6806040878666655,0.6844218314639517,0.5353187754378277,0.8907709197319047,0.6777906105076738,0.6745431579858875,0.6601294848371222,0.7487151469803097,0.6549196587324873,0.6543384547297731,0.6593301798538869,0.6409604183597509,0.7418032032183771,0.6245933458550088,0.6692241036264444,0.6372733834634989,0.7088703090982065,0.04773667154000552,0.7182324445315829,0.3731391716108308,0.38095276958008917,0.6007154014405627,0.5969585801599935,0.6011049165142883,0.6953739700121291,0.6981325993600762,0.6654357974714187,0.6676313449331958,0.6750572464734717,0.6771396691736621,0.6782281426267502,0.6684596121787534,0.664490055577436,0.6662114256272835,0.5824379715866557,0.7298031168215784,0.7206389025176536,0.7153082428769607,0.7118092874488053,0.7264618436913591,0.706454892215554,0.7108735688696161,0.7075868501736053,0.713310249800698,0.7236266961078526,0.7096469344703873,0.7156881656375457,0.7089144260262477,0.7203257059004249,0.7575642171153204,0.7636787327774631,0.39491063582412456,0.7480134526910112,0.7490257293068385,0.7493851079944527,0.7478617209102623,0.7492471411460724,0.6900433360262765,0.6808120851535515,0.6821048664719191,0.6804465161915776,0.6707740872674974,0.6623062780545614,0.7490124392651456,0.6534477057028054,0.6541031631451604,0.6580193648575092,0.6424269766811468,0.7402772178408543
nerthus_bowel_cleansing_quality,0.2453052577207907,0.25754635250783126,0.2517590941771955,0.31456067466380006,0.2956163173894951,0.3664408198206269,0.5332391998490538,0.0,0.4213418956388484,0.46323289541929036,0.31145288766229673,0.2991213057200671,0.34279396993887373,0.3276673819629814,0.5043397847132328,0.5098961455015316,0.15446016733158163,0.1369961747379534,0.08537281044021466,0.1409277937857134,0.20335348123507468,0.20429338093901167,0.20419291610810264,0.20402430263851037,0.20403614142556636,0.20396269473303913,0.20427382067211425,0.30410896740961213,0.22067282517266407,0.33433933829132423,0.42916632722249287,0.4023308771342806,0.40545207795939303,0.3305832799874412,0.3256870742497987,0.33749628451829716,0.3257580772074563,0.3386233228207519,0.32443061872056544,0.3215310973008834,0.3420700839951454,0.3406776797608357,0.3297287717425931,0.3187966897944058,0.333080254641383,0.34557450985778626,0.43266610817928747,0.32237006427063764,0.4349974587885953,0.3724221450880385,0.4490638153222621,0.4606878849758756,0.297491324980302,0.45048453787195275,0.45083698862315275,0.4510522787475867,0.45050037078966354,0.24594743431717636,0.24096029211352263,0.23949320964485454,0.4434744168758661,0.5795095450800092,0.3843367334791825,0.28805147276057186,0.32965879810486265,0.37124875406323465,0.3447104752885091,0.3190344865000267,0.3331011814075089,0.43477191227755607,0.3875264606029879,0.24405797540161,0.26665126048537396,0.2532937904136361,0.3158952613759559,0.5338484450131893,0.05177127195252733,0.459751631546021,0.34253452878799195,0.5045630304799533,0.15448731374180863,0.14045002765186604,0.08550348563173564,0.14040063941737768,0.20323446043808377,0.205888936914097,0.2068679854552448,0.20602912905113044,0.20783470754667976,0.2041227891374846,0.2033390193260784,0.22270617493646588,0.4303432420230555,0.4030223436870132,0.3356415751170724,0.32746145738584553,0.33527521218095735,0.3288038189309933,0.3363026808077072,0.32524878918349587,0.3195418371944888,0.3394446284758895,0.3444575575405443,0.3320713537105667,0.31848644005436666,0.33334560986096573,0.3482093363316475,0.4327542658337554,0.43567411418040486,0.37104251578023983,0.4498650676105016,0.450127324940892,0.45082765308710826,0.4509891732153572,0.4493858821794641,0.2449365180948925,0.24259376027439342,0.2391114031224773,0.38573485718887185,0.2857438909075226,0.32975239655166205,0.36980026823346646,0.3442719171522178,0.3203399196631047,0.3320391628500834,0.4350322491375892,0.38485979784883856
stanford_dogs_image_categorization,0.45937319407562394,0.4702975437088536,0.4387333543859278,0.5025196279200895,0.4170212031453925,0.30412233847726,0.4265160218250237,0.54171789324574,0.0,0.4314852823905918,0.14738077849765785,0.1457107456689412,0.25534718377071425,0.24313047802955035,0.5286560430034969,0.5429175032312942,0.42718462044379657,0.4442329222330115,0.5146703796099844,0.512707656609396,0.47796387137359786,0.48208258255693537,0.4790108841215175,0.47709403238086007,0.4787412536988095,0.47915194800019056,0.48046066520847386,0.36388871626030184,0.4966784916950646,0.4045059041873148,0.44441983503667704,0.4063567232443629,0.5426333683454025,0.538797053361269,0.5341609826385403,0.5398874052758407,0.5400725235205117,0.5403733951574006,0.5356729442832551,0.5348186160146988,0.5434053440674289,0.5453092581753705,0.5353357469832414,0.5364818398382247,0.5308217886653391,0.543779808081952,0.5981355174576781,0.4147683394073936,0.6063045673347567,0.3983079658019063,0.5978302200986264,0.6609601372165459,0.5019344491689353,0.5996733069967736,0.5997158035163261,0.5993595082115157,0.6011012329796104,0.5130560727185225,0.5023989541234939,0.5057245297039161,0.4660563063405623,0.7197891451818501,0.48229447508878975,0.478777585734678,0.4521019536527686,0.5496822757083437,0.4286086901566424,0.4389369457950564,0.4470638645196673,0.43809339261252206,0.5721561504909167,0.45677012844172293,0.46799006542937505,0.4445432702351333,0.5065207950163184,0.425441277500679,0.539085331650105,0.42991148164473625,0.2589943635567815,0.5271539962833676,0.4261713824652277,0.44064015694524084,0.5152573847905543,0.5132761558776919,0.47688151622870284,0.47788299807532936,0.4839503504387645,0.48489061678438683,0.4859495492929716,0.47843783140953355,0.4737588377446154,0.5075921409338199,0.4458186545266062,0.5420098667388048,0.5440957125380859,0.538432358174905,0.5388148022314558,0.5469035622537533,0.5358738044912101,0.5365059513263427,0.5307956739501578,0.5404423299699941,0.547535743446808,0.5367064369287503,0.5371454381190452,0.5301191764992028,0.5487054578824838,0.601784277840308,0.606085457731139,0.40091106793888276,0.5984498107824914,0.59970137579507,0.6008465517371884,0.5988432532002609,0.5998038779646154,0.5131595092150367,0.503878281577866,0.5033949154390212,0.4850908663087159,0.47296178605540323,0.45290487471205165,0.54956347042428,0.42790706597203604,0.43929926053634083,0.44538410971013864,0.4381898319054266,0.5699761206812892
svhn,0.5776584116728507,0.5855688743137305,0.558679476862574,0.6254826540974097,0.4878636487131709,0.3061793978675339,0.3077972301462307,0.5857010219765237,0.3756912962512488,0.0,0.3040195198266261,0.288596594505141,0.2233056663484487,0.1931828730257518,0.3780099401075554,0.3640724339325746,0.5158529233206224,0.5165426390727416,0.5654628201259292,0.5691759553686682,0.5661958449395588,0.5705431054873806,0.5673727792076046,0.5659111118881877,0.5679442759802802,0.5679298151736295,0.5698287097570294,0.4284814905038803,0.531569196592812,0.46518908625092237,0.49774432899878673,0.5328795956554448,0.6357834279376788,0.5856426319796344,0.5789224079140498,0.5845956534171125,0.5857063568154789,0.584127414002771,0.5818525292423954,0.5811802275403566,0.5872673183837176,0.5912751826821573,0.5796657585511035,0.5809687326136144,0.5761004285523152,0.5882572828779828,0.6430092700910777,0.47253914194192514,0.6512738604417789,0.4428543441485475,0.6776805710723781,0.729041053528811,0.5772307501448003,0.6793359164915225,0.6796556964288847,0.6788646597731791,0.6804650600202541,0.5797469460622515,0.567951274471473,0.57182874390815,0.5145391048139967,0.814476260509158,0.5137778156888873,0.5250583826232399,0.5047638411699513,0.5898411489699404,0.4908267996827761,0.46646429040454185,0.48966446331828317,0.5759340317601467,0.6555381403797053,0.5769423313224075,0.5820785485344115,0.5640052801927109,0.6271528533448436,0.30780376315440433,0.5821991202716319,0.04965532063854574,0.22108657151800687,0.37731707003276943,0.5153288036996013,0.5131739876154711,0.5654587165397607,0.5712525311846166,0.5628750502747119,0.5653743329506918,0.5724481836267616,0.5749846863887274,0.5752852673040556,0.5679278956747723,0.561498699080347,0.5435391801714247,0.499990593698264,0.633835255257569,0.5909582477840248,0.5828852100953021,0.5822151941509588,0.592844751787883,0.5786042948734784,0.5816262044866389,0.5769241174379958,0.5852346948336182,0.5937504074263157,0.5816488969199651,0.5828744436681987,0.5769047252398543,0.5929401667311798,0.6462828039063382,0.6508402702466709,0.4450671077182416,0.6781826501904744,0.6792156685708721,0.680163076489606,0.6786290243172799,0.6791909893666062,0.578912018027941,0.5679347816672538,0.5695400604418299,0.5166600444640993,0.5213403264388111,0.5060334687982744,0.5898908177032538,0.48969429573965617,0.4659863736207796,0.4885810983488308,0.5768587426945702,0.6536761823435506
