,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.4405006349390429,0.4522740182222677,0.4955336800878491,0.691308711772371,0.7890356398525048,1.0359752198519945,0.5150334406452515,0.9530825993058709,0.9254001645978313,0.7814636820962967,0.7586245000681157,0.7050979942004987,0.71058969268472,1.006977303756593,1.033171470756502,0.49988871508655164,0.4720390909551438,0.4970022082125389,0.4378641248539694,0.3890195633481281,0.39054512229427507,0.38889767482427334,0.38993114542089197,0.390837484201538,0.390641024844619,0.38963179616857413,0.7078968480142301,0.5661404531491047,0.703630626328081,0.8865243595150831,0.8598757944635782,0.895520261478014,0.6475514772025356,0.648860803456944,0.6689996819006399,0.6413812519913462,0.6736734529048052,0.6402613602602615,0.6373755956879337,0.6779720512106733,0.6679311999517235,0.6573691251544771,0.6327759519886325,0.6557011002894735,0.6855480286526822,0.8129992846971379,0.736038091443148,0.8083669274654962,0.8329720627903583,0.9327850253267197,0.8008166296760134,0.6838405290208136,0.9356951627684315,0.934937287486111,0.9349685114828153,0.9349591881594309,0.6834619592823272,0.6704376188101339,0.6690735068259566,0.9034721680071433,1.130820634742433,0.7481219273703144,0.6173152573792128,0.7141489424909029,0.6956343774748373,0.7043628295284076,0.6740145386253974,0.703370720402926,0.8245691129215793,0.8469427775406033,0.484406946553809,0.4531547486200358,0.4515675072223157,0.49356863524703776,1.0369005218324492,0.513404959149398,0.9195276350194557,0.7072201389703812,1.0089049425578884,0.5019266829957754,0.4720579953840007,0.4981461747058186,0.43957730145638785,0.3880070851812905,0.39310601477321166,0.3894674582003809,0.39121137638289705,0.3940273075014512,0.39235607385454807,0.3922801655554159,0.5664470680650517,0.886414656995705,0.8925426891238569,0.6541895413570389,0.6500765139584275,0.667444281515238,0.6418999041384926,0.6728015020370122,0.6416336202160308,0.6372854006433013,0.6732818495338369,0.6750527499419162,0.6622334776239525,0.6298691418245304,0.6541438380080092,0.6862667242055338,0.811857623127481,0.809846565684246,0.8290019085184133,0.9341888818718158,0.9335015935785954,0.9368975383725537,0.9357102488227905,0.9355601808548976,0.6792806807695059,0.6724340690222965,0.6703334687314269,0.7504487567895113,0.613623824520112,0.7135806201867033,0.6953267832701504,0.7043912168041937,0.6777633916835221,0.7016464968369877,0.8254409578978372,0.8419441963996362
lapgyn4_surgical_actions,0.4949871134421809,0.0,0.44931491456309414,0.4870596005129945,0.7098206205739374,0.8040438599269399,1.048980050788585,0.5260321683360663,0.9554084073086407,0.9233868081148495,0.7792207057623,0.7561350178687158,0.7034510372066425,0.7121136009411889,0.9934962092485823,1.0209402584381515,0.5140521227584773,0.48849665330170006,0.5067190763503677,0.4444291971638379,0.39046591674126435,0.3920420612295743,0.3902482536363682,0.39132850473156583,0.3921180943784294,0.3920262988438836,0.39103310898708427,0.721450773023697,0.5639692600617556,0.7192719224428697,0.9037799973998596,0.8833399752123107,0.896330103067349,0.6481591888640275,0.6488375530796519,0.6678252195835989,0.642074569931028,0.6724345335387028,0.6407970377343565,0.6381660440081613,0.6770451000555466,0.6668109992661615,0.6568837218122598,0.6338081446091802,0.6558149664473376,0.6835617624177129,0.8127530555757778,0.751872412340035,0.8080736084652662,0.856700050983285,0.9466163320273175,0.795393489574928,0.6782621819989993,0.9494231181906284,0.9485397788543223,0.9486037572949322,0.9485893570810341,0.6887564116545216,0.6794931042046144,0.6787246820267373,0.900301874144871,1.140790091175248,0.7398190121169033,0.618169701286664,0.7132761299275621,0.6920583586844108,0.6958987341166989,0.6671286987323668,0.6977846210503279,0.8232716130149708,0.8566665010258899,0.4965036940668491,0.44907185715532255,0.44861944165369594,0.4853490140099662,1.0498728006852733,0.5246406674225522,0.9175862961472454,0.7054584654716811,0.9952631223843108,0.5162277880135939,0.48827519456767493,0.5078280674444656,0.4462740103997349,0.3896557791970589,0.3944863107709395,0.39064609027084746,0.3924005691040185,0.3947694772368426,0.39397755469909856,0.39362002372489285,0.5636127017087236,0.903226735640291,0.8934347175398519,0.6542709786408137,0.6497696735803934,0.6661094906898704,0.6422036726887844,0.6720893138520614,0.6421279163840408,0.6385894325396041,0.6722499097236257,0.673494927864157,0.6618119117528565,0.6308875261226303,0.6539986224014163,0.6842217129125213,0.81159402171589,0.8096316294801122,0.8527475459373813,0.9479511258928267,0.9471769460585409,0.9505666137225712,0.9494059808724539,0.9493429150544311,0.6846287563354752,0.6815299258307584,0.6799686273683118,0.7421451830848154,0.614448025156059,0.7122433202895943,0.6918339362785336,0.6960791176943973,0.6710723274449502,0.6962389339749997,0.8242190223739032,0.8516530551819127
lapgyn4_instrument_count,0.49726818819874075,0.4390860949031586,0.0,0.48699392547187204,0.706210450147607,0.8084651391933039,1.0489393910906193,0.5276129476146736,0.9553027653185134,0.9237193142004239,0.7789601520753137,0.7561042704198968,0.7038317290588928,0.712447856623063,0.9923240923944839,1.020259982791946,0.5144613472095253,0.4893028590450436,0.5100368375698259,0.44870556730575445,0.3881783018905218,0.3897806949262096,0.3879572556823689,0.3889626321777068,0.3898603469232269,0.3897037608720336,0.38872747145069264,0.7212307495452855,0.5705522454633424,0.7246395104424787,0.900909366182491,0.8784850548622116,0.8992522825933885,0.6523236078349587,0.6540620950819797,0.6735893381074137,0.6461284775952181,0.6783673877823533,0.6450455433295527,0.6423290761651048,0.6829167744064688,0.6720458275689174,0.6622077964961548,0.6378872914931027,0.6606448797393784,0.6897431134656887,0.8161459153049041,0.7535830833034405,0.811781933880731,0.8593604380681805,0.9442481209468987,0.7993021098547995,0.6824070791081348,0.9470526473338461,0.9461483778399409,0.9462258524135244,0.9461089037114305,0.6905423091155833,0.6822641241247289,0.681594917140184,0.9072086041016727,1.1380789140906393,0.7415332325209617,0.6212584004657054,0.7166414229398779,0.6939156779726261,0.6990172736207284,0.6704662256843561,0.7023448601007144,0.827259844704869,0.8573668020301355,0.4989043881362117,0.4498679433806827,0.44710672678752983,0.48526864721663693,1.0497897973818213,0.5263395432385368,0.9179582370200696,0.7058438550696855,0.9941488677387439,0.5167460392584905,0.48888664429224277,0.511137111145674,0.4506503783158228,0.38725708065588055,0.39216001137852874,0.3884875252764125,0.3901189807079872,0.3925395895554764,0.3917046418105471,0.39104514687117325,0.5701494184039273,0.9002658995602683,0.8963740982160657,0.6586885918112759,0.6549498416066047,0.6717509041725663,0.646378451568148,0.6781133391657824,0.6465655465930912,0.6428662897181818,0.6781224595353025,0.6789647700636162,0.667135543470698,0.6347179538846284,0.6589093422221554,0.6902656590357175,0.8151521773072941,0.8132901372085016,0.8552497375759678,0.9456271037619676,0.9448593531183539,0.9480903672948704,0.9470801080191583,0.9468874245144197,0.6865002251483147,0.6840897631296081,0.6829404451436033,0.7439764840923041,0.6173974716588664,0.7156482014235284,0.693728018947993,0.6991664065224961,0.6742652552986758,0.7008081227914869,0.828251735918485,0.8524666573688113
lapgyn4_anatomical_actions,0.49931162580905736,0.43459644573718137,0.4441230254889205,0.0,0.7158659266009603,0.8132701494234973,1.052263825578223,0.5350232687921819,0.9544912895711034,0.9269347098134628,0.7780270515462433,0.7550815134545872,0.7060455222981198,0.7159807058553513,0.9912266875933629,1.0200074924157168,0.5246691883833514,0.49979575687897554,0.5162328477803569,0.45383631377396344,0.39031885798543536,0.39192565771060184,0.39005240169536026,0.3910778651331885,0.39191184282276187,0.39185181762957416,0.39082928099139275,0.7274467170496103,0.5699570799597161,0.7325590118797067,0.9150733406105996,0.8870116573308952,0.9015265248697454,0.6538506816081489,0.6555477051634447,0.6741815367745769,0.6478895128024003,0.6789595876929213,0.6466615873573456,0.6443890048868609,0.6836132100892856,0.6725418874138327,0.6631641275842857,0.6397977631231366,0.6618436723487957,0.6896427391482075,0.8158186786271158,0.7595344582358918,0.8114117260468685,0.8680179198348155,0.9508711808762352,0.796828583704427,0.6826205671682949,0.9537173857978808,0.9527213434805195,0.9527541516777759,0.9526900385950295,0.6964403990381526,0.6895054915282155,0.6889928636696386,0.909608321581061,1.1426134272625508,0.737866223713194,0.6239734310774346,0.7179100039490612,0.6923854151234359,0.6968007262161223,0.6681580274666958,0.7006740201079069,0.8236442441874819,0.864218530592701,0.5009512004052098,0.4448411553485591,0.4437489456393312,0.47822079911802456,1.0531155731047037,0.5337230209924057,0.9214655358227256,0.7080571694294507,0.9929071815901154,0.5269792097310598,0.49932484108461384,0.5172593596539543,0.4557703537666971,0.3895603018083791,0.3942745595841908,0.39061920440218334,0.3922018371217856,0.39434505862439634,0.3939116019197211,0.3932600438486092,0.5694006905608036,0.9141691657173734,0.8987320792177873,0.6598500254551487,0.6561941097640803,0.672155172063799,0.6477309466997859,0.6789158800173436,0.6480740627822414,0.6449540128101374,0.6788902926697243,0.6791548638941693,0.6680907285133316,0.6367470552095044,0.6599536039329573,0.6901388792546378,0.8148491224770329,0.8128788922155934,0.8641150217022489,0.9522287187596032,0.9514518481981746,0.9547329511877479,0.9536240224008473,0.9535652073152889,0.6923172993510613,0.6913726579840137,0.6902172098991464,0.7401984139025667,0.6201435039141283,0.7166718255919124,0.692216524106341,0.6970079005091118,0.671938805240964,0.6992952760282558,0.8246767274222232,0.8593933012327407
sklin2_skin_lesions,0.5189187390858099,0.4792021276503745,0.4959355242551037,0.5443249381691602,0.0,0.792477130718026,0.997734824080611,0.5086698221591728,0.9415348166453034,0.8780001673030164,0.7599119444479411,0.7425031350342767,0.6753506286740646,0.6800137477517096,0.9635751446071251,0.9927995558532702,0.4935030254677089,0.4711352639374171,0.4975408020594686,0.4463762659593049,0.4186482008411946,0.41975026474443405,0.41884551161138506,0.41969790938621293,0.42037177009296645,0.4198044831947377,0.4189596967912594,0.6388556203407086,0.5737935350693464,0.6673559059353871,0.8554232042124246,0.8014554903640114,0.8734152834405633,0.6320141969791313,0.6357404846261303,0.6571055146296497,0.6255720586190776,0.6626146017346808,0.6247936552712406,0.621329686868703,0.6665360132869173,0.6549166570824579,0.6439461783530421,0.6163056779144024,0.6432012272355995,0.6746586189498406,0.802416103572667,0.6603358078505932,0.7982391762671205,0.761662378960458,0.8953067056344536,0.7873729197657856,0.6664780284604906,0.8980379144330435,0.897954212724986,0.8972995384258261,0.8976514105762109,0.6394982138269231,0.6265568497760037,0.6262872560718048,0.8507663233407622,1.0958419446268726,0.7615853144107935,0.6139959271250279,0.7250755473692785,0.6990137151057202,0.7203739795164499,0.6883535114465467,0.7122259434623679,0.8056459536202865,0.8113025315397393,0.5201900131054291,0.4935290233784713,0.49531434901950977,0.5414855913463092,0.9985001942710074,0.5075218528289829,0.8717124139297866,0.6770093169912847,0.9655538900761627,0.49585376605950926,0.4702059209056716,0.49847503114097813,0.44854965329472585,0.41672801405783333,0.4228332624590747,0.4189625387889994,0.4209659204256986,0.4236155377199247,0.4221637801276462,0.42133015310653305,0.5742110834007108,0.855785270875428,0.8700919458152385,0.6392689405703705,0.6368806690661829,0.6554802127880838,0.6260235992719453,0.6620279827547235,0.626316477638491,0.6210371845107134,0.6604197115796447,0.6624092730018054,0.6489992826621511,0.6127590102808831,0.6420505466057467,0.675111506465776,0.8012298537538571,0.7995833453671333,0.7585097025872951,0.8968780055490202,0.8962237657337462,0.8993430898685201,0.8976741302946099,0.898581060953993,0.635440908603478,0.6281056277971842,0.627493747205576,0.764679282887315,0.6094395201078391,0.7242943908790279,0.6982736199300542,0.7202000457141673,0.692230219544471,0.7106581900761714,0.8062538247063297,0.8060867666532503
identify_nbi_infframes,0.5263889921842412,0.4791203119004706,0.49273529164659063,0.5387186878424801,0.6753362515346883,0.0,0.9549288103816769,0.5290489323184843,0.9400457421137511,0.8532172578612607,0.7675159499642836,0.7465194663280659,0.6835596491810955,0.6834876408804865,0.9745393284209967,0.9955405294936258,0.5082152822717909,0.4819655527343738,0.5083486007793,0.4521174154661776,0.41267767366796176,0.41412904874775036,0.4126663234077391,0.413159388422832,0.4145710082150402,0.41402619413770086,0.41396046843211964,0.6836464095682738,0.5485839430950978,0.669957088072815,0.8597114488043398,0.8517828699241152,0.8871416553714057,0.642214514094494,0.642658830547972,0.6618563746240714,0.6366447790335946,0.6670256661383469,0.634910917760664,0.6323473863920701,0.6706974054170636,0.6608313962020615,0.6500936228219671,0.6280868393309365,0.6493202571508924,0.6774058589246669,0.7899447742338103,0.6990654665951098,0.7878422391151654,0.8035404654258527,0.9200335000601865,0.8038474347865696,0.6710391427643687,0.92283218429695,0.9221129586575424,0.9216052179477896,0.9220428478958641,0.6845979821973343,0.6707966446359476,0.6698468483158487,0.851370288972841,1.1211677608947133,0.7525831728637048,0.6194540291225277,0.7165610638299815,0.7111664912162217,0.7065682346773536,0.6789962039401676,0.7053650848039353,0.8122386616793921,0.8325118524199072,0.5279606381889561,0.4898300913557119,0.49243521105124183,0.5364128849394859,0.9554298614772443,0.5273942936068419,0.847955669128703,0.6850319401507237,0.9765927184044241,0.5102791472702326,0.48076881697251217,0.5095506462304927,0.4537746778380456,0.4110029883915888,0.4164076964204623,0.4125581276452657,0.4156006206056658,0.418413159370291,0.41614433464429024,0.41465660162508117,0.5491443299606531,0.8599017365836857,0.8835936353258634,0.6494628007565901,0.6432568882766874,0.6605096280194773,0.6374306551535805,0.666114860756505,0.6362340473735886,0.6327944743261963,0.6651393411891378,0.6680276515264162,0.6546965811981557,0.6258928542979739,0.6483069002967558,0.6788488521321658,0.7891583681686741,0.7891684520751653,0.8007930523820301,0.9213090933183168,0.9209448000414479,0.9232404501122756,0.9226750970935694,0.9229453353660839,0.6812127344888411,0.6729906168174373,0.6713198518553966,0.7552599957038086,0.6160175138269579,0.7157478086163725,0.7109384491308067,0.7069654623178688,0.6828212506382138,0.7041525616069093,0.8132166209780611,0.82696923783327
laryngeal_tissues,0.5963273280032566,0.5519889544496545,0.5638712017575902,0.6073803568561856,0.7062186315814576,0.7610342156965797,0.0,0.5741591478119255,0.9067777885585508,0.7871127776323804,0.7250885883030449,0.7169309141057659,0.6334224850887825,0.6323186160834078,0.930677001588554,0.9549479921436155,0.5795209506205465,0.5505475311261704,0.5623512741803296,0.5252691506537522,0.49636324603467485,0.4976844054514681,0.49657197214551724,0.49680457013299756,0.4982608029685171,0.4973583502866121,0.4974372749628717,0.698279433046145,0.5993864812483581,0.7182363451100789,0.8494609331427152,0.8709730025359819,0.8958426046816467,0.7039581416838779,0.7054913092602193,0.7225551546262795,0.698693899456697,0.7271646259530484,0.6966366606930211,0.6943802238582216,0.7314349576290788,0.722217969853796,0.7116169631745539,0.689635605057011,0.7071945087428144,0.737199512556675,0.8591331980511354,0.7380351280798313,0.8581212668886203,0.810965281579045,0.9313379048885992,0.8654558263011007,0.6998447976440118,0.934578691217272,0.9329554222680881,0.9324042858827687,0.9337140967077476,0.7044812235408796,0.6900117680951762,0.6906951631950495,0.8784234262780863,1.1243259378503287,0.7925534736831087,0.6666650874367521,0.765618803900284,0.7383455693630786,0.7520774504300872,0.7093932103366976,0.7528080048531147,0.8352281392954777,0.8658432114955293,0.5985394498729408,0.5684004619895912,0.5634491906547882,0.6048654537635572,0.8132554445771079,0.572421975265772,0.7827039698505275,0.634676997651981,0.9331267917192237,0.5815045427617758,0.5507300795013108,0.5619289076127159,0.5277672179689308,0.4944252675728392,0.5002688016257041,0.4969231651133618,0.4994892156131316,0.5022884096501865,0.499033695180534,0.4981585201575562,0.6017442622290791,0.8487382279802677,0.8929838724943475,0.7105027392830706,0.7057021613359321,0.7210696526572205,0.6993462788717177,0.7266627110919223,0.6977214429473089,0.6945335694722788,0.7259925492890315,0.7280834289197847,0.7152762476722494,0.6873697265692176,0.7054584202433235,0.7387297787484419,0.8585868211123319,0.858783706538744,0.8085568452018332,0.9332947029280705,0.9323887939113398,0.9341166267662985,0.9332467455062542,0.9343199736281622,0.7010572473683737,0.6911214861652699,0.691987893132476,0.7955270451000495,0.6616342414761669,0.7645478416414422,0.737616066029622,0.7535000001079579,0.7136724232930093,0.7519632634559432,0.8366839620390456,0.8610139382730636
nerthus_bowel_cleansing_quality,0.5263254327460842,0.4750965585927054,0.4905933623649209,0.5344042928918767,0.6886434736347703,0.8143835338701371,1.0466389774457099,0.0,0.9584033734222864,0.8921437296909083,0.7691954502416,0.7511004219801056,0.6859755024054575,0.6946918478556303,0.9763269239137949,1.006701863974446,0.49435491803701864,0.46111833649915496,0.4716551689566525,0.42590316839611164,0.4086560929171986,0.4094249619417052,0.40790073966590523,0.40914005928911384,0.40993199172593586,0.4095653788276977,0.40888061195946523,0.705012053430793,0.5535026901721333,0.719327003760436,0.8925271767282924,0.89151695950795,0.8756689732630144,0.6389692171408797,0.6366706183322444,0.6565726646268305,0.632327425506864,0.6604760998758229,0.630426220196269,0.6269753682684739,0.6654623544788115,0.6574089790024916,0.6454703981102552,0.6242688742751276,0.6474453809580586,0.6733671793981645,0.8203649569011474,0.733231947007561,0.8160788408168347,0.8446708817079862,0.9257711431529057,0.8020996382876213,0.6615416454771386,0.9282260341287936,0.9273280893184594,0.9276816771116698,0.9276347832497546,0.6584023605199171,0.6450313432657854,0.6441777346546502,0.8947036914305796,1.1193415525082457,0.7447013842985525,0.6045431769759517,0.7042570076264041,0.6900975579893882,0.6974355033882745,0.6631366686703893,0.6892100560018648,0.838295632975938,0.8376677400028637,0.5278055555876789,0.48869468858836523,0.4894065475414505,0.5311555495414739,1.047649451209553,0.49069191968241765,0.8858388900467062,0.6879236528162544,0.9781150279259181,0.496082050721124,0.4617662353399371,0.473013989019895,0.42772800670256494,0.4063541793578259,0.4123012338314959,0.4083000668114207,0.4097287577115035,0.4128115005171336,0.41164416329164355,0.4108307072472053,0.5537799541707896,0.8928611260697754,0.8724007291240332,0.6457722291522376,0.6382637156770746,0.655221448447529,0.6334530236482231,0.6598823840688829,0.6318720453972219,0.6274721863277011,0.6605759499036589,0.6646289213079082,0.6509046025672539,0.6211248029451677,0.6460049025884428,0.6739116225177928,0.8190986716621661,0.8177061253661454,0.8409874781601047,0.9270910518791686,0.9264436558304692,0.9290320419413919,0.9283854535473736,0.9281406383016391,0.6546041789735044,0.6475873431128666,0.6446768066760385,0.7479453179243565,0.6004607778152891,0.7036727043966787,0.6901070972395257,0.6974753146959624,0.667144285265758,0.6876953693937216,0.839477774097773,0.8320587299089781
stanford_dogs_image_categorization,0.5538742864348882,0.49565045984398975,0.5113876435616695,0.5414495717780732,0.7027920143046035,0.8341928856283484,1.018701989374992,0.5491755155914707,0.0,0.8798779817944496,0.7274681861432846,0.7127357564992879,0.644020070127288,0.6589075351205276,0.9432866958131239,0.9661358550164173,0.5546763296387899,0.5285594324226042,0.5318102057261666,0.47885360806277083,0.4547890078415822,0.45571701007242893,0.4543444947329573,0.45559158846287234,0.4560399401908525,0.4561366695305469,0.45493993772079666,0.706985914491557,0.5935068501822671,0.7038106632490377,0.8780869371092161,0.8622101237265363,0.8703828606998942,0.6605892377935253,0.6623856002640663,0.6805662735838971,0.6545645311650196,0.6852787440386374,0.6534253533229627,0.6510241298764231,0.6893310336765868,0.6796532927633521,0.669727543021969,0.6477652314902155,0.6709173736259623,0.6969084690238355,0.8176350238502896,0.7341013275608758,0.8151416133892423,0.8448695485617064,0.9067178567578833,0.7985130741052501,0.6757153392831186,0.9094869396227655,0.908635627699362,0.9080232206534431,0.908880772158655,0.688425247290429,0.6744955451769652,0.6744317150615129,0.8942773685787776,1.0995151783321613,0.7460549723831081,0.6331027132693327,0.7242672860077615,0.7008127634213422,0.7018872658576336,0.6767109129432426,0.7029890198575328,0.8311290854143785,0.8285896209708314,0.5556860637621157,0.5063474238231641,0.510094948900326,0.5395322688541432,1.019249314119592,0.5481680862169004,0.8732541926022218,0.6466045123986112,0.9449667426450211,0.5573519670461734,0.528578883582717,0.5318133639264336,0.48095788637324177,0.45385789128096765,0.4589375775656872,0.4547641262653965,0.4566609779735895,0.45885699382802847,0.4586471394642581,0.45775916318070836,0.592860021379031,0.8779438713932942,0.8677935370428126,0.6670862392077722,0.6631630975541678,0.67957849491873,0.6547218455507379,0.6856185014343202,0.6555024502980324,0.6515032757758821,0.6852550381146356,0.6861464749258501,0.6742813262210725,0.6439188724549677,0.6685867855832316,0.6977655742868661,0.8167239591384896,0.8163053947953471,0.8415584850997455,0.9081600258031675,0.9075505255544033,0.9099731992562448,0.9088549067777807,0.9094550052287703,0.6847704167376784,0.6762282673491811,0.6758612386875783,0.7482237391257622,0.6289503201106933,0.7232896713980903,0.699990949120041,0.7021396494147903,0.680814274583764,0.7022218417925384,0.8318247463279583,0.8244553527898021
svhn,0.6236584356159893,0.5602592532114251,0.5740543459245426,0.6068607099623547,0.7442985440966924,0.825819391335318,0.9276524287103042,0.5740622862235433,0.9310632743233708,0.0,0.7334365202526348,0.7239460327807894,0.6013188878156169,0.6069527450836688,0.843209022793882,0.870802459243194,0.5966158820877862,0.5699537399539177,0.5629537356907663,0.5201814759059452,0.5038870592211148,0.5050977591428846,0.5034365276376191,0.5043738198517758,0.5051140063220702,0.5045351938378231,0.5045386454389996,0.752311710800497,0.6074748211845937,0.7507686551005796,0.861640485348114,0.931805443329714,0.8919555820484535,0.6847517791048158,0.6818277756495295,0.698589469576626,0.6784043545789501,0.7022320278577725,0.6762690383114992,0.6737816199922982,0.7071875305151627,0.6995014363749383,0.6889151741401109,0.6708861646814724,0.6884792825914485,0.7137077779617045,0.8481049216913756,0.7865865028527442,0.8461701922505314,0.8742578713582733,0.9571602152502074,0.8481913058908173,0.6924954924123411,0.9599461340593356,0.9589300934079036,0.9585441186366237,0.9589696917795466,0.7106303532843142,0.6957147837342398,0.6962968405542577,0.9023998331990835,1.1441293413521183,0.7663618060571984,0.6506259271314739,0.7445800991549766,0.7170641227306291,0.728075601761761,0.6822430734061244,0.7264684127233673,0.8624836100668384,0.8822158891076992,0.6263393612479399,0.5759374446175952,0.5724253319287046,0.6036758097265716,0.9287474782253008,0.572965984827276,0.7159462945191839,0.6027519065034935,0.8456464325127353,0.598600045750406,0.5704405073486365,0.563261110202328,0.5223876020041399,0.5017989787557606,0.5077347921690496,0.5039189354214385,0.505699894256996,0.508073016253363,0.5072289545964158,0.5058462152843257,0.6080716948731295,0.8605151364757597,0.8895164531575411,0.6906340131610219,0.6826010188662794,0.6968875803393006,0.679960466359971,0.7029744124727368,0.6785015776842591,0.6740138728312977,0.7024819504184844,0.7057591153061112,0.6935386407127484,0.6689468404512231,0.6868102880932611,0.7145377148449615,0.8475333464744037,0.846781065186495,0.8710952896694276,0.9590619829879478,0.9579445499557104,0.9598091952969441,0.9591960305222659,0.9595704968092664,0.7070613701293917,0.6963122926540939,0.6979938395911842,0.7696626688317143,0.6462018779146768,0.7438559181587977,0.716847456753951,0.7289551931576258,0.6867106291461943,0.7251366717897103,0.8635990864296852,0.8771658121819003
