,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.5233520827422679,0.5512539537171713,0.5777769274910516,0.8146879058993513,0.9815690783512202,1.2879915280184298,0.5687146600786592,0.9948831350578808,1.0623943655914176,0.809060166996149,0.7826394064866395,0.7372212778621425,0.7514602664632096,1.1628800571102078,1.1920341746629446,0.5965448917030947,0.5755105533054797,0.5610622699276824,0.49579051637198435,0.47839189559659623,0.4787128825216616,0.47756190571272444,0.47977912173046205,0.4790107467414518,0.4791970798876233,0.4778746164587493,0.8410221474545413,0.6176093785125913,0.8282769615822501,1.080750776445112,1.0591970544374276,0.9515148088391644,0.6693716632217515,0.6714131458522037,0.6896846190125407,0.664346329057773,0.6939817213018062,0.6632528714989088,0.6606270395626657,0.698249795941173,0.686777008172948,0.6798835343922724,0.6592602244119269,0.6810295662647576,0.7054384066671516,0.8248080889022331,0.8750190172258152,0.8170343978376176,1.0365136951762284,1.0383470309561775,0.7961567509799642,0.7079855142777488,1.0402678154032954,1.0393459829858749,1.0398387552088753,1.0397875151351228,0.7153342211433911,0.7059706509563292,0.7056766572539052,0.997280229562124,1.2274526177579306,0.7631976914885495,0.647498712157214,0.7609415958226093,0.70194494889486,0.7316023078154241,0.6884400115578321,0.7252383331198565,0.878197143328245,0.9200958196848068,0.6131623589735236,0.537393923682431,0.548900612170114,0.5731602675844224,1.290976738186382,0.5685591548682217,1.052890297246928,0.7409827416583828,1.1638820814621544,0.5996528737437566,0.576059053751413,0.5604492254144195,0.49752009393969054,0.47770298984483894,0.48244531889758774,0.47688658049284577,0.4794570855287973,0.48024207909012334,0.4821224506875127,0.4827334169705952,0.6145419317312486,1.0793364859404297,0.9496557563737118,0.6753307611662397,0.6721684631651303,0.6881169620693479,0.6622768443688735,0.6964007477186589,0.6652308167910853,0.6633668719827425,0.6943378320602607,0.6923274970203283,0.6852749017940512,0.6554278820744117,0.6774914033434074,0.7043382359381785,0.8230321471228261,0.8193150571916881,1.0292578574873592,1.0404789975992133,1.0377355774796522,1.0419024688315428,1.040799628603231,1.040396383082068,0.7106174932883187,0.7075503181767527,0.7077974537492325,0.7654254117656535,0.6435631481963625,0.7589801792385682,0.7028354321837039,0.7317255152420573,0.6935611178172103,0.7257973875047121,0.8794170332764011,0.9147511413337797
lapgyn4_surgical_actions,0.6107887333675421,0.0,0.5495888332666525,0.575304130983351,0.8184871061037902,0.9835664267723614,1.2902495227983706,0.5708823301949069,0.9957526149409992,1.0624583318932534,0.8088033576634672,0.7822886319268743,0.7374866559693103,0.7521256643579736,1.1608148891900099,1.1901980575056335,0.5987698041188062,0.5782101273684972,0.5628363348420957,0.49672474681028667,0.47773653476664185,0.47809504612053916,0.4769005518659019,0.47910947950820215,0.47832764483237444,0.47854189495012467,0.4772238635493328,0.8434299174753126,0.6168255213639902,0.8310463426431208,1.0839239037774322,1.0634549936973328,0.9519923255875573,0.6696804393700566,0.6715853148945918,0.6896267238311732,0.66465957684511,0.6939147670655896,0.6635362678225168,0.6609613252203423,0.6982470839210155,0.6867408514450913,0.6799637572759374,0.6596103951991645,0.6811612827662922,0.7052068765363189,0.8250317449201666,0.878193947474857,0.8172396521633226,1.040912609603289,1.0413795920996782,0.7954001408890794,0.7064762705172147,1.0432831532136975,1.0423345212590018,1.0428383862958992,1.0427778298056631,0.7165605721189723,0.7079991375359378,0.7078159240411822,0.9962842232207221,1.2297848225145749,0.7616324373662375,0.6478572406606996,0.7609682685448615,0.7014064219325211,0.7300063767983125,0.6872445668129386,0.724445548693863,0.8779099851995159,0.9223556223112352,0.614107315485003,0.5357671505658709,0.5472740702302429,0.5707688003803045,1.2932288721776382,0.5707555597861222,1.0529852801971464,0.7412195352707684,1.1617813700014255,0.6018968460436884,0.5786942623977034,0.5622331568236194,0.4984909307567963,0.47709410759742593,0.48177854428538924,0.4761967894307716,0.47877916426264144,0.4794796018572959,0.48150800117085163,0.4820413823951223,0.6136475970026054,1.0824133433941192,0.9501481638400517,0.6755170482218189,0.672272485392933,0.688021689919355,0.6625301880674307,0.696412589324553,0.6654928204801153,0.6637778135971621,0.6942935282794711,0.6922108200670959,0.6853517934716551,0.6557894155677622,0.6775710021918182,0.7040996471739862,0.823252720548647,0.819541157052555,1.0336487016557547,1.0434932032828534,1.0407276174384845,1.0449151394132483,1.0438116224470186,1.0434169846681036,0.7118568150576225,0.7095899341585894,0.709908877992522,0.7638588834348174,0.6439235150770912,0.7589041347844288,0.7023181143188558,0.7301512821454432,0.6924088374459065,0.7250247207619125,0.8791521228137209,0.9170101011369819
lapgyn4_instrument_count,0.6117711019961626,0.5225837684581767,0.0,0.5757440582132943,0.8174264131188758,0.9849123632166503,1.2900682920264912,0.5712455800093814,0.9954408961411264,1.0619168095288258,0.808393481142605,0.7820325239579494,0.7371921124283938,0.751829246084324,1.1598525602959688,1.1893825843694663,0.5991697899061741,0.5787277046255155,0.5636458922657523,0.4979303344779376,0.47783670823901475,0.478189942412261,0.4770024335145225,0.47919693505614647,0.4784338300763994,0.47862802213166633,0.47731865576638144,0.8432468805744195,0.6184915024520631,0.8322555885046367,1.0830990990834997,1.0623675105777484,0.9526100164232392,0.6704544563358176,0.6725878206351366,0.6907350020349283,0.6654085280906259,0.6950621324158469,0.6643279090583716,0.661730520374717,0.6993739184110268,0.6877263758310145,0.6809773925281524,0.6603860645343734,0.6820733832080534,0.7064089935141828,0.8256726376110227,0.8784120302271216,0.8179677909968612,1.0415329621703007,1.0406102604168341,0.7961020424258768,0.7073723943066712,1.0425103381220695,1.0415589240892171,1.042060353491777,1.041980103299636,0.7169003723246092,0.7084776038916758,0.7083219108664437,0.9977543094563543,1.228740419948966,0.762078765799446,0.6485299764526535,0.7618751456922425,0.7018202064887651,0.7308337564407754,0.6880413076026675,0.7255347625712608,0.8785653529777151,0.9222693914779814,0.6151177653463852,0.536255566905226,0.5475355969878286,0.5711767114458937,1.2930423113741507,0.5711574998417545,1.0524558877216785,0.740924940569733,1.1608329764181577,0.6023236940856003,0.579170881701213,0.5630371718639104,0.49970909048984835,0.4771613426778405,0.4818774441910583,0.47630912256211605,0.47888254343127235,0.47958299992267334,0.4816162917583772,0.482092671953823,0.6152846644101019,1.081572268970857,0.9507635031799867,0.6763455360793125,0.6732621516823272,0.6890995365739756,0.6632999042677262,0.6975964777032206,0.6663383713308559,0.6645951993898429,0.6954204631806806,0.6932437052360515,0.6863730923606759,0.6565056884693097,0.678508937947192,0.7052716480973643,0.8239333434841569,0.8202536842262778,1.0342400222001125,1.042733350831497,1.0399738510349634,1.0441116908956953,1.0430433205996588,1.0426284706160303,0.7122157141805957,0.7100130882722958,0.710451536773065,0.7643367344033596,0.6445584205629019,0.7598143909514634,0.7027320572736766,0.7309788480210904,0.6931679685664855,0.7261332167540828,0.8798117123270566,0.9169518344647799
lapgyn4_anatomical_actions,0.6117566066292979,0.5213308634763647,0.548638008798976,0.0,0.8194048762316888,0.9854565566320809,1.2904056567617155,0.5729507387745851,0.9954133555789821,1.0630578026336703,0.8083662345572851,0.7819415487185357,0.7380555764131163,0.7528863313111112,1.1600752283287212,1.1898667594779089,0.6011962408828747,0.5807345650750452,0.5650441013702183,0.4989948876766531,0.477721588259628,0.4780823472413373,0.4768795804897679,0.4790692788696958,0.47830839202462816,0.4785226610801157,0.47720658936795013,0.8442980625365226,0.6183723014015445,0.8340758238586201,1.0862484875551295,1.0635574636369638,0.9536459225587893,0.6711164827891772,0.6732941665182287,0.6912710818883323,0.6661188192715924,0.6956082755298368,0.6650097142623042,0.662524531019743,0.6999436140138455,0.6882092792256516,0.6815748126604007,0.6611179712379177,0.6826708507787393,0.7068003503575916,0.8259312623219286,0.8795447934392617,0.8182257808248589,1.0430621749218185,1.0422563626499375,0.7958500028355014,0.7075437121137429,1.0441773315779779,1.0432029751278913,1.0436988589151925,1.0436220886140533,0.7183505628372714,0.7103163622748195,0.710190519985107,0.9985980419536857,1.2299336216628485,0.7614658305431437,0.6494561809353265,0.7623724734291215,0.7015656030799793,0.7305343242116075,0.6877535908906874,0.7253783644847898,0.8778081250658814,0.9240945981885655,0.6150831312808763,0.5348879565507543,0.54639973618923,0.5696832626570885,1.2933809840818826,0.5728447715286653,1.053669548286476,0.7417761780174885,1.161023023756573,0.6043507951294632,0.5811526784817386,0.5644302256715636,0.5007676695449883,0.4770757027381799,0.48175616622621886,0.47620413058907674,0.47875823414003316,0.47942263888281883,0.48151553111289197,0.48198024897737923,0.6151479630663996,1.0846588505116,0.9518220721406749,0.6769205126381401,0.6739072820445864,0.6895786164203277,0.663919537655734,0.6981787629293575,0.666998091341083,0.6653855732416047,0.6960058729008263,0.6936646115594197,0.6869643753077299,0.6572587032014799,0.6790650242080871,0.7056567398369336,0.8242016197886992,0.8205041442570162,1.0358042402789198,1.0443798330236083,1.0416133381926007,1.0457729165197802,1.0446850077458936,1.0442954687619455,0.7136449281621945,0.7118601504797974,0.7122660876564316,0.7636958732487326,0.6454852904059171,0.7602582188306487,0.7024849584335178,0.7306878400420422,0.6928662496297221,0.7260103164660134,0.8790658300387795,0.9188048373284248
sklin2_skin_lesions,0.618149935499182,0.5316038735683408,0.5608327673887821,0.5878203262753234,0.0,0.9842157493602149,1.2815037359306307,0.5682387018896997,0.9922941252321302,1.051515645958327,0.8034004310141206,0.7783099211873232,0.7296459389528431,0.7439985290654199,1.1516669649236628,1.1815778808583077,0.5972332224535565,0.5776592420242371,0.56202332439988,0.4987778133089973,0.48596822812586926,0.48617816146755,0.4851857437753368,0.4873795317977137,0.48652527688545144,0.4866359691941575,0.48536237219232986,0.8297956143136599,0.6192758972990708,0.8214393194746554,1.0753372143591475,1.0514678276603293,0.9454981000609907,0.6659426223768213,0.6683200459624665,0.6867164311316121,0.6608731176043388,0.6911748688774908,0.6598203149949072,0.6570482514610659,0.6954022821502612,0.683685155263541,0.6766971238273369,0.6556786463084125,0.6781729128704505,0.7026723884723903,0.8228769822374932,0.8625837363276129,0.8151668303070767,1.0260150347208208,1.031781895578705,0.7930417274223331,0.7034077873513468,1.0336382585381398,1.0328416717866769,1.033181905895339,1.0332258396492442,0.7070043559631074,0.6975176014546028,0.6974753128983753,0.9855251431645372,1.220464255470635,0.7648279111404659,0.6466266953629809,0.7628623856907355,0.7023455878629744,0.7339588654645816,0.6902503834346588,0.7263351250609998,0.8740850620012747,0.913506234701497,0.621534157248918,0.5458451703802024,0.5584556193909936,0.5830037324928852,1.284470761309497,0.5682044128476269,1.041903342011321,0.7333533234469157,1.1527014461891152,0.6004129386544912,0.5780412830445432,0.5613320069736353,0.500619380843721,0.48511535341913964,0.49002371107915127,0.48438487222496684,0.4870524964589488,0.48772076858356017,0.4897086134730016,0.4902002072066096,0.6161649455258881,1.0740324843699898,0.943576188519614,0.6719933761015892,0.6690510439821968,0.6851673896958814,0.6587404774905248,0.6937356477502085,0.6618154806950831,0.6598336133537133,0.6911609248234452,0.6893022117150693,0.682157772628664,0.6517080380771474,0.6746941694963106,0.7014919749008032,0.8210943149952896,0.8174289854359096,1.0189216184517227,1.0339213606136162,1.0311939253582338,1.0352773314731953,1.034081720539985,1.033920656955659,0.7023354149098155,0.6990180108685323,0.6995932614380487,0.7671879407249226,0.6425208186900221,0.7608143791583647,0.703160490595228,0.7340659862604432,0.6954160600362499,0.7269728052030265,0.8752574762197756,0.9080927545909158
identify_nbi_infframes,0.6209573722502795,0.5321775533269589,0.5609073222752973,0.586842691109853,0.8133414211775754,0.0,1.2785594865374155,0.5722607764254963,0.9901006985669658,1.0485554503943333,0.8034975184885105,0.7776156055047166,0.7301296417111514,0.7442651823223966,1.1528494642365852,1.1810309838839526,0.6013824958414657,0.5812241703421341,0.5643753410477363,0.5006619932849609,0.48582766852586834,0.48609123740427007,0.4849877256910602,0.48713729868887334,0.4863808424353837,0.4865065179162729,0.4853772052125978,0.839099342798374,0.615557330347756,0.8245313161546417,1.0782517252081965,1.0614718277176391,0.9475028923868086,0.6675429234865539,0.6691729407334392,0.6870664599157892,0.6626744624525722,0.6913999683617129,0.6614037208660147,0.6588265141939109,0.6956577396822934,0.6842695977374952,0.6773669678004133,0.6577164084248104,0.6790305205027949,0.7025838961107176,0.8210730925378019,0.8711148836328573,0.8136287340115234,1.036127179203659,1.035163395472017,0.7949221012208935,0.704301509188557,1.0370524452861605,1.036141564461778,1.0364867144924377,1.0365563901479766,0.7140746839553439,0.7047223072543923,0.7046140213360967,0.9872606975240983,1.2238363629587785,0.7606450162398938,0.6465877627313265,0.7593689612954196,0.7024611668970374,0.7287458489087664,0.6854423052409735,0.7228663418388551,0.8747763045351532,0.9165334601045184,0.6244003762842218,0.545673698683166,0.5585624886718306,0.5821491735299469,1.2815108525465573,0.5721746968709462,1.039041194660543,0.7338124431745147,1.153915039058672,0.6045694161041186,0.5816305363622121,0.5636917030987892,0.5024313358940523,0.4850244748082593,0.4898027045143286,0.48415793187096345,0.4869993233185121,0.4876473641029368,0.48958107285740804,0.4899383155209579,0.6124217422938616,1.0768288162120911,0.9455619446293544,0.6735625161489927,0.6698605310244964,0.6855895728873672,0.6605952276069187,0.6940119863216995,0.6633782615815006,0.6618346815867668,0.6915995109328199,0.689776450334079,0.6827649656750012,0.6539650252778577,0.6755203025878382,0.7015430192133101,0.8193394425822612,0.8159027120273123,1.0290554041415438,1.037271235230032,1.0345736901373357,1.0385315660851733,1.0375028917583777,1.0372397631507833,0.709539568210857,0.7062835923411992,0.7068194891045343,0.7629418419628169,0.6426997576370038,0.7572768003927763,0.7033878106609568,0.7289737046215872,0.6906181710804624,0.7236075536133868,0.8760342003631463,0.9110651901817882
laryngeal_tissues,0.6321714164094541,0.543581461139661,0.5718165602183145,0.5972107168721399,0.8199836985789752,0.9865807084817941,0.0,0.5795466956686992,0.9859961559835492,1.0429262727351087,0.7975721046244122,0.7736001669706546,0.7240321235030138,0.7385523142046172,1.1465960693055994,1.175524574169836,0.6129680711058769,0.5926226320886007,0.5731636610514554,0.5123669619084723,0.4986905030036666,0.4989212516953139,0.49786246645060267,0.4999791661815777,0.49921957929157457,0.4993079096039071,0.4981933515938831,0.8440136750087076,0.6241380234447698,0.8333965985582209,1.076414004267189,1.0664299610438412,0.9481964205522396,0.6770918636583617,0.6788111541655174,0.6964028300215026,0.6723268309416974,0.7005963420672108,0.6709572028334815,0.6684272492425453,0.7049539675371069,0.6937313793623484,0.6868600912883931,0.6673386703072406,0.6880402823668996,0.7117963043888892,0.831529303227324,0.8797192287799646,0.8241588221624061,1.0404146216875731,1.0382685631047097,0.8045528138550895,0.7078745498310639,1.0402150598127404,1.0391895619953406,1.0395285758160882,1.0397027024549963,0.7174109634882642,0.7080685866750116,0.7081709316729115,0.9928776861258373,1.2252853710862837,0.7667674044327214,0.6542700955797102,0.7668415574379314,0.7065394365143878,0.7354060221928211,0.6895401785896583,0.7301294156124029,0.878282863338928,0.9227408319283767,0.6357057170504392,0.5578097027602378,0.569479932090096,0.5925174710501753,1.2681250317820858,0.5794551968506048,1.0334747861830456,0.7277688364999884,1.1477259453140571,0.616136533751272,0.5932714124371519,0.5722327390803473,0.5142899407167316,0.4978518418972459,0.5026974327671696,0.4971222577229791,0.4998329848869626,0.5004838748097551,0.5023381199122656,0.502762376014859,0.621241961800608,1.0748301436377552,0.9463574490368415,0.6829964003901052,0.6795016824738314,0.6949056690642987,0.6702422384760558,0.7032918940826005,0.6729441854527294,0.6713982113773693,0.7009317293602462,0.6990546937056619,0.6921492040566571,0.6635771004999951,0.6844255304373644,0.7107261706769463,0.8298318035286054,0.8263472126710101,1.0332914136558977,1.0404617878527984,1.0376857573099882,1.0415847250636217,1.0405236067314751,1.040323384987353,0.7128535385074504,0.7094642402207434,0.710342225256876,0.7691313882619205,0.650178203021918,0.7647110090494215,0.7074036870886713,0.7357963408057242,0.6948343979545404,0.7308992375893216,0.8795829770600386,0.9173527008252225
nerthus_bowel_cleansing_quality,0.617751487624143,0.5299323585613827,0.5586744164290829,0.5855603670853662,0.8137854765999948,0.9864955640899506,1.290759274262191,0.0,0.9968867233332828,1.055211679384653,0.8062583267594827,0.7809611263426499,0.733106999690341,0.7479245370438017,1.155995544119533,1.1860787994321829,0.594929783275845,0.57251953861876,0.5551258664003129,0.49271148241359897,0.48218889825369393,0.48236394671686406,0.48121911728917416,0.4834733637634132,0.4826940883014512,0.48282602084664034,0.48157625951160427,0.839549229690674,0.6142253334630163,0.8307976775013615,1.0821057343917855,1.0665266371482187,0.9467303843542321,0.6670200548443316,0.6681539502917168,0.6863601101627669,0.6618881251773145,0.6905016580409352,0.6605756396159184,0.6578306663117104,0.6949149657761033,0.683946953093507,0.6766839003892187,0.6569044132883276,0.6786226932007523,0.7021858807111288,0.8264943143545374,0.8740287493087626,0.818825673842812,1.0386974693870896,1.037185212513377,0.7965151469441687,0.702356061581275,1.0389961974019024,1.038014983707636,1.0385828123606011,1.038532293595074,0.7093902122384488,0.6997077261795365,0.6995249467293543,0.9941884745108972,1.2252187981900229,0.7624723439467792,0.6442735411687845,0.7583779737222891,0.7010190000941213,0.7298225414192896,0.6859646306904886,0.721840523222631,0.8815393388973607,0.9183878988647254,0.6211538166300524,0.5440719524974085,0.5562153306352073,0.5806428313361671,1.2937846444920096,0.5636215515976228,1.0456352330971885,0.7368467540491102,1.156984735892185,0.5979478691284059,0.5731882002701568,0.5545696708676885,0.49449058780323535,0.4811953866326692,0.4860862293880447,0.48051678035737144,0.4830096122636838,0.4838662823998851,0.48580891553755473,0.48627427904119197,0.6111507407796704,1.0808075839000593,0.9447956306426857,0.673014774504055,0.6689977413642262,0.6848988402530493,0.6599863797267842,0.692911987608291,0.6625625210300967,0.6606790452996723,0.6909313100481825,0.689569418382437,0.6821815359940367,0.6530435219607049,0.6751543570745235,0.7010505690616704,0.824694554713127,0.8211517918005388,1.0315285988914553,1.0392693955842613,1.0365413025997807,1.0405239611232244,1.039544634134066,1.0391323734644753,0.7047724087137457,0.7014612945357012,0.7014916438010239,0.7648849768684591,0.6402455061152638,0.7564020131551492,0.701976845302772,0.729922837323509,0.6911528595271473,0.7224076472585391,0.882862481141665,0.9128690047993675
stanford_dogs_image_categorization,0.6233304279925096,0.5334126471512153,0.5623143483147699,0.5860486047541618,0.8160597902313095,0.9906466435065451,1.284583338625034,0.5746518639287355,0.0,1.052044801387357,0.7962420241486599,0.7713433225619061,0.7229060992657281,0.739257247187164,1.148277357415084,1.1767638599102477,0.6072542111451396,0.5867902517330312,0.5673397539619458,0.5038272051163656,0.49107148566833714,0.49126168783464463,0.4901665152838207,0.49242395961457963,0.4915529007155136,0.4917726783469536,0.49045458152638144,0.8404117454610036,0.6218893360140297,0.8269768096456617,1.0783933109718338,1.0602138411250346,0.9441282891785618,0.6708612644307299,0.6729547206099021,0.6908540609275983,0.6658928943161999,0.6951515291897848,0.6647650667183612,0.6622183373397108,0.6994288509465124,0.6880315886312408,0.6811755989561572,0.6611565973966751,0.6830391614193383,0.7066121263526526,0.8249268505460647,0.8743818803317467,0.8175176352937691,1.0393662436189102,1.0315151945933043,0.7946268028067165,0.7047819679489968,1.0334092281480816,1.032464148597744,1.0327980747435317,1.0329489663406273,0.7149745351470878,0.7057277735361653,0.7057467808481592,0.9926954598430534,1.2193085544537738,0.7609285520362671,0.6491149743033755,0.7610505472095801,0.7019317429625712,0.7287949622930247,0.6867782784732798,0.7230508328054623,0.8773385826418945,0.9144628487696789,0.6267773202553482,0.546975987588274,0.5598062240384356,0.5814684108822286,1.2875134118008003,0.5746277323170188,1.0423580531302827,0.7267315335288006,1.1492776101896052,0.6105136252557072,0.5873571573239733,0.5664835502607408,0.5056320542558475,0.4903783591753963,0.49510402808826715,0.4894624367176966,0.4921047174088578,0.4926863026983376,0.49492132869239747,0.4953480595531741,0.6186019884790602,1.0769800116472201,0.9423465420776731,0.6768225233114772,0.6736701735732211,0.6894286032727179,0.6637591324283499,0.6978861407722415,0.6668297978010163,0.665111710622068,0.6955822744036146,0.6934803097010921,0.6865493559169284,0.657111711478888,0.6793392650534908,0.7055068537278337,0.823177061563422,0.8197247389652977,1.032280175193781,1.033648163810611,1.0309329541797372,1.034893600691451,1.0337960605119216,1.0335712996326953,0.710409504804244,0.7072571018856325,0.7078936038032847,0.7631170550329117,0.6451113232388775,0.7589744679317785,0.7027443910828348,0.7289963689364775,0.6919978595280485,0.7238132440506958,0.8785425977041745,0.9092483829255125
svhn,0.6414898332859933,0.5512318632754309,0.5792759032586887,0.6035223251418773,0.8301507081185857,0.9973131216308042,1.2722931871654557,0.5853784014389621,0.9915411962172416,0.0,0.7990540771559067,0.7755767734279294,0.7200049000237397,0.7354995122499021,1.1344561867508594,1.163247417675665,0.6215778807793986,0.601385651970067,0.5796060858455679,0.5186974517201614,0.5064091087146423,0.5066250467662459,0.5055016798370614,0.5077041602868476,0.5068616924139716,0.5069814696224197,0.5058766532156898,0.8552248794003576,0.6308489193764106,0.8429308269764966,1.076229160416069,1.0776047705448955,0.9516245371631866,0.6814434309251907,0.6827469844583178,0.7002826905129935,0.6765457363236363,0.7043607358636055,0.675179677842544,0.6726733109535595,0.7087275877512393,0.6976726038663279,0.6908846092313464,0.6717118629074632,0.6923090926972352,0.7156898614346198,0.8361033247174872,0.8906537606673842,0.8286998844699601,1.0516705396907269,1.0458100537146622,0.8091130101690426,0.7092760492634357,1.0476851810815104,1.046725375189749,1.0470714166572812,1.0471551045938758,0.7221857947303878,0.7127529724790567,0.7129504294491028,1.0007776510271105,1.2308168626994176,0.7697961726468157,0.6587868369993822,0.7706726552039613,0.7099006698435264,0.7389370127428124,0.6921189029546472,0.7331743826287316,0.887654710948453,0.9301508000291723,0.6450615727127211,0.5655744522450649,0.5767942927244505,0.598722019253704,1.2753167695149425,0.585356740897335,1.0248787125827155,0.723847614709902,1.1355807154680702,0.6246930742190164,0.6020325446703279,0.578761193672043,0.5205790240283383,0.5055007332516156,0.5104092545548042,0.5048201479861375,0.5073599546103125,0.50803186891648,0.5100832861803383,0.5104744686573428,0.6277331493744791,1.0744961420626118,0.9498234786443867,0.6872496082593409,0.6834613673036061,0.6987502522703046,0.6745911683630004,0.7071908686014649,0.6773602417838864,0.6754940953354054,0.7048338960422771,0.7030626123342765,0.6962486081770429,0.6680607095944595,0.6887232570314232,0.7145403016380072,0.8344329475312291,0.8308354689863344,1.0445211692706682,1.047986701908368,1.0452366650431273,1.0490757719447026,1.0480379888951767,1.0477915477927642,0.7176672660614674,0.7140179422410464,0.7151238557258432,0.7722074690040229,0.6547433669772137,0.7686709904426927,0.7107726410799331,0.7393105453273925,0.6975433306803298,0.7338399158703591,0.8889071000878714,0.9247893995279673
