,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.4431257534190767,0.4569022897380757,0.5112551873003273,0.7758097876764508,0.8641107843932113,1.256954047884077,0.537258230950768,1.0142018152424976,1.128748250558093,0.8388999457366602,0.8041283165749646,0.7949794440627248,0.7879512478423261,1.25832236379385,1.2905456871689074,0.5170362345506583,0.49056289504038136,0.5232949185798398,0.4526325162255413,0.3944150592503363,0.396219435163639,0.39440234285666553,0.39561800766094035,0.39637163472071857,0.3964185168879107,0.395130073759257,0.7884134345012362,0.5980649411894413,0.7775209471067008,1.036621115711339,0.9675554517479932,0.9747522943747208,0.6730483391073318,0.6808629323021568,0.7034642025846565,0.6673101254625907,0.709374898071649,0.6673661594397227,0.6650557946667914,0.7127994318574424,0.6984045633401326,0.6907593300815386,0.6599308100767867,0.6852960050895864,0.7219084309800252,0.8132847443329415,0.8283491744877702,0.8049608054059444,0.95287052609361,1.0283157227798372,0.8091227908450905,0.7303364971976803,1.031117140224343,1.0300089366060698,1.0306137337826609,1.029997318913443,0.7173652256087923,0.7030632716733832,0.7004337130002911,1.0095547020700648,1.2348439047813138,0.7888418679457769,0.650903042079465,0.7663532591981693,0.7201911523252673,0.7559698963494484,0.7255629173492617,0.7487250334182487,0.8802665835666655,0.9149404289281012,0.4848773389928393,0.4589544253322184,0.456255402473218,0.5082710721076528,1.259439615280929,0.5354301286854322,1.1203342336247926,0.7977923854661718,1.2595554324787952,0.519437766776936,0.49026757684937483,0.5241279456054706,0.454717208264111,0.39364454123997306,0.3989563812049302,0.39552607927704453,0.3974236245899561,0.3999418829344228,0.3978321697069556,0.39843456307942005,0.5978234789002068,1.0354753465341227,0.9728537530972651,0.6797647173321207,0.6815588192859197,0.7022721104456705,0.6664173943410322,0.7090453407020748,0.6688559718174719,0.6648560514347696,0.7079152685242103,0.7057949792603088,0.6948478215344552,0.6561774795010613,0.6826999553268792,0.7214306616602703,0.810839493435978,0.8073508448181114,0.9450706811544178,1.0308816203410172,1.0275698833027471,1.033373887610195,1.0315925883737291,1.030609605198786,0.7118942874403096,0.7050809786633354,0.7013381909328265,0.7909534043489334,0.6473838070650401,0.7658576268340654,0.720920652539531,0.755187566749587,0.7303462331396348,0.7473525612769769,0.8817206563050859,0.9097396724917617
lapgyn4_surgical_actions,0.5065215830569134,0.0,0.4510227535878343,0.4944381240554029,0.812756821909835,0.894060146689196,1.2829159086723725,0.559245740070661,1.0187267407093397,1.1246940028003083,0.8343349123624407,0.7990719397031979,0.7915969005448333,0.7909064796631937,1.2313331656363429,1.2660465019602292,0.5452753294703993,0.523395341980146,0.5427005613218072,0.46574196451508365,0.3973353464579583,0.39924247614838315,0.3971315962182025,0.39843938913168386,0.3989611423675816,0.3992159062653196,0.39796073050653297,0.8154458237326865,0.5937596922814427,0.8087367281387596,1.0710511282971913,1.0143779561361042,0.9763606430077911,0.6742389690503351,0.6807937795552941,0.7010971398194061,0.6686707557683689,0.7068782440336585,0.6684138494268678,0.6666106070773384,0.7109265276061646,0.6961461544058779,0.6897677062298,0.6619716865184961,0.685495886944918,0.717921918270458,0.8127836845718233,0.8599489002179722,0.8043710625560665,1.0002440714139618,1.0559281348451324,0.7983083557978186,0.7191678610839662,1.0585233024292562,1.0571656814707315,1.0578353923799386,1.0572100187370084,0.727963606400697,0.7211590773546994,0.719720644584852,1.0031817603446884,1.2547703239847614,0.7722712050425142,0.652618578346073,0.7646084065359832,0.7130835505193438,0.7390541610990079,0.7117930929416638,0.7375565687079141,0.8776444266122273,0.9343529228491431,0.5089603383542067,0.4508558470527157,0.45040046001233713,0.49196801735833157,1.2853391528613611,0.5578920807791959,1.1164096755420598,0.7941800761435079,1.2322447220958277,0.5479511912192344,0.5226205850207648,0.5434651703002193,0.46808880453166996,0.3969680778640119,0.4017448787749893,0.39791290131308843,0.3998303074171806,0.4014605985087575,0.40110168654248024,0.4011412409732909,0.59219681788424,1.0690148264196888,0.9746239858400182,0.6799053839807422,0.6809253289011249,0.6995845140462441,0.6670014872623057,0.7076014361016977,0.6698199047667225,0.6674367881829456,0.7058311418103524,0.7026616851724479,0.693985506489547,0.6581919178346131,0.6823844430455228,0.7173280420948953,0.8103072142308634,0.806915309580827,0.9924763789883677,1.0583581850001822,1.054870441357484,1.0606635879252588,1.0589356032951558,1.0581258863335026,0.7225971075672862,0.7232587150351534,0.7205965122418053,0.7743817318205872,0.6490384291012004,0.7631859959980564,0.7139766624476542,0.7385705505197102,0.7169642517452167,0.7365417162730129,0.8792510042057962,0.9291207328910395
lapgyn4_instrument_count,0.511063576036702,0.44033094340956014,0.0,0.4943272588620173,0.805595493223936,0.9029437177801731,1.2828852072440644,0.5624075912848481,1.0185989721373248,1.1254064404097968,0.8338911267402666,0.7990890928434118,0.792421876438343,0.791640129580385,1.229024675630972,1.2647362431160376,0.5461211611301722,0.5250352842893564,0.5493218289124101,0.4742521326587599,0.3927936524281189,0.39475191181276725,0.39258306990482184,0.3937416601979352,0.3944781384786221,0.3946042804133367,0.3933825801803245,0.8150539205452327,0.6069057696405109,0.8194643824613347,1.065349105299338,1.0047368286545182,0.9822148873191617,0.6825449592221166,0.6912164861318023,0.7125941185974799,0.6767567365047478,0.7187119930070406,0.6768872264381797,0.674913522023358,0.722638119745248,0.7065840204775727,0.7003894277573351,0.670108998573403,0.6951307467141736,0.7302506317902386,0.8195519731791425,0.8634117000827535,0.8117654525308897,1.005604342550232,1.0512428572327144,0.8060707933240588,0.7274455589023017,1.0538342279840827,1.0524329405322383,1.053130118520146,1.0522998493699207,0.731565667849472,0.7267267310450033,0.7254836652123463,1.0169856020006378,1.2493882138363501,0.7757127108665206,0.65881446310374,0.7713898516397053,0.7167724340632347,0.7453232152836726,0.71848978785296,0.7467134252140066,0.8856288955770689,0.9357948554633697,0.5137426425437893,0.4524301015601604,0.44741683518473174,0.4918223462842753,1.2852247932190695,0.5612901040713417,1.1172014831420105,0.7950152645415725,1.2300516568871034,0.5490144424295665,0.5238713677112306,0.550069744232327,0.4767993699445172,0.39220370252001324,0.39712504712920416,0.39362703107081554,0.3953007382181337,0.3970341018911906,0.39658991886764094,0.3960267232878497,0.6052447455089892,1.0631316718839883,0.9805134534555012,0.6887133258884421,0.6912566718976367,0.7108374178781223,0.6753237203816886,0.7196210527213563,0.6786711410234054,0.6759690792657078,0.7175458140642689,0.7135675946283042,0.704604364437584,0.6658321152865709,0.6921792769158619,0.7293806673054031,0.8174032212216689,0.8142090511235196,0.9975175054003338,1.0537612859098373,1.0502857324102806,1.0557595330695224,1.0543337455221107,1.0532659285477033,0.72637075646382,0.7284029950472463,0.7265615525235805,0.778056605664966,0.6549566626431068,0.7700471603596283,0.7177401191495038,0.7447786182453306,0.7233736937174517,0.7457159364214456,0.8873237987927199,0.9307886098339875
lapgyn4_anatomical_actions,0.5151736987975685,0.43144220929907984,0.44075630026447543,0.0,0.8248756838622167,0.9125548665176233,1.289528411498436,0.577192057104595,1.0169543563522556,1.1318428477042026,0.8320170903226012,0.7970362404892062,0.7968332125101102,0.7986915732189739,1.2268158282210442,1.2642169466643975,0.5664885667030982,0.5459809165309976,0.5616908930437994,0.48450255737443376,0.3970906576027623,0.39905785268642097,0.3967895516492268,0.3979878274241529,0.3985970618147401,0.39891556211225965,0.3976020966614469,0.8274620857858795,0.6057532828290701,0.8352771849295051,1.0936261632784792,1.021748643244378,0.9867373510358438,0.685591351398686,0.694184108289018,0.7137764236872634,0.6802691981338629,0.7198978259558196,0.6801135209792437,0.6790225121536002,0.7240298107309728,0.7075759351540764,0.7022993230770249,0.6739210553132123,0.6975250869998443,0.7300537275587181,0.8188748814426915,0.8752989087350836,0.8110065440994145,1.0228997613698478,1.0644247757015262,0.8011458817324981,0.7278422912488004,1.067098400986282,1.0655141503646255,1.0661222973365694,1.0653975748059872,0.7433270280883472,0.741161109272221,0.7402305922870674,1.0217649785628957,1.2584022836374111,0.768372231490167,0.664231150413127,0.7739117312200503,0.7137286796658047,0.7408871691360619,0.7138828348943084,0.7433515834652782,0.8784199464932589,0.9494624634456309,0.5178597663166608,0.44246055623440034,0.44077457989494373,0.47792011223996134,1.2918702210115947,0.5760233949115409,1.1242148391388236,0.7994251743518632,1.2275556909058876,0.5694326270664622,0.5447085486883614,0.562290974790473,0.4870278431520987,0.3968244079532079,0.401369602840879,0.3979058953528618,0.39948050771075017,0.4006644499021617,0.4010194161903251,0.40047136372669306,0.6037881971454406,1.0908864616568517,0.9852025363609772,0.6910315952469682,0.6937421604598741,0.7116443302329023,0.6780196155977817,0.7212261684456382,0.6816820134620015,0.6801343130369171,0.7190784121632356,0.713949403669465,0.7065119971392031,0.6698813107904883,0.6942661111859464,0.7291306740352927,0.8167761797225461,0.8133672147956524,1.0152265296912129,1.0669007790402654,1.0634066637587185,1.0689810637070276,1.067358109016202,1.066555939774329,0.7379698209394854,0.7429211956781656,0.741069310017919,0.7704937325300797,0.6604370948022406,0.772078628805709,0.7147327605350725,0.7404560282401675,0.718728341439866,0.7426686793210884,0.8801967702896099,0.9446046752519418
sklin2_skin_lesions,0.5541436617795877,0.5202167270402784,0.5440566736409983,0.6085000511463359,0.0,0.8713409095355192,1.180858915807687,0.5245638681511792,0.9915037310224745,1.0342178921255039,0.7962051158855161,0.7723165121795289,0.7357719704524647,0.7271371342000654,1.171713208383759,1.2100374168006258,0.5044595353074965,0.48889405374989087,0.5243390551620147,0.4695615291155769,0.4535967986708287,0.4545439614010925,0.454219361628922,0.45507828530448996,0.4553604377501467,0.4546661473714586,0.45370192617330857,0.6510807366678961,0.613521787907264,0.7053891325543025,0.9747890428786791,0.8514226770165042,0.9308900952827531,0.6420550591681767,0.654696100666742,0.679745985771657,0.6357800003716342,0.6873181077283295,0.6365151741755676,0.6330580813485656,0.6899866346287312,0.6724277059050057,0.6639900284865153,0.6271018096305568,0.6603572300083798,0.7001970333947792,0.7921428825320258,0.6777701362406366,0.7847196519383549,0.8110685507693715,0.9539816614280594,0.7821584048335442,0.6958448443234996,0.9564275325195276,0.9566653999701678,0.9558977761657819,0.9560047624523623,0.6298506621073559,0.6157548882755325,0.6153083746705816,0.9044942943825425,1.165378114881113,0.8159734834471747,0.644451125624759,0.7884731727284969,0.7270197651112222,0.7881972934898445,0.7544454182517343,0.7667153120591667,0.8427278831440931,0.8442586632800304,0.5561018804247053,0.5394288885276819,0.5435560404267769,0.6037581761793106,1.1830350618600842,0.523700192191772,1.0249584813850365,0.7376587140546105,1.1730498294310663,0.5074824065482447,0.4867079343912336,0.5247545696556553,0.4725605207851516,0.45101851209106675,0.45833575492898787,0.45442943980905964,0.4568444498406286,0.4590178601703396,0.4573649927514031,0.4564840642455503,0.6134776509631654,0.9745869154987132,0.9282970399200022,0.649992628739675,0.6552231178216107,0.6784188738452294,0.6347491690267819,0.6875788045024521,0.6383157927744708,0.6324592556578155,0.682252801450236,0.6805586185888839,0.6684569871216124,0.6220761978072482,0.6585741431604206,0.6991741221348894,0.789601842304519,0.7868371838655204,0.8048987501499543,0.9568815244570704,0.9536385924825431,0.9588822551833599,0.9561434838025603,0.9572738210751075,0.6246307326302897,0.616879308208555,0.6161082082235116,0.8196114791629945,0.6392012557423247,0.7875458516258311,0.726877085815163,0.7870162787983918,0.7594793603021255,0.7656625884391441,0.8436530937945567,0.8386194616987775
identify_nbi_infframes,0.5693807469465684,0.5203656159626956,0.5379852625161138,0.5975450268247359,0.744382533947884,0.0,1.0957592397131564,0.5653622159971025,0.9893174691652016,0.9851842542863395,0.8120895738649898,0.7810218482749774,0.7527383617297839,0.73463418668571,1.194044485906593,1.2159051999120059,0.5340243142658129,0.510710393156367,0.5460375293162006,0.48122252809734184,0.4419302495947583,0.4435540221587853,0.44214370754644533,0.4422851586529001,0.44402801067231246,0.44339245682913503,0.44396648823246176,0.740650904366243,0.5634965595592921,0.7108127198909042,0.9837709033182304,0.9520486335407762,0.958416419297393,0.6626314359003236,0.6687469761588748,0.689461789661988,0.6580945542294602,0.6963622799971747,0.6569249536242656,0.6552696094204785,0.6985333114982328,0.684447849618881,0.6765014912579809,0.6508173423949195,0.6727945780415227,0.7059288649790096,0.7673485469125187,0.7550811528645169,0.7640704618780164,0.8947622804963175,1.0030922522967047,0.8151141890624729,0.7050276948286603,1.0056710332873287,1.0046446773276794,1.004171275873447,1.004436515106537,0.7198227957484522,0.7039621699729477,0.7021521463610534,0.9061355148001873,1.215679356511787,0.79830535222724,0.6556404265543142,0.7717657205402668,0.7515627230410759,0.7609445332008827,0.7360931775278158,0.7532837781638829,0.8560266088428059,0.8863582520154969,0.5719332111721983,0.5323555554762486,0.5381162535265922,0.5938768960518352,1.0973998831597025,0.5634882214829245,0.9779742970146589,0.7542364803963406,1.19552417075637,0.5364729522715028,0.5079970062705823,0.5470025879304323,0.4831907759693589,0.43983303871197404,0.4457973691373475,0.44189556210824615,0.44636632472887844,0.4488620735712962,0.44557864512453094,0.4433954107968665,0.5637277185806093,0.9832088308286364,0.9553667281673961,0.6705501408082486,0.6681758307740279,0.6886865938051759,0.6576893264078972,0.695973829957395,0.6583650315478433,0.6561493374137266,0.6919131270174708,0.6919830205050946,0.6800504348544054,0.6485122609319947,0.671326221526397,0.7068609478305988,0.7656094056487969,0.7661568006768306,0.8893981476149035,1.0054154953888497,1.0027367454810199,1.0063479234306598,1.0058053256159205,1.0056537752671881,0.7159332073938738,0.706377430708743,0.7035049551089155,0.8011146176428615,0.6526444361039156,0.7707567358815486,0.7523940432730132,0.7608981224900934,0.7410190540520228,0.7529474127693494,0.8576903837140128,0.8800656910113567
laryngeal_tissues,0.7092069206724846,0.6660531452376856,0.6802791115353046,0.7348098209670108,0.8063407153177035,0.8095311234081152,0.0,0.6555136670923428,0.9233402444566325,0.8535646281481079,0.7276613591871836,0.7222709302374399,0.652975109183702,0.6328111524422758,1.1066511175557447,1.1350851743006958,0.6765900927351894,0.6478193050621651,0.6539737240428268,0.6273615343865735,0.6092333726519676,0.6105814154374479,0.6098858843357098,0.6095166059176228,0.6113404172987834,0.6099962262434396,0.6108502354396901,0.7702112755833368,0.6652266618109264,0.8074931153531396,0.963477003748598,0.9907636126147914,0.9758652394104883,0.7859586088340458,0.7942483899462629,0.8107066592677977,0.7820395212792933,0.8164803922023618,0.7802146358374904,0.7791810433046529,0.8198465479131686,0.807047968123389,0.7993929647497158,0.773754930457109,0.7883812842895828,0.8253681253703368,0.905671056459436,0.8332362609209006,0.9045603373361971,0.9100163109757315,1.025726191871236,0.9380841262538054,0.7626028317088686,1.0291831538075635,1.0263495373093656,1.0257948430343975,1.027797266594348,0.759663938909686,0.7424934089577491,0.7439515723541529,0.9603620912636057,1.2219608109966,0.8784163990580603,0.7500585937759513,0.8699364965363838,0.8059337056293249,0.8520978279936172,0.7970342048158726,0.8483185603063182,0.902138007461236,0.9529926334923389,0.713035239776053,0.6894120677760284,0.6801600513222118,0.730722204888553,0.8141590491267323,0.6534744874631272,0.8480574772398493,0.6540423124260734,1.108939706239001,0.6788708480583661,0.6478692100641296,0.6516826826890462,0.6310079083051249,0.6066107944689902,0.6134525128112329,0.6105550340607588,0.6140652818061275,0.6165189699452421,0.6112761136744297,0.6103299073911805,0.6690126619336996,0.961090196646197,0.9741994757578663,0.7924453405566746,0.7928806828956827,0.809649787673078,0.7813470892765063,0.8169041767522577,0.7811859599132555,0.7794785201097066,0.8134513821815297,0.8119241535980821,0.8010550968446245,0.7713178433919146,0.7854764373595776,0.8264551310738416,0.9043998117687901,0.9053238258583477,0.9053168784441524,1.0294151081649572,1.0256415767846605,1.028122598627036,1.0269720257985917,1.0284242311833511,0.7557064230110696,0.7427406533683786,0.7449395135437404,0.8818182058614633,0.7438799851863762,0.8684123031924016,0.8057398412534568,0.8541125673264041,0.8028573645103284,0.8487135030678178,0.9047517679776619,0.9481264649315815
nerthus_bowel_cleansing_quality,0.5688470954972359,0.5119405887889089,0.533209156933216,0.5886031687076334,0.7704386521479896,0.9146376642900592,1.2782004804964042,0.0,1.0246165037520893,1.0622188316309442,0.8141933530172965,0.7889230867951526,0.7565882475555457,0.7560087351744808,1.197027115900536,1.237642538430438,0.5060280891617595,0.46883551759175757,0.47304578653568813,0.4289045729401097,0.43357605576416375,0.4338698223368268,0.43229636989008646,0.43392219700451057,0.4344472050619421,0.4341520020469846,0.4335123387606428,0.7826200655419364,0.5730338971509704,0.8088028351231682,1.048615737666175,1.0307370582202888,0.9353127745805062,0.6558982090686826,0.6565148815371323,0.6786490896042312,0.6492234492626129,0.6830211974629528,0.647713789480669,0.6442776225086358,0.6878203047412401,0.6773842132936488,0.6669933376433619,0.6429406439109386,0.6687882366534751,0.6975892050856148,0.8280270628352424,0.8227072131547073,0.8203992796088067,0.9761937118111977,1.014560618576971,0.8117007799914995,0.6859348821253659,1.0164554695237686,1.01506427697405,1.01631255334697,1.0156307020757318,0.6676339894139582,0.6526393512208059,0.6510364646424399,0.9919895352031374,1.2122449116068772,0.7820906580459546,0.6255017580298974,0.7467464787967985,0.7092101013196953,0.7421788634262901,0.7039055847611816,0.7205282888392401,0.9075508441293557,0.8966654732687118,0.5712141133353487,0.5296586227402563,0.5315949589052714,0.5830547972802151,1.2808588917354073,0.49071177866182847,1.0529310302721124,0.7590590213681667,1.1979774644221612,0.5078059943687895,0.46978734666947936,0.4743121805613157,0.43120957917581293,0.4302279025571314,0.43722939005447997,0.4330736109092916,0.4343500700586671,0.4373960279386457,0.43628742811590543,0.43543396153752223,0.5727433849580045,1.0483540771654842,0.9328321930794407,0.6629458082447123,0.6579649304179174,0.6778691633366316,0.6495490756499344,0.6832510508724964,0.6493538677920144,0.6452505516863491,0.6825400024865708,0.6849727898074456,0.6722262304461836,0.6387136286212793,0.6664231608482534,0.6967620552901095,0.8253360693895668,0.8230833461008731,0.9689626547065008,1.0169588017686944,1.013730331369743,1.017917113114189,1.017218143068291,1.0160501380224842,0.6629297521476697,0.6557753363513489,0.650420643945697,0.786037288614891,0.6211999592053904,0.7462165436414909,0.7105729313341802,0.7414184737289635,0.7092076256859453,0.7195764017561067,0.9096254779197516,0.8902390009326543
stanford_dogs_image_categorization,0.6243513267117509,0.5534405662398858,0.5753517912535732,0.6030619989950061,0.7994131886453132,0.9555457106556059,1.22345089036169,0.6056515809607639,0.0,1.0386573335982299,0.7324111569616546,0.7138523829510994,0.674108898474966,0.6858712010873407,1.1315881483941181,1.1571137518388241,0.6269746244568581,0.6038818673767409,0.5929609739455073,0.5346519409942231,0.5261456493344308,0.5267147383824723,0.5254809502250896,0.5271487852851592,0.5269534081339694,0.5276162058192095,0.5259165228795438,0.7875037003975085,0.6533513531275776,0.7786620606528905,1.0206430589966242,0.9732104808687335,0.9251024722865229,0.6993098728657987,0.708113369851391,0.7267995681919838,0.6938654480675525,0.7327793159823164,0.6938689063014182,0.6925577930596505,0.7357104639606674,0.7220176608047653,0.7156858979975533,0.6900937725673091,0.7159242869143735,0.7448704529281117,0.8227285248040938,0.825224989481139,0.8186668925186071,0.9775588944508715,0.9766155593223915,0.8044359332670442,0.7145993106098553,0.9791320957993922,0.9778448062747738,0.977157888124276,0.9782625352455272,0.7276931276767684,0.7116016541510898,0.7115486351750443,0.9919247413505109,1.1725572790570296,0.7854517705702697,0.682991622782736,0.7873253488992507,0.7309675960796097,0.7517841197455497,0.7316970260656124,0.7487165744704349,0.8942089947705871,0.8786181523186405,0.6273919322494382,0.5653726820722166,0.5734742673358721,0.6001719655220425,1.2251781575926461,0.605072990808108,1.0287418155723986,0.6778358151388063,1.1323270028689523,0.6306291635839885,0.6036020150038837,0.5915267212401534,0.5375096342748907,0.525498369752876,0.5308245583239938,0.5262988308351177,0.5284479633338716,0.5297484874136721,0.5305543808206912,0.5295996396731333,0.6511395360450468,1.0194311181757563,0.9239659137901907,0.7057195857731001,0.7079048489674538,0.726733594285935,0.6922044909931849,0.7348955108100952,0.6968160190382388,0.6934976380909169,0.7320601953384659,0.7281391214913803,0.7191324531019773,0.6844869877442888,0.7118439708373963,0.744600453928212,0.8207285886295703,0.8204338939467666,0.9710282034887644,0.9792657221945329,0.9760974514489182,0.979967567247885,0.9783240218304488,0.9788244987405762,0.7232577726176557,0.7131144473999789,0.7128070119715837,0.7872338146346314,0.678579103459373,0.7860003997727781,0.7306258630574044,0.7514469127729564,0.7371688125986219,0.7492464733698821,0.895313437356117,0.8751376856909157
svhn,0.7635745625010505,0.6823365030083729,0.7003598894967193,0.7335582905012865,0.8822167574471456,0.9386911796508774,1.0416098642576934,0.6553093579001958,0.9712728339573197,0.0,0.7438535998100563,0.7357957780539753,0.5885083995126633,0.5817982084864888,0.9316866419534613,0.9668213312050106,0.7105612497217769,0.6864458092492379,0.6551217884378747,0.6171329474925057,0.6241253849613587,0.625258362119485,0.6234544603009492,0.6244889810635693,0.6248843227391109,0.6241780450258335,0.6248905515131297,0.8778767712285707,0.6811383996079902,0.8722607484525596,0.9875029921927883,1.1118918621757208,0.9679440118862149,0.7474689392547302,0.746831370303368,0.7626894447451056,0.7413829338035107,0.7665352190048316,0.7394014456587383,0.7379151043300537,0.7712759831472928,0.7615360656740627,0.7539088645395855,0.7361874684775205,0.7508815277451475,0.7782950102629509,0.8835574075394178,0.929950332494148,0.8806125180174199,1.0360915844242842,1.077243098777201,0.9036121330026725,0.7478631962610377,1.0797788558677222,1.0781629907986052,1.077948844994095,1.0781936193284343,0.7719157776645769,0.7538479489733658,0.7550880100107988,1.0079227869054184,1.2615313069126461,0.8259246305086778,0.7178861220678827,0.8277897372940276,0.7633364886145743,0.8039878349626834,0.742646400261013,0.7955427726524498,0.9564194313852088,0.9856405784727101,0.7683458520883851,0.7042528581639392,0.6978294660306191,0.7281336382700145,1.0444426463907255,0.6545498493392428,0.7148349474473569,0.5899437333489371,0.9339497296928337,0.7128490926552248,0.6870963201444467,0.6542930810509094,0.6201993084975393,0.6211961132232047,0.6282159207657915,0.6243882473963756,0.6263143371452409,0.6279437558853476,0.6275006378567122,0.6255586308391503,0.6814355059708299,0.9843165739648495,0.9671195718604952,0.7526394740579102,0.746599359017609,0.7611992970465649,0.7425212066497175,0.7694320969072896,0.74268715161957,0.7383473639064116,0.7663452274348842,0.7671988710548727,0.7574917408544148,0.734407681820552,0.7481487899015539,0.7779947684616044,0.8822359106881383,0.8812616943419954,1.029883591224774,1.0808282484581924,1.0766237374218703,1.0793681304380471,1.078738981184009,1.0788034295980768,0.7676696379365645,0.7530737429761976,0.7568909583774599,0.8299656103518479,0.7129259070974368,0.8269604182681012,0.7642101843036924,0.804910134969074,0.7488475799327552,0.7949669638740116,0.9583533880908195,0.980328368841316
