,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.5246872354905862,0.5526487536115823,0.5812366948178286,0.8279992122341052,0.9850757667671991,1.30767448027066,0.5732460807821771,1.0062275546630186,1.0882183725742405,0.8205683884370893,0.7920468570623963,0.7540377877613363,0.764749335671003,1.19879045260944,1.2287531370769307,0.5988443498426841,0.5781964509942152,0.5664687957099486,0.499316115802322,0.480006918841199,0.4803895607135881,0.47922696966245154,0.48145462515952875,0.4807008664258478,0.48094643330783143,0.47955558940471565,0.8512760889094699,0.6231480082624026,0.8387093955287739,1.0982437242631398,1.0673891494367012,0.9612629858542194,0.6730661252956199,0.6765203079730416,0.6951321509102295,0.6681577969187315,0.6996095793078495,0.6673944966877314,0.6648888996130395,0.7036793109142621,0.6913709858045023,0.685310251077296,0.6634193783614951,0.6855530852779568,0.7110732288951228,0.8189177791021592,0.8871133644406689,0.8102913760938313,1.0484666510117575,1.047973061596435,0.7927833226851737,0.716678674740696,1.0498540905283202,1.048876977135952,1.0494820375703564,1.049340666222279,0.7171559373694851,0.7082596114276396,0.7076796481232337,1.010100617770855,1.2379182909623216,0.7675060904384645,0.6533862640613559,0.7683183091443607,0.7032596063015533,0.7392303117112016,0.6966836805237437,0.7314964651514186,0.8836187438122836,0.9272830596177539,,0.5391128259747624,0.5503506042737086,0.5764597672023765,1.310756781138156,0.5730580817998294,1.0786807020405877,0.7577466446639238,1.1995776885723655,0.601953415784301,0.5786578087287195,0.5658162936574056,0.5010997306541664,0.4794135200451081,0.48413938910979654,0.47874866618876094,0.4813012652303653,0.4819865395050267,0.48376074448301976,0.4844704593537953,0.6200088241567686,1.0967398563836566,0.9597201784358388,0.6789233463716564,0.6771375447283599,0.6936538022673718,0.6657918055784204,0.70211998486395,0.6693872539786814,0.667595290287004,0.6997581889193173,0.6968571712654968,0.6904006407646646,0.6594583108906089,0.681780505975808,0.7097885103505573,0.8167888323709306,0.8127319829290703,1.0407627812166997,1.0502924082919374,1.0471106793704938,1.0517656821265187,1.0504669640823905,1.049920236066422,0.7121037205757107,0.7098405306472576,0.7095910273069281,0.7696349178700639,0.6495441629027389,0.7664376442831308,0.704449033017134,0.7391948717477785,0.7020257371726158,0.7321331788186981,0.8849371290642585,0.9220624147417182
lapgyn4_surgical_actions,0.6114871491644693,0.0,0.5492822982885599,0.576325984863043,0.8354028890157591,0.9888719493456829,1.3119629527935663,0.5774905689518879,1.0078048645325821,1.088200232572839,0.8199290293022148,0.7912291600286817,0.7544482728775602,0.7659466295578304,1.1945058069676118,1.2249137317621535,0.6031395646808753,0.5834407537353336,0.5699144872741416,0.5011077542155286,0.4786561322076799,0.4791153876517117,0.47786469953290495,0.48007533406012004,0.47929544068893487,0.4795953214767325,0.47821441441842355,0.8559095987111577,0.621535173904068,0.8440696326697256,1.1043677746208613,1.0756600460876187,0.9620714864208454,0.673591899667785,0.6767763896946555,0.6949301332216222,0.6686927390211767,0.699389409036641,0.6678716914721944,0.6654661999964584,0.7035846665613024,0.6912133462093023,0.68538206069143,0.6640297727176876,0.6857225952795415,0.7105243235638876,0.8192636645265537,0.8932734907387536,0.8106053782037682,1.0570355925727621,1.0538318977059689,0.7912203921705714,0.7135815703600219,1.055678477418118,1.0546484388727415,1.055274758689379,1.0551156237463624,0.7195197946592968,0.7122048182763409,0.7118465515244132,1.0079589269822677,1.2424027128041522,0.7643272988062138,0.654032228693097,0.7682841055287788,0.7021417185180129,0.7359791250989434,0.694225961898438,0.7298456242027549,0.8829061914425695,0.9316304859544998,0.6148736909282019,,0.5470635226450373,0.5717165902813605,1.3150324647701115,0.5773618945513056,1.0787174018409562,0.7580989256113582,1.1952229619047665,0.6062854219709269,0.5837730547156501,0.5692842228088918,0.5029636681519075,0.478155421372686,0.48276582660423034,0.4773317716903162,0.4799064329302807,0.48042767639379347,0.4824902509535532,0.4830439814692698,0.6181804160541018,1.1026689165665893,0.9605576786139266,0.6792058227899571,0.677260376896677,0.6933778657512683,0.6662101726691385,0.7020542937937063,0.6698206935436398,0.668323879548108,0.6995801596248977,0.6965382985232196,0.6904653804533913,0.6600926833442702,0.6818497143058518,0.709228225283129,0.8171311326819053,0.8130858754039318,1.0493149735517446,1.0561146227155165,1.052887253645916,1.0575842587089015,1.05628460821237,1.0557545177900265,0.7144919777241932,0.7138104048114777,0.7137036820353633,0.7664541621223964,0.6501961626004019,0.7661995298765945,0.7033700785897861,0.7359840843260322,0.6996515928766162,0.7305218284277315,0.8842697068650411,0.9264091771468147
lapgyn4_instrument_count,0.6134787823358805,0.5231482913725951,0.0,0.5772559488627794,0.8333718773044336,0.9916458697460695,1.3117177945021283,0.5782443709918427,1.0072802706983377,1.087211509991889,0.8191958809832872,0.7908028235946638,0.7539378195657638,0.7654345297044282,1.1926775957879077,1.2233846510206605,0.6039917798887219,0.5845263273446673,0.5715486143860271,0.5035059570063338,0.4789133245299613,0.4793603111954068,0.4781249934977894,0.4803066737332693,0.479563709083345,0.47982417377408126,0.478460249779431,0.8556236065643441,0.6248740603767058,0.8465251934183744,1.102818045761417,1.0736026470021978,0.9633691881064609,0.6751486903368461,0.6787866297940154,0.6971494319577916,0.6701994170926593,0.7016864038632643,0.6694627345624986,0.6670123437767483,0.7058411675146912,0.6931857555115688,0.6874151771486485,0.6655899985323694,0.6875551974027694,0.7129306089448058,0.8205695790748958,0.8937865244072646,0.8120807851033789,1.0583692870763954,1.0523932257574584,0.7926096028606855,0.7153912964567922,1.0542339654083508,1.0531970006556994,1.0538190393702807,1.0536201608727596,0.7202538135050375,0.7132092066236237,0.7129032106947444,1.0109464094660456,1.240410374840673,0.7652717087848964,0.6554175241453299,0.7701679817560538,0.7029879000114365,0.7376926524185192,0.6958681196285659,0.7320792964062555,0.8842702674951001,0.9315348384700765,0.616922295435464,0.536845793661863,,0.5725781076039692,1.314778006182812,0.5781927111017778,1.0777525980741203,0.7575895953521669,1.193421370042367,0.6071917535639684,0.5847771894272265,0.5709084221025569,0.5053869050849035,0.4783463037934864,0.48302047298118833,0.47761035340751873,0.48017052631284207,0.48069050325594,0.48276394147719204,0.4832045870701358,0.6214573849062908,1.1010870233879877,0.9618512266483008,0.6808685123291862,0.6792424203884823,0.6955373595625134,0.6677538888375824,0.7044271540015488,0.6715182046585914,0.6699679192202859,0.701837359629413,0.6986043641747043,0.6925132953476869,0.661534568556599,0.6837311735528262,0.7115722345307208,0.81851316230654,0.8145291890373019,1.0505899080316021,1.0546951798857056,1.0514799497131784,1.0560766957029526,1.0548479916460982,1.0542776870872328,0.7152634776266014,0.7147049374902481,0.7148336187818471,0.7674612226215447,0.6515060072295974,0.7680895040492888,0.7042175929349548,0.737698919601099,0.7012207205744547,0.7327946128233476,0.8856419934822831,0.9263680169232079
lapgyn4_anatomical_actions,0.6134388455967277,0.5206949744578293,0.5474854776879017,0.0,0.8372584422183901,0.9926872894052811,1.3123339408715722,0.5815983014850512,1.007193008185549,1.0894566901732157,0.8191198432987633,0.7906021246839818,0.7556358669721347,0.7675161032435792,1.1930760358902648,1.2243036311107354,0.607976614478146,0.5884739471963497,0.5743004113664316,0.5056060749369788,0.47867224759581783,0.4791347952431064,0.4778687124999971,0.4800407393776744,0.47930239286240806,0.4796018295737456,0.47822529506543543,0.8576666027079959,0.6246424142077025,0.8501087692681611,1.1090229480812317,1.0758987900101717,0.9653793941005723,0.6764494018550331,0.6801789185761449,0.6982033478067917,0.6715950576948777,0.7027619166391519,0.6708050150913178,0.6685760168689775,0.7069615524636339,0.6941355964047492,0.68859053269272,0.6670302050524922,0.6887292349372489,0.7136976276697087,0.8210509880095878,0.8959940189477239,0.81256332425708,1.0613561424717488,1.0555849029328468,0.7921091148740521,0.7156938927112688,1.057465911148452,1.056383863432091,1.0569949575018185,1.056802823486148,0.7230948472351943,0.7168177727335556,0.7165718801750827,1.0125876896779342,1.2427070987355513,0.7640276828658981,0.6572375379547395,0.7711288569728305,0.7024753491386042,0.7370757926168625,0.695282914855577,0.7317386278189983,0.8827350872633679,0.93510296214601,0.616842497451173,0.5341593659438114,0.5454185487734504,,1.315395829272822,0.5815150484753147,1.0801355330455957,0.7592614894544051,1.1937564215420755,0.6111788634884042,0.5886739580395113,0.5736503871070973,0.5074749840130477,0.4781626835358082,0.4827669668246991,0.4773899286382182,0.47990960737817834,0.4803620178237795,0.4825508270982515,0.48296724317342943,0.6211933735641211,1.1071637880454643,0.9639067167051814,0.6819974431573177,0.6805125645525266,0.6964768970083157,0.6689700234045788,0.7055740186617284,0.6728159776510162,0.6715241199227522,0.7029874524843283,0.6994307936414393,0.6936756916814032,0.6630160773037144,0.6848254033918064,0.7123280914838972,0.8190146252520298,0.814996648186591,1.0536453907454932,1.0578873499844552,1.0546574072554924,1.0592987380155856,1.0580311154747766,1.0575090397230977,0.7180623679617084,0.7183307917789603,0.7183973551080721,0.7661618122667173,0.6533292797365221,0.7689429044361373,0.7037190598649955,0.7370978165459001,0.7006057540147224,0.7325190005359641,0.8841282296362832,0.9299913426662462
sklin2_skin_lesions,0.6262534375023491,0.5410459301397997,0.5717628460013902,0.601147662613301,0.0,0.9907754307415483,1.295242371196432,0.5724369277579128,1.0014994682466012,1.0668956863153256,0.8096791438701446,0.7838207329640745,0.739260607728084,0.7502294482399573,1.176735687417458,1.2082395392949874,0.6004875015879495,0.5827212380798213,0.5684840611084281,0.505320534839914,0.495177384047907,0.4953352393817256,0.49449132424763825,0.4966780029994105,0.49574870318382636,0.49584456012093725,0.4945439430482212,0.8295326249819961,0.6266842486453444,0.8255246743110998,1.0878797287788542,1.052658799483173,0.9496153105875047,0.6664059640357191,0.6705297840608866,0.6893880828861451,0.6614114089196445,0.6941809859839851,0.6607273652650661,0.6579352351277872,0.69817005180212,0.6853634287869013,0.6791322385054659,0.6564731246012464,0.6800260436937614,0.7057359662003642,0.8152295737679764,0.8630372915517185,0.8067159625060161,1.0282359093878242,1.0354646420179445,0.7866315415111844,0.7078039271765738,1.0372202313130563,1.036491373165745,1.0367915792061886,1.0368393041786692,0.7009593292426919,0.6918361238716593,0.6917546199814273,0.9870709907246416,1.224479549781289,0.7710205955109426,0.6518830759396649,0.7724612167693665,0.7042049819355549,0.7441992881194249,0.7005427241589317,0.7339867415290167,0.8757791037092864,0.9147252008931978,0.629775532336906,0.5558937060355718,0.5693988496694499,0.5959599504051722,1.2982894262691744,0.5725001013747758,1.057135897805844,0.7428649695501094,1.1775879519389671,0.603740022651614,0.5828549384828254,0.5676749067456228,0.5073184630493567,0.494265079393266,0.49931634298818794,0.493760478465574,0.49650461764430154,0.4969479490358117,0.49895106115540633,0.4994402331756278,0.6234405845942144,1.0865948309768918,0.9479421817967973,0.6724380273050936,0.6710861641620315,0.6879489366177534,0.6589141621856299,0.6969908221773234,0.6627650626914788,0.6607364664398726,0.6935926184356196,0.6909850235797529,0.6843652480413279,0.6522401049553102,0.6763696274315717,0.7042749068791366,0.8130773577672178,0.8091202132292542,1.02084968565879,1.0377982160915151,1.0346506960188755,1.0391351089313465,1.0376542941588822,1.037591060181169,0.6960007633198549,0.6932613345984503,0.6936623727856108,0.7734010158187673,0.6477020682146528,0.7704049298893522,0.7052372670813096,0.7441346525688061,0.7059690535907578,0.7347849200342291,0.8770058391345339,0.909365694595745
identify_nbi_infframes,0.632364914567642,0.5426613869971398,0.572410300837321,0.5996562939844374,0.8262409268978498,0.0,1.2905505180858556,0.5807277904608271,0.998036173653669,1.061948721491622,0.8106885422048137,0.7832399743147388,0.7409401079402209,0.7514977235023967,1.1800161846558335,1.208071154961411,0.6091611314176701,0.5902202863676896,0.5734752064489064,0.5094123343901338,0.49532983830588606,0.4955765284718289,0.4945330803793276,0.4966332611705249,0.49588748207390865,0.49602128539483115,0.494998254084799,0.8485647254693429,0.6198553328655194,0.8323119687818512,1.0945947637724744,1.07319332450701,0.9541643320475981,0.669998796460492,0.6726670233834766,0.6905300746715031,0.6653972765355916,0.695086844528857,0.6642878055511239,0.6618808404035229,0.6991317646715753,0.686948634158206,0.6809083882811505,0.6609181037787564,0.6821656194563332,0.7060271198777089,0.8120999735990486,0.8804443051850985,0.8041003554320091,1.0490323847269583,1.0425390164387132,0.7906221706611963,0.7099687265593191,1.0443603505458687,1.0434027463901274,1.0437145551693787,1.0438035393881404,0.7151806835150998,0.7063031467216021,0.7060872543587844,0.9913500323490065,1.2315940497556765,0.7632579891530346,0.6522894205337577,0.7660900772115247,0.7049007043077831,0.7343954361272871,0.6915238700823583,0.7276151476917285,0.8777135315526298,0.9210053954884112,0.6360040999404675,0.5560443526839813,0.5701020031958011,0.5947173039200275,1.2935696426559384,0.5806863569211271,1.0523749616738918,0.7444905521786207,1.180930694707102,0.6124270702388201,0.5904086946332725,0.5726901082904501,0.5112717351196685,0.49450867458417996,0.4993350670900402,0.4937338992597833,0.49681706069097636,0.49721457936667324,0.4991161381753624,0.499343223922486,0.6165544650994118,1.093066942523712,0.9524486120607123,0.6759676481489143,0.6731245100992974,0.6892315952629129,0.6629706594203675,0.6980013958056015,0.6663060070105087,0.6651366367649286,0.6949190675636274,0.6923442873981203,0.6860099136887092,0.6571280936991428,0.6784622419472803,0.7048274773765104,0.8100436083014093,0.8065314717390438,1.0416823701163156,1.0448204180064744,1.0417175061373605,1.0459608630802253,1.0448111562774296,1.0445356980662224,0.7104735702566013,0.7078479450319468,0.7081814667221111,0.7655196449263925,0.648552337195707,0.7639323213238399,0.7061309682359875,0.7345683176696919,0.6969730062109711,0.7286264162631593,0.8791077456013539,0.9155389067902571
laryngeal_tissues,0.6549476747469173,0.5655607170539207,0.5943872937321515,0.6204889748510354,0.8399156877918771,0.9971915198350533,0.0,0.5954000053319126,0.9904854256037333,1.0515639053414265,0.7994249461472769,0.7757697333917393,0.7294059332282147,0.7407444625334851,1.1681751457258498,1.1977691000164545,0.6324459617514883,0.61312952188273,0.5911333097650016,0.5327957879867563,0.5211078730677342,0.5212794269738216,0.5203328923962351,0.5223762518635927,0.5216185553924386,0.5216836255863491,0.520682021486424,0.8588874705844012,0.6372296052540735,0.8503382224711901,1.091430981743901,1.0836728547986823,0.9558861187711738,0.6891252503878932,0.6919735648103879,0.7092507304779944,0.6847343964268662,0.7135254174350665,0.6834258119248179,0.6811181566490702,0.7177664581275596,0.7059001742380258,0.6999330886904218,0.6801894655114283,0.7002237022043674,0.7245108592509059,0.8331265689153612,0.898054279799908,0.8252537138189675,1.0582450456364694,1.0491273225088522,0.8098297172346184,0.7172362260264004,1.0510593881134587,1.0498699245359593,1.0501758069573977,1.0504719355819576,0.7220998479349161,0.7132616705248407,0.7134652416079502,1.0029651358724494,1.234845853257046,0.7758277024279762,0.667808772346815,0.7812797244705713,0.7132328211523984,0.7479884372511685,0.7000043883238145,0.7424102849512318,0.8850700256918798,0.9336838332217053,0.658768635007654,0.5803796509999606,0.5920854106118174,0.6155434785739452,,0.5953512867918831,1.0421066595822879,0.7330734694120488,1.169225328380818,0.6356758490677132,0.6138033107083218,0.5898483001062209,0.5349617583319579,0.5202180499307776,0.5251803100251501,0.5197104303419678,0.5225271687425568,0.522921571765213,0.5246774702964978,0.5250457261984317,0.6343779656841053,1.089582994350716,0.954373690503062,0.6948505331551288,0.6924212257208086,0.7079111978640351,0.6822750222692034,0.7166087258123499,0.6854722516434375,0.6843058133645148,0.7136194997803673,0.7109291316506606,0.7048230338564705,0.6763859624070226,0.6963177568378008,0.7232318581511289,0.8311306224624923,0.827522122307356,1.0507843046643743,1.051580150424634,1.0483142572694053,1.05244326118245,1.051229503716202,1.0510798874665594,0.7173512051067978,0.7144751262605068,0.7154913536259505,0.7782123749414384,0.6636704722033132,0.7790420177691573,0.714324252494671,0.7484942924781959,0.7056855564523978,0.7434762699372339,0.8865446367366723,0.928371724214519
nerthus_bowel_cleansing_quality,0.6250906757962269,0.5374342627030664,0.5670952013089858,0.5963603306119968,0.8260057709595877,0.9946035100088828,1.3129046163912486,0.0,1.0099617202952975,1.073711554423086,0.8147615030650286,0.7885015648147964,0.7456541775458658,0.757506727435438,1.1848211235279502,1.2166438006783558,0.5955528907448062,0.572196809721303,0.5548549626611556,0.49324000687978675,0.4873995312335414,0.48749238430564606,0.48633929085512895,0.4886378298084093,0.48786470611616556,0.4879985056410619,0.48675340848226495,0.8481276197975999,0.6164320141972065,0.8434712263491889,1.100714269512021,1.0817175795714304,0.9516590497061181,0.6682461338610777,0.6699047077376383,0.6883869239720787,0.6631307356891711,0.692555105710951,0.6619267306354785,0.6591891457877906,0.6969106219449615,0.6856013426940994,0.6788093759703605,0.6585997660598761,0.6806165463563596,0.7044712268000859,0.8221175038995355,0.8849351695765968,0.813707396278503,1.052554141970088,1.045576397893483,0.7933472751426232,0.7054539742132458,1.0472393270607112,1.046142042781007,1.0468958486276694,1.0467591431666696,0.7054473974245005,0.6959099799007509,0.6955597878815036,1.0037031964088698,1.2334137373634566,0.765984191056029,0.6469197315089686,0.7631620949777128,0.7013596516386297,0.7355919329516118,0.6916899219716918,0.7246713294970308,0.8900061394174994,0.9238456296524623,0.6286415643109292,0.5520447063586723,0.5645810303207279,0.5909888085623669,1.316067942695987,,1.0640294396478085,0.7493241140630772,1.185581409386606,0.5984823810564985,0.5728885214098056,0.5543195512057367,0.4951180792929362,0.4861997754243244,0.4912152970831124,0.4858054122479986,0.4882096196911257,0.48903215404432426,0.490922723809349,0.4913558960835499,0.6132869955352119,1.0994382388898893,0.949965272184865,0.6741748775110136,0.6706999113759031,0.6871231465769808,0.6611052281771255,0.6950456853209515,0.6639401252242192,0.6621101373897508,0.6928456694063257,0.6912311587619485,0.6841144985871015,0.6545819134878299,0.6769820319090876,0.7031174631555228,0.8199420887382513,0.8162347869398319,1.0450203338080888,1.0477981954622104,1.0446478386262343,1.048934614638301,1.0478832431127623,1.0473203427520095,0.7005903432763142,0.6978375277979127,0.6971598486774135,0.7684818720743704,0.6428933627988671,0.761250373070024,0.7026847318229386,0.7355067159002766,0.6971636875384745,0.7253242429004644,0.8915301726893246,0.9182783402137108
stanford_dogs_image_categorization,0.6370518203503523,0.5451236938469957,0.5752364798991307,0.5980891812330228,0.8316455980024628,1.0045287909952745,1.3023900077427046,0.5854849570558789,0.0,1.068871367946288,0.7965172671397307,0.7710237685048831,0.7268377927361285,0.7417613213340689,1.1708301839148811,1.199493688034252,0.6208379586902165,0.6012690311108626,0.5793555463754715,0.5156782950119957,0.5057566527978592,0.5058518840192907,0.5048220307492293,0.5071467154137697,0.5061651296085524,0.506497485950775,0.505091553721264,0.8511883789658462,0.6324267509860472,0.8371333812586286,1.0948217126721713,1.070704636379046,0.947462226278269,0.6765108261474984,0.6800921586834284,0.6979711344281709,0.6717103530327717,0.7024507628993006,0.6708778406695128,0.6685453746506492,0.7065313297321957,0.6943460138654709,0.6883943362176717,0.6676669085385049,0.6900564907512474,0.713954135512892,0.8196648498524154,0.8868846732913777,0.8117345424441662,1.0553981267424406,1.0352058496391603,0.7899433539382805,0.711038100156061,1.0370346737197327,1.0360091622577274,1.0362986248426898,1.0365483459052274,0.7170562300314005,0.7084163515416527,0.7084406787457229,1.0020408844909092,1.222519792731317,0.7639253639176129,0.657322202149836,0.7694813754624235,0.7038679240665089,0.7345951592970389,0.6942791887814782,0.7280612929618027,0.8829340683650929,0.9168203853260155,0.6407033473071939,0.558621150858255,0.5725896143183172,0.5933774525037043,1.305359085612909,0.5855705695326924,1.0589614207657034,0.7306734164389063,1.1716158494420492,0.6242390597965469,0.6017768280594177,0.5782225699281839,0.5176056004210612,0.505133162363289,0.5098562214796553,0.5042797056227742,0.5069478376785306,0.5072333675010708,0.5097176538399899,0.5101020828614629,0.628805810335512,1.0933127093963075,0.9460634369938734,0.68235516542389,0.6806079455850034,0.6967692523971075,0.6691745002633378,0.7056079471103466,0.6730722117760493,0.6715718478404532,0.7027439982151727,0.6996170192535874,0.693437263273706,0.6632964225857092,0.6859953940170195,0.7126116227019248,0.8175685692188709,0.8140321468124977,1.0480030115587229,1.0375344945416887,1.034395421619054,1.0386489342444896,1.0373620603329246,1.0371574556999026,0.712289965296179,0.7098990752919156,0.7104242859823368,0.7659626872443133,0.6533634240317518,0.7673643523254953,0.7048758771711737,0.7347153687461301,0.6998058703744001,0.7291010946914969,0.8842216338495658,0.9118533620444632
svhn,0.6730855403914444,0.5804629288720314,0.6088701537202652,0.6327431716516465,0.8596847260821897,1.0178482577446004,1.2781346352957899,0.6068666370621869,1.0008656657555886,0.0,0.801796801548422,0.7791504578517627,0.7210773529504111,0.7343115481267148,1.143742702895663,1.1730356674958922,0.6492607237867702,0.6302720790759231,0.6037947727165078,0.5452625886735939,0.5362239234112531,0.5363686394080892,0.5352855053961748,0.5374941768957833,0.5365737620888632,0.5366950882540937,0.5357222641679077,0.8806337642797262,0.6502649266366208,0.8688515747598515,1.0904258171100287,1.1052250355371234,0.9622870324268826,0.6975479263308515,0.6995543873768404,0.716710835643587,0.6928931992214347,0.7207575735106513,0.6915886260406527,0.6893357352217405,0.7250195343749286,0.7134985638339216,0.7076931464008914,0.6886659975779632,0.7084787413050642,0.7319897679579779,0.8419441731746503,0.9192774929837458,0.8340204294473123,1.0799191656086227,1.063686647628799,0.8187714219453608,0.7198142694374843,1.0654674821631374,1.0644161251141524,1.064737189187424,1.0648580675200097,0.7313730515288146,0.7223458110110206,0.7227319064767832,1.0181095540922676,1.2454256584786294,0.7815772359111188,0.6765437213175418,0.7886289712502621,0.7197394929728276,0.7547437111661914,0.7048921398351711,0.7482100149408277,0.9032928611724467,0.9480400381629733,0.6769785670286391,0.595518501423859,0.6062860915733618,0.6275940504561293,1.2812909114199482,0.606952386648754,,0.7249603670002236,1.1447768717879883,0.6523844366527194,0.6309353216216845,0.6026876681613376,0.5473455227270491,0.5351880180112499,0.5402696347401312,0.5347823954655906,0.5372524810285803,0.5377053694129583,0.5398350898689419,0.5401466875192071,0.6469972166586885,1.088279831961849,0.9608527857813145,0.7030821269209535,0.70006088874332,0.7153039438554148,0.690717366754002,0.7240989650448261,0.6940274768610086,0.6922065910335238,0.7211272774563704,0.7186632921140294,0.7127232903813141,0.6850828374918377,0.7046492360257183,0.7305698197351587,0.8400060430005273,0.8361718513738309,1.072409936172419,1.0661097420045367,1.0628926967185874,1.0668944760473695,1.0657299290222932,1.0654945342047075,0.7267073666668109,0.7233003938344663,0.724768592931306,0.7840526431191372,0.672505873111701,0.7866520426788195,0.7208688744398226,0.7552086475722484,0.7108318848332289,0.7490667897927692,0.9046715964692964,0.9427805596647377
