,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.40701643747796484,0.41064997361475136,0.5414364122948533,0.9745572250124476,1.0136030246861802,2.0471295505277523,0.6127477891452878,1.147566685700837,1.7548079034739217,0.8860088060190803,0.8052289718808315,0.9333042420817536,0.8844173381208704,2.2165273423720286,2.2535288129007127,0.5068999192740503,0.4893977467040347,0.5881731575499405,0.44233924317276824,0.33771738556834496,0.3400413129917596,0.33746966160151565,0.33889392651151473,0.33944566032667506,0.33931218502879956,0.33877831433817424,0.9694721144053603,0.6856675000610886,1.0193145779600334,1.597070143924197,1.336489830179134,1.5424301914563747,0.8510753042139576,0.8607586770884273,0.9052034897370153,0.8414438393146133,0.9135854744069943,0.840381384520606,0.8334741666503752,0.9216888058538768,0.8954472767504064,0.8778668861939387,0.8290666931534121,0.8698465651563393,0.9400783613885466,1.1856598067475619,1.0967669065913013,1.1736157561851948,1.3116830549225496,1.6681842021271163,1.2071028950745726,0.9710947452052051,1.6770102290445117,1.6734007240115223,1.6755171183241615,1.6774341943827586,0.9323567156105091,0.9073014921790257,0.9034768364190173,1.481718050329986,2.1892651158266445,1.0804093176965635,0.8069227896259912,1.0125997645052651,0.9884065971698246,0.9857400577977548,0.9679688799798337,0.9971800315339615,1.2425630249782555,1.3302033799080692,,0.43418554128442327,0.41746078786128044,0.5321962542669916,2.060154104949608,0.6100582103265242,1.7382018775667902,0.9477361504737164,2.2074582987503204,0.5128305775297518,0.4852826174871614,0.5894930622844401,0.44661228538691805,0.33407750773028316,0.3442663354577148,0.33931607621192716,0.344096818578002,0.3461125163411608,0.3416866025627905,0.34115891263957615,0.6927092111155212,1.5957304188419703,1.5400955623242383,0.8671506031261969,0.8656383132838242,0.8997354472570188,0.8472325711398389,0.9129462738978551,0.8433361286753112,0.8347509191838753,0.9162316606360943,0.9116749938693297,0.8890143845973726,0.822026088125533,0.8623087465317447,0.9397959793081795,1.178912891769947,1.1809887141682334,1.2974286674643005,1.6774854649256576,1.6714922297066406,1.6848620922802726,1.6771674649125652,1.6775210302495094,0.9180400303253119,0.9093710877372032,0.9070930814588002,1.0908583307507969,0.7968428863190414,1.0104923822964587,0.99325267417837,0.9914362015047871,0.9793734504616235,0.9943107736079385,1.2454687885447058,1.3251991501132105
lapgyn4_surgical_actions,0.4843173216381901,0.0,0.4001092442687473,0.5085910597490423,1.0420984979119572,1.0708907652437585,2.0906354770636484,0.6511873200920196,1.148257758377381,1.7348979450531221,0.8693252756625869,0.7899167158776416,0.9166465036768711,0.8800648912545184,2.1418781740998094,2.184263183610911,0.5505008592295547,0.5443039056056369,0.6255959530193962,0.4635283676313763,0.33838069270463955,0.34064399592123723,0.3377308377786204,0.3394340530876722,0.33980391683062117,0.33982713873291415,0.3393068390849547,1.0125923939035506,0.6724426530518905,1.0749399742425716,1.6618106232976826,1.4356802760602438,1.539787243106797,0.8530224209779564,0.8597236977618213,0.8998139710983917,0.8440745924056198,0.9083091955379844,0.8414954512136719,0.8355102881840951,0.9185459635881744,0.8914959162790769,0.8752932751319751,0.832209809565913,0.8694473387022917,0.9316145619633337,1.1782114306766995,1.1541907462873757,1.166893905829469,1.3995441184287467,1.7277076335837724,1.1840580904622817,0.9389396397435071,1.7363957621507031,1.7322470121621572,1.7352464769057205,1.7357438559921534,0.9576722655049822,0.9462020638497326,0.9437661639464592,1.452898333135382,2.2301633320003575,1.0400266227284234,0.8053322735658739,1.0041448661297296,0.9670084411427604,0.9476296268684173,0.9344115162441243,0.9729685621914641,1.2318741083114193,1.374194568285082,0.4870761848337522,,0.4062854545134001,0.5010745195615621,2.102398091877118,0.6498301977749744,1.7193469181161873,0.9303233154550434,2.132984330172931,0.5578845867780472,0.5387507125251378,0.6267129420487505,0.46808189352066776,0.3352172511304833,0.34483375833535673,0.33951158566890566,0.3437381833962495,0.3447248409588748,0.34247593244713403,0.34197382804809134,0.6768825457207532,1.6590254116578764,1.5382778061963314,0.8673188704692211,0.863688466956385,0.8933933024230729,0.8485346112863055,0.9090691802778641,0.844414937626286,0.8383199363192405,0.9107438050116496,0.9056113547034719,0.887054218460136,0.8247742264993531,0.8610946938258051,0.9308102128751581,1.1720782337016133,1.1750243487609549,1.3836886972528442,1.7363318369652452,1.7299132517964004,1.7436006364468792,1.7370659304853335,1.7370891001785371,0.9433020443707634,0.9476081632211348,0.9474261442250181,1.049374912479361,0.7949855599539061,1.000088717021124,0.9726672963509594,0.9536687101175663,0.9461635737548548,0.9706102617422564,1.2352030650008365,1.3680738592390091
lapgyn4_instrument_count,0.49344263960813134,0.4020581807737563,0.0,0.5103479904032907,1.0302794715023191,1.0929278870182433,2.096395942096183,0.655652862672258,1.1511434627694983,1.7395298812022315,0.8686234413751295,0.7904735094796731,0.9183926967333139,0.8807064094370531,2.137495110313576,2.1828805019585937,0.5534334509498412,0.5477578519669198,0.6362410795878591,0.478857971730162,0.33277987251400204,0.3350148590769701,0.33203766850960087,0.33373615495307835,0.3343358159375543,0.3342273657550874,0.3336161053688393,1.013957039408182,0.6977465713064819,1.10026955725995,1.6537289106758826,1.4189368247293583,1.559093275930141,0.8682775908324383,0.8790277015785349,0.9213724241992386,0.8591894762455529,0.930371980083544,0.8573035884010959,0.8513251448810164,0.9401758199457969,0.9110862296719301,0.8949010464490708,0.847486830566624,0.8873094565500061,0.9552369371374968,1.1958180040678061,1.1653891580880447,1.1852762446913143,1.41285057011624,1.72269551969032,1.202179265391841,0.9583928853563961,1.7308098128996607,1.726903862901635,1.729374218777542,1.7301300925057583,0.9677256249190404,0.9593051732598815,0.957757938793511,1.4840379917506117,2.2195882634980926,1.05040022959421,0.8188969858044316,1.0206777488138055,0.9785391540307972,0.9631227112507897,0.9509725160100762,0.9937161343710637,1.2502233443748598,1.3804629643214428,0.49632328428326467,0.4237331784326375,,0.5032036825885872,2.107800095135505,0.6548244854155748,1.7244306227566708,0.9314771007107605,2.129262887372852,0.5614154699717842,0.5417122105556965,0.6375040188036175,0.4837361111286716,0.3294096218920235,0.3392612016948203,0.33420169882919487,0.33794654192162166,0.3396066840311455,0.33691459019056447,0.3357597982313002,0.7023566202767232,1.6507705992455088,1.5574337780347398,0.884071749876055,0.8835896793993283,0.914162952940525,0.8642768680606581,0.9313149493483928,0.8611833172149185,0.854466837234194,0.9329399088006968,0.9268741264524073,0.9065773377773181,0.8396186020113067,0.8795011531489664,0.9538452935623911,1.1901349668484744,1.1936355929468525,1.3965243135408865,1.7312717664390571,1.7247219511349086,1.7380217290290771,1.7318531329997484,1.7312946408339573,0.9534313706051475,0.9589853118535419,0.9622545395643677,1.0606789934963543,0.8081157429195738,1.016751992085896,0.9847745732406241,0.9689512865076371,0.9617417265289848,0.9911965208110359,1.2540979871489673,1.3757028227438297
lapgyn4_anatomical_actions,0.4937939113382081,0.3863747747462702,0.3852792410901139,0.0,1.0629807222097007,1.1085245491036253,2.102506434754012,0.6841420183358459,1.146411088254833,1.749932578004397,0.8631007401380137,0.7862310375174058,0.9204512430985379,0.8901226486492495,2.123323143099509,2.173262350730261,0.5863004201861928,0.5844668707093537,0.6623850699546923,0.49672292619267383,0.3366860464748467,0.3389928147844532,0.33582407100890743,0.33760288203145755,0.3380441066300408,0.33816592157594305,0.33746912787059696,1.0333891618768547,0.6940922538403086,1.1307024792746163,1.7109903745918644,1.4560542736389377,1.5695861139321992,0.8767270054467083,0.8870067625680828,0.9263573254883707,0.8687005013102845,0.9352152545255575,0.8658392713419567,0.8613916759197487,0.9460263420378096,0.9156406078250627,0.9013499766413196,0.8570319523589686,0.894032582669698,0.9574325923148669,1.1918629572231447,1.186579746608539,1.181964830770939,1.4440618891989088,1.758361668680812,1.1900163409726734,0.9593156934458106,1.7665366186862752,1.7621383384774458,1.764928929635189,1.7654509726221292,0.9931895610647745,0.9902356255981559,0.9889557164992335,1.4851709968925653,2.2435350485320593,1.037220085191476,0.8292374059010977,1.0271296622442156,0.9715814616964024,0.9555538587232134,0.9396458227514534,0.9894333946542758,1.2349422349715267,1.4150271083123769,0.49694089065484637,0.4065741494781063,0.39242288351926974,,2.1128460293997997,0.6834764871057474,1.7376745926191142,0.9339205180009456,2.115176648875701,0.5946787814881573,0.5776952420215565,0.6634271710816245,0.5016566700250253,0.33387487209950467,0.3436384102010922,0.3383449634255368,0.34199613778509863,0.34241142701197136,0.3410071796535109,0.3399856297552707,0.6979311629017502,1.707014846981907,1.568450463819939,0.8914368712745164,0.8909670359829843,0.9184874735318979,0.8722433135205884,0.9365937739881711,0.8692709149130329,0.864521519468008,0.9390293718035843,0.9296992564637013,0.913261081639784,0.8499866219370708,0.8854064436463824,0.9558679303324447,1.186712434055171,1.190117165662199,1.4273337428440744,1.766019970997668,1.7598183218670982,1.7731773017799235,1.7672015729358252,1.7670168734223237,0.9784496796351535,0.9900666223456352,0.9926772170098404,1.046332060948564,0.8185503011798455,1.0224011325071225,0.9779189454187851,0.9621821289651474,0.9505069957277089,0.9880992780309552,1.2393774067154442,1.4097784372066522
sklin2_skin_lesions,0.5865175323618186,0.5349954687054082,0.5407758039392473,0.7190729655986795,0.0,1.033613607222821,1.8457461719335986,0.5799335053433574,1.1050325363117397,1.5321339272177688,0.7920754036275199,0.7362573095906892,0.810607015417237,0.7562449695624327,2.0209928429260873,2.068047841335144,0.4910227604605677,0.47973686181688074,0.5792626421324373,0.468814195709597,0.4341470807863357,0.4359885063424651,0.4349192749325448,0.4355521923058397,0.43573284381147065,0.4353473892702698,0.4338482489746181,0.6868265896715632,0.7118957616064976,0.8527829764247254,1.4449420560708581,1.0515919360253885,1.403976789927012,0.7718277310004352,0.7887109613205001,0.8358424277604829,0.7618552787285788,0.8481773018514277,0.7603392575641312,0.7564650019305017,0.8534916897957335,0.8254557898564715,0.804877184307675,0.7453374141890774,0.8026429002483738,0.8774656441274852,1.1325323202488902,0.7622557615151558,1.124259235304977,0.9797427392263952,1.4580935833720599,1.1452438239273108,0.8771518544485262,1.4652441881029985,1.462352374509653,1.4595760407951044,1.468277803165784,0.7530947682565234,0.7209781999563933,0.724132902762282,1.253444554507609,1.9877308518785797,1.1105300137664178,0.7773446793945394,1.0247421196764483,1.0040820851510817,1.0256832507290317,1.0068203650389516,1.0093040201576418,1.1524367410798664,1.1413242521207045,0.591070891177626,0.5694647069233789,0.5491324553216219,0.7055336600906978,1.8584861266125,0.5786728596101363,1.514826290028531,0.8190403927625851,2.0114218629495784,0.4957714742703865,0.4734768662805276,0.5788769395406593,0.4760195967519299,0.42633848809108604,0.4414913267584549,0.435010738020177,0.4399774500399452,0.44362377658840985,0.4394515525821037,0.4349493077625862,0.7222465212188954,1.448078091032846,1.4021607271111711,0.7901202520602014,0.7956935390466562,0.8332632885840489,0.7642003778647918,0.8467549392645797,0.7673324655400886,0.7555230393201591,0.8454719956933205,0.843781492664858,0.8147516327148012,0.7356936590652131,0.7980884278827162,0.8769106616075232,1.1294594862592449,1.1313139500707352,0.9696563762519131,1.4712552902402607,1.462339794252216,1.4721854007255506,1.4609840583366986,1.4667092760787603,0.7384182583927386,0.7201879578467247,0.7271413197642453,1.1251441127353445,0.7658343362406619,1.0218472776386098,1.0076175409878028,1.0284522492470798,1.0189284639714944,1.0023579271397611,1.1529450690273808,1.136569018969971
identify_nbi_infframes,0.6270500201396736,0.551774872990103,0.5446353988386501,0.713634803045266,0.9156179814890335,0.0,1.6838473530582272,0.6669168924800984,1.1077971570930647,1.4568662315135805,0.8488827016649491,0.7646709741000587,0.8568464915425186,0.7905500249860965,2.0863705338156757,2.0991683232212406,0.5557845730743712,0.5338563825791163,0.6379846647092283,0.507288901501968,0.41604574427208785,0.41907004963764616,0.41607625827179207,0.4173684730169103,0.41992403170238346,0.4187846231550192,0.42053269498973306,0.8746237319006028,0.623920139715743,0.8663952716976348,1.49327947872546,1.2939677792928226,1.4965186798190642,0.8351177606481648,0.835308494440628,0.8761457682958944,0.8281297688374439,0.886037430181331,0.8235552286224623,0.8187568510711879,0.8911508582420704,0.8699326901410033,0.8516909129558463,0.8124515520090407,0.849172385614882,0.9040466484913854,1.1097536163893391,0.947617107886458,1.106308806663666,1.183775374578156,1.6087900320666102,1.2332318375248141,0.9147888816010734,1.6146230656760823,1.6106907673926871,1.610875262617243,1.6162299499979975,0.9312849616258742,0.9006669548852811,0.9011022938806398,1.2673324035151885,2.141387570182953,1.0889850734188902,0.8098752022221138,1.0042272640618717,1.0589173558728475,0.98140756722307,0.9785356602802101,0.9869717258526098,1.1907143324388505,1.2577129129712132,0.6313316120759201,0.5726483086788873,0.5553241854662226,0.7061373394613653,1.6902506195876223,0.6600905822278348,1.4429922528782824,0.8692031288019092,2.0792434609374233,0.5614386949822232,0.5243599742576509,0.635444690857101,0.5128982105650667,0.41099668459339056,0.42183397765859,0.41845040209962897,0.4253396324619929,0.42905404330762575,0.4207443715397714,0.4133864785381113,0.6348306948343194,1.4928373395223042,1.48966595783164,0.8534843584289078,0.8422267309469377,0.871848762051333,0.8365197351646899,0.8825619566495527,0.827142222084828,0.8219755444645174,0.8868006623377007,0.8872668087347971,0.8589206073326554,0.807890092764557,0.8416348164969641,0.9090088268881207,1.1050927444972283,1.114572184959556,1.176093067056969,1.6201307642161968,1.6126376959314526,1.6213065129884845,1.615509653086401,1.617141971577814,0.917962022197577,0.902365743971152,0.904914770413649,1.0993410890993114,0.8012659929934745,0.9997997071945458,1.0641772248650918,0.987108534841162,0.9884502220476348,0.9851523694620626,1.1938765384558125,1.2507117420476315
laryngeal_tissues,0.930871259209656,0.8599036063343646,0.8472890738659953,1.0155269983751494,1.0558977248512,0.9900559184725524,0.0,0.8820507512020526,1.0286684194469948,1.1575015301497182,0.7258752445149976,0.685354576984973,0.6773639499896884,0.6189526183801826,1.915250087427389,1.9435097503060037,0.8561650944420232,0.8303989398752386,0.8812293474655828,0.8142306520327087,0.748806809221722,0.75438982957827,0.7507833288831451,0.7500572318962014,0.7532566680938423,0.7542374768171514,0.7558546224513252,0.9645226505342226,0.8408010129442474,1.1131447636913259,1.4975982879363925,1.3647242722231758,1.5522340518399163,1.1276494154856807,1.1351224557903954,1.1662444123010256,1.122871475249239,1.1769049676260697,1.115040160298948,1.1167828173515937,1.180728897386934,1.1615238595082131,1.1456607676844655,1.1059694958932749,1.1280360066336204,1.1924924866489566,1.4240579245559346,1.1305667449127235,1.4233254302909715,1.2215903767225658,1.6711378618165373,1.527764836344821,1.0150986590516813,1.6780060039625257,1.6731916096379982,1.6689603769015378,1.6790630233246213,1.0645956019714868,1.0239642087940584,1.034456714355279,1.396081228602935,2.1585483335261624,1.2567628870588017,1.0391311342102063,1.2314918875833691,1.1872273135262046,1.1679456103052097,1.120787379473993,1.1816059979865015,1.3136776206704492,1.4415803295244207,0.9395787581875211,0.9000586176694383,0.8603385337840969,1.0069829430321446,,0.8737090301807204,1.1465524009634669,0.6846196663670394,1.9100602257585984,0.8605595273653452,0.8243061598522561,0.8734279911600404,0.8323415875906615,0.7448141774904119,0.7546432446992792,0.7557643058016624,0.760385610854109,0.7653786079041687,0.7533495187911341,0.7462759777566577,0.8621560480386692,1.4937350686318118,1.5500253821103585,1.1457190014699556,1.1418545967191214,1.1634589595978981,1.1323967897177227,1.1720433113982618,1.1229310068278724,1.1126234754941255,1.178622160796363,1.1795700331986516,1.1497955879128727,1.0992894515295673,1.1172154812178017,1.1992927811458334,1.4186471550706377,1.4295946145490572,1.2153397752502089,1.6832261389932675,1.6747334766869526,1.6815450221820307,1.6757187056400353,1.679640497095076,1.0479735518985283,1.0248962955663474,1.0374808225258518,1.26714322166393,1.0279312545005705,1.228233377255092,1.1883467409151203,1.1799841799009423,1.1340329479126843,1.1788081655595029,1.315993893365511,1.437127648646758
nerthus_bowel_cleansing_quality,0.6086403970049907,0.5199504914911809,0.5265045733556886,0.6815941656726151,0.9548617533293182,1.122371766376808,2.0751264608206514,0.0,1.1509908732939298,1.5914870098072758,0.826723902378078,0.7627216304081145,0.8510779199229133,0.8115363568328599,2.07028347530836,2.1189681653749393,0.4818502836396229,0.4452779964962166,0.48613358675768253,0.39706212304131944,0.4027596533859374,0.403142987121496,0.40045296177578243,0.4030594716681028,0.40323869440688453,0.4019554204264763,0.40274032982113206,0.9466554139670207,0.6267900912667644,1.0710999916663777,1.6021301058720645,1.4624726737298905,1.4316666433731877,0.8033962001794783,0.7994605130347607,0.8408285730541205,0.7926348995270575,0.8470702711811342,0.7866462570893168,0.7803774380400351,0.8571132399558858,0.840998262670593,0.8167988597123678,0.7798596985065067,0.8219821417703412,0.8763682365204989,1.2081377421812955,1.0713785469125319,1.1972638268085716,1.342671707164813,1.5983936621908668,1.2067693732101314,0.8476751968551626,1.6076618067116726,1.6001669144909203,1.6048069578998245,1.6081609678281192,0.8280631842546319,0.7988373732914608,0.7960056681725081,1.4186448930167779,2.1129314696829637,1.041440338827267,0.7392242531910665,0.9480579507117997,0.947263354025048,0.9336203553443684,0.906811167494238,0.9192643668650206,1.2988092853392192,1.2758929298078527,0.6115222917590858,0.5521500374715862,0.5321304476297589,0.6679394384260195,2.0871331984534565,,1.5701770750596746,0.8636210327133561,2.060939535902352,0.48584759732864935,0.44355071315027245,0.48725750950933583,0.4015120039015118,0.39398240542085367,0.408619346217306,0.40302467813631127,0.40640574548635766,0.40948626027560886,0.4069692988131189,0.403172812757771,0.6330196560895991,1.6038686173598817,1.4273229254185467,0.819368807864694,0.8047891720828767,0.8359756195261866,0.7974660716710805,0.8473471584086082,0.7900914494431562,0.781399125259001,0.8501653391799502,0.8568087314562387,0.8285706900907149,0.7712933432809338,0.8165646728538254,0.8758513430303038,1.2040567108518214,1.205405227158942,1.3287941348944734,1.6112121341878518,1.6019318523345643,1.6119163197931958,1.605419700506271,1.6066561002497017,0.8165870848559406,0.8036564713518739,0.797081063998066,1.0538933181698804,0.7280553332165495,0.945708297765786,0.95370233924296,0.9371208624050977,0.9188617532414283,0.9137858079250216,1.3019968359348144,1.268587733836602
stanford_dogs_image_categorization,0.6684932902664873,0.5638897512547368,0.5754805490165753,0.6765100729508684,0.978384099673571,1.1590044885325719,1.8953341020735905,0.6916843147174848,0.0,1.4879658629468089,0.6585103260742697,0.6230357554213143,0.6528691719709414,0.6519404867640125,1.88019980619179,1.8909116668481132,0.6645427268590289,0.6417361348761618,0.6707058734806325,0.5573900246785931,0.5103575800680903,0.511525669028345,0.5088530652297224,0.5115383538483758,0.510100017714636,0.5127934976841114,0.5129450969304165,0.9187848670434879,0.7492582552075637,0.9459392940832084,1.4786495724615065,1.2992659384489098,1.3566801584921064,0.8622951173182326,0.8764216127027924,0.91048562195006,0.857971921009311,0.9207744478894175,0.8520439881353222,0.8511036915510337,0.9264860263575976,0.903100406899336,0.8876914490599094,0.8496235902877033,0.8875736338159514,0.9437033561137259,1.13925889214492,1.040883136691077,1.133636447813789,1.3082698273557904,1.50951905979226,1.1635368355973714,0.8683216304352128,1.515580256564138,1.5127255235230814,1.511231490616285,1.5174210859857344,0.9179094425844881,0.8830381374884576,0.8868966829895513,1.363686009693401,1.991801720024125,0.9958760829754669,0.807867541133851,0.9828088492195105,0.955858924827465,0.9024609134663204,0.9085046311042492,0.9278707132955377,1.196033865847683,1.233414053398373,0.670489863377343,0.5814610543931532,0.5793129105376522,0.6682025394582892,1.9052618643668813,0.6890739624990255,1.468338252458426,0.663276676083869,1.8757428125906603,0.6713811968842109,0.6403814440722971,0.6679519314817901,0.5643361332381012,0.5069331032181271,0.5184874794177863,0.5136393877297635,0.5167956626170956,0.5173732756531503,0.5159260808977865,0.5104175654799575,0.7561787156637243,1.4773570009146757,1.3575402338833003,0.8780357151763768,0.8793545587426018,0.9093548858224244,0.8589816465997675,0.9226389515814513,0.8623281114002712,0.8513412992696736,0.9246799343410681,0.9181347685170321,0.8959417775581955,0.8379692951609836,0.8758361305521137,0.9441807071050501,1.1350089651416793,1.1425787519495685,1.2962764455914353,1.5168857684383434,1.5120722155899535,1.5208979276864343,1.511703404529962,1.517236134984829,0.9046141367381232,0.8858210183693245,0.8862636082278722,1.0066548037621932,0.7977105711161553,0.9807026322501935,0.9617849599156424,0.9088507901903509,0.9207873970317274,0.9259908522888849,1.1984609302304334,1.229686759949216
svhn,1.006624394980897,0.8693043413268915,0.8723843332717048,0.9952038951770664,1.21747335214593,1.2187167990907715,1.53175128790732,0.8694969832244781,1.0720527953502947,0.0,0.7224979543933394,0.683473290022491,0.5571712369855565,0.5321570089183181,1.4869141024421384,1.5414926843726955,0.902090304041271,0.8893517058282798,0.8794124543700627,0.7913030026574022,0.7638714893496307,0.7684854021355484,0.7618963837337466,0.764924571205056,0.765381177911906,0.7645405614675121,0.7690249038949795,1.1671010562785429,0.8558947061787,1.2135198943530434,1.4829518787845248,1.6451580783696522,1.5149968914182494,1.0104698794480582,1.0043469342662,1.0344710528536643,1.0017360247054823,1.0415225927546499,0.9949486478836871,0.9950812762999602,1.048388252325923,1.0319541234137664,1.0173111361932095,0.9897688166913859,1.0111606697844688,1.0608656409541708,1.336650323094896,1.327722101781966,1.333918448294102,1.4907753018527024,1.7734614842025382,1.4125039392222472,0.9527739516340431,1.7808939333585159,1.7728691303071813,1.7725474668121366,1.780011797215413,1.0794066269088307,1.033702619353916,1.0422166867304368,1.446905097680415,2.2343284315632053,1.1355686651654657,0.9314079111912357,1.1102640585561572,1.0740762534327508,1.0634392052524926,0.9884237948512358,1.0685099688541806,1.4035174786784748,1.5031033854249363,1.0152494462120132,0.9068953886236647,0.8788262909454353,0.9823373438421051,1.5400723744603093,0.8673071056227568,,0.5608408602371214,1.479479914419281,0.9083418124586281,0.8858082836651152,0.8733244772592981,0.8039653150400251,0.7563997088203174,0.7709245324248609,0.7675337640281022,0.7689693440272143,0.7744136543531338,0.7681228595585821,0.7627150763232812,0.8706291538690328,1.4786581155549379,1.5150289274814208,1.024133553468256,1.0093781478609911,1.0284551831399766,1.011700888352277,1.0426189639587822,1.0065773850720883,0.9919995783964235,1.0446393151362308,1.0496794292800735,1.0270448780148473,0.985596068496311,1.0024577720341754,1.0614228564866686,1.3320739033401963,1.3393636588047582,1.4811662117022786,1.7851086712695998,1.7773415577774572,1.7832180126234392,1.7755160599307536,1.7789934963284815,1.0616682044620929,1.0330453042784884,1.0442223525577483,1.1462172843426983,0.9188922137233908,1.109009667373568,1.0777800688067254,1.0735095103391954,1.0009938487047758,1.0648726050884427,1.4078724726563439,1.4991675696878695
