,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.16775437672929921,0.16531193576060388,0.2687780683028098,0.40313804877573695,0.41489545154563334,1.0753943840233857,0.3954924244297167,0.4814700578856631,0.8926773035221456,0.27709968548865394,0.2549270809877545,0.34664370856896587,0.35652677158775836,1.3135382629918861,1.3184660995201114,0.20729527956552296,0.18800826523390768,0.29196687944373995,0.20949259596025446,0.1314977130733623,0.13411651304333008,0.13245704870950034,0.1312589401099341,0.13251928769297616,0.13111933263641104,0.1328066036333485,0.38243917086032947,0.3402257659204093,0.45023719835532067,0.8551614528591817,0.663172685990412,1.151682971946202,0.5302342573011263,0.5218493559277176,0.5631544834704567,0.5232235679323836,0.5620712059965703,0.5142118074823694,0.5130438640309044,0.5684230135654155,0.5586530609292999,0.5342285661456934,0.5115725334223351,0.5257156110211576,0.576685105578442,0.9748880278870651,0.4556802115839924,0.9901559384764319,0.5662418149587345,1.2959160414971647,1.0456947640070953,0.5266730873300947,1.3200045958979367,1.3040864656038824,1.3177413857909548,1.3253877786458204,0.6266048685581459,0.6121344336678058,0.6176614010453908,0.8399090216455039,1.9715258816859216,0.7033883672756835,0.48015852539288834,0.6072198491402038,0.698380749152633,0.5864387157105693,0.553686293071417,0.6001794010621094,0.7612636761543126,0.9919714647648055,0.18445335647590463,0.1809777383343468,0.17422980145456077,0.26990947996202436,1.0861997123627354,0.3979088788864629,0.8773677167438577,0.3517341592951098,1.3126891130458833,0.2103373128292516,0.18545318617146728,0.29473486318908415,0.2107799769547559,0.1272960349260307,0.13541407500089944,0.13263187989290257,0.13926005062648772,0.13831736591879362,0.1351021044253506,0.13412757643195528,0.3558176518978099,0.8506183542802631,1.1397868163497056,0.5459228828809176,0.5274744445430086,0.5520864280181259,0.538093380948942,0.5578339896298855,0.5189980586172694,0.5081472282356803,0.5721458713959793,0.5731818313940981,0.5509039020148739,0.5103444204432084,0.5232263533492357,0.5919079999681265,0.9745959188924599,1.0077050907816356,0.5668581958268804,1.3025063169142357,1.3380598830925945,1.3143959649265549,1.3121856478282226,1.3082259020572766,0.6351583086798025,0.6163063606755768,0.6215006777995372,0.7031702974336546,0.4689312829436577,0.6100513570575103,0.7098994286047878,0.582549386350114,0.5614011862751477,0.5992525964242795,0.7616000720610957,0.9797330753077205
lapgyn4_surgical_actions,0.20572633878470306,0.0,0.16006003695702012,0.247457953261418,0.4197045301312735,0.43160441311779807,1.0883051560018073,0.3910649302402662,0.5029121003521939,0.8998150435227165,0.2918694767070076,0.26830151294632465,0.35708311124478126,0.36975695549235943,1.3160831481011526,1.323498627314169,0.22262660420451352,0.20186530639553443,0.2960176640389372,0.21276470393907068,0.12796248153440024,0.1304230504468949,0.1287939513812161,0.12776745610955031,0.12889767279308983,0.1275822673097508,0.1291874672144955,0.3968356749353589,0.33309364540572617,0.46335860198472884,0.8754426343540743,0.6874501482677228,1.1543078033725087,0.532385764126771,0.5227879190364694,0.563020586360321,0.5254970190657849,0.5619747501115162,0.5160268269967058,0.514814295198173,0.5694015729117924,0.5587297740683742,0.5346449804324986,0.5130240366623939,0.5283765556288523,0.5765913979515004,0.9772600503004452,0.4695833161483033,0.9913142559105789,0.5859575867434799,1.3096180852827806,1.0403141840408363,0.5254957093786032,1.3338120845320731,1.3177553374643143,1.3308976908937837,1.3385592102380017,0.6186136281470018,0.6092193100401154,0.614915154343124,0.8454405965435963,1.967948499506981,0.6939839904376077,0.47593920548281704,0.604980553777685,0.687888470854389,0.5816306429344748,0.5498651449006341,0.5952545368626267,0.7750576123683266,1.0002514690506328,0.2040558764246593,0.1716783691338116,0.1684687334396889,0.24739492708449268,1.09891429644789,0.3931023481403176,0.8845367342960425,0.36238176689286755,1.314268329411278,0.22596493775195634,0.19910770838090486,0.2985534445138732,0.21430639046255848,0.12402311312520939,0.13182337208428274,0.12874169551215253,0.13529275443445613,0.13358040713146335,0.13179976605525304,0.13064034711903463,0.34757187793761635,0.870977588659435,1.1428744355432279,0.5482097469069335,0.5278902252704903,0.5519069570587418,0.5394646136883825,0.5577770358481678,0.5211350224445123,0.5102843805985073,0.5726797338695298,0.5733439425075939,0.5514503115481275,0.5121505180180893,0.525451000918916,0.5910056540514284,0.975445921722889,1.0106891377232157,0.5870865722484799,1.3159248297082933,1.3521877044429726,1.3285168997679317,1.3256511891016027,1.32230271243672,0.6276563973637168,0.6137111998125383,0.6183476743760363,0.6936225928413521,0.46537965073947607,0.6071365511930518,0.6993991923092309,0.5782717824255197,0.557933722587407,0.5945695106537524,0.7749622392076436,0.9873650315752999
lapgyn4_instrument_count,0.20966344527372835,0.1648137320968139,0.0,0.2464297815033268,0.41287653797531476,0.424948393721304,1.0798707930104527,0.3949514255514189,0.4931425622069508,0.8907694900352849,0.2829338107859569,0.25909050742909545,0.3506811872296945,0.36248313406230204,1.3088747271845385,1.3137128424471127,0.21993383921199613,0.19919102179328374,0.30070885738308256,0.22157877962686484,0.12348096326405172,0.12602202241994914,0.12435083642373354,0.12324094538671759,0.12452942991205736,0.12322532242617375,0.12474381166801961,0.3928486337008937,0.339078460601513,0.468869996134583,0.8700347827353971,0.6807259090947091,1.1581331530144237,0.5393359453993943,0.5307040648460806,0.5719262712581913,0.5324498994375013,0.5708782106657825,0.5230932888485524,0.5218095038469751,0.5779050005321548,0.5673963858657329,0.5426672260740046,0.5194151753166493,0.5352921475806278,0.5857837013023313,0.9844680657069448,0.46655210219433374,0.9992374701385793,0.5819192621785951,1.2958476703517332,1.0563189900250043,0.5309054352380767,1.3195514907760342,1.3043589549616317,1.3167208545407014,1.3246249799601073,0.6108838453769674,0.6032269078297002,0.6094534452516172,0.8523463134670874,1.9578982494430122,0.6888068378056512,0.4731751458067795,0.5929527059464665,0.6899624889024162,0.5717063695052422,0.5429506161334111,0.5850338755072954,0.7763349126065422,0.9929327548755025,0.20789582713661317,0.17520969602289493,0.16414200602447648,0.24718870097557208,1.0901324734480795,0.39701894953083283,0.8754579306703505,0.3557226033504549,1.307042483295695,0.2231816701899878,0.19628936718458942,0.30350038598340423,0.22302962337938084,0.11967012360451126,0.12733804905592216,0.12469711668487417,0.1307199901290742,0.12908845108298084,0.12725855566062225,0.12574033436013016,0.354564220264203,0.8650177593567449,1.1457507246021597,0.555560953515931,0.5362408077620668,0.5604133082956368,0.5473703262975266,0.5659910037245498,0.5281708473610787,0.51681207424043,0.5812489456576935,0.5825399189040028,0.5598371902495625,0.5185351124168428,0.5322925460616419,0.6008320916035848,0.9828724681755969,1.0186242187435146,0.5834021661203677,1.3018142776977728,1.3374634442855715,1.3143865358749856,1.3112457166530376,1.308181188058546,0.6203107913149247,0.6082400139322519,0.6126116033395255,0.6886612654073975,0.46240949323125813,0.5954275545123444,0.7017142054184499,0.5690501795461118,0.5508524951529428,0.5842496567479762,0.7765657409812984,0.9799410064985165
lapgyn4_anatomical_actions,0.2118823538474917,0.15696811068202193,0.1502743716236279,0.0,0.42712175877914915,0.4345179002388261,1.0905835863449245,0.4073687748046771,0.5013763071589307,0.8987454655793122,0.28919204000723936,0.2653513073195764,0.3569927032329064,0.36968763723096376,1.3186664616793335,1.32277143036489,0.23459911414180923,0.21233207432327428,0.31020359112880935,0.22920720608001152,0.12815415339941444,0.13072726033458992,0.12889163924483005,0.1278981001320333,0.129138638731614,0.12789910813471175,0.12929478395711205,0.4048890768896013,0.3397971259583948,0.4774234528875403,0.888841382593138,0.6979636570747867,1.173162094175176,0.5462920671216096,0.536945132923659,0.5776542407092169,0.5398351397852325,0.5763658738453775,0.5298279329840349,0.5291924906396488,0.5837329191848749,0.572901652596503,0.5485730908980784,0.5269732382625758,0.5415826647462968,0.5905630503059065,0.9934127360119244,0.47904188890403904,1.0079381434999322,0.5968881266915561,1.325423496907199,1.0583736305715736,0.5427194658172166,1.3497336052457893,1.33375148241641,1.3469405883860608,1.3544482959676316,0.6258329237272232,0.6201245784714009,0.6268312738490762,0.8587756035112797,1.985971720702662,0.6980310201234219,0.48311956159038416,0.6048001681048464,0.693949522374809,0.5807243669101843,0.5484258362904211,0.5964914035081758,0.7832438827753913,1.0155705324572049,0.2099869704787271,0.16836919328433775,0.15881431959901696,0.22436836856747508,1.1007578517263925,0.40956815026063725,0.8838790975093608,0.3623103102527119,1.3159846626800162,0.23770475734628313,0.20929206667398925,0.31288089701372723,0.23066293694372056,0.12466453582132475,0.13204512327992984,0.1294006720473136,0.1356165328198602,0.13314084369157494,0.13191852098422105,0.130661252004504,0.35485987612410425,0.8842326854229641,1.1613824464166538,0.5624864773684709,0.5423406572032173,0.5661792952991014,0.5543322230992334,0.571642856312633,0.5351261711862314,0.5241872922021152,0.5871287962445273,0.5880232331904607,0.5659405640454461,0.5263507627697288,0.5384753420946418,0.6055746136821445,0.9911588366413902,1.0280608741995758,0.5986464558732926,1.3319110121609838,1.3675520439389683,1.344419382387723,1.3408133906829733,1.3383961690985102,0.635902935964383,0.6250880376559972,0.6296112212955266,0.6974340951970642,0.47217721740921814,0.6070196851161659,0.7058543511405896,0.5778463036281204,0.5562872820755697,0.5954223591907143,0.7833526632928335,1.0023220338003314
sklin2_skin_lesions,0.2801289581600372,0.26493984594104675,0.23392658752764045,0.37689930874192323,0.0,0.37129430942820774,0.983446683702127,0.4127037112568403,0.4464419061067804,0.8361399386754498,0.24443480394983597,0.21969346887588265,0.3204534064894795,0.32325397901751274,1.276304661515983,1.26563435993971,0.2054585908247675,0.192150298258466,0.32530536992309905,0.2564717039120909,0.17732529166887626,0.18105761140896556,0.17909500185262928,0.17711314160833,0.1793095978604771,0.17807614454518306,0.17981045392146977,0.28787187243393797,0.34871202035000176,0.401897297008866,0.8002956295285796,0.5498833521336943,1.0952044074082758,0.538446933944483,0.5321709784393005,0.5734158213669871,0.531714018949481,0.5733613857706636,0.522949044178738,0.5193121573349725,0.580595723219277,0.5720762531236995,0.5429404536062035,0.5132463526579827,0.5355082514900409,0.5889598927109516,1.017215943515181,0.3439855813458313,1.0329683984672398,0.4532361531502834,1.1425210527162297,1.1063006763058452,0.5170902101102232,1.1637961976648559,1.1512377249023,1.1604862804404819,1.1697399111781932,0.5871765741478352,0.5669601815906498,0.5714481387899829,0.7806532037275307,1.824359214163832,0.6804091158509866,0.46619257143524523,0.5718324175047046,0.7094221696560558,0.562537126385238,0.5345715737376585,0.562678857810886,0.732936990102415,0.8706787898233311,0.27718061429441454,0.26996888984762785,0.24844850577380115,0.384073713547868,0.9913595035299829,0.41328136698553897,0.8202111837251812,0.32390859888896334,1.2760784354154393,0.2096039926226013,0.18852689644829781,0.32641683650722275,0.2595571321394343,0.17156063064376298,0.18186533176580522,0.18118101673741016,0.18619087512273821,0.18774638505491784,0.18148228550826254,0.17583532026880622,0.3682299254226104,0.7953121844121265,1.0845211107873567,0.5561015587087955,0.5398652739255593,0.5609080659289016,0.547135612324836,0.5652108885128606,0.5261923038191015,0.5132768646912934,0.5843027343797047,0.5876732121892496,0.5596186369079816,0.5126124460066741,0.5325264389059051,0.605921424361491,1.0191176964349462,1.0525439189490318,0.4543906507117772,1.1494836253322327,1.1798761542304632,1.1610821095963464,1.1562846572246437,1.1542643790951757,0.5948574537525012,0.5669697672385434,0.5760575550322617,0.6812810346967889,0.4552645169422462,0.5762249019635648,0.7219689790050052,0.5617403352844297,0.5423867139881661,0.5625722295520721,0.7328186809198184,0.8586620434837475
identify_nbi_infframes,0.26933163778276553,0.25100615217554817,0.2277979494303822,0.3726184587920708,0.3867220154436037,0.0,0.9185279022253289,0.4449032570339448,0.4202948318637356,0.7829545822929412,0.22089889523527426,0.19764589888048573,0.2996893235398769,0.3004577105853913,1.2249902418353913,1.2253161381183488,0.22129389106405742,0.20617664220324464,0.34342524436233035,0.2562249036291343,0.1800362057299738,0.18410310284639647,0.18162200814839569,0.17962073915455404,0.18201280740817988,0.18054188857982634,0.18320321549673335,0.3365020465229409,0.34418196308601784,0.40841398914464305,0.7872058125218372,0.6181845022696167,1.1482121054639545,0.5472199834622082,0.5320480101238563,0.5718041233478702,0.5421081414313244,0.5689127900388451,0.5306262835621367,0.5281259689096297,0.5766374940439042,0.5734227938030124,0.5436111042067242,0.5256720618540784,0.5365238441202544,0.5842461077824621,1.0314415220834998,0.41302885123793814,1.0496579569872764,0.4930209122241974,1.293478522390818,1.1457882453317183,0.5507120546880465,1.3169079863244588,1.3035449041585971,1.3139459506033813,1.3216567266293555,0.6665050336537716,0.6503384371674285,0.6539533605091137,0.7434113440946057,1.9759970262057711,0.7026867590487195,0.47252841227980025,0.5857455632777803,0.730590184182647,0.5759537278879772,0.5478119810289147,0.5849580520426758,0.7695330973262313,1.0093536489432178,0.2666787891569639,0.2529775622526358,0.24217333533801155,0.3793581151801691,0.925248844223436,0.44394030139929697,0.7684802384210795,0.30383093838764064,1.2233440129453916,0.22420186674267353,0.20132476828371737,0.3462934913140453,0.25902145183775976,0.17356832682254303,0.18345052187563254,0.18389600873203,0.1900906237984194,0.19052628205413152,0.18461509221514902,0.17843966982476384,0.36450946576189086,0.7851245613280312,1.1366307670280873,0.562814564337245,0.5395689315526566,0.5603972293287199,0.5612405974920999,0.5612831358732453,0.5323706072886185,0.5212997527981974,0.5790760995655313,0.5885944846359155,0.5595757207762192,0.5272599069300932,0.5330421510978922,0.6007530961573516,1.0328453404716045,1.0720154890157245,0.4943509143680124,1.2994218020874526,1.3374089604672965,1.3098814383321,1.306870414341885,1.3084230272634902,0.6731023381803627,0.6492752836189599,0.6585698765392376,0.7001711586032603,0.46165351030863266,0.5913168772508566,0.7426208229655942,0.5732764654139932,0.5534374676123137,0.583921362865094,0.769421280033029,0.9969462785890707
laryngeal_tissues,0.330352590865777,0.31442979840511703,0.28121409939053743,0.43644700646455525,0.393174959301009,0.3039579673280188,0.0,0.5108162375764966,0.3930135326224141,0.6251545746257126,0.19970237419660364,0.17979609300273025,0.22728410848362887,0.2148891582572447,1.1308105099472292,1.1267253785942908,0.2751989387789061,0.26058933574716875,0.4061378141690466,0.3321604819117329,0.2474587875582415,0.2523044945980903,0.24905874454624793,0.24664128996080378,0.24964922051109487,0.24813118034280313,0.25036948920733726,0.32973167572779066,0.39621837144559596,0.4433479411332424,0.822281725566214,0.5978658408546889,1.2198505039617247,0.6265313691298919,0.6116140738148387,0.6515280260655932,0.6237534273615866,0.6489966833480711,0.6105681390183936,0.6092586218379046,0.6552928225598117,0.6543780675067055,0.6222257081076104,0.6069286508739888,0.614132713942817,0.661361916825958,1.1116358911807778,0.42129813155849866,1.1326400940996666,0.46300288994764854,1.3589348700691277,1.2600030376954274,0.6235969633981424,1.3807400866818402,1.3671717268338224,1.3789958579843278,1.3852422755867055,0.6879440777484547,0.6674161172560366,0.6729912725065894,0.7635459321383085,2.0618850481157556,0.7368539066236733,0.5350032963103734,0.6412887815819925,0.7986905151563203,0.6231595893088793,0.590613110546048,0.6254206622382692,0.7971483080999012,1.0837261998915957,0.32749333282868665,0.3282956289555383,0.29961525923678933,0.4380496861344438,0.6658906418986762,0.5096259443316639,0.6164944252923891,0.23057797441307012,1.1289711152262405,0.2784896899127908,0.25467790743697694,0.4091286308188434,0.3359372727976421,0.23909946381341532,0.2519683882144345,0.2526995225996261,0.2593023317840688,0.25914584446293565,0.2523452830908734,0.24506384284038898,0.4214333879281818,0.8200960833480827,1.210444481696607,0.6447322353777266,0.6209280777612108,0.6377667783613273,0.6460619600957116,0.6397199617617952,0.6126977654125256,0.6015678735573464,0.6613817976003644,0.6691663615364781,0.6403526417082639,0.6097898412721426,0.6100868497989757,0.6826579521269568,1.1160360012519286,1.1569249300026145,0.4662022491839063,1.3627534212782262,1.402181403671562,1.3742271341540135,1.371974196621599,1.3737425612925926,0.6923959926826909,0.6689577776122528,0.6787008882272444,0.7310668440127067,0.5221128651775823,0.6469958091408903,0.8128992847742672,0.6193640726280188,0.5975343192396618,0.6256612658091614,0.7994873584097387,1.0720650420479396
nerthus_bowel_cleansing_quality,0.2659527834912753,0.23343664677615247,0.22180358602205735,0.34220630034189564,0.40797485968791847,0.4440043671895886,1.071686052251767,0.0,0.5154167714048765,0.8757224450492551,0.2966322779401917,0.2707547721908585,0.35525547152993886,0.36731199152459365,1.2839041935839726,1.269897094623914,0.19675832152465558,0.16942453466646945,0.2160205648257217,0.17481062582517348,0.1507599950997952,0.15300057310424103,0.15169464428312404,0.15065559334075282,0.15214085912455774,0.1505838144013184,0.1526651706504994,0.3855498943816213,0.29736896302753735,0.46585456244287254,0.8439819341296615,0.680433909255079,1.0663503201919995,0.5261681953530871,0.5126428826611296,0.5521967172422698,0.517483677331103,0.551039503187221,0.5087908790891349,0.5054351364864273,0.559292960897807,0.5510725093210095,0.5243269938525579,0.5019410180828049,0.5223838903817176,0.5661382696668914,0.9693231742392568,0.45741413958867305,0.9808542615224275,0.5772495891415378,1.2194858148594625,1.0449722408915245,0.47995243847902747,1.241450888678258,1.2275778385053593,1.237312517583497,1.2451007643341787,0.5252120215204902,0.511740310826322,0.5142129202252249,0.8343059192680644,1.8482501977980115,0.65868423386399,0.43777355174740606,0.5513324214043474,0.6671195646083022,0.5472040855199303,0.5132670828781192,0.5502851643041435,0.8050346575646659,0.9001689714380172,0.2638578100293106,0.24689981331792987,0.23249973123231346,0.3428758566368372,1.081280708217182,0.2588314255993005,0.8596167967064371,0.35905390043320057,1.2819134758948796,0.2004904106924424,0.1690036559209852,0.21752480197418664,0.17649758796031406,0.14597561853111396,0.15549047364757354,0.15283855004033478,0.15758668185415972,0.1578459157185679,0.1558902231580486,0.15156762367699872,0.31074865288505954,0.8420734176492378,1.0554508593551672,0.5437858005823919,0.518807497544651,0.5392836545782055,0.5320446070900314,0.5445601453757645,0.5137391248383079,0.501458482489888,0.5659832880056643,0.5662340768282474,0.5413728750529352,0.5021848431498724,0.5187184041763842,0.5836046365704692,0.9682709215579443,1.0007218429153835,0.5786741477815439,1.2229841373829025,1.2596513175898674,1.2380764050479738,1.2332392302807447,1.2288557555898583,0.5311883899813815,0.5150515637097546,0.518246618631079,0.659288180502942,0.4288199447249919,0.5541334387549329,0.6788080031739832,0.5452759225964566,0.521585836693497,0.55076937171218,0.8038076805522795,0.8896010105735799
stanford_dogs_image_categorization,0.31458906180874724,0.29052126471991263,0.26227319838109764,0.40483975316394427,0.41491726925653777,0.36442109331684497,0.9349533496619097,0.4805212882063904,0.0,0.7798874623745428,0.2003906893754098,0.18010219530844326,0.26726605021993144,0.28070713161442085,1.236668329214488,1.2537421241946656,0.2628366407532853,0.25041350634028037,0.3788660866338362,0.30318890509446017,0.22578124186243945,0.22959094388593407,0.2267372799791801,0.22422975214786772,0.2272956947346104,0.22529506923456252,0.22718196013189915,0.37109884013246425,0.396557591816147,0.44065869556598386,0.828222630494295,0.655633646844976,1.1671853887422077,0.6033461746937953,0.5906591983388356,0.6314132747959923,0.5981940321887222,0.6306289020199823,0.5874127432122472,0.5862037318534241,0.6361075113904,0.630872360385331,0.6015475511863326,0.5853507315463409,0.5907100521373215,0.6412661805562324,1.0727455977232787,0.4540152992420636,1.0897010919198429,0.5458105844254625,1.3339281649934214,1.1848274222519428,0.5519899056699659,1.3542851733214576,1.3427916914908788,1.3526616209397146,1.3595485336481963,0.6526898754905797,0.6307200351416963,0.6381444658223824,0.8010879006040119,2.0083228879742836,0.6984936965561639,0.5084720018714899,0.594528953530837,0.7466973703617167,0.5734088377786922,0.5477390966698256,0.5848552506273117,0.7550435122960121,1.0571736581863493,0.3111616762051197,0.30250787107788407,0.2791312167114584,0.4074679257865955,0.9406312579241504,0.4815802094426169,0.7660277152343163,0.2720393818384545,1.240792608622328,0.2647363134845624,0.24512252573503557,0.3811154171086948,0.30577728727842807,0.21838183244830098,0.2309431679127179,0.2304555200448591,0.23644983846516815,0.23527202198387642,0.23101360767077153,0.22495109057335866,0.4211766497721728,0.8252727115308618,1.1581097565868206,0.6239318318736855,0.5987141725532205,0.618793973044084,0.6164355978785773,0.621521345514453,0.5935531351379206,0.5796723525047193,0.6427060008115872,0.6466623527912281,0.6205524688238525,0.5866049391292465,0.5879564514309693,0.6629501650383058,1.072571796412133,1.1132222325968575,0.5489808677070944,1.3399359203686179,1.3726353251659376,1.3508376091111887,1.3461636602906846,1.3457222555085473,0.6615688302925847,0.6333601563333859,0.6418501048835775,0.6978661088457416,0.49231427176850173,0.5981729133505574,0.7591977681436228,0.5721687761098833,0.5540196083469697,0.5848854002360605,0.7560675106792527,1.0446081195743986
svhn,0.353764423128936,0.3263363316496476,0.291843775385637,0.4490858892030829,0.4106520246261014,0.33078953580241255,0.7650310248821428,0.4739539143882622,0.43115765644923437,0.0,0.22654692566613627,0.199367173830746,0.20939817047649034,0.2035893093898045,1.0358089679984546,1.0239554149869052,0.27763616019186943,0.25777081136765145,0.3802722976406673,0.30662313827753923,0.23734145836617793,0.24207682862624244,0.23860272278627584,0.23679051678657673,0.23974437099944193,0.2382587123594446,0.24097439347233962,0.36076537567762124,0.37769550536482965,0.4490215975433941,0.8160989515718949,0.6703576926664034,1.1865680538052081,0.5998076042345322,0.5886325510595873,0.6286281450768456,0.5958737334034241,0.6280688751372189,0.5852088609530025,0.5838517848068123,0.6319947730540173,0.628794621215027,0.5989201705222347,0.5801941846149282,0.5876218440633608,0.6384541231360465,1.0647272271999089,0.4446066437997269,1.083335340984283,0.521288241709953,1.337892523997385,1.198670606733348,0.5702760155710144,1.3597222010595025,1.3476077959231092,1.3586292313701498,1.3645743334062572,0.6730619216870922,0.6503043074357729,0.6592543058988153,0.7952965168377929,2.018269392589684,0.6740590802054011,0.5005523534090442,0.5866117453327325,0.7331723155359424,0.5669353023809608,0.5238228154890873,0.5705965399127486,0.8202061959620093,1.0568655761528012,0.35131999555965154,0.3294917846935679,0.3090398451046019,0.4558645577336214,0.7717608125808988,0.472086432740435,0.5211070850267538,0.21123438066899328,1.0340372563138265,0.28019900819235394,0.2525317320774906,0.3824041916863244,0.31067880012141413,0.2290336240305889,0.24102482373103207,0.2422305983166217,0.2492710365976749,0.24877045547059154,0.2433212386404198,0.2342294565451579,0.40026109988664993,0.8104744810669783,1.1750491690211249,0.6183795583122279,0.5971390322370919,0.6144516258018937,0.6125723229544583,0.6175555500125837,0.5889502142242428,0.5777263592337221,0.6395569508710373,0.64422663036565,0.6173964202349957,0.5818258631907917,0.5849957503357486,0.6613440495117437,1.0687277367167525,1.1051852577179297,0.5243423901005432,1.3442564126217689,1.3777639913126296,1.3552751819568045,1.349822657200887,1.3499403746406324,0.6784747676467143,0.6513232159145311,0.660698707754698,0.6734035475597829,0.485782308643196,0.591460052136638,0.7458325699774492,0.5637781005307306,0.5297905279335307,0.5718581384765661,0.8207968468237585,1.0442360653832132
