,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.522059447272024,0.5498514579990863,0.5743303889234807,0.8013567563601665,0.9780762441562496,1.2683049656497398,0.5641668731064071,0.9835188145533725,1.036557902648071,0.797555947987153,0.7732205805272572,0.7204124373006835,0.7381639710964774,1.1269657178838297,1.1553097920622148,0.594257758428429,0.5728306248924825,0.5556585465388432,0.49227278834061405,0.47674842767544656,0.4770201557398689,0.4759147426475956,0.47810283064644754,0.4773497216364784,0.47747073690249753,0.47621474818573295,0.8307684391294137,0.6120595236030395,0.8178378303368931,1.063261660725337,1.0509816759095263,0.9417556634691955,0.6656804810541626,0.6663209497079725,0.6842354214212821,0.6605416767589835,0.6883761456700642,0.6591118133991074,0.6563535119235417,0.6928424274987584,0.6821709555743464,0.6744656010902887,0.6550843550032934,0.6765242750643053,0.6998159020640353,0.8306879598127485,0.8628965397528734,0.8237925456866468,1.0245596626878337,1.0287251775257633,0.7995470480738578,0.6992936099215075,1.0306964498270874,1.029791445475696,1.0302028530585032,1.0302250743348513,0.7135256845621135,0.7036959085391364,0.7036647345827038,0.9844418082278041,1.2169720935013353,0.7589130157037169,0.6416224971678235,0.7535387259943843,0.7006447633905226,0.7239828093577096,0.6802012016663813,0.7189911224283412,0.8727584472434521,0.9128949119865916,,0.5356539076659261,0.5474157524299555,0.5698500086021236,1.2711807300517202,0.5640789067467196,1.0271046204510204,0.7242201108891166,1.1281701370773325,0.5973523479777509,0.5734608488283246,0.5551007947333659,0.4939237854653422,0.47598554314633984,0.480760257026657,0.4750678995507801,0.477635902033985,0.47852242192264033,0.48046823133222283,0.4810075092983564,0.6090824532050471,1.0619446045071714,0.9395908913419023,0.6717279526498112,0.6671775867616763,0.6825453086486817,0.6587604927375837,0.6906986365687604,0.6610726377877643,0.6591223785429258,0.6888930054732207,0.6877854633409058,0.6801701736265338,0.651399628216636,0.6732015703704234,0.698894716937972,0.8292850111026218,0.8258943134284963,1.0177265020630364,1.0306476092614048,1.0283752128545265,1.032041445229194,1.0311277428735643,1.0308749193272169,0.7091192614469027,0.7052763212978097,0.7060232727235705,0.7612155346593401,0.6376074856148355,0.7515348249836997,0.7012425604027288,0.7242627570129769,0.6851082704903537,0.7194384147853776,0.8738882379623923,0.907439436677596
lapgyn4_surgical_actions,0.6100942943826031,0.0,0.5498883767273846,0.5742949608491026,0.8015510725338516,0.9782751402019553,1.2685323984658496,0.5642577426210568,0.9836796935682495,1.0367039600362453,0.7976814906219765,0.7733369802928516,0.7205323502801237,0.7382977979844483,1.1271198989694717,1.1554768583450075,0.5944124133546986,0.572986405081832,0.5557605073499395,0.4923493087985663,0.47678862048182424,0.47705901457943567,0.47595397334160033,0.47814339469026756,0.4773892464534781,0.4775114386538261,0.4762543620770912,0.8309499250154264,0.6121046947800437,0.8180158302368485,1.0634844679757984,1.0512264353559262,0.9419022876774257,0.6657720032233219,0.6664091546900642,0.6843217778160705,0.660633627333529,0.6884633465207971,0.6592018182586725,0.6564450286096221,0.6929311118617207,0.6822563909673135,0.6745540321202552,0.6551746057951193,0.6766184404614328,0.6999009523447619,0.830789795914698,0.8630859053867629,0.8238882251490516,1.0247895324143497,1.0289317775931037,0.7995964070002811,0.6993728732440012,1.0309022987421077,1.0299967572222994,1.0304094376021486,1.0304308419974781,0.713614842164205,0.7038068479821691,0.7037766123309473,0.9845916943765395,1.2171518170044748,0.7589610669213065,0.6416930174478161,0.753626357571374,0.7006865034841663,0.7240410741580064,0.680268185512316,0.7190563955853384,0.8728965392142287,0.9130666865745912,0.6133381595480091,,0.547450255734897,0.5698101922291194,1.2714093853123503,0.5641684738316309,1.0272573675488403,0.7243413447278664,1.1283238943448057,0.5975088021934194,0.5736156660801324,0.555201396191219,0.4940020244507991,0.4760267374440596,0.4808011894213404,0.4751054541797978,0.4776751351518902,0.47855613757637805,0.4805096746399649,0.481048904139336,0.609122564084362,1.0621691991482094,0.9397380644723623,0.6718180206508386,0.6672636517690285,0.6826304463636236,0.6588489809877434,0.690788019774504,0.6611631860739212,0.6592160012843924,0.6889823508496612,0.6878707380128967,0.6802588580795186,0.6514885022301985,0.673291732964302,0.698977615801279,0.8293838466226542,0.8259926595934997,1.0179576268248234,1.030853819137658,1.0285824464494426,1.032247846142103,1.0313335911220738,1.031082077148986,0.7092095274652028,0.7053861652894573,0.7061334083352842,0.7612634847951171,0.6376762583366821,0.751620226533089,0.7012877058118008,0.7243251100825927,0.6851781615457578,0.7195041853772286,0.8740258110014506,0.9076109730268173
lapgyn4_instrument_count,0.6100672229753836,0.5220621716389239,0.0,0.5742444719930192,0.8014610075922575,0.9781929442826252,1.2684152005590559,0.5642302400374377,0.9835809850101578,1.036609367198694,0.7975942828322854,0.7732516748283267,0.7204538337926616,0.7382171386361075,1.127023522353998,1.1553753070772188,0.5943598337765038,0.5729359239422186,0.5557450487521256,0.4923627731886129,0.4767318594987503,0.4770036562170266,0.4758974537809681,0.47808656673085953,0.47733334221247364,0.4774547647539495,0.4761980710332907,0.8308695726091972,0.6120974075016383,0.8179791516411672,1.0633839094362727,1.0511088795925856,0.9418399264685235,0.6657633001191033,0.6664042925824029,0.6843194596149899,0.6606245563019824,0.6884610572827738,0.6591942220384049,0.6564374216455761,0.6929283681670819,0.6822545638404425,0.6745482202087918,0.6551655285492685,0.6766103344760985,0.6998991002408206,0.8307659237532519,0.8630094554112625,0.8238689835792673,1.0246965009043048,1.0288316778739062,0.7996114922664841,0.6993553413793299,1.0308013081506662,1.0298969833234282,1.0303092541664274,1.0303309949690007,0.7135603087128519,0.7037592444806182,0.7037318575731988,0.9845441062412215,1.2170552196954445,0.758909348379821,0.6416527230238205,0.7535564942153813,0.7006678651477295,0.7239826915430019,0.6802196122792246,0.7190008766233879,0.8728432631780696,0.9129899951605621,0.6133101494275941,0.5356442674041069,,0.5697641553601654,1.2712909444031322,0.5641412223614135,1.0271633332953471,0.7242614262780664,1.128228424604515,0.5974562911563814,0.5735646992258339,0.5551854630241819,0.4940150381894153,0.47597059525235874,0.4807443367293378,0.47505098251494793,0.47761812863738606,0.47850032197863523,0.48045201092910367,0.48099045434719956,0.6091197574321762,1.0620689254953681,0.9396750233751814,0.6718128142961766,0.6672610440464404,0.6826268169196585,0.6588449699798604,0.6907826556337504,0.6611567981290045,0.6592066448524206,0.6889790149906437,0.6878705429844704,0.6802535337310242,0.651479288037855,0.6732860444024836,0.6989772756641884,0.8293626877919624,0.8259742359252147,1.01786525549996,1.0307533136202254,1.028482109525589,1.032148247971139,1.0312334585479805,1.0309813672031523,0.7091557738860097,0.7053381213989194,0.7060890164030088,0.7612122970647538,0.6376363138731228,0.7515505273804358,0.7012682202685678,0.7242652813088031,0.6851274112580092,0.7194483586453461,0.873973084742798,0.9075353852577897
lapgyn4_anatomical_actions,0.6100776550799234,0.5220102867771191,0.5497843246232939,0.0,0.801530954301538,0.9782396349996545,1.2684736307372744,0.5642860835535591,0.9836128022620281,1.0366468146799592,0.7976159853052331,0.7732706356227239,0.720483106841764,0.7382501730206148,1.1270704291023834,1.1554248696371563,0.5944282657500706,0.5730031113359546,0.5557898752854666,0.49239189865301325,0.4767427075761602,0.4770144663963225,0.47590785124835056,0.47809723307189556,0.47734408406563417,0.4774663445245751,0.4762090811516176,0.8309285781058118,0.6120906293756676,0.8180358239228251,1.0634780872173373,1.0511926911093334,0.9419014257091781,0.6657865817075277,0.6664243579574899,0.6843380176744712,0.6606493720888695,0.688478110021362,0.6592159296877501,0.656462629494196,0.6929470564655087,0.6822712252975137,0.6745678189074051,0.6551896174341725,0.6766310166051717,0.6999138804111953,0.8308019433263567,0.8630675881206703,0.8239019230052747,1.024768889768069,1.0289321881683364,0.7996077852304501,0.6993956987059612,1.0309033521470163,1.0299982234248388,1.0304103084162088,1.030432668979293,0.7136196338819895,0.7038280076989585,0.7038005614816134,0.9845899839168939,1.2171447655263385,0.7589275353405057,0.641684848822373,0.7535903357386396,0.700671614017476,0.7239997753583907,0.6802294697165452,0.7190285171272373,0.8728640243380245,0.9130722900867724,0.6133207577716744,0.5355951073218537,0.5473475999034729,,1.2713506836686355,0.5641941071628234,1.0272074375676215,0.7242917860519426,1.1282738386135804,0.597524368492456,0.5736313088310706,0.5552300029475092,0.4940447284923628,0.4759828128429684,0.4807561079756685,0.47506184584359146,0.47763084778802734,0.4785079351138324,0.48046347853057625,0.481002387622529,0.6091107088655408,1.0621649582535528,0.9397368122778811,0.6718341173003977,0.6672812118994775,0.6826450834009977,0.6588682516814105,0.6908007458487492,0.6611783096128667,0.6592319917292518,0.6889996411133512,0.6878857125564948,0.6802731797722228,0.6515038952254458,0.6733038065616976,0.6989913861841525,0.8293982576175802,0.8260083711432854,1.0179385925086322,1.0308542173968336,1.0285840842204743,1.0322489567866189,1.0313337086168226,1.0310839494251534,0.7092154180815761,0.7054066598372347,0.7061545592221243,0.7612305955571672,0.6376671463969475,0.7515844446917452,0.7012730829341289,0.7242846025262268,0.6851387727620356,0.7194780636779863,0.8739945069387614,0.9076188358904853
sklin2_skin_lesions,0.6100512585418257,0.5222057447631487,0.549893959637619,0.5745067280772231,0.0,0.9776679485704118,1.267763703703735,0.564019899635523,0.9830668240512483,1.0361234097109135,0.797126965374153,0.7727888411154,0.720039349851811,0.737757911916638,1.126594545039621,1.1549094047296378,0.5939878686185203,0.5726026096061967,0.5555675664543894,0.4922451072098245,0.4767276509562147,0.47700548770576734,0.47589715819996703,0.47807988130233947,0.47733151642264715,0.4774508601241276,0.4761997383472652,0.8300581571558923,0.6118551040375833,0.817348151238796,1.0627983810188852,1.0502534222434674,0.9413713798895016,0.6654824690285732,0.6661267157996975,0.6840431794173111,0.6603414514872745,0.6881910411442889,0.6589125581962586,0.6561502439728942,0.6926565321482504,0.6819934869940711,0.6742706209702014,0.6548673820651545,0.6763404426193156,0.6996235387036474,0.8305142181455886,0.8621029927520731,0.8236320784576887,1.0237938207228783,1.028102913274911,0.7994692327123323,0.6990143032183137,1.0300730705471592,1.0291673973940996,1.029578919666919,1.0296028235515582,0.7130645211139536,0.7032123483312058,0.7031866052759567,0.9839595827485745,1.2164332947526948,0.7586604032380136,0.6413816699335273,0.7532382737049909,0.700500332828124,0.7237304265070368,0.6799625415161548,0.7186945374931968,0.8723724723100241,0.9122739940285827,0.6132883975341097,0.5357758439718873,0.5474781259978669,0.5700359672178043,1.2706358662054682,0.5639283285487244,1.0266771311840461,0.7238433005002272,1.1277987767028865,0.5970842172709143,0.5732296438501561,0.5550084226551387,0.4939024041649132,0.4759590108889474,0.48074025411441706,0.47505449968933794,0.4776234708796494,0.47851996713279243,0.48045018847770504,0.48097082162337923,0.6088974033514786,1.0614833057725819,0.9392062725962469,0.6715397330236244,0.666995193975989,0.6823509334244229,0.6585648005052017,0.6904991602596804,0.6608632647894194,0.658914154053089,0.6887049591017689,0.6876076541044589,0.6799713694397571,0.6511765380681888,0.673018282576865,0.6987134086211494,0.829119354574142,0.825734447885244,1.0169654663000454,1.0300254250345686,1.0277518825225334,1.0314206982836138,1.030503359080619,1.0302533931077928,0.7086567784665952,0.7047899261844711,0.7055423254748276,0.7609730384387215,0.6373663755971677,0.7512368118214928,0.7011045400588353,0.7240041192935875,0.6848737003387853,0.71913684997186,0.8735018493895484,0.9068193059842254
identify_nbi_infframes,0.6095556329138551,0.521735072221489,0.5493968441310912,0.5740423979141712,0.8004217568120082,0.0,1.266566084311028,0.563775292881498,0.9821434421043526,1.0351482351657215,0.7963107844074111,0.7719806940760792,0.7193265067631801,0.7370234556536315,1.125679233853176,1.1539843957819285,0.5936159190996131,0.5722347274588526,0.5552791318617518,0.49192006544843137,0.4762958087609068,0.4765898885958626,0.4754597374246596,0.47764041118535394,0.47690397825781033,0.4770144873068737,0.4757781485206468,0.8296341829840987,0.611246658136539,0.816743687956881,1.0619123380032545,1.0497266574187998,0.9408302326593125,0.665088789271315,0.665694121569109,0.683600637886627,0.6599579008338207,0.6877359689500561,0.6585194140055657,0.655758932282778,0.6922040204726654,0.6815775867437278,0.6738335840048201,0.6544967595482976,0.6759158271932838,0.6991589309880587,0.8300375119706882,0.861756286104178,0.8231725647521283,1.0232238929722515,1.0277908489718575,0.7992387657748978,0.6986360642316082,1.0297594357505941,1.0288560268639302,1.0292665375348105,1.0292985541528228,0.7129846416439117,0.703155186797955,0.7031312649855584,0.9831531951053021,1.216063206902522,0.7580571545857959,0.6408975157018442,0.7526237860700649,0.700036618381179,0.7231073025433914,0.6793647356531878,0.7181272434957453,0.8718221397260034,0.9120448186754724,0.612793602767393,0.5352827233448744,0.546987829333272,0.569569817049622,1.269435345956785,0.5636809886239849,1.0257120128991477,0.723135457625559,1.1268834370422895,0.5967115057878131,0.5728527445877944,0.5547132726055337,0.4935729754491428,0.47553361519411974,0.4802795528897591,0.4746261849316502,0.47720634130553874,0.4781057070443572,0.48003071769444267,0.4805446880424682,0.6082974350085532,1.0606032266631078,0.9386705765407906,0.6711491585725657,0.6665756850931557,0.6819115893515153,0.6582180948340172,0.6900404307733133,0.6604487714099122,0.6585172750256733,0.6882545996164559,0.6871948608468301,0.6795427219289247,0.65080210465064,0.6725787572670308,0.6982658063762297,0.8286452232273549,0.8252708185963606,1.0164007273180937,1.029704045746013,1.0274428109215268,1.031104198141724,1.0301897807553104,1.0299461405040184,0.7085923829604505,0.7047353437854376,0.7054732738993846,0.7603635105702108,0.6368737121058988,0.7506341924385541,0.700666793538496,0.7233868595032097,0.6842733750826118,0.7185657103695126,0.8729523469760129,0.9065924481058625
laryngeal_tissues,0.6094003082201157,0.5216428627859563,0.5492373750152251,0.573946270240807,0.8000312880051919,0.9759777241225591,0.0,0.5636738842210339,0.9814837314858651,1.0342750646339571,0.7957235718592478,0.7714196282441474,0.7186654359480993,0.7363481099276817,1.1250135801814387,1.1532735444825037,0.5935001328102294,0.5721219883113611,0.5551996387405693,0.4919455491541481,0.4762432470454955,0.4765485014737172,0.47540813605369414,0.47758077923656816,0.476850202005189,0.4769556028913576,0.4757264044288992,0.8291398843670643,0.6110336725771393,0.8164480826393027,1.0613988717417913,1.0491622531256422,0.9404970274455351,0.6650591524257716,0.6656630661064696,0.683554439704482,0.6599258175882687,0.6876903863420817,0.6584889921086231,0.6557264597510956,0.6921614380814233,0.6815498504709869,0.6737927862454131,0.6544689938218153,0.6758781155591694,0.6991013156222359,0.8299225271922469,0.8613553489935467,0.8230781823167332,1.0225842691288092,1.027413569622864,0.7992924723291335,0.6985136880608585,1.0293845041839644,1.0284838627384663,1.0288880963362124,1.0289234059249734,0.7127377540235559,0.702888817570664,0.702866370892014,0.9827699851415193,1.2157080103616547,0.7577350424016255,0.6407413880099551,0.7523791474204647,0.6998601816757262,0.7228338269261723,0.6790798807934391,0.7178576682771912,0.8714785828160811,0.9117841489843314,0.6126391115084009,0.5352185295675691,0.5468389456565044,0.5694784623951846,,0.5635784725249748,1.0248466043599147,0.7224663476086071,1.1262097890664635,0.5965965357751148,0.5727386305427973,0.5546378981073632,0.4935997786023269,0.4754772799436046,0.48022357669766413,0.474578469675686,0.47716198338456073,0.4780710582674872,0.4799830215048854,0.4804908937170629,0.6081147708926993,1.0600895319432846,0.9383327596550846,0.6711331713036783,0.666561457858091,0.6818642277582296,0.6582065467880539,0.6899931789933417,0.660414077772508,0.6584751637516753,0.6882177943577006,0.6871661080280834,0.67949726428459,0.6507674336359949,0.6725344899808117,0.6982265790982946,0.8285430573327954,0.8251692212344351,1.0157690726567514,1.0293248271096254,1.0270712961896624,1.0307278229917636,1.0298123062044122,1.029569180215107,0.7083430785199168,0.7044689562750182,0.7052096627118977,0.7600471774372493,0.636713566562673,0.7503929456055393,0.7005047345212873,0.7231071348484153,0.6839945877320626,0.7182968447162088,0.872613027938821,0.9063342632957813
nerthus_bowel_cleansing_quality,0.6104177451698591,0.5224737663936211,0.5502451696697392,0.5747716921742042,0.8015447566775525,0.9784031843231403,1.2686110938338244,0.0,0.9837915958886491,1.036699410941078,0.7977604245365466,0.7734098472312678,0.7205678247717768,0.7383321099715243,1.1271657846551657,1.1555078620423755,0.594318106806899,0.5728484287398361,0.5553997742597991,0.4921927327442325,0.47695132863050993,0.4772201792015386,0.4761172023788527,0.4783068571375453,0.4775532641811878,0.47767518167691514,0.4764196968086015,0.830968583779701,0.6120078497519242,0.8181171580825792,1.063501679469287,1.051312507353813,0.9417901568328853,0.6657964909497313,0.6664184842246657,0.6843311910936912,0.6606522425532535,0.6884697763110686,0.6592230072996731,0.6564600346202529,0.6929393001658648,0.6822797084686488,0.6745663531899901,0.6551924311064106,0.6766484594023964,0.6999127300712791,0.8308611070079245,0.8630922908294806,0.8239601247213099,1.0248410025641668,1.0287985023890092,0.799700240027458,0.6992602862694302,1.0307689050266373,1.0298652863771252,1.0302782642517345,1.030295677739581,0.7133477350165867,0.7035180993252108,0.7034833793282109,0.9846572880988619,1.2170083291759988,0.7589837202702285,0.641638176178023,0.7535704970860375,0.7006936748781821,0.7240638537525942,0.6802431073183508,0.7190204882668032,0.8730558026090661,0.9129156915886756,0.6136629709885104,0.5360769532689423,0.5478160904561071,0.5702861485614108,1.2714858146986838,,1.0272442698160051,0.7243715017597459,1.1283719866741544,0.5974129667251209,0.5734881004535026,0.5548383619147195,0.4938458785017804,0.4761864063758788,0.4809669828464866,0.4752719839518997,0.47783589486631184,0.4787274148067363,0.48067744241896126,0.48120325421014165,0.6090227520855668,1.0621893181648359,0.9396257417461185,0.6718446910844403,0.6672745378320848,0.6826382206415064,0.6588659000012757,0.6907941683809362,0.6611826386217862,0.6592309247400443,0.6889914746649421,0.6878936150085111,0.6802702681322514,0.6515049132106331,0.6733266077324689,0.6989915049759835,0.8294557784238641,0.8260639474437781,1.0180102203377668,1.0307248511913802,1.0284493881388272,1.0321164387387667,1.0312012437603837,1.0309469128621727,0.7089399253836346,0.7051007891337081,0.7058411753608884,0.761286707114656,0.6376231377770444,0.7515667506945789,0.7012932823567828,0.7243454205991274,0.6851529792621562,0.7194672872804745,0.8741874056650848,0.9074605846703521
stanford_dogs_image_categorization,0.6096148547682356,0.5217463996383683,0.5493863195442799,0.5740213765656942,0.80045451949382,0.9767820555309821,1.2667732944877346,0.5637986757252789,0.0,1.035204764859196,0.7959678207739123,0.7716498526966993,0.718980697778066,0.7367453321586841,1.1257209438970328,1.1540278310956527,0.593681804436857,0.5723160027472138,0.5553284109620092,0.49198562527244827,0.4763577598448297,0.4766550311033042,0.47552805277862664,0.47769965306703366,0.4769669216578021,0.47707246193006386,0.47583916301091506,0.829635974394918,0.6113396246434577,0.8168152010928773,1.0619685422347693,1.0496985389881222,0.9407830912515172,0.6652136313254977,0.6658324557559119,0.6837354300326108,0.6600808238762925,0.6878758204823708,0.6586511186795843,0.6558790643612366,0.6923464199806367,0.6817059131484517,0.6739694799978823,0.6546283865674414,0.6760420269587806,0.6992881476199555,0.8301796964529209,0.8618499634156329,0.8233154870569263,1.023333292710272,1.0278281991264917,0.7993267274014506,0.6985279006259552,1.0297991258458368,1.0288950408983857,1.0293057281147213,1.0293405850930302,0.7129074483277287,0.7030538919639049,0.7030402987903188,0.98333169331803,1.216081695862456,0.7579557954005512,0.6409180141536382,0.7525950314329282,0.7000094534868895,0.7230028353632907,0.679280513756073,0.7180510376409048,0.8717245144302687,0.9120921369710785,0.6128478815514258,0.5353109423195971,0.5469873408761239,0.5695488731490399,1.2696522038412255,0.5637044922940894,1.025759938495307,0.7227898353079345,1.1269221333404753,0.5967870287943278,0.5729372070957999,0.5547628331200399,0.49364027838397095,0.47561526379298746,0.4803598078555239,0.4746913892419574,0.4772855090598005,0.4781649901591518,0.48010758007578885,0.48060359720131013,0.6084041289925629,1.0606579498455426,0.9386264511188835,0.6712817980909247,0.666712486765138,0.68205331170864,0.6583400633571618,0.6901817693153673,0.660585679278105,0.6586365334887315,0.6883955546963437,0.6873301594324601,0.6796838047070498,0.6509279538366646,0.6726850573767017,0.6984086175990433,0.8287947996335101,0.8254129933287052,1.016528916605257,1.0297439081756812,1.02748459564509,1.031141858222773,1.0302248275989414,1.0299857028382222,0.7085171363587119,0.7046294161070423,0.705383193327759,0.7602703639954342,0.6368846904585311,0.7505976287324884,0.700634444086414,0.7232841470575193,0.6841987593358965,0.7185015155578608,0.8728538073906211,0.9066430036604209
svhn,0.6099003513772978,0.5220417109614038,0.5496751070336847,0.574314059491803,0.8005955881636876,0.9767878373019423,1.2664543178975736,0.5638715123080298,0.9821923435083045,0.0,0.7963155496540808,0.7719917374978592,0.7189399607701259,0.736676823577563,1.125165780035931,1.1534535496984286,0.5939048552563355,0.5725048923713352,0.5554210611593785,0.49214096874183144,0.47656601902561474,0.47686633302202874,0.4757341599947112,0.477911836094592,0.47717797039979254,0.47729002009072535,0.4760534001503584,0.8298154131094005,0.6114209142895397,0.8170031744963153,1.0620360225552679,1.0499588017079535,0.9409517514054879,0.6653409539238414,0.665955164084701,0.6838526783399264,0.6602043543782521,0.6879853813866745,0.6587704991318528,0.6559996303050727,0.6924529061306682,0.681833728340697,0.6740839272382367,0.6547404416326772,0.6761614088602388,0.699408472717679,0.8302543480090088,0.8620007108720691,0.8233934493315471,1.0234221697952661,1.027937248178905,0.7994707091390821,0.6987396741934051,1.0299168394859377,1.029011986513459,1.029413678793576,1.0294420523633665,0.7130140225793231,0.7031712582956332,0.7031578852491677,0.9834279565883957,1.216191268118515,0.7580429522849277,0.6410404243619953,0.752692419408162,0.7000769442575712,0.7231414935151682,0.6793484777449537,0.7181486020329341,0.8719994603144698,0.9122474711308168,0.6131409495811196,0.5356099039653359,0.5472677591923509,0.5698375742332126,1.2693259989734045,0.5637801475618991,,0.7227345798389155,1.1263670542206747,0.5970001124280728,0.5731284802004952,0.5548553528948175,0.493795162517725,0.4758066682082792,0.48055845227605165,0.4749030583859597,0.47749306990829155,0.4783839641340325,0.4803156146716965,0.48081286209024016,0.6084785209997617,1.06072573481144,0.9387883589334514,0.6714091345313173,0.6668409549542967,0.6821612721959387,0.6584629496861449,0.6902999813490241,0.6606911834151348,0.658767107648256,0.6885151320378935,0.6874483455415179,0.6797943202442065,0.6510380701329458,0.6727980090546972,0.6985189885692624,0.8288699886067541,0.8254957606325595,1.0166060591081227,1.0298464301232761,1.0275941979917649,1.0312596013989532,1.030341435720147,1.0300910566957904,0.7086156724818008,0.7047509031439809,0.7054965651774331,0.7603601448234895,0.6370086478502203,0.7507023183187855,0.7006991837251874,0.7234200082995792,0.6842661529273959,0.7185878004290882,0.8731336786791847,0.9067982004149412
