,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.4378754760788442,0.44764572610578146,0.4798121841772711,0.6068075403211294,0.7139604983117493,0.8149964852838509,0.49280862472430503,0.8919633020431373,0.72205195572529,0.7240273993714443,0.713120625594367,0.6152164707472549,0.6332280726371974,0.7556323443771853,0.7757972555614541,0.48274118072232625,0.45351526863975633,0.470709390104979,0.4230956950855686,0.3836239934056493,0.3848707475963102,0.3833929195479778,0.38424425546357166,0.38530331009050517,0.3848634501061355,0.38413350998972284,0.6273802526759833,0.5342159074454512,0.6297403403032786,0.7364274798651604,0.752196087635741,0.81628805795043,0.6220545343820638,0.6168586764379004,0.634535147786783,0.6154522992116733,0.6379718674403895,0.6131564817853463,0.609695248095563,0.643144628201022,0.6374577795655968,0.6239787990796272,0.6056210419328543,0.6261062604545673,0.6491874630242622,0.8127138534952347,0.6437270864286657,0.8117727776871501,0.7130734858764648,0.8372542504194987,0.7925105066796424,0.6373445185157188,0.8402731450226445,0.8398654918556889,0.8393233188670209,0.8399210154443321,0.6495585704269509,0.6378120101627891,0.637713224417341,0.7973896570639206,1.0267973445194527,0.7074019347082989,0.5837273865515592,0.6619444964225838,0.6710775501613715,0.6527557117964691,0.6224661257017026,0.6580163886704318,0.7688715799756047,0.7789449691214402,0.4839365159568157,0.44735502963155205,0.44687958314207016,0.4788662023873403,0.8143613261137073,0.4913797597329901,0.7187208854604222,0.6166478182945576,0.7582543572786675,0.48441560235905123,0.4538484151534386,0.4721643928471111,0.4244373795651437,0.3823695551498809,0.3872555631010485,0.3834087837947172,0.38499908170730474,0.3881126885034838,0.38687993119854686,0.3861257271342017,0.5350706136793165,0.7373538596863342,0.8122315255710454,0.6286141619199511,0.6185940557449633,0.6326164382253526,0.617382346407652,0.6365576029614195,0.614411216498851,0.6097146901875097,0.63864835825023,0.6443104560629067,0.6296191105827619,0.6035607086048694,0.6255875832806361,0.6511026629008432,0.8128756657792329,0.8123422027181609,0.7129330801068775,0.8374959620597288,0.839433239113436,0.8404209741231734,0.8398277942016785,0.8405106935598089,0.6466669905435624,0.6397870453576614,0.6393286534728556,0.7099441220786022,0.5798638436987492,0.6613035610709568,0.6697329625478095,0.6535948170560096,0.6251805417403544,0.6559403396184651,0.7691611396590027,0.7741486310096446
lapgyn4_surgical_actions,0.48345264077999484,0.0,0.44760710732811465,0.4796810284063928,0.6068842808592197,0.714027446730412,0.8150440741870355,0.492818625731143,0.8920900788469874,0.7220795293971678,0.7241063672216099,0.7131982032654383,0.6153051483871658,0.6333206222019658,0.7556593808262175,0.7758340509317089,0.4828288304454467,0.45359799120771876,0.47073753200508606,0.42311638092527804,0.38359645600220565,0.3848416286361014,0.38336495947176696,0.38421758911754084,0.3852750664952832,0.3848367028798179,0.3841055234988823,0.6274555894534458,0.5341786880735087,0.6298072081505651,0.7365087969155946,0.7523020002565729,0.8162994646904148,0.6220793164508953,0.6168812461417806,0.6345532718937092,0.615478371982976,0.6379907490568568,0.6131803659314474,0.6097213947890854,0.6431636208947231,0.6374758535818228,0.6239996830684928,0.6056446136626297,0.6261340236888956,0.6492016777418129,0.8127223546395714,0.6437959623412569,0.8117759740213221,0.7131559573667099,0.8373045229573953,0.7924785650148584,0.6373563646675108,0.8403229727684506,0.8399136919728246,0.8393721136075458,0.8399686202442148,0.6495491614105953,0.6378270830061324,0.6377285476868129,0.797421972347337,1.0268099351395386,0.7073668343985352,0.5837207978049581,0.6619437883325631,0.6710331855936595,0.6527431501006006,0.6224643375160502,0.6580127294392594,0.7688987153988778,0.7789799965945429,0.4840470032413491,0.4472878242045634,0.44683839601909087,0.4787300108956577,0.8144066391430467,0.4913893374380098,0.7187626993659052,0.6167368332088078,0.7582814594932333,0.48450437255343176,0.4539297944993566,0.47219100463769137,0.4244591425550963,0.3823434503318258,0.3872277048058772,0.3833792682192094,0.3849709194043335,0.38807825957285436,0.38685341876264706,0.3860988095227545,0.5350285991767699,0.7374384765537053,0.8122452233669727,0.6286365181982555,0.6186140012091393,0.6326344358228341,0.6174058615230371,0.6365771970897095,0.6144359406085863,0.6097420859221876,0.6386686675814103,0.6443281805141978,0.6296381994065725,0.603583106557953,0.6256127345165654,0.6511153277224115,0.8128808436546188,0.8123479552571294,0.7130187138496388,0.8375441824606041,0.8394834525612717,0.8404696175212933,0.8398763098899654,0.8405599482233472,0.6466603908026074,0.6398010894002474,0.6393407935644381,0.7099087193121248,0.5798576115957305,0.6613007412028787,0.6696912550904418,0.6535876214142655,0.6251803840596228,0.6559361321808198,0.7691869036814847,0.7741853603471798
lapgyn4_instrument_count,0.48347279937749615,0.4378412570658272,0.0,0.4796606044813237,0.6068252979679934,0.713986554524237,0.8149935057286763,0.49281827731077876,0.8920065814134231,0.7220321527119731,0.7240291524212604,0.7131193767605402,0.6152415799057722,0.6332555916708165,0.7556236920961724,0.7757838090976454,0.4828015761011502,0.45357046842641735,0.4707518545138779,0.42315895494449257,0.38356292471713305,0.38480946177541164,0.3833313994581822,0.38418357516180157,0.38524248320880533,0.38480325266692533,0.384072307983938,0.6274074722203922,0.5341986541953034,0.629814577305775,0.7364695881084828,0.7522331136474435,0.8162895950861634,0.6221022446097613,0.6169077820508448,0.6345845383321175,0.6155001334517908,0.6380227964233732,0.613204007587413,0.6097445504558708,0.64319537858748,0.6375076551056419,0.6240261177782092,0.6056656042220931,0.6261589967321352,0.6492355139651272,0.8127397982566831,0.6437545338165861,0.8117982368694064,0.7131163959952432,0.8372532839529553,0.7925333702091447,0.637368634857397,0.8402711300040128,0.8398638684647652,0.8393215994927198,0.8399179054659783,0.6495188226861868,0.637801481651132,0.6377061682882472,0.7974316209918059,1.0267695780677528,0.7073537849305611,0.5837023229960382,0.6618929482773614,0.6710589405355295,0.6527113496425901,0.6224427087564237,0.6579763606245332,0.7688907235161745,0.7789385742730358,0.48406614775944784,0.4473057435437053,0.4467966455467932,0.47871494918561974,0.8143550486883722,0.49138894972995184,0.7187149236266055,0.6166724476193741,0.7582463072927754,0.48447763327541304,0.45390191707010197,0.4722044079304991,0.4245013197060387,0.3823104295372505,0.3871949827556022,0.383348009602267,0.3849372223906898,0.38804507859017395,0.3868193641077519,0.38606357678786085,0.5350541106143639,0.7373999899900674,0.8122346332144667,0.6286638041837688,0.6186429246567847,0.6326643668942158,0.6174331843618125,0.636605481373755,0.61445997194884,0.6097633607412082,0.6386991070037699,0.6443619532730809,0.6296666879521948,0.6036036910394108,0.6256393436319426,0.6511505999160279,0.8129011427147559,0.8123712317095751,0.7129820007743612,0.8374928358560187,0.8394330008513352,0.8404211927997195,0.8398264435938197,0.8405088403172363,0.6466296888470244,0.6397764952425186,0.6393194016566994,0.7098962746693195,0.579838278665645,0.661249350640937,0.6697159643091185,0.6535541428345558,0.6251568043767279,0.6559002976125136,0.7691796504040446,0.7741446045525792
lapgyn4_anatomical_actions,0.4834496105278694,0.4377506401260761,0.44748978411186685,0.0,0.6068561551227926,0.7139854348098562,0.8149990773829093,0.49285452380381906,0.8920282543157456,0.7220264520725055,0.7240369896825588,0.7131268169373965,0.6152577581496755,0.6332698501582293,0.755637639258842,0.775798030974703,0.48284980014695905,0.4536105191160348,0.47077481698747736,0.42317008012897084,0.38354707676073785,0.3847934967225202,0.3833152564829704,0.38416787334096536,0.3852266020621424,0.38478813308205856,0.38405645777487984,0.6274313364765102,0.5341608842591831,0.6298408763358999,0.7365206169177262,0.7522746292133768,0.8163155281970416,0.6221099230717839,0.6169113078037655,0.6345866346334765,0.6155098199820621,0.6380213684029208,0.6132097296993897,0.6097554978915062,0.6431966455181799,0.6375077827810478,0.6240289691306685,0.6056744152469642,0.6261623227885711,0.6492317551241769,0.812762412566579,0.6437699988663085,0.8118168262802354,0.713135954225341,0.8373176107093062,0.7925112303728403,0.6373988064226006,0.8403365678353091,0.8399284976266854,0.8393859207043171,0.8399825759689981,0.6495538020410839,0.6378499256770883,0.6377551407885022,0.7974515757934351,1.0268245550735433,0.7073601595120976,0.5837156213021665,0.6619081486149471,0.6710420906527566,0.6527143881400599,0.6224331936641794,0.6579963621585511,0.7688684792417837,0.7789746354639407,0.48404264877620734,0.44722171306042624,0.4467232831046148,0.4785215440862412,0.8143610695071617,0.4914226768526709,0.7187160847806379,0.6166892592792322,0.7582588137220696,0.48452578980975775,0.45394119926417703,0.4722277389927291,0.42451285750867157,0.38229621696718513,0.38717952478723255,0.38333254859931465,0.38492311932271867,0.3880256689875846,0.38680374393608613,0.38604877619799555,0.535013272891579,0.7374518670053632,0.8122616325215428,0.6286684083497377,0.6186459799517084,0.6326659131777483,0.6174422086178637,0.6366055324653882,0.6144660636365554,0.6097736563968996,0.6387021004276239,0.6443603363783271,0.6296694312120421,0.6036127822240914,0.6256411139733987,0.651146955930911,0.8129219781226408,0.8123906848794031,0.7130036698546983,0.8375567112623509,0.8394970697570957,0.8404847315625078,0.839889929212775,0.8405744094308991,0.6466648547559861,0.6398241765593934,0.6393650982856258,0.7099031028486322,0.5798498472164567,0.6612649644431197,0.6697002577099509,0.6535598094134456,0.6251492636685713,0.6559218623078514,0.7691567667637018,0.774181940208223
sklin2_skin_lesions,0.48369382101291114,0.4381875044296759,0.4478143650671052,0.4801498524588512,0.0,0.7136133726141898,0.8146107379595424,0.4927758159964821,0.8915658420939254,0.7217824692836382,0.7236187660006603,0.7126897949056618,0.6149292248936881,0.6328903169386803,0.7554372125305914,0.7755618601618983,0.48254649928540183,0.4533764047150319,0.47074250893848185,0.4231910207280683,0.38369963784628774,0.3849565722135638,0.3834716407289053,0.3843175036258987,0.38538310142604126,0.3849427986970589,0.3842174749315936,0.6266304177604609,0.5340652282790009,0.629322553510844,0.7360574657258381,0.7514883472568687,0.8159403111913709,0.6219733385979271,0.6167848701118398,0.6344649577741812,0.6153640436862367,0.6379110386252583,0.6130720501145202,0.6096013002871772,0.6430854305413457,0.6374055489434237,0.6239023633555352,0.6055094885961448,0.6260452794029747,0.6491202050691648,0.8126892523630475,0.6429014756163257,0.8117586083371859,0.7122562994994774,0.8366317981384688,0.7925874703243712,0.6371113304360256,0.8396482697408452,0.8392429887835688,0.8387012343245182,0.8392980474924375,0.6491457452083613,0.6373588306447475,0.6372660572294992,0.7970384039807058,1.0263056421529995,0.7071971088156855,0.5835406490573644,0.661677815057572,0.6710076140798498,0.652550630738159,0.622261592927349,0.6577365712786255,0.7685639658756949,0.7783463771324597,0.4842781672103577,0.44762912272810945,0.4470726302257465,0.4792130278352174,0.8139653752869245,0.49134348598717326,0.7184662473425456,0.6163600147030678,0.7580581304582443,0.48422513054040406,0.45370391455949705,0.47219554657722723,0.42453877982916854,0.3824375013110328,0.3873307853847003,0.3834956734212787,0.38508740318396545,0.3882131776208327,0.386962479182251,0.386176298236641,0.5349445488813935,0.7369836505944066,0.8118868706832222,0.6285452080174788,0.6185381503549531,0.6325414657559139,0.6172979701974517,0.6364772627785388,0.614317111719439,0.6096150559301609,0.6385865506153017,0.6442598738603559,0.6295415512301912,0.6034418818946349,0.6255269726119481,0.6510487687068789,0.8128578639390585,0.8123295104087512,0.7121206832044413,0.8368745259999367,0.8388089038487477,0.8398038384577833,0.8392047949499851,0.8398881673467081,0.6462510088984754,0.6393319737083768,0.6388792556427527,0.7097471245737832,0.5796777220990951,0.661042974837499,0.6696701295550316,0.6533838667624301,0.6249810848647255,0.6556537961628048,0.7688545482875607,0.7735540858542137
identify_nbi_infframes,0.4833972974368672,0.4378749782547426,0.44748535897676933,0.47989236037048333,0.6062899634233277,0.0,0.8140984546647233,0.4927356235651509,0.8907739378339757,0.7212502531942456,0.7229423115353316,0.7120171130953309,0.6143808604435298,0.6323411968527225,0.755034266569596,0.7751758492748868,0.4824062352402646,0.45322075142484713,0.47065968415130083,0.42301236580823637,0.38342507450801716,0.38470401834991735,0.3831888570896648,0.3840335828396952,0.38511409259333357,0.3846599005194927,0.3839544491876595,0.6266419012154203,0.5336713301425966,0.629101400182231,0.7356522701988376,0.7515170539462891,0.8158669375662556,0.6217975874129595,0.6165708415519717,0.6342509463105717,0.6151949974316608,0.6376890719624296,0.6128969555651038,0.6094251670204591,0.6428615344591404,0.6372148841270204,0.6236857831157518,0.605356281530614,0.6258459980791404,0.6488828490247948,0.8125410298205071,0.6430497718530002,0.8116141120866756,0.7123187296028876,0.8369747846769172,0.7925807228658779,0.6370507071781475,0.8399935127154843,0.8395812022866077,0.8390390821788145,0.8396492594791726,0.6493731291517618,0.6376311619214451,0.6375416291160717,0.7966052014021237,1.0266561427505354,0.7068609419106769,0.5832675474784519,0.6613562825082502,0.6707703860957418,0.6521920502836509,0.6218992008220645,0.6574463750455315,0.7684506458981933,0.7786655075942437,0.4839881348622355,0.44730463972939555,0.4467541883230735,0.47894881818462315,0.8134599338357548,0.49130040101728245,0.7179370111603258,0.6158274910205176,0.7576613978380429,0.48408534378425583,0.4535406896348796,0.4720986983508557,0.42435857468209826,0.38217291164212924,0.3870180313288451,0.38322071864392304,0.3848349199910487,0.38796429928764925,0.38670997981937516,0.38591783652021927,0.5345610222622291,0.7365946428820856,0.8118205553788944,0.6283754107245241,0.618337946575131,0.6323326503340397,0.6171719961795361,0.6362558318726317,0.6141030065037582,0.6094395500291875,0.6383655568813554,0.6440723042691613,0.6293427801877151,0.6032734301537519,0.6252875982913948,0.6508367127117564,0.8127072371445037,0.8121802002302163,0.7121880898041578,0.8372027308754856,0.8391529079753893,0.8401328760204411,0.8395448673311998,0.8402368378291911,0.6464923369888046,0.6396038433974248,0.6391348903210032,0.7094055708566503,0.5793906663997753,0.6607389115445834,0.6694828193147607,0.6530328391715136,0.624623522997242,0.6553577080903289,0.7687428384619063,0.7738727955656489
laryngeal_tissues,0.48344776931553374,0.4379247208172533,0.44746323918583353,0.47995072476799566,0.6060964285682718,0.7125372976716333,0.0,0.4928045879076224,0.8902152750908569,0.7206609149184733,0.7225158017030481,0.7115909192154217,0.6138697802821507,0.6318260290700038,0.7547029049946158,0.7748107526757689,0.48245178709487346,0.4532757173965588,0.47072881654437676,0.4231766764935558,0.3834931394366194,0.38478745246723933,0.38325809065519406,0.38409245060319297,0.38518118793202877,0.38472043623507673,0.38402430611410776,0.6263474775636823,0.5335462232447833,0.6289795927902002,0.7354448989701312,0.751182318108928,0.8158199890940879,0.6219575329094085,0.6167342395672901,0.6344036093561988,0.6153481604313156,0.6378488550171612,0.613058608836309,0.6095793742665259,0.6430232208958736,0.6373879056817351,0.6238408104452157,0.6055163805484517,0.6260076513203494,0.6490309021462991,0.8125953533536979,0.6428339636467413,0.8116821318297945,0.7119141211400931,0.8369495180654022,0.7928275629975862,0.6370867193236707,0.8399743820123183,0.8395612430425766,0.8390136178038897,0.8396309763337318,0.6492985266529232,0.6375301725226382,0.6374386618239702,0.7964846610466412,1.0266910269020968,0.7066904993290496,0.5832715370952348,0.6613011480731841,0.6707575410730227,0.6520570169909401,0.6217521686181154,0.657297245960367,0.7683180968037697,0.7786936054028131,0.4840436283770996,0.44738876889745577,0.44673824446829663,0.47900876027386974,0.812351882048547,0.4913693482583038,0.717350444717181,0.6153117413346125,0.7573139434948315,0.48413820528411056,0.45359087026972544,0.4721751171989593,0.424526533124352,0.3822396437743148,0.3870850704088272,0.3832912547579036,0.3849130767096075,0.3880577764352017,0.38679120205062534,0.3859870725944482,0.5344759530594699,0.7363862260029744,0.8117681587659515,0.6285600503209803,0.618523512131549,0.6324894537999687,0.6173453518653396,0.6364211794905954,0.6142570293346828,0.6095885544383314,0.6385336197433925,0.6442425957902506,0.6294973512870606,0.6034214859259626,0.6254403191096546,0.6510042835770399,0.8127737439848003,0.8122435067449687,0.711796924428184,0.8371743163139126,0.8391360377146453,0.8401104180950189,0.8395214378655528,0.8402155213362755,0.6464080537459599,0.6395023651974094,0.6390362487411883,0.7092359131345679,0.579388563586144,0.6606832971341386,0.6694922395992835,0.6528872814961235,0.6244873731206512,0.6552128959002574,0.768616117462952,0.7739013054839093
nerthus_bowel_cleansing_quality,0.48380379390650136,0.4382525789131221,0.44797757508426334,0.4802054583455651,0.6068483210313456,0.7141293513454174,0.8150774876183241,0.0,0.8921902125167556,0.7220686607367949,0.724197572044428,0.7132776498297574,0.6153627202286502,0.6333749361978855,0.7556269842056722,0.7757611142513425,0.48268169949977746,0.45340116297045935,0.4702645396050013,0.4229017510506239,0.3837361285507709,0.3849801147804185,0.3835050973937284,0.3843579099727004,0.38541683627604334,0.3849786996578439,0.38424885719527724,0.6274039831553007,0.5339713861403318,0.6298511580010779,0.736438643275421,0.7522967526315633,0.8160251469386208,0.622040109495197,0.6168264707631146,0.6344962663595152,0.6154313626077312,0.6379309835201715,0.6131386771327607,0.6096730796766312,0.6431043944527743,0.6374336414365703,0.6239473735166007,0.6055971577308816,0.6261025462124183,0.6491451074859292,0.8127029303471496,0.6437567976593894,0.8117582763589466,0.7131479750030134,0.8369816420211141,0.7924984917608218,0.6371484774977716,0.8399964988098636,0.8395917994815115,0.839050662479987,0.8396388820728068,0.6491708217433149,0.6374233238761883,0.6373189650370846,0.7974178114148235,1.0264382314424294,0.7073121824634859,0.5835845507996067,0.6617675276122187,0.670985077469402,0.6526920422646751,0.6223676836865393,0.6578917569664056,0.7690404067256664,0.7786699012159366,0.48439697178766494,0.4477307354090913,0.447218126486976,0.47925633451903743,0.8144400820384645,0.49067205619362164,0.7187466543066183,0.6167883299147565,0.7582526555765398,0.48435813772747666,0.45374515116772485,0.47171575593690435,0.4242463861183896,0.3824804556765942,0.38737300996623414,0.383526523459336,0.3851074690952435,0.3882269506178572,0.38700092460087876,0.3862274751219419,0.5348165730866077,0.7373681119096769,0.8119691165012284,0.6285985663565729,0.618562463557311,0.6325737620331393,0.6173569436677419,0.6365136141821118,0.6143902855018717,0.6096937206821998,0.6386117831415898,0.6442850320460394,0.629582908172191,0.6035359239074294,0.6255866247234227,0.6510611856046848,0.8128611398600458,0.8123289600808531,0.7130123878508597,0.8372232838398905,0.839157076018847,0.8401469198368535,0.839552699123284,0.8402310159300083,0.6462786465614299,0.6393993425023871,0.6389329079838322,0.7098533103985795,0.5797216334384137,0.661128854939764,0.6696411905827147,0.6535320626174471,0.6250809778173868,0.6558143680999712,0.7693300975397348,0.7738785096223256
stanford_dogs_image_categorization,0.48339731906709626,0.4378604498637062,0.4474236079468649,0.47983723132857575,0.6061708517791439,0.7128400923744667,0.8139532431804131,0.49269949676810576,0.0,0.72109877703874,0.7225252452074921,0.7116191091519438,0.6139312250492056,0.6319438736212099,0.754985493911747,0.7751581253630432,0.48237804740124085,0.4532370598156446,0.47065945931654524,0.4230552885413388,0.3834324206784949,0.38471936257952183,0.38320815114304124,0.38403442059933696,0.3851265533219741,0.3846571880939927,0.38396343582159514,0.626468129177204,0.5336623593015817,0.6289593058472864,0.7355309372995404,0.7512099426973607,0.8156632596536382,0.6218684962174102,0.6166579133745572,0.6343330312649998,0.6152636743625032,0.6377781834397749,0.6129818705703346,0.6094904489743399,0.6429516322314296,0.6372889386108013,0.6237693006015206,0.605436783832713,0.6259105268509,0.6489464850296869,0.8125416050753791,0.6429778468749766,0.8116162077358223,0.7121802198671862,0.8368201822270988,0.7925902099499602,0.6368314706483693,0.8398418480032306,0.8394265063489015,0.8388886918761063,0.8394990905737413,0.6491574712534053,0.6373894610737297,0.6373147842366974,0.7966301426703686,1.0264731779334706,0.7066581915436333,0.5832138623063606,0.6612092693314213,0.6706579409713325,0.6519903470078103,0.621724850307962,0.6572614394319495,0.76804920600997,0.7785610300174699,0.4839802139461513,0.44732224777853824,0.4467157160569061,0.47889264775124324,0.8133206752814983,0.4912632239372405,0.7177665859339577,0.6153732561786274,0.7576066679351798,0.48407484792849215,0.45355583944155087,0.4721000121372172,0.424406264039042,0.38221746823395947,0.3870506252209375,0.38322939559586333,0.38487412921743347,0.387965527507319,0.3867399820717519,0.38591869025151654,0.5345806107751429,0.7364567622648269,0.8116211538543902,0.62845290616723,0.6184213321271042,0.6324234440477033,0.6172391898116308,0.6363415906099797,0.6141889728673817,0.6095089255527115,0.6384499602276311,0.6441539057636081,0.629430244662081,0.6033507264215698,0.6253296105047506,0.6509307249653556,0.8127192950656885,0.8121768598387135,0.7120889511081356,0.8370542580315921,0.8390037618955251,0.8399788345469974,0.8393858979411514,0.8400855611352365,0.6462831225171461,0.6393421144271966,0.6389155104809243,0.7092137465098528,0.5793216120361362,0.6605789722803763,0.6693561459547847,0.6528324153887569,0.6244598100923093,0.6551972775106464,0.7683360317952378,0.7737731107008454
svhn,0.48374231191935657,0.4381820740510153,0.4477488658939512,0.48016308699185023,0.6063803276098442,0.7129476143449079,0.8136950694756939,0.4928152689435606,0.8908537645193043,0.0,0.7230193363153624,0.7120962270969023,0.6141293721091977,0.6321072350163534,0.7547313406990279,0.7747834577412284,0.4826704666586413,0.45346166171223395,0.47078564350765806,0.42323001905057234,0.3836487339890327,0.38493719313630764,0.3834186115578549,0.3842586175218218,0.3853437919416887,0.3848924095823097,0.3841868353633993,0.6267465608839968,0.5338111922587129,0.6292766219192366,0.7357779569127353,0.7517191218651713,0.815967095387755,0.622034525231408,0.6168242928014791,0.6344894881621139,0.6154256972021953,0.6379287798812869,0.6131368194259699,0.6096480569070202,0.6430991250300947,0.637466765880905,0.6239215395673428,0.6055849108119911,0.6260770593546419,0.6491204878454103,0.8126524717952038,0.6432227781215658,0.8117277065249362,0.7124241580862904,0.8370773772184208,0.7927704365455542,0.6371278431478303,0.8401135102380402,0.8396971728450537,0.8391393093441554,0.8397456169606301,0.6493449650128654,0.6375815996656664,0.6375056862850002,0.7968768077004502,1.0267275047484343,0.706798843274812,0.583365806350388,0.6613703587150984,0.6707917119891282,0.6521634261941303,0.6218397262344427,0.6573940533898402,0.7685478424320741,0.7787911369440064,0.48433295213975325,0.4476219900367817,0.44702122367731495,0.4792180127200998,0.8130525261297303,0.4913821711508611,0.7170577362731955,0.6155600554267374,0.7573431134304207,0.484351006172118,0.4537847202858437,0.4722292241875364,0.4245759922145618,0.38240184754314166,0.38725362796168605,0.38344956197553187,0.3850854831376547,0.3882023091573593,0.38695723868165566,0.38613377837903223,0.5347079322102845,0.7367137147623115,0.811913352988855,0.6286285041778825,0.6186025959348794,0.632575838622715,0.6173997261453007,0.6365167683020068,0.6143160532677941,0.6096804188615115,0.6386187738354602,0.6443193703824975,0.6295856017854595,0.6034859852308351,0.6254718136841184,0.6510806320168172,0.8128308058448761,0.8123004633443253,0.7123070632005459,0.8372956670263554,0.839265409508412,0.8402501705960682,0.8396531950819048,0.8403374976171181,0.6464531041835148,0.6395508264196924,0.6390968060302057,0.7093596712983119,0.5794778560488292,0.6607514556202413,0.6694847909088323,0.6530002133713284,0.6245736803549401,0.6553063737235805,0.7688447695197844,0.7740032822170413
