,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.48345264077999484,0.48347279937749615,0.4834496105278694,0.48369382101291114,0.4833972974368672,0.48344776931553374,0.48380379390650136,0.48339731906709626,0.48374231191935657,0.4835966114074695,0.48361657830234733,0.48380102571197864,0.48378940800143777,0.4837937017848902,0.4837412863452067,0.48365923150052526,0.4836693184898824,0.4837495067276114,0.48369528413323526,0.48368510024740713,0.48368492433065097,0.4836855813668854,0.48368371693558676,0.4836816655278434,0.48368161744999594,0.4836834153779018,0.4836705592953352,0.4837589525510439,0.4835582944020472,0.4834471309632706,0.4833690705650022,0.4836273172439441,0.48364984933641814,0.483648660172565,0.48364588622866395,0.48365218271957366,0.48364257853830744,0.4836509876982401,0.48365438988558734,0.4836445846812532,0.48364393343852036,0.48365115553088533,0.48366070758009716,0.48365046293579667,0.4836413422877592,0.48356535974685344,0.48365633043531336,0.4835665344608732,0.48348306144480313,0.48364011591878464,0.4835795983155722,0.4837582950566841,0.4836395079333198,0.4836417997574129,0.48364123570778694,0.4836409182793136,0.4838534810181354,0.48385516232678694,0.48385569185410343,0.4836205671908303,0.4835781980014636,0.483674988189161,0.48376272539803716,0.48372947406154765,0.48369735622763704,0.48372471257599353,0.4837319130137381,0.48375186506769213,0.48356942246090817,0.48368116101003605,0.4833406489764693,0.4834614010650235,0.4834672128931755,0.48344852027411406,0.48344673558939305,0.4838031471960423,0.4837501818529167,0.4838000906135613,0.4837935015305634,0.483655775530774,0.48367197832435227,0.4837511672281279,0.4836918590194278,0.48368558162410286,0.4836837324796952,0.4836865761324833,0.4836844445654324,0.4836838470827737,0.483678399243938,0.4836887295951222,0.48376039097481344,0.4834474986793901,0.4836303591357381,0.48364703263069536,0.4836504893395822,0.48364746685707444,0.4836538460529717,0.4836481314088434,0.483653796688711,0.48365240812428595,0.48364642261680363,0.4836402182950717,0.48364749602594476,0.4836593649948773,0.483649165249627,0.4836404145511444,0.4835676649373399,0.4835667397178884,0.4834889622710328,0.48363813544007583,0.4836430543291229,0.48364034809144574,0.4836403112746888,0.4836392563529395,0.4838553678315193,0.48385919368571434,0.48385400888436114,0.4836765480077349,0.48376490852190823,0.48373139558726547,0.4836986170192039,0.48372359097584855,0.4837315013423683,0.48375550696729536,0.4835686563988707,0.4836827457125028
lapgyn4_surgical_actions,0.4378754760788442,0.0,0.4378412570658272,0.4377506401260761,0.4381875044296759,0.4378749782547426,0.4379247208172533,0.4382525789131221,0.4378604498637062,0.4381820740510153,0.4380049921568189,0.43801629326639785,0.43823632252346423,0.4382250005860308,0.4381823729713152,0.43813757705354844,0.4381611549470505,0.43817324305092725,0.4382167256244208,0.4381477764811988,0.4380793816688946,0.43807900125728383,0.4380792486352449,0.4380786929587166,0.4380759489134256,0.4380767882135796,0.438077973901135,0.4381271253914427,0.4381331032667652,0.4380430263045046,0.43789633257761884,0.43788028347545827,0.43803251674454347,0.43811125114351307,0.4381095687204044,0.43810221367323465,0.4381153813333606,0.43810036959458637,0.4381126173218686,0.43811629367971255,0.4381029011930748,0.4381013184005598,0.43810815756041604,0.4381208785266672,0.4381144346249336,0.4380951509536171,0.4380331201966259,0.4381393232777104,0.43803171402912205,0.43798966095559333,0.4380919343384516,0.43802093749323884,0.43815892718495647,0.438090809968234,0.43809321414993574,0.4380913135638386,0.438091574482717,0.4382545246074202,0.43827706756803253,0.4382805517285088,0.43803970178970697,0.43797055693560777,0.43804048844601945,0.43818063566991183,0.4381520117141165,0.4380782432926542,0.43810517818851574,0.4381220920430692,0.43814628060930366,0.43801394493085405,0.43812837484547523,0.4378752639681466,0.437813726060873,0.43783484651876886,0.43774880283787815,0.4379234392248003,0.4382529268834706,0.43818912378722225,0.43823660011919324,0.43818204320712517,0.43815950223757416,0.438173403105762,0.4382165081768791,0.43814566175537634,0.4380804621481662,0.43807790263399055,0.4380801089670126,0.43807800374164585,0.4380733840497782,0.438072787039352,0.43808219883157795,0.43812989490740284,0.4378970738591498,0.4380357785623969,0.4381080957306353,0.43811006322470364,0.43810265668507675,0.438115649246242,0.4381058360613093,0.4381151998506946,0.4381173244494319,0.43810461591568534,0.4380960201345592,0.43810498017408156,0.43811887437971886,0.4381104292257171,0.4380943468205927,0.43803255520240925,0.43803304252644826,0.43799607941853985,0.4380895531530792,0.4380940396487672,0.4380924464784609,0.4380912756177004,0.43809174858108524,0.4382569869467631,0.43827989393522915,0.43827872961720654,0.438042696691006,0.43818291082288724,0.4381505365804956,0.4380802365353296,0.43810610931668403,0.43812307711219367,0.4381511788589295,0.4380140121004732,0.43813039473792786
lapgyn4_instrument_count,0.44764572610578146,0.44760710732811465,0.0,0.44748978411186685,0.4478143650671052,0.44748535897676933,0.44746323918583353,0.44797757508426334,0.4474236079468649,0.4477488658939512,0.4476224610986929,0.44763928580231604,0.4478785983532549,0.4478635263095756,0.4477503103414965,0.4476718893109416,0.44787678232048245,0.44788778785062994,0.44795887151454955,0.44792213716149176,0.44780974817024555,0.4478102759051359,0.44780981677478193,0.44780823984821094,0.4478067437682949,0.44780706926023583,0.4478083873442464,0.4477651200855054,0.44788519870923865,0.4477370037097208,0.4474764134739563,0.4474260364635435,0.4476883986400963,0.447845726214944,0.447847298248718,0.4478412086286395,0.4478490305601161,0.44783926610760016,0.44784766639022944,0.4478521180356797,0.44783996260950915,0.44784062899174654,0.4478445704082917,0.4478541413336725,0.44784877973857207,0.44783322992173313,0.44774390749953963,0.44777091778452127,0.44774771159638005,0.44757852505838674,0.4476375898783101,0.4477675783315917,0.4478852809536147,0.44763704804996046,0.4476396465942154,0.4476371230458326,0.4476375582913079,0.4479183888772774,0.4479538515565705,0.44795822391488993,0.44770971136034987,0.44747407629341984,0.44772100641433316,0.4478788981852199,0.4477995523081952,0.4478029727956826,0.44776936051351796,0.447807133298007,0.44781194874889046,0.44767022073464785,0.4477093072250023,0.4476441069899822,0.44759562169368533,0.4475593923087328,0.44749246436231893,0.44746055026157705,0.44797721353590303,0.4477577487314777,0.44787798961889985,0.4477498395277464,0.44787509199472236,0.44788714968373117,0.4479587220040474,0.44792052497830004,0.4478110169182458,0.4478086092963294,0.4478124082966546,0.44780759783192026,0.4478045097016499,0.4478036050569569,0.4478102756755913,0.4478856355654914,0.447476903327946,0.447693632933032,0.44784511301126334,0.44784905066257424,0.44784081348452803,0.44785272207343013,0.44784173049014364,0.447849591027818,0.4478515656553731,0.44784166685050036,0.44783705631531057,0.4478407500699992,0.4478520710809659,0.4478464252543566,0.44783408122148605,0.4477455169807487,0.4477494292134918,0.44758910987183415,0.44763348079292253,0.44764069917444405,0.44763842069377746,0.44763638973545083,0.44763759403832254,0.4479233194682937,0.4479548120808559,0.44795629389207103,0.44772239157711696,0.44788042907866876,0.447798389923539,0.44780543298573894,0.4477693990917914,0.44780597502637365,0.44781664512267866,0.44766930018134055,0.44771327407788364
lapgyn4_anatomical_actions,0.4798121841772711,0.4796810284063928,0.4796606044813237,0.0,0.4801498524588512,0.47989236037048333,0.47995072476799566,0.4802054583455651,0.47983723132857575,0.48016308699185023,0.4799633931141104,0.47996824968335355,0.4801808045016936,0.48017782551794597,0.48015586882861766,0.4801315889259444,0.48013264255576965,0.48013163640659956,0.4801726342174662,0.4801171016475642,0.47995894489990565,0.47995877138427534,0.4799574842887824,0.4799572519962567,0.4799552378503919,0.47995630339076745,0.479956396200719,0.4801023434710983,0.48005698651476386,0.48006890446118183,0.47993945427725687,0.4798735840991999,0.4800682865554754,0.48007495146607393,0.48007738576334963,0.48006941545376136,0.48008067434678386,0.4800676530055178,0.48007704108431054,0.48008387480615755,0.48007091998150836,0.480064700253511,0.4800736099004037,0.4800842841094343,0.480076669319673,0.48005964989331257,0.48000809494263114,0.4801096118432495,0.48000589951486183,0.4799968137294639,0.48008011500381803,0.47996259913215145,0.4801368169176246,0.48007879135846304,0.4800814383483813,0.48007993585757364,0.4800802441424539,0.4801849231734595,0.4802275915765897,0.4802325488721142,0.4800656954758154,0.4799786684205032,0.4799839358761059,0.48012557713207143,0.480082826584722,0.48001562177352086,0.48002953078285415,0.48004106219222464,0.4800803997304815,0.47995988216644414,0.4800961780812323,0.47981228258930064,0.47968021315704157,0.4796553014851132,0.4794691942746831,0.4799492579446859,0.48020513989923036,0.4801683273555715,0.4801831159458971,0.4801545250580917,0.48013105323817784,0.4801316312408655,0.48017257762776683,0.4801158734247768,0.47996175917192524,0.47995847072336,0.4799599291403678,0.479956494785861,0.479946513444803,0.47995142383120126,0.4799608896790087,0.48005313380903125,0.4799415562003283,0.4800717335263733,0.4800722412401962,0.48007820531760576,0.48006843444870634,0.4800810403768529,0.4800722395402092,0.4800787832397641,0.48008494960625936,0.48007292843292426,0.48005961324702956,0.4800711047905907,0.480082382742496,0.4800722029701028,0.48005800441960284,0.4800073917119827,0.4800092428045142,0.4800036536248969,0.48007790427784136,0.48008201957138336,0.4800814492715196,0.48007956327910006,0.48007952157276057,0.4801883843407556,0.4802300496003745,0.48023078304072536,0.4799859906924405,0.48012613691700917,0.4800801308470832,0.4800187049237957,0.48003142791946396,0.48004187350271504,0.4800857694383976,0.47995964172128414,0.4800982437384937
sklin2_skin_lesions,0.6068075403211294,0.6068842808592197,0.6068252979679934,0.6068561551227926,0.0,0.6062899634233277,0.6060964285682718,0.6068483210313456,0.6061708517791439,0.6063803276098442,0.6063555050089374,0.6063660562505107,0.6065665138458706,0.6065383492114331,0.6063354220361091,0.606253991792316,0.606658395855736,0.6067294228557962,0.6068733937428265,0.6068991319164484,0.6068979954091853,0.6068994634635831,0.6069021735357341,0.606895636940369,0.6068977231153322,0.606899069220439,0.6069002250745476,0.6060695674900539,0.6067588646373976,0.6062966438268608,0.6060558103729775,0.6057547823587808,0.6062893842214467,0.6066080790073568,0.6066169133284897,0.6066166514625112,0.6066107422338567,0.6066118620150516,0.6066091665752071,0.6066080407679456,0.606619622750102,0.6066251951800821,0.606613458021662,0.6065973160943015,0.606632417419539,0.6066110965907208,0.6065742893854629,0.6060034434478119,0.6065859179455481,0.6058809137869644,0.605964836418976,0.6066141223575403,0.6065653795164094,0.6059645930213717,0.6059647005096697,0.6059632303480982,0.6059652892177186,0.60648879023536,0.6064633563613556,0.606474889947943,0.6063582946267246,0.6058455208276952,0.6065031850780847,0.6066355195483731,0.6065012711130245,0.6066915140084113,0.6065331016423718,0.6066168387656514,0.6065189832607152,0.6062685506624156,0.6060115333118455,0.6068033739761144,0.6068623759986459,0.6068368232455401,0.6068630441329498,0.6060927273351178,0.6068466787659506,0.6063893816227177,0.6065650057037709,0.606333528795129,0.6066604817087698,0.606724078877234,0.606873210276372,0.6069026573042687,0.6068949125507076,0.606900607359994,0.6069054869049779,0.6068972984435003,0.6069080633741505,0.606893420785096,0.606891304567482,0.6067698259645191,0.6060537163651677,0.6062946883441175,0.6066124517180942,0.6066257020228144,0.6066157956786087,0.6066155465095225,0.6066102907069505,0.6066121174619523,0.6066041636257088,0.6066192243318971,0.6066239632899623,0.606612373776771,0.6065954350086528,0.6066398215958159,0.6066169091998967,0.6065784273159401,0.6065864285496435,0.6058984223845567,0.6059601705920404,0.6059651471015126,0.6059652047737353,0.6059614669681734,0.6059638013477662,0.6064919176185687,0.6064626340110807,0.6064723342619469,0.6065036943954576,0.6066365626176176,0.6065061574070206,0.6066901993217999,0.6065317182450259,0.6066144942819124,0.6065174315312524,0.6062655118935257,0.6060175827235453
identify_nbi_infframes,0.7139604983117493,0.714027446730412,0.713986554524237,0.7139854348098562,0.7136133726141898,0.0,0.7125372976716333,0.7141293513454174,0.7128400923744667,0.7129476143449079,0.7132354806419995,0.7132674886026827,0.7134733138252696,0.713461215065414,0.7130066385699817,0.7128796399776626,0.7139472502654594,0.7140111605882713,0.7141103445724701,0.7140876454804651,0.7141454411689264,0.7141492578005431,0.7141468747095402,0.7141439638387529,0.7141451090712194,0.7141447785726516,0.7141496432119572,0.7134605465531203,0.7139169168514213,0.7133917735194077,0.7130006611269871,0.7129834638446158,0.7133417219000356,0.7136754176622027,0.7136390432393663,0.7136212367565761,0.7136880275016186,0.7136039710115138,0.7136765516113184,0.7136803611050709,0.7136112590459818,0.7136494312237291,0.7136384252604241,0.7137001302053146,0.7136634025947648,0.7136020159847881,0.7136556059422019,0.7134795199153755,0.7136786732597273,0.7131087045296037,0.7132572063133095,0.7137448255352024,0.713835052239916,0.7132533686907327,0.7132581284859506,0.7132527324251066,0.713256781839695,0.7139392509700688,0.7139270280580923,0.7139343124348672,0.7131124278180592,0.7129151760175516,0.7135390220260337,0.7137992876912357,0.7135824890550532,0.7137760541765826,0.7135934014505422,0.7136819133772047,0.7136456511837609,0.7134531708965433,0.7134722909905299,0.713956263984835,0.7139826664361468,0.7139918803151128,0.713997328996894,0.7125304710236093,0.7141268851863284,0.7129785612431462,0.7134683205890263,0.7130051989092419,0.7139449243014107,0.7140031750503867,0.7141129900542826,0.7140906259661762,0.7141380718516822,0.7141408642029494,0.7141554777597409,0.7141486839058107,0.7141554912530873,0.714146342273814,0.7141374958227924,0.7139273404894917,0.7130036906711236,0.7133506574014132,0.7136664892933685,0.7136526285245952,0.7136258199317781,0.7137061476012218,0.713594553334314,0.7136725465011938,0.7136738172834691,0.713615995531883,0.7136413227952736,0.7136324465760274,0.7137025189131762,0.713666032709878,0.7136099747187987,0.713664423087547,0.7136758560730123,0.7131287261446304,0.7132485664444705,0.7132620002681642,0.7132530091578994,0.7132508918707948,0.7132586909952809,0.7139453564591572,0.7139220300716002,0.7139309813830208,0.7135425417188721,0.7137979766633995,0.7135893725497056,0.7137739228919344,0.7135901549316412,0.7136729186621857,0.7136417958919442,0.7134517751182047,0.7134759795712491
laryngeal_tissues,0.8149964852838509,0.8150440741870355,0.8149935057286763,0.8149990773829093,0.8146107379595424,0.8140984546647233,0.0,0.8150774876183241,0.8139532431804131,0.8136950694756939,0.8142481868052226,0.8142812705825789,0.8141980806058502,0.8141883687404851,0.8140654132029559,0.8139474585226856,0.8149973588391366,0.8150271916066377,0.8150733712383984,0.8151083660108737,0.815147488959711,0.8151506316352977,0.8151485424617615,0.8151449829554738,0.8151471843249425,0.8151493862918897,0.815149951745246,0.8144560342877334,0.8148641539348326,0.8145221438764602,0.8140337291237061,0.8139906054325269,0.8144316399162405,0.8148419278589192,0.814830743799589,0.8148085389044811,0.8148593823806081,0.8147966168708388,0.8148445619663585,0.8148567642611435,0.8147993224261755,0.8148216101870254,0.8148185345254728,0.8148700958262788,0.8148276317433135,0.8147867608689431,0.814695788227902,0.8145837919798621,0.814715223611768,0.8140341756862367,0.8143056204844142,0.8149462101199937,0.8148336681845644,0.8143034535270387,0.8143077055597872,0.8143021948328012,0.8143046337549505,0.8148518966578374,0.8148319163625293,0.8148388778653722,0.814194203441637,0.8139745377326865,0.8145281895625534,0.814825902298459,0.8147051204338152,0.814827835824086,0.8146662097547401,0.8146776790027933,0.8146487592981733,0.8144669052599811,0.8145466410936859,0.8149925789914654,0.8150708242492337,0.815001930303509,0.8150054319209901,0.8129757077185779,0.8150763061289613,0.8137168572446867,0.8141926530579959,0.8140622509614887,0.814996242583986,0.8150227567375896,0.8150756404020305,0.8151118623856998,0.8151435748367958,0.8151480184785308,0.8151588291485099,0.8151506736373546,0.81515459337863,0.8151446118294748,0.8151426717160134,0.8148767700520424,0.8140358371914538,0.8144396312258391,0.8148412899735079,0.8148424748043958,0.8148095452402694,0.8148698653016915,0.8147933427922164,0.8148475719358441,0.8148502157871144,0.8148084686276873,0.8148204415764485,0.8148156575337852,0.8148740917820189,0.8148316098666313,0.8147977265940166,0.814698981856526,0.8147130653166816,0.8140576968616865,0.8143026871618522,0.8143107804161208,0.8143021386022556,0.8142962597634278,0.8143078543346124,0.814855199057601,0.8148327561773557,0.8148368833593667,0.8145270886180354,0.8148298645810281,0.8147110160488866,0.8148273802639598,0.814662302282157,0.8146743134219575,0.8146561216475608,0.8144629304041003,0.814547941560783
nerthus_bowel_cleansing_quality,0.49280862472430503,0.492818625731143,0.49281827731077876,0.49285452380381906,0.4927758159964821,0.4927356235651509,0.4928045879076224,0.0,0.49269949676810576,0.4928152689435606,0.4926872261769597,0.4926710159227055,0.49282821287908807,0.4928193562772505,0.49283990770438635,0.49281228304244246,0.49257020430154363,0.4925321412642667,0.49230460861452424,0.4924357335656419,0.4927616663393774,0.492758759882463,0.4927604250801862,0.49276139135383984,0.49276019208309424,0.4927592037341184,0.4927618594814577,0.49273794783619496,0.49247189094446975,0.4927840851892802,0.49269199570991995,0.492751654751515,0.4924395290630633,0.49264350853376243,0.4926140229539591,0.4926053783599203,0.4926398387870596,0.49259725798345355,0.4926361710756578,0.4926311516101438,0.4926083768366602,0.49262252399530687,0.4926138900650085,0.4926415092012141,0.4926513535809525,0.49259794912298327,0.4926414035816478,0.4927599137019902,0.4926316754426233,0.49274663031741617,0.492504145255873,0.4926211721990659,0.4925247025352765,0.4925006406084268,0.49250324449308164,0.4925029868031775,0.4925004302373668,0.49237730629174065,0.49239010938931077,0.4923900320818679,0.4927657439071985,0.4924462218602528,0.49252286477131724,0.4925468280444558,0.4924908836450633,0.49260384317891726,0.4925430233561678,0.4925467276615844,0.4925273731271054,0.4928637177115183,0.4924703963441767,0.49280944236582186,0.4928311357221104,0.49281886999321917,0.49285263060814205,0.4928041715939092,0.4921006975203189,0.4928140146988225,0.4928216132677896,0.4928409018098646,0.4925716596639276,0.4925463683170961,0.49229980580935834,0.4924363765485805,0.4927589549960799,0.4927642556588149,0.4927625955900594,0.49275816536978423,0.49276261413414046,0.49276024384246675,0.49275686047271255,0.49246438346984567,0.4926924798080355,0.49244334865073913,0.49264223006398145,0.4926179750662872,0.4926058135891763,0.49263909799723277,0.4926029627006981,0.4926384516318415,0.492633102903496,0.4926077729017183,0.49262040285649256,0.4926117302059168,0.49263830116583884,0.49264798580727265,0.4925998876237702,0.4926363153394637,0.49263284610115365,0.4927500372651227,0.492503739612714,0.49250087086958877,0.49249939819140237,0.4925036910368673,0.4925001151364713,0.49238177242241105,0.4923902981102383,0.4923867661571471,0.49252548603183505,0.4925446875151299,0.4924906947220206,0.4926063988057427,0.4925413552444808,0.4925465397250829,0.49252942818306167,0.49286362355243674,0.4924691833528589
stanford_dogs_image_categorization,0.8919633020431373,0.8920900788469874,0.8920065814134231,0.8920282543157456,0.8915658420939254,0.8907739378339757,0.8902152750908569,0.8921902125167556,0.0,0.8908537645193043,0.8909108682635452,0.890951438133252,0.8912610198982979,0.891314833093009,0.8909097744955033,0.8907609812159076,0.891986871173718,0.8920575809728157,0.8921788615209081,0.8922144625336778,0.8922146421798002,0.8922200759013416,0.8922191138793448,0.89221245375796,0.8922144429505774,0.8922149901742393,0.8922194936217445,0.8914181043415838,0.891946177319113,0.8913480718099169,0.8906838641637537,0.8907159288076926,0.891189991126536,0.8918601141158681,0.891821690996345,0.8917895619106653,0.8918748769493156,0.8917754671423245,0.891863853373824,0.8918648235188796,0.891778410256909,0.8918159441684343,0.8918118803696817,0.8918928728296533,0.8918247940055612,0.8917603959842917,0.8916232805625203,0.8914497319732013,0.8916514020040515,0.8909843646224624,0.8910685399545086,0.8918265532546393,0.8917252748476809,0.8910654504054523,0.8910701046641966,0.8910670910080964,0.8910712616663594,0.891955134451498,0.8919423567007967,0.8919496105639338,0.8910089328909856,0.8905687913471794,0.8915125999812095,0.8918286302742047,0.8915551122497279,0.8918518841568281,0.8915747884105651,0.8916803701521568,0.8916362632144419,0.8911773535990146,0.8913028581781272,0.8919544385005308,0.8920542642864921,0.8920177979243358,0.892040488484856,0.8902106461374344,0.8921887975429522,0.8908840190086239,0.891259029734477,0.8909106724103968,0.8919845212311093,0.8920513073215464,0.8921841188460545,0.8922151614556274,0.8922130137526801,0.8922132119798704,0.8922280698431769,0.8922178101572562,0.8922240028417439,0.8922130012762283,0.8922051996803873,0.8919606788310233,0.8906873498329986,0.8912079886579286,0.8918575957193373,0.8918336883509409,0.8917957088179649,0.891892313855939,0.891769462153542,0.8918579839652987,0.8918624033583735,0.891785647967503,0.8918074953697211,0.8918037302216539,0.8918996499331392,0.8918278647491293,0.8917697455745679,0.8916296495976376,0.8916483652437468,0.8910165398637745,0.8910583975422259,0.8910769222059475,0.8910656377509225,0.891062208306508,0.8910688763240576,0.8919632091114359,0.8919429900551344,0.8919453294802698,0.8915169204139911,0.891826796171121,0.891561329776079,0.8918558492500572,0.8915706354789987,0.8916704526187768,0.8916336211327054,0.8911755287844725,0.8913133564552648
svhn,0.72205195572529,0.7220795293971678,0.7220321527119731,0.7220264520725055,0.7217824692836382,0.7212502531942456,0.7206609149184733,0.7220686607367949,0.72109877703874,0.0,0.721373381371609,0.7213762843751531,0.7210845964960748,0.7210936451576504,0.7211332851799337,0.7210150393903586,0.7220361173359274,0.722054050245481,0.7220806631307021,0.7220875111475842,0.7221321723840187,0.7221356192630727,0.7221337674785171,0.7221331341385612,0.7221328640535778,0.7221341091671539,0.7221364472878236,0.7216842264961549,0.721904863117437,0.7216038983249914,0.7212537107291199,0.7213722118368383,0.7215223055979998,0.7217905202291425,0.7217792937694791,0.7217608054207264,0.7218044083293921,0.7217509324803129,0.7217957436880585,0.7218053547870648,0.7217492467589676,0.7217651395184825,0.7217688524243736,0.7218153422122705,0.7217666469622304,0.7217382292212814,0.7216667325040362,0.7217443360213993,0.721676232238054,0.7214037435244256,0.7215400697172883,0.721800690362032,0.7218034962543058,0.7215382929727014,0.7215418682459136,0.7215367917385714,0.7215397031772542,0.7218531353090523,0.7218397118923608,0.7218460451077263,0.7214151787596619,0.7212453997352269,0.7214030310346267,0.7217788664584217,0.7215973476484034,0.7217437085034388,0.7215467305524291,0.7215159550058804,0.7215447313559088,0.7215880948727451,0.721694411654034,0.7220517432193713,0.7220668062228425,0.7220387065763371,0.7220320109033987,0.7206591380113365,0.7220647112359213,0.7203826615146891,0.7210741387040844,0.7211322866567798,0.7220384512163365,0.7220497038357224,0.7220791633804268,0.722093636142428,0.722130308015086,0.7221309162885677,0.7221428259154582,0.7221384364682668,0.7221402770819607,0.7221332939875315,0.7221264382168849,0.7219160615773805,0.7212552981604938,0.7215307428097726,0.721789108527355,0.7217858511278278,0.7217622030953509,0.7218136371609765,0.7217442566770271,0.7217964458746667,0.721802462348652,0.7217576261350404,0.7217579870558716,0.7217673808560575,0.7218225515489604,0.7217669334722718,0.7217460133463083,0.7216705942430187,0.7216752921015502,0.7214218646166396,0.7215360404627511,0.7215443929704998,0.7215378991458614,0.721535110850439,0.7215396178290994,0.7218565150324,0.7218349541599338,0.7218448116083833,0.7214042568726384,0.7217793518297718,0.7216003073482619,0.7217486466000396,0.7215446237107674,0.7215092227729775,0.7215544090983531,0.7215868721630743,0.7216997587693239
