,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.48431765125078097,0.49344326932792365,0.49379399531555507,0.5865192659273986,0.6270504794707416,0.930871667500483,0.6086402100537086,0.6684958028611345,1.0066239470432832,0.6764061690113848,0.6742331215780792,0.8302657463279183,0.8219750023569797,0.9498271939977804,0.971974999499889,0.547048203089206,0.554787090194019,0.5784433341925795,0.5630962669916492,0.5343814963514206,0.53506226142596,0.5349897954142349,0.5347695396258717,0.5339459484542487,0.5342690022036128,0.5336282714447568,0.6000080177347729,0.5909007040205798,0.5827032121785006,0.7098112717863838,0.5635376432507896,0.6583621898574201,0.5726686930547354,0.5795521333031586,0.5807174531895415,0.5726468649531019,0.5832475957075554,0.5741223308477595,0.5747563735347301,0.580935711886717,0.5757115660456453,0.5796919612928452,0.574642422010541,0.5734916443698173,0.5824773866225583,0.5626335815666852,0.5975736712898758,0.5624448614471453,0.5939509842517301,0.6531544001897778,0.5466786062420925,0.6435812415134541,0.6532152512998461,0.6535818959779885,0.6540007747986573,0.6536212497892395,0.6357281136915405,0.6377659630590417,0.6366775315277635,0.6724962518169836,0.7022481978389082,0.6554994722936065,0.625840792795604,0.6588884022106655,0.6289009709976243,0.6630631803245319,0.6656227333049974,0.673231686231596,0.5649929085396113,0.6474977214923708,0.45501663942756243,0.4856934518481518,0.49201059831045046,0.49448443304643674,0.9311030495830723,0.6086624754052183,1.0045989509982933,0.8339124875470131,0.9496427402867605,0.546018084083475,0.5540647841501755,0.5787586336904507,0.562199160105398,0.5368917006870282,0.5337769617168464,0.5337384766818833,0.5354700552792395,0.5339021888491434,0.5329987098814954,0.5381403035196898,0.589692584124732,0.7101846653565869,0.6578631962283448,0.571824597108132,0.5789609342422792,0.580653338325619,0.5712353994591713,0.5841691249840236,0.5748450095114622,0.5747646606261541,0.5812067555616677,0.575514271408982,0.57872120892171,0.5736127229812769,0.5737947860164466,0.5811009219680374,0.5625772909127646,0.5617779058773281,0.5925396574657902,0.6528299230479487,0.6533822514629208,0.654025810089777,0.6542721481729618,0.6533323963482474,0.6353462904883865,0.639340735851842,0.6366207777227328,0.6562340328214343,0.627010759991873,0.6584463835151466,0.6286133351247972,0.6632579143914771,0.6667861045190989,0.6740386016207702,0.5649677818496188,0.6468269468689468
lapgyn4_surgical_actions,0.4070137481238523,0.0,0.40205532055691245,0.3863728139635074,0.5349930353755874,0.5517723110469471,0.8599017415817538,0.5199461945965026,0.5638878136699902,0.8692987965526354,0.5734633185210866,0.5652232069244923,0.7033849263009365,0.7075870209314311,0.8240532324493401,0.8528702165506107,0.4793093695985927,0.4874488771277325,0.49910682363814507,0.4774550326818616,0.44593224493497474,0.4466052353720679,0.44603049763057045,0.44619379431227013,0.44557086791086814,0.445898856764107,0.445373173296111,0.5252744154054163,0.4964647562724728,0.5055662819081029,0.6651257461020755,0.5393436637744107,0.5816262954910646,0.4760871289123415,0.47837294909194883,0.47697546019336584,0.47651032639322194,0.47845657964452304,0.4769308080320171,0.4776811694997794,0.47784447822045845,0.4744847548808289,0.4779912516588845,0.47867705718625897,0.4748502040087609,0.47731165917739066,0.47182762264679057,0.5316935205799663,0.4710005806667455,0.552238708084251,0.610305130156174,0.45185221287483746,0.540448129311692,0.6102746108733359,0.6103015470091736,0.6104765571614077,0.6102159600602198,0.5287513657730425,0.5379595026170105,0.5383874011329086,0.5674662320306367,0.6450682805694183,0.5376883748563606,0.5188835591473723,0.5454537249734792,0.5238130398664019,0.5438273095209798,0.5503859993547713,0.5522073421919764,0.49277850037022747,0.5885197361305061,0.4071171427303049,0.39194375288461086,0.40079832173972857,0.3868141834025825,0.8597967406667353,0.5200749228179986,0.8669017618268394,0.7069455646657626,0.8241688286642436,0.47893788963565626,0.48643752902409854,0.4994434120804374,0.4770653825326665,0.44811816618294575,0.44566676717314097,0.4451946845569971,0.44648496122519654,0.4443800974560581,0.4449044962374604,0.4491162857728761,0.49423789455970474,0.6650469384749916,0.5812815893102647,0.47479782551445243,0.4774462308948813,0.47692871809799686,0.4752812523249715,0.479704769110937,0.47754522944792954,0.47844609033088786,0.478001962325568,0.473466690828109,0.4774238902661701,0.4782750136741286,0.4743244571890824,0.476342301563466,0.4715523875586084,0.4707336440885156,0.5505526459135989,0.6099222369688284,0.6102233270243229,0.6106293030022822,0.610924871547373,0.6103505753623685,0.5285049150040316,0.5389165484653826,0.5383136775818493,0.538288072644922,0.5195036413081356,0.5440299429227293,0.5239655977892913,0.5444235998241562,0.5514562623190207,0.5535176355698116,0.49246439335398867,0.5874225022620576
lapgyn4_instrument_count,0.4106475741754696,0.4001071603551559,0.0,0.38527764856575225,0.5407667577952406,0.5446329863949081,0.8472877005724196,0.5264925806111034,0.5754746366619335,0.8723807303567445,0.5871426678854011,0.5787107757102328,0.7194952766749118,0.7224321508898186,0.8376898059412915,0.8681977708456291,0.48230219768755606,0.489619697164813,0.5112032775012457,0.49376733828680597,0.4323406363105919,0.43288517303776625,0.4324662216846041,0.43245584457131747,0.43211374025409194,0.43235801818694936,0.4318789192693333,0.5411620963535942,0.5156495023158008,0.5435844379435515,0.6548302060123895,0.5371399796402925,0.5948161242302172,0.49497586569470753,0.499640988919843,0.5005129268646435,0.4949526426360499,0.5021950199899522,0.4959900259122256,0.4964091090700414,0.5013675142497176,0.497050019843653,0.5000784532612553,0.4962736777459653,0.4956689908325305,0.502083319087875,0.49316961779007906,0.5476531679719433,0.4936783648663087,0.5688321446624433,0.5815532008749179,0.471135363229483,0.5545180243884983,0.581334097577299,0.5814607145164833,0.5816532780277152,0.5813212302780922,0.5283750444810269,0.5436783219995545,0.54437125672476,0.6057230556045552,0.6093846366326368,0.5287904105294672,0.5196112370363948,0.5314683226491047,0.51738765638044,0.5305099076767859,0.5449805217183098,0.5400650293891051,0.5097587233494809,0.5674090777086855,0.41077345134978854,0.3968279706440434,0.39478521896148727,0.38612737253896273,0.8469943242389775,0.5269134335411978,0.8704453254277575,0.7222879027011306,0.8370485952399075,0.48190479689028004,0.48883362576529504,0.511910067081331,0.49293979969971036,0.4343851232805755,0.4319551489417674,0.4319213278922568,0.4320817843388932,0.4308781427076415,0.43126640200391986,0.43464517065270103,0.5138788433507614,0.6549386654064755,0.5943858249267109,0.49431340357452036,0.498820708101305,0.5002558316390888,0.4938533629172357,0.5033274778977915,0.4965994701883934,0.4968947949388901,0.5013107554931457,0.4968862082505676,0.4997165408818024,0.49538472572506503,0.4956665057513359,0.5009675742976806,0.49343210485807526,0.49377986474097363,0.5674487495117507,0.5813623198069781,0.5813590838813306,0.5817782413423438,0.5820910377763028,0.5815341797702277,0.5285528571208695,0.5443305820581136,0.5448236554281715,0.5289147091643629,0.5202172950743595,0.5305900202236875,0.5175555460986944,0.5307900632201945,0.5455000391317811,0.5407233110344593,0.5096155373932941,0.5672295193050753
lapgyn4_anatomical_actions,0.5414371188550136,0.5085915341880132,0.5103485313728674,0.0,0.7190735768085988,0.7136354612794615,1.0155271131015027,0.6815950586751106,0.6765110918802162,0.9952048999182203,0.6970701249052611,0.6873819880053679,0.8220489447417098,0.8335125757528703,0.9568025969532127,0.9850152520562703,0.6449023125273232,0.6558620942982111,0.6567492579096004,0.6343551991768851,0.5751891827258486,0.5762633327527505,0.5751097567796143,0.5754133896457544,0.5747477181034888,0.5753131163098524,0.5745610034004981,0.7029186650900628,0.6490764932358494,0.6659411803234493,0.827676538566047,0.7227067408997262,0.7409135286945799,0.6061334329434859,0.6105251512748714,0.6080346628782253,0.6075730841236856,0.6101022944364637,0.6078101229976685,0.6094840150262731,0.6092254723853043,0.6036484458777406,0.6092594633725695,0.6100407618788951,0.6038337715470735,0.6076472218502329,0.598831587620659,0.7254667325572326,0.5984645488569226,0.7598153916430426,0.7972941769417213,0.5697089768881858,0.6878359732626493,0.797436708189914,0.7971688077364348,0.7970084114440364,0.7970422213727683,0.6877391763664495,0.7043174829311002,0.7054851364239599,0.7160340683929589,0.81896315899941,0.6557382593724015,0.6519062039363036,0.6695970415591778,0.6459532445383033,0.6616491883246922,0.6702630860821018,0.6762432438445641,0.6446184075896912,0.7745605940750427,0.5417895756207415,0.5020693937584055,0.5092983436198835,0.48152293798560414,1.0153266663143299,0.6816983412937746,0.9933162634112916,0.8264228442910975,0.9563516863034449,0.6443995198597637,0.654992355650079,0.6570281275163268,0.6336053584400597,0.5784971313336669,0.5749347011315693,0.574557007356638,0.5759010964909542,0.572664357969417,0.5740973460159424,0.5786591093031582,0.6463214198363185,0.8270969994078862,0.7412346081299108,0.604431167941628,0.6091982190117721,0.6079001061453236,0.6055545735307105,0.6118418288225999,0.6087956351012281,0.610425690500415,0.6092814431405614,0.602111226659944,0.608571869581194,0.6097665756775388,0.6026223593025098,0.6064269807276728,0.5990517379808002,0.5984807653218782,0.7588918205460404,0.7968507614859758,0.7973913555608828,0.7975853716097491,0.7977806643468771,0.7976625021851284,0.6879514819957555,0.7053916419416527,0.705547448078042,0.6561181155010651,0.6523380046650883,0.6676919134367505,0.6464431166897203,0.662587875958665,0.6715823706231674,0.6781535153411574,0.6444729502254821,0.7738531411238684
sklin2_skin_lesions,0.9745580396264159,1.0420987428606177,1.0302795502903168,1.062980826079802,0.0,0.9156184874709898,1.0558976748349707,0.9548615293649568,0.978392830052269,1.2174743556048666,1.008764329522464,1.0136758863031177,1.1512116443047593,1.1241952353297586,1.3114556979055876,1.2869443532192497,0.9095654722437425,0.918714804828331,0.9635587076559193,0.9819784765269461,1.0142093809278812,1.0151568783176383,1.015908409992704,1.0153980080218814,1.0151928087744448,1.0146730105191242,1.0143432387143112,0.7116745306532277,0.9989593882174415,0.7929313521287279,0.9646168374089359,0.6449911294870065,0.9176344111037846,0.9210531730805025,0.9291956885846724,0.9319513226356906,0.9184194969025186,0.9341078964159444,0.921590525785629,0.919620679057898,0.933944169154189,0.9325140238222656,0.9287327175529958,0.9119703737839812,0.9312171632414791,0.9355698817631966,0.9513640465468999,0.6727779571702545,0.9538716770243314,0.6727691877102779,0.7712323541237357,0.9459450362167335,0.990144421585396,0.7724860312130271,0.7723219004567756,0.7721223366043137,0.7728433226310928,0.8568124732468145,0.8509830358682883,0.8536370413288032,0.841821325873458,0.7916872941789701,1.0280543336084935,0.9980543238906454,1.0403845177974957,1.0184792177583502,1.064544444386624,1.0391448463419577,1.0348573298465913,0.8696291743368523,0.7581766849575535,0.9715749835348412,1.0470445883851773,1.0346544655522074,1.0671073588988977,1.0554257190852032,0.9537629711724509,1.2177722321471434,1.1556379322977566,1.3130420325947887,0.9094345344071214,0.9162946668614038,0.9627417501334236,0.9836076238941852,1.0126528451501078,1.014122924077423,1.015836039950811,1.0149529895894058,1.0197465802529102,1.012235899145827,1.0152693104963655,1.0024175209939872,0.9651599609531353,0.9176327808461241,0.9238401162336018,0.9306574844551229,0.9316219407004297,0.9186487161319271,0.9309945196193721,0.9220340503721066,0.9180300089066126,0.9336070791247778,0.9329568892491049,0.927959235703876,0.910996703080927,0.9348256221075368,0.935957788760469,0.9523439706908672,0.9534712414995069,0.6751263625583248,0.7714188519927637,0.7717735434392605,0.773426996737469,0.7717722170969525,0.7724266005310478,0.8569068497416358,0.8491673861100532,0.8555334879729222,1.0275171545133803,0.9979708821200739,1.0436343113084197,1.0186383971892021,1.063078051291298,1.0372715725611767,1.0332051156259972,0.8684757935017837,0.7588332574508414
identify_nbi_infframes,1.0136029523657364,1.0708906073098592,1.0929278633592914,1.1085244667565302,1.0336134266494255,0.0,0.9900574312054924,1.122371858638225,1.1590045151352433,1.2187168376493778,1.1785656316436108,1.179897000519469,1.2920680622790255,1.254360412644108,1.3185325885789612,1.2758089583875107,1.034825073522568,1.0475272426215714,1.0993950012856464,1.0581346735667945,1.0852831796379414,1.0854333126830435,1.0863559599084882,1.0853520531854621,1.0858319794439668,1.085888062828436,1.0873314807395114,1.0065837548087175,1.0442678634046487,0.8892644247011142,1.006776013898771,0.9220240013148663,1.0328029000559569,0.9945462396737346,0.9845551632884154,0.9816887606945445,0.9938201000644926,0.9799171332887966,0.9931801455344998,0.992921909972512,0.9796042470297556,0.9874412074728486,0.9843708693784555,0.99245979109402,0.9894149873469142,0.977678193402948,0.9804340459590818,0.9919639786778217,0.9877813680719872,0.9127396198489088,1.0324071913419737,1.042187044782147,1.1096057200835576,1.031313417979195,1.0327921718735535,1.0329803870882694,1.0332326853420657,1.1863765005605142,1.1789982454708003,1.1765508967795226,0.8889729127173367,1.0560290662792744,1.1206264835813846,1.0637617973852784,1.0941945333603555,1.1011464830250286,1.1386761552285887,1.1219974347050654,1.1285884828272188,0.9717105863824758,1.0423406179338814,1.0101796816851512,1.0660197575650026,1.0923763991731472,1.115481228962471,0.9873880485437984,1.1216395988994308,1.2215719089630757,1.2954674823467989,1.3179355396610257,1.0321973787392904,1.0440205420133775,1.1006402640880686,1.057590016345877,1.0842751653585694,1.0824390092414167,1.086087555637475,1.0879250677356487,1.0890092565464935,1.0846075491697245,1.086319687564425,1.0454450191979034,1.0084185419537264,1.0300966573293582,0.9925195707010077,0.9858118071872266,0.9839163864381143,0.9961443089657327,0.9766190347936872,0.9902838207040132,0.9912979535651208,0.9798875127262741,0.9868880080932552,0.9828569238602596,0.9952593163119887,0.991620525172996,0.9789218830226529,0.981640722804821,0.9872113017980539,0.914312329817968,1.031537433657247,1.032935312489199,1.0321402492189453,1.0328499864519791,1.0333162637437965,1.187381403843087,1.1795662761365169,1.1772426621332355,1.1207730413273698,1.0684177308618228,1.0989489779976653,1.0991915818167388,1.1392013276223723,1.118989613912043,1.1270881915983904,0.9719322412094891,1.0405862682495255
laryngeal_tissues,2.0471223200192443,2.0906271926463287,2.0963889325560587,2.1024975251139835,1.845737111003194,1.6838437815749838,0.0,2.075122246420795,1.8953302921563406,1.5317461469418363,1.882592431796633,1.9115435548664397,1.7879730325309604,1.7585469642554754,1.8170583795935,1.763443243587925,2.0508174497970417,2.0475719555007856,2.0859666939138735,2.091492426408405,2.1265342496416104,2.127760332325205,2.127703870945973,2.1274731465238994,2.126249668775127,2.128031639512643,2.127926315762631,1.7765429333478433,2.033599682277323,1.8603247546135406,1.8755398061040371,1.7415978473816565,1.8773153714788853,1.982696766398281,1.9812519349101407,1.972387226200693,1.9895747515756412,1.9683372928413179,1.9851168643237327,1.9891790709007704,1.9701245989495657,1.9803907467603155,1.9752456061142345,1.9912506292436738,1.977328129847549,1.9641621255161512,1.949382311442869,1.842842942794454,1.9570302590016835,1.6622854235709825,1.8857838674415242,2.023279953211603,2.1259857407649503,1.8860430363665042,1.8861558006529933,1.8860297907731116,1.8872380593376707,2.006270777979607,1.996310939832275,1.9997139840951537,1.7599151545145049,1.9191633556752343,1.9541680062573585,2.0159396438030166,2.020682286703125,1.992858919619457,2.0377286218022905,2.0089043392205954,2.0000901360405803,1.8261848941516543,1.9439851310285903,2.0461583360929443,2.116196375063393,2.098993917514515,2.1056669346831454,1.0475293501043026,2.073692569542185,1.5435553125260715,1.7866319115246,1.8156699232566367,2.051324646555625,2.0454224152946145,2.0871192819746986,2.0921656630454515,2.12475411198684,2.125652151187823,2.128911577702252,2.129994393676744,2.1301062029477285,2.1240367027380813,2.1240115559012236,2.0408685920549687,1.8753514810423253,1.8759912794458453,1.9832852889107009,1.9838214851619773,1.9728373503026173,1.992402138716968,1.9643895622861882,1.983121720715738,1.986866259286123,1.9721780505949593,1.9783023195182372,1.9724196137520786,1.9949342410566566,1.9805400380069074,1.969369617465922,1.9515985537800233,1.954889672853414,1.6626766379998805,1.8863557199441394,1.8865853832546642,1.885706032495571,1.8858649317397433,1.887599508829903,2.007599317242615,1.993666750656607,2.0029595734440813,1.9554604135300653,2.0181756687911157,2.024058316466987,1.9923253363193587,2.0384106467591003,2.006176804418617,2.0016326538329245,1.8277300963348562,1.9450777300510982
nerthus_bowel_cleansing_quality,0.6127473701086306,0.651186912761459,0.6556525201867772,0.6841417683735639,0.5799327489238568,0.6669164007445884,0.8820505476219898,0.0,0.6916840858901286,0.8694973569088975,0.6678001143467667,0.6613033271578052,0.7736325705114233,0.7663193849548231,0.868288816160921,0.8753104265074302,0.550552596436757,0.5474950013187895,0.5130993118731559,0.533082211897689,0.6185809880186695,0.6179641182086708,0.6188184488780208,0.6190490977957505,0.6189302326037348,0.6184656198221077,0.6185741644574095,0.625158874786366,0.5738726186361002,0.5959835627154251,0.67963004343156,0.6429133645895215,0.6032351899296864,0.6083361078239522,0.6079668080887494,0.6100742142931324,0.6043785959345482,0.6116378260380828,0.6068635913957013,0.6038652921970072,0.6103949455723849,0.6108999721195191,0.6088253591985586,0.6022457318684261,0.6097948260066397,0.6136734418083519,0.6170434843459263,0.5972750558461672,0.6173898283704236,0.6442921077799224,0.6067344839107588,0.6226370814873949,0.5749136584404689,0.6065410666201789,0.6067529832615537,0.6071311858577536,0.606649260327746,0.5512860676709477,0.5490462757671877,0.5482677136039096,0.6310200294032584,0.6240330314418143,0.6594159883492989,0.6129311643607518,0.638470588821264,0.6400066761377766,0.6614042166729944,0.6337663506162778,0.6387241953159607,0.6523057903141242,0.5834511302292417,0.6104115099565327,0.6620969404146656,0.6553965155192784,0.6849556860097219,0.8818285348124308,0.5136003689970113,0.866619503637695,0.7759588005166969,0.8706169571394944,0.5492517455215942,0.5504769600843973,0.5127676377272672,0.5324808087360475,0.6173845215062506,0.6192792725019831,0.618722687039795,0.6179201777849843,0.6205704240280255,0.617977707700334,0.6196350143296828,0.5733493155402902,0.6804553529895623,0.6013313746340209,0.6097897582482027,0.6075912644340098,0.6104090737834836,0.6040106942789756,0.6110066436290122,0.6071137342831767,0.6045107360660031,0.6100056752079333,0.6125566046998677,0.6091686674423885,0.6012632869332563,0.6100539958505855,0.6131550513765962,0.6167766071017798,0.6172977808490401,0.6435309748382646,0.6073733689830803,0.606527608159677,0.6062876887041363,0.6073097217876093,0.6065603182997283,0.5514872811369996,0.5503395611881867,0.5486207534636472,0.6599258178292551,0.6133136570108844,0.6394407691217866,0.6400871387995439,0.6604278445112857,0.6335346654929603,0.6379030696986078,0.6518065607284022,0.5815037975298821
stanford_dogs_image_categorization,1.1475654249926506,1.148256061085452,1.1511415924494732,1.146409100613358,1.1050314389650966,1.1077961434819223,1.0286677832481972,1.1509897128876831,0.0,1.0720520433027403,0.9656328869552022,0.979730204021962,1.0228512648215107,1.0343751980644231,1.0804936743602185,1.0972252314128408,1.1551885767699797,1.1589470427929096,1.1498325131582285,1.1564013573658893,1.1768082411859577,1.1768294314368815,1.1768067716755077,1.1765886217130808,1.1765293115491653,1.1772702920754328,1.1766415057286568,1.1163806068607904,1.1495550322974686,1.0603682682963544,1.060064481758438,1.137489054884589,1.0378351348303552,1.1058552870930458,1.105554573482288,1.1005065935110472,1.1062056281262354,1.1011874657046459,1.1070113184529002,1.106506922175823,1.0996270186149888,1.100464946919702,1.1026870980617,1.1082914392850796,1.0986364780712707,1.098125569127699,1.0733110101304044,1.136468451524239,1.0763601808936438,1.107049014394347,1.0957164589415294,1.0859815269010888,1.0791991578800804,1.0958609641665313,1.0960555997596648,1.0952520561516699,1.0957175527810035,1.0828003602058633,1.0799377853093495,1.0817070916689668,1.05299842937004,1.0639972043630401,1.0332635862672488,1.0820560652405014,1.068476224850961,1.067067042997899,1.048615549635143,1.0494931692403562,1.0490585430942234,1.0473244428471398,1.0870857294321203,1.145470296723248,1.1582905624801931,1.1512030449056245,1.1478458389790707,1.0269111873397092,1.1509448419413257,1.072998230981755,1.0252723546839608,1.0814680690586482,1.1541401793674002,1.1591998273369175,1.1497192260243734,1.156399877123489,1.176496198915607,1.1773209972244079,1.1785949842773797,1.177870782771816,1.1769879927110112,1.1757402880452874,1.175623372263289,1.1498948005929026,1.060140788087908,1.0383732825052796,1.1052422975853493,1.1054809022245855,1.101219640393425,1.1067873473018655,1.1007444506935986,1.107802119363151,1.1061652979330012,1.1009583959368925,1.0990475120875158,1.1022074431465068,1.109407966715466,1.0979535552786965,1.0989584270095476,1.0742191886425918,1.0759559910415317,1.1092453000665492,1.0954856212696018,1.0957833085102695,1.0959785551544965,1.0954942907626075,1.0959261135698866,1.0829066523489728,1.0805676830975264,1.0817812991664175,1.0329181998472552,1.0816452078001977,1.068507218931559,1.0666183246281489,1.0489193484097015,1.048914849560782,1.0488344815724826,1.0467893968336763,1.0875925480132216
svhn,1.7548065613933799,1.7348965232649691,1.7395286403938586,1.7499313382407822,1.5321327396209783,1.4568656705371605,1.1575004182425461,1.5914856512419155,1.4879653359341916,0.0,1.422374869780775,1.4089268407155924,1.2343211844166961,1.2267767637535314,1.075789258973881,1.051912023705977,1.669950009884946,1.6636328849981512,1.6139158677052967,1.6128960227751215,1.7066823995159013,1.7069492464286715,1.7067537487487252,1.7070886151919928,1.7070004869439714,1.7076758375410077,1.707766836164015,1.516776798006667,1.5178163040849515,1.4786015159562709,1.427147924714603,1.608781429237189,1.448492955760193,1.5507173549792423,1.552141348061342,1.5468786122280016,1.5552042197054625,1.5454046656327258,1.5545353490304734,1.5556903887334188,1.5415322229492883,1.5457568005462348,1.5476044449177775,1.5569386851951312,1.5396857790263072,1.5407330355854882,1.4742860877277844,1.5594196920455947,1.476200063177351,1.5040864930530162,1.4814358586847738,1.5708913002654554,1.49031076454128,1.4808397762058143,1.4808317358827001,1.4810819703614042,1.481307812295283,1.5255302600787655,1.5129584021232547,1.517468714328357,1.4668507391234265,1.4754877779527344,1.349538411105859,1.4955959221901474,1.4429011052204228,1.4187234054058642,1.4192495717567288,1.3666545014250027,1.3926602115425541,1.5261210525414954,1.5253552567276876,1.7576511869400178,1.7491145753661916,1.7397450587573113,1.748697899313607,1.1557138004804557,1.5904627335133374,0.8823144711846062,1.228470663039225,1.0778477606976913,1.6713083226762138,1.6645228956228544,1.6120031540594566,1.615532112700734,1.7051294765227651,1.705575483256102,1.7092158720966313,1.7066322131129414,1.708618528839434,1.7071001694053616,1.702600926023484,1.522891005196527,1.4291171282352355,1.4474350530424926,1.5513840970610029,1.5529830794867217,1.543697849391916,1.5552782740062967,1.542894862212185,1.5534538741110457,1.5552513540247292,1.5442035515451233,1.5448976714415683,1.5480681716568208,1.5605005366172007,1.5405467295429827,1.5436160843354305,1.4752455714665336,1.4737239537282512,1.5062124206545573,1.4817370694662602,1.4813664359507546,1.47949049016903,1.4809290821164989,1.4823784761924248,1.5254881771863038,1.5122287413261548,1.5183904452014656,1.3509511587398646,1.497320469192876,1.4423970520525846,1.4188312246739354,1.4205028343820416,1.3635994197390597,1.396624444415808,1.5262754550037685,1.525287143693462
