,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.1920582031208779,0.18907696312243322,0.19692148742286447,0.19996310760257147,0.17756681684661105,0.1940891617230751,0.23772905669466082,0.2057556092099544,0.2280448819550335,0.21391587357282335,0.21635603250951865,0.23828965386812953,0.2281245932601481,0.23067042734766366,0.2281961132902507,0.20366493574479932,0.20603189276788875,0.22883900793437936,0.2310241347159928,0.21322951403158144,0.21374308363015,0.21362107162022603,0.21314144129990284,0.2133259393464618,0.2133015224277145,0.21332343364970233,0.19689310580610908,0.2327157319966951,0.19936654749749297,0.19857141598450676,0.18029020673805213,0.2233103052316632,0.2305712207130971,0.23100272531073535,0.2311625066963532,0.23051158127410287,0.2310902480989363,0.23062023044907526,0.23071842223386355,0.2308272271345327,0.23147805770827434,0.23066835329058422,0.23004832411475834,0.22844283016964387,0.23092162600998706,0.2249293776445862,0.19887953945871192,0.22722018550519266,0.1819245536436614,0.21786213876250987,0.2410168454503473,0.2402365723160888,0.21794303476007143,0.21819962791003858,0.21824405713855372,0.21830123151953912,0.23977039710919673,0.23819957401005706,0.23785650456314805,0.20862853196257214,0.23243340381822747,0.23832878157042559,0.23697505080765774,0.23034410386456255,0.2428014121131803,0.23422854516336317,0.23894241581343353,0.23955663189649715,0.2096536599274334,0.22218882250490415,,0.19252352998090963,0.18924697080322,0.19829605636169678,0.19409037172622215,0.23769088681936681,0.22892881243355595,0.23826543761949093,0.23021268301779485,0.20283246531892743,0.2057375499669035,0.22946635100451732,0.23058974064379856,0.21361334141541805,0.21297333962547077,0.2141440420215006,0.21415990298148668,0.21407355085690416,0.21219421349367262,0.21347218175455446,0.23412079198678498,0.19884267556476576,0.22299856823224462,0.23058805276645472,0.23166698226245508,0.2311913946560688,0.2318006937149682,0.23003540655117294,0.23030665882394197,0.22945868107485978,0.23058313605945313,0.23163357589571,0.23008207125256197,0.2306211100002755,0.22946221903755631,0.23151546557463987,0.22566516692690428,0.2265507792229174,0.18179100243370788,0.217758592078675,0.2181015303859912,0.2182348764879049,0.2181022572418779,0.21797784942308834,0.23995602790225196,0.23877319464649724,0.23739591759347417,0.23810619380663772,0.23730363153083306,0.23089425555057327,0.2422128469498327,0.23407574252300076,0.23852939376515192,0.23896732593918932,0.2097566313089605,0.22237450473830306
lapgyn4_surgical_actions,0.12229292818090899,0.0,0.12210054112352474,0.118533189173956,0.1650052547247568,0.14421580586332758,0.16950629925541663,0.1817691636605961,0.1638889293594834,0.18636739628425003,0.1647100319254774,0.16471751592076642,0.18532369550203356,0.17902635094873964,0.18619095599328642,0.18704748502181096,0.15810973542557835,0.16056390436273027,0.17371321169718962,0.17193545634989682,0.1486751892397042,0.14909420184608527,0.14879835270725505,0.14855141607833808,0.14868590371474083,0.14875943351474352,0.1486461237015751,0.1589653988853256,0.16935146593528658,0.159696172412647,0.16889216238403576,0.15616674464148741,0.17894587243197346,0.17306016398762614,0.17315544096807683,0.17294247163103849,0.17304847974394444,0.17304449002580907,0.17297710452438553,0.1732796492388613,0.17321828195203046,0.1730878433656159,0.172748659045582,0.1726043845963186,0.17143084840511041,0.1726729743431098,0.17146441089958397,0.1623618426746472,0.17264672206097167,0.1562419026408467,0.18525328572844516,0.17794029142018883,0.18153323701639906,0.18529812819085048,0.18545326917284885,0.18541795861620772,0.18547545018469314,0.18353670825481952,0.18509337078067983,0.18515744611892707,0.1653531559988199,0.1975001788896315,0.17415294222776712,0.17709319998062428,0.17435202313518533,0.17791302415724056,0.1715406655082047,0.17683326164655627,0.17713545149915116,0.16247775382696245,0.1833789350958394,0.12204394083346423,,0.12186531606993652,0.11933041451903831,0.16955150007887615,0.18184182466420834,0.18687204289558496,0.18557028966355119,0.1856943259212301,0.1576116412301752,0.16012442621018252,0.17417606564623384,0.1717274348167651,0.14914889888916577,0.1485069985835935,0.14910023939759212,0.14923207217398446,0.14842322295955818,0.1478600969439829,0.14913680745095845,0.169839929870689,0.168926954483826,0.17873804385052364,0.17282502287692122,0.17334606752917162,0.17286836082122284,0.17377067380590344,0.17246617568507697,0.17284293711800225,0.17252501274782633,0.17286442962695087,0.17301898700227025,0.17240759480052853,0.17307545950527325,0.17185188258552284,0.17297237021635636,0.17177411963502703,0.17234416884510267,0.15593169693870568,0.18517574738445403,0.18534170571130149,0.18556183847337143,0.18538653709843816,0.1853372257640236,0.18368645096193723,0.1855485154405575,0.1847755570008157,0.17401440536241675,0.17717341894598707,0.1744110265985398,0.1775875495993617,0.17165256487956104,0.17684299358264968,0.17695517280746834,0.162556891028802,0.1833598615870508
lapgyn4_instrument_count,0.13832918630781268,0.14111803924887312,0.0,0.1313888089024222,0.17095059816416047,0.14909487459570003,0.16831384853466405,0.19773703879921853,0.1679136878770121,0.18934642150099745,0.17227722401722484,0.17281884646954512,0.194385663453156,0.18761763216158084,0.18882165724519012,0.18850380383230841,0.17046341034935708,0.17327991916932145,0.19136647728503084,0.19365275017992553,0.16032116668301416,0.16083196632064523,0.16049409511150253,0.16017120824821054,0.16041698443930077,0.16044256935649095,0.16032677825426006,0.16612488992238555,0.18944970216765905,0.1741464127661132,0.17111939465156448,0.15578379685042237,0.18780378372293965,0.1915046998879673,0.19216888286451178,0.19217124507044214,0.19154291644506688,0.19221547485193155,0.19154774319816426,0.19185511791264,0.19226363027424667,0.19229409258626956,0.1916612958638919,0.19092797577009732,0.1899426434460766,0.19189181909110725,0.18639236207336268,0.1699517578718634,0.18853189762928163,0.16041600262321914,0.18738873254675512,0.19756633732053003,0.1988653599870528,0.1873565351654104,0.18758754183100254,0.18755994693842393,0.1875823062217531,0.1944954851707857,0.19773623078258354,0.1979463431911433,0.17628058203587987,0.19896065732903523,0.18630209267888956,0.19138565832237173,0.1830264261253703,0.19440275874898802,0.1822268435179209,0.18973968508596,0.18878781066121114,0.1742905525788661,0.18977881818368064,0.13797451442911793,0.1393548856206236,,0.13278063559516076,0.1682737991237486,0.19779589142392456,0.1900565784443637,0.19446775702873614,0.1882116188528213,0.16995424117348515,0.1726651285558362,0.19197337765985628,0.19338783253351255,0.1609046829535695,0.1600969181948722,0.16112570209480834,0.1607279189922944,0.16017363807864937,0.15934239014901158,0.16044703807786215,0.1904410295991552,0.17121205944666723,0.1876369468016461,0.1915819231327312,0.19254326092951282,0.1920021768582828,0.19261119697186968,0.19132990808932443,0.1914350483894372,0.19090367817941753,0.19196358599604207,0.19242263708229898,0.19132698657977598,0.19137929335483322,0.19069050403273904,0.19230571701513505,0.18714246541818075,0.18821495787044384,0.1602485369210781,0.1872691648668265,0.18747791768586142,0.1876320318346501,0.18749562061596686,0.1873893252581148,0.1948420657294659,0.19808062054011744,0.19756286803787565,0.1861223945244767,0.19142091693617197,0.18320306544809972,0.19398156364423416,0.18224979683458972,0.18946340813533463,0.18842619886405954,0.17439786456586195,0.18996016225301704
lapgyn4_anatomical_actions,0.18501960382428842,0.17639658051534884,0.1702347021184667,0.0,0.22744620308297997,0.20219198310826952,0.22347258921520227,0.24819378412819426,0.21692141515911284,0.23977018440809822,0.2197101725102631,0.21972378812664586,0.242888220989163,0.23736394504915032,0.2384487544686971,0.23917235267690912,0.22468686870567653,0.22736199451782843,0.24038208542650658,0.24151912841905748,0.2067329152932399,0.20726966854415219,0.20672998774516577,0.2065102933037488,0.2067456978151515,0.20686104736124794,0.20664920852464205,0.22039828697011127,0.231443734547416,0.22682932758727642,0.2307865840430402,0.2141890076090856,0.23922923239175914,0.23771626131069307,0.23812782821301878,0.2374489418056679,0.2380702808365426,0.23746812836450104,0.23774629436698375,0.2385241032220845,0.23777504616962863,0.23746770926290156,0.23722676701318018,0.23749773959516685,0.2358162987359898,0.23661911672477048,0.23439778208983839,0.22396555099380788,0.2361514175090386,0.2177433396709449,0.24618478660619958,0.23946260307919326,0.2477989721324348,0.2462291821154799,0.24638899915216578,0.2462605113103684,0.24638827711713507,0.24710521206226146,0.251075057263903,0.25146414562949404,0.22763847937657436,0.25645774974785474,0.2310725133594278,0.2393151047255662,0.23147241520434603,0.23780767759358876,0.22744458263595912,0.23407314414540448,0.23499684681049937,0.22150352962659187,0.2466421829657814,0.1847463239573124,0.1747447973363181,0.1702058213812847,,0.2234604825191306,0.24822768198727527,0.24058432652724565,0.24311677183036814,0.23776101968960955,0.22421811394386715,0.22678007111137444,0.2408793922271133,0.2412825526671758,0.20751053535285774,0.2065527092074417,0.20747585744331531,0.2072860608642389,0.20593715381778138,0.20581798102486235,0.20699422600449416,0.23208527789688094,0.2308404651076742,0.23923763588062183,0.23755134010233192,0.23830920274286355,0.23725321197241478,0.2388922740586579,0.23678247601595642,0.2376684007106004,0.23761160514901827,0.2374915804070491,0.23733506342689972,0.23698734194781423,0.2381208508517777,0.2362941102601523,0.23699126556676703,0.23506353990731274,0.23583939435176338,0.21765244463286634,0.24602931623095847,0.24632224471405592,0.2464991982378446,0.24622313869884885,0.24625858527459055,0.2474199898670354,0.2514144119628432,0.25094698588638265,0.2309191122753274,0.239185704940929,0.2314598317145755,0.23748225184430366,0.2276131308549717,0.2339614093627479,0.23477638765006653,0.22161915178936895,0.24682438637105525
sklin2_skin_lesions,0.38366600428979747,0.4184734263519516,0.4054012716660069,0.4230509833687819,0.0,0.3155081093354972,0.2990143262627425,0.41353734224995325,0.3384946001363406,0.3466750512407947,0.3557044865890533,0.3604388290413736,0.3807233807710782,0.36778902457715934,0.35193978981701857,0.34546678036898065,0.36880511905399804,0.37721154008099367,0.41314707677092183,0.427583902673629,0.4179728505439051,0.41879209629481745,0.4188906643630185,0.4179178537301953,0.4184017583001918,0.4182255550337881,0.4185304160604635,0.29349412919343276,0.4113556695051125,0.32977546012309794,0.32278918905933046,0.2718468357699071,0.36427908324789315,0.4028455691785458,0.404099236588684,0.4045874840094581,0.40279406778642657,0.40442187388860373,0.402908417352024,0.40272067983993726,0.40433827892029384,0.40613320000184805,0.40334222339665793,0.4004249246895821,0.40248423246321763,0.4040995813504358,0.39580551882487863,0.28377563956478563,0.4002953613534539,0.26807806314426635,0.32274698297014615,0.4224812906150147,0.40345960960966254,0.3229156946708327,0.3233678172739248,0.32328885163915866,0.3235234179537378,0.3686002426840204,0.36472008024894326,0.36529200013797175,0.3303513787092709,0.3384075728110199,0.40891426146165555,0.40658226575748146,0.39121458953704247,0.4254719771801915,0.4027549093319369,0.4112219622671635,0.4030965133111646,0.3512499927678821,0.3300919457164466,0.3821842323525089,0.4159251390127646,0.4072571562803875,0.42537399582323926,0.29883245198854586,0.4129706248941905,0.34786164164119215,0.3801353731357209,0.3514725960730873,0.3683930773585949,0.3762596134323522,0.413676651266841,0.42781217764440355,0.4175748222246167,0.4178263819190444,0.41996912796741803,0.4191860217984979,0.4202648688145404,0.4170482622130276,0.41663321758328437,0.4142836511553587,0.3229851834052144,0.3638846983383183,0.4038988860561222,0.40559011773962256,0.40436981780901754,0.40490794261010443,0.40230216290724663,0.40247819789485945,0.40076371330983973,0.4039933855795893,0.40632951969319,0.40284097485472947,0.4009999793836929,0.4045943468389425,0.4053845055830573,0.39721783199391547,0.39945153606727235,0.26896614873118785,0.32271219294646747,0.3230363846522212,0.32325720551975984,0.32291567187920156,0.32302853906041196,0.36871777759816937,0.3646469931314772,0.3648740289886104,0.4089211563345864,0.4065765216759692,0.3921821680980532,0.4246324893215314,0.40241134856657446,0.4100835108048194,0.4017203317874505,0.35115636202050293,0.33033652189515805
identify_nbi_infframes,0.4870268731129888,0.5234411370696742,0.5093027076766983,0.5235539229732233,0.4412652689146491,0.0,0.32580189164843393,0.5399982814637696,0.41403034938921945,0.39278421697804855,0.442538233244276,0.4491357728450337,0.47153641469192586,0.4550409615644132,0.40537711344489746,0.39672681872342197,0.4878041804162519,0.4960454707205913,0.5329947399886444,0.5439827556765079,0.5309188134686591,0.5319892942976963,0.5316702670924598,0.5305249832955742,0.5314267325335393,0.5312726277046358,0.5319471292977174,0.4206012787197491,0.5065504733868975,0.42503492482519556,0.38860793538252186,0.38314533267903594,0.454931917500772,0.5118212377868934,0.5082980686931254,0.5061930166998371,0.5128250414533679,0.5044800489422638,0.5115766294759967,0.5121690315342223,0.5044326590911414,0.5098380138445706,0.506857514934693,0.5120604050166797,0.505942463239534,0.5032570327908147,0.48636871881994503,0.415596064872352,0.4931676356649265,0.37177061310027026,0.4372805685316187,0.5369898067819562,0.5138062178078538,0.437128117165899,0.4377179224838349,0.43755566024750625,0.4379265607613042,0.5143259169759619,0.5137925536424471,0.5140526333556944,0.396671280403556,0.44320175903655507,0.5019450999137531,0.5122262029009853,0.4794034742196088,0.5325188605736954,0.49250155422934694,0.5073500751723861,0.4995115714507622,0.44880882866138594,0.4591146916099505,0.4855945176600753,0.5177576758437685,0.5108524540879538,0.5266345955839307,0.3251133733117372,0.5391852040884757,0.3954427482768835,0.47067618418547474,0.4046178695642474,0.48659368991225505,0.4945888938180436,0.5340790158712824,0.5437371188308762,0.5305734765165582,0.5299814268750483,0.5331719424351407,0.5324284896451268,0.5331387009580443,0.5298889889659065,0.5289100616017883,0.5099187641973001,0.3893311980096558,0.4546501436849472,0.511831210699626,0.5098911882229702,0.5063489684095526,0.5164261456520458,0.5016886540155943,0.5102609094914883,0.5097765629533436,0.504418573328562,0.5096953877156001,0.5059166554943271,0.5138223929920405,0.5083169159746339,0.5051443591132799,0.48845476232101304,0.49216402479280746,0.3726145785114105,0.4369720728048151,0.4378783942176,0.43714067613982627,0.4371730783000492,0.43754492130157213,0.5154494897416733,0.5140916649820123,0.5127577793743018,0.5016388960171527,0.5125696621397856,0.48067294682358835,0.5313627980665978,0.4923242241280471,0.5054507182998857,0.49785617068876686,0.4490852370155693,0.45989951642147436
laryngeal_tissues,0.8254275999758646,0.8706100124481749,0.8504000636020741,0.8667129110665678,0.746649867828306,0.6476802736348457,0.0,0.8793617150063329,0.6931638142403764,0.6470701836846743,0.7304709596774641,0.7417774879305657,0.7519307643282391,0.7341983752436952,0.6751649456788669,0.662795008887079,0.8267825410486589,0.8351269237944046,0.8750069248398015,0.9006790095120398,0.8833192632612223,0.884732168269947,0.8842842356545544,0.8829203673654812,0.8838630053729777,0.8837933817354803,0.8844632694027806,0.7177549471451249,0.8461067043122733,0.7496508158286963,0.6842036875188351,0.6686304546200367,0.768401142898804,0.859638355177113,0.8568336805755324,0.8531401464142753,0.8617367999178063,0.8510247563715458,0.8598119317099661,0.861209345115848,0.8511332955829234,0.8577305377972901,0.8540648999421,0.8609234061764304,0.8525189220555347,0.8489343661575965,0.8235468633390708,0.7196157357196027,0.8325589248715521,0.6517262416428334,0.7365022873085569,0.8845398231565507,0.8546578053347922,0.7365230784428374,0.7370611202451481,0.7367386645908508,0.7373648154366799,0.8338210394638376,0.8325775717553229,0.83336633756232,0.7004054519539318,0.7393581494736495,0.8219095989641289,0.8499427188263611,0.8058173676840471,0.8652350776904774,0.8182147388851915,0.8337959903751055,0.8254033559308254,0.7607445798601993,0.7723411124181387,0.8238560838588885,0.8667527653824254,0.8525821242516108,0.869982444614775,,0.8782149006974451,0.6508536259600717,0.7504555330991318,0.6741166666224356,0.8256251002516932,0.8339556068918568,0.8762049091013456,0.9005029859867206,0.8829595819145901,0.8824766812769866,0.8864555556261415,0.8854311511955025,0.8858861769029511,0.8819933354381572,0.880852240652164,0.8510475755523632,0.6848687215131566,0.7683378966220417,0.8599537369765643,0.8590984142850646,0.8530755349403971,0.8661182745266404,0.8477046371480013,0.858509697369989,0.858200287745907,0.8515715134531565,0.8573315200276946,0.8527351265368903,0.8630529020619475,0.8553578686187596,0.8516568604097494,0.8264259840276389,0.8312978925931833,0.65343013933913,0.7361900749020658,0.7373532936781321,0.7363086802878582,0.7362120434637063,0.7369865052738229,0.8350434420147053,0.8327947078800443,0.8319266498309275,0.8217511656144035,0.8498321476159426,0.807070369545839,0.8641408349490047,0.8179494611081104,0.8316512462369803,0.8236730563602364,0.7613575008120388,0.7735791176984126
nerthus_bowel_cleansing_quality,0.21449601553112288,0.22830139743702704,0.22525177445030115,0.23686262656323237,0.2066014043991894,0.20730518403385395,0.2247902355900055,0.0,0.22538361268625978,0.2248893305875889,0.21654669710772254,0.21592092643504282,0.22823348666084117,0.2218684822247348,0.23426690779662532,0.23488774250874359,0.18708925808829222,0.18304963558013165,0.16585977291459103,0.1902416748329232,0.21910569200007435,0.21909122927442415,0.21913431197153144,0.21902368256917698,0.21924528735401722,0.21903220607980112,0.21931676157913274,0.20620459441913322,0.20183107322690672,0.22027582224332962,0.2194938676834684,0.21434647201123253,0.21146619325874982,0.2270204323925275,0.22425891113079074,0.2247328212273461,0.22596369449650203,0.2240964415361792,0.22589493351522444,0.22513972651095018,0.22473497857958807,0.22666652020801725,0.2244870966692334,0.22510892108715752,0.2259319802865743,0.22487416905660496,0.23422110074979785,0.20653133328657983,0.23565609757524802,0.2078005393465293,0.21602480956303405,0.2470816577547777,0.21182690680801922,0.21593419061918934,0.21606631185509395,0.21634145536095284,0.21612271171459452,0.19236848789018962,0.19145541328714372,0.19078635952382844,0.22133871411075254,0.22777500711875165,0.22793666205844973,0.2154321611003694,0.2131703842744617,0.22994211238636067,0.22242041840529359,0.22022957561786394,0.21876190216967756,0.2317074117240513,0.20905206549292832,0.21378840259774062,0.22951075394549628,0.2256932113107754,0.23746135903722096,0.2248365569798713,,0.22465141505048636,0.22768556720907757,0.23417289432613148,0.1867080778382016,0.18423690846274016,0.1660003004769165,0.18994852634666648,0.21860594426672342,0.21929388052365117,0.21988732512671227,0.21919161323513583,0.2199048616574283,0.21857684993872803,0.21838487937148485,0.20229395497480912,0.21986320536919618,0.21104178194292503,0.2275021245240101,0.224858518590323,0.2245635579761242,0.22696013445689858,0.22339485760560335,0.2256097813822786,0.2243489697464777,0.2244752437545085,0.2271054731610779,0.2245312884398049,0.2252432133203309,0.2264861682169867,0.22538580866032024,0.23448545897742845,0.2355219971132853,0.20762434549985706,0.2161872984456054,0.2159109805419841,0.21598486713217907,0.21627944028849583,0.2157704586025187,0.19247988997230736,0.19201677788842764,0.19019429911665459,0.22815724023216188,0.2153686340110447,0.21341731963234742,0.2296058961097318,0.22218050951493115,0.2200279737453636,0.21837847539205724,0.23176992421885964,0.2087702558122647
stanford_dogs_image_categorization,0.43991703612156663,0.4678156312110645,0.45282289160324485,0.46298472566930116,0.3889531303607269,0.33873172003445395,0.2959868028991992,0.48277808076140993,0.0,0.34685728090459517,0.35089713260051,0.35819609200595526,0.37782615775909745,0.3728154725808035,0.34281193743003774,0.3367528948374685,0.44209507651076724,0.45070151238151285,0.4771794408487848,0.4928890310288357,0.4828173241530181,0.4837669871109616,0.4834198690658814,0.4824880293314957,0.4831593932569609,0.4832703857522761,0.483477577521139,0.3694582074119207,0.46169157274313166,0.3837227065251796,0.34487977809813086,0.32939132601964505,0.3896840690249749,0.4626727464595337,0.46027137179935945,0.4578667045716961,0.4640197306142896,0.45652837210709163,0.4628514060978557,0.4634362988787377,0.4563932715723756,0.46071273714611727,0.45872181641983334,0.4643252614822887,0.457589361111393,0.4552295101743924,0.4401432301878978,0.37045946469733604,0.4461742968961605,0.3357294103861918,0.379501859860509,0.4752775258647527,0.4449281660898692,0.37950037931510183,0.37995573232835017,0.3795920998771778,0.3800533145901945,0.4451301623282896,0.4427232787994625,0.4433524343916159,0.36221572202541497,0.3789507320841954,0.42902547356686216,0.45462622883925063,0.41867980847818664,0.46320016096508565,0.4222025207144873,0.4370711921262764,0.4303481367444963,0.38578119274418254,0.40122078233337205,0.43834427559052813,0.4628945964695338,0.4543062025652816,0.46556637847532095,0.29534452969922126,0.48208452528064716,0.3486628704846801,0.3778635168424901,0.34225233425251267,0.4411353205966141,0.44985277016646513,0.477915792610329,0.4928289270152353,0.48284318931029213,0.48255914521565735,0.48531568616637477,0.4841210248997983,0.4847425638494346,0.4820825542791718,0.4810216864853661,0.46479221931525283,0.3452408050026086,0.39003496364665,0.46302093099336017,0.4617423726573292,0.4580810158712555,0.4670545624301548,0.4543307042702659,0.4625185817188161,0.46148853246582766,0.456604335966046,0.46044222640777155,0.45785435029977983,0.4653946135006184,0.4590541069519617,0.4570525997585765,0.4419668438452159,0.445345047078729,0.3368615397231133,0.3791221127665179,0.38013364644492786,0.379538475398404,0.379268595605502,0.3797774896031187,0.44570938860962606,0.44310135480699636,0.4421831995508483,0.42872061652573057,0.45415255755070716,0.4194924223126349,0.4623348131845506,0.4219902321952186,0.43559733009752605,0.4291981890489072,0.3858834990671159,0.4021715044691147
svhn,0.6361412688054032,0.6642290580745887,0.6481905851659877,0.6597684548570439,0.5710685414039385,0.4914205475620405,0.4238281322822546,0.6562187586014965,0.5207922408433526,0.0,0.5399841783898154,0.5467694107640106,0.521565103724184,0.5105542832529213,0.4506603110904369,0.44213756275568017,0.6268238585110101,0.633053565963787,0.6536455800560588,0.6738366386736098,0.6704942158212297,0.6716180362987045,0.6711241457926868,0.6702157462731447,0.6709838891634539,0.6709238475767377,0.6715240947557568,0.5519637438848197,0.6318909056613433,0.5623227209277661,0.5104291701374363,0.5205505265550441,0.5759137491502178,0.6396630947097766,0.636082540733196,0.6331193372750639,0.6406718938840636,0.631237652505772,0.6394842663988798,0.6401775219531993,0.6313043575179309,0.6367573993026101,0.6340235539864825,0.6401594467637817,0.6326601540686672,0.6297504772527602,0.6144719313287657,0.5526382367757039,0.6213404451659346,0.5057071580700284,0.5641388286771581,0.6628622674157767,0.6306984183440183,0.5639472153387822,0.564607248312968,0.5643098192211706,0.5646279658287185,0.6237570747386887,0.6226474324403304,0.623611673364515,0.5307822596311267,0.5682412959008445,0.5979719273249176,0.6289611902926184,0.589743417861242,0.6359838848793911,0.5979234915623863,0.6030904652788629,0.6019349456978641,0.5772111590413004,0.5897659956617398,0.6352042793485835,0.6607892057939954,0.6496628534522433,0.6620463784833763,0.42341546691430787,0.65520498524964,,0.5200882000732017,0.45048104451447435,0.6258064903312319,0.6323164806237392,0.6544293609777593,0.6739872559295406,0.6700014308613162,0.6697936055362128,0.6730355885377114,0.6722670822125412,0.6724138366309274,0.6698947294434772,0.6684242270207652,0.6356481693623708,0.510736125948164,0.5758314185375178,0.6400603827201654,0.6376855739935097,0.6328731478519671,0.6441751509733664,0.6285759591416025,0.6385045552424965,0.6379818450324768,0.6317723342748827,0.6365192395603583,0.6332296396828352,0.64215721610633,0.6346519729756421,0.6317102018760068,0.6168668191071776,0.6202824797820969,0.5071558131296061,0.5639027884972295,0.5646023676248582,0.5638525588830219,0.5638040058479323,0.5643310186932053,0.6246164666840877,0.6225596144830206,0.6223590445198413,0.5979534411626921,0.629100494316575,0.5907419460902215,0.6353359293840122,0.5978279384728052,0.6013268826251127,0.6006527573382126,0.5775589340165774,0.5906917525826387
