,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.15691082145319574,0.1610122493814805,0.1686418836680584,0.2164338922659943,0.22012126709117955,0.3281190343402376,0.23001373036685152,0.23140712654961215,0.35257356764208503,0.22837119210849735,0.22895473732308338,0.286053519993982,0.2768248765707485,0.3471381515635641,0.3527024706729366,0.19069154953045775,0.1929733993213468,0.21340291551208557,0.20613212447663493,0.18868602055567849,0.18926639420270616,0.18899421585497483,0.1888160320405137,0.18859201001307638,0.18867578343094385,0.18841547308882148,0.21835691146725972,0.2282738657401982,0.2145383526733103,0.26165158751208406,0.2185348041403714,0.261204362110613,0.2229113203218813,0.22531921312432643,0.22739955366501569,0.22247123301113228,0.22835536262705,0.22281949175298332,0.2229484216143251,0.22789855367271936,0.22580581887072834,0.22593799086297978,0.22234809030431618,0.222689196898118,0.229010322348016,0.22684545009796675,0.22276388289346916,0.22777606590177785,0.22276574217585945,0.270585172666631,0.23290122288890663,0.2503738367250868,0.2709338227183331,0.2710256302399228,0.27134877235946037,0.2712631112521182,0.2508315569142641,0.24967964379855526,0.24935357087271082,0.2567640165459332,0.30628236150525173,0.26133447449613173,0.24272209172803258,0.25824184871391026,0.24851061630765825,0.2574529861917271,0.25701581349468233,0.262426604897508,0.22280208085234302,0.26012292473730253,,0.16006539452126778,0.16046221162815552,0.16966676262970964,0.32823847757021046,0.22991146888111202,0.3517031407737719,0.2874313689858025,0.34677929231484317,0.1897639508421916,0.19267859618720953,0.21381517046843312,0.20556195328800178,0.18937483316596407,0.18848591871932246,0.1887832352963196,0.18978565145761356,0.1892959373947548,0.18751069043545285,0.1903263446286191,0.2288411368347859,0.2618306213313614,0.2606065639866454,0.22307760240105384,0.22541425078237382,0.22721650570075308,0.22274041519777357,0.22821262165754833,0.22300801152119165,0.22212388072855244,0.2274442083294993,0.22624975542577477,0.2256885529080637,0.22216134112228875,0.22299266191443678,0.2288954221755945,0.22715768961324606,0.22742454747659316,0.22174059156472903,0.2706386752703245,0.2708521712208251,0.27139367859756736,0.27132873328442847,0.27086266696606054,0.2505634421531146,0.25065045074666603,0.24909817278854932,0.26156482556843863,0.24304024854801093,0.2583759741019208,0.24805076875402712,0.25736811682896027,0.2577044379694553,0.2622518536411497,0.22295157667895793,0.25953167952131223
lapgyn4_surgical_actions,0.12437034203574601,0.0,0.11877976173845431,0.11069440511261262,0.20469061375448105,0.20125767219231744,0.30558836097804587,0.1974314139393031,0.20621634217539841,0.3102324282250263,0.1989598744274827,0.19671972336637536,0.24722132702640884,0.2436210148492421,0.30308438171866964,0.3132213143045215,0.173261866883891,0.1751938483018762,0.18495237323481503,0.17491685303592996,0.15011479942115813,0.1506167234253795,0.15015764912010326,0.15021213367443412,0.1499576209555297,0.15008819593083936,0.14975877198934864,0.19854751647897892,0.1864135793486678,0.19466486436667815,0.2494147812264605,0.21689607598172744,0.23341645066680536,0.18896966614898653,0.18998867322641053,0.19082144130120876,0.1888104102118725,0.19153201578336465,0.18875821457101838,0.18908958167924156,0.1918160045245386,0.18987253794063397,0.19019206044216758,0.1887078589578466,0.1886035121486322,0.19179384623469825,0.19474718336216174,0.205008947244562,0.19470631703514285,0.2150938796041623,0.25634719976138126,0.1929424930998066,0.21192086903014373,0.2566059607902717,0.2565816658391231,0.2567290194695302,0.25672813359826013,0.21003556333438636,0.2131990122982832,0.21355375704838792,0.22501171173024292,0.28319982143527134,0.21166335452738202,0.2022604962877696,0.21633219644241874,0.20288760955676416,0.20961269099005034,0.2115316676742001,0.21494354468535543,0.20011536855916695,0.24053828237450123,0.12451989057263398,,0.11784343001466158,0.1108681920722322,0.3055920372300084,0.19736156039118505,0.3092076641604224,0.24860448050393197,0.3028510098328095,0.1728407784860782,0.17468145965483983,0.18517082914222704,0.17466791085186756,0.1509068918848823,0.15002611480864014,0.1498267485366025,0.15073946895688348,0.14951143694934488,0.1492411990783359,0.1516462762479643,0.18599849143803365,0.2493905395750091,0.2329710768380201,0.18874260608143795,0.1896454985513419,0.19058311399414052,0.18875862580862063,0.19178859947807864,0.18901089680202443,0.18876662098261887,0.19129601846276997,0.18991182635091583,0.1901330347949286,0.1886340028454458,0.1883361236498,0.19157444267322182,0.1945981904704693,0.1946564646523813,0.2140750208744804,0.25628352367858037,0.2564549138949472,0.25691660165852026,0.25680207820882955,0.2565629795334029,0.20987963959658262,0.21394570864627893,0.21322893491344436,0.21186953489598123,0.20235332868562836,0.21576202992260612,0.20274182234684204,0.2098330820673606,0.21241740315995322,0.21527777604996956,0.20017859195687454,0.23988213965724597
lapgyn4_instrument_count,0.1266621010597135,0.11791441802252246,0.0,0.10774606480966838,0.20102342759233705,0.19445904716490403,0.2984467013016703,0.2012981238193737,0.20012957134849713,0.306419942549614,0.19482514677959006,0.19256071524882346,0.24616907248374761,0.24172569178872855,0.30265282246627345,0.31146323396432174,0.17275099896088852,0.1743064739726332,0.1911738259695275,0.18531181253531137,0.14492363835086805,0.1454643026519655,0.14501018781157637,0.14494675950451202,0.14490640415965625,0.1449953858541658,0.14460372457833992,0.19848226690620996,0.19657824889534126,0.20407602528842994,0.2428864292210634,0.2093537379739051,0.2347144670517074,0.19732433660580745,0.1995443143883817,0.2012454246789935,0.19704164665178928,0.20207215733589537,0.19723699847828513,0.1975053586671193,0.20215678605475546,0.1999210490753525,0.19985687751437342,0.19649198067144105,0.1974286862928293,0.20262502016205794,0.20089363281855874,0.20626854251742063,0.20183259727143002,0.21514011428937158,0.24587340735193539,0.2024913836620862,0.2189824732545082,0.24603529110931058,0.2461314816572657,0.2462939482221347,0.24624329128609057,0.20672459107793273,0.21298534668760086,0.21356220860049532,0.23406903747500613,0.27248995475687027,0.20925102754771457,0.2025545890447234,0.20882080956798743,0.20513358580888386,0.2037233025769743,0.20889278936138872,0.20994751566957892,0.20253129867665498,0.2323539724692959,0.12664373620252753,0.11753448259027492,,0.1086221935553992,0.29841132202348347,0.20130962673106928,0.30554210803819165,0.24735523815456156,0.30212385862517316,0.172253503354703,0.17367276191942416,0.19150038902287186,0.18494362798708838,0.14578814243175325,0.1448040453054524,0.14503615955412785,0.14533927907741467,0.14431519456821845,0.14392440702974957,0.14598109784449126,0.19672167284544761,0.24296999280470885,0.23426507822784248,0.19756287714042464,0.19935753626540853,0.20081594973038103,0.19728493441095343,0.20195823939686713,0.1975692450050104,0.1969976061768596,0.20162775337324196,0.20034325853763355,0.1999304126358298,0.1962664764625437,0.19750635817419823,0.2025035393118519,0.20116310870858464,0.20187446273419932,0.21432158830865897,0.24585192145966667,0.2459665677872195,0.2464669923648966,0.24632884856458978,0.24601309220517922,0.20683729040703136,0.21361885588282625,0.2133592621955085,0.20928557401844974,0.20249508591089418,0.20835795035709556,0.2049130328097868,0.2038343960371306,0.20944535374029463,0.21007695007460728,0.20263854270223197,0.23198307808046845
lapgyn4_anatomical_actions,0.1944432400593617,0.1704430746027429,0.16913154426291735,0.0,0.2857017532958253,0.27488346188161683,0.37745424055085813,0.2750382396052852,0.26697925018463337,0.37312699461998483,0.2615500849589828,0.25855099264423476,0.3103549619089052,0.3088322296913955,0.369792368868631,0.3779773692398142,0.2530147214891106,0.25381195200717305,0.26245204961003243,0.2536770687615605,0.21270308461619636,0.2133022177938069,0.21258848322302573,0.21270173393206118,0.21255510511969702,0.21276816116257,0.21222786889656364,0.27940660429144937,0.2583288379037188,0.2752767243464356,0.3276048688675668,0.2987690742045753,0.3071212736433494,0.26093839852192047,0.2626721927445767,0.2631703447162883,0.2612233915949409,0.26396098506273963,0.26096692305044916,0.26180560116066937,0.2642808728274387,0.26172690179533653,0.26239879013353684,0.26094598731910157,0.260309912941257,0.26370988159686587,0.26554082261075207,0.2892101358844726,0.2656733424507542,0.30390060351772635,0.336636086785761,0.25997568935125276,0.2883972459695946,0.3369375852803258,0.33694420966199456,0.3369072082538411,0.33703047068960695,0.2833631073437168,0.29061676221618754,0.2915173171096286,0.30069571125559225,0.36023692348575004,0.274904740026891,0.2709907368698956,0.2793606726998996,0.2687266414904949,0.2703597675520557,0.2729371412803535,0.2784570357626702,0.2746175076166051,0.31873779647081557,0.1944829973603339,0.170708141474291,0.1684471665693413,,0.37743217376746646,0.27498152849123103,0.3722425829391839,0.31190005242622276,0.3692561530899014,0.2526201676488152,0.25324977112812647,0.26250917487571823,0.253360914434776,0.21396276924147217,0.21266740572538192,0.21269042416152462,0.21331248385430818,0.2111996349236362,0.21176843463815473,0.21407506004399735,0.25784419387892277,0.3276334024739074,0.3069549447535004,0.2607593178809635,0.262180643486806,0.26280214981750377,0.26109338841948376,0.26422975190383363,0.2613952632914155,0.2614529422476101,0.26379373185232186,0.2617444892980011,0.2625043247510093,0.26098570532682974,0.25993022987110204,0.26350043299353126,0.26561681911057067,0.26571237355137706,0.3031529353009,0.33651015097138515,0.3368119530409104,0.33732335347922626,0.33701148596576797,0.3369255764984586,0.28342202859809995,0.29130302498448374,0.29109261972788153,0.27507035825219384,0.2707725681595244,0.27855328571900867,0.26867861288251205,0.2706555166100491,0.27371439521953683,0.27886954082081034,0.2747401807282714,0.3182664101098114
sklin2_skin_lesions,0.371695522709078,0.40365284976367155,0.3908643309439352,0.4176876681064833,0.0,0.3228578414903231,0.37707570576202354,0.3794950097547537,0.3312019492827975,0.42507021708774806,0.33466207525926295,0.33497807884509095,0.3895386812389411,0.3732461831128699,0.4560132958258542,0.4468016019488468,0.32956353950124334,0.3406846445996792,0.38085115280946924,0.390333804425001,0.3885454817136157,0.38927936228477317,0.3895074816806579,0.38873379128158037,0.38900865038158494,0.38890724675955796,0.3888116298745293,0.24015011968594627,0.38731693197129125,0.2953551754745038,0.3515874635056403,0.23862625819917282,0.35554322519505205,0.3644389979074671,0.36887265183549894,0.3717941182645016,0.3631839888176146,0.3730135874968172,0.36412026836991196,0.363037810999854,0.3733404139461832,0.372273888170448,0.3686952809758318,0.35867742214349513,0.3689205039747878,0.3741345663914928,0.3808548441132317,0.22682480155494336,0.3836595184038225,0.235978787156938,0.29512359369315005,0.39320216540214187,0.3786938860089704,0.2956381183778896,0.2956553197221216,0.29581314369364203,0.2960918567811892,0.3227411955301226,0.31620189616599365,0.3174107469342541,0.32748086860577985,0.32903820403424416,0.3940175673840401,0.3771608132716139,0.38390589267943703,0.40039709022145437,0.3927398779086978,0.3920462663948702,0.383029032421921,0.32703910855799695,0.2848524811624722,0.3703355071609892,0.40212483621045547,0.3937150506971697,0.4199430210172852,0.3770530874364586,0.37875093460894016,0.42477036689210224,0.3906303738876348,0.45595380628933324,0.32972811784952727,0.3390396133612689,0.3806926440552545,0.39115444081453854,0.3874959023457792,0.3888364627291116,0.390334367606704,0.3896195323590544,0.39166799629878746,0.3875923221459569,0.3872775272914248,0.3906179587274266,0.351548671556499,0.3550891002805619,0.3664283171459886,0.37059028946742395,0.3710590307611605,0.3642269030686911,0.3710243112249345,0.3642150579923556,0.36143741931081463,0.3725732238086384,0.37312257603167287,0.3688468800369101,0.35834231526969934,0.37078294675179946,0.3749617997539698,0.38186672496718305,0.38326993345446086,0.23649876678901682,0.2953345091558369,0.2952836157963593,0.2964313126851262,0.29555209413278605,0.2956240691552188,0.3222821157161824,0.315700885972631,0.3177564191345342,0.39421614170363517,0.37668422918624717,0.385258479462932,0.40007722486905667,0.3921744924330129,0.3914001022126903,0.38173328634466774,0.326870404869309,0.2847528173730918
identify_nbi_infframes,0.39724092556485846,0.42628011774254637,0.42159310615608064,0.4436213455797782,0.37107027188784625,0.0,0.300002510326583,0.4529520139541003,0.35304651699381134,0.3790973558102901,0.36175310443022135,0.36325058069400207,0.41909372977906467,0.39527182945849526,0.42507427479181203,0.41061451571076363,0.39129307563688454,0.4012797390647218,0.44010382718718416,0.4332711008860094,0.4324586664647005,0.4335756703982103,0.43322494257652755,0.43232310802382556,0.4330431172773446,0.4330601207272836,0.4337341588928466,0.34349178916626766,0.4109574277381237,0.33095203612986074,0.3467398810315759,0.3261563818054394,0.40144279407829164,0.4071530799277726,0.40176134586836393,0.4014164382016402,0.4076093118979077,0.39992490236189693,0.40580149239403607,0.40608409069561907,0.4005970188129395,0.4057020209512016,0.40156950681149717,0.40635542672788105,0.4023879894839369,0.4001155065890579,0.4063413585477927,0.3462790414253291,0.41213027286796616,0.3011938886774601,0.401512985359272,0.45272449569705486,0.4375731080754131,0.4013695015599104,0.40209004788045605,0.40189458548934953,0.40228519291012627,0.45397105378748603,0.4504336245214267,0.45058430793216325,0.3148215636378703,0.42939894498182846,0.4282078555065693,0.4156448101870027,0.40619765696627885,0.4474202956138959,0.4185058375753755,0.4226932086082319,0.4227975669854055,0.37050541582373325,0.4119513926888023,0.395988566506213,0.42047200682927893,0.4229002395002194,0.4468733788828911,0.299011481724597,0.4518454814312456,0.3809451485166634,0.4196730158716181,0.42376293049753916,0.39001583275797974,0.3989507922506953,0.44098526336178256,0.4333350154104168,0.43148002548426284,0.4312553682815529,0.43452414649810167,0.4347671130425422,0.43559082957285566,0.43199638678203756,0.43094660024317877,0.4143381135969306,0.34795900470051105,0.4003608206100903,0.40734374237256,0.40347796172703676,0.40178694770205575,0.41088877801811924,0.39719595770677213,0.4045789834973996,0.4038877353991317,0.4000259813324812,0.4058894009758473,0.40129122940429957,0.4077936726956505,0.4042828025803838,0.40174273030671387,0.40783866530864543,0.41151729018246064,0.3014045204068207,0.40139354778254543,0.40194908107483746,0.40186710931313,0.40157413185424357,0.4021034745494894,0.45451331940085665,0.45049665421296536,0.4499172418666494,0.4284625378958159,0.4159480125245883,0.40808487889573664,0.44619606015915286,0.41852804035722774,0.4211248836258857,0.4212991513202941,0.3710759860329474,0.4115818860106574
laryngeal_tissues,0.7414532232136359,0.7663504742913854,0.7552339027095518,0.7760310063790934,0.6544613290989635,0.5451703170601693,0.0,0.7726520366987029,0.5943029658005006,0.510737424596876,0.6016394457896039,0.6100009258420864,0.5982016119884646,0.5770288538222679,0.6210996388529096,0.6025479917411738,0.7309781132412008,0.736012175591533,0.769853449776584,0.7808205047746556,0.7795414851591709,0.7809923413649353,0.7803418166555075,0.7794783804859693,0.7799803799021033,0.7804346623718302,0.7806373318810762,0.616031943505117,0.7430656886867204,0.665186555786345,0.6478456036204028,0.6008493425292519,0.710072937436677,0.7507616812309582,0.749287132614964,0.746935676396447,0.753646215190403,0.7454805664022907,0.7507224018734937,0.7526418944704213,0.746326983705635,0.7511023689468537,0.746847293886659,0.7528453794132594,0.7468154845457488,0.744440026563272,0.7411565053501971,0.6452181473436467,0.7477416058067713,0.5551641534169239,0.7015953256097817,0.7965198742521264,0.7818675502006162,0.701824050982757,0.702266452633396,0.7016661744048925,0.7024746016611809,0.7361611571929572,0.7308471208133903,0.7323674547469958,0.6175897791900022,0.7289908868293322,0.7179403733910465,0.7391177837892674,0.7242604935419024,0.7567830267610157,0.7261010700093663,0.7255765337702971,0.7227073874272849,0.6698340566325445,0.7262931366538943,0.7406552752229836,0.7728968998692938,0.7575404962193233,0.7781143785371458,,0.7716433693746488,0.51478673805201,0.5975485046775747,0.6191245651957851,0.7308913784920378,0.7344158770904097,0.7704950858632763,0.7811888212049314,0.7784082786496448,0.7791777291079263,0.7822796572953566,0.7824113062498548,0.7827508192763344,0.7785149505654434,0.7770932684621329,0.7484488969971413,0.648581049767766,0.7093806616114957,0.7524355355275936,0.7514281445282973,0.7468814094167704,0.7570298750078195,0.7428262928989391,0.7498396159576903,0.7501742956098092,0.7466027423516506,0.7510239482463057,0.7462498637128998,0.7545279271607194,0.7486504456181524,0.7472693264193706,0.7429388345651501,0.7468444954352492,0.5560827187509471,0.7017269850762619,0.7020844476392011,0.702047654848114,0.7012988319445405,0.7023859966198435,0.7365713614071143,0.7306460763358192,0.7322468071139454,0.718577017462176,0.738688319410839,0.7254900215995648,0.756356943381064,0.7257803279831624,0.7245039622949705,0.722338929929412,0.6709232214274976,0.7264576839806863
nerthus_bowel_cleansing_quality,0.2483582383524399,0.26046597959868445,0.2605153104221746,0.2777436983507359,0.24736213505857574,0.27576225715796143,0.35437397672323123,0.0,0.28616112985060815,0.34514376308314426,0.26222607249641733,0.2587867786947249,0.2999810488945363,0.2941922718384469,0.3463161265440198,0.34827876481191966,0.21070005032928046,0.20493479543280663,0.1763990422916633,0.19867826098399616,0.24279391188652433,0.24261932324852994,0.24276237660480837,0.24291287126372726,0.2429747044730807,0.24271938274193156,0.24289523694149062,0.25702895709926465,0.22137501071340432,0.25965176469196644,0.2899740938509053,0.280912478455868,0.2539882661423969,0.2535917494708719,0.2523555306856737,0.25454029210934936,0.2515811117565295,0.2548825451086295,0.2522307417057721,0.25081338234760625,0.25531410736703525,0.25536104059350406,0.2532484823024339,0.24999690508398423,0.2549622549518643,0.25647713093106095,0.2674444019628803,0.2556063814837718,0.26753739365188545,0.27433459734171256,0.26465986728113067,0.27109267950693416,0.23455798269946163,0.26473597016549844,0.2647373327839534,0.2649994995053706,0.26461023869836525,0.21317821948774437,0.2122861273619958,0.21160724517379564,0.27874555706857285,0.28244857594707024,0.2694905767370752,0.2436615946827859,0.2539430180812412,0.2614907673120869,0.2645613096612247,0.25416502484266806,0.25611485871767403,0.2870222364099112,0.24576144969045005,0.24782753702233534,0.2646574948227077,0.26058799878664485,0.2780098202584326,0.3543982262144151,,0.3435405754208488,0.30042838962040896,0.34692439715428397,0.21044439128849615,0.20683743578377015,0.1760543130148882,0.19843259206148353,0.24211794312886797,0.24321515678926514,0.24336164745010855,0.24271682662500343,0.24381897739910396,0.24264915186275732,0.24259811946002366,0.2212409694663866,0.29037906059778323,0.25319601356696014,0.25467711457203424,0.2523841046648545,0.2541839123482452,0.2518418696708117,0.25463467927154915,0.2523136362731657,0.2506948712491125,0.2547526065076052,0.2563410480862028,0.2537530178701193,0.24955278914689671,0.25501145907930084,0.25663993122098117,0.2672102243551301,0.26779665515489276,0.27353732528647784,0.2650344440282083,0.26447206260722,0.2646543310053435,0.2650618510140705,0.2643122650705335,0.2130972192284743,0.21279238753285287,0.21145829287118542,0.26985822289974437,0.24335134818208337,0.2540825674317148,0.2613710702323297,0.2641506373924617,0.25439045762009566,0.2558212759729928,0.28702936142026814,0.24480027624914166
stanford_dogs_image_categorization,0.4954806477675092,0.5117336276038794,0.49982202355545163,0.5138182186748388,0.4483491527822893,0.4084714627225379,0.3916845396196273,0.5298583440749449,0.0,0.4297286921995166,0.3469583997657875,0.35352527441781245,0.39608424493765254,0.39577031582811784,0.4467607159935828,0.4510174706760043,0.49226836106721805,0.5011007764858648,0.5232794520523288,0.5318351470821086,0.5288578381121206,0.5298741419373382,0.5293486272911693,0.5285575821466039,0.5290642990156976,0.5294845166084787,0.5293665650208965,0.4354194227594013,0.5133387497688399,0.4376508909706839,0.4291895555030005,0.42748302416860173,0.45408061992657095,0.5053858676702904,0.5036206076394578,0.5018780432829315,0.5067300689359258,0.5014297425653667,0.505490309293161,0.5058106430925257,0.5012545185418195,0.5037688919558277,0.5022468368533537,0.5073063254138883,0.4997504951306345,0.500361512317256,0.49250826512620033,0.44960898312949243,0.4972601909517458,0.4232130764854891,0.47167364650476395,0.5225408893703002,0.48289992116205604,0.4720496512562725,0.47225899989001996,0.47177576376620317,0.47226951088193914,0.4867985742489355,0.48257932536854664,0.48380436997318627,0.4284289625533619,0.47980522322503366,0.4621883724475046,0.4865333787544356,0.46166730731539063,0.4968214642238342,0.45425477880997617,0.46309263746676943,0.4614351181026167,0.42479439388013013,0.47722463152955624,0.4935971418231774,0.5116561800586626,0.5014837431603817,0.5160954988447999,0.3907477975583742,0.5291041493725958,0.43042659835618235,0.39737225931455644,0.4463369392744169,0.4911553401511748,0.5001193551431649,0.523584279394582,0.5319289477435487,0.5285990418586035,0.5290788296083428,0.5315749788736639,0.5304999696282946,0.530945406304782,0.528334541003948,0.5269740098386793,0.5165296795279263,0.4295598146169497,0.4543365461532659,0.506195342671052,0.5048691368292484,0.5019665116836778,0.5090510966306115,0.4996250917959333,0.5057903422330116,0.5042688207482835,0.5013685820941917,0.5033770665041998,0.5017898766683087,0.5083868138335121,0.5003297970521273,0.5020105927393677,0.49378447321778135,0.496623631506323,0.42434467185887864,0.4716279871888153,0.47228894087731077,0.4722737213833939,0.4716693395494168,0.47214347886194463,0.487025726479164,0.4830923976457599,0.48302332436061934,0.4622770604278303,0.4852412502849869,0.46213413541802895,0.4962663441518909,0.4540569646542805,0.46224615476612757,0.4605116306308118,0.4248659850104649,0.4774277024171376
svhn,0.6474263955092594,0.653458350430144,0.6440110063015454,0.6620669700154587,0.564961895286198,0.48029266250708913,0.39945828598884164,0.6197668037005295,0.4993760542019744,0.0,0.4886315160056588,0.4845896842385154,0.42003161539316913,0.40838591515285166,0.3975765864231856,0.38359858809955777,0.6138551814941022,0.6170487384379292,0.6207559687791966,0.626604730828978,0.6474679938500604,0.6485592440469414,0.6478872321851983,0.6474878607591437,0.6479671809617233,0.6482004441358313,0.6485500619253033,0.5470860395430511,0.5930929051622211,0.5484211955251452,0.5271910678638143,0.5721361304470534,0.5758610578966805,0.5994984551457319,0.5976104340208185,0.5960973095064023,0.6009203919371944,0.5952111724697262,0.5996747453150735,0.600405511636494,0.5947249365058646,0.5981049546639077,0.5958907490365724,0.6005382063386646,0.5936688819892851,0.5942210026363947,0.5835628596408682,0.564391971338703,0.5875063240670146,0.5258630872535869,0.5889951833592956,0.6358169793514085,0.5947465311339769,0.5888600948030163,0.5894727830548984,0.5889706651319836,0.589240776173116,0.5957556821074739,0.5898033999265668,0.5916946137371537,0.5343078457400611,0.6058022941244279,0.5313847587016384,0.5762719464482414,0.5490253546669376,0.5733259751010561,0.5423089491873317,0.5273217829693486,0.5380592976179195,0.5796805682978966,0.6043373563672034,0.6476833885792563,0.6533226920015653,0.6453743773701233,0.6629573614799683,0.3997522745078551,0.6186877624806582,,0.4180836619040782,0.39762950064202635,0.6137603929671467,0.6162265903928905,0.6205243394023368,0.627529751691787,0.6462825557086749,0.6470099657268985,0.6499682835059527,0.6495000966421787,0.6499035545537237,0.6475622590703718,0.6449274243790347,0.5972753435509999,0.5281457851538988,0.5753121673806144,0.6007218357722742,0.5989593852201812,0.5952668794870882,0.603283582435231,0.5927332397060097,0.5989805726752468,0.5988219161220598,0.5951316969406757,0.5981752635223831,0.5960771853914074,0.6023144535731522,0.5946595420411966,0.5961013564504969,0.584862305173883,0.5865428424624493,0.5269592683767802,0.5889640712565061,0.589121711314845,0.5889915329402845,0.5885565027046579,0.5893383281346876,0.5957875733877862,0.589454681960089,0.591217439765124,0.5321940898164377,0.5760677437211563,0.5493993796104913,0.5732998592681359,0.5422117337765269,0.5259041220979234,0.5385657837483514,0.5802911264516946,0.6041047846415205
