,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.1861665138537647,0.18484389148684202,0.19244705389005506,0.20548348293516816,0.18690282280290138,0.21862549105344534,0.23813371711669526,0.213067373315327,0.25890793866711426,0.2188690479467572,0.22111142174617565,0.2546183313938754,0.2450722861436266,0.2538594352107005,0.2527306616604797,0.20258050405467265,0.20498531877926793,0.22711503797036414,0.22742056203120023,0.20964709576539162,0.21018356883807948,0.21002126713683983,0.20961400715797934,0.20970463118311233,0.20969307231054732,0.20965377144575556,0.2033652491265352,0.23377082009352024,0.2047528980839253,0.21169775955165002,0.19115120006881747,0.23317248106992264,0.231224632005713,0.2321876660029679,0.23279147863182242,0.23109986786687808,0.23294995797841445,0.23126124109650403,0.2313863168899525,0.23261629268939546,0.2325971149935896,0.23205561954046275,0.23079191991788017,0.2295567733901299,0.23294809511608275,0.2269613044392558,0.20548030040049628,0.22901047805460237,0.19195855979674978,0.2316038916455127,0.24073310150068475,0.24481664432580957,0.2317494992614767,0.231982406062224,0.23210322090933824,0.23212645685216673,0.24510457949727174,0.24360528333007114,0.24326243634100134,0.22183898848519734,0.2510190582613292,0.24686890897534305,0.24068452731699294,0.23871190516531818,0.24731102502285063,0.24217845813307382,0.24583412667732385,0.24758781574189653,0.21441576699303738,0.2336371543107133,0.15811796086956903,0.1872292426644958,0.1848391593657361,0.19373892808697513,0.2185096664476756,0.23807315176166638,0.25969299553756275,0.254953854006524,0.2534152406262362,0.20173587766975518,0.20470109219749782,0.22769885514257932,0.22694509298976986,0.21010525126865046,0.2094025740172729,0.21035379139603846,0.210601102024755,0.2104378508314688,0.20858850781989186,0.21023020569905293,0.23500608491959435,0.21198435441566726,0.23279716911354567,0.23129919933463305,0.23269703546866202,0.23275152369119745,0.23214272100406955,0.232134041253864,0.23108627848012536,0.2302288491846927,0.23233971013966814,0.2328228746812257,0.23155362459576148,0.23117973065888311,0.2304157691303736,0.23336399543177944,0.22760473192741418,0.22839827985354197,0.19160492256161094,0.23153024960168514,0.23187448922396686,0.23204938687250615,0.23197803351647434,0.2317766412884707,0.24522057442031364,0.2442787199859168,0.24285042151416472,0.2467720750548636,0.24102678604191172,0.23917911094746241,0.24671947274901188,0.242033179859225,0.24566862904817904,0.24703488391186904,0.21452106170461158,0.23368467994709086
lapgyn4_surgical_actions,0.12485279108317897,0.0,0.12363975890791751,0.11907763229982071,0.17572635051931995,0.15694714582351538,0.19572232225623043,0.18738021316228942,0.17533593577994783,0.21894171735376003,0.17419968100378488,0.17400172320560042,0.20537037731234178,0.19999029055689763,0.21113935082127136,0.21333688715683705,0.16336186089858776,0.1656807763938904,0.17809972777421576,0.17463248788876748,0.1511211690767027,0.15157456139305436,0.15123346502274942,0.15105563427119428,0.15110314485206383,0.1511785861824045,0.15101583331030097,0.16946743777654016,0.1755471102208227,0.16953079999392853,0.1859865126261038,0.1717546518902291,0.1927864363287169,0.17923976650880305,0.17958958941518796,0.17963787298884987,0.17919301638686583,0.17987406846630202,0.1791325263551566,0.17944502996297607,0.18006010359449942,0.17948409640906782,0.17932140492663862,0.17889413458725836,0.17792025366616915,0.17964937225349115,0.17878256690916333,0.17328920204062737,0.17976142639018453,0.1701134654093587,0.20329872082940098,0.18354950534925069,0.19078104019915915,0.20338913816876467,0.20353119154164168,0.20355604752560041,0.20359177059211309,0.19199467663261946,0.1938247769872293,0.19394746753502687,0.18120814381361824,0.2192503856558372,0.18640552982624292,0.1854401200737394,0.18642092247385145,0.18706317460995311,0.183433453026837,0.18794518454021433,0.18906462953095055,0.17331706678197534,0.1995297725170315,0.12469486565348438,0.1222951494833351,0.12324532342015357,0.11972133329387123,0.19562929268337914,0.18740939258597744,0.21936985259383315,0.20592662708688997,0.2106849952284064,0.16287728729844966,0.1652250958743946,0.17851426756467925,0.17440403272457533,0.15167102646805125,0.15096908126663733,0.15137335227000703,0.15170289271018902,0.15081313405109997,0.15029739051947902,0.15184544302452643,0.1758606790918231,0.18604957100097289,0.1925128093359652,0.1790295736121306,0.17963211493914383,0.17949969501196886,0.17973272788876787,0.1795089167852997,0.17910101109168267,0.17878668868154562,0.17968253891580438,0.1794488994725659,0.1790538137371356,0.17922597025848266,0.17818479727443218,0.1798157078675584,0.1789963053158828,0.17950578763925285,0.1696195938327698,0.20321874576486748,0.2034143803402766,0.2036475759930788,0.20353402822809658,0.20343560549191197,0.19208915649663444,0.194354983357226,0.193578958114318,0.18636118870786525,0.1855448946364101,0.18634975117531136,0.18674580978445227,0.18355570315632175,0.1881541957302007,0.1889481848276597,0.17339458560442544,0.1994025850590267
lapgyn4_instrument_count,0.13762328324567252,0.1378662534007461,0.0,0.1281543907357207,0.17908652488946908,0.15912608803274597,0.19225480923770888,0.20039301039149143,0.1767392068575459,0.21948697338712392,0.17883058369328586,0.17906841004095514,0.2117585878600865,0.20582542968030973,0.21181266836748314,0.21279398116268902,0.17268882177377115,0.17515509247904873,0.19298370376995017,0.19361437718002827,0.15876375068432735,0.15928462144810623,0.15891940088747858,0.15865953253333176,0.1588405944228875,0.1588709241803843,0.15869113099116516,0.1746291090789137,0.193074218422976,0.182338200251616,0.18579136238605792,0.1694999741619775,0.1996791814074888,0.19508159842492473,0.196150219370573,0.19655651453242226,0.19505206527627314,0.19677171350784445,0.19510390587715107,0.19540834964845924,0.19680898131497215,0.19629539535395427,0.1958193514910006,0.19451202846655985,0.19392830767015587,0.19663695604134512,0.1913502886451267,0.17902378855722484,0.19328658896272424,0.1726710106496939,0.20171384765179473,0.20051295793718196,0.20550768209204892,0.2017225450455264,0.20194497260097294,0.20197468040613242,0.20197434807279102,0.19896017409132405,0.2028262557764397,0.2031224195585401,0.19117939725753458,0.21676171407217587,0.1946041470751722,0.19613125957330432,0.19098232155510064,0.19963461187149376,0.18979262988254447,0.1967512778434846,0.19630970957054852,0.18271498528841468,0.20168654236541012,0.13735074371417666,0.13647833457228017,0.12986436263329845,0.1293984506649407,0.19208228599300348,0.20043608870149765,0.22011772860483425,0.21214524629873088,0.21121879258801984,0.17218220991068,0.1745395081210249,0.19353000834431272,0.19331137483029642,0.15940915585250037,0.15856658932909445,0.15939096038046915,0.1591705912366112,0.15851581332086762,0.15778982788352003,0.15912124270522082,0.19389598737123515,0.18592535327543258,0.19942952934038158,0.19521884959388153,0.19637555062619794,0.19630193409374525,0.19592653020611375,0.1960843348721564,0.19510617829970267,0.19455833797277658,0.19647496169545892,0.19649662252292222,0.19558783212567116,0.1947971344669553,0.19452418060439672,0.19691539494567822,0.19199577956287023,0.19304018635680265,0.17234848844116232,0.20161128319760546,0.20182184663882047,0.20201663721132135,0.20192131541648564,0.20176457076034804,0.19925856790541902,0.2032398801929779,0.2027793175573746,0.19448104168584587,0.1961635103027014,0.19102508535233997,0.19923204936602912,0.1898260262671516,0.19666440465405866,0.19601751034953693,0.18282557476111322,0.20177501059475916
lapgyn4_anatomical_actions,0.18958389847451185,0.17780400032281593,0.1728303865823268,0.0,0.2423724495774625,0.21858784589097854,0.25330049158726686,0.2570157013440798,0.23085751321301456,0.27483285532442353,0.23146035154101624,0.23111703630500152,0.26468647256550054,0.26028807620240113,0.2665711727883979,0.26832946963867604,0.23347838514188016,0.23559537680259862,0.24787395692689987,0.24697122074041494,0.210656832612935,0.21121775430323675,0.2106371209217775,0.21048867744472388,0.21064775215172749,0.2107752894032699,0.21048357670676562,0.23530133040808046,0.24043501249925453,0.24003243975779276,0.25167145634681953,0.23512887065630877,0.2564959411255685,0.2461090406685466,0.24688491283415925,0.24652021104455674,0.24643965879534116,0.2467176801222128,0.2461460768179493,0.24693834040422907,0.24700974573235374,0.24614323468597857,0.2461298769921647,0.2459831513766364,0.24454093890091946,0.2460035603695205,0.24400747648991492,0.24003013680621,0.24545745364627727,0.23706235731524328,0.26846895479293675,0.2470026697956058,0.2599914877626245,0.26856396488236245,0.26872559155473535,0.26864150413875526,0.2687569126225829,0.257717436238651,0.26244416052214276,0.2629535983921977,0.2463688473557452,0.28222289702178377,0.2452615560606814,0.24961285096130686,0.24523174220377014,0.2486690919393979,0.24082650580645298,0.2465175440705233,0.24858625715801366,0.23672397148113766,0.26634492236187557,0.18937657368911023,0.1766397124597479,0.17265262415807459,0.15849326412218742,0.25315166766039104,0.257021694615665,0.2755353869321735,0.26525322901673265,0.26590706516858403,0.23301220164105305,0.23500820796257457,0.24827277087058905,0.2466927128748267,0.21154342927100878,0.21050461565516793,0.2112199500927655,0.21124262292042612,0.20971854332472234,0.20973722014160004,0.21118149781431825,0.24085805486145928,0.25176838545562386,0.2564347784265474,0.24596341885385978,0.2468908420084009,0.24625745549684774,0.24704482766484165,0.24625768775613333,0.24619397427958772,0.24615198768133453,0.2466854312554756,0.24605913273104965,0.24597730739654916,0.24645929063541222,0.24482378302434357,0.24623249398121344,0.2445445657549993,0.2452172493720381,0.2368168864765083,0.2683149037572303,0.2686389332966204,0.26884387159367207,0.2686198959176127,0.2686149268537431,0.2579833271244911,0.2628737303262855,0.26245100860222137,0.24519280736450938,0.24947787104091104,0.24505015188102713,0.2483697547043652,0.24101336346422625,0.24661059454970563,0.24845052116590985,0.23684746354930536,0.2664247111867711
sklin2_skin_lesions,0.3845925013625544,0.41995682017901403,0.40607978855951965,0.4262392134714783,0.0,0.3181694623489556,0.3136746903597628,0.4101464117412597,0.3393874598503311,0.3678734727800378,0.35393727338670233,0.3578474129246622,0.38955666182923604,0.3762914420558609,0.37091960397059026,0.364090415719359,0.3638136891180703,0.3725232325054272,0.41008194647603213,0.4238004665945171,0.4152917260211098,0.41609989470091213,0.4162237966253812,0.4152875273058366,0.41573962293955224,0.4155843812993978,0.415783685332037,0.28586309717089264,0.40936994374388413,0.32527068771010753,0.3289598694150516,0.26803299883738985,0.3633345750102445,0.39764091707714305,0.3995357681337538,0.40050195424884943,0.3973471303506762,0.4005957990329688,0.3976202256709318,0.3972400064811117,0.40060390568428494,0.4018877943365852,0.3988767874804091,0.3944826728274382,0.3982294194168721,0.400583950040318,0.3961513108362785,0.275584085148493,0.40041425521204543,0.2647285850102436,0.3185330196039033,0.41946036479024934,0.4010796372762257,0.318767483910232,0.3191129248779272,0.3190799595254842,0.3193261553153729,0.36270858597429406,0.3582553102287327,0.3589391561003047,0.33119721604091745,0.336707291544365,0.4081819120061716,0.4032859672329457,0.3917940738947363,0.42329516557877944,0.4030847492438675,0.40961339456857077,0.40126706638161924,0.3481674242113197,0.3225537072437812,0.38310006364436483,0.41753573290699225,0.408269585412057,0.4286719560256903,0.3134113098263631,0.4095196702035129,0.3690059125370701,0.3893594701433477,0.37048144697333796,0.3635247452981273,0.37140860085201716,0.4104825196992957,0.4241884870345966,0.41475996330855036,0.4152269438614574,0.417305208130055,0.4164674119133944,0.41778295914080665,0.41433489077080593,0.4139022344679277,0.412466802484898,0.32917520803389955,0.3629703183229668,0.39890081805298705,0.4011112816250575,0.4001618278709306,0.39927982859404154,0.3984613750597601,0.39728913397784626,0.39534722540772504,0.40018530229799404,0.4022188197609362,0.39850562465020223,0.3948939748990754,0.40032823175231447,0.4017946585421834,0.39752626835649546,0.399656907217482,0.2655046085858808,0.3185594809861967,0.3187893725377613,0.31917391083087987,0.3187410307001634,0.3188385715232183,0.3627530085673142,0.35808955516888424,0.3586754286358653,0.4081845076559874,0.40317220589339187,0.3928838622783571,0.42257732865661907,0.4026921112491835,0.4085450687866719,0.39988334882798576,0.3480574437608631,0.32275963508487654
identify_nbi_infframes,0.4740982127609162,0.509560814633198,0.4972951184969321,0.5134854633789994,0.4324394968580955,0.0,0.3254973979468968,0.5289736758847635,0.4066413799134425,0.3995380755949568,0.4324941358678047,0.43809042436550477,0.47195067983936606,0.45435962456291534,0.4108391650564514,0.4010478082694497,0.47384854244244606,0.48256782726270836,0.5205680593361862,0.5277251563782424,0.5167749958965099,0.5178516350123082,0.517527876332696,0.5164196004550714,0.517287160305375,0.5171752475420555,0.5178588788842156,0.41053182609297556,0.49337291817043216,0.4122184987513729,0.3843554469869744,0.375208762487665,0.4493936593057707,0.4967163645245236,0.492701304450907,0.49096071246044315,0.49762326011413216,0.48924764200685156,0.49622156574265086,0.49676849650966554,0.4893812597757906,0.4948064510559767,0.49152933911667074,0.4966904890736225,0.49104817539299767,0.48830210099646265,0.4762844355541854,0.4071236817645245,0.48301016667320334,0.3622569014842856,0.4347613652335623,0.5268218696039846,0.505427218133394,0.43457089115583336,0.4352445319121836,0.43506346336148716,0.43542976317148363,0.5109119269276883,0.509808549897685,0.5100356582578496,0.38563681915707837,0.4444123036134739,0.49291950102568804,0.4986249361378293,0.4702238261173326,0.5216968208735185,0.48334026364507704,0.49600868127140385,0.48990760173853753,0.43794895813147056,0.45598469420374266,0.4726946916234159,0.5036403780776855,0.4988091400267386,0.5167666244206838,0.32468844119516227,0.5280927874013959,0.4022482887363885,0.4714179603562092,0.4099690512526232,0.47261917131491826,0.48095188797995414,0.5216177944271974,0.5275276093451388,0.5163147660112136,0.5157465233915641,0.5190052716893725,0.5184427078932305,0.5191833110091681,0.5158375698028377,0.514843356636552,0.4967864069466481,0.38521972780210867,0.4489238544402249,0.49674493420384436,0.49437322125252603,0.49119909081497004,0.5012129524874568,0.4864437102724581,0.49489368312906923,0.4943766848909567,0.4892558628944331,0.4947438007059357,0.4907039760212959,0.4984280588125727,0.4933474668313777,0.49014881454506376,0.47825984664367294,0.48208021912516935,0.36302215815074024,0.4344588496801249,0.43534143227319444,0.4346758514650985,0.434683024582065,0.435081931374311,0.5120241371306604,0.5100521819048247,0.5088659710358605,0.49275326371302236,0.4990066071109667,0.4716656586160945,0.520490990267586,0.48319292546949066,0.49414083896545535,0.4882557487562309,0.43828416534787346,0.4565546668511056
laryngeal_tissues,0.8240057621279783,0.8670591846776632,0.847623742768983,0.8655327099391522,0.7414177493375822,0.6400669884866745,0.0,0.8762597475914272,0.6859798661287946,0.631814503451088,0.7193601941148233,0.7302175208974047,0.7360439499516704,0.7174719288653253,0.6711573856117669,0.6576214841552226,0.8235466455036822,0.8311819509586669,0.8719465603364077,0.8954100042589681,0.8799927356361585,0.8814710838633277,0.8809430694541375,0.8796430310061749,0.8805154883571414,0.8805840814395872,0.8811560466001593,0.7107814601598207,0.8425722748316277,0.7466588930761004,0.6858675928336729,0.6643907191464964,0.7693733776131578,0.8555116070581151,0.8527998390042634,0.8493035018741808,0.8579347393418552,0.8471754527386277,0.8556516915981709,0.8572326577735822,0.8474710669519646,0.8540711751230251,0.8500461719606683,0.8570537367445926,0.8486722960145217,0.8453018469580597,0.823958807386308,0.7173546736258081,0.8328276255577863,0.6435574074564578,0.7422641758267012,0.88674938923758,0.8580849263855057,0.7422797156655421,0.7428960225308785,0.7424835280939402,0.743152387214064,0.8322355963780668,0.830426038010146,0.8313784229529504,0.6965483350424063,0.7496508191223836,0.8159541112615631,0.8448164161221832,0.8045554102812089,0.8608287809818705,0.8150699074063218,0.8276731590955007,0.8201998810993649,0.7564780392567935,0.7783466015485582,0.8224933429766336,0.8653262196949365,0.8499742477952383,0.8687647276214967,0.5098037713813438,0.8750989224753423,0.6355733002835534,0.7346701989866954,0.6699340635729211,0.8225446806060451,0.8298850512157772,0.8730975319781475,0.895331473570151,0.8794997887962076,0.8792015383932257,0.8831830590346263,0.8823170153185662,0.8827375543960545,0.8786517543444659,0.8773790640986069,0.8478233661888229,0.6866304231547478,0.7691478876321531,0.8561349379989708,0.8551682971280296,0.8492507676000952,0.8623071361941165,0.8438123657643071,0.8543779846727975,0.8541760374653513,0.847918704336395,0.8537460022448271,0.8488157206381688,0.859222409846998,0.8514644080883895,0.8481442240783794,0.8267464239596993,0.8315599930619536,0.6451804094946553,0.7419949568971713,0.743074492342811,0.7421590088651919,0.7419829647505717,0.7428107854654757,0.8334169790945001,0.830546619726653,0.8301912313987524,0.8159667078895959,0.8446523205638279,0.805877579832675,0.8598331285575699,0.8147511070861002,0.8256213390901479,0.8186917035761349,0.7571831117778443,0.7794288134194891
nerthus_bowel_cleansing_quality,0.22437378364982152,0.23806337309782252,0.23544662992918358,0.2486988884088978,0.21784847841737298,0.22298086356701258,0.25134914093475613,0.0,0.24093721559198916,0.2573609079041959,0.2284887956315956,0.22749288425319425,0.2503339819904256,0.2444660731320176,0.2585739468041995,0.2596765491141433,0.1942411813009751,0.18989744248856033,0.17037276417360875,0.19421898131619697,0.22651725378155202,0.22647386284301557,0.2265368557635474,0.2264869070842342,0.22667567253801335,0.2264457048953335,0.22670397876255116,0.21893343083330835,0.208074634206442,0.23128091287658667,0.23579778625544662,0.23141404486383998,0.22276841577310058,0.23508687532083072,0.2326835111417701,0.2335026782468385,0.23380684701846585,0.23308758503422555,0.23391139258229227,0.2330024731518477,0.23366859802398898,0.23519275956349917,0.23302794640401464,0.23276245443278482,0.23449017494074126,0.23402896622786057,0.24374837529184767,0.21895151538357696,0.24494044770582932,0.22362425294831045,0.22868511172567238,0.25415761775736345,0.2192147533443763,0.22864914728743593,0.22873232933672297,0.2290197216199837,0.2287637606629218,0.19940394451663335,0.19842837933192634,0.1977532009687415,0.23558029946552012,0.24213554735059323,0.2397434884438634,0.2238956680482766,0.2241812732692678,0.2394521407601572,0.23404626934828848,0.2300979991962645,0.2293470737596786,0.24632704205739417,0.2193456704236872,0.22370269640731488,0.24007797807081757,0.23583100635874135,0.24927111436425659,0.25128004999287024,0.15578703235170982,0.2570515034554506,0.2500600679094801,0.2585728070354231,0.19389314636701316,0.1912423120082097,0.17040958515375418,0.1939292164148817,0.22597011381628654,0.22675328973566017,0.22726103834582034,0.22656554227817793,0.2273813236219491,0.22608255663646432,0.22591936341389374,0.20840729678520378,0.23618938207413304,0.2222610945445693,0.23571739104354572,0.23314933103774926,0.23328048065168677,0.23464206702836699,0.23247737794923964,0.23371024913393976,0.23237177471525886,0.23335738499933423,0.23575132134644952,0.23317721252684354,0.23276524265291712,0.23493784465431283,0.2344634639913511,0.2439102119185626,0.24489159736918975,0.223284086556808,0.22887831153011165,0.2285577139812905,0.22865711899530108,0.228980082329875,0.22842358286320857,0.19947181189893098,0.19899221510083792,0.19725437777381985,0.2399744057934557,0.22378787028859445,0.22441829873125985,0.2391459474701484,0.23376218476500416,0.22998243826481637,0.22895357693792984,0.24638377570038292,0.21892416582751512
stanford_dogs_image_categorization,0.4544337799810987,0.4815803878729319,0.4664783106626653,0.4783384427017049,0.4020520619391812,0.34981362274283706,0.31086300922111654,0.4974313862849293,0.0,0.36605596504106996,0.3520000668310291,0.3594473106819733,0.38634383456949933,0.38243320229611566,0.36086631765390387,0.3566052792819855,0.4556687768455785,0.46424685001294724,0.49098659362998154,0.5058722816624379,0.49702969492154847,0.4980439799663015,0.497636694085691,0.4966952086940763,0.49737199845005126,0.49755365500156207,0.49767727995764016,0.3839812079914054,0.47616430588042447,0.3950910219357005,0.35996592605567224,0.35161843402020815,0.4052540475573501,0.4760194782372254,0.4735581122935211,0.4711370659731428,0.47742062727715917,0.4699407714535613,0.4761813191502156,0.47673252152481477,0.4697230306629544,0.47393171520012856,0.47194270540330874,0.47778613686860627,0.47019937888504265,0.4685626346551076,0.45456832803109914,0.3871012418347997,0.46068952173904426,0.35176960017694864,0.40069154856126676,0.49161212423646466,0.45603629601840356,0.4007347268475158,0.4011985544726798,0.40081955530841984,0.4012793635395169,0.45774614827752635,0.4548733398583418,0.45560361044718223,0.37398690084693137,0.40185748189074055,0.4392334638712429,0.46492087347114236,0.43045824767267776,0.4745165838994173,0.43203341230826997,0.445584338233744,0.44009213848152573,0.396342658695475,0.4205855661664062,0.45266348304752035,0.4781289298394501,0.46809376666979663,0.4809979675501905,0.3101034545737992,0.49669521145570084,0.3678700674223413,0.38665848777561407,0.36030575808126036,0.4545718233236491,0.4633000749824635,0.49169077842292797,0.5058229301931172,0.49699279569723326,0.4968485411380651,0.4997401623172789,0.4984988931868275,0.49908044666799906,0.49628219660655126,0.4951230395828286,0.47943637016351537,0.36039893126107647,0.40554337240871924,0.4764598700874011,0.4750206058109711,0.4713364977622657,0.48049153983995074,0.46763780288096735,0.47591635867668663,0.4747280524224027,0.469962791429724,0.4735903197964445,0.4711206083619789,0.47899010603605907,0.4715764555829265,0.4704407915791457,0.4563804770376013,0.4598504000713066,0.35293613837735816,0.40037117209859974,0.40134168220943567,0.4007863772217499,0.4005303944097183,0.40102362246151285,0.4583096049771833,0.4552985420943055,0.4544988895404939,0.43898971443461565,0.4642971548285903,0.43125274143577297,0.4736750450799853,0.43179199754010067,0.44415380381243647,0.4389258478232327,0.39643631545127256,0.42144928522635006
svhn,0.6544364546035568,0.6798880982814235,0.6640068237854072,0.6782824200109482,0.5820510929086896,0.4999688916993788,0.4281712150987612,0.6654156493230428,0.5292114142770512,0.0,0.5430004384654274,0.5476360618691519,0.5145716411315491,0.5031804214930875,0.4502955564524001,0.44093668077669856,0.6396642859892412,0.6449971211371716,0.6636787803521274,0.681035658763675,0.6825992859314929,0.6837544383613006,0.683204621256986,0.6823579656369358,0.6831261427604524,0.6831442727192938,0.6836681618340547,0.5627565912300878,0.6391612861927152,0.5728002445830004,0.5229200855193867,0.5402526270071135,0.5885047957335341,0.648660332863256,0.6455396354412848,0.6428141455356347,0.6499606458232039,0.6410898917006231,0.6486486132316497,0.6494393436823458,0.6409001595161203,0.6461208429799081,0.6434181704731461,0.6494199726984025,0.6414963710269899,0.6395733296344309,0.623159296789827,0.5667397122248301,0.6296538703949699,0.5186204445498872,0.5809995243922054,0.6767050528128322,0.6379520920598457,0.5807993801379192,0.5815072332924679,0.5811520343227269,0.5814625229921204,0.6343284420681853,0.6323351423667414,0.6335267411592692,0.5436651676913535,0.586414791967702,0.5974480378800869,0.6335985782931546,0.5950884869687766,0.6373861024544204,0.600055471946985,0.6011690692490999,0.6024071693103739,0.5922404225184335,0.6066659676058286,0.6536039109280849,0.6769589546986718,0.6656402716732224,0.6804686545935839,0.42791591924227296,0.6643502682030742,0.391271096197386,0.5130058415598575,0.45015451764446857,0.6387473426571348,0.6441793060988247,0.6642694701139804,0.6813757032479733,0.6819628689901869,0.681900297120059,0.6852934642129916,0.6844868312721852,0.6846826556726651,0.6820971619658139,0.6802468032638731,0.6432081276515642,0.5233929061373758,0.5882861471813733,0.6492821592319612,0.647174891577364,0.6424079557525549,0.6533378013298392,0.6382979672317857,0.647661947035752,0.6472423384791549,0.641435636585169,0.6459472018879662,0.6428203304554905,0.6514877385837269,0.6433874022004763,0.641589712302777,0.6254244673049414,0.6285329086423554,0.5200708317038627,0.5807820632272847,0.5814302439754192,0.5807418184291521,0.5806619550504976,0.5812413571503733,0.6351070079317932,0.6322226669314576,0.6323901513940835,0.597591136235949,0.6336687326149839,0.5959905969952757,0.6368411603810349,0.5999279869269466,0.5994567452403112,0.6014882907163401,0.5926319524980397,0.6074397600524181
