,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.002346556866541505,0.0023782500065863132,0.002375541953369975,0.0030560919549316168,0.002955283038318157,0.0032977082300931215,0.0028581509832292795,0.0033615436404943466,0.0035380562767386436,0.003301774151623249,0.003310111118480563,0.0035505595151335,0.003472264390438795,0.003476751036942005,0.0034791864454746246,0.0026553103234618902,0.002639383776113391,0.0027692897710949183,0.0027683014050126076,0.0025347673799842596,0.002533964579924941,0.0025330856442451477,0.0025325545575469732,0.002532100537791848,0.0025314430240541697,0.002530277008190751,0.0031008278019726276,0.003012143075466156,0.00325830839574337,0.003186657326295972,0.0029359105974435806,0.003256467403843999,0.003124671056866646,0.003135408740490675,0.0031557572074234486,0.0031164763495326042,0.0031581115908920765,0.003121068701148033,0.0031217550858855247,0.003158440114930272,0.003146017901599407,0.003144374582916498,0.0031132465228438377,0.0031421976163983345,0.0031662755645811558,0.0030944235622882843,0.0030783042311668396,0.003092169761657715,0.003006227547302842,0.003244058694690466,0.0030842924024909735,0.0032844245433807373,0.003244525520130992,0.003246370702981949,0.0032484219409525394,0.0032468547578901052,0.00314581417478621,0.0031812861561775208,0.00317571684718132,0.0034707561135292053,0.003393051214516163,0.00325812678784132,0.0031482959166169167,0.003196343779563904,0.003116149455308914,0.0032368183601647615,0.0032196110114455223,0.003242387203499675,0.0031205075792968273,0.0032534045167267323,,0.0023642685264348984,0.002365785650908947,0.0023788295220583677,0.003298480762168765,0.002858224557712674,0.003540490521118045,0.003551679663360119,0.003475201316177845,0.002651197137311101,0.002640326041728258,0.002772268606349826,0.00275957933627069,0.0025402233004570007,0.002528200624510646,0.0025259677786380053,0.0025325866881757975,0.0025298811960965395,0.0025235924404114485,0.0025475474540144205,0.0030128336511552334,0.003186164889484644,0.0032512149773538113,0.0031297821551561356,0.003133540041744709,0.0031562468502670527,0.0031157652847468853,0.003160702995955944,0.0031227702274918556,0.00311621674336493,0.0031567716505378485,0.003152132499963045,0.0031441343016922474,0.0031099794432520866,0.0031477175652980804,0.0031618839129805565,0.003093947656452656,0.0030926610343158245,0.0029968763701617718,0.0032451346050947905,0.0032442910596728325,0.0032475758343935013,0.0032483763061463833,0.00324420933611691,0.0031453350093215704,0.003183996770530939,0.003174295648932457,0.0032593815121799707,0.0031501413322985172,0.003201280254870653,0.0031149997375905514,0.0032362472265958786,0.00322121474891901,0.0032422789372503757,0.003123432630673051,0.003254187759011984
lapgyn4_surgical_actions,0.0017847288399934769,0.0,0.0017593514639884233,0.0017077780794352293,0.002461796160787344,0.0023491419851779938,0.00263818702660501,0.002241547917947173,0.0027233727741986513,0.00281896791420877,0.0025972463190555573,0.002600150415673852,0.0028260054532438517,0.0027592440601438284,0.0027326287236064672,0.002737869741395116,0.0021324781700968742,0.002114150207489729,0.002180499490350485,0.0021537411957979202,0.0019147563725709915,0.0019133847672492266,0.0019129464635625482,0.0019133203895762563,0.0019124059472233057,0.0019122050143778324,0.0019110356224700809,0.002470738487318158,0.0022979958448559046,0.0026136990636587143,0.002554875798523426,0.0024197043385356665,0.002565916394814849,0.002458254573866725,0.002465676050633192,0.002478885231539607,0.002451840089634061,0.002481339266523719,0.002454661298543215,0.0024555521085858345,0.002483515301719308,0.002471338724717498,0.0024702672380954027,0.0024468216579407454,0.0024735175538808107,0.002485968405380845,0.00245429459027946,0.002483213087543845,0.002448712708428502,0.002431818749755621,0.0025866362266242504,0.002411649562418461,0.0025544348172843456,0.002586931921541691,0.00258826045319438,0.0025896290317177773,0.00258832355029881,0.002446948317810893,0.002496321452781558,0.0024947987403720617,0.002726530423387885,0.002699729986488819,0.002504643751308322,0.002455627778545022,0.0025023885536938906,0.002383208367973566,0.0024950788356363773,0.0024823786225169897,0.002514030085876584,0.0024680260103195906,0.0025851151440292597,0.0017903721891343594,,0.0017472868785262108,0.001708200783468783,0.0026386126410216093,0.002242043148726225,0.0028204871341586113,0.0028272815980017185,0.0027304100804030895,0.002131424145773053,0.002113489666953683,0.0021816310472786427,0.002148053143173456,0.0019193561747670174,0.0019090118585154414,0.0019058047328144312,0.0019125803373754025,0.0019066011300310493,0.0019061496714130044,0.0019249108154326677,0.00229507964104414,0.002554386155679822,0.002561564790084958,0.0024608143139630556,0.0024632583372294903,0.0024775119964033365,0.0024489667266607285,0.0024849234614521265,0.002456279704347253,0.0024528768844902515,0.002481444040313363,0.002474531764164567,0.0024707310367375612,0.0024434507358819246,0.0024760584346950054,0.002481860341504216,0.002452114364132285,0.0024502708110958338,0.002422863384708762,0.0025875577703118324,0.0025863756891340017,0.002589322393760085,0.0025901850312948227,0.002586734713986516,0.0024473031517118216,0.00249827210791409,0.0024926785845309496,0.0025061778724193573,0.002456830581650138,0.002502949209883809,0.0023825503885746002,0.002496353117749095,0.002485238714143634,0.00251598353497684,0.0024706299882382154,0.0025856446009129286
lapgyn4_instrument_count,0.001929792808368802,0.001874255482107401,0.0,0.0018078304128721356,0.0025447483640164137,0.0024814021307975054,0.00276939757168293,0.002389413770288229,0.0028517518658190966,0.002946002408862114,0.002710800152271986,0.002711293287575245,0.002973532769829035,0.0028991764411330223,0.002832704456523061,0.002833226229995489,0.00225937832146883,0.002232347149401903,0.0023414520546793938,0.002331493655219674,0.0020239714067429304,0.002023178618401289,0.002022027038037777,0.002021966502070427,0.0020219727884978056,0.0020219089929014444,0.002019991632550955,0.0025939741171896458,0.0024688642006367445,0.002791795413941145,0.0026571182534098625,0.002507113153114915,0.0026920887175947428,0.002631752286106348,0.0026482981629669666,0.002665806794539094,0.0026253359392285347,0.002669369801878929,0.0026296398136764765,0.00263097882270813,0.0026691786479204893,0.0026539175305515528,0.0026520253159105778,0.002618082333356142,0.002650123555213213,0.0026738722808659077,0.0025883717462420464,0.0026077711954712868,0.0025856085121631622,0.0025604302063584328,0.0026637257542461157,0.0025839940644800663,0.0027054613456130028,0.002663928084075451,0.0026654850225895643,0.002667111810296774,0.0026655513793230057,0.002548432443290949,0.002610329072922468,0.0026103202253580093,0.0029077245853841305,0.002783929230645299,0.0026295750867575407,0.0025939256884157658,0.0026085616555064917,0.0025314870290458202,0.002607114613056183,0.0026048459112644196,0.0026299627497792244,0.0026082016993314028,0.002665808191522956,0.0019348441855981946,0.0018764479318633676,,0.0018111607059836388,0.0027696164324879646,0.0023904242552816868,0.002948079025372863,0.002974392846226692,0.0028302730061113834,0.002258184365928173,0.0022307264152914286,0.0023424536921083927,0.0023257206194102764,0.0020298361778259277,0.002017966704443097,0.002016291953623295,0.0020209033973515034,0.002014738041907549,0.002014731988310814,0.0020324853248894215,0.002468175021931529,0.0026566032320261,0.0026879161596298218,0.002636810764670372,0.0026465309783816338,0.0026631546206772327,0.0026237808633595705,0.002671031281352043,0.002631654730066657,0.0026265867054462433,0.002667393535375595,0.002659497782588005,0.0026528460439294577,0.002614433178678155,0.002654736628755927,0.0026694471016526222,0.002587676979601383,0.002586841583251953,0.002551733050495386,0.002664540195837617,0.0026635180693119764,0.0026668079663068056,0.002667694818228483,0.002663726918399334,0.0025495414156466722,0.002611348405480385,0.002608159789815545,0.0026311101391911507,0.0025939305778592825,0.002608928829431534,0.00253098551183939,0.002607995644211769,0.002606678754091263,0.0026316409930586815,0.002610578667372465,0.00266698538325727
lapgyn4_anatomical_actions,0.0021908723283559084,0.0020805036183446646,0.002069162903353572,0.0,0.002852178644388914,0.0027725105173885822,0.0030424047727137804,0.0027091249357908964,0.003135469276458025,0.0032332176342606544,0.0029793016146868467,0.002983096754178405,0.003251462709158659,0.0031793820671737194,0.003110381541773677,0.0031181881204247475,0.0025959471240639687,0.0025553435552865267,0.0026549058966338634,0.002631116658449173,0.0022926030214875937,0.002292347140610218,0.002290091710165143,0.0022907655220478773,0.0022902211640030146,0.0022904695942997932,0.002288242569193244,0.002878776751458645,0.0027257909532636404,0.003092728555202484,0.0029755246359854937,0.0028216533828526735,0.002998026553541422,0.0029400321654975414,0.002956363372504711,0.0029705497436225414,0.002935637952759862,0.002974267117679119,0.0029381371568888426,0.002941689919680357,0.0029750678222626448,0.002958076074719429,0.0029582660645246506,0.0029277054127305746,0.0029543570708483458,0.0029757185839116573,0.002900226740166545,0.0028986893594264984,0.0028965023811906576,0.00285599404014647,0.002985179889947176,0.0028732724022120237,0.002996342722326517,0.0029860043432563543,0.002987119136378169,0.002988404594361782,0.002987292828038335,0.002855527214705944,0.0029261864256113768,0.0029275938868522644,0.003187301568686962,0.003092794679105282,0.0029132866766303778,0.0029043543618172407,0.002915887860581279,0.002803314244374633,0.0028952111024409533,0.002880118088796735,0.0029225775506347418,0.0028819465078413486,0.002974491333588958,0.0021959319710731506,0.002090232679620385,0.002059587510302663,,0.0030427761375904083,0.0027099952567368746,0.003235926851630211,0.0032526380382478237,0.0031072364654392004,0.0025943301152437925,0.002553759841248393,0.0026563762221485376,0.0026258938014507294,0.002300155581906438,0.0022867966908961535,0.0022855510469526052,0.002290257951244712,0.002279776381328702,0.0022833284456282854,0.0023015893530100584,0.002723963465541601,0.0029756203293800354,0.0029947860166430473,0.0029437371995300055,0.002954282332211733,0.0029675757978111506,0.0029333243146538734,0.0029755542054772377,0.002939934376627207,0.002937344368547201,0.002973750000819564,0.0029613252263516188,0.002959117293357849,0.002924947999417782,0.002957239979878068,0.0029716172721236944,0.0028990318533033133,0.0028976029716432095,0.002847282914444804,0.0029856988694518805,0.00298523111268878,0.0029886863194406033,0.0029888907447457314,0.0029855279717594385,0.0028561584185808897,0.002927307737991214,0.0029243144672363997,0.002914272015914321,0.002903715008869767,0.002914914395660162,0.0028030930552631617,0.002897306578233838,0.002882170956581831,0.0029244101606309414,0.0028841563034802675,0.002975798910483718
sklin2_skin_lesions,0.004096920136362314,0.004206656012684107,0.004130725283175707,0.004232519771903753,0.0,0.0040053981356322765,0.004108761437237263,0.00409421743825078,0.004445850383490324,0.004360646940767765,0.00426713190972805,0.004248478915542364,0.004576760344207287,0.004451783373951912,0.004190017934888601,0.004146919585764408,0.003854144364595413,0.003906752448529005,0.004117123782634735,0.004185546189546585,0.004030326846987009,0.004027494695037603,0.0040320442058146,0.0040289065800607204,0.004031000193208456,0.004031847696751356,0.004028020892292261,0.0034739498514682055,0.004147601779550314,0.0041245510801672935,0.003965682350099087,0.003253416856750846,0.0039205849170684814,0.004271795507520437,0.0043107797391712666,0.004335393663495779,0.004265329800546169,0.004341131541877985,0.004269474186003208,0.0042674727737903595,0.004341959487646818,0.0043273125775158405,0.004306726157665253,0.00423383666202426,0.004318664316087961,0.004346054513007402,0.004280891735106707,0.003398018190637231,0.004281915258616209,0.003373514860868454,0.003589498344808817,0.004308184143155813,0.0041720569133758545,0.0035902690142393112,0.003591524437069893,0.0035913579631596804,0.0035925614647567272,0.003913247492164373,0.003937296103686094,0.003942079842090607,0.004288996569812298,0.0037412401288747787,0.004213098436594009,0.004178094211965799,0.004146525636315346,0.004222614225000143,0.004180177580565214,0.0042245518416166306,0.0041451165452599525,0.0038567937444895506,0.003568724263459444,0.004098398145288229,0.004194288514554501,0.0041419449262320995,0.004237906541675329,0.0041101654060184956,0.004092860035598278,0.004363261628895998,0.004575937986373901,0.004188841674476862,0.003858005627989769,0.0039004378486424685,0.004114676266908646,0.0041882349178195,0.0040298267267644405,0.004030852112919092,0.0040337275713682175,0.004022518172860146,0.004033066798001528,0.0040239011868834496,0.0040212771855294704,0.004162670578807592,0.003966791555285454,0.003915079869329929,0.0042849876917898655,0.004318122286349535,0.00432974798604846,0.004264261107891798,0.004334559198468924,0.004266772884875536,0.004257150925695896,0.004336833488196135,0.0043359422124922276,0.00431014085188508,0.004228380974382162,0.004334416706115007,0.00434304540976882,0.004280947148799896,0.0042816451750695705,0.003376075765118003,0.00359073537401855,0.003588614286854863,0.0035957626532763243,0.0035909200087189674,0.0035885050892829895,0.003912861458957195,0.003938468173146248,0.003938905894756317,0.004215317312628031,0.004176486749202013,0.00415162555873394,0.004222638439387083,0.004178926814347506,0.004226216580718756,0.00414202781394124,0.003857480827718973,0.0035679962020367384
identify_nbi_infframes,0.005707099102437496,0.00582463201135397,0.005775263532996178,0.005882762838155031,0.005560112185776234,0.0,0.005146616604179144,0.005987583659589291,0.005902166478335857,0.005482563283294439,0.00599607964977622,0.005957901477813721,0.006357460282742977,0.006145553197711706,0.005568559281527996,0.0054800561629235744,0.005622961092740297,0.005647964309900999,0.00589120015501976,0.005956046283245087,0.005694825667887926,0.005695720668882132,0.0056964377872645855,0.005691224243491888,0.005698490422219038,0.005694581661373377,0.005701170768588781,0.005578916985541582,0.005801609251648188,0.005772262811660767,0.005416251718997955,0.0051954337395727634,0.005657203495502472,0.005912500899285078,0.005857045296579599,0.005848519038408995,0.005910913459956646,0.005833666305989027,0.00590206915512681,0.005900511518120766,0.005833170842379332,0.005882381461560726,0.00585543317720294,0.005901377648115158,0.005879558157175779,0.005836839322000742,0.005915738642215729,0.0054589021019637585,0.00594611931592226,0.00515715591609478,0.005474566016346216,0.006082263309508562,0.006134806200861931,0.005467804614454508,0.0054763080552220345,0.005473016295582056,0.005474837031215429,0.006006714887917042,0.006026845425367355,0.006026314105838537,0.005682810675352812,0.0055390940979123116,0.005701684858649969,0.005869803950190544,0.00567166181281209,0.005874639376997948,0.005651567596942186,0.005725978408008814,0.005755222402513027,0.0056947567500174046,0.005700058303773403,0.005710397846996784,0.005772389937192202,0.005775840487331152,0.005900882184505463,0.005147216375917196,0.005980095360428095,0.005508751142770052,0.006350962445139885,0.005564820487052202,0.005616613198071718,0.005632293410599232,0.005895494017750025,0.005963036324828863,0.005691015627235174,0.005686301272362471,0.005704821087419987,0.005698829889297485,0.00570228835567832,0.005697065033018589,0.005685121286660433,0.005818841513246298,0.0054243397898972034,0.005650614388287067,0.005906521808356047,0.005873505957424641,0.005855949129909277,0.005927722901105881,0.005820657592266798,0.005887149833142757,0.0058891186490654945,0.005841354373842478,0.005879324395209551,0.005854582879692316,0.005910553503781557,0.005904677323997021,0.0058372109197080135,0.005919650197029114,0.005944405682384968,0.005163670051842928,0.005470631178468466,0.005475657060742378,0.005472545046359301,0.005471623037010431,0.005472130607813597,0.006013849750161171,0.006014632061123848,0.00602188054472208,0.005705435760319233,0.0058689662255346775,0.005687597673386335,0.005870734341442585,0.005654087755829096,0.005718628875911236,0.005756070371717215,0.005700252018868923,0.005701683461666107
laryngeal_tissues,0.016990887001156807,0.017236998304724693,0.01708845980465412,0.01725759170949459,0.01600056141614914,0.015093041583895683,0.0,0.017098573967814445,0.01586419716477394,0.01206605602055788,0.015811985358595848,0.01603570766746998,0.01437675766646862,0.013956787995994091,0.013574209995567799,0.013376554474234581,0.01699911616742611,0.01698051206767559,0.017058374360203743,0.017437122762203217,0.01724935509264469,0.0172580499202013,0.01725694350898266,0.017244955524802208,0.01725822128355503,0.017252132296562195,0.01726236380636692,0.015732817351818085,0.016779638826847076,0.016731131821870804,0.014835863374173641,0.015036296099424362,0.01620926335453987,0.017440153285861015,0.01735592819750309,0.017275504767894745,0.01744350604712963,0.017255490645766258,0.017430119216442108,0.01743391714990139,0.017254311591386795,0.017348455265164375,0.017307525500655174,0.017439668998122215,0.017319979146122932,0.0172275360673666,0.0173527579754591,0.016052523627877235,0.017434081062674522,0.014653382822871208,0.016195446252822876,0.01791856810450554,0.017117800191044807,0.016188886016607285,0.01619655452668667,0.01619032211601734,0.016195932403206825,0.01668366603553295,0.01666869781911373,0.016680942848324776,0.01616055890917778,0.01615244336426258,0.016395939514040947,0.017136186361312866,0.01680603064596653,0.01693234220147133,0.016628896817564964,0.01651878096163273,0.01661253534257412,0.016352852806448936,0.016768069937825203,0.01699117012321949,0.017491687089204788,0.017098400741815567,0.017278151586651802,,0.017089059576392174,0.012104004621505737,0.014344080351293087,0.01356654055416584,0.016988618299365044,0.016971739009022713,0.017067374661564827,0.017457609996199608,0.017240386456251144,0.017252249643206596,0.017285481095314026,0.01726927049458027,0.01727646216750145,0.01723850518465042,0.017235444858670235,0.01682393066585064,0.01482570730149746,0.016207408159971237,0.01743784360587597,0.017380086705088615,0.017280327156186104,0.017465969547629356,0.01723152957856655,0.017402401193976402,0.017417889088392258,0.017274504527449608,0.017328554764389992,0.017309105023741722,0.017462024465203285,0.01736060157418251,0.017237508669495583,0.017370469868183136,0.01742788590490818,0.014689123257994652,0.016192616894841194,0.01619822159409523,0.016189806163311005,0.016182780265808105,0.016191815957427025,0.0166903268545866,0.016645541414618492,0.016690848395228386,0.016390321776270866,0.017146995291113853,0.01683163456618786,0.01693134568631649,0.01662495732307434,0.016521917656064034,0.016629179939627647,0.016357319429516792,0.016771646216511726
nerthus_bowel_cleansing_quality,0.0022165104746818542,0.0022362221498042345,0.002245982876047492,0.0023122134152799845,0.0023929658345878124,0.0024412532802671194,0.0026800294872373343,0.0,0.0027995347045361996,0.0027168949600309134,0.0025628050789237022,0.0025564946699887514,0.0027681675273925066,0.0026961269322782755,0.002614315366372466,0.0026032987516373396,0.0020170381758362055,0.001977671403437853,0.0018384831491857767,0.001993658719584346,0.002118318574503064,0.0021133569534868,0.00211543426848948,0.002117668278515339,0.002118014730513096,0.0021165127400308847,0.0021175399888306856,0.0024004809092730284,0.0021130561362951994,0.0025967080146074295,0.002553072292357683,0.002434613648802042,0.002337879268452525,0.0023527045268565416,0.0023343616630882025,0.0023440017830580473,0.002341567538678646,0.0023385912645608187,0.002342559164389968,0.00233840080909431,0.0023476581554859877,0.0023532507475465536,0.0023390715941786766,0.002335483906790614,0.002375904470682144,0.002348064910620451,0.0024366623256355524,0.0024084041360765696,0.002426393097266555,0.0024037540424615145,0.0023363737855106592,0.0023412734735757113,0.002381719648838043,0.0023342743515968323,0.002335282741114497,0.002337530953809619,0.0023355858866125345,0.0020782274659723043,0.002103837439790368,0.0020976585801690817,0.002680658595636487,0.0024462961591780186,0.0023943493142724037,0.0022512096911668777,0.0022432394325733185,0.002329588634893298,0.0023288836237043142,0.0023304626811295748,0.002310781506821513,0.0025694442447274923,0.0023219443392008543,0.0022216036450117826,0.002263373462483287,0.002239988651126623,0.0023103586863726377,0.002680444624274969,,0.0027133701369166374,0.0027660958003252745,0.0026150268968194723,0.0020186523906886578,0.001991912256926298,0.001836550422012806,0.001990831922739744,0.0021162822376936674,0.0021163951605558395,0.002113673137500882,0.002112833084538579,0.002116119721904397,0.0021156964357942343,0.0021186063531786203,0.002109358785673976,0.002554728649556637,0.0023357674945145845,0.00235779769718647,0.0023373414296656847,0.0023425593972206116,0.0023443831596523523,0.0023409384302794933,0.002342846477404237,0.002336969366297126,0.002344774315133691,0.0023579064290970564,0.0023410043213516474,0.0023325050715357065,0.0023786022793501616,0.002346638822928071,0.0024314001202583313,0.0024289863649755716,0.002397645963355899,0.002337859710678458,0.002333652460947633,0.002334925811737776,0.002338353544473648,0.0023334415163844824,0.002080608392134309,0.0021057436242699623,0.002094552619382739,0.0023964957799762487,0.0022477421443909407,0.0022457821760326624,0.0023290778044611216,0.0023270435631275177,0.002332342090085149,0.0023095475044101477,0.002572854747995734,0.0023198092821985483
stanford_dogs_image_categorization,0.0035093671176582575,0.0036472706124186516,0.003583022626116872,0.0036476317327469587,0.003420224180445075,0.003293093526735902,0.0032205611933022738,0.0037831792142242193,0.0,0.003467799164354801,0.003237105207517743,0.003285845974460244,0.003440811298787594,0.0034822227898985147,0.003435344435274601,0.003434897866100073,0.0035944730043411255,0.003629616927355528,0.0037134462036192417,0.0037721770349889994,0.0037070424295961857,0.003709720680490136,0.0037098685279488564,0.00370546686463058,0.003707533236593008,0.003708247561007738,0.003706785384565592,0.0034296545200049877,0.003834984265267849,0.0035202051512897015,0.003376547945663333,0.003134721890091896,0.00338597409427166,0.003931512590497732,0.00391908036544919,0.003907353151589632,0.0039322818629443645,0.003903864184394479,0.0039313375018537045,0.00393052538856864,0.0039007852319628,0.003919469658285379,0.003911768086254597,0.003939311020076275,0.0039045524317771196,0.0039000536780804396,0.0038029036950320005,0.0034329385962337255,0.003827029140666127,0.003304925048723817,0.0034291173797100782,0.003937057685106993,0.003735050791874528,0.003425706410780549,0.0034309953916817904,0.0034306428860872984,0.003429267555475235,0.0037413279060274363,0.0037387958727777004,0.003738671075552702,0.0036195004358887672,0.003476949641481042,0.0036505283787846565,0.003756810212507844,0.003597545437514782,0.0037961022462695837,0.003598078852519393,0.003661902155727148,0.0036454976070672274,0.0032575041987001896,0.003570812288671732,0.0034977642353624105,0.003686289070174098,0.0035899728536605835,0.003662387141957879,0.0032185884192585945,0.003780290950089693,0.0034762718714773655,0.0034468388184905052,0.0034343500155955553,0.0035872487351298332,0.0036257735919207335,0.0037148185074329376,0.0037702820263803005,0.0037106929812580347,0.003707858733832836,0.0037188606802374125,0.0037057700101286173,0.0037111344281584024,0.003699657041579485,0.0037058680318295956,0.003844717750325799,0.0033764333929866552,0.0033854066859930754,0.003935656975954771,0.003921195399016142,0.0039139604195952415,0.003940238151699305,0.003897094400599599,0.003928778693079948,0.0039204261265695095,0.003905615070834756,0.003916087560355663,0.003907955717295408,0.003942491486668587,0.003913657274097204,0.003904995508491993,0.0038073204923421144,0.003824307583272457,0.003311467356979847,0.0034275329671800137,0.003430801909416914,0.003429239150136709,0.0034294279757887125,0.0034259031526744366,0.0037450033705681562,0.003740039188414812,0.0037364992313086987,0.0036509335041046143,0.003755256300792098,0.0036029701586812735,0.003793681738898158,0.003598507959395647,0.0036611706018447876,0.0036429530009627342,0.0032589903566986322,0.0035734050907194614
svhn,0.011291027069091797,0.011409569531679153,0.01127609796822071,0.011392696760594845,0.010738956741988659,0.010088536888360977,0.007172079756855965,0.01110596302896738,0.010442507453262806,0.0,0.010154057294130325,0.010246220976114273,0.0076876115053892136,0.0074245561845600605,0.007487166207283735,0.007337217219173908,0.011101862415671349,0.011111738160252571,0.011144952848553658,0.011322888545691967,0.011251140385866165,0.011254743672907352,0.011253021657466888,0.01124830637127161,0.011257709003984928,0.011253046803176403,0.011259536258876324,0.01069125160574913,0.01107210386544466,0.011074461974203587,0.009411072358489037,0.010505408979952335,0.010436046868562698,0.011195129714906216,0.011142400093376637,0.011104056611657143,0.011195119470357895,0.011090381070971489,0.01118992455303669,0.011193654499948025,0.01108540128916502,0.011137261055409908,0.01111610233783722,0.011196521110832691,0.011124907061457634,0.011072315275669098,0.01107005774974823,0.01076881866902113,0.011111321859061718,0.010240228846669197,0.010626048780977726,0.011409503407776356,0.01082806196063757,0.010621367022395134,0.010628202930092812,0.010623994283378124,0.0106252646073699,0.010821126401424408,0.010793833993375301,0.010803617537021637,0.010792102664709091,0.01059892401099205,0.010393570177257061,0.010919971391558647,0.010635518468916416,0.01078337524086237,0.010518347844481468,0.010405502282083035,0.010516687296330929,0.010934781283140182,0.010903940536081791,0.011290599592030048,0.011401965282857418,0.011284287087619305,0.011407661251723766,0.007197159808129072,0.011098609305918217,,0.00764753483235836,0.0074860407039523125,0.011096847243607044,0.011103801429271698,0.011145751923322678,0.011337241157889366,0.011244505643844604,0.011246864683926105,0.011272690258920193,0.011259523220360279,0.011263604275882244,0.011250547133386135,0.011234994977712631,0.011100717820227146,0.00939258374273777,0.010436789132654667,0.011195170693099499,0.011157946661114693,0.011104421690106392,0.011214638128876686,0.011073892004787922,0.011177326552569866,0.01118089072406292,0.01110015157610178,0.01112694013863802,0.011117395013570786,0.011212224140763283,0.011147234588861465,0.011079095304012299,0.011079274117946625,0.011107423342764378,0.010257551446557045,0.010621540248394012,0.010627292096614838,0.010622650384902954,0.01061948575079441,0.010621455498039722,0.010825847275555134,0.010773752816021442,0.010808059014379978,0.010392938740551472,0.010925584472715855,0.010648316703736782,0.01078460831195116,0.01051581371575594,0.010404454544186592,0.01052564661949873,0.010935896076261997,0.01090664230287075
