,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.41228717632043904,0.4128891501549008,0.4131898788084111,0.4160618500256945,0.4110380661115694,0.41205076963911463,0.41992966659207487,0.4132388197594272,0.417178477415011,0.4160017022026807,0.4163535962065011,0.41932976334816413,0.4184858481345905,0.41829846366420464,0.4176362165289049,0.41660399767616535,0.41665947508490087,0.4189725802308011,0.41814718377608534,0.4177659702449506,0.4177906415474092,0.4177861181971481,0.4177371698407002,0.4177306001602515,0.4177099245520164,0.4177429527972433,0.41563996853063967,0.4192039252456045,0.4135513588821302,0.4124092658486945,0.41109972268949974,0.4169197862077098,0.41657238870652086,0.4165795687666868,0.4165656257368977,0.4165705855239159,0.4165513796654385,0.4165843440852795,0.4166128980545178,0.4165373764381792,0.4165512425677969,0.41662124423757185,0.41668840404449914,0.416486334471293,0.4165320711154712,0.41622504416464967,0.4156730567531539,0.4164007233375975,0.4123972369199596,0.41654930100675036,0.4167391103877677,0.4183250397601922,0.41655645647614237,0.4165877038309748,0.41659088649520837,0.41660472905776824,0.42009538620721326,0.41994950622533944,0.41992425915738796,0.4149648958578692,0.416653460570118,0.41843118329532875,0.4188231836092105,0.4187264627627618,0.4184638518115051,0.4188767803904937,0.41875706296022674,0.4193442255680636,0.41479789327227967,0.41697174554759375,0.4078588406988342,0.4122206388228079,0.4127398621652399,0.4131986025739659,0.41203234071606487,0.4199112711680564,0.41729038342833713,0.4193160336942509,0.4182879817081653,0.41651267774127887,0.4166756238706646,0.4190403904285966,0.4180803936569681,0.4177029687820806,0.417720694844245,0.4178195309360307,0.4178362219263469,0.41782893391220655,0.4176623010097685,0.41782074748038006,0.41925517842216103,0.41244639985692694,0.41693880329967753,0.4165533028844717,0.4166372145803005,0.41657180396105753,0.4166800374454262,0.41655894136287136,0.4165648733011877,0.4165498321731042,0.4165212902266689,0.41653894240339834,0.41654645419479863,0.4166931224619185,0.41654293918552215,0.41655424959608217,0.41631954947035915,0.41638898083380954,0.4124353141873256,0.4165285552593564,0.4166009440315809,0.41657075424942536,0.4165632206211483,0.41655861253294635,0.42009627052261594,0.4200088267326496,0.41989146397674465,0.4184409958107429,0.41886011071864265,0.4187705109134906,0.41844328593039726,0.41886192840255665,0.4187277082381951,0.4193872943104853,0.4148153957172049,0.41697882743078185
lapgyn4_surgical_actions,0.3739260115282362,0.0,0.3729914785255816,0.3709105142848603,0.38040417740840227,0.37611074609700157,0.37775450077754347,0.3825175172857077,0.3776156595385195,0.38114116992823294,0.37870572111195017,0.37874332139243183,0.3820996431732256,0.3815561251080485,0.38114664592321557,0.38084810084352233,0.380597626454832,0.38087265332807396,0.38178515237813715,0.38048259817073243,0.3786977673178737,0.37869281475223654,0.3787186339870174,0.37867922282276595,0.37864676476218634,0.3786625440842109,0.3786670942743856,0.37968175960462125,0.37986617395469185,0.37827853739748335,0.3779545954359512,0.3771990816844788,0.3797248662327547,0.3796070170968663,0.3796452252320415,0.3795278219267791,0.3796536972914711,0.37956930144812634,0.37962939073410457,0.3796898964077929,0.37959078618870595,0.37949789162877084,0.37960755943358476,0.37971790838462316,0.37959929208372817,0.3794633596875497,0.3789114072979861,0.37994749765485,0.37891302009630656,0.37802847385449645,0.3809215961217779,0.3785971895478,0.38059076371399336,0.3809138357157543,0.3809408296170834,0.3809264292448825,0.38093261211083795,0.38195208837827355,0.3823015526263327,0.3823512938748333,0.37849070649075434,0.3806712004574535,0.3785361942420842,0.38053520561748505,0.3806743987817058,0.3788381308087937,0.37951190480839475,0.3799166413676847,0.3803914093579402,0.37737204342625763,0.3809037860942796,0.37387290873152723,0.37128009951281143,0.37276975728726797,0.3708442637332497,0.37773104738874663,0.38247177861927484,0.38122548695077974,0.3821261290445355,0.3811197161545588,0.3805766385071075,0.38085017020294115,0.3817823094677365,0.38047153419012963,0.37866605809853926,0.37864833301482204,0.3786913543309142,0.37873796411776967,0.37855573876296006,0.3785847347165872,0.3787327842583477,0.3797907523651499,0.37798279771606214,0.379745674630018,0.3795677234131308,0.37964850883310824,0.37951247435150687,0.3796725147885504,0.37960501285341036,0.37963740477285524,0.37970195982846827,0.3795657118166422,0.3794340667974153,0.37954673868166555,0.3796953707464405,0.37954822286253614,0.379455779535252,0.378912052055291,0.37894275107571856,0.3780268819689252,0.380904317788646,0.38094293620633624,0.3809266204689589,0.38091719728573237,0.3809332092476274,0.3819773010313661,0.38235489239664455,0.3823356286784093,0.37856220053048517,0.3805740394625389,0.3806438789274286,0.37886721268378093,0.37956256281048056,0.3799059262847605,0.3804983415195297,0.3774121241764995,0.38088248864429336
lapgyn4_instrument_count,0.3845677962755458,0.38327040613940105,0.0,0.38022282871937074,0.3885453934971525,0.3837047606877379,0.38414978853381954,0.39246068230480585,0.38497804488819837,0.38868764098228176,0.3870509236181662,0.38721451935030504,0.39080368580900077,0.3902370229380431,0.38879271948792354,0.38806199391430596,0.3902505092330979,0.3904606387821139,0.39210330618633815,0.39176391441148334,0.3884456468630115,0.38848419800625955,0.38845436426512137,0.38841479065525,0.3884085670963381,0.3884048183966382,0.38840999902802853,0.38810424642997504,0.39078388262174435,0.3876318779590063,0.385518650866173,0.3836189102374209,0.3886793221593287,0.3900860745931143,0.3901612978646073,0.39006511064463556,0.39010989127292783,0.39008117873370807,0.39011197902877964,0.39017089440803554,0.39007838101128584,0.39006431654339796,0.39008598892368906,0.3901393510759698,0.3900482873486735,0.38997541892621934,0.38890349839725685,0.3884565953975997,0.3890778349929014,0.38558923604742756,0.38828401472853835,0.38961457937566074,0.39118196905575,0.3882704193504741,0.3883143406708611,0.38830157119981085,0.3882949249294863,0.3912929153316376,0.3919052920663925,0.3919941416804305,0.38723228211971705,0.3876811133856394,0.3886620021215942,0.390686235476891,0.3898703898747949,0.39015816098616296,0.38924463455937436,0.39001636553611063,0.39013010790799274,0.3871576289934801,0.38885270500451885,0.3845195568674152,0.382683578923912,0.38163787998804266,0.38032444207044325,0.38411281784084284,0.3924290830731834,0.3888189979796854,0.3908173041550491,0.388755338500986,0.39021697632308117,0.3904167262614149,0.39214211083283185,0.3917508375172486,0.38844002178047865,0.3884242031116151,0.3884934607951817,0.38843939626251284,0.38834341767248937,0.3882791982248266,0.38846593261023965,0.39080622126086173,0.385548481092683,0.38872939089754377,0.39009550887337663,0.39018379845363954,0.39003448145228264,0.3901958278575019,0.39004961633686913,0.39010658546507354,0.39014763656931983,0.3900687470086455,0.39005128713499915,0.39001738803730346,0.3901270690289927,0.39006706574736066,0.3900053872465373,0.38896645777505634,0.3890941469766221,0.3856513431746411,0.38825323181992827,0.38832008685883945,0.38831099797598334,0.3882766681002112,0.3882923188413155,0.39135258495250297,0.391927459888265,0.39197779546101313,0.38868070524156545,0.3907163087427655,0.38984318279056357,0.39019548066468646,0.3892408850273168,0.3899320853007649,0.3902038189544632,0.3871866551227452,0.3888662571874142
lapgyn4_anatomical_actions,0.4592622547546553,0.45446644616565146,0.45361234939817335,0.0,0.46536593613872385,0.46188462864473445,0.4634344068828409,0.4679344448308815,0.4619052418400686,0.4662301934699152,0.462972541048762,0.46286734194625007,0.4668503541182893,0.4665078598841329,0.46606074813642445,0.465901853794023,0.46644943971363745,0.46646744551159874,0.4674089872613791,0.46652589488670765,0.46231747912161086,0.46236147007361167,0.46232497208735823,0.4623087048559916,0.46228084394860913,0.4622981306100496,0.4622892643258301,0.46484433709316964,0.4638650820150472,0.465115717417919,0.464639145644397,0.4624847052351371,0.464884635002895,0.46501643743398113,0.4651491636834263,0.4650233995858253,0.4651594109140509,0.465036642811619,0.46504992308122706,0.4652156832836901,0.4651121735775692,0.4649520595700211,0.4650635639999068,0.4651631861958168,0.46500398075877625,0.46488852634996125,0.46464623446929687,0.46498324399441165,0.46467776739107963,0.4636395520922489,0.4660344645386384,0.46345398853578085,0.46677479700201585,0.4660359979295319,0.4660658615721473,0.4660412673870653,0.46603602520505194,0.46688693966038686,0.46773392674371755,0.46786237361301986,0.46482362974183006,0.4653890200522149,0.46327464901172877,0.465518790945675,0.4651581483548579,0.46415275183192073,0.46383358500500116,0.46423815590065504,0.4650811151532176,0.46241771718439356,0.465821138155636,0.4592497800843494,0.45402205023673176,0.45336832202996535,0.4467618631219904,0.4634151677363265,0.4679054004416905,0.4663513491498255,0.4668834438781354,0.4660082220196335,0.4664076313662193,0.4664467203444936,0.4674274755053311,0.46653471969693777,0.4623669059620308,0.46238369482623315,0.46236470853200373,0.4623700718446658,0.462009136787664,0.46218597334206296,0.4623594950297344,0.4637619245026679,0.46466410592487006,0.4649562145120556,0.464985525946209,0.46514734515699574,0.4650011877127133,0.46519491581486405,0.4650234306068475,0.46506229775570823,0.4652242790592015,0.4651066833146359,0.46488815403842776,0.4650226157900695,0.465156641007042,0.46492960900456926,0.46491105846355474,0.46467304349105293,0.46470405304485035,0.46364167668444867,0.46601293840686125,0.46606327188006547,0.46606052702189066,0.46603876185751725,0.4660475082266555,0.46692128881505723,0.467756807485155,0.4678486635856761,0.4632782210834052,0.46549933682863226,0.46507909212079473,0.46422118547237873,0.46391030734543903,0.46419455417816446,0.46515506987193583,0.4624556259904482,0.46581216035794526
sklin2_skin_lesions,0.6487996285627866,0.6508643255474417,0.6495470054440229,0.6510194781938874,0.0,0.6382015980999063,0.632728661173268,0.6501670774129805,0.6363319943493384,0.6408826936287991,0.6408571537960203,0.6407065961325846,0.6445264153365565,0.6432760146937594,0.6407324579218121,0.6390894836696028,0.6441420369637244,0.6462964128066514,0.6510574770319614,0.6511978883591285,0.6506672251582357,0.650731865713281,0.6507644370274214,0.6506465320598854,0.6506978212778106,0.6507000160383153,0.6507372392689783,0.6237912487109026,0.6489122065096417,0.6337353824801321,0.6325615195545627,0.6192792730565773,0.6389232490567932,0.6445414672353035,0.6450918911381502,0.6454028841812848,0.6443914947202768,0.6455198128179365,0.6444421367725733,0.6442930781671652,0.6457297025262804,0.6456385391122662,0.6450983172774856,0.6436174164815566,0.6456513847281911,0.6457135449986886,0.6461407710402954,0.6217981564825668,0.6464705303269521,0.6183925300901024,0.6266729537775444,0.6460282184634129,0.6449345119204859,0.6267055764550381,0.6267130718165952,0.6267085230612199,0.6267212934383133,0.639325629203601,0.637652664246067,0.6379928713958377,0.6394342505198198,0.6275165460882943,0.6452044343848808,0.6451495251915287,0.6430627740161307,0.6483519758054621,0.6446706539918956,0.6468829256902652,0.6439596597758915,0.6386655274645708,0.6263341571550757,0.6487182556718012,0.650452934370112,0.6498468175978533,0.651156309625747,0.6326471815940363,0.6500775000621244,0.6410237073736575,0.6444636643113825,0.6406683725763022,0.6442487156824845,0.6461305951785096,0.6511214810629611,0.6512836913069073,0.6505359093847531,0.6507884469715377,0.6508176739609627,0.6506576481294274,0.6510039082913942,0.6505992715846549,0.6505255464970324,0.6492844489330787,0.6324963747621063,0.63893109869795,0.644761162090201,0.6451866226639791,0.6453462555260847,0.6443928359210244,0.6454238294180498,0.6445759154567556,0.6442166463624909,0.645630887573506,0.6457348529437115,0.6450910451295807,0.6435448175798159,0.6458865419624438,0.6458918916126484,0.6462572149088525,0.6464771040217197,0.618880361890152,0.6265625353899245,0.6266559216464386,0.6267902998334415,0.6265798955781121,0.6266672583955946,0.6393120111852013,0.6376472193309721,0.6379177533035999,0.6453018356353014,0.645226994330195,0.6431926063081461,0.6482599259974423,0.6445318456344843,0.6467856595132125,0.6439138508490353,0.63859482464711,0.6263936383585603
identify_nbi_infframes,0.8560762635565864,0.858882640115867,0.8570074687854636,0.8582915315301711,0.8444239195778074,0.0,0.7946285466959869,0.8613825183050091,0.8183520298005218,0.8149458683974303,0.8302697491056935,0.8314309310752017,0.840214109506267,0.8381727515434793,0.8197966216400238,0.8163071584366434,0.8558642355362982,0.8577032926153172,0.8611899000786453,0.8606869632444253,0.8606518362765238,0.8608520773554841,0.8607015203493341,0.8605940206709196,0.8606606763244231,0.8606335152606072,0.8608129390038,0.8376869539230343,0.8550337048066425,0.8370046163455579,0.8202199338082163,0.8218777758973582,0.8353270702692429,0.8491316359316593,0.848331554784022,0.8482460973027778,0.8495162860578078,0.8477704102361118,0.8491544639452523,0.8492676747925992,0.8479195341098089,0.8490558614558754,0.8484743354967129,0.8496529444766897,0.8490531989805978,0.8479296947825007,0.8494913259223307,0.8390665641170344,0.8503625351465365,0.8236274876070837,0.8347048645621872,0.852343232017067,0.8547897455984927,0.8346341445484138,0.8347296936641345,0.8346857038559305,0.8348007541075877,0.8576526562805931,0.8571969264529189,0.8573794688431794,0.8290159430057464,0.8262068385109723,0.8443121773198542,0.8517809635320158,0.8437346040942632,0.8519971673079503,0.8448445786759818,0.8475132094843245,0.8471122916880859,0.838558374051714,0.8411419471205753,0.8560064687865329,0.8574914488174207,0.8573019052317127,0.8586128518063318,0.7943328985251393,0.8612370996336347,0.81617525873034,0.8400529527300328,0.819680287871202,0.8558444049466083,0.8574524033059778,0.8613285908577978,0.860737047266826,0.8604728499927425,0.8604027949540115,0.8609017799236638,0.8607561741403323,0.8609848453104301,0.8607735450569624,0.8604134201193958,0.8556667821923136,0.8203793090350768,0.8356483248640181,0.8490088255448516,0.8487219672500834,0.8483033576405051,0.8502391728887394,0.847342224921799,0.848966345842644,0.8489290406958286,0.847973114982168,0.8490014559762293,0.8482995170099286,0.8497345161859235,0.8491794979866384,0.8481634002420851,0.8498800466741644,0.850290306401593,0.8243944204753338,0.8344535929909321,0.8348842933591899,0.8346575571731248,0.8345168841936822,0.8348070162871416,0.8578378391168826,0.857137828529545,0.8571389556883229,0.844433459679853,0.8516295955055372,0.8439424112614202,0.8520212554152192,0.8447659666563178,0.8471493090959019,0.8469643864936404,0.8385515271095033,0.8413817915829873
laryngeal_tissues,1.0102150102109317,1.0123852160615734,1.0107723391637218,1.0115188473203232,0.9988687331958698,0.9741552615867489,0.0,1.0142157871416342,0.9805638639627087,0.9689540674912013,0.9904307755347036,0.9904458100204344,0.9899689689996573,0.9885860239753425,0.9889309923216228,0.9859269669814704,1.0105792532312101,1.0116851155802853,1.0141631498091932,1.0148868292849074,1.0141904129295514,1.0143475317950588,1.0142170358474656,1.0141169861012165,1.014196029359083,1.0141840417859702,1.0142784467909063,0.9946632106605546,1.0090976399406004,0.9965133308564026,0.9846294017781483,0.9813169319550514,0.9987314254195333,1.0082686148783317,1.0080825164724054,1.0075178793327264,1.0085661189552835,1.0073809095859578,1.0083835329011952,1.0086041549094775,1.0073959378357988,1.0078349732078506,1.0075989461404469,1.008968342123224,1.00833456488016,1.006935786531848,1.0031422253859525,0.9978811861458207,1.0038445221915215,0.9793765100037476,0.9906560297626796,1.0098565532179413,1.0098832167357632,0.9905940702291619,0.9906203648482158,0.9905948977376613,0.9906400863190529,1.010264843081354,1.0099421710406524,1.0100905888876157,0.9875774337489566,0.982292639021565,0.993727591230863,1.0040399822256219,0.9999063256800448,1.0055299130224313,0.9983971905640626,0.99977270559214,0.9968463708408462,0.9949015206841373,0.9964467816950257,1.0100592163083975,1.012240770346328,1.011056012112831,1.0117276060095988,0.930523981536126,1.014164218050636,0.9700038862849225,0.9896109678721817,0.988873130345459,1.0105066653179353,1.0115465714506604,1.0142617482017926,1.0148297637438608,1.0141055160624317,1.0140803573438018,1.0144219250228506,1.0142240735108377,1.0144196203343834,1.0141739327901627,1.0141053324657183,1.0096612225991963,0.9848174386839422,0.9989197124105852,1.0084139984859026,1.0084740102675493,1.0074549103005026,1.0089212407713157,1.0072249970548424,1.008314655869053,1.0084734792839438,1.0075259137031245,1.0078397147728841,1.0075684600979429,1.0089643694717136,1.0085477153090974,1.0072820837104415,1.0033037727417498,1.0038094999022873,0.9805062102843037,0.9905095596301228,0.9907650016436167,0.9906034205389848,0.9903923938482591,0.9907420332564202,1.010410204733212,1.0100056960694326,1.0099879146484978,0.9937881919786977,1.0041919517752,1.0001158126110907,1.0055672649387435,0.998281452531826,0.9995237845783137,0.997161843439971,0.994770965764162,0.9963997015952639
nerthus_bowel_cleansing_quality,0.4649737472019588,0.4654273470737769,0.4653074440077084,0.4661554896854769,0.46318824552851523,0.46318948219390865,0.4648713008187614,0.0,0.46396276479094267,0.4647764426353682,0.4631483943280741,0.46251505173258056,0.46517650444259057,0.4646293263982385,0.46616928290271836,0.4657369204651252,0.45974417717744104,0.45879433058721397,0.4529887014843673,0.4565022566907283,0.464268731808094,0.46420254654840676,0.4642100384215297,0.46428551062006634,0.4642518806222957,0.46425579997142824,0.4642895244594594,0.4624839248886727,0.45634275950133824,0.4627826331885796,0.4641028496400341,0.4633416369413937,0.4581720630511894,0.4607804044221406,0.45984766731858373,0.4595812135197799,0.46062577861716436,0.4594173701137692,0.4605426195881911,0.46040371507965216,0.4596636820090765,0.460110146320395,0.4597969272610829,0.46063981114169783,0.4609036362216662,0.45943653425245756,0.4618134308314379,0.46303694602091194,0.46166074676592245,0.4631306419809553,0.45724417248713795,0.4622410695577802,0.45811099529233434,0.4571958317571388,0.4572609238555131,0.4572479872928086,0.4571985848181549,0.45552948625177336,0.45535661479626405,0.45529482687733613,0.4632586783410057,0.4569314475774242,0.4595057711744183,0.45861280559827483,0.4579428875504525,0.4605594581812193,0.45978281631967927,0.4601818237640347,0.4597740386006586,0.46560030700147315,0.4565910076276406,0.46496788010854423,0.4655861961262559,0.4653738779412101,0.4661235599162371,0.4648624936542159,0.4443337074462327,0.4647147086712328,0.4650527666860218,0.46620904856616874,0.4597794762411923,0.4591054812662076,0.4528930605565553,0.45657872876001626,0.46415321988324587,0.4643493694787774,0.4643034149661802,0.4642703290493262,0.46434810223142253,0.4642424675217752,0.464060106773134,0.4561735942053331,0.4641159405889432,0.45823545049348074,0.4606827028398797,0.4599350958083626,0.4595859594798945,0.4606453390481244,0.4594965320194719,0.4605561158711205,0.4604325359778218,0.4596074444959428,0.4601004382244262,0.45968260816435175,0.46059697430396807,0.4608653514203059,0.45944865569464893,0.46170223769735785,0.4616354150973069,0.4631085707301433,0.4572956391067061,0.45718766812851175,0.45713423234163303,0.45723107861040463,0.4572188784858744,0.4556196509755553,0.4553135005509662,0.4552163572121368,0.459499726552363,0.4585240526871245,0.45801326818995747,0.4606430491683751,0.45976423440645037,0.46012926973012985,0.45976687476099054,0.4656226700860573,0.45653011151942086
stanford_dogs_image_categorization,1.188488107514114,1.1941059056336185,1.1908225934295529,1.1928113636577744,1.1751036535364066,1.1425069570258382,1.1243553850023902,1.1983399161016004,0.0,1.1502435808695803,1.1475626775189762,1.1493229425055251,1.1635430305425363,1.1652078095986,1.1525948411554456,1.1480004470972258,1.1903545816471868,1.192684624654021,1.197896748651326,1.1988366630531628,1.198108819940561,1.1983578659447458,1.1982704744659074,1.1980196742059344,1.1981417891878932,1.1981037204680103,1.1982882698599961,1.1683606718149053,1.1906010810413992,1.1672051366755445,1.1426221724333803,1.1417581500668468,1.1639457810695373,1.1898810210281632,1.188539265283109,1.1876628377559002,1.190274823393926,1.1872476549319961,1.189871757563611,1.1898317765379518,1.1873551108497846,1.1887087733006616,1.1883229374181594,1.190761443607475,1.188664825966176,1.1869397263701946,1.1822437652116007,1.1704778395316273,1.1834128538781425,1.1518497155816443,1.1594515204042257,1.1902420677317405,1.1839715804140105,1.1593829941700633,1.1596071243503192,1.1595250115564166,1.1597246320198014,1.1927681582378928,1.1918384653745666,1.1920056742711533,1.15684962128723,1.146815221563994,1.1784230296584868,1.1877796075597928,1.1773465082284191,1.1904785546366476,1.1789265706635648,1.183051051028741,1.1819953931889695,1.1617193941831987,1.1665150749577702,1.188155385014262,1.1927060941429044,1.1913323407934147,1.1933146689588865,1.1240685839441351,1.1982678555357,1.1512857626595074,1.1635611254016271,1.152492013706986,1.1902608408784454,1.1924270329589206,1.198155288422749,1.1989325448412627,1.1980392203378387,1.1980373447976858,1.1985781363905303,1.198239105770978,1.1984785085899914,1.1981417509258843,1.197848572607553,1.1912996994257161,1.142718798880074,1.1646402606397424,1.189852067599355,1.1888483473689988,1.1878565444524716,1.1910002136491094,1.1869021085328746,1.1896897540514535,1.1896594707567063,1.187473982367705,1.1886292316574247,1.188086462380943,1.1909850203920649,1.1886720457437168,1.1873135665546488,1.1824721097525472,1.183308363905948,1.152896414470547,1.1590547296494185,1.1597186384217841,1.1595166693015362,1.1592986777322523,1.1595437051390807,1.193036920257032,1.1919686294199145,1.1917755521079318,1.178533776046308,1.1877222282701843,1.17755920781159,1.1905808581831907,1.1787834278707663,1.1827012275591624,1.1818646247698714,1.1616572390115838,1.1668331790066104
svhn,0.8584088271480247,0.8597393069491486,0.8583864644578342,0.858509709829686,0.8521262601284838,0.8332098225360463,0.8148155148872801,0.8599756232032072,0.8366109155811978,0.0,0.8422990782762042,0.8424128265380629,0.8280169305819938,0.8275706771194493,0.8339629009965992,0.830158548767231,0.858332287086081,0.8587572529097137,0.8604642250517033,0.8598219359231903,0.8605924259168558,0.8607082774266714,0.8606238264145613,0.8605580345870579,0.8606106901949812,0.8606024241729114,0.8606915044398845,0.8497266669994511,0.8564497606081714,0.8470227330362397,0.8400433341676684,0.8422974770276865,0.8490086229824476,0.8533069435503731,0.8529384685460294,0.8525111990236988,0.8535000365107627,0.8523225561028684,0.853439841359323,0.8535930160894175,0.8523031375703884,0.8527301325785657,0.8526015805131207,0.8537387562341971,0.8529379887176597,0.8519430958729862,0.851119072579059,0.8507685147592752,0.8516038585745098,0.840162592635238,0.847979882940131,0.85443031502057,0.8564478349459119,0.8479356661683337,0.8479945322243765,0.8479582153841922,0.8480217416555256,0.8561682269643204,0.8556238680416661,0.8557866460502883,0.8435026214076784,0.843447244789419,0.8426798827476828,0.8522839554258822,0.8480134711807636,0.8522433723167268,0.8469979862534844,0.8458081470354958,0.8464220713158226,0.8492375499788728,0.8503857448797091,0.858395212272333,0.8593171062700311,0.8585475498019622,0.8586656453162235,0.8147188799551289,0.8599553281378303,0.7933555687102094,0.827642779451729,0.8340016010886067,0.8583858720422777,0.8586636403027257,0.8604962057391418,0.8599349293910327,0.8605327927890963,0.8605128638557836,0.8608092040886166,0.8607048509803963,0.8607865540597328,0.8605677910528998,0.8604917859049978,0.8567946134522305,0.8401437671830624,0.8492520097600579,0.8534096795320771,0.8531362790554143,0.852475490448327,0.8538503787737252,0.8520422492760155,0.8533015308773321,0.8535726713790912,0.8524751641570344,0.8526181375998094,0.8526143896829399,0.8539062604384723,0.8530633000402927,0.8522028513209015,0.8512671980845377,0.8515854182235052,0.8408396138378573,0.8478489271063311,0.8480672270199731,0.8479536198799691,0.8478463859130189,0.847978002685348,0.8562025772488495,0.8555493777229777,0.8557208279617311,0.8427485153341211,0.8524097682579828,0.8481236591909301,0.8523580951636004,0.8469533927035934,0.8455173782999823,0.8466241043152078,0.8491699985495341,0.8504800130632094
