,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.430109570706676,0.4343539014812114,0.44003691921919563,0.47299111560062457,0.4950700492613099,0.7007952095798315,0.4958841749620798,0.5684028121842181,0.7895341958362684,0.5625257564507525,0.5651103118402439,0.6885597810792254,0.6705617612307752,0.7475867628199714,0.7615214205899306,0.45531373788434065,0.4588400531207026,0.4782725690575965,0.4711401980948769,0.45337836001713605,0.4536525260280545,0.4539171079263886,0.4534654244129389,0.45319299187467155,0.45329394335697676,0.4530400721528238,0.485226383129962,0.49182477050852974,0.4832206003947517,0.5617628987685436,0.4571204368638524,0.5322193142103412,0.4811036162011614,0.48546545580442396,0.48614107511368404,0.48014836336526695,0.4879240923145584,0.48166427905754744,0.48148195316130354,0.48630826618429907,0.4833567058542275,0.4852237748424249,0.48053341776552216,0.4822174838591938,0.48751416034862627,0.47685647453595,0.4827692476674598,0.47775586253421093,0.4707958326161168,0.5188344179602976,0.4711796524462391,0.5316744639731822,0.5186360806732215,0.5191680133941099,0.5195566687521375,0.5190727621418187,0.5126570741162225,0.5139011976035551,0.5130058789302999,0.5406600977122304,0.5589878858793008,0.5468705242707818,0.5162220954796961,0.539872251785913,0.5245857131188184,0.5524810206102954,0.5554172014495148,0.5568090805492897,0.46975674530113304,0.5146353608873692,0.40700675947033715,0.4325206766583897,0.43375795864721556,0.4414456321874599,0.7011689762609573,0.4959862114419162,0.7883579559200045,0.691188437456057,0.7472633620841794,0.4545831764755892,0.4580983962321918,0.4786917093459815,0.4705283241364289,0.45465416786524493,0.4527170615010345,0.45315356697472703,0.45409302898841536,0.4534455110402403,0.45219877924093554,0.4557030919604298,0.49101829667793545,0.5622061279778301,0.5314749401146974,0.4804375040611043,0.48535054786859383,0.4861202161571579,0.47949520635258164,0.488221715111481,0.4816844886644428,0.4813976668349449,0.48637706676010384,0.48337051131570585,0.48457815921041597,0.47978091835860226,0.48294197669003347,0.48650449658098216,0.47706017517852045,0.4773748955684895,0.470212375491691,0.5188880517559892,0.5188442548721611,0.5193061146173729,0.5198106898559499,0.5186905529376488,0.5128046368849302,0.5148997699427659,0.5128768807283763,0.5478308538956386,0.5176443998179313,0.5400467197324141,0.5241729813119665,0.5524859287589283,0.5563576565739867,0.5568134712064198,0.46981731369872026,0.5139964216612547
lapgyn4_surgical_actions,0.37362861584834606,0.0,0.37269767518990987,0.36606284267737665,0.44224869711708714,0.45261467037751124,0.6607019884474583,0.43500526413825064,0.4927568379970247,0.6923987162646825,0.49362948161306847,0.4898215403027105,0.5954107263148857,0.5905522559871872,0.6603452341628527,0.6807429604259565,0.4085626153422181,0.41204590223311827,0.4231194534550827,0.41310393113869354,0.395229199654104,0.3955669192230808,0.3953181765676356,0.39531083462816274,0.3950925094164811,0.3951724189760589,0.3949235587310648,0.4366419474156395,0.42545726139340256,0.4326311157014316,0.5373869000098375,0.4442606161671686,0.4901770080155319,0.414995076205775,0.4161701303134306,0.41529748410964074,0.4146769849932077,0.4163233970343334,0.415254355538259,0.41528614075528364,0.4157885142598959,0.4140711855404628,0.41588599409974975,0.4155833926714931,0.4141919071386926,0.41588372674477986,0.41318190706670355,0.4399725956122051,0.41318626993856944,0.4474928405000593,0.5026508828248955,0.4031726150196395,0.46097949863116816,0.5024098422803343,0.5026790947365197,0.5028833323207343,0.5024553999802718,0.44034057655099396,0.4465042550249707,0.44661076626769675,0.4786115586668174,0.5340071097316313,0.466399859402015,0.443776949855361,0.4630544826781645,0.4537296552355751,0.4702355888962828,0.475479180639258,0.47228064981600126,0.4326823323460036,0.4850353610337041,0.37370639480077483,0.3704194937385468,0.37196962983591764,0.36673337507725323,0.6607178794889336,0.4350997140619413,0.6908617965982067,0.5978089964635104,0.6603471219515893,0.4080130525057777,0.41140904592923255,0.4235049951446433,0.41283116262189745,0.39647811301356894,0.39503182362300854,0.39494679338348104,0.3954888950354043,0.39452036257741596,0.3943608488933666,0.3972829327988629,0.4238819235084106,0.5375194363147104,0.48959755422499235,0.41417535729543525,0.4157043291524524,0.4153405182456457,0.41407030908125025,0.4170124267290111,0.4154110767418665,0.4158736395884027,0.41585045831094336,0.4136452858863152,0.41559748109431055,0.4153024187453749,0.41425645694879365,0.4151638302234095,0.4131696294784062,0.4130782598924225,0.4467010188931635,0.5025532767389241,0.5024592518276715,0.5027344702784763,0.5031856427155089,0.5023106875828872,0.4403309324634569,0.44700924241961615,0.446469754483894,0.46708596131862784,0.4445940406284824,0.4624775181001499,0.4537451926255471,0.47051115669880683,0.4764850527831917,0.47289951649968925,0.4324686952997344,0.48395979499705116
lapgyn4_instrument_count,0.38511901263447573,0.38321198036786697,0.0,0.3768803004803233,0.4721467725691384,0.46877475320740997,0.6708332541750238,0.460451627258994,0.5231169839772353,0.7042124364408007,0.5218976866462943,0.5183065783960286,0.6195531992180876,0.6118426518096447,0.6848724037312459,0.706820691423627,0.4302739308511867,0.4334062285444181,0.44965699193333825,0.4403799488536328,0.4041879824919844,0.4045745385060754,0.4043196518031492,0.4042421491833252,0.4041033898245887,0.4041630180107316,0.40389408007199984,0.47015424665600525,0.45696318792733787,0.475966877425935,0.552073751789169,0.46881511179632596,0.519451945010141,0.44637316879900535,0.4490245677288465,0.449293599813412,0.44582390297441005,0.4505076657012991,0.44676619179324495,0.4466879762409518,0.44988449228497657,0.44736584058470735,0.4491652240895266,0.4462075798405833,0.44604903009582086,0.45051611058627494,0.44545857544880035,0.4759469290157558,0.446241782982867,0.48004962944436896,0.5190061832162621,0.43321266351733434,0.4938093066026614,0.5186723684997295,0.5190236953109935,0.5192560203037158,0.5187701905209042,0.46038852231303795,0.47128258053872385,0.47168175472467155,0.5266541214806761,0.5464201937018347,0.4817547960110445,0.46577095919544503,0.47762018795902844,0.4689667593660024,0.4834538726266887,0.49247813246765215,0.48755461490913515,0.460689955529477,0.5042248087316042,0.38511963958728157,0.3821115184318377,0.3810971986257871,0.37786599686843897,0.6708313258457285,0.460754878689769,0.7031269207042601,0.621427834657306,0.6843377396827737,0.4295116465322093,0.4329454209495217,0.4503117187506994,0.4398093225648692,0.4055145823547901,0.40376943402042875,0.4040654059596996,0.4041677796276425,0.40350970431210903,0.40319591346744854,0.40595324111422126,0.45564212294661915,0.5521627703020706,0.5188175832910075,0.44569269883373613,0.44865224454771857,0.4490891254977043,0.4451538398394111,0.451162921557582,0.44691758301116913,0.44709022083334005,0.4498768487675333,0.4471880414433467,0.4488645685404087,0.44563807495772423,0.44639557791611906,0.44976172870585424,0.4457245194124104,0.44632032892628454,0.47954597598861665,0.5190676740316297,0.5188471729823702,0.5190741369134386,0.5195603641181572,0.5186777236804356,0.4607096859922452,0.4717186648465715,0.47193015287717993,0.4820680307242009,0.4666585037541201,0.4773237958582317,0.4689537533834501,0.48369186000313974,0.493371847790045,0.48791738103670357,0.4605895856117983,0.5036919174097552
lapgyn4_anatomical_actions,0.4624762663333153,0.45290137636847966,0.45476531509515833,0.0,0.567865187735989,0.5583743655432937,0.7545696416788875,0.5371969375380756,0.572244545883069,0.7569335641096818,0.5796879362546169,0.5748931705725763,0.6674148902427347,0.667010853831435,0.7404326225412117,0.7565599472314254,0.5141942271111141,0.5186922405216778,0.522776873820035,0.5116089681852093,0.48607468141048155,0.48660194661197254,0.4860281079498284,0.4861126450014984,0.4858688819636592,0.48604744106897196,0.4856951214429306,0.5577489701615539,0.5283575706673732,0.5340394447926803,0.6377341322566454,0.5711969231128692,0.5933193773413398,0.5023706076780625,0.503924374112838,0.5021612119172074,0.502533226974149,0.5033445988484749,0.5030339006388799,0.5032914754436012,0.502684905471511,0.5003478487841435,0.5032172664844278,0.503785260502067,0.5001307192501403,0.5023573738382214,0.4980559022016636,0.5717720098249213,0.4982069104144835,0.5838393606260582,0.6282921494860063,0.4861856008777737,0.5591427079373819,0.62805895978506,0.6282740268485897,0.6283239891603803,0.6279388232942477,0.5425598963367567,0.5526817251173763,0.5532152925680177,0.5725560724772905,0.6532480787319255,0.5478402654868152,0.5329152659532537,0.5496821884326997,0.5381812819975466,0.5519808987810785,0.558466285340359,0.5573693038799791,0.5429661603180816,0.610208256949428,0.46256129559421516,0.45020830867036876,0.4540746352290177,0.44765907535928434,0.7545307177648287,0.5372797326497375,0.7557213997778289,0.6699331482228591,0.7401995347915316,0.5135113177380967,0.5183362216500242,0.5230634511809145,0.5111634534116974,0.4876961086509165,0.4857622794935459,0.48569963986468284,0.486384339859236,0.48502187682710574,0.48510462808941374,0.4883196331473526,0.5265797448667974,0.6375710930428522,0.5931335267487587,0.5011654827980498,0.5033155165502241,0.5021751710783429,0.5015350761085772,0.5043877684840098,0.503388443917963,0.5039642557991976,0.5027472000399438,0.4996603383974314,0.5026788805347727,0.5036247897859317,0.49987787025512675,0.5016811353661106,0.4983202059531227,0.49824449956643624,0.583372286470236,0.6281567703081509,0.6282462883470967,0.6283394078162691,0.6287652708662297,0.6280429617607661,0.5429321414097327,0.5532037374185244,0.5532188403926562,0.5484124941761302,0.5336832990964155,0.5489453289105434,0.5383864521069099,0.5523091172500286,0.5595982237475063,0.558514941452508,0.5428938718386381,0.6092949518494214
sklin2_skin_lesions,0.8027397796326057,0.8568908680388145,0.8454967325626823,0.8741319439008595,0.0,0.7482706792177057,0.9203777728964283,0.8026239082807606,0.8485185315923163,1.049227389259532,0.8614685190534885,0.864373865409122,0.9952270489519416,0.9691692340188136,1.1120909583343235,1.0954703290966459,0.7629899648696723,0.7691933865337746,0.8056734423946704,0.8223660889161941,0.8269332667673815,0.8277402764864404,0.8281633871523356,0.8276410786719368,0.8277358628906668,0.8270807601521004,0.827194081509646,0.6791081438708939,0.835898101773615,0.7137301987904922,0.8372845039484438,0.6207961488993077,0.8101397439625474,0.7788444217984724,0.7847820459180712,0.7871110209144683,0.7771118225760734,0.7884901517596371,0.7796431719004082,0.7785749420098347,0.7880512843865772,0.786934734451944,0.7846608229896035,0.773457473802683,0.785145327615061,0.7894798743009488,0.7900327676444585,0.6495778010120208,0.7923957305349886,0.6559669363954691,0.6893393137567781,0.788581007501142,0.84863752432219,0.6900712319015593,0.6900525658354552,0.6902696576302243,0.6905637575234888,0.741936847071416,0.7407844482128829,0.7424566582534403,0.7513774629969698,0.7088763191251428,0.8497335884570776,0.8262007810331174,0.8482579732161128,0.8390536879515298,0.8704250760090239,0.8535287172180686,0.8529661356986241,0.7454505474803659,0.6720908549795571,0.8010266879322729,0.8594378419344372,0.8486075221914391,0.8772180905962808,0.9193815468310962,0.8017803895512123,1.0492566214088577,0.9983264484396487,1.1132419666727178,0.7622691325795476,0.7679116130537672,0.8049829193971428,0.8234601630598931,0.8259014739863421,0.8266819294521128,0.8280452685435281,0.8271222781482385,0.8310564488500768,0.8257584553467413,0.8279938817578246,0.838435650751838,0.8380242407655876,0.809832542055544,0.7804826221537807,0.786258220858755,0.7867488886065204,0.7777176504120706,0.786692698467633,0.7795814607100121,0.7776702071834858,0.7883147257522117,0.7873739276206491,0.7841321967899796,0.7728857212570455,0.7878553651880965,0.7899921522129445,0.7908745341322659,0.7922007008033563,0.6575869524659784,0.6895517672459935,0.6896819515099977,0.6909089388291002,0.690108685464887,0.6903200149556722,0.7424088521542698,0.7395557929675901,0.7439435154201808,0.8496824213654279,0.8265860234386457,0.8508377728221015,0.8390704851747999,0.8696372017747104,0.8519891416598872,0.851631289844036,0.7451638698982604,0.6725298043699084
identify_nbi_infframes,1.0803816892385627,1.133334097905672,1.1467600522044301,1.1696284394903114,1.074157486173137,0.0,0.9842084113275232,1.1610041828737068,1.195152742821836,1.2264666403048603,1.1937770834056365,1.1960239808518769,1.3208718809454687,1.2748651048880388,1.336058992005089,1.2992590909975927,1.092391549171746,1.1003301414155413,1.1460843511048906,1.1212640839627401,1.1366489728372204,1.1370318881140202,1.1375102655380018,1.1367215049958055,1.1369655508496197,1.137155758921378,1.1383642981497384,1.0306009170624522,1.0958895662842245,0.9940568241793756,1.0845870355048954,0.9681733597972432,1.103478973059272,1.0878025509754081,1.0772231648710453,1.0753259640838204,1.0873482375348278,1.0725296581493022,1.0860506816689552,1.0859586281391715,1.0734388066385352,1.0818923102808133,1.0773756299585513,1.0862476548592288,1.0829989427890843,1.0712452361950922,1.0711506001398672,1.0313410126388094,1.0788214461554089,0.9268444287898905,1.0841907071212635,1.137594330637667,1.1754482514657665,1.0827789517218323,1.0845214279908477,1.0849040117334996,1.0850671191772618,1.1902554485411903,1.1864797309330903,1.1849701884599304,0.9704794452773826,1.1191729738387521,1.1652589304271141,1.1206970622351295,1.1293623862528117,1.1557264857928313,1.176948872680344,1.166890592317691,1.1650439574469884,1.008017881556964,1.099577058968499,1.078043350567767,1.1354998938360092,1.1468083676342766,1.1750969541483804,0.98158783077642,1.1603291837762444,1.2297945521081122,1.3223843097516241,1.3351842576972863,1.0909664452704175,1.097651732740437,1.1475654848197012,1.1207412581303549,1.1355661689840266,1.1336234649234624,1.1373958316101667,1.13859564296838,1.140273931395456,1.1354739347078298,1.1372322966984618,1.0982989864639263,1.0862903798129258,1.1004193725753961,1.08689843028247,1.0789152876110246,1.0764530465806375,1.0905728084082733,1.0690639639189186,1.0832061324526898,1.0839904255174786,1.0734153037411152,1.0816143507992027,1.076490179725082,1.0889989951997725,1.0856338960647358,1.0732497024837662,1.0728283518327983,1.0778583771806596,0.9281242791368695,1.084464967955964,1.084613710805142,1.0835426999238023,1.0848533868302903,1.084941035293142,1.1914669267881741,1.1864000956410794,1.1859056964761456,1.1657883860600258,1.1246892116702032,1.133610135867574,1.1543705873047398,1.177100598467191,1.1640253078471403,1.1629865235562022,1.0086666808027558,1.098443920086989
laryngeal_tissues,1.73300415448288,1.7909966505081698,1.7895479474093066,1.8106963912441314,1.5917587767703731,1.3894726401760946,0.0,1.7887762480892797,1.6700881502707488,1.3153533987150283,1.6353356762314177,1.6606753969214847,1.5804303278966982,1.534896119288063,1.5883505294818963,1.5329011011261822,1.7598838879291,1.756605869140568,1.802740408934067,1.8037968639906306,1.8216534070691852,1.8229770932706197,1.8224225682378883,1.8221670670250467,1.8209974909012971,1.822388648122394,1.8225912898389327,1.5229049400533885,1.780160247172563,1.6230111924930672,1.6145593247325956,1.4800780114444219,1.6509652793320388,1.7188844833096506,1.7179909050966182,1.7106284831973122,1.7231318429189653,1.7073590261306164,1.7209128691392497,1.723841693440864,1.7087759317379279,1.7173829409743062,1.7125712965547155,1.7247593316833503,1.7144637022650393,1.703900477334421,1.6871922125577739,1.587181577319022,1.6963039031727305,1.3991921541307626,1.6507465152245675,1.7647508267773064,1.8782481146788257,1.650561512716019,1.6511734999220586,1.6517227131918473,1.652212948009841,1.7440649418198244,1.7363578672069822,1.7392107060582456,1.5336083044771502,1.705731323959864,1.7016289732627499,1.7422463544397273,1.7360110158632156,1.7344399322332569,1.7631355175217656,1.7483644097964481,1.7349795245385764,1.5679677541696257,1.7083269165545123,1.7318665541212837,1.815148177436373,1.7922230266391788,1.814304483466128,0.9283741286367615,1.7872363139198097,1.3262919871223868,1.5775791973075632,1.5866268941034876,1.7606771671846946,1.7543885681471771,1.8042746465614163,1.8037829541352322,1.8196003151676654,1.8192825310606617,1.8230089550412107,1.8247272180313827,1.8247644184351646,1.817912535283924,1.8202455185225372,1.7871174953475129,1.614530196937323,1.6481580919296581,1.719793384819553,1.7205420127990714,1.710040262059175,1.7261818935357287,1.7034231280047352,1.7186165621536234,1.721123680272816,1.7105639126471297,1.716088569836524,1.7098967490336279,1.7276971407287385,1.7181073704776644,1.708797177985245,1.6903712797459576,1.6940917792894767,1.3997536342810304,1.6521455975738224,1.6512441689912254,1.6505982839565136,1.6515984625077262,1.6521192933352,1.7455642155895243,1.7338518473473827,1.7421308239827613,1.7037422984462698,1.7450668432590948,1.7394988866534058,1.733948142825293,1.7634996630209787,1.745270282987581,1.7357504554149066,1.5702520177800217,1.7088585036559725
nerthus_bowel_cleansing_quality,0.4573638757475231,0.4816742024534959,0.484640219128232,0.49979964267297156,0.44433974521697395,0.4873385851732798,0.6123923095827128,0.0,0.5472106551613523,0.6397302433624286,0.5181758902282444,0.5156997176612116,0.5927251053734204,0.5821350280185824,0.6391290955208463,0.6429687532175409,0.43895651795268825,0.4417997554722366,0.43717265435581376,0.43599311354133763,0.4700543693015471,0.4698460816644921,0.4703409311255562,0.470289938926915,0.4702633014023872,0.4699648169615868,0.47003598937152824,0.4835686621844555,0.4684646058416007,0.4675232377452968,0.5201555082803818,0.4794085958749515,0.4922028914151738,0.47473678769308025,0.475363923491679,0.4768446814941836,0.47177930300621923,0.4780783913651714,0.4738260454936459,0.4717502884271488,0.47760910411186197,0.4769560324133486,0.4758531320818824,0.4697725388986741,0.47593957770567186,0.47926970880346376,0.47878090451100297,0.46267419785038305,0.4794954933617479,0.4737207972654979,0.48904286651327705,0.4792322862297998,0.46314127296444496,0.48904031792109254,0.489394650336204,0.48948603990133027,0.48919969193759794,0.44875449485307733,0.448671404602489,0.44859714386730615,0.4858898065266168,0.5039531161370101,0.5062696248021411,0.48071999632221124,0.494689310591974,0.49161490267297797,0.5086884950258299,0.491438004172907,0.49536579173264633,0.48996875295265047,0.4697259653235264,0.4562162896185554,0.488479074155398,0.4842597438644946,0.500498041039595,0.6122864433632242,0.4442977643118775,0.6384610351335888,0.5941310490542253,0.6405635707056245,0.43780340799016154,0.44289722415541766,0.43702824766275117,0.43557767659416136,0.4697750217203599,0.4702347503348246,0.4700151076996592,0.46981190923435534,0.471335407846545,0.4693529953180773,0.4711529109421143,0.4680619081324193,0.5204867053565699,0.49030735482007215,0.47540079310826705,0.4749823727827634,0.4770671551964418,0.47163704777854465,0.4776536791349259,0.47417146025822754,0.47227326335914493,0.4772062364057445,0.4778164392396395,0.47616841785142067,0.46940150056055757,0.4761667870097319,0.4786977257195189,0.47883933298880577,0.47926635736708156,0.4730924777476212,0.48992349167672117,0.488967114202295,0.4889195409310917,0.4897229978457983,0.48914223475962254,0.44893597272838026,0.44910525619163333,0.4491348898001909,0.5066372750393587,0.4815682581554502,0.4954093270909576,0.49167485172768777,0.508218607026401,0.49140574529245334,0.49489181108439023,0.4897965946586733,0.46856182482577635
stanford_dogs_image_categorization,1.3431477137960932,1.3510158580638456,1.3523878498245108,1.3519062862274704,1.316935334007743,1.269722675823488,1.1711117421394819,1.3564484465086557,0.0,1.2498112643471684,1.1920673698290964,1.2059917342251094,1.2490796768990253,1.2458298482914303,1.2957637850451993,1.3119543756042156,1.3582118566236652,1.3578377215813817,1.3564994013998357,1.3715765650236584,1.375333418564721,1.3755408642708566,1.3753264114217951,1.3748836249085419,1.3753528663043835,1.3755132629215558,1.3753981694386523,1.3276242289596787,1.3687015917732168,1.2925899488167312,1.2634653860376808,1.3399362497661191,1.2781700100790605,1.3210512474301217,1.3194649688597515,1.313781559133285,1.3209975197382329,1.3140452368564017,1.3218729893863868,1.3212736808046055,1.3131689711903756,1.3146906277118464,1.3164400499647435,1.3229253730730983,1.3129186336712815,1.3107743767898268,1.3031897571018494,1.3486691396429666,1.306553536523399,1.2972700046720582,1.3268428568893162,1.3082811298866064,1.309171442248398,1.3269409490750317,1.3271587811537706,1.3266097645821344,1.3270498909646442,1.298751833239054,1.294459153172484,1.2953374255939858,1.267726013991288,1.3064199635433476,1.2544946457979607,1.2950765758763068,1.274139874369604,1.2918032402901007,1.2637582422833091,1.2682654845487789,1.2672644767115957,1.2643552367531588,1.3148683257254863,1.3411200234410812,1.3630392349060545,1.352766141013725,1.3530037688683005,1.1698895558845832,1.3565330642657802,1.25207961266919,1.2495878738517685,1.2960730405419167,1.3570269533330557,1.3582533362147058,1.3565930778138668,1.3716200532406562,1.3745195015391696,1.3751823143861186,1.3770050290635103,1.3765326734423908,1.3756211136682543,1.3739660412982606,1.3745441789854902,1.3698459774045144,1.2634374297273168,1.278644957863068,1.3201613592203305,1.3202169261530683,1.3141266423756066,1.3222112602701908,1.313774726762829,1.3221202754867285,1.3210395147621354,1.3146868136464227,1.3131541358086072,1.3159083588306775,1.3244088263511098,1.3127071048359982,1.3116660586160387,1.3044787424700162,1.3060136389235326,1.2991944593672953,1.3271120274157504,1.3266617658178748,1.3271995350458679,1.3268823449030145,1.3271251547066694,1.2988432984342722,1.2945838000064853,1.295198651985044,1.2543727298351306,1.2950096595154539,1.274370855391774,1.2915512005912149,1.2638287817382419,1.2674976440456962,1.266575114598333,1.2643072568481597,1.3153586665564256
svhn,1.4825916315526333,1.4835575788161497,1.4839630136372384,1.4998226319873107,1.3077994493160572,1.209544681932123,0.9977630656398019,1.3776557805383487,1.3130778833927772,0.0,1.2568152393746015,1.2469440639921365,1.09144809544982,1.0788832859967306,0.9485187205962174,0.9251528453556163,1.4243851501631672,1.4195313388119846,1.3930196655710823,1.3920045372919478,1.4602911167879409,1.4611368494004333,1.4607361042022322,1.4608899919474718,1.4608048445119595,1.4612581467266454,1.4614054668802345,1.278454879802524,1.3212165446085125,1.2818457591810624,1.2255101103393649,1.3306974251471955,1.2925130627715535,1.368923490325556,1.370913640032229,1.3677016845217442,1.3724346403104648,1.3663154768068182,1.3721564072708332,1.372774917435393,1.363321547976887,1.3670708784671182,1.3674960075921263,1.3731634786475941,1.3610062584404528,1.363184039211612,1.29710598148033,1.3015777690471981,1.3001787854215738,1.2463571315069775,1.2744102253319305,1.392336804915219,1.3339268188221787,1.27346153537692,1.273984671931449,1.27479300541768,1.2745965877827634,1.328558312555183,1.3234721722333318,1.3276870522387225,1.2767379398377328,1.2954022924850035,1.2058409454864958,1.3221775703439271,1.2728430002126945,1.254850014769196,1.262506535989675,1.2224414338261718,1.2448068022708714,1.3002499989622198,1.3273743753989005,1.4842873642406322,1.4990865823194597,1.4842744513954311,1.4997337223241431,0.9965313933129349,1.3766242372803656,0.7965983170385877,1.0854997533802224,0.9496425008193474,1.4252722237813746,1.4202310821799629,1.391815458039907,1.3938156462010673,1.459081433007293,1.4585110375349701,1.4628933596765719,1.4599493424678192,1.4624097636352875,1.4598206518689225,1.4579059327135164,1.32635831662788,1.2278777337528262,1.2904819243703467,1.3701237733064884,1.3722110899142463,1.3646402720611561,1.3729570381081533,1.363703896863779,1.3701709720659696,1.3721354086012831,1.3652593263646529,1.366953984357661,1.3680162642989169,1.3756158319759544,1.3629148609285888,1.3659120864661858,1.298387941081378,1.2979505175598363,1.248572943844276,1.2749957466766406,1.2745627358355665,1.2726761471543806,1.274379273901546,1.2752295005538894,1.3286887357699877,1.323397630602051,1.3284755596090052,1.2073130005345618,1.3241000107613508,1.2728166275212518,1.2547726831621397,1.2633697581373238,1.2198419465073131,1.2478086369597523,1.3008213090602265,1.3267830760645336
