,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0034777399561089608,0.004185213448796133,0.007652047762740186,0.026266799449375617,0.026291443595179858,0.05444655466335095,0.016336677514012517,0.037218490407134895,0.05143309446367988,0.028557472904600138,0.02686950103420329,0.031282122158271614,0.02946686332451455,0.059351228638331026,0.060922493327900076,0.010663514274778045,0.009642354745840158,0.01410315425186791,0.011293555207661685,0.006922556506566988,0.007041738768341031,0.006971564146081812,0.006958064683180999,0.006937930206485703,0.0069496476148749224,0.006903284939317749,0.02666991415732251,0.020379486197445493,0.025937390292335716,0.041460469597614305,0.034820213209181376,0.0407112078171935,0.023575951560147145,0.024112173510720793,0.025367601926100335,0.023307155270095622,0.025639122521793182,0.02330716588169395,0.02324919904997338,0.02579411124257763,0.025032378681428623,0.02462699739630996,0.02285931383470226,0.023878772892818433,0.026324062361218592,0.02962383565152358,0.028801071923082178,0.02947852853162479,0.034349102257741536,0.04474180226598831,0.031703134920203595,0.028229927001066975,0.04491553948731596,0.044876377286266665,0.04495953657404136,0.044887302200631994,0.027213536578526768,0.026371318731435594,0.026128151101812,0.04129249132756398,0.0577429567355438,0.032821831331115575,0.02392413379483751,0.030058410206160936,0.027800882796585803,0.030066314219426283,0.028303975202115753,0.029848058221767077,0.03240710149341247,0.03781287063543535,4.0533556785931535e-05,0.004623554098245697,0.004124972601867558,0.007759086120445795,0.05468713917317545,0.016293695920615803,0.050893861592130475,0.03143670813759953,0.05934900924892148,0.010572540573586784,0.009598940028514368,0.014218374984330649,0.01121345259842033,0.006967340408999858,0.006968017516327646,0.006988569066549772,0.007167274130689972,0.007157640025356965,0.006766474244090641,0.0071985481470914405,0.020564302872645854,0.04139371585083044,0.04053678765812865,0.02388158683109947,0.024099061268918125,0.025301086748880625,0.023341829682444526,0.02555102491457797,0.023371751739295427,0.023045280131428238,0.025461873027202528,0.025374854209949015,0.024786379278681773,0.022780527250915582,0.023791313374309595,0.026335001661065807,0.029575557018790572,0.02952535672420063,0.033811792318971225,0.04490354611682415,0.04472721242270296,0.045138619555057984,0.04498109502275567,0.04482473047753763,0.026982227346686007,0.02653905723561748,0.026100503330746507,0.032836702763329575,0.023824808664254335,0.0300977565707936,0.027745443749592112,0.030009123462399208,0.02855772325656395,0.029759928598792198,0.03248050767116919,0.03753374516299214
lapgyn4_surgical_actions,0.0038803697690364468,0.0,0.0013898866777526135,0.0023936679501768356,0.031140536722814402,0.03091040649006994,0.0592605798941547,0.017575293269174102,0.03934082836159902,0.05299591082840601,0.028532444857843314,0.026523691898945066,0.03158472166887145,0.030500602489394433,0.05822542895829928,0.060285312501554694,0.0141198805126809,0.013313874755662225,0.015448249486981855,0.011626398476392106,0.00513242026982305,0.005238361144713692,0.005144956502245676,0.005161322036602748,0.0051165349272347,0.005150005250995419,0.005088593435380971,0.030428018266716733,0.018353038890315844,0.03052657358140772,0.04658636282851581,0.04171601721411978,0.04142180370119354,0.024174639319465292,0.024674377017852283,0.02573298073922188,0.023936583870431613,0.02603513629271041,0.02389236331114322,0.023903118720035196,0.02630905215701418,0.025378210729365393,0.025072832124881636,0.02345874104290454,0.02457555815500258,0.026571472156531443,0.030608276877851694,0.03329117777366152,0.03028016876201765,0.040861490679130835,0.04834176518238184,0.03083026261454767,0.027304198763000328,0.048492980188978074,0.048430028998106237,0.04849872294327433,0.048419907237012394,0.02737107339237665,0.02745122487192789,0.027338708060992454,0.04220554777013425,0.060273909497686184,0.030090636375201266,0.023650776828478978,0.029796199272643428,0.025833997034057792,0.02757293304096845,0.02639002627967672,0.028103683845405333,0.03350358771884883,0.04052559342167317,0.004008192520638397,0.001050755535444042,0.0012608352048589047,0.0024342590958033386,0.05947857192622097,0.017545682352886144,0.052453172155089184,0.03175686415580828,0.058158664603021146,0.0141482157334799,0.013198097222736358,0.015520257842276392,0.011605565086054715,0.0052174341280006335,0.005177913442652084,0.00511548057309846,0.005309346981796652,0.0051075107770706014,0.005025917481333336,0.005393963855040969,0.018337611151250863,0.046458163431052184,0.04127502652709667,0.024381934465574084,0.024587547044621526,0.025615136141728223,0.023862439894894113,0.026037565742071774,0.02398072420367872,0.02378616152348435,0.025924225401500613,0.025621155552761687,0.02526525693101902,0.02334528656481992,0.024385465074055295,0.026526922884261644,0.030476745933138316,0.030388288398935356,0.04031659167955094,0.04848616391212113,0.04828100373915523,0.048708386874039965,0.048551471290810146,0.04842792005496022,0.027173859027301538,0.02760594213135415,0.027307554891372383,0.03013021892096948,0.023530506025745683,0.02969480190608576,0.025805215802898112,0.02758192421268484,0.02672073404103718,0.028111650719959247,0.03361057099654416,0.04023762147741549
lapgyn4_instrument_count,0.004327826430821577,0.0012276061753877586,0.0,0.0017188770370103507,0.027767180519387938,0.02899524662424459,0.05560432303983945,0.016895199606366124,0.03619932336346685,0.049885808833061235,0.025905237862906137,0.02403333478970303,0.029252764833669613,0.02811333245337533,0.054404638228050015,0.0562476161989838,0.012882160927689408,0.012049008054596345,0.015295785588459423,0.012547531195502951,0.004124342147557544,0.0042477245092135095,0.004147967789716424,0.0041377401454334144,0.0041445300843164536,0.004161169324481961,0.004089574607289441,0.027848972995205473,0.01909653435872044,0.0296862624761461,0.043167221558906635,0.03740212916869844,0.03940542368515126,0.024042328128209268,0.02478593243049719,0.025937480702433943,0.02378860863318841,0.026271094097662123,0.02379217581075791,0.02379892489582979,0.02648658758908254,0.02550534418861686,0.025144355050080926,0.02328646830797232,0.024548844948751765,0.026823112140954793,0.02951237292737442,0.031007816038369107,0.029361692933343713,0.03829758947341432,0.04459062364271124,0.030765032531100092,0.02693905098175838,0.04472763732916621,0.04467843827607895,0.04475361427716054,0.044651131954686576,0.025692899121275578,0.026169839972711585,0.026104446314026454,0.040958803141186356,0.056609383161592544,0.028921890954032865,0.022964256118292996,0.02812801742051185,0.025683602173258508,0.026237347664495425,0.02539128698034835,0.027072441884896055,0.032417586578826735,0.03758447980801587,0.0044246700177465,0.0016679719722744102,4.5705871077355595e-05,0.0018927149743982428,0.05579867969544933,0.016883851206061236,0.049386105498150826,0.029410200954050968,0.05431790862708327,0.012923135671071449,0.011884577732982918,0.015361908487032887,0.012540103902005996,0.0042184530532283545,0.004178013766635911,0.0042009530978252985,0.004284102993674432,0.004112225861590461,0.003985538642320147,0.004305671075639077,0.019180585766809158,0.04305426182771602,0.03927651269900428,0.024352473456512813,0.02471611067442079,0.025788594016494037,0.023799365053043794,0.02621589885824653,0.023912585537638257,0.023659824681399613,0.026120221813242736,0.025823814299942315,0.025356482304225138,0.023141786446945745,0.024423576568578506,0.026789344859016226,0.029454646462512085,0.029462912872729403,0.037762439236103694,0.04473347497634188,0.04453167122531161,0.04494764807810932,0.044803812340190624,0.04464148145718564,0.02552748590271222,0.026265352541958276,0.02608852542386203,0.028967273472935633,0.022811947011485166,0.028033451345922753,0.025635946228798476,0.026219823335801366,0.02565261777631614,0.027063057900638877,0.03252838326637421,0.037322577530196716
lapgyn4_anatomical_actions,0.009439087813625235,0.002522568132613708,0.002083358109387721,0.0,0.03710916993522989,0.038321506049521066,0.06557997845177602,0.023933274751921918,0.04394410980935193,0.0589705214330977,0.03276579286199525,0.030681133428475994,0.03688171958188702,0.036192731170431904,0.0626165255663486,0.06481145085411458,0.0214966003429177,0.02028848588067196,0.022204475299581056,0.01853456472514394,0.008370719784976291,0.008490609564614351,0.008344973713003046,0.00837506320413746,0.008360443640358789,0.008407091110074656,0.008296845954368403,0.03676328397467664,0.02332746686932688,0.039297538949987845,0.05472343329220105,0.04779950463217191,0.04713869633546965,0.030560978171875624,0.031314966689612554,0.0323377462957607,0.030385691227379892,0.032682366069424436,0.030316568473765616,0.0304472440379631,0.03297692350714682,0.03183923247486598,0.0315988536699374,0.029871835841149545,0.031104253192582195,0.03310791631462458,0.036560560580817976,0.039828971119394666,0.03621316082093094,0.04845836577174991,0.05372484791770175,0.035666693487846,0.033603692394679426,0.0538898609252601,0.05381030968021822,0.05385831620493141,0.053772778688038404,0.03311998276240337,0.0340332518534965,0.03404464026880512,0.049965249743887566,0.06516564495663757,0.034255887970009564,0.029496950782687124,0.034816921963972854,0.03061501009230207,0.03180842786595568,0.03058500302855442,0.03296213592130064,0.038660132422659296,0.04591697019218461,0.00959306337931126,0.003281393269034804,0.002007508520460858,5.800739806109747e-05,0.06576266427036163,0.02393452873663849,0.0585064693638356,0.03706455677134593,0.06248263261033845,0.021576120435431074,0.020128399131108983,0.0222389069834084,0.018523263913762168,0.008533405618421941,0.008460033192400743,0.008419218339566019,0.008506219327893642,0.008103193041147004,0.008253136666826257,0.008590312222273144,0.02326974686176473,0.05459328741333455,0.04704927515106093,0.03080652645229295,0.031185212720253576,0.032159791791664456,0.030294640820830176,0.03270724631813282,0.030439211704383302,0.030344518018124544,0.03261426861186206,0.03209825979141714,0.03185467110953493,0.02973122304240785,0.03090206755367529,0.03303678167588885,0.0364589923818232,0.0363272089353985,0.04792563567055787,0.053848300724829136,0.053659710636316804,0.05409809153191929,0.05391401670783613,0.053790989980478425,0.03292043932458951,0.03413412478523226,0.03400999866472883,0.03429382968134947,0.02930808735658011,0.03464464656907537,0.0305961794254228,0.03184478995505918,0.030886628404739772,0.032986198550934445,0.038795735067295535,0.04566274475665534
sklin2_skin_lesions,0.022232208425418943,0.02458237970335903,0.02377314072339014,0.029812958882353136,0.0,0.030355790559164954,0.046236200522425684,0.022989784279866022,0.03532310422251519,0.043686428116870686,0.025430795528987877,0.024222153576855518,0.027178109843343116,0.024898210539804243,0.0491247124860539,0.050613490776674985,0.014398316317561754,0.016120885512517797,0.02324487948373652,0.02262056409084212,0.02096296435769083,0.021054423448636943,0.021126530233826317,0.02096723545857817,0.02100444659107146,0.020995371193166735,0.02098140318117903,0.008669322883512617,0.027014812741927026,0.020476904818245045,0.03494129802849713,0.01803310846766996,0.035936800290176485,0.02562186980922919,0.027014942091864447,0.028536930049052122,0.025237808399143986,0.029064662011218406,0.02540279095248097,0.025183789819340704,0.02913164535451654,0.028060377044868245,0.027326545042851768,0.024287992226066448,0.027006104243300827,0.029695734160753464,0.032776114162844434,0.008338992501478003,0.03291238630078746,0.014832105635952874,0.03034127856349443,0.03522995391983161,0.027315301720890597,0.030447181970360053,0.03048133607027901,0.03048364194139496,0.030520003540200187,0.019140766693638674,0.01746867931652526,0.017560396802178403,0.033371636834007776,0.04442091445351547,0.03626793938935926,0.02583152949019207,0.03218744657195233,0.032828364904898835,0.03326552798638748,0.03323236522718278,0.03151950659195337,0.02922444739901906,0.025060596456269128,0.022177112772264272,0.02487639726884701,0.024115967656834898,0.029801198596043892,0.04643650239644333,0.02291742410123011,0.04312706394225839,0.027216674816625864,0.0490978780769316,0.014555731868568367,0.015846148233366133,0.023275748258793832,0.022804767532611306,0.020773638445484854,0.021137856054796254,0.021159723394017796,0.02120904753063645,0.021368009574706064,0.020919688119375373,0.020778108319917856,0.02755422765335073,0.03488377264299872,0.03571962989233295,0.0261473368268122,0.027138210598190486,0.028377223230976654,0.025304879340240657,0.02883365303774733,0.025472860728548905,0.024882446110351567,0.028675423764007005,0.02853193972777573,0.027511106066927065,0.02408915616307334,0.027191595665611062,0.029749366676094475,0.03281752104548649,0.03289508886340204,0.01460104456083001,0.03050070798653443,0.03028853255228767,0.03067715802206023,0.030414425482958748,0.030424581625534467,0.018862641183442087,0.01752800044772494,0.017500834244072852,0.03642126133155209,0.025662479850744855,0.032235933182361794,0.03270299232365036,0.033184345860472426,0.03346350194563848,0.031341786369434195,0.029195732785441672,0.024758824224368634
identify_nbi_infframes,0.023155614065639225,0.02450232821714748,0.02301334197734239,0.02774035802103339,0.020219110145313097,0.0,0.020028154386125135,0.027507076370226518,0.02315566791140151,0.021646522947343837,0.017599560681800387,0.016396111765867517,0.02044135433542518,0.016998947811167654,0.03333463503205794,0.03371143191814933,0.018921648229963266,0.019635348844696074,0.025198950892290843,0.025366093656233855,0.02246787935937375,0.0227266708057498,0.022605232141516732,0.022455961460100638,0.022612453930045597,0.02255668762694878,0.022684424896655994,0.016723803747439762,0.022476938586189477,0.017123747923600108,0.024749329929574612,0.023503593193878968,0.03434407617587647,0.026920868852364475,0.02665467055751498,0.02719559902446422,0.027013052330465682,0.027190118258790683,0.026659442405280002,0.02674807018647729,0.02731662953639622,0.02754602710327169,0.026775372397483666,0.02674781061317694,0.02640065208300925,0.027520239753550675,0.028741287336293612,0.016481980292310766,0.029557184229725995,0.017512491674183707,0.03332661922215973,0.03807434991193917,0.027975296524212472,0.033437472562910735,0.0335032388341,0.03336674148623041,0.033434410774168755,0.027900338661676374,0.027059264196547618,0.027136002218477426,0.020860772949390795,0.043002297135021385,0.029500146111638884,0.026642629576550066,0.02650180330098048,0.03320183328459428,0.025989612859177884,0.027223084549394854,0.02731044843695202,0.026871008191106067,0.03137525868196826,0.02315770869455078,0.023748508643438027,0.023343032246200844,0.027912620331420352,0.02001704795366917,0.027278572012508686,0.02161986361807156,0.020384309504387334,0.033273793839277324,0.01889939614454696,0.019248455478674296,0.02535722677147626,0.025455305231207464,0.022284751485474274,0.022396944730248728,0.02279809816141527,0.022881256096401594,0.023056595585481378,0.022487274026992854,0.02216356029524756,0.02313363845157684,0.024856729471909145,0.034211842845756076,0.02722610549317212,0.026838707020788184,0.027140464910150944,0.02755507536051133,0.026744003920364808,0.02660748388343674,0.02641034342152066,0.027022157380330633,0.0277715012415365,0.02682311729130451,0.02685886175845466,0.026682301044806563,0.027781752541040452,0.02892876860064561,0.029495575530160276,0.017304971294534937,0.03341046064506758,0.033417319840319516,0.03355332365100943,0.03341117635947736,0.033442896268977916,0.02793766903712652,0.027050314688944598,0.027008039024854588,0.029599413095810205,0.02643623247472068,0.026564902042336462,0.03309792917847042,0.025954139851682632,0.027233579364319204,0.027174453922533173,0.027000073358748374,0.031235763944900553
laryngeal_tissues,0.051909333730744266,0.05195071788101014,0.05095089831944626,0.05492246331378988,0.04354437856932751,0.030604397535535385,0.0,0.051119024457773395,0.0372132788308292,0.024148455917478447,0.03111419287161894,0.03151511452517786,0.028594480305265818,0.024991781487687527,0.04284002787111183,0.04396861653785076,0.04857802765047492,0.048389276617611304,0.05089422914735987,0.05222926737463952,0.05160197610747499,0.051828672195081076,0.05175933951711964,0.051576473964678696,0.05175905919941502,0.05172550731887873,0.05178948443089279,0.03883205867102476,0.04679289736072947,0.04445459564748708,0.0419482276819715,0.04289046120266015,0.056920990961670505,0.05532818295498503,0.05536664273803327,0.05545396843549049,0.05549590811666949,0.05554408676610059,0.05508879956741469,0.05532787311186943,0.0556559838632967,0.05568117599864357,0.05514347907608516,0.05506013815940298,0.05468561028408233,0.05555217236060079,0.05869317955380265,0.04342012334081271,0.0595633151414788,0.03403562918222781,0.054737756552794975,0.06612020174064283,0.05257478777169992,0.05484253064517414,0.05490035317974547,0.05461327019438064,0.054780709075812506,0.05121555738845052,0.04986038652885964,0.05007660919346433,0.04307813352084481,0.06085633121030686,0.053274129908296906,0.05080093768104329,0.053098312202995324,0.056359855155619885,0.05132386185178963,0.04987437052064595,0.052212734716027984,0.04952190540710182,0.05628657990166277,0.05199495809058348,0.05350815006924047,0.05122170420626224,0.054994505366169476,2.00693495505489e-05,0.050964531579881955,0.0242164824240111,0.02842965453577575,0.042784015238819514,0.048589961735967475,0.048245397884217,0.05083669976627696,0.052382003684190756,0.05142271752822891,0.05169019689562543,0.05189763788046104,0.05210971082936475,0.052150270243241766,0.051587976199956344,0.051398464892636476,0.047654169486375846,0.04195650622831987,0.05689565624457776,0.055717925756672636,0.055508542676938416,0.05542309100347092,0.055907689573523565,0.05525617859389509,0.05499445238867631,0.05508521862563975,0.05553448531484546,0.055835709814096426,0.05514627322895858,0.055193852731620474,0.054698746723314214,0.055863232541128904,0.058845525716284486,0.059518637706662186,0.034170046646081746,0.054857487537481625,0.05483100842670793,0.05486788024030747,0.05460902938942254,0.054809721473298434,0.05121791255094174,0.04986083042742722,0.0499495724262295,0.05337831002143446,0.050570216164404734,0.05301999113208032,0.05635566025566877,0.05134060903272913,0.05009150434069104,0.052268019706829975,0.04974517828461512,0.05614272144991335
nerthus_bowel_cleansing_quality,0.02252499997796448,0.020974089197556164,0.021691874006388574,0.026216640938165923,0.032979923312320705,0.041251770175332,0.06727574587582258,0.0,0.04741985607996474,0.05361192815844476,0.03276670702955852,0.030745972733595892,0.03367141350362997,0.03257834318969659,0.06178405722944305,0.06417731294308414,0.012301561376248316,0.00938827824799187,0.0039120451115508105,0.007596804088545501,0.015556584579470208,0.015494889441559101,0.015458485304366904,0.0155684932495596,0.015553596540498921,0.015492106809990108,0.015558070510166774,0.03241837167330729,0.01655512026685085,0.03752457536936385,0.05185039820744023,0.05055096617578995,0.039422098867903634,0.02580504219217093,0.025439041041613927,0.026647509887740516,0.025350011707217544,0.02674084514157309,0.025207944898230326,0.024968613275273544,0.027148523856226604,0.026800439043872554,0.026008826620455557,0.024937171299803575,0.026456491530446755,0.027618754732499442,0.03674376259197281,0.03574170337768788,0.036306725087340314,0.04557616308666476,0.04518392712144028,0.03590602368331499,0.02557563969723227,0.045274049945179334,0.04515433204837947,0.04531055112582788,0.04520937519950832,0.019269909587417845,0.018402522348560855,0.018139689984575914,0.04779656959825244,0.057118261871977764,0.032962270087098546,0.021747895547909107,0.028334944173220085,0.02847717317768092,0.02953272003963786,0.02751072975038546,0.027587483327899013,0.044744624535766955,0.03707545120101876,0.022641176770683082,0.02201823507047333,0.02170808296341495,0.025940982047658726,0.06752583025943636,3.1364364325119884e-05,0.052817595438019296,0.0337057041805933,0.061802448692287376,0.012384389936142421,0.009771636185992546,0.00391361523645053,0.007615488448311326,0.015301079969586675,0.015662721029892242,0.01557573346200426,0.01558533096407207,0.015731330198652065,0.015581611092520264,0.015462376488823136,0.016544581709422405,0.05190766174949898,0.03927922301964679,0.02621380865168208,0.02546293057342678,0.0265231734583399,0.025409661257394873,0.02672201748094117,0.025294056347041554,0.02487793357380363,0.02678549424795631,0.027187140178550312,0.026285637899091958,0.02472207038751768,0.026348331168796923,0.027653506515911523,0.036538242640766244,0.03646925569230761,0.04507444078553787,0.045383163407311695,0.04503486030677983,0.04536205699949235,0.04533593125336096,0.04511970090937156,0.019075734456959863,0.018631255429567308,0.017989081983697263,0.033144580717696895,0.02148892196406158,0.028280129525239985,0.02850915067413878,0.0294590140133266,0.027830305512061317,0.027534012728552607,0.04485505907103238,0.03667985506226416
stanford_dogs_image_categorization,0.02455921280261817,0.02691801223078611,0.02518537965690632,0.02903440544487397,0.023741615863062664,0.02290610097776454,0.03133800511093654,0.032342888756600754,0.0,0.031100639407047926,0.007637029339631723,0.007766861490656595,0.013561341303931536,0.013774989869129069,0.03633356306985507,0.0363622244957764,0.025138658707853968,0.025872845393304204,0.03051227194427724,0.030219924902651615,0.02846758910892365,0.028656581025803658,0.028595221527363695,0.028468977519792046,0.028514960007348596,0.028586471655127683,0.02857712465925316,0.020138680780652448,0.03042075101199773,0.02240456131621165,0.02988393288082189,0.021061616905299726,0.031049887706234926,0.032794715581850556,0.03266053447627252,0.03299990353889853,0.032943738860284524,0.03300283713167621,0.03263811780255287,0.032768189199621676,0.03309902983643678,0.033279905664363715,0.032702313730096404,0.032927458989637025,0.03249547329609328,0.033238924412245324,0.033811001855519704,0.022354215434294854,0.03465970799987738,0.024749555136775684,0.03128812575806849,0.04026422807413655,0.02969789894400003,0.03136759633844995,0.03141746262444497,0.03132439439805825,0.031459396839585395,0.03111286922169203,0.0298863531961459,0.030008482805989663,0.029518772686505514,0.04029238588047907,0.031135435046392285,0.029873534433804666,0.028700008192099457,0.034645098352318784,0.02739686771811754,0.02918939138357996,0.029076132616243432,0.024381891647688985,0.031187773107242717,0.024300887752104233,0.026542526059872368,0.025473243779157998,0.029361194877456347,0.031308437413255875,0.03217586356726581,0.030846014105339697,0.013746873417457483,0.03624751458374675,0.025088770925545394,0.025653268419832873,0.030552462068777337,0.030264152505362588,0.02843847367158906,0.02855198322992462,0.0288821502435172,0.028750157649666656,0.028887384172631706,0.028537642491288043,0.02832177389268092,0.03103651951132313,0.02988357605010865,0.031067886665028323,0.03313680934688082,0.03286535505751022,0.03308416000845245,0.033343206281783805,0.03272882230928272,0.03271499650074553,0.032444946390704825,0.033019177171766737,0.03338804426097146,0.03267241954499498,0.03297170212801152,0.03251484861484371,0.033570372501113485,0.03391845017226165,0.034603183229800716,0.02464819498325687,0.0313529445292407,0.031383221087760316,0.03144270092479569,0.03128959766685924,0.03140446008914837,0.031043378204771786,0.029949352955378095,0.02983717162619335,0.03122943934217427,0.029592426913640432,0.02877383009517661,0.03455858057649388,0.027369787587218048,0.029273085330537643,0.028916612159116027,0.024435672416643937,0.03116164998414793
svhn,0.05197358132663711,0.04977022574577595,0.04897471270946452,0.05153088211283373,0.04983724926750835,0.039982661731877187,0.0293503542007095,0.04770382867122534,0.04115986605209589,0.0,0.03197777194584725,0.03173519553226964,0.014760999611454528,0.012368565431287505,0.027421198908836313,0.028082467031967633,0.04711835598556429,0.04695020354293875,0.04720283975628038,0.047298462774202035,0.047729735959045165,0.04793035728902253,0.04776728825410039,0.04775267487759384,0.0477986214920073,0.04779068233268836,0.0479198401589141,0.0482594235770539,0.046868957353208104,0.04784331067490422,0.046824859060698776,0.05735049596253979,0.05478615386246642,0.04694710892499997,0.04623463015252114,0.04642482992197064,0.04682562998868292,0.04638613144288773,0.046535774854738976,0.046661998564376424,0.04661483894889213,0.046861190067707406,0.04621370766566227,0.04657217944344342,0.046249052740110805,0.04660309213196156,0.05237349677671638,0.05099125532858531,0.052883585188787885,0.049496594854511855,0.060674078286239615,0.05788016565374087,0.04919911197774678,0.06070959692494834,0.06080960152880079,0.06062993881371793,0.06064496842396417,0.04920952452330582,0.04792788594910374,0.048155974886558865,0.04789324549064918,0.06760759372308717,0.045743690974511184,0.04453837621988764,0.04600655644058882,0.048463720840240754,0.04428854627254191,0.04174706080500714,0.04460733397224767,0.05353209065525102,0.05901204909742948,0.052231031148650596,0.05000403035511839,0.04912252857551972,0.05149097767083515,0.02959246530691305,0.04751557377989285,4.7315652751770594e-05,0.014532630162790815,0.027424444576382646,0.04723733526350512,0.04682718203293566,0.047155298750874805,0.04746966691888273,0.04753582224669029,0.04775455888038349,0.04797045834636554,0.048167247169928734,0.04809871925051634,0.04788231665445243,0.04753842895483545,0.04745827582215595,0.04673839318061538,0.05481386180901294,0.04723111227451285,0.04643542033341892,0.046409463710391,0.04733025554546126,0.046106240198975704,0.04652375873372204,0.046479572605701625,0.04652256224127373,0.04694435779636721,0.04634755545313198,0.04676087258635239,0.0462728337182807,0.046798931434541356,0.05249102578352497,0.052822680119037,0.049525940138047175,0.060795204846941085,0.06066505504570687,0.06079648078826834,0.06058479250729841,0.060621215227107984,0.04913391796544212,0.047741156514966215,0.048082735850224184,0.04594296323123918,0.04437336008124627,0.04597090788059786,0.048528401302384026,0.04431022431011124,0.041874698779159475,0.04465714651591916,0.053695023171871026,0.05883714290103661
