,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.0034296685178809207,0.0037619058919690284,0.007116873708943867,0.019263842211286453,0.020696448519339963,0.04233359588006352,0.015852556869784665,0.024844349047014453,0.03932323371321371,0.018466701258812303,0.017445855510483384,0.023276043443038987,0.021086960030137682,0.04544097374128693,0.04635442671873621,0.008649089662634212,0.008406859996556269,0.013260719179475014,0.01165103618896968,0.006777252161074383,0.006900586692218779,0.006843158082967167,0.006797950345774464,0.0067886180568262925,0.006807756010434,0.00678200495736727,0.01945239779185605,0.01730617141878896,0.020320324388249284,0.03302960830932543,0.026850212186568957,0.032032912546184046,0.019420943853368778,0.019706777542624433,0.020561679836106926,0.01921966575426892,0.020735696214055403,0.01917732641028073,0.019134462659644306,0.020883265307763715,0.020443608542516256,0.01999870256281161,0.01886997472013001,0.019403326637213465,0.021216349195142276,0.02467579755174995,0.02163834515921043,0.024844858980611517,0.026264914490375133,0.035467774776724977,0.02737808607615861,0.023517903704029532,0.035578979822381576,0.03557197404341608,0.03564824803922426,0.035630126260006376,0.02262627881085042,0.02195504361806717,0.02183385239260207,0.030661578264309798,0.04759388775813029,0.026199858666509066,0.0197751367295965,0.023526824179328446,0.023849731288081315,0.023193962755793867,0.022308932543079005,0.02390577249129045,0.02448411020321902,0.030362010903990124,3.6871785467669625e-05,0.004143813891632108,0.0037640576484904917,0.00724522057636968,0.0425343968102868,0.015839430672041785,0.03895530988093794,0.023424610358694017,0.045310038116692444,0.008551721080205285,0.008315481072301678,0.01337752910753541,0.01158462496319877,0.006844416711837582,0.006802929449166228,0.006924623770342851,0.0070614531337015625,0.006995019193880817,0.0066331586810966636,0.00696497164313339,0.017573317910546626,0.033025019580937384,0.03186543311091399,0.019651939969317987,0.01981891618388096,0.0205136382107066,0.019399387957477043,0.020585215217068912,0.019232150020595747,0.018892906138633682,0.020615309804717808,0.020672821832753038,0.02008846433071393,0.018879112114864587,0.019439731570247674,0.021302828549477584,0.024746603741610366,0.02481203963569217,0.02585314694702296,0.035574428328071304,0.03546425700202598,0.03576782943381742,0.035638854872495955,0.03555060223786048,0.022485151352219724,0.022097485176106855,0.02177366576125056,0.026223930206759814,0.019691465737191695,0.023556598355285827,0.02374506877134975,0.02314644504528391,0.02246402952187208,0.023801491046911087,0.024556547079356138,0.03017622172780616
lapgyn4_surgical_actions,0.003477761192055399,0.0,0.0011833472508657873,0.002033734283711161,0.024157564541928404,0.025765246250143974,0.04911031433500193,0.01586568618429706,0.028098563104158397,0.042264532501029406,0.019803651993604784,0.018277074850368332,0.0238932616561651,0.022550821482868497,0.04742081609186983,0.04902751427048436,0.01110962114789985,0.010889604556830003,0.013438321889352331,0.01090134367166081,0.004752921981911134,0.00485562199864543,0.004763265229104995,0.004767891285444652,0.004740959374058029,0.0047830749370487875,0.00472842759429932,0.023601646839170966,0.015428263252711039,0.024245503373072255,0.0389648312512513,0.03423416036252809,0.03434419123514237,0.019254958508577308,0.01946303497531098,0.020216430807121318,0.019064888254686364,0.020424801969091893,0.018979280929922817,0.018985298173835697,0.02067824035144023,0.02006551466685756,0.019724395690147778,0.018707339756278276,0.0193361801377682,0.02084343062863331,0.025363469787060663,0.026174315742460146,0.025286326002843234,0.03317759368682969,0.04053952156000591,0.025979411243707975,0.02275706452820266,0.04063959637017458,0.04060918660979019,0.040670535214711916,0.04064828929457519,0.02251941162954968,0.022591723399610127,0.02256536823497398,0.03322845070545126,0.052072071570855104,0.024208149755207888,0.019026968587611034,0.02354870528812293,0.021806620438812784,0.021531358857494017,0.020816560044755662,0.022447169687886934,0.02642293866738883,0.03407432752085967,0.003594870105813644,0.0006991705824495273,0.0010941993613788946,0.0020367941311907204,0.049316165372264645,0.015871870091991973,0.041820042200864306,0.02408939173999029,0.04727140717879379,0.011096647506754523,0.010764005557613818,0.01351473673335111,0.010886796437214961,0.0048432269331891474,0.004793900648826115,0.004790568623874559,0.004958885294780458,0.004724759624128638,0.004659452974182583,0.004977376340192582,0.015488002915419071,0.03890406930360631,0.034199707668092,0.019418388482109198,0.01947314862783959,0.02013789390564902,0.0191152942752309,0.02037991690515665,0.01907201055132437,0.018855412029096852,0.020378618799651336,0.020234266465224138,0.019868503512687652,0.01869188947068108,0.019240233942118625,0.020862700449832773,0.025337592302067745,0.025335539807048047,0.03272927150433972,0.04064933628487813,0.040497105134717916,0.04082311655530572,0.04068733260915004,0.04061669892519346,0.022380194456433886,0.022710215902460633,0.022518139456317664,0.024251377591137786,0.018896903193229165,0.0234601663493725,0.02175372395422009,0.02154484527410358,0.021066273525157067,0.02243576885632157,0.0265001724754968,0.03384820368528582
lapgyn4_instrument_count,0.003771648625074768,0.0011461059218689266,0.0,0.001520417510827872,0.021748292881180596,0.023554287491754027,0.0454211052397806,0.015877379645035085,0.025430242433852106,0.03937110243944186,0.017861796601898225,0.01646346500662603,0.02231003590824876,0.020859775003271734,0.04428987082042808,0.0456513217332114,0.01035164691647985,0.010186677744180642,0.013860201670947548,0.012278574202796978,0.0039572841775522005,0.004079435115476563,0.003978583779377383,0.003963958862562287,0.00396912369818276,0.003999287509136506,0.003941806045730405,0.02160787028674997,0.016465185783728534,0.023965589864612294,0.03589537755274272,0.030520956790388534,0.03273077716487318,0.01979865813457627,0.02016685190048071,0.020980023511680906,0.01961193385327381,0.021188627076794017,0.01955244452588683,0.019557403272758362,0.021403846395441795,0.02080418696080118,0.020399639852011153,0.019217226447606154,0.019919636143653753,0.021616482919592128,0.025026672116449284,0.024327527234289218,0.025156683666633303,0.03068193606291854,0.03738242373722736,0.02672336034086434,0.023046136143183828,0.03746566453065166,0.03745136829408039,0.03751611979792921,0.03748199945224683,0.021432211390379513,0.021877682940633032,0.02188972654489172,0.0322557133640029,0.048799850013036064,0.023406381608654492,0.01873221609350932,0.022056870989355867,0.02202292206444646,0.020449430639723872,0.02019787339565006,0.02159854182982775,0.025641271886380716,0.031854230989979,0.0038630934889922397,0.0013347592867197756,4.0885425663732085e-05,0.001657348934673476,0.04560605556578709,0.015888537927426803,0.038977122466263295,0.02247379301180441,0.044115795513534506,0.010340105597486028,0.01002061580064733,0.013961287046407103,0.012257428188855123,0.004068813326380382,0.003989727694886076,0.004083761354070324,0.00413325873367703,0.00394746751507986,0.00382676627636177,0.004107069770386672,0.016636757156966497,0.03585012263076362,0.03259649290903249,0.020039489414749312,0.020213416495202956,0.02087622761238181,0.019742306425175844,0.021076301091180978,0.01965706187226246,0.019387769265084547,0.02111847903177712,0.021024558922387374,0.020548836252778358,0.01919120762764281,0.01989640391223536,0.021658241381937587,0.02509444771367892,0.02520018072365067,0.030261487794004796,0.037483580500355634,0.03734081938815449,0.03765171184365195,0.037526249498960974,0.037437191590792965,0.021333156733199646,0.02196409073303155,0.021846715480196142,0.02344389864831328,0.01858776240339869,0.021991177262232667,0.02194871621154331,0.020442411963123637,0.02038237129328323,0.02155229295025138,0.02572294853819957,0.03166781083460966
lapgyn4_anatomical_actions,0.007548209285775137,0.002090435815692933,0.0016198747745014785,0.0,0.028343511901320798,0.029427702764135335,0.051748681873479446,0.020977130916883687,0.030398245147631706,0.04485632822665894,0.022368646150673008,0.020840391719463836,0.027208834971726097,0.02604942164776579,0.0494051510249627,0.05101241853490259,0.01643531389726709,0.016119311228368526,0.018676122587546827,0.016654549015352342,0.007603451153252058,0.0077315532660974596,0.0075830001400482225,0.0075947289975286675,0.007594929374437313,0.0076479005883178484,0.007561368896671394,0.027714236634003995,0.01947127449558058,0.029937701240986537,0.04350211497639239,0.037595593628819514,0.03812465953224547,0.02409908179363286,0.024434703001729598,0.025105767600806943,0.023983951871746893,0.025314248797907273,0.023852608183875468,0.023966406548034978,0.025591164687636007,0.024891988175719484,0.02458303638131344,0.0235891479146308,0.024167923448530124,0.025622357924418523,0.029707232528311152,0.030394193797767033,0.029722044427175676,0.037541759902332716,0.04439452331118417,0.029893436379299747,0.02783144426559933,0.04449983211352866,0.044466799387599606,0.04450909401995572,0.0444944565147307,0.02699653545328759,0.027690774511437838,0.027753139186876406,0.037884341362353316,0.0554511512248452,0.02712422735618499,0.02335807022793183,0.02677629763222749,0.025410372791834748,0.024319164229159952,0.023824652948383557,0.025729929715025083,0.029942350204503913,0.038330934390923554,0.00766427722223881,0.0023901823568208834,0.0015785028055752635,5.4545023518242137e-05,0.051935762594311874,0.02098424222356362,0.044491587359184535,0.027399458095413373,0.04920643477552776,0.01643606011787541,0.015959385850159845,0.01875135638956706,0.016634400467820522,0.007765080039772236,0.007650545453937612,0.0077125056516079895,0.007798985400080551,0.007423139032208854,0.007485463071279842,0.007784152087059168,0.01955154292445411,0.043446456654643834,0.038029497919222104,0.02428359757805766,0.02443267544319652,0.024989394256176183,0.024049774641053262,0.02525025588054003,0.023963359815570788,0.02381187270900606,0.025308758519410827,0.025056722241250887,0.024758316650373112,0.023593472550992447,0.024081072953527148,0.02564796367215864,0.029750124068002714,0.02976957310937993,0.03713364369631868,0.04448551904338968,0.0443617227917658,0.04468367438585423,0.04452279503404581,0.044466358386209916,0.026885523898105168,0.027776114503986354,0.027679657158102222,0.027164138889958153,0.023176153037698564,0.026658461232533275,0.02535926309406966,0.024349320440775132,0.024043602778278567,0.025715397966755635,0.030032867626048634,0.03814773221679234
sklin2_skin_lesions,0.01896332833197749,0.023597392864641138,0.02167464610801331,0.027507486344614945,0.0,0.02004968660301641,0.03268082735446012,0.023573251023037492,0.02210899387080044,0.032760909713742646,0.017238238072981138,0.016834427060362294,0.022196661826698008,0.019304589258797925,0.03896295191200838,0.03900570232133364,0.01359035831044467,0.015133520245202554,0.023055483001945442,0.024302723486838016,0.021549152847191923,0.021731518849944922,0.021742982736318757,0.021573546823886656,0.02162777715748641,0.021614497167491212,0.02165348699531185,0.006810212466428954,0.025549150279232335,0.016346805561469165,0.027623105799293307,0.013244687516952063,0.030248644161227956,0.025372371671938298,0.025969713400646046,0.026932211570266065,0.025155765062124205,0.02713168663904649,0.025141584649819564,0.025017243085262573,0.027295425506540686,0.0270364492632877,0.02613791188003199,0.02434502082416371,0.02587309479772225,0.02756841480553842,0.030507374679705462,0.006286416224242009,0.03117284249615974,0.011181660346893413,0.024949531093275464,0.035450217169719564,0.027219436520119676,0.0250598066815432,0.025106353207909663,0.025143276576917423,0.025186979896034863,0.01851916362519034,0.017189651606971404,0.017310442972729857,0.024396131091916524,0.03738281158441859,0.032258557025259676,0.025404086120356457,0.02750113249764585,0.03261028512607565,0.02881549910571679,0.028964191434853383,0.0283646226659734,0.023199114273754356,0.02084752550683446,0.0188074322279265,0.023576520392256724,0.022081010994210042,0.02780043547949601,0.03283801951894923,0.023445999228781815,0.03246613077119309,0.02221902780806092,0.03882537502619801,0.013613998633571323,0.014877932915888873,0.02313835648757281,0.02441675870428744,0.02142576159478202,0.021622801952662075,0.021938183503219192,0.02189432300563148,0.022085266983509152,0.021440284606468425,0.021348513552176394,0.026190675923085577,0.02761737641374116,0.030055491588340675,0.02584145719889675,0.0262769806061136,0.026819309443013178,0.02550434985009912,0.026745796131116627,0.025174472874805565,0.024624002047433702,0.026976421395061595,0.02729080222759589,0.026240810511375313,0.024338495896298447,0.026183347412705345,0.027801000610704875,0.030734334754299444,0.03108739144534562,0.011031248681449125,0.025066505389916612,0.024951678244838,0.02525725523506668,0.02507161287622456,0.025066152540364452,0.01836295357205483,0.017196874897286267,0.01725070919686891,0.03235058101186451,0.025244728357910428,0.027617197991291875,0.0324395219995511,0.028722955884739717,0.02897166180888041,0.02809236027086284,0.02321391342466271,0.02067572041136145
identify_nbi_infframes,0.0209028916645472,0.025957111547719878,0.023683094330119326,0.028655104640695945,0.01865351093633655,0.0,0.01437375374303533,0.031200494005518217,0.01579565948013842,0.01907940334841176,0.014496697073084739,0.014473339557901747,0.020733894732055485,0.016796804126562988,0.02783238141399794,0.027159082383694626,0.01949290293653374,0.020836194406603566,0.028854601103882632,0.029630636799630305,0.025848261089855436,0.02611039368446813,0.026005705735523056,0.025798375138648702,0.02596297420464265,0.02594115880355619,0.02608640961574877,0.014680676725254816,0.02521424262834541,0.015793027328037595,0.019792864878329194,0.0172018995789827,0.029267698651654628,0.02869360962244632,0.027988277074831317,0.028219434753938174,0.02877024728865763,0.027998511967596063,0.02838915296824946,0.028471449346483428,0.02818905752107175,0.028923093611154443,0.027972056834474245,0.02839711404715906,0.02768756955467982,0.02819185452678899,0.029127045858682313,0.015023596485270307,0.030393799387609173,0.013125618971467488,0.029298577529159618,0.04024584063912051,0.030901809067408664,0.02934188957724093,0.029436723773846936,0.02942404134898101,0.029498978447599647,0.030526232370391846,0.030007253837679156,0.030055572012829438,0.016268555875319998,0.03909579862957613,0.030962160827213644,0.02801553988205597,0.025247448284565762,0.035528160047808136,0.026704533572613605,0.02841321770325534,0.02819036084550325,0.02338331624750352,0.028850258052489364,0.020742313428746544,0.025149830795535393,0.02402636414272832,0.029157329754156497,0.014391583904775438,0.03100251548997243,0.019175370463733528,0.02067468748663961,0.027628156717188306,0.019326004819140246,0.020458570874837923,0.02907261765368834,0.02963169272177945,0.02573420030447521,0.02571147255083294,0.026314898864734676,0.0262911199265585,0.026411881595246385,0.025716792191055247,0.02547609263313458,0.02597855942154297,0.019921647587536704,0.029109931255363538,0.028906742107762843,0.028340511665902325,0.02821355515399972,0.02951810063967713,0.02743027413366088,0.02821537273199402,0.02797356364716857,0.02797839647826692,0.029067375262364532,0.027953737547307032,0.028704557431905846,0.028082679148943364,0.028585070084974802,0.029521344591730034,0.03026360501862556,0.012971394512786052,0.029342022692773088,0.02938797465902189,0.029462036862785777,0.029362932010503474,0.029410388456877122,0.030638668492714304,0.030066591654618044,0.029808007538206317,0.03098590332177903,0.027939773589182603,0.02543412267037677,0.035289034979658504,0.026650380779751123,0.028212410074886392,0.02785863307531806,0.02350448012704567,0.028809255013600283
laryngeal_tissues,0.04505051032775596,0.05219147432035078,0.048445618308225656,0.05385301329706224,0.03402625795300803,0.01649422136912371,0.0,0.055192808460851187,0.023484466243207686,0.01877717159599914,0.024413473375991927,0.025735535444841938,0.02848891032681505,0.024031999612158204,0.03142208803848092,0.029926059846403574,0.0438499591728635,0.04522616885389105,0.05374837787959866,0.058036458760390826,0.053567236177774126,0.05391271063143891,0.05377938711590143,0.05351020438736534,0.053693958196946195,0.05369604675248512,0.05383656076020423,0.027834325387522417,0.04926726688538763,0.03624957846333158,0.03101822969066595,0.026587483052217167,0.046027634653811704,0.055024804414813444,0.054474643549268766,0.054255894822771586,0.055365690136658575,0.053927041491795724,0.05481143386372873,0.05510533442252927,0.05416329670314629,0.05520376289378702,0.05409542934194194,0.054955239112804866,0.053665100142820485,0.05387991394540379,0.05302990577836912,0.030379274545463176,0.05483416449119312,0.02086429304684621,0.042626294336044236,0.0665770286911632,0.055078505939796955,0.04269923338176178,0.04279960985818927,0.04271263536398582,0.04286369822454334,0.04969146325835851,0.048953989837042265,0.04914636964203021,0.030601117304487477,0.05100491771505906,0.04973815744053608,0.05141996968330905,0.04587903989966996,0.05757618350628824,0.046985156463264906,0.048572094894996795,0.04862863843322574,0.040111027348800496,0.046407179773550876,0.04486313448626818,0.052000047387592105,0.048939511707005286,0.05441142143100091,1.2312394880193558e-05,0.05491935714786382,0.019164734648032228,0.028253427449583653,0.031142470398369163,0.0436901571021723,0.04493617758844931,0.053964330150998704,0.058058282132334466,0.05344979955954546,0.05346624238455721,0.05425066788692515,0.05416726166908433,0.05421615657056029,0.05335973526393456,0.05307662784433083,0.0504560145719801,0.03113449058888727,0.045934126409328056,0.05532247599293705,0.054998705067463995,0.05421489138274212,0.05630996900631719,0.053236393863764414,0.05462912292351164,0.05446227521790238,0.054073659151218104,0.05528253748218751,0.05397476731079517,0.055361543725514176,0.054155220132524835,0.05447576362544686,0.05361202167444322,0.05464179235199223,0.020961816828778516,0.04266707432213687,0.04277550827039564,0.042763134636445765,0.04260590202090298,0.042775084842741215,0.04984435774422825,0.04898324777340997,0.04886054509952487,0.049807737970854034,0.051237726849851596,0.046061483554386086,0.057354813970052924,0.046916113711182615,0.04832112631746546,0.04830214653174359,0.04032905580492177,0.04647004706133561
nerthus_bowel_cleansing_quality,0.01701556942127765,0.01663624401219522,0.016967465141520647,0.02122467911812688,0.02487816282356663,0.03217574554042473,0.053700888152073495,0.0,0.033782752545620534,0.04223642028269386,0.022830060038102635,0.021200875887703093,0.024964024384401203,0.023601357354392803,0.04956713771651317,0.05117250157966823,0.009058148081369764,0.007246195554740641,0.0028520668998438165,0.006502497983328995,0.012648413427468428,0.012637825460137524,0.012615609878279014,0.01266664846969369,0.012661052760602164,0.012630185081216624,0.01267879214872217,0.025320392363074335,0.013919248367876572,0.02932966209730475,0.042026343464823326,0.03948155862204622,0.03256783818308674,0.0219849181281421,0.021487301940832124,0.022386163228903383,0.021568729807177948,0.02241455806850084,0.02145654487351644,0.02122619039726613,0.022780457689517794,0.022665251035849578,0.02189658913046746,0.021160776560616393,0.022213391768279567,0.023107151134565424,0.030693026964723338,0.027473845727950887,0.03063787487345226,0.0362888949916718,0.03826130123899141,0.03215942222703596,0.02077531397468248,0.038322836192624346,0.038273363718958196,0.03840556468470021,0.03833601032794681,0.015486253235850796,0.014867726877981017,0.014683704047357663,0.037161859933108735,0.04968443677474583,0.02729663838209115,0.018302524517982366,0.022987051190339846,0.02455292304657292,0.023843809610322463,0.021703301187197422,0.0226240559657115,0.034197422573590985,0.030943665224654863,0.01705288932798087,0.01744468040025436,0.01703194566308282,0.021122117082198293,0.05391691518896768,2.98418578745396e-05,0.041609373160147914,0.024992144541528413,0.049510596952456486,0.009079625660949397,0.007515718671601135,0.002857040701278247,0.006485582659748347,0.012484442891251312,0.012761256900144699,0.012757235741194127,0.012736973494057158,0.012849725760014055,0.012635729607200616,0.012583130072694421,0.013977973129659446,0.04207135838171919,0.032387664311398376,0.022314911398240263,0.021595280738090902,0.022291758445113077,0.021701800556341595,0.022341698898271097,0.02152475458937694,0.021099046917943884,0.02250270986715812,0.022949901569161327,0.022123015495948625,0.02106879522989921,0.022158873221141108,0.02318116430725876,0.030642769839919315,0.030730257973246328,0.03587209949468139,0.03842510104669062,0.03816328357670817,0.03843546995942698,0.03841414635295055,0.038246607320569885,0.015339143634183917,0.015024410608660726,0.014574797285645046,0.027429344970123937,0.018116351326776907,0.02294398077425892,0.024509535649094687,0.02377602777431792,0.021913139161494385,0.022563610305454496,0.034273681989112716,0.030645182632486404
stanford_dogs_image_categorization,0.0233468410470395,0.026630325916115867,0.02418014876249513,0.028140647650299746,0.02047374297360929,0.016351326341053067,0.022644792939683796,0.03185143249730121,0.0,0.02338712443564088,0.006050324961982109,0.006404622258917402,0.012081334275176013,0.011207630277018175,0.02770921477193816,0.027586878762819587,0.022893434048928775,0.02427996784042633,0.029894471264403404,0.031482188175777824,0.028552877876927982,0.02877092235469984,0.028674378133524737,0.028519528930796664,0.028615517142707343,0.028671865056493714,0.028688603423251875,0.016836378666209597,0.029184898129938547,0.02038205235413508,0.02412420506912254,0.01813464745231031,0.027303410775674483,0.03155837685767187,0.031150214513163604,0.03131703384637531,0.03170837196375784,0.03118480450992903,0.031360107161298965,0.03145239453494064,0.031346419540070156,0.03182232639906325,0.031105887890476844,0.031594930416278755,0.030814403864488055,0.03136125795670245,0.03260537599744146,0.018765696913258502,0.03370792865341431,0.019283138265194597,0.029316519843849587,0.03990264989438438,0.028889793275486714,0.02938726218301448,0.02944795482446299,0.02940223054596236,0.029508265167328344,0.028639747157591173,0.0277340206192673,0.027869359576173904,0.023111548038056803,0.03777492668851617,0.028146357937212624,0.02857505008783167,0.025112670746944094,0.03332623005025083,0.02438084134912851,0.02618119699770665,0.02608897218239468,0.022055535937800682,0.02902718593242918,0.023126327853690114,0.02604330656104796,0.02449870468696515,0.028542471562082367,0.022669095077505936,0.03168107110165489,0.023265844167104185,0.012245270210583083,0.02754727007350398,0.022767232929682118,0.024057084797136953,0.030019409960546813,0.03150550954179483,0.028538163158605436,0.02857815904880126,0.029072233558102616,0.02891947813367453,0.029017816543501142,0.02849628683801657,0.028262771358894535,0.02987222286417193,0.024156644958691846,0.027301236383569252,0.031859045683636955,0.03147053040412175,0.03133986537918172,0.03230841420348499,0.03077288625493737,0.03141325470581335,0.031047105183706996,0.031214877498280353,0.03192112353640362,0.031092500792494468,0.031734093698133854,0.03097090461170563,0.03174990783231176,0.03292237519147543,0.033621281544461264,0.019204997912685574,0.0293495926441993,0.029411176385842584,0.029506790999091613,0.029346463619779557,0.029432890243656782,0.028613497074990887,0.027820615829257805,0.027643820322772007,0.028163710262967837,0.028306372246797003,0.02520747305715823,0.033159295783543895,0.024327180803534527,0.026089663169480144,0.025859814873965336,0.022128712288441585,0.029042217100618897
svhn,0.04311711945757478,0.046012856179926925,0.0433389848723131,0.047481286534095904,0.03628387158581624,0.02388631356688179,0.019039847735404288,0.04525608587479252,0.02624479710584761,0.0,0.02218273311637374,0.0224611647391449,0.013948381666424764,0.011233434921449048,0.01908789317487412,0.018511921349556017,0.03939971775109225,0.040278533876523956,0.04412567834897288,0.04690304720931458,0.04565452540213897,0.045924085455370176,0.04577367779731301,0.045629703082619294,0.045755702411434215,0.04576326692821554,0.045890356302496826,0.03275985913591123,0.04171188505226231,0.035434083885109664,0.033034068527283675,0.036261628549412325,0.04342440618648323,0.04535636960169458,0.044591212895052634,0.044581107748126465,0.04541424710357508,0.044314201082183105,0.04505078262405871,0.04516710774021618,0.04453834446350546,0.04529919452691486,0.044411587679366364,0.045094569947776844,0.04408374407128011,0.04442628898001577,0.04609190027829196,0.03476324867297374,0.04734475182606884,0.031268471040787234,0.04560150702003091,0.056384918057700406,0.044331189146355955,0.04562447701598109,0.045745537247409145,0.04568753110257831,0.045749292051060764,0.04301346536651254,0.04232132183385778,0.04256591130129481,0.03432416516457472,0.05437372000668489,0.03966753532150717,0.04178208001408675,0.037504582899486494,0.04594612599933402,0.03765077337509845,0.03685084648863021,0.038495818238797046,0.040373600424674735,0.046419939242909596,0.04310087387170528,0.04577928817477471,0.043648939607648776,0.04778583524881448,0.019170594948752118,0.045018188359318825,3.9000259938355006e-05,0.013720576271469637,0.019011101208531084,0.03928787064540372,0.04009413079887701,0.04425225849370905,0.046996474528666586,0.045505005120913156,0.04557404483319359,0.046176869729135164,0.046150260044555996,0.046123649724983895,0.04563084919244948,0.04527210658176707,0.04257102207576262,0.03304161569156156,0.0433341313449448,0.04565589000212304,0.04496143699303603,0.0444965717386141,0.04615317921145912,0.043793887909306314,0.04495068632412369,0.04472538890079668,0.04445881814876568,0.045408692689098015,0.04443434590930321,0.04545778039335349,0.04437189344574498,0.044835423339436256,0.04655159023729696,0.047199404694750174,0.03129752636424182,0.045658265112142216,0.04565352215704542,0.045719820741074634,0.04558439046293812,0.04567403860325938,0.04306057669331831,0.04226892479771063,0.04231964399564483,0.039766866453622485,0.041664694816708356,0.037624723803625096,0.04582923795457185,0.03762488454950608,0.036702214895379434,0.03826765368917069,0.040519554879848,0.04640742596410981
