,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.003907712781345242,0.004337747402245191,0.009345982874317841,0.021471398456705412,0.02216909684960644,0.050666875072715514,0.02239641281271561,0.02311320447056981,0.05144710883792013,0.015776487312591108,0.015518319051280543,0.028550002843355085,0.026194770006988045,0.052055044661075,0.05486590917896712,0.010115087579282582,0.010214119453760596,0.01661401761085446,0.014653613936576144,0.008332567467438571,0.008540826116566726,0.008421056711710864,0.008383331327407666,0.008342798170207793,0.008358014657110648,0.008326485590234576,0.020742606537951958,0.02283066195843389,0.02315604175669433,0.0366882229034716,0.029057855671029878,0.04286409665926982,0.02619131685954154,0.026442225302187268,0.02779222173771538,0.025859127940167773,0.02805874655980294,0.025710387843409097,0.025663124475690937,0.02828710042478768,0.027622924553354057,0.026864490956686086,0.025375290463430424,0.026066972503552093,0.028765053825247078,0.036123719884355164,0.023660691800044212,0.03661230279343482,0.026885034185487728,0.047776713663465344,0.038970949523917886,0.031964235181343295,0.04800980862940653,0.04799385077799524,0.04805650953986842,0.04812289796545222,0.031873998656282196,0.031113635292166777,0.031119650782085766,0.037863698805777606,0.06565381836003359,0.0372979688303612,0.027935239270843557,0.03356006962509489,0.03454801251764196,0.03173529201744839,0.03113829647185241,0.033340385048603774,0.03159344634530464,0.04284320548011096,,0.004738436690077348,0.00435223942494453,0.009675965616903653,0.050553489014436424,0.022360381806476683,0.05098484359743717,0.02880639552647863,0.05181585014289757,0.00997985524726891,0.01006540947645975,0.01677516631926624,0.01455630967500558,0.008435183435392846,0.008355687531630355,0.008489745142524947,0.008771007474144244,0.008658086374019868,0.008138177259329625,0.008657080888890167,0.023269127751438558,0.03683998776637836,0.042528726027661674,0.02654942567640658,0.026529396916873463,0.027601400170238384,0.02620065856967393,0.02788585195600424,0.02584682611003884,0.025335742027711706,0.0278847132721211,0.027953128089844032,0.02703806219882813,0.02539307731752594,0.026138685018952446,0.028942375033889547,0.0362632044585642,0.03655874697566632,0.026600068119655207,0.04783592659210341,0.04795441041106561,0.048153427304818266,0.048037964067401594,0.04795545648345195,0.03172191376862132,0.03135836448851164,0.031008012908284352,0.03743062761518313,0.02772195623986774,0.03355485251218605,0.03436736409360577,0.031702290405972486,0.03142965637823432,0.03317428893126247,0.031640060181278004,0.042534549320482284
lapgyn4_surgical_actions,0.0034533637207677026,0.0,0.00123313671098562,0.002487911152602371,0.023631109316892624,0.023322642299729614,0.050282411491258026,0.020549199050873858,0.02531761012143059,0.04862671683057509,0.01713795345940693,0.016443470232631003,0.027501105426264463,0.02615700194468819,0.04905102436956619,0.052727485233798166,0.011726506108635902,0.011477226984761746,0.01562392640956677,0.013388637359906525,0.005995939758207036,0.006175575178136515,0.0060355764792679985,0.006047130033958599,0.005991097364104513,0.00601518462677559,0.005958233232610316,0.021947498664895388,0.019625781906614476,0.023636302376776018,0.038160390602907344,0.032448472781603684,0.04177395882775613,0.02451969856079504,0.024559623270493443,0.025666641276387354,0.02425132389410672,0.025893955065345583,0.024046499961520987,0.024042585440871497,0.02621166405791776,0.025576851862318076,0.024899849067249007,0.023778338640621892,0.02441728683771969,0.02651429142508368,0.034244214400415814,0.02457706441307967,0.034481351672394064,0.029502604592862837,0.04850039280208802,0.03556505865893503,0.029588053708448653,0.04871483784785998,0.04868612157783805,0.04871139524856644,0.04880114574777507,0.028676409404562613,0.028711864646508073,0.028829522750856946,0.03678644014074202,0.06426843658095091,0.032801178679051246,0.025166407675778147,0.030841602423150646,0.03035926849618103,0.028131697251296384,0.027820718272670263,0.029666091307320005,0.03166909372622263,0.0430147212502739,0.0035149069199272407,,0.0011237664063513473,0.002577168921277549,0.050154458315239396,0.020512885073340047,0.048133565190219135,0.02776136003671508,0.04888241596636969,0.011680514802764322,0.011306453460047734,0.015727345474444848,0.013343174167363095,0.00613111913668179,0.006022064618467157,0.006052349793837682,0.006333758718881133,0.006064855622051561,0.0058582667719337,0.006334010242283141,0.019859239767460044,0.038283106769717606,0.04147531575531248,0.02479375745905287,0.024531199890967213,0.025480837491866488,0.02449975160353767,0.02579774348095007,0.024189579221580364,0.023825491564548502,0.025831457660839573,0.025839910071636454,0.02509948217119335,0.023825902085393567,0.024373047637060895,0.02664665842160146,0.03425958477419278,0.03448761442521858,0.029241166938791367,0.048525006695073314,0.04866093915590219,0.04883415355316467,0.048705847697479134,0.04866314895917864,0.028549573730806542,0.028922418597659687,0.028700321757410333,0.03292980327006477,0.024941066259875393,0.03070645870144857,0.030244970529650063,0.028161467399182943,0.02814604459453176,0.029617930397716943,0.03168282258337574,0.042712891142700195
lapgyn4_instrument_count,0.004170986444931726,0.0013806355669251206,0.0,0.002054767561654346,0.02297980192768918,0.02193630644971107,0.04951467528551087,0.021371523580552377,0.023786000455226382,0.047977938466832334,0.015727735245146427,0.014927200406026906,0.026999390491664842,0.025407896034245134,0.049418272404021496,0.05266840503117657,0.011548884753842303,0.011235303316442364,0.01688885451911631,0.015355966474710426,0.004981711460069032,0.005167420764419516,0.005027402370367085,0.00501863908840067,0.005002730000347022,0.005023121429571522,0.004951688791160344,0.021856564804740946,0.021510286895566586,0.025755270437039696,0.03761516531864158,0.03127680328544272,0.042411029236031295,0.026383588257845165,0.026610790866082208,0.027896309822898317,0.026091081498988415,0.028138177143077085,0.02591823236863452,0.025905310256494632,0.02843127386352789,0.02776914878645071,0.02697136634611014,0.025502073883246847,0.0263486004168469,0.02882933936457266,0.03583591592825327,0.024729837044229874,0.03625123895762789,0.029628184220756932,0.047035514849511025,0.03809157010192368,0.031171775943701293,0.047235575451471154,0.04723260041822304,0.04726384134068188,0.04734716792854727,0.027949443570294955,0.028533660861158498,0.028694842503298106,0.03890311026502711,0.06315489946804359,0.032648571898172295,0.02518639868382462,0.029259348435820277,0.0312860314681398,0.026936824688807582,0.02729920852825819,0.028519589076471116,0.03249045181238636,0.04167761544334156,0.00420417504778759,0.0015630447365718103,,0.0023012405727408404,0.04939837771757956,0.021344336476032507,0.047495315887677324,0.027238346874925014,0.049186820624141356,0.01148866901894572,0.011035152242707813,0.017017859553559275,0.015290619552667115,0.0051407767610465145,0.005006397998501279,0.005121504395901657,0.005284390835758838,0.005038353289264904,0.004822261819972622,0.005226683085649761,0.021875379633787065,0.03776673611246395,0.042108586220027486,0.026759770612609673,0.026628533435370284,0.027667844761183856,0.02640367627151733,0.027948468884695182,0.02607590361738449,0.02564341035147952,0.02803975928584957,0.028110158739478648,0.027219683349633192,0.02552803381931971,0.026372667876569823,0.028987521116092346,0.03593331438708098,0.03627619545722244,0.02942271460851688,0.047066499714711614,0.047193943665866364,0.04738936350103547,0.047247770458330174,0.04719101035360269,0.02787425408256146,0.028739635727659186,0.028574682436868178,0.03274482114253231,0.024913061032459386,0.0291379821592384,0.03116245067261334,0.026947952855481544,0.027559199083008835,0.028429486851685972,0.03250759596948286,0.04141937846817837
lapgyn4_anatomical_actions,0.0077121402870746,0.0024157040914882556,0.0017393439987378582,0.0,0.029185782366274744,0.026737157490295472,0.05361484883803907,0.026142750127938617,0.027655988769420593,0.05063048140108248,0.019570437808440155,0.018752454583946546,0.030240112215348617,0.02897645226836011,0.05248640971252395,0.05553313061748304,0.017274378608639812,0.016719617732485325,0.021182465329368284,0.019401215720749116,0.009076429095493714,0.009277356072849735,0.009090754972678599,0.00910901371731796,0.009077527466671946,0.00911883712826438,0.009016180064057905,0.02727644962602712,0.02406483526796226,0.029348424033751902,0.04303376809926911,0.037838813601872016,0.04656661235597278,0.02950444223684591,0.029573136590699177,0.030624838414550232,0.029331370478604412,0.03082539683158856,0.029052913394697864,0.029151937006712054,0.031173903595518096,0.030524186752814694,0.029830815420351223,0.02878718846373912,0.02925534173080553,0.03136814323065195,0.03914959821473167,0.030263341418059787,0.039439853515883506,0.03576620054070514,0.054137296875777875,0.0403201049199276,0.035513814502214365,0.05436044115898511,0.05436109213629215,0.05435054689980338,0.05447139266221017,0.033172022063501526,0.03399929782832648,0.03423021790086648,0.04177705163369833,0.06970591479424647,0.036316275564823634,0.029264743503973067,0.03372217900048748,0.03441751233159924,0.030762908083563217,0.03055059084590363,0.032799053292491526,0.03634262660186994,0.048147059957801726,0.0077130855044807165,0.002762207683088329,0.001690435695444993,,0.05350675541493428,0.026093338615375338,0.05014898879751817,0.030522169873685136,0.05225110286265137,0.017212629545344776,0.016535117008895952,0.02126191236964619,0.01934425319293108,0.009306537592953846,0.00910074829467138,0.009211903469091186,0.009433665166512315,0.00898802679996002,0.00891876819181353,0.009372996958665256,0.024335107479644714,0.043202142351878574,0.04632024715769543,0.0297949549786753,0.02954599939836145,0.030426124715670327,0.029608452152404072,0.03068366772807099,0.029218131175251783,0.02890376006994194,0.030790012273220736,0.030791633265346226,0.030076972320808488,0.028884907673519183,0.029218042849946613,0.031527681048772974,0.03920332218410221,0.0394512487319232,0.035584936775598625,0.05415530595446706,0.05432069284769718,0.054518570854817996,0.05434103421511195,0.05432450490879156,0.033099613128679935,0.03421122874386146,0.03404957224668956,0.036446227216841376,0.028962541209576705,0.03355221431804367,0.03432673010926139,0.030793932060103654,0.030833651598200604,0.03274366309984687,0.036358385685853235,0.04788436408283765
sklin2_skin_lesions,0.02807128842477153,0.033469377447311224,0.029777992265646445,0.039388107761248875,0.0,0.020159894047610167,0.04362121173761923,0.03452587069163356,0.023055854471904374,0.05050169607304793,0.01714645445287728,0.016354348576785572,0.031404621245799194,0.027148585472301427,0.05918130738502864,0.05849006419484902,0.018520561401311322,0.020490227221914122,0.03186207897405002,0.03301482856329858,0.028662814681232423,0.028955315435172897,0.028894117102700193,0.028721533040013496,0.02880459407983753,0.028803254310826986,0.028816538603441057,0.007324671057237426,0.03570413972680686,0.021390541413850127,0.03701088250068839,0.014982226724443062,0.044731349677428575,0.037740631106138074,0.03828642303285927,0.03980475200186014,0.03730803173143273,0.04007911782069725,0.03716947325714393,0.03691541088570458,0.040505988692958975,0.0401900689127886,0.03855784997883562,0.03582950311770085,0.03830542349726468,0.04089680520817663,0.05009059979503668,0.006714763032737125,0.05099412107712567,0.011977046307881304,0.03490131715426986,0.05544813795675503,0.04033431383098595,0.035188094379175236,0.03514219500058584,0.03520826486095275,0.03531451866998485,0.029620848906209946,0.027602638766353018,0.027809797115298705,0.0351205141513243,0.05428255079976693,0.045795940069989896,0.036695448738069576,0.0394301690559518,0.04776489312457722,0.03980029134509664,0.03923594286668516,0.038596349385117565,0.034173403957227906,0.030165144656618865,0.027833918109900806,0.033194117837153155,0.030546822631947204,0.040071683316805135,0.04353559549821932,0.03430892609539313,0.05016310836218904,0.031643586751311,0.05894479095040172,0.018609343085459074,0.020039784101993616,0.031945214286069626,0.033174239523779896,0.02846048101840122,0.02880015359785379,0.029267209615317875,0.029163978054875913,0.029559367436463303,0.028519080856889742,0.02831503109728433,0.036770592998092426,0.03710313662663414,0.04443233714872057,0.038512132619745745,0.038781650208997744,0.03947149218060104,0.037827411054212896,0.03944838511662854,0.03729049467241956,0.03640955283473417,0.0400331285244123,0.040575313980743793,0.03885626005025776,0.03584501874831687,0.038672627321850075,0.041300815978330914,0.05036793215040218,0.05094668082719308,0.011973186934554889,0.034992991752860206,0.03505503790895313,0.035449965278450214,0.035168477029943274,0.03510982783941769,0.029414728034953562,0.027593590729657596,0.027812503864186572,0.045935416275138516,0.03627537380678536,0.03971016291685454,0.04760907978284869,0.039672426714173134,0.039235627483815504,0.038189036305817735,0.03418536275314613,0.029961811764662574
identify_nbi_infframes,0.027977294514278245,0.03311860036276975,0.031083221548547913,0.04075827932839852,0.03126866376718512,0.0,0.031248776442013702,0.04381297548875948,0.022519626347352485,0.04128622236672983,0.01672509330008437,0.01625732649257157,0.03237776618684066,0.02666322893391787,0.053701464958126284,0.0529560478688741,0.025369171528521972,0.027011387296587867,0.03857114840959942,0.03599163247416241,0.03236031304366973,0.03272943455690491,0.03255665104553139,0.03235990805959158,0.03250251444764995,0.032530719868762895,0.032672167426806585,0.02395180158052589,0.03708678721521273,0.02564038244614337,0.03622799361190482,0.03096562880952114,0.05390500892172824,0.04138316139950615,0.04010030445708527,0.041225640265525096,0.04121867273306685,0.04101131667407316,0.04056001579562064,0.04055308078964625,0.04154289226395561,0.04226094227334598,0.04047198885884707,0.04032747446365354,0.04031834043760586,0.04184048950686372,0.052863891904648665,0.027684407206229434,0.05421112740700512,0.022657763631877603,0.057704554601572075,0.06355645883306894,0.049029946268283546,0.05787168673622962,0.0579759420882897,0.05796436034898852,0.058101548916852944,0.05133881767804689,0.04988615836597108,0.04993110023993714,0.030022014327130565,0.07745685733029033,0.05151864533413683,0.04053187273291549,0.04236389659941374,0.05426684395604474,0.04353173328870239,0.04367964175428023,0.04478481554010662,0.041957669547607934,0.05582899741828535,0.02777039227805048,0.03225127697559933,0.031560939591890734,0.041571418927832754,0.031033170692677754,0.043542989995381635,0.04129516635894834,0.03257780881610409,0.05319634723114031,0.025150524006060916,0.02640507069427445,0.038825551646051726,0.03602228741488735,0.03213213084740204,0.03222064490960188,0.032997239548223825,0.033127735488780466,0.03328012354751846,0.03227731960729587,0.0319965569904399,0.038201055308713365,0.036626610232091905,0.05343473162739814,0.04182103963834023,0.040580540841448805,0.04111330327979925,0.04216548795956571,0.04028927010822027,0.040429403574432046,0.039890194489047834,0.04105531781970534,0.042613399261060655,0.04069461485056348,0.0406607949791762,0.04066417750440086,0.0423734580156604,0.053236388760803076,0.05412680412188226,0.02245446118537646,0.05778105032349585,0.057898506765037515,0.05807077891568422,0.057862929823522875,0.05794206364694689,0.051299206204072856,0.04997316350748961,0.04969792428289651,0.05170092096147011,0.04024028811719634,0.04272429636555648,0.0539224136960864,0.04347489006762539,0.043522407790413435,0.04428502752192609,0.042114233027231406,0.055523373029973205
laryngeal_tissues,0.060139595149125605,0.06568464935651284,0.06147164284623687,0.07211442210471664,0.049420857141982036,0.020759639483321726,0.0,0.07380580958471601,0.031489786664711035,0.030683061758298096,0.026106271792049794,0.0269400452221299,0.032638147914386115,0.02638287098566965,0.05686122484630918,0.0541920920353014,0.05571426158967065,0.057124064072381235,0.06968355506217351,0.07141675532626104,0.06639646650214513,0.06691249052431922,0.06662033437909566,0.06640200218863367,0.06652940241309975,0.06664054645450698,0.06673502648770928,0.03868820947604028,0.06859551759411736,0.05397662311205324,0.058835933722425175,0.04521600451835234,0.08045890007008669,0.07536146980942472,0.07483919052972694,0.07567797959232996,0.07572872237558431,0.07546594147961816,0.07479144019448987,0.07512329238393795,0.07603923202952077,0.07678062912479927,0.07477455531210477,0.074925529140511,0.0743731159803299,0.0760655629805124,0.08351651235064611,0.047328387960114286,0.08528851399056225,0.03297033131116984,0.08203681342422184,0.09855383460822792,0.0831931764077549,0.08230155817640844,0.08235931309202839,0.08229480823034534,0.08252502387580694,0.07223629385017717,0.0705075488674427,0.07082344233366142,0.05213137229225992,0.10395318901493332,0.0730542628925336,0.06996704241844748,0.06894802811425595,0.08187696605753249,0.06825410389782091,0.06831550972426494,0.06790706493090637,0.06469711485314128,0.08278850922792917,0.05997834420019411,0.0664735158982153,0.06228439303427579,0.07279291460646255,,0.07346070505230738,0.031187972622634737,0.03263238910265989,0.056087863220085486,0.05569770844749431,0.05657353513187953,0.06999437692300052,0.07151983789203774,0.06610447324060383,0.06636819401064956,0.06731723779595661,0.06739002762157607,0.0674732134563629,0.06618637212250203,0.06571975640309426,0.07027419169758832,0.05918721633592182,0.08000531897212859,0.07618390459747278,0.07550336964959731,0.07543409424935013,0.07683965612995125,0.07459531373033242,0.07475471345104871,0.0742953346892867,0.07566530722881117,0.07709696590013433,0.07493261261871251,0.07532469653841288,0.07484465558984764,0.07690210672115537,0.08406046968489761,0.085129188616553,0.033016188458633536,0.08216386073584211,0.08226919009611988,0.0824806594594461,0.08218013536210901,0.08237520222242488,0.0721700449667053,0.07058495246423349,0.07063658914364344,0.07331352434251902,0.06946418937818477,0.0692331797844565,0.08167165810415701,0.06806717386191494,0.06815702941879681,0.0675131352502881,0.06496417928228884,0.08256274365017723
nerthus_bowel_cleansing_quality,0.016210762889233954,0.01762408258650075,0.016944748669931647,0.023640650536012803,0.02197704406107989,0.026310395352376188,0.04902352715341896,0.0,0.030464243725936428,0.04641264132179937,0.019820189202503297,0.018633211686061715,0.02858001036888012,0.026970042254885553,0.047388491902802074,0.04871661840110185,0.008621603717843948,0.006997981947308556,0.002998096827645113,0.0073795506893716304,0.012669593431005611,0.01274692665754776,0.012723595502361981,0.012720961803289072,0.012744270010133969,0.012715586993419471,0.012745142491467232,0.022441423061121228,0.015088450001033881,0.025670349372322487,0.03595998880943847,0.03272901028759747,0.033284225230625915,0.02667563989035566,0.026213584999526883,0.02742209282773597,0.02607491226057959,0.027545695282613265,0.026013460038498897,0.025690547349307345,0.02791252453108573,0.02771734093472362,0.026608917267099772,0.025273198731173875,0.026824453182561277,0.028305116636962883,0.03633973115321985,0.024202190082236133,0.036655206732938504,0.029991110577699164,0.03737924069856678,0.039820597600777774,0.023158371508846465,0.03751363164451517,0.037534864033390056,0.037551690865918384,0.03752081202733906,0.01731995636391441,0.016841393122868028,0.016694241691911752,0.036178597809448806,0.05062239610052265,0.03245881439227271,0.02222427198829304,0.025967480577477813,0.030824373333585314,0.02724662839193715,0.02499047710375081,0.026390030785057503,0.038104643642310636,0.031528913481923555,0.016166613168771143,0.018538774840951913,0.01707832009201862,0.02387769539190398,0.04891232885709608,,0.04586199708384109,0.028621918180686018,0.047359309649803685,0.008648850247167154,0.007296376209371932,0.0029961311777397313,0.0073288159911104244,0.012604699444982055,0.012832052794038833,0.012959091959064566,0.012875956620275545,0.0130525372534253,0.012687053157505217,0.012647442638188969,0.015365259050202789,0.036138503300603295,0.03295898113924132,0.02717479583560282,0.026277241388336665,0.027195339200031577,0.026364290218609438,0.0273563481598575,0.02610173690412599,0.025510077578413386,0.027570022269995668,0.028104428536684354,0.02689520632325056,0.025279606117025274,0.0268344655238222,0.02852582285993745,0.0363644334925915,0.036725003182829966,0.029756181935295663,0.03746272355613374,0.03743662837007012,0.03756298925298551,0.03756338942117494,0.0373674743854876,0.01721242535810676,0.016919546791517612,0.01661270515523075,0.03257045241658531,0.021942609830551754,0.025966861998114394,0.030694457361437475,0.027159691156372026,0.025111296596197687,0.026242576400226546,0.038099939200327705,0.031223032062004222
stanford_dogs_image_categorization,0.04090419319186311,0.043078008858792205,0.03963750167018227,0.04751844564736947,0.037500212165793675,0.024466767166403024,0.038266695409514745,0.05107801991269025,0.0,0.0420928409317267,0.008727804736261188,0.009038426955668503,0.021094302785283233,0.019875048777939074,0.05014803307453892,0.05331352013553008,0.03714943825648603,0.03902006781048257,0.04711532051894164,0.04811217930379753,0.04404829249520359,0.044403103245985676,0.04418078118515344,0.044003368432349386,0.044143819042118435,0.044232952559531864,0.04422944234615221,0.03349226750662816,0.04928317604015483,0.03743400879692394,0.043321022617193755,0.04140195257593587,0.05511787009871614,0.0524795218042637,0.05198514281730898,0.05280962824405585,0.052534767524653594,0.05284208429988776,0.05200140624739722,0.05200773596606977,0.05315920439380775,0.05331166318247009,0.05209040333875639,0.05207200186122866,0.051281584811615405,0.05331859640486839,0.06060941789939596,0.038784044412242334,0.06178031045874731,0.03723289409508543,0.06289439601466522,0.06859773939162547,0.04940028106316027,0.06317397969254068,0.0631861826433387,0.06309298319396275,0.06323934870537377,0.04892952820758337,0.04721870199538053,0.04746482781342962,0.043390141034267,0.07821637687061198,0.04880876434654782,0.046067125041716304,0.04412753252245515,0.055165541156788823,0.04154231886802773,0.04238494956474442,0.04329880847368772,0.041767029445876305,0.05995386540721892,0.040578911355847846,0.04318935485502832,0.04021184185743768,0.048098829845248436,0.038033676622188727,0.0508468989747427,0.04185620280048158,0.021457864312065728,0.0498807775865509,0.03694290470915264,0.03865258245847697,0.04726643698613182,0.04815355808848104,0.04394640131458558,0.0441559798496759,0.04479041723290439,0.04471108235544894,0.04482744862515812,0.04396607197349144,0.04355523954880238,0.05037142548981774,0.04350924340725984,0.05493222872696471,0.05307339287849398,0.05236436529333333,0.052612725537748206,0.05330639766243646,0.0522351856903053,0.052202087432039204,0.05149481252941863,0.05277595042914986,0.05353740180984806,0.052259223274861516,0.052314525481058756,0.051393108312133416,0.05386250625111978,0.06097150746991832,0.06170182987046718,0.037337330286009454,0.0629713741571239,0.06314666574749181,0.06334836130699119,0.0630564391615622,0.06310860185999792,0.04883381892446843,0.047416668386372283,0.04722578430274894,0.048938568179837987,0.04542995394962892,0.04421144162732298,0.054989435755722404,0.04142159921347284,0.04231669771780103,0.042932775818578905,0.04183141402159306,0.059720558184093483
svhn,0.05673793978818893,0.058571787314077216,0.055062581966604365,0.06453063810836496,0.04591831002278293,0.022403980907290087,0.024026364272308642,0.058118604600341975,0.031154957640071528,0.0,0.023025317713638558,0.021381551948944224,0.015657673576242915,0.011983179468628377,0.030662682719664037,0.028868802230461947,0.04834034185414565,0.04892194640632948,0.05497292081912954,0.05575243227930185,0.05560511050407571,0.05601777743722273,0.055765234011810265,0.055620490190794826,0.05578181801589462,0.05584238265466117,0.055930846155080344,0.0398699270136355,0.05336890487267947,0.04491651145133295,0.04952584101966579,0.05292621196405054,0.06816266027564513,0.06108767095024339,0.06074462656936949,0.06169533712862636,0.06117270897515926,0.061657346281914716,0.06064644395849003,0.06072092344344111,0.06189666899845695,0.0622063781337892,0.060781528407692166,0.06044182743995176,0.05982832829241988,0.06218893900851292,0.0675457164356054,0.04566514534797799,0.06873414961814146,0.0408801083113751,0.07276223942045297,0.08136675715576984,0.06069979247379048,0.07294231898400545,0.07306906859255562,0.07295942099867825,0.07309741575312638,0.05956747307036032,0.05773549962370704,0.058131675644425645,0.05150753373953508,0.09116570802308467,0.05219403794287684,0.05353587564720235,0.05056767991670595,0.06094525041506633,0.04834747559158641,0.0452621293837853,0.04782335372698883,0.060103898947842176,0.07187040908469997,0.0567109442082892,0.05836897746952391,0.05563654268765633,0.06492855802442452,0.02409085153500044,0.05779423243741467,,0.015390655805619654,0.030434913346353985,0.048253476747267814,0.04852826985882904,0.05508880870910379,0.055936637628951937,0.05529814430611597,0.05556989900126996,0.05641387790847409,0.05642477230577323,0.056492990016255955,0.05565486642200044,0.05496898758476871,0.05471646149777977,0.04988832481257323,0.06775719697438601,0.06178537332631127,0.0611638823644372,0.061315250597631536,0.061949535555275,0.060873704907636994,0.0606048226908396,0.0601354932245982,0.061564595760824674,0.06258373412368856,0.06105695529532071,0.060813735458404385,0.060085981083223626,0.06282325610535923,0.06797458160957442,0.06857562779580456,0.04098120809613837,0.07281379772749703,0.07292069900311712,0.07311558112849821,0.0728357599684579,0.07300777658898219,0.059424460457308266,0.05776767082959228,0.057864161338339104,0.05245385877241685,0.0531333252944612,0.0506877718947615,0.06083107213455096,0.048210947359508906,0.04507555678400967,0.04764073413449156,0.060267184702942206,0.07159033476402457
