,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,2.627314803770976,2.633089094515478,2.695447744459647,2.8657667662391595,3.2890646893568274,3.5828068577832655,2.618877207347468,3.4950049031640935,3.2855868415327922,3.0697215780120475,3.0758807535174832,2.919756506489869,2.9043782880469067,3.377175590363567,3.409803938445904,2.6451527384277522,2.616779780041428,2.604740813737,2.6212515773948786,2.585108469435128,2.5781730130193687,2.5912238966287324,2.59130650729714,2.5806070443986755,2.588913898663903,2.58759352848275,2.8924615172944232,2.7419482476762895,2.9557526849616913,3.4497487599182772,3.3194878485183734,3.0746529011721893,2.8010414112509654,2.8058497225519936,2.823620995846696,2.791555050859137,2.8175545095872048,2.8093634305872337,2.807659591158166,2.8279587586710604,2.813399816082911,2.8061447777221273,2.788418818899787,2.8001726944975163,2.828692289451653,2.919386748436718,2.937185022404149,2.9172205950375063,3.169604617951355,3.2144592238829555,2.906144349988886,2.845326466250934,3.2244665464076627,3.2295643581505464,3.2196482105179367,3.2547080063518203,2.734384547039004,2.7241670917436265,2.729113347008269,3.1170344892429154,3.5510189753512913,2.9430067960787873,2.78127829193829,2.879094240239464,2.8143369639686364,2.8750270958145614,2.8383666951701834,2.8711738125012705,2.962091467825056,3.096070415981808,2.648880438675472,2.635065990066135,2.6455180304417563,2.6794005837727157,3.5939918431688165,2.624788615175596,3.2473139378297793,2.913580959957474,3.334788537764613,2.6406824840140066,2.6263231799011555,2.6068810229906925,2.6286974349343657,2.5796766846846806,2.5804673484667533,2.5812418088064955,2.5858034421174825,2.5843944426256353,2.5961279276136437,2.5858426161067865,2.721384129009724,3.4633045314521143,3.0679101798950414,2.8098764470779773,2.7951556020357744,2.810631879784535,2.785586930931565,2.8106432063924163,2.7986635162868265,2.783706109523854,2.8074304744339864,2.8167551149603556,2.7909393100394992,2.771543501966239,2.7977257883803848,2.8171371719717757,2.911877365698115,2.90467997355395,3.141384263026569,3.2178590678696737,3.209406868111383,3.2064564621766363,3.2492609161601997,3.217085341541469,2.729650876813121,2.7240904148294134,2.7296362451051817,2.947966439258969,2.7911958719045264,2.8767497037956193,2.8240242036019634,2.8935845211092213,2.8542051954749086,2.8815203365435478,2.9974314826381523,3.0943254358749157
lapgyn4_surgical_actions,2.6568401802054264,0.0,2.6333589133379904,2.6941021335946598,2.8691318975616715,3.29427181286684,3.5894811687932773,2.62016636210748,3.498743862611606,3.2894172072303043,3.0722439358970597,3.0780152207774956,2.9212896065623815,2.906561388119419,3.3811090810610795,3.413463210393416,2.6475831041252644,2.6188136613639403,2.6059551638095124,2.6221364352798906,2.5855214523201404,2.578891659966881,2.5918026998262453,2.5919357011196524,2.5813370194711878,2.5894374284239157,2.5880613941802624,2.8952676642419357,2.742243457123802,2.9585060975342037,3.4559330318657895,3.325661768903386,3.0773408840572016,2.8019092769484777,2.806601181999506,2.824069916231708,2.792052018119149,2.818223351847217,2.809929733784746,2.8082577302931786,2.8285065071810727,2.814010455217923,2.80686401060714,2.7891054345972996,2.8008511070700286,2.829257225461665,2.9201884031967302,2.940386481851661,2.9179429529225187,3.1749927961488673,3.2192477927054677,2.905617684436398,2.8463601522609463,3.2294459355426746,3.2346615207230585,3.2244164668404487,3.259729973611832,2.7354977252365167,2.7254777308786386,2.730599767393282,3.119713097127928,3.556320044173804,2.9429354039638,2.781602407635802,2.880241598124476,2.814153071853649,2.8752658599495735,2.838705263992696,2.8716916781987836,2.9645972241475684,3.1003021488668203,2.6528059215604847,2.634749676076147,2.6458349195767683,2.678046574470228,3.600689786991329,2.6261775746231084,3.250953873839792,2.9152289037799863,3.338437458149625,2.642928670024019,2.6288195612236676,2.6081289668132053,2.629131706881878,2.5804341988196935,2.5810109954142657,2.581759088566508,2.5866668156274946,2.585015628635648,2.5965569261236556,2.5861220052417986,2.721571525957236,3.469579233087127,3.070479608092554,2.81062810183799,2.795546319295787,2.811204237669547,2.7863835075665775,2.8113462283399286,2.799303256984339,2.7845028814713664,2.8082477541939985,2.8173641915953676,2.791591160112011,2.7722527739137512,2.7983624040778965,2.8175398032942884,2.9126374188956268,2.905197448626463,3.146632988099082,3.222953105442186,3.2144655541213956,3.2113085075616485,3.254310227170212,3.221715316613982,2.7306548753231343,2.7253049602144257,2.7309339936151935,2.9480042268314817,2.7916338547895383,2.877898233555632,2.8237494911744756,2.8937691836817336,2.855040639297421,2.88205089755356,3.0002026686481647,3.098574551572428
lapgyn4_instrument_count,2.656870708198582,2.6276151505866436,0.0,2.693063911587815,2.868612425554827,3.293642184609995,3.5878532983489326,2.6201058744756356,3.4983253671672614,3.28831140709846,3.071848487327715,3.077732662833151,2.9211775564305364,2.9062512911125746,3.380185507491735,3.4126093633865713,2.64768843680592,2.6187783690445956,2.6061452621151675,2.6228634476480464,2.5850617459382956,2.578396602022537,2.5911146731319006,2.5914541197378087,2.5807810240268427,2.588902526729571,2.5875872346734177,2.8952175281725916,2.7430505476169573,2.959414164589859,3.454754966108945,3.324328820334041,3.077149341737857,2.8026798440041327,2.807467061555162,2.8251053270373636,2.7928389914248046,2.8189568095278723,2.810853035215402,2.8092167739113343,2.8294659414242282,2.814896647273579,2.8077683667252957,2.7899094000904547,2.801711517875684,2.8302426362673208,2.9211574077523856,2.9404982598448166,2.9189777777906745,3.174312386642023,3.218046094136123,2.9070845405545542,2.846959039629102,3.2281649400983303,3.2333621659037144,3.2231452370211042,3.2583487828549877,2.7351888001046722,2.725435016684294,2.7305072485114374,3.120217257933583,3.5543601424794593,2.9434893694569553,2.7818352793789574,2.8801707589301317,2.8147402404718043,2.875208497317729,2.838948487298352,2.8716257218169385,2.964640056828224,3.099271934672476,2.65282258236614,2.6351409462568025,2.645014861632424,2.6772730009008834,3.5990912134219846,2.626072946366264,3.2499668237079478,2.9149895098981418,3.3376828298927803,2.6430773620796746,2.6287641517168234,2.6084335182438605,2.6300387973750334,2.579943437750349,2.5804147655949214,2.581152116559663,2.58603972643315,2.584396742566303,2.5960364775543114,2.585531439484954,2.7224678742628914,3.4684058548302827,3.0701978313982092,2.8114295282686452,2.7964870035389424,2.8120591797252033,2.7871126683722323,2.812192381333084,2.800040620914994,2.785200987589522,2.809159922812154,2.8183029227135235,2.792526375605167,2.7729354503444066,2.799345080508552,2.8183884953499434,2.9137847437637827,2.9064197734946187,3.145913320779737,3.221579922497842,3.2131380743020506,3.210143137117304,3.2529241536008673,3.220567133669637,2.7303264189412895,2.7252190819575812,2.730980146608349,2.948184364199637,2.792044265595194,2.8778137224862874,2.824345448855131,2.8938133835498894,2.855087768853077,2.8819072067967153,3.00013456382882,3.0976359389405834
lapgyn4_anatomical_actions,2.6570372214687605,2.626166234169322,2.6308717749138246,0.0,2.8694879232000057,3.2938645572551737,3.5880311397441114,2.620541918995815,3.49725965387494,3.2877556547436386,3.070723399035394,3.07638862922833,2.920557155638215,2.9060537418827534,3.3792237004494137,3.4118250954067504,2.648365496951099,2.6194700776272746,2.606646931635346,2.623086992168225,2.584871227958475,2.5782457324802155,2.5908255223395793,2.591179031445487,2.5806268341720218,2.5887571259372493,2.587281091693596,2.8953807211302696,2.742144209324636,2.960032826297538,3.4552980418791237,3.32529748204172,3.0767404643830356,2.8028281932118113,2.80767849670034,2.825017738745042,2.7929299187574834,2.8191750806105507,2.8109353687980803,2.809322740306513,2.829494759381907,2.814853199606257,2.807837223745474,2.7899532571106334,2.801689554583363,2.830271258912499,2.9209852491475647,2.9408102809274954,2.918764212935853,3.1750874936622013,3.219252255843802,2.9063641397622324,2.8474245763367803,3.229284187743509,3.234601530736393,3.224186359666283,3.2594756476876663,2.735495547749851,2.725967936204473,2.731092707094116,3.120561896203762,3.5549670854371382,2.942586156164634,2.781829331711636,2.8797329753253105,2.813998550616983,2.874407627775408,2.83801812556853,2.8710146960246172,2.9639460232234023,3.100445088567654,2.6530082362613188,2.633482850151981,2.6435843045901026,2.673126232921062,3.5992204220046635,2.6265461002614425,3.249338024478126,2.9144378591058206,3.3365854759754585,2.643839773787353,2.629516993112002,2.6087652658890397,2.630377966895212,2.5799370994580277,2.5801621382401,2.580991481392342,2.5860245990783284,2.5843347402114816,2.59574205332449,2.585279984005133,2.7215873172205702,3.468968852475461,3.069930164980888,2.811608150913824,2.7966291027466212,2.812113778932882,2.7873069160174113,2.812398347728263,2.800256938872673,2.7854635946097006,2.809317256394833,2.8183067406712023,2.7927110529378454,2.773301377677085,2.799218429716231,2.8182999304951224,2.9136203976589616,2.906163239889797,3.1469733887374156,3.22281616233052,3.2144180641347297,3.211325275387483,3.254021916871046,3.2216553266273156,2.730770471273968,2.72582211866526,2.731463847378528,2.9473258774698157,2.792043981990372,2.877236290443966,2.8236686027503097,2.8929228655700676,2.854203500873256,2.881483485691894,2.9994817411614987,3.0989155381482623
sklin2_skin_lesions,2.6554598435033983,2.62929959839146,2.634523889135962,2.6975915234551313,0.0,3.277100265227311,3.5684994649037494,2.6164633691554524,3.4842898930970776,3.2750655814657765,3.0627745366950316,3.0683530481379675,2.914239933922853,2.897875777979891,3.368231088109052,3.400341858066388,2.6402920252357367,2.6127284418494123,2.602397678669984,2.6202879345153627,2.5838100609306123,2.5772130810773533,2.590186034999217,2.5902600519176247,2.5796463312066593,2.5878803339093874,2.5868765652907344,2.877762327539908,2.7390635110467736,2.9450079873946757,3.436287070163761,3.2984913931388578,3.0669648442301733,2.7968695652464493,2.801606196859978,2.8195126264046797,2.787252736104621,2.8132695776451886,2.804527131457718,2.8031928232786507,2.823927732979045,2.8093207435158947,2.802059650467612,2.7838618166452713,2.7962799500555002,2.824488998134637,2.9150000586822022,2.917851848274633,2.913242303720491,3.148991561009339,3.19758757319094,2.9018570742968706,2.841064971808918,3.2077333722781467,3.2119370433960306,3.2023429660759204,3.237308816597304,2.7270013729094886,2.7167014957391107,2.721504391628754,3.1059477994883995,3.532300449659276,2.9393740125742718,2.7765314459337738,2.873205206734948,2.813237188276621,2.8707587654350455,2.835293677290668,2.866646107121755,2.95491063744554,3.0793972027897922,2.6513787098584567,2.6369876987491185,2.6470748953747405,2.6815949487056994,3.579724684664301,2.62187965979608,3.2370821308877638,2.9075995436404583,3.3263065355100965,2.635224700509491,2.6222261385841397,2.6048843722986774,2.62793164361735,2.578838432430165,2.5793742133997375,2.5807648846769795,2.584671830487966,2.5832169325586194,2.5950183862966276,2.5849242857272703,2.718947439255208,3.4506596385725987,3.060116654203026,2.8053477651359615,2.790748599781259,2.8065686275300195,2.781293014614549,2.8062078838254005,2.7942604202823107,2.7793768416443383,2.8034574565544705,2.8123508470808396,2.786774495284983,2.7667300543992233,2.7940599970633686,2.81270731815476,2.907858644693599,2.901173166611935,3.1212155420220533,3.2006071437401578,3.1924059205443673,3.189198873984621,3.2320035232806834,3.1996933783494534,2.7220386011211057,2.716079115699898,2.7221729928506657,2.944357483879453,2.7870183618375104,2.8711065687286035,2.8228015763474477,2.8889943157297058,2.8507001463453934,2.8769465374140317,2.990275066321136,3.0773834726829
identify_nbi_infframes,2.646808688303906,2.6224904353794676,2.62760456987397,2.690019079193139,2.845151186910151,0.0,3.515372528454257,2.61180733114346,3.4498180347725853,3.237659934078784,3.0394075611830393,3.045019861688475,2.8983448334108606,2.8802929821553986,3.333601026659559,3.3644367966168955,2.634364698161244,2.60764095852492,2.5979334375329914,2.6158918574408707,2.57832023385612,2.571529113377861,2.5836493329247245,2.5845604592181326,2.574483847882167,2.582395389647395,2.5816064647787416,2.8686209379654155,2.7286555199097817,2.9283214806326834,3.400687477464269,3.280364066064365,3.050487907780681,2.789343800671957,2.793148791660486,2.8106284633926877,2.7803527527801286,2.803778383383196,2.7969898434457257,2.795393425891658,2.814460562154552,2.800866463316402,2.7938297843306197,2.776896794258279,2.788492271418508,2.8154419444976444,2.9044352316077098,2.909751279012641,2.9031909532084983,3.129714038622347,3.1847413008039474,2.896486192534878,2.834710886921926,3.1947072170786543,3.1992347163215387,3.1905070452514286,3.2234367629603122,2.7255197489599965,2.7159685046021185,2.7210299942417615,3.0786048474139074,3.5131371850847835,2.9254753964372795,2.7684867360467815,2.860533153097956,2.804754978389628,2.858010344610553,2.8247962330286756,2.8544980769222628,2.9414118259960476,3.0711786647778,2.6430052890339644,2.6300478716746265,2.639421591737748,2.6747764106937075,3.5254405216523086,2.6173638561590877,3.2015467960007715,2.892515380628466,3.2932663178106045,2.629731357809998,2.6164322099471473,2.6002703264741847,2.6232674024803577,2.573511105355673,2.5739673941377452,2.5758690029149873,2.5791784877884742,2.5771970273591274,2.5893879342221355,2.579941294590278,2.7095767528057157,3.4151180536856063,3.0438104208785335,2.7982251255614696,2.7831986164567666,2.797809269205527,2.774818617227557,2.7965373926884083,2.7870582885203183,2.771226467694846,2.794687941979978,2.8042461762563473,2.779826465085491,2.7607716726372304,2.785563138738876,2.8037784285802676,2.897701044181607,2.892313808287443,3.103270636822561,3.1876962229156653,3.179646562219875,3.1766776015976284,3.217710961831191,3.186988707524961,2.7209690865466136,2.7159664370629053,2.721518126713673,2.9304789849299606,2.7792148628880176,2.8580202572791116,2.8136908508354552,2.8754289027177133,2.838762663020901,2.8650305384645396,2.975477231434144,3.0687403252959076
laryngeal_tissues,2.644367497539581,2.6215164321151434,2.625632324422145,2.6880023024913147,2.8403670273958266,3.219189169263494,0.0,2.6100411403791353,3.43424910963326,3.213716204251959,3.0277278938562144,3.03372261623665,2.8862723926465357,2.867152767953574,3.3162369843327344,3.345805957415071,2.6337094448969194,2.6067036740105953,2.5972199811436667,2.6170051588640453,2.577946035279295,2.571340266363536,2.5830026734104,2.584120635641308,2.5737205868053423,2.5820559566955703,2.580894961514417,2.8612518175135904,2.7279637432079564,2.9285015789308586,3.3887437476374442,3.268694359675041,3.043872693578856,2.791706516157632,2.796394124333661,2.812856999190863,2.782537343265804,2.8056715676188717,2.7986775589314012,2.7976174695023337,2.8169396838902276,2.8025662881770774,2.795790546691295,2.779806384743954,2.790571979091683,2.8171978240458198,2.9043188455308853,2.904996806998316,2.9029370671316737,3.114179293170522,3.173516516289623,2.899650275208053,2.8347257508451014,3.1827664169393297,3.187515595869713,3.1789015966746037,3.2115131503209873,2.7225348081956717,2.7133023138377936,2.7176446628524364,3.074900766024583,3.497370213070459,2.9214105728604545,2.7674980843449566,2.859232977958631,2.8035155454378033,2.8565295054087287,2.821604846951851,2.852632862720438,2.935119853981723,3.0644499740134754,2.6400992545196393,2.6297820715353017,2.6378313775359237,2.673052602741883,3.4752081199504836,2.615642587269763,3.178681191173947,2.880174580489141,3.27683879892128,2.6291997373581735,2.6150033238703227,2.59927405758486,2.624608242966033,2.5730636645913485,2.573604523685921,2.5753176559006623,2.578578898586649,2.5766081803448024,2.5887463528328105,2.5794520569509536,2.7091437651663908,3.4041776441712814,3.0370301676142084,2.8009462394846447,2.785993558504942,2.8000491331287023,2.7773055514632317,2.7984821394240833,2.7891583086934935,2.7737077378680213,2.796254563715653,2.806012993304523,2.782214961821166,2.7628992318729058,2.7880192135995516,2.805177276878443,2.897487001854782,2.8931776956481174,3.0877106960582363,3.1761806180888406,3.1680995120805506,3.1654930514583035,3.2062273882543666,3.175855719885636,2.717727700469789,2.7133338400485805,2.7181882640743487,2.9263206066656364,2.778462929936193,2.8556722305772864,2.8123252460086308,2.8733058760158885,2.8354540894440765,2.8635260664502145,2.9691340875448193,3.061646986094083
nerthus_bowel_cleansing_quality,2.662266665036546,2.634030443362108,2.63971371848161,2.7023418996757798,2.8701597495802913,3.297452789885459,3.591869958311897,0.0,3.5031537458802253,3.2901610748739243,3.0743239363531796,3.0798782290461157,2.921648708581001,2.906984357325539,3.3832330268297,3.415624460849536,2.6473998233313845,2.6175911227575597,2.601557234578132,2.620158037298511,2.5880963746512604,2.581755254173001,2.595090512782365,2.594721170325773,2.5839894808648074,2.592292819505035,2.5909095586988817,2.8968634850105555,2.741082051329922,2.9613374651778237,3.4595659620094095,3.3288681365470056,3.0766527204508214,2.8035881055295975,2.8081485652681257,2.8258143698128277,2.793663659200269,2.8192758132408366,2.811700945178366,2.8100551135617984,2.8301513513871925,2.815774049424043,2.8081098313757598,2.7906522319284193,2.8030377481511484,2.830632929042785,2.9229959427153505,2.941563747932781,2.9206739299411386,3.1772067809799873,3.2186426369115875,2.909510966142518,2.8454292152170666,3.2290589438112947,3.2342653493041786,3.2240732251090685,3.2595384896929525,2.7325083897551363,2.722013981334759,2.7269924631619014,3.121688605396548,3.555449849317424,2.9442097403574197,2.780943345591922,2.8791415204555957,2.8149527988722687,2.8752267197806938,2.838915537886316,2.871323436467403,2.9684410917911883,3.0996321493229404,2.6580935392041045,2.641872645282267,2.6523850372203883,2.6860713014888473,3.603001037447449,2.618057770391728,3.2517983274209117,2.915582927673606,3.3407057398557445,2.6428086704801386,2.628085108554788,2.603673811019325,2.6268884651504982,2.5829532617758133,2.583760527120386,2.5847502218351277,2.5895345113961143,2.5879507072167676,2.599242590642276,2.5890818885104183,2.720932776413356,3.4733488819807468,3.070000233548674,2.8126086882316095,2.7967505385019065,2.8131516209381675,2.7878703439601966,2.8122977131710485,2.8008578668154587,2.7856334678649866,2.8098968952751187,2.819104543613988,2.792792449630631,2.773836289994871,2.8000355685965164,2.8187157021879075,2.9156701537267473,2.908260456895083,3.148609863555201,3.2223963871483057,3.2139951639525153,3.2108918283302685,3.2538662041888315,3.2212810592576013,2.7274047976542537,2.721899023170546,2.727474736258814,2.9489496569751013,2.7910115114956584,2.876902648074252,2.8246734369430957,2.8942663716378534,2.8550548194410412,2.88118128863468,3.0043164581667847,3.097862950466048
stanford_dogs_image_categorization,2.6481606190875357,2.6223742021005974,2.6276994694075997,2.6888258927892688,2.8477525317562806,3.2452297517489486,3.525844185800387,2.6129200041145895,0.0,3.242308153924914,3.0280198435291696,3.0332208159096052,2.8885387563819904,2.8747800691890286,3.330743582443189,3.3619471258380256,2.636453738319874,2.6097872252460497,2.5989062667541214,2.6171807022870004,2.57981122713975,2.5737941300989906,2.5855030215208545,2.5859903196892624,2.5756517942907964,2.5841938048060245,2.5831998018123716,2.869505290624045,2.7311387006934114,2.933732395791313,3.4001647988728987,3.276151934347995,3.045750580751811,2.792142411143087,2.796593691194115,2.8141864488638175,2.7834917929387584,2.807801017291826,2.799657399229355,2.798356489487788,2.817868352313182,2.8039648784750324,2.7967547619892494,2.780238178166909,2.7913328740771384,2.8182038362187742,2.9055020061413397,2.913249108233771,2.9048081183671277,3.1348673365934765,3.181958465962577,2.8970941780060073,2.831590161455556,3.1922611009872846,3.1965803971051683,3.1874290932225584,3.220108615618942,2.724690429743626,2.714354029135748,2.719682510962891,3.087581387572537,3.5050647018059133,2.9237474444084093,2.770389057455411,2.8619815682565855,2.8042324951107584,2.857437470706683,2.8229145700623057,2.8538609452058923,2.938609264592178,3.0699805955614297,2.644195305755094,2.630436716520756,2.6393741084588775,2.6736463102273373,3.5364029993109387,2.618843326005218,3.2056885705344014,2.8829678973495954,3.290272936094234,2.632288952656128,2.619273789168277,2.6011107338203145,2.6246556613889878,2.5751005361393027,2.575934949921375,2.577251011823617,2.5812720201346036,2.5789120440802566,2.590978927505765,2.5813674441239076,2.7116025117143456,3.413539906344236,3.038954148537163,2.8014813532200993,2.7860142191153963,2.8012680359266566,2.777948868323686,2.8004717453470382,2.790265492741448,2.7748006641034757,2.797549833701108,2.807006700789977,2.7825127708691206,2.7634195018583605,2.787862335147506,2.8074895390513976,2.8989650843402366,2.8934104656335724,3.1078780363561913,3.1854598724492953,3.1770049383160046,3.173971133943758,3.2151111348023207,3.184567396121091,2.719853634517743,2.7147023522215354,2.7196761121848034,2.928212361026091,2.7803062467966475,2.8583862505627415,2.813077742556585,2.873742552251343,2.8376587344295308,2.8637467270606694,2.972116271592774,3.0678385451420374
svhn,2.653329218855586,2.627634208118648,2.6322721707381502,2.6939085550573196,2.8531148815243315,3.247658312454499,3.519897941818437,2.6145139945076403,3.456894815324265,0.0,3.0421265292347197,3.0478245719276558,2.8823579420875407,2.8672728877070788,3.3104194087737393,3.340735452168576,2.640462767775424,2.6127964500141,2.601164514959672,2.619434067680051,2.5826079519078,2.575912143929541,2.588364004101405,2.5891934897698126,2.578809847183847,2.5865770530115753,2.5858744562679217,2.8762445935170953,2.7343127692114617,2.9411326361843635,3.410633203328449,3.2890765888035456,3.0558775789573613,2.797368628098637,2.8018400253371656,2.819026923631868,2.787576994269309,2.8118856326848762,2.804748850559906,2.8034116126933384,2.8231637098937328,2.808884845430583,2.8012874242573,2.7851157623099594,2.7958210050951884,2.8236896234868247,2.91260673872189,2.919702278314321,2.9104130462601785,3.1401789051115268,3.1903561672931278,2.903603402774058,2.838407198723606,3.1999740366928346,3.205418137498218,3.1960748414281084,3.229203973199492,2.7275219201366765,2.7173730195287984,2.7222618529184412,3.093309557653088,3.5184309578239636,2.928119169176459,2.7739828525359616,2.865952511774636,2.8073257042538087,2.863084586099733,2.826255044830356,2.859017044973943,2.9486798174852282,3.07987302345448,2.6491025773981445,2.6351297303513066,2.644339778539428,2.6781535818703874,3.530574919391489,2.6200611445232678,3.166375724989952,2.877279465867646,3.2714048171122845,2.6361401696116786,2.6216900451863276,2.6034900757758646,2.6275076595945377,2.578142768719853,2.5784859715644255,2.5801889475291673,2.5838281199026545,2.581848221973307,2.5939043632113155,2.5841837001419585,2.714886541169896,3.4259237404872867,3.0494237248677134,2.8065606951756497,2.7910400454459463,2.8058081200697074,2.7819295774667365,2.8047835091775886,2.7944510846969983,2.779244849809026,2.802868238156658,2.811942097433027,2.787014964387171,2.7685173985014107,2.7929500755405563,2.8114630216319476,2.9053987231707867,2.899689221651623,3.1131882376867415,3.1936759331548457,3.186052053709055,3.182215319649308,3.2234816876953714,3.1927990818266414,2.7221269217857937,2.717680912927085,2.722765805702853,2.932290140481641,2.7847971121896977,2.8633275065807915,2.8159897016996354,2.8798695504568936,2.840320302947581,2.8692897408912197,2.983514168235824,3.0780424964725874
