,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.8114713178755265,0.8397593266313033,1.0246353039334943,0.8916995760549712,0.7801599579663642,1.1862227490848463,0.9130916011815597,1.5369410308628295,1.227206966145359,1.3325695307499863,1.3110380225507277,1.1439022059497603,1.0710160723581919,1.6436697604522044,1.5989796969570573,0.7088416761944248,0.6988836375108946,0.9073258279223145,0.6794861571317043,0.7162080055969285,0.7891051492030264,0.790628635788878,0.7911955906679006,0.7871178170053295,0.7865158353770195,0.7879015737524878,0.9360699637458024,0.9915890521839286,1.0410746934098678,1.2913915183164522,1.139668919220649,1.377008031194259,0.8543908217492829,0.8299503126356855,0.8558696922377994,0.8542757974261136,0.8587656372339375,0.8355297889688599,0.8371531454339577,0.8601522366978589,0.8628221747445739,0.8442796764795606,0.8358263332662075,0.8822188208997946,0.8730382094461989,1.0954031563526077,1.0111450635490742,1.1103852076805836,0.9800320208264713,1.0829457380014376,1.1799221999919265,1.0912264934398583,1.073842811171122,1.0757837168928093,1.0746244030509613,1.0798052491414267,0.7059939628351611,0.7224133399908984,0.7202940608122281,1.098254371035385,1.3608878990437319,1.0914452393626564,0.7984874055260626,0.8602754814817158,1.1918692734171337,1.0073325148567414,1.0293266188384855,1.0249443791860875,1.714863950385915,1.1348466495846932,0.8016077592147575,0.8088620302882923,0.8483770098307618,1.034722445999675,1.1906057844013458,0.9148064973402091,1.2330396383349924,1.1458461758170875,1.6414629743744626,0.7084708359099423,0.6990671210937821,0.9023351451112127,0.6844152080649293,0.7099736620253069,0.7934859560089901,0.7931946774815026,0.7937393077365592,0.8035534733920272,0.7855319732347038,0.7670760419413728,1.0181235133831794,1.3050183113252072,1.3743049130169123,0.8606815351925063,0.824914042274376,0.8576130011937431,0.8548100076884819,0.8581935550567849,0.8339866541021013,0.8385722972294212,0.8553520432247246,0.8709411849463616,0.8528945687141386,0.8392834879330199,0.8849833870864696,0.8727919351835389,1.0953088915363305,1.1179524455404748,0.9749204925501447,1.0957056454242238,1.0693971265379025,1.0646290108160086,1.0725813067658858,1.0844219166222737,0.7049976704880144,0.7169955192113905,0.7140660526223782,1.0882059154254107,0.8006397367280914,0.8683663350344614,1.1743238349744367,1.0017481574408216,1.0357992522477018,1.022002574045956,1.7131254897957557,1.1429225002474988
lapgyn4_surgical_actions,0.8087005553709946,0.0,0.8373035314126179,1.0206757409804341,0.8921190349769109,0.780530569153929,1.1861769711968901,0.9144758837883953,1.5373376468941444,1.2268277836350072,1.3325010305052594,1.3109124420065217,1.143491916212846,1.0707721755119026,1.6436474645564358,1.598782141907643,0.7109043430330312,0.7012050493755427,0.9088051434718586,0.6799589725380191,0.715599278151681,0.7882494816015287,0.7897710646196722,0.7903162664778612,0.7862694013439359,0.7856798472286468,0.7870294124140109,0.9362356219385757,0.9896469873949307,1.0411746188943076,1.291454470050892,1.1401300785071722,1.3770759092047404,0.8544630854238268,0.8299948968180418,0.8558799101050517,0.8543623697985742,0.8587700455048357,0.8356041486460078,0.8372420090694392,0.8601720644088612,0.8628541970649511,0.8443116763390005,0.8359447085553345,0.8823029990925679,0.8730245790322012,1.0955529803396518,1.0108249995803888,1.1105160404827317,0.9808266422874737,1.0834913045015024,1.180073105658658,1.0920014204477353,1.0744006840644158,1.0763354322340202,1.0751732956838385,1.0803553643914914,0.7067932333586634,0.7233842571550256,0.7213350712185429,1.0989447421057623,1.3616787839943176,1.0909993779330336,0.7982915433933148,0.8600213731119889,1.191737407221886,1.0069320448724313,1.0290185688411544,1.0249067259856315,1.7158393721594176,1.135781198741008,0.8053237106106556,0.8057729988586694,0.8459537467605142,1.0308421170440105,1.1905708309144314,0.9161601020043365,1.232674425017349,1.1454540307155898,1.6414426944943192,0.710445339753757,0.7013688049506178,0.9037647805565898,0.6848865202420775,0.7093508450097467,0.7925511778996798,0.7923252979399008,0.7928780651220406,0.8026275370144879,0.7845806376904978,0.7660889465534169,1.0161722177868902,1.3050662416273553,1.374355421457081,0.8607606233983004,0.8249724001676699,0.8576382213396411,0.8549196121703174,0.8582020276636206,0.8340588802375827,0.8386640375055276,0.8553700283836435,0.8709569500401764,0.8529178263079537,0.8393907946283972,0.885061615175076,0.8727881298346453,1.095451272294208,1.1180862703348105,0.975756804545001,1.0962619270284553,1.06995422432703,1.0651764363655525,1.0731354284612629,1.0849761796327553,0.7058220469229752,0.7179747211151012,0.7151280097344221,1.0877598599072462,0.8004394445562811,0.8681229138522344,1.174178596188043,1.0013519393575532,1.0355092501409957,1.0219522608845626,1.7141220118426956,1.1438358893256886
lapgyn4_instrument_count,0.8164214349824546,0.8167364022683016,0.0,1.0170170054096026,0.8946885319060792,0.7827735784919515,1.1874194767067878,0.9145871153529802,1.5417116229118546,1.2284008440667797,1.3359460024344276,1.3145367057846482,1.1459542170352437,1.0730830304358625,1.6457580338684166,1.6008677908420195,0.7118429143111581,0.7017328796640862,0.9088514524973812,0.680761816836979,0.7159032017995992,0.7856245218379887,0.7871635300644654,0.7876607326257795,0.7836550409293542,0.7830879360328152,0.7844192428848459,0.9385103360292023,0.9908568344282659,1.0428462321776426,1.2928614495581854,1.1426765070899865,1.3790300118630754,0.8546992756342453,0.8302664882524186,0.8560995311618242,0.85461301700118,0.8589921826813999,0.8358565544684055,0.8375189684855867,0.8603848251010504,0.863079097314432,0.8445418026692103,0.8362302010183571,0.8827262456571529,0.8732314428233489,1.09582577445632,1.0126226096996616,1.1107536142999208,0.9840076163781003,1.0840167901025455,1.1802403509992845,1.092730040085237,1.0749077120092092,1.0768554664288132,1.0756930237197777,1.080869914354514,0.7081384182956443,0.7248534668185691,0.7228305197753154,1.1007873058969098,1.362592007485986,1.0919222532345978,0.7991027186167542,0.8610534301192821,1.1928022359869919,1.0081982982859747,1.030119826134906,1.0257164079668832,1.7177965623437943,1.1365067592248639,0.8131883726049282,0.8140665610742962,0.8435924741584326,1.0271077542205747,1.1918044984946414,0.9162969040376714,1.2342488282746424,1.1479067313687163,1.6435601213714044,0.7113958357454253,0.7018918875568696,0.9038385690482583,0.6856782336426,0.7096232940352691,0.789930180857494,0.789738711978444,0.7902562844210008,0.7998791288525103,0.7819788676144578,0.7636028162430017,1.0172888252889754,1.3064999287778776,1.376319067735208,0.8609954356529895,0.8252442962635049,0.8578610103000596,0.8551748837479233,0.8584353052438306,0.8343191425964386,0.8389228416482376,0.8555982694534369,0.8711628588313239,0.8531408320001427,0.8396681354117321,0.8854932327032027,0.8729859638211054,1.0957232580124387,1.1183181712874164,0.9789546902111486,1.096787096978457,1.0704716056702608,1.0656936273181583,1.0736563576300147,1.0854756788926527,0.7071650308313101,0.719461368473957,0.7166210353745281,1.0886739937244354,0.801258454493262,0.8691522635287988,1.1752600188203364,1.00262868782318,1.0365858795311016,1.0227510545585226,1.716115905868218,1.1445440488199612
lapgyn4_anatomical_actions,0.8169360593092531,0.8157472588607249,0.8326556524342097,0.0,0.8954833505427734,0.7833267901104165,1.1876917906038986,0.9146783770625913,1.5418301068740696,1.2287148302164947,1.3358147238054967,1.3144510037703008,1.1460403155547503,1.0731491572235985,1.6458017912551108,1.6008861857417342,0.7126125938072273,0.7022214518033846,0.9088956272799086,0.6805989792236734,0.715563170944106,0.7839987700840579,0.785536684208972,0.7859905444786195,0.78203388506084,0.7814530686148219,0.7827857437350817,0.9392899789627714,0.9894303491847517,1.0430980885226702,1.2926670359552963,1.143681365075639,1.3787607546013323,0.8546958859115644,0.830220717969842,0.8560483303844558,0.8546234835805825,0.8589382564743439,0.8358468892118704,0.8375228931248851,0.8603409208731612,0.8630437380605013,0.8444930986105922,0.836230003665468,0.8827788080959303,0.873161112540772,1.0959111262049934,1.0130693174379182,1.110838426217865,0.9849131076710446,1.0842328510439272,1.1803313164458746,1.0928606800630771,1.075127560841216,1.0770797935681118,1.0759171923434512,1.0810882766630832,0.7085768221016093,0.7253399653380758,0.7233267808078431,1.1008043043643332,1.3627076639872637,1.0919241383686877,0.7991290655086566,0.8610838276101429,1.192918313048165,1.0082678505164189,1.0302593229877461,1.025873365223369,1.7184619046263216,1.1367260043719747,0.8136777147442263,0.8131751568724489,0.8411650047482517,1.0206155218546649,1.1920820228735232,0.9163951575832199,1.234562262015503,1.1480085088335354,1.6436122866096607,0.7121458725071195,0.7023841089409596,0.9039138820339107,0.6855120935683567,0.7092284155756091,0.7882402790514799,0.7880881026984717,0.7886383994118615,0.7981469400022254,0.7803332764334435,0.7620345172885502,1.0158274107746277,1.3062979054354051,1.3760505864109644,0.8609975867115587,0.8252022660069699,0.8578185138065454,0.8551907059002426,0.858378063476879,0.8342971446836537,0.8389270914958694,0.8555452452906519,0.8711126387961432,0.8530898534493369,0.8396756589051972,0.8855488720039594,0.8729203023536328,1.0958010210241331,1.118406804181923,0.9798839477020095,1.097005919938068,1.07069124376008,1.0659164393272482,1.0738807344307713,1.0856960919954928,0.7076037028794627,0.7199511926835679,0.7171081424487223,1.088677639144984,0.8012741553955812,0.8691839134675762,1.1753773204908848,1.002703125053624,1.0367439565401915,1.0229156204087584,1.7167883192835582,1.1447580349306137
sklin2_skin_lesions,0.8214529576149837,0.8246431790414555,0.8477798051149402,1.0329359767270274,0.0,0.775899130382293,1.1805539160841085,0.9163662570610303,1.5294135433959462,1.2206739910743087,1.3241779434653942,1.3025243869848857,1.13713982462871,1.0643145996308916,1.6373056217613626,1.5930807450500692,0.7085080721650412,0.7005552425830736,0.9103934994267852,0.6801529521257582,0.7219460348878574,0.7930875960720801,0.7946474245589735,0.7951701205968501,0.7910802173639665,0.7904460187564899,0.7918668407126875,0.9134002007580855,0.9910198853680865,1.0313890246409008,1.2859788995735268,1.117959825386578,1.3737663771648752,0.8539918006105244,0.8295022732156768,0.8554156094193534,0.8538268986571467,0.8582537583608039,0.8351025605123928,0.836687951417595,0.8597319022387877,0.8624407919521694,0.8438485014866354,0.8353321523488028,0.8816405492792652,0.8725659753256695,1.0949384540029117,0.988689281837399,1.109849333299637,0.9573573466408377,1.0803681664069495,1.179469961418272,1.0890165034859953,1.0712167407615298,1.0731972876550921,1.0719807153627234,1.077227466817772,0.6999384637276526,0.7157841920162022,0.7139125304807612,1.094824100469543,1.35742637691539,1.0898427647603561,0.7980058446998038,0.8594168571528528,1.189863382903375,1.0058938281450662,1.0269908740669142,1.0237856734249329,1.6961215376846563,1.1307379540839555,0.8181114447426654,0.8216896088891169,0.8565548565565866,1.0431114664624788,1.1849871509709204,0.917968192555617,1.2264609057639422,1.1390397675819746,1.6350692902409125,0.7080599666852461,0.7006399353326277,0.905333556550579,0.685157564400129,0.7154993222276941,0.7974321832165856,0.7972264080094108,0.7976447174832172,0.8075683910423309,0.7894321751558411,0.7706340118573016,1.0175629247834834,1.299596185772386,1.371099545654195,0.8603076224391643,0.8244680503153047,0.8571651640133178,0.8543778370965983,0.8576883744388596,0.8336141547862592,0.8381003405307667,0.8548896025286742,0.8705631434430195,0.8524556196326717,0.8387199751015529,0.8844213457914609,0.872363167885926,1.0948559910616344,1.1174171514980704,0.952468520473886,1.0931759126057776,1.0668143400736232,1.0619660792736039,1.0699307486479606,1.0818217910173693,0.6987426117971726,0.7104638642575276,0.7078467781242446,1.0866783216173812,0.8001581744044369,0.8674938078410154,1.172292708067449,1.0002700115364382,1.0334725912000888,1.020793444795218,1.6943469916517888,1.1388532927936361
identify_nbi_infframes,0.8225346111071875,0.8256759847992843,0.8484861232816234,1.0334006878754811,0.8885204019631038,0.0,1.1709590774539163,0.9158826106183383,1.5309396263673165,1.2129699871576585,1.3258090499133273,1.304359042482298,1.1340464684334142,1.0608807387480954,1.6338200455530456,1.5893748452480023,0.7106818004098492,0.7023498351507982,0.9096405864085723,0.6800286689512953,0.7226583092784987,0.7931435387439715,0.794661027387115,0.7951938766281166,0.7911171881087746,0.7904346573398398,0.7918534505981206,0.9296756006565392,0.9914247525842486,1.0263270221565424,1.2868847345631265,1.1381625135923235,1.375276773703954,0.8546234028266865,0.8301856671505888,0.8560666050209319,0.8545265082821629,0.8589359245483202,0.8357848412311593,0.8374323795582365,0.8603582896502623,0.8630484565641648,0.8444991940413392,0.8361444472472567,0.882902465271469,0.8732135863308942,1.0954751055159486,1.0039469550952276,1.1104464228465287,0.9741126753674166,1.0828017070736327,1.180195182618809,1.09204837324122,1.0736698005297753,1.0756343921108378,1.0744403802481564,1.0796440392552886,0.7020876515167314,0.7181829989459061,0.7162888001578609,1.0950915416700802,1.360123559157594,1.090257821286414,0.7983356075149245,0.8597648229497441,1.1906302534398499,1.006243379931541,1.0276141978716182,1.0242519275942201,1.712919244093527,1.1346310914433466,0.8191747540812234,0.8227534419386124,0.857274588981082,1.043543698288016,1.1753693838381245,0.9174626644462585,1.2189729526155209,1.1359369764387617,1.6316112804518663,0.7101657015967208,0.7024697641243107,0.9045807102120538,0.6850614579704578,0.7161370121912519,0.797351220185352,0.797237306384427,0.7976779624858379,0.8076379506543265,0.7895022207053365,0.7704720892036722,1.0182473871298539,1.3004908297854232,1.372612164537024,0.8609382153714723,0.8251377981434461,0.8578183351878134,0.8550931642736979,0.8583609782956468,0.8342511920284631,0.8388364571349497,0.8555513591588989,0.8711744326383485,0.8530800277733132,0.8395446852213609,0.8856549096352273,0.8730060148677131,1.095409080686651,1.118012544222045,0.9692727118306731,1.0955912445354814,1.069258516443431,1.0644386049012244,1.0724091644057892,1.0842772693272815,0.7009785089742722,0.7128613927497315,0.7103078560435317,1.0871078737554185,0.8005428603836199,0.8678698878826981,1.1730130539945487,1.000595667450517,1.0341193203954175,1.021285733691068,1.711206209492951,1.1427138192415691
laryngeal_tissues,0.8270157993336106,0.8297407839501864,0.8515504186044005,1.0361840854769042,0.8915935847728601,0.7693774745618572,0.0,0.9182803423473653,1.5299046114817603,1.193021409720019,1.3224276920850626,1.301390608677471,1.1237111957483785,1.0485680606073309,1.623752884573739,1.5784440141124463,0.7151370805112722,0.7061519844579504,0.9124467344136411,0.6839965310709474,0.7249569411116926,0.7956235001604987,0.7971423200406212,0.7977039085915187,0.7936083303195725,0.7929683012563666,0.7943601438636058,0.933412271018379,0.9957538699773383,1.0284668796668193,1.284139537815591,1.1395892334723923,1.376187922802773,0.8552084457275887,0.8308516009108661,0.856684024341105,0.8551008640867108,0.8596034649752641,0.8363798491971655,0.838040271638826,0.8609742471605394,0.863616327199442,0.8451149893641162,0.8367182863460755,0.8836153245265378,0.873836635260442,1.0962747651616425,1.010186937436234,1.1112320646536806,0.9747658953256103,1.0839584700005764,1.1807654260405445,1.0926864125223303,1.0748311955660943,1.0767832730455942,1.075619780844371,1.080811191648378,0.7025393643264876,0.7172314236957664,0.715266632264492,1.0992599456647323,1.3609526010949542,1.0905468066352328,0.7988695876814518,0.8601005480511672,1.1909735236454393,1.006479218001714,1.0278087175433537,1.0242763439847056,1.713644808491825,1.1362347775864363,0.8236361131670215,0.8268685912587852,0.8603230921424009,1.046318659079543,1.1465020300202766,0.9198715640919523,1.1989173841622565,1.125771347529768,1.621572432506414,0.7147147938465812,0.7063072168819836,0.9074042670582684,0.6890319758062559,0.7184426431390291,0.7998991262633374,0.7997072878790791,0.8001322883034065,0.8101141829302287,0.7920363096088426,0.7729630699431159,1.0225746027260685,1.2977660326993459,1.373513576812926,0.8615021505249786,0.8257803117084106,0.8584476267475695,0.8556701816537666,0.8590610051288405,0.8348149699293653,0.8394337146842892,0.8562014210051135,0.8717380128699798,0.8536896712861944,0.8401115667550755,0.8863595081220668,0.8736053078206986,1.096193002090157,1.1188088356385721,0.969996846697721,1.0967540776056544,1.0704041732375622,1.0655988883490017,1.073588069832733,1.0854406121761002,0.7013896532032993,0.7118592913667795,0.7095523382933923,1.0874586282969456,0.8010773782454595,0.8681864890518295,1.1733553094996172,1.0008027447785024,1.0342545707572572,1.02133048331072,1.711919366378228,1.1443097289784088
nerthus_bowel_cleansing_quality,0.8220664392913667,0.8262214844027342,0.8468998451116357,1.0313524597966393,0.8955877136108245,0.7824827955873217,1.186462130208408,0.0,1.5404993035358707,1.2279478239095456,1.3349162661183396,1.3135603792081436,1.1448240476592597,1.0723348841327953,1.6441055257294117,1.599574989929577,0.7057328598830909,0.6957539477881021,0.8916334437203556,0.6746934001563077,0.7208827198064278,0.7910965136208589,0.7926245971337941,0.7931532395909414,0.7890896049778494,0.7884733001333938,0.7898776139385495,0.9380418136844684,0.9891905906903027,1.0425590517990546,1.2925644029686598,1.1424889629744193,1.3786058767188623,0.854581950750449,0.8301821207123722,0.8560560989993821,0.8544959228595711,0.858951917823645,0.8357473651835674,0.8374020888361654,0.8603439798396497,0.8630270793707399,0.8444647050640599,0.8361012500147691,0.8828298468540856,0.873215982640073,1.0951007555230445,1.0127380943991986,1.110025884910916,0.9842120148927416,1.082744631572916,1.1799930782639259,1.0898648059566491,1.0736175307842668,1.075563957469496,1.0743918167526478,1.0795709479082174,0.7061537211071603,0.7231158818957101,0.7210402197873523,1.0981906877709258,1.3609180509485437,1.0920869019054888,0.7990799875220204,0.8611359570974649,1.1926231322490286,1.0085008425297823,1.029705124831839,1.0256264522757952,1.7182927075902061,1.1354849284556507,0.8187944131377983,0.8235691247582082,0.8556007914360944,1.0413220397013616,1.1908514234936576,0.8972009427085625,1.2337569751747,1.1467793135422115,1.641893947099587,0.705449025457983,0.6960385481939065,0.8867426839040453,0.6795534879775534,0.7144815452582435,0.7954078016768227,0.7951131770686061,0.7955948209304334,0.8055311394244432,0.7875369522749324,0.7688332439243095,1.0155672434911163,1.3062331617586647,1.3758912846352658,0.8608863929566931,0.8251166379031458,0.8578014692183465,0.8550489728354812,0.8584010501777425,0.8342140763584754,0.8387894663087119,0.8555334572128697,0.8711211105230484,0.853081373626763,0.8395069763873106,0.8856140904105522,0.872978070096163,1.0950088750036422,1.1175846451796616,0.9792016606268313,1.0955130980712229,1.0691747458776102,1.0643877519135285,1.072368835727989,1.0841951441520856,0.7052513769891805,0.7177321501396396,0.7147923964933359,1.0888718336062642,0.8012070002214449,0.8692102900252107,1.1750789931032068,1.0029140087987585,1.0361860307801176,1.0226775393101428,1.7165661904375469,1.1435084946002272
stanford_dogs_image_categorization,0.8167014278865512,0.8198688064223979,0.8448099115844245,1.0292897485220323,0.879420558859655,0.7683253702502147,1.1688719582567175,0.9112848624497852,0.0,1.2035783754083762,1.2800090084244615,1.2599402728293698,1.0988500427127776,1.034235880306105,1.6151851145589715,1.5725485012330953,0.7082704470590047,0.7002176130499533,0.905788599594186,0.6785081070197214,0.7200953741047375,0.7913312081795851,0.7928575451300203,0.793415503433522,0.7892822247579298,0.7886283624915992,0.7900397264920674,0.9207965675661113,0.9847878956787164,1.0208117514749684,1.2673196798841568,1.1262073776763746,1.3608925925275885,0.8519164645930294,0.8272719540992234,0.8532153636101915,0.8517352114026723,0.8560597210412255,0.8329511506667728,0.8345701230563499,0.8575137156874385,0.8602918655831119,0.8416604692842444,0.8331300478287037,0.8794746831706242,0.8703591144253618,1.0915862699776042,1.0000009224084456,1.1064816614357882,0.9626758508837594,1.0768019253373713,1.1771864383044228,1.0829935371690211,1.0676580851346598,1.0696303186297849,1.0683405539546034,1.0736650880528813,0.699508480783074,0.7144412220273529,0.7126226096195162,1.0894682812228813,1.3522722003900824,1.080587790826194,0.7927756993463714,0.8510669375806703,1.1786192746072341,0.9954067775572586,1.0168393525676487,1.015383761548063,1.6789739082557034,1.1286827107747937,0.8132899191418371,0.8168812297075593,0.8536254577396124,1.0394450829840463,1.173227772166967,0.9128267354834345,1.2091295819990513,1.1006471025150004,1.6130853825307092,0.7077943298604593,0.7004376871927369,0.9007275128898548,0.6835696838644049,0.7135551245044697,0.7955191499725279,0.7954696292445197,0.7959703991480138,0.8059842990743151,0.7877897537086583,0.7685272001236608,1.01149846863578,1.2808840931663492,1.3581674962512835,0.8582640480622944,0.8221743250269763,0.8550177809906144,0.8522760896598324,0.8554592163119895,0.8314311753963685,0.8360099656981674,0.8526795812377417,0.8684548791703163,0.8503032743313225,0.8365560864017662,0.8822691887583408,0.8701383017382227,1.0915300179998686,1.114028225584742,0.9578003236490993,1.0895664175648452,1.063258893444149,1.0583740238160046,1.066354028594007,1.0782742233722702,0.6982427334489483,0.7091714308311784,0.7067698436822704,1.0775643680868654,0.7949717219416295,0.8591073321099785,1.1611157350447454,0.989704595128318,1.023363894713844,1.012439332696994,1.6773496987202314,1.1367568754610369
svhn,0.8260326836276596,0.8284242636218396,0.8505644531979287,1.0352397923230365,0.8897463269965966,0.7694210514991356,1.151054076953555,0.9177987032820395,1.5226436958669554,0.0,1.3144848867046326,1.2927268231798534,1.1151089407585735,1.0398441025706509,1.610664883177684,1.5659399990184744,0.7146243092193837,0.7057790081139785,0.9121385424056069,0.6836176270967673,0.7242477575541791,0.7950196889988188,0.7965488825898787,0.7971082733933804,0.79300091786883,0.7923516870608326,0.7937499540560927,0.933046803359303,0.9938671660682624,1.0260015466171184,1.2814377645054738,1.1392472267898788,1.3737080043884886,0.8545858664929921,0.8301432946319985,0.8559430070596333,0.8544834876125309,0.8588321447510839,0.8357381304834023,0.837388313914646,0.8602433754259429,0.8629438728997411,0.8444080450774362,0.8360740395984578,0.8830239563466286,0.8730655580961578,1.0953826979322543,1.0100958057667415,1.110376589025855,0.9735852299582013,1.0829626742425422,1.1803298958424062,1.0909342640689836,1.073841555511185,1.0757816422615183,1.074581817260816,1.079828599549198,0.7038652570580369,0.7185149429247115,0.716558626662708,1.0964172647764898,1.360296430896816,1.0890243913980318,0.797654499228105,0.8585887777228205,1.1897688479525093,1.0048528160587837,1.0255351601056317,1.022606251703234,1.7056303634629575,1.135389025812777,0.8226395114324246,0.8255430867767929,0.8593652875822834,1.0453884843631756,1.1551434712544297,0.9193799910422514,1.1790348531438057,1.1171183406649632,1.6084476803942132,0.7141689522161512,0.7059457200562411,0.9071166825111715,0.6886731954258258,0.7177313380841199,0.7992549926146783,0.7990857856496909,0.7995572339906847,0.809550074229486,0.7914476758560168,0.7723102862163319,1.0206179050018884,1.2950542155611036,1.3710486253387462,0.8608753230481945,0.8250711211066265,0.8577370709765145,0.8550564122108367,0.8582926575088271,0.8341951297572686,0.8387958936267759,0.8554743658851001,0.8710551115129871,0.852986333822431,0.839456780554333,0.8857865722989285,0.872838180630373,1.095298868897227,1.1179216933961629,0.9688366761610411,1.0957518736965786,1.0694194083258823,1.0645847842055507,1.0725509936319906,1.0844607093998369,0.7027175349843277,0.7132005267545787,0.7108192650223373,1.0859660345701612,0.7998765921619045,0.8667068941661912,1.1721231991712706,0.99913821732776,1.0319727744263065,1.0196678230604983,1.7039683132894645,1.143441071462562
