,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.6533211009476113,0.6032819818444918,0.7057967807162518,0.7368380345533515,0.7075601906495067,0.9776740748757132,0.6636913476608403,0.9241640861656952,1.0962633760318095,0.811648433423338,0.772534000951795,0.8511892169302309,0.7907115717017629,1.3581417986191637,1.3892741907565174,0.6057634785895852,0.5736729889883924,0.7161050949578477,0.6218199124515398,0.537047210675456,0.5339233805723119,0.5343817984360214,0.5355103074288675,0.5346312082259154,0.5323594973333398,0.5343306131366216,0.7538331472317403,0.7174315955802258,0.7754643348862369,0.8751821271197929,0.8727147360144621,0.9841448561180535,0.5800818459712943,0.5797823154300696,0.6067146675666476,0.5795237694790636,0.6161200841929689,0.5728609255024307,0.5705483683192063,0.6174148819750863,0.6044089976686754,0.5892459309721072,0.5691602168922151,0.6061423830065275,0.6251839178329348,0.825301958471786,0.8482408274016029,0.8366301174280762,0.8470045893227821,0.7980887139101406,0.9495686742771312,0.8479702952517,0.792894552838112,0.7912589376676246,0.7942714357312693,0.795418334911458,0.6631337605212219,0.6828781689755844,0.6871977017578449,0.9702946054215148,0.9960937275550553,0.779360173946649,0.6148295639401818,0.6536388111436139,0.8564047856037743,0.6896646041108833,0.6995086938272101,0.7333334934767975,1.0338070390558605,0.7993491665759548,0.6546561122634883,0.6526751084223895,0.6094600901645041,0.7072551171827245,0.9831766260937673,0.6693812851705871,1.1081257387594727,0.8535991959461641,1.3529752192248334,0.6088916101492946,0.5729916139698221,0.7145687855582926,0.6266771201519055,0.5344886036621662,0.541672303611299,0.5392116531632491,0.5384442948308006,0.5436754973185441,0.5354904643351996,0.5300309948330542,0.7306564875662301,0.8820638090646676,0.9835946396633014,0.5861916776018886,0.5850651761540586,0.6056008653814237,0.5843405255824212,0.6118177894483248,0.5718463836822089,0.5704604628192987,0.6121866254746263,0.6119667430876489,0.5935585633941348,0.5716750233603834,0.606969484351204,0.6259514394156487,0.8277810543757953,0.8393513670180374,0.8520284796695892,0.7982921068358385,0.7992115430692518,0.7951831908785115,0.7964604516982714,0.7980802353944219,0.6627032498243616,0.6790894165949867,0.6887985212525173,0.7833047699128034,0.6162127944194693,0.659328192720919,0.8558034510492524,0.689386752585926,0.7033898867247546,0.7307281685963867,1.0351870966428398,0.8005952338837142
lapgyn4_surgical_actions,0.6541402833644065,0.0,0.6008326767239005,0.7015715786946188,0.7362878751879686,0.7074156849169363,0.9771973489348094,0.6642703518241032,0.9234819331544789,1.0961000441794475,0.810576098992851,0.7714804004926622,0.8507223606638062,0.790255127505651,1.3576453124308643,1.3889618008312385,0.6066866360471191,0.5745926154303013,0.7168837502018398,0.6222510015106361,0.5358664607501773,0.5327360094360957,0.5331778937060552,0.5343336221259847,0.5334359044204283,0.5311556093872277,0.5331285543311345,0.7529283631658368,0.7163609717486971,0.7747446848567915,0.8745652082361808,0.8721248127818919,0.9832748666615249,0.5799080598611198,0.5796030962730201,0.6065408286439731,0.579329561650139,0.6159597912208152,0.5726786357724646,0.5703516051777818,0.617261338976891,0.6042588513241258,0.589069692882766,0.5689109413940197,0.6059566548260404,0.6250162602123436,0.8253972748616115,0.8472229996508034,0.8367678402241516,0.8460565768844824,0.7981093398572577,0.9494999496252902,0.8477124500660048,0.7929135530951251,0.7912801522084919,0.7942885644518242,0.795443104777846,0.6630058499969849,0.6828916470841598,0.6872209454523578,0.9684871411733195,0.9959765030334223,0.7791268374849118,0.6147038046268822,0.6532906001115645,0.8562378193243289,0.6891907240944587,0.6991935166102649,0.7329258501530814,1.0334920738311026,0.7993211867418218,0.6569897817522721,0.649425209200236,0.6070378710855795,0.7031114524788,0.9826840668455721,0.6699379223286418,1.1079655262170063,0.853120569862031,1.3525030902630961,0.6098402201068285,0.5738685074429809,0.7153662453335347,0.6271131944323559,0.5333609610025124,0.540354849805812,0.5380066279775537,0.5372135523794802,0.5423475002969114,0.5342110333812751,0.5288116346082963,0.7295559368076181,0.8814438902982431,0.9826955414828143,0.5860017199943183,0.5848913557600299,0.6054169337113532,0.5841439759436007,0.611646506801692,0.5716488717907842,0.5702677611752701,0.6120268155363268,0.6118152893863286,0.5933715322318769,0.5714304737736464,0.6067725786967587,0.6257893592299534,0.8278842479010375,0.8394981043583835,0.8510464532078522,0.798300466350664,0.7992171670762648,0.795204803830837,0.7964787510308052,0.7980892365498723,0.6625991473860621,0.6790588480368953,0.6888540776423427,0.7830702394406496,0.6160737810176281,0.6589673341367862,0.8556332195744943,0.6889223776085638,0.7030897279192675,0.7303122439185038,1.0348653500639151,0.8005623987240607
lapgyn4_instrument_count,0.6564605033150558,0.6531920157776695,0.0,0.7026054001296433,0.7370711901255972,0.7081803754535231,0.9775229032734796,0.6643314778685026,0.9246751657483575,1.0964322599113467,0.8118835069643336,0.7727080270709156,0.8514322722941432,0.7908419035240085,1.3585701743346386,1.3899631322272004,0.6071825639925601,0.5750843073991797,0.717148556741031,0.6229232163831605,0.5356872779664517,0.53224866290237,0.5326858792817045,0.5338515246417381,0.5329587109335776,0.5306778483743354,0.5326263292036589,0.753993134678986,0.7175188147201798,0.775214519807441,0.8755101587337052,0.8731112165736871,0.9845535596069657,0.5801514752935399,0.5798332793356485,0.6067850643628515,0.5795338376164133,0.6162112589969855,0.5729034680147804,0.5705490652716603,0.6175197540707694,0.6045116859362335,0.5893152074818527,0.5690731982326899,0.6064427208313773,0.625284327024972,0.8258177830414276,0.8480405276092652,0.837240982596676,0.847518347525236,0.7984072058495736,0.9499114568936476,0.8488580723864456,0.7932153870692119,0.7915821908961203,0.7945824992462235,0.795731804663391,0.6635756299606551,0.6833394155113717,0.687671798541028,0.9700190184026146,0.9963265401845925,0.7793514241933739,0.6149203177155524,0.6536057104919013,0.8567686553557076,0.6895978205294832,0.6995508533968516,0.7332275701037307,1.034351299810398,0.7999513793747628,0.6592875957263589,0.6525197876534893,0.6070945162054997,0.704160710424241,0.9830095376555964,0.6700013944667912,1.1082964062848433,0.8538246999428889,1.353416924002808,0.6103494837553944,0.5743413093337343,0.7156299077972049,0.6277967882892552,0.5332049005755577,0.5398929664101072,0.537528774490703,0.5366512125775255,0.5418208413543315,0.5337124791261952,0.5283143982438415,0.7307121244796216,0.8823832714468091,0.9839772071496095,0.5862418130699676,0.5851297553070335,0.6056662332843984,0.5843505706468543,0.6118804490179662,0.5718581627570586,0.5704733255790445,0.6122818395494761,0.6120966592588529,0.5936115512450263,0.5715848440367958,0.6072673262385538,0.6260479668498735,0.8283259042969991,0.8399780352986163,0.8524999998512097,0.7985954223169385,0.7995154930295181,0.7954999486382572,0.7967763419319756,0.7983885795734382,0.6631604066205655,0.679520644302649,0.6893143427492419,0.7832883329459865,0.6162994404214024,0.659285847095248,0.8561661156319147,0.6893232775852548,0.7034401683126251,0.730625286147799,1.0357225497150853,0.8011915076721059
lapgyn4_anatomical_actions,0.6558355984776886,0.6507912140392605,0.599465696420516,0.0,0.7366794138819799,0.7079840182724059,0.9769015758710081,0.6643846802186354,0.9238056270698444,1.0965419624307504,0.8107467986504039,0.7717402565043817,0.851017903550526,0.7904958997673704,1.3583109294582087,1.389930569043479,0.6073417956265471,0.5752253062987916,0.7171641028151221,0.6226023769233974,0.5352438870092927,0.5319575535597946,0.5324086965146498,0.5335735518095793,0.5326876668514188,0.5304005794223848,0.5323433338845208,0.7533820108312023,0.7164986950390627,0.7747178165065319,0.8754246566697755,0.8724970692493407,0.9841405753815776,0.5801470802608603,0.579822122024323,0.6067621165437135,0.5795576444196712,0.6161736309434723,0.5729059348701216,0.5705687532077306,0.6174884373844439,0.6044856610988663,0.5893013088033398,0.5690920137989685,0.6063532021658851,0.6252360176954174,0.8258784832040603,0.8475133725245021,0.8373223245561837,0.847179580252973,0.7984644304002274,0.950010345454718,0.8484816321584535,0.7932844736641363,0.7916502061629197,0.7946456268828145,0.7957990552817531,0.6636138958654753,0.6833473769500461,0.6876785690291816,0.9694889505704557,0.996281498576392,0.7793577917257983,0.6149042198313103,0.6533262302118258,0.8567874607396945,0.6894619183223242,0.6995212219318802,0.7330449007351135,1.0334350515355306,0.7999804743551039,0.6586915221650333,0.6501653843004972,0.6057296946493824,0.6991133637118736,0.9823901582609377,0.6700467295122364,1.1084205397417468,0.8534073702096884,1.3531604969258575,0.6105129945169856,0.5744929349651171,0.7156468789884834,0.6274590076445963,0.5327799165975654,0.53959264266649,0.5372459091845859,0.5363780521021374,0.5414995695768602,0.5334394794711198,0.52806196334137,0.729643690762046,0.8822944637448585,0.9835637379893257,0.5862389938706212,0.5851080476962287,0.6056563791501562,0.5843812826193829,0.6118502104696615,0.5718710099248997,0.5704736706375105,0.6122510859360673,0.6120606006714856,0.5935940134128673,0.5716056708009911,0.6071713418699367,0.6260157181583396,0.8283820364908822,0.8400628179482282,0.8521750901570719,0.7986562834040503,0.7995737088692344,0.7955654825508899,0.7968315166779415,0.798454076077217,0.6632079916790317,0.6795100651684067,0.6893281506332288,0.7832828359211194,0.6162881986569518,0.6590060315938183,0.8561750478388183,0.6892006580994502,0.7034258287747371,0.7304170293963693,1.0348136877553225,0.8012151355691136
sklin2_skin_lesions,0.6621912083466416,0.6608218665644636,0.6092458424483231,0.7119937699138332,0.0,0.7071880718522964,0.9752146618206904,0.6650970277177968,0.9213040932408808,1.09377239631012,0.8091701436365445,0.7699983355269806,0.8491857097085415,0.7884439700790319,1.3550762921917452,1.3858655428186821,0.606879220117896,0.5742875726260781,0.7178958636866791,0.6238373701517254,0.5404628203548083,0.5372329973089559,0.537670949651832,0.5388368904024906,0.5379260229964135,0.5355963510882129,0.5376008721519113,0.7412729452704677,0.7181707244392657,0.7723266637582974,0.8736165925283119,0.8610141079854813,0.9812723029067808,0.5789934194136674,0.5786163551354636,0.6056930874933958,0.5782443441714367,0.6151198801874255,0.5716769010151163,0.5691935363969961,0.6164870752612094,0.6035122503167777,0.588157374284272,0.5675877729908382,0.6053420009410881,0.6242868578898912,0.8241864317709299,0.8329923221851218,0.8355748488131577,0.8333009222443218,0.7963149015191803,0.9483480906882544,0.8463675670274066,0.7911399435721519,0.7894928434797895,0.7924771162309341,0.793628448041331,0.65960740638547,0.6782018347486867,0.6826229035075096,0.967221325257117,0.9938407376901367,0.7778961512692305,0.6136063464190132,0.6525307757318204,0.8554029337336475,0.6882210671235689,0.6980718776341664,0.7315901500702124,1.0318746453497962,0.7963461717761403,0.6650315148985696,0.6600828585444503,0.6155810953777104,0.7135004363282226,0.9807516705778072,0.6707247306442102,1.1055462775534082,0.851614917682808,1.3499478247505399,0.6100505439302094,0.5735224633236535,0.7163678135058741,0.6287356009640702,0.5378568481201643,0.5449568465588804,0.542541953024893,0.5416552039111946,0.5469660912687299,0.5387652956681978,0.5330414957233439,0.7314327314903742,0.8804936633143323,0.980649057285362,0.58514688711197,0.5840065312630984,0.6045398698264008,0.5830854232435443,0.6107427658724688,0.5705896319032278,0.5691239827460469,0.611166221911791,0.6110891220117928,0.5924746613937996,0.5700542703834858,0.6061497097076397,0.6250574693814593,0.8266805595238976,0.8383307525567645,0.8384063771484206,0.7964903697313366,0.7974216818111041,0.7934466283052597,0.7946598081484569,0.7962827876518993,0.6590819291261097,0.6744164249071515,0.684192021296453,0.7818843533681975,0.6149847201795507,0.6581779014367296,0.854831912955167,0.6879338619788199,0.7019514428884818,0.7289745016090722,1.0332423344081294,0.7975332623911916
identify_nbi_infframes,0.6611140327935314,0.6601503446441658,0.6085556961269837,0.7114990426549938,0.7353887402030311,0.0,0.9681098390670594,0.6627855854980198,0.9210225287164163,1.091148379103364,0.8092950291641635,0.7698724665233495,0.8475273543898062,0.7867183324946717,1.355175688266239,1.3863399757681758,0.6063589598121815,0.5733736386875511,0.7150537657247148,0.620349649142886,0.5400708993589897,0.5365882284355331,0.5370470200101801,0.5382519496019845,0.537321139956324,0.5350125127095818,0.5370015778618219,0.7510339060324616,0.7160923551752179,0.7713476950150829,0.8729560924179101,0.870790351572996,0.9819010100620038,0.5792544737433697,0.5789364452854783,0.6059460820053896,0.5787098007537431,0.6153621138270234,0.5719934593291935,0.5697073147240941,0.6166847225987241,0.6036677383443965,0.5884513433665783,0.5682192166304362,0.6056950110259987,0.6244672802274059,0.824555997051153,0.8456344342361781,0.8359729769319224,0.8455093219516283,0.7969037351457575,0.9490993533773316,0.8462499626461714,0.7916837165607081,0.7900460521584499,0.7930435859773031,0.7942125860949915,0.6615361324209014,0.6811781000549514,0.6854981484622119,0.9660303390790067,0.9949176006656723,0.7772218715234119,0.6116142855794446,0.6508194956735017,0.8550016924253288,0.6870580004376462,0.6964199128362646,0.7298859660144981,1.0319057674399152,0.7985585425771967,0.6639530402699386,0.6593967830824857,0.6148270326761627,0.7130227610615707,0.9735158688137595,0.6684061539713083,1.1030484794742563,0.8498812726895935,1.3500811283901377,0.6095334666062658,0.572653880921585,0.7135256324579721,0.6252299171427307,0.5374365434394498,0.5443146593000411,0.5419724105056369,0.5411014820169383,0.5463762689447862,0.5381824560656083,0.5323974127744003,0.7292917508591388,0.8798575548836179,0.9813328149223559,0.5853676646187557,0.5842290821162381,0.6048458555363114,0.5835425106461631,0.6110040242907125,0.5709437426782423,0.5696091998752283,0.6114231478821183,0.6112519009378493,0.5927535352938144,0.5707371329553754,0.6064785961857795,0.6252788719793907,0.8270775231895374,0.8386576147640709,0.8505056951890605,0.797079318579268,0.7979804453465352,0.7939624540412119,0.7952429885328467,0.7968796121899347,0.6611242187422702,0.6773869640285204,0.6870933019542801,0.7811593005103997,0.613002923649878,0.6565255383185152,0.8544300200843485,0.6867917070376888,0.7003083973223507,0.7272603406002327,1.0332846981649149,0.7997738869682897
laryngeal_tissues,0.6632688465308542,0.6619729381731553,0.6099391534580565,0.7124575297647123,0.7354562596825414,0.7001507685781756,0.0,0.6648107469957593,0.919735849732385,1.0788182241688118,0.8069285230316945,0.7681425230861931,0.8385266735307747,0.77803092991689,1.350463936287416,1.3823749966018528,0.6082346303854417,0.5754286114873738,0.7178667296182875,0.6241357936093754,0.540728522822875,0.5373719783577516,0.5378453679141696,0.5390440272195156,0.5380934928603135,0.5357854180224254,0.5377824962345613,0.7507318044312429,0.7186445134958741,0.7722344396638642,0.871876090972941,0.8702111991254228,0.9827669843331807,0.5798752451629842,0.5794675737363427,0.6064077298963583,0.5792587595822116,0.6157570598429921,0.5725632973373496,0.5702229133312086,0.6171301648516718,0.6041957279150526,0.5889413904242137,0.5687359694302591,0.6062437199195715,0.6248783393162912,0.82491685319733,0.8459826235724593,0.8364014530911202,0.8446096258972844,0.7974121873726637,0.9494578688334044,0.846735575680369,0.7921720580063645,0.7905614218072311,0.7935579922016048,0.794712549545856,0.6605303154290575,0.6803104141698783,0.6847808167698473,0.9657453743137253,0.9951714024238284,0.7777969242841721,0.6126669599287465,0.6519543477181162,0.8560569955376517,0.6879707052556979,0.6962540770944207,0.7309739895174457,1.0308528614246337,0.7989369611973319,0.6660770462338239,0.6612312947885585,0.6162763434447355,0.7139754793041018,0.9446444953635823,0.6704411574091518,1.0907923509199124,0.840959452077958,1.3451941537290233,0.6114670191196302,0.574750769333387,0.7163358202447739,0.6290549163357827,0.5381180175283351,0.5451262597040305,0.542799413904418,0.5418296046344695,0.5471204481248174,0.5390259477195978,0.5332031085039106,0.7319786168360448,0.8787520098579198,0.9822216900008245,0.5859400936555575,0.5847442624551235,0.6052789435705092,0.5840623450475484,0.6114328818952229,0.5714981284988986,0.5701411772714052,0.6118811303173577,0.611798910534547,0.5932207877030121,0.5712483219921775,0.6070275794934147,0.625722412787026,0.8274619017575894,0.8390847980326438,0.8495562364003414,0.7975823888139866,0.798464817143754,0.7944484431040554,0.7957467668795446,0.7973537436225699,0.6600429057868847,0.6764582026877181,0.6864872244676445,0.7817579996774099,0.614043725329909,0.6576033451417754,0.8554978122591713,0.6877213732359492,0.7001550033513402,0.7283665195589096,1.032188323594946,0.8000969936873833
nerthus_bowel_cleansing_quality,0.6621576218256964,0.6619174435721641,0.6096192305627945,0.7128121366220546,0.7382101280893627,0.7076980175188511,0.9776822495054743,0.0,0.9259858436991021,1.0966364561303206,0.8128914582093492,0.7737359408159312,0.851364280934992,0.7906040974513159,1.3582266866734038,1.3891668956076326,0.6029817634016381,0.5694610149853411,0.7053678885980256,0.618958166846926,0.5401650185474047,0.5366453664911356,0.5371054449407827,0.5382551139206079,0.5373377693270306,0.5350331746584135,0.5370247463471118,0.7542933785932725,0.7158934279052995,0.7759865755446439,0.8756946555776791,0.8731960726754734,0.9842252174665647,0.5801150009005347,0.579787790124935,0.6067935495271379,0.579513322285908,0.6161929906586676,0.572862415275421,0.5705311841468842,0.6174952221907849,0.6045101309963532,0.589290170953431,0.5690192567172887,0.6065957584175387,0.6253042488429043,0.8252136092343596,0.8480918375391765,0.8366156325005457,0.8494231014134807,0.7983697521466725,0.9493001676959549,0.848735271391878,0.7931626961137067,0.7915261749536358,0.7945432406474889,0.7956673959735108,0.6614686337056704,0.6814587535662829,0.6857141357105228,0.9713507148169009,0.9961113010780455,0.7790323087196395,0.6139281802105679,0.6527463849009792,0.856715263788223,0.6892255033760609,0.6988321797199921,0.7320659123643712,1.034208231094476,0.8000156839791533,0.6649701231432495,0.6611358071276715,0.6159268160442651,0.7142618242473815,0.9831687521167578,0.658604536310765,1.1084989012277755,0.8537253046644668,1.3530768491801153,0.6061813442061391,0.5688941319980207,0.7038981131958663,0.6237215794821874,0.5376261235263023,0.5443961732671019,0.5420058494857186,0.5410832551246242,0.546421298536847,0.5382263066212108,0.532557442926357,0.7291232945267204,0.8826159859600539,0.9836475986159793,0.586226537687379,0.5851015491692365,0.6056603668080598,0.5843464537798906,0.6118681790260027,0.5718461705906158,0.5704170537251017,0.6122698427606375,0.6121083386288685,0.5936163330759793,0.5715439208286863,0.6073795987986736,0.6260563046834308,0.8277047918310773,0.8393218503847777,0.8543763054191421,0.7985608683275789,0.7994745153813047,0.7954598667061893,0.7967353151040744,0.7983194005840789,0.6611881238942269,0.677650439024227,0.6872328115984242,0.7829580410008979,0.615333362369543,0.6584370394991177,0.8561279186998468,0.6889722565776664,0.7027143160029533,0.7294528196584394,1.0355975235772883,0.8012524061957671
stanford_dogs_image_categorization,0.658754997637968,0.6572536622099565,0.606087555750066,0.7083577207806804,0.7305418309198634,0.7020595980446643,0.9687319895495167,0.6621104810065188,0.0,1.0869670811222798,0.7934378394773499,0.754558619193307,0.8348610524503886,0.7769556646828581,1.34656018395703,1.377894629805321,0.6046961055680763,0.572078154677821,0.7143202043191513,0.6196625921253434,0.5375275300237387,0.5342358488919489,0.5346791398415959,0.5358926444985044,0.534961219996073,0.5326175169811016,0.5346146333573,0.7465625141190856,0.7139207026889253,0.7671934136225405,0.8666274309993257,0.86534272465962,0.9761799660001905,0.5774881234185354,0.5771949557158523,0.6042421532300345,0.5768934201424504,0.6136005474344808,0.5702176278324843,0.5678881387482182,0.6149830825994106,0.6019874064570623,0.5867124046953899,0.5664114617613311,0.6035071984485602,0.6227536912958008,0.8218526671299645,0.8414768335337399,0.833247626528963,0.8400796192960648,0.7945005398990483,0.946570117362393,0.8405988475166494,0.789264684282749,0.7876654045679907,0.7906067141290313,0.7917856087389072,0.6583135310934629,0.6777088715790754,0.6821321252467527,0.9593640171916725,0.9922484221246922,0.7731817437115983,0.6100642765176312,0.6476403208695009,0.850917972452057,0.6829286219747909,0.6926178670036179,0.7270946891662261,1.020290345005706,0.7952130029815291,0.6615154190727085,0.6565194180310889,0.6124009565310159,0.7098689891612154,0.9742128314706959,0.6677374714589739,1.0987884333030677,0.8372758071824675,1.341399522336137,0.6077879805001816,0.5712964897634173,0.7128339653492836,0.6245654767137298,0.534940804872428,0.542034552634061,0.5395692730323652,0.5386588207806459,0.5440198703126603,0.5358898654673365,0.5299858538948786,0.7272466805473253,0.8734573366811794,0.9756074841548132,0.5836373700361088,0.5825205369867164,0.6030966419041855,0.581733618198933,0.6092491263486908,0.569135716663304,0.567777305800394,0.6096925133906174,0.6095804779828067,0.5910291840445009,0.5689654362242912,0.604314517280216,0.6235093688420564,0.8243527314063698,0.8359519534887158,0.8451317225855804,0.7946657759237046,0.795554342378472,0.7915661464507525,0.7927857052262416,0.7944433413572879,0.6579402178966026,0.6739075501880611,0.6838452460174667,0.777115997945982,0.6114195982859812,0.6532268892957642,0.8503123288740976,0.6826122620774377,0.6965472669454331,0.7245000175149818,1.02163697563956,0.7965282750809554
svhn,0.6633678252301677,0.6623853109610103,0.6103581876391407,0.7136075938676717,0.7355236717151881,0.7046989861576973,0.9603279017120289,0.6652746311638227,0.919480618848365,0.0,0.8070257494653829,0.7682412944677983,0.8295370523472757,0.7696724198010995,1.3411408977731878,1.372026876095437,0.6089195745014219,0.5760978965668956,0.7184990081873925,0.6235129735066055,0.5406905198034383,0.5371693214190443,0.5376297259754622,0.5388281839917456,0.5378984171585852,0.5355604223467388,0.537577231235958,0.7516095478701393,0.7183794237056041,0.77270086168349,0.8717675598805877,0.8714394323820279,0.9817933438658275,0.5798470269352142,0.5794633047533645,0.6064795780097342,0.5791547585810043,0.6158652216152222,0.5725202996043713,0.5701398293352095,0.6172373133035894,0.6042685874997827,0.588980056623527,0.5685717905514474,0.6064060839313848,0.6250339095911254,0.8258501962456016,0.8467414654228144,0.8372611545899128,0.8465822133465976,0.7974571759157271,0.9498488076629261,0.8468544680255157,0.7922634331249486,0.7906261236315446,0.7936346861352934,0.7947526501331903,0.6626380288288917,0.6824911693405459,0.6868856546358272,0.9676197881041846,0.9956106397429334,0.7776909968767146,0.6126577544744142,0.6521366782403463,0.8554837778958193,0.688010633525324,0.6968792575515467,0.7308010046881134,1.031660006295822,0.7990770596622703,0.666143674959179,0.661631388175372,0.616683616974778,0.7151308006075818,0.9658859624613333,0.6709406187907568,1.06041263530933,0.8320764744231047,1.3359042939127115,0.6120625975845687,0.5754250674597836,0.7169392000117959,0.6284455335507212,0.538103260329211,0.5448899803564689,0.5425501590620647,0.541665249349408,0.5469364114465266,0.5387923169267237,0.5330263446902032,0.7317401626837957,0.8786093378801499,0.9812593988954504,0.5859443904668501,0.5847578105554785,0.6053557676864894,0.5839655715984243,0.6115482324695363,0.5715087253362329,0.5700277879498853,0.6119893933656294,0.6118441987130271,0.5932659559205545,0.5711026811602408,0.6071917534922072,0.6258225282441519,0.8283991507694027,0.8399905188283112,0.8516472264147591,0.7976415882034041,0.7985706428352549,0.7945483619465982,0.795822732141358,0.7974103025953209,0.6622131461789064,0.6786734197464064,0.6885241809924786,0.7816493656814107,0.6140729391073475,0.657806182734318,0.854936417104318,0.6878176833024497,0.7008048283657576,0.7283018633103066,1.0330432845859263,0.8003075681939883
