,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.8950538033582603,0.7710937013164519,0.896091332907979,1.5393883168893296,0.8207173906888797,1.093655540158153,0.7007695177140643,1.4578954859546343,1.2484520753103814,1.0649355004588303,0.993308886608217,1.172795267710588,1.0585054266848442,2.0914145857638773,2.1454303678166315,0.6632869326707357,0.654351515624008,0.7198927652454344,0.6479273793625807,0.5965406084858494,0.6521885245204372,0.6533942717940097,0.6545198927468503,0.6512080085943475,0.651057441552371,0.6508352256670631,0.8679295655007935,0.6059956609430642,0.965963121679855,1.0375090906284,1.1432140408506155,1.3545713298017195,0.7336545956288667,0.742023203561278,0.7818701449940341,0.7415474970869474,0.7897584115927113,0.729796680572297,0.7278043686659922,0.7931264997862133,0.7805882025651406,0.7572350528193388,0.7320933861354847,0.7903224322927759,0.8041050168474836,0.9856267327590204,0.9661990567616406,0.9985509646082277,1.302096283592845,0.9420930615940973,1.2593674862946382,1.03608106317616,0.9371370999516846,0.9336144537756962,0.9360235132944871,0.9393500998819535,1.0369993604678318,1.1695648483360144,1.1721569793320379,1.382510929147004,1.2379171299402008,0.8504496203861298,0.9472460173878051,0.8896163196631196,0.9907677823125001,0.8351070870730078,0.8383114914050248,0.8683523905327545,1.1357148104302335,1.0351061545853988,0.9992390673139705,0.8828538260046157,0.7755239580502257,0.896634856431168,1.1011324804389089,0.7118582388491932,1.254163832259703,1.1605289858273626,2.0880555411027433,0.6618117927546479,0.6520949060389146,0.7108109046142026,0.6497007224033949,0.5915863306208867,0.6588650463353894,0.6560986933939592,0.6538244307851664,0.6660702270359438,0.645003163701908,0.6458465694270613,0.619989534802331,1.0347338342170753,1.3586752362909753,0.747473117422259,0.7499405311305841,0.7778008481917351,0.7489878950342238,0.7826143324524235,0.722340293426862,0.7311753918104813,0.7775620009374035,0.7969098772276957,0.7581771289204337,0.7302405790938146,0.7916035116410018,0.8020338987026051,0.9875282360601391,1.003300634888116,1.294759577021364,0.9409617334657755,0.9382398935507048,0.936098584122047,0.9414898691291191,0.9442464833154971,1.053770365994805,1.1537022329783235,1.1716399237468307,0.8475508902171197,0.9478313690293906,0.8994936789740531,1.000682554395227,0.833247253371709,0.8435171506994122,0.8684964397888427,1.1366447233070553,1.035577486644178
lapgyn4_surgical_actions,1.0065400415109276,0.0,0.7739004854894086,0.8973560835913522,1.5440189222732243,0.822375798338399,1.095215788133193,0.701251723058896,1.4589121596588412,1.2483086361890672,1.065026620686475,0.9934133119139864,1.173182857573649,1.059023576079155,2.0913918996633964,2.145568272692713,0.6659431985884842,0.6566479117370689,0.7209860276475578,0.6480407259053292,0.5972683220338062,0.653185887677769,0.6544283405502997,0.6555401382609528,0.6522286006969917,0.6520684011680361,0.6518364473921032,0.8685660734497919,0.6064740414701876,0.9659169262955203,1.0374974073273984,1.1477504494636765,1.353210413115301,0.7335728866638026,0.7419238076430889,0.7817394020315742,0.7414782531869877,0.7896351169375432,0.7297097093155663,0.7277333687243656,0.7930099158341702,0.7804757678318475,0.7571195252084414,0.7319985062329205,0.7901295882235452,0.8039494789501278,0.9858412485074979,0.9686219074710557,0.9987222522968094,1.3057671511381974,0.9426640698686167,1.2594315537879075,1.0354543597840127,0.9376887405308914,0.9341786363080281,0.9365796040429647,0.9398972372450144,1.0387183191720386,1.1721849839282419,1.174840719012807,1.3812770373564192,1.2384754126027409,0.8502749544028365,0.9470854989435744,0.8896252642657637,0.9907676911338942,0.8349996187069021,0.8380552683383983,0.8682038515807112,1.1368325130406904,1.0369658391099184,1.0073338400806773,0.8849536858937185,0.7782874871971409,0.8978558472317291,1.1026665520337406,0.7123043536211083,1.254050394596722,1.1609492585680277,2.0880249756402836,0.664447615026563,0.654322982894163,0.7119033724329927,0.6498242079956226,0.5923272191037394,0.6598906809901172,0.657082792553895,0.6547754363253105,0.6670832567818173,0.6460604256873648,0.646728516256268,0.6204580121393503,1.0347200567754489,1.3573080458285156,0.7473964163087574,0.7498467042488534,0.7776784443959418,0.7489215463035349,0.7824893107920469,0.7222483121050272,0.7310982542386464,0.777441155904631,0.7967844433407566,0.7580560386272447,0.7301595335532297,0.791407754472813,0.8018861234224369,0.9877354427461166,1.0034807294777395,1.2983647670667164,0.9415273562585241,0.9387887935960574,0.936647963906983,0.9420559181718676,0.9447962775665788,1.0554882255583868,1.1562459445340927,1.1743323229588498,0.8473775569942431,0.947678243540889,0.8995078928605516,1.0006731265499547,0.8331529372451868,0.8432643573723689,0.8683433094305495,1.1377496782482412,1.0374543640593223
lapgyn4_instrument_count,1.0191960488127203,0.91051659483301,0.0,0.8955609016092908,1.5471246365021003,0.8217473073849835,1.0988202994323817,0.7013284756080846,1.4627715391611547,1.249291610600235,1.0682388547721218,0.996448309306925,1.1749541437426292,1.0605959717663644,2.092656262459981,2.1468831119085685,0.6669089742887143,0.6580496430102158,0.7216357688946631,0.6479979905118095,0.5959840686194532,0.650722493469145,0.6519313214588633,0.6530188166695164,0.6497322142618053,0.6495973714515997,0.6493697654230627,0.8706950405953346,0.6061434546834387,0.9683406046129379,1.037793283470337,1.1533603321560943,1.356655969401469,0.7340727301504911,0.7422860754526943,0.7820581208568044,0.7419604583012803,0.7899131981976693,0.7301624559402757,0.7281795995157415,0.7933229550500253,0.7808924427508277,0.757460261130026,0.7324960916466926,0.7910196526607546,0.8042313009003581,0.9863081235046032,0.9705648839264943,0.999400332827769,1.3107370168774901,0.9425291180428053,1.2610185475740754,1.0370950434660138,0.9375504188483091,0.934048330393675,0.9364412416702783,0.9397708392212861,1.040219353466019,1.1738645614513887,1.176457738879704,1.3913597100097743,1.2377089557118255,0.8510653269780667,0.9469065595917213,0.8892949438982857,0.9911688123289162,0.8353590898498409,0.8394820401063369,0.8684069975283374,1.1376248544049832,1.0376714855002527,1.0200436041402827,0.8980379037944695,0.7765233532619545,0.8960449049762302,1.1062984619787624,0.7123820290869635,1.25502141228914,1.1626739497630496,2.0893016001946805,0.6653547302059598,0.6556946941282474,0.712531718588952,0.6498045774328319,0.5911091536320947,0.6573560797762849,0.6546192798687087,0.6523189081974159,0.6645299734716309,0.6435724600724909,0.6443437836101442,0.6200740312901013,1.0350088192595335,1.3607761403047876,0.7479125123735709,0.7502323605089796,0.7779945775310679,0.7494474280975151,0.7827912153985271,0.7226727472844242,0.7315691764492933,0.7777175890788198,0.797214368559216,0.758405677973308,0.7306699868706475,0.7923335791443972,0.802127665620063,0.9882929325088469,1.004198268198803,1.3034319096810092,0.9413822367243793,0.9386546378639959,0.9365124578884633,0.9419211090153271,0.9446652194777467,1.0570099331075755,1.157929109387969,1.1760574199351217,0.8481873867830151,0.9474964481213277,0.8991542532743235,1.001073286768414,0.8335272886094794,0.8446928058590576,0.8685427611594254,1.1385922698989923,1.0381454095772609
lapgyn4_anatomical_actions,1.020459155128001,0.9102376676587074,0.7718263763330446,0.0,1.5480800675830058,0.8230214806794308,1.1002814817502664,0.7015200156863862,1.4615858796951853,1.2500805372670782,1.067504425410319,0.995716065674289,1.1751691711125973,1.0609754272483116,2.0921905758325536,2.146518285072808,0.66804913161962,0.6589141883098715,0.7219783241812979,0.6480199329599027,0.5964757693878587,0.6513769336646341,0.6525920711465398,0.6536762231931305,0.650395191514586,0.6502622146418804,0.6500304940560516,0.8708734267413446,0.6062206715846569,0.9693146605375936,1.0379336569080133,1.1547062067135625,1.3574662055474789,0.7341496433407718,0.7423797293070372,0.7821387381877102,0.7420539214524986,0.7900045467525333,0.730245781982119,0.7282788177450848,0.793412201287181,0.7809576610192334,0.7575490732135357,0.732577059381244,0.7910425946921812,0.8042995136088681,0.9865652007704048,0.9714326584448999,0.9996343907315913,1.31255241974225,0.9429344929127734,1.2611716491367517,1.0369348460312944,0.9379488890828607,0.9344466944433307,0.9368382988709757,0.9401619466042752,1.0409296893776538,1.174754937323961,1.1773519266402972,1.3917026288641177,1.238103100139085,0.85129018145741,0.9473820796830438,0.8896214336771081,0.9914257539306552,0.8356172326364758,0.8397367247158883,0.8687170686222639,1.1369046867489097,1.0386661500577208,1.0213438027862924,0.8978113294977709,0.7761540242647351,0.892994238244636,1.1077481199216472,0.7125605592824525,1.2558244368856706,1.1628975218074968,2.088832338085482,0.6664726202191573,0.6565651630086323,0.7128589490057952,0.6498201549069668,0.5916232024213337,0.6580292407139613,0.6552576982282602,0.6529678050856133,0.6651732845785782,0.6442506443435008,0.6450119892353207,0.6201374028918404,1.0351467749237722,1.3615838840549639,0.7479884848477057,0.7503251959518643,0.7780839929869736,0.749534938839879,0.7828825982763078,0.7227617193549131,0.7316574737020739,0.7778050693133712,0.7972606615541841,0.7584991111635887,0.7307588171442615,0.7923525025299903,0.8021977833806563,0.9885448535767317,1.004438958003667,1.3052306049416025,0.9417920458521599,0.9390523012626097,0.936904276221973,0.942328081007691,0.9450567801810482,1.057723586701502,1.1588154800782495,1.1769405800785275,0.8484076786191291,0.9479648855954625,0.8994854683396042,1.0013474956097363,0.8337852316825728,0.844963420247255,0.8688469516413728,1.1378573210840648,1.0391698403717082
sklin2_skin_lesions,1.0228239306331075,0.9159682978643348,0.7824579027496096,0.9071478591067615,0.0,0.8131141837626625,1.076578874299644,0.6990981223112845,1.4548117022055003,1.2431913676289559,1.0608074978164672,0.9900908743434581,1.167414640042183,1.0503780417508144,2.0871758969235974,2.141399536072706,0.6585327804971225,0.6492740920962281,0.7180230855197379,0.6479211305353219,0.5986516930049447,0.6546151916827615,0.6558497402844591,0.6570454787763622,0.6537051705353177,0.6535196436235495,0.6532845527382416,0.8429449118428054,0.6068238651496594,0.9672199211729087,1.0373328415928074,1.1030548872707524,1.3555939627713354,0.7330029321141076,0.7414576024163108,0.7812392414271917,0.7408820572701051,0.7891120657472234,0.7291735228778505,0.727204170541858,0.7924916533157252,0.779949757370694,0.7566181280155173,0.7313606365790589,0.7894276745853087,0.8034679199993913,0.9826191683718656,0.9280315468406316,0.9955339550908645,1.2622732190233983,0.9367536041730885,1.2563825085741502,1.0322015807160885,0.931876557035884,0.9283112946489581,0.9306432907562906,0.933986856406257,1.0033927298176561,1.1300264002900053,1.1331175945672787,1.3846615655280783,1.231824571946275,0.8485513427177249,0.946134180526692,0.890130348140548,0.9887625600216993,0.8346196905764781,0.8371045966663075,0.8667129436846622,1.1284865346498496,1.0144640626722026,1.023383821963274,0.9033080607841275,0.7868755927516126,0.9077668679164091,1.0836354813121707,0.7102799363761009,1.24893441852359,1.1550683489011453,2.0839071221322554,0.657659585333639,0.6468281139564473,0.7089892812426726,0.6497754771959275,0.5934051306217528,0.6614325532633388,0.6587472039677419,0.656047833155824,0.6685731305394139,0.6475735874006907,0.6478420008602189,0.6210519433058012,1.0345448199210665,1.359645722945487,0.74684497343875,0.7493831585663461,0.7772201524764553,0.7483402567277982,0.7819585774923521,0.7217297669433531,0.7304825149754098,0.7769480294929569,0.7962142868769991,0.7575238229056745,0.7294646511389514,0.7906855410819721,0.8013971822060753,0.9846186822068383,1.0002923400582528,1.2558287841185842,0.9356480178937249,0.932966724384904,0.9307915101906215,0.9361762858357143,0.9390363245924048,1.0190447961389004,1.1145461565859602,1.1327852809482175,0.8457016774185067,0.9467753015042151,0.9000229017483566,0.9986554617658846,0.8328518442449709,0.8423235187731949,0.866917608982417,1.1293777203782336,1.0145970821658772
identify_nbi_infframes,1.0274660119834176,0.9176381814802698,0.7803935811832531,0.9054022797539466,1.5364271913134224,0.0,1.0822609642697458,0.7010821844428445,1.4591873649099771,1.2356961801250992,1.0643454511850066,0.99242005431356,1.1671047819133265,1.052007771252166,2.0844464813728663,2.137767719701662,0.6663947379672243,0.6578223135637257,0.7208005824169229,0.6447531303882361,0.5979047728969213,0.6530997200382801,0.6542896047858108,0.6554942045407347,0.6521538639950027,0.6519757438801096,0.6517689432552184,0.8634725888701987,0.605271917945282,0.9594586617029064,1.0349808423832219,1.1465313611861667,1.351394754941958,0.7319946069800428,0.7401277928161,0.7798903659806268,0.7399747901178112,0.7876391214595125,0.7280852836552439,0.7261216149650848,0.7911183626217643,0.7787988165725667,0.7553175291054108,0.7305856776298899,0.7884249998679103,0.8020480763366805,0.9828845844226964,0.9641060580216708,0.9961180407510705,1.2995304296836043,0.939999006252565,1.2586791627890435,1.034031879917961,0.9350493742846315,0.9315386968586433,0.9339188781352465,0.9372658585247962,1.0357748559075495,1.1690075494267738,1.1716427151363389,1.3830828189487008,1.2352857359137728,0.8470127054222015,0.9378411924238771,0.8830234645299205,0.9866237983121136,0.8300611735543924,0.8345021236546385,0.8622250883813264,1.1349669203621389,1.0332654370693877,1.0282678483005634,0.9049395313141252,0.7847463027217144,0.9058065071573443,1.0895698415817516,0.7121246778045359,1.2414648424910875,1.1548307080769762,2.0810742461257945,0.6649292080511365,0.6554073763093615,0.7117959901190245,0.6467314002649877,0.5928478706178962,0.6597869447178156,0.6571011371019062,0.6545316291675924,0.6671295529183698,0.6459515905999592,0.6464237990464665,0.6194381413878821,1.032190730451064,1.3555140694260057,0.7458653269114559,0.7481485602942604,0.775817800011661,0.7474810502786292,0.7805400901447456,0.7205137889837673,0.7294805607267616,0.7754994836036837,0.7951613993210591,0.7562560335137972,0.7287419207054074,0.789761909398428,0.7999953326579479,0.9849992504191275,1.000869294468459,1.2922568256251443,0.9388515288794519,0.93615893395136,0.9340263753430148,0.9393908164047744,0.9421620774661523,1.052499142749627,1.1531040709571039,1.1712273259443609,0.8442215252141292,0.9385041388310875,0.8928019206377292,0.9964169278818198,0.8282638256213227,0.8396406107615259,0.8623491715827271,1.1359549532650022,1.0336331709901458
laryngeal_tissues,1.0266077424094353,0.9166817522318084,0.7836701541873957,0.9088658617815267,1.5260954628071488,0.8084645452264901,0.0,0.7004207388141747,1.4542675002578698,1.2210648443922627,1.0587988313896701,0.9867628225390567,1.1554940291883025,1.0408021123422462,2.0762577735176335,2.128208518096429,0.6667038254375127,0.6574754102397434,0.7202138915668991,0.6467277188741497,0.5989297270729391,0.6545983755684643,0.6558207781805785,0.6570199337427941,0.6536806573246663,0.653484868238419,0.6532706186812361,0.8557227761321539,0.6055971345041121,0.9602430065299656,1.0351599191373644,1.1376283632267679,1.3506114662273507,0.7320778943071021,0.740253675481701,0.7800013951826861,0.7400104983823704,0.7877724130834469,0.7281652766854282,0.7261992817973525,0.7912569154305946,0.7789801384569177,0.7553910787371576,0.7304724311418451,0.7888223699684072,0.8021648217366565,0.9827469009815267,0.9591598188252929,0.9958779749791716,1.2861098356955594,0.9404464325119162,1.2572728493608947,1.0321491291981455,0.9354706301273158,0.9319616311518484,0.9343283680013683,0.9376677539768555,1.0299672610861714,1.163111037092375,1.1659004043123566,1.3785889662497184,1.236016409321561,0.8452448856268653,0.9366478990347905,0.8849779346304175,0.9846378144282354,0.8295721684725975,0.8308612568801353,0.8607088732734899,1.131670386387115,1.0334237112063427,1.027367082007831,0.9040097127557679,0.7881098636034612,0.9092010119974244,1.0566273640390194,0.7114486976706577,1.226763072148876,1.143123066081119,2.072851905497125,0.6654038143235083,0.655100674495796,0.7112227630190006,0.6486589933993386,0.5938015337913098,0.6613040782297708,0.6586551525018822,0.656026421403506,0.6685583558443876,0.6475758828749352,0.6477992315818594,0.6199122500430664,1.0323668644057278,1.3546965236931692,0.7459619090822652,0.7482161723478821,0.7759562228204914,0.7475569473452718,0.7806373345421173,0.7205935109462432,0.729501320944446,0.7756598423500138,0.7953421340830144,0.7562773487965858,0.7286071715350709,0.7901237712957999,0.800167017576153,0.9848483740482704,1.00061184322781,1.2789007585381411,0.9393130647742195,0.9365675640388359,0.93443311697997,0.9398446988880839,0.9425832464468576,1.0465036619777282,1.1473288106930173,1.1653859023990243,0.8423694439213968,0.9373132892831469,0.8948512967798927,0.9945381459771082,0.8278304976489029,0.8360301538437934,0.8608566922040574,1.13263978869102,1.033774880205226
nerthus_bowel_cleansing_quality,1.0358897763992647,0.9248857435914294,0.7883463867970167,0.9122724521515645,1.5507827672527073,0.829453821833507,1.1025887952480928,0.0,1.4695390981018657,1.252127243616467,1.0722282300669994,1.0002781799663862,1.178036260430736,1.0632631387669713,2.0963842525595466,2.1510548494690713,0.6701444379820297,0.6600792497113436,0.7186104388249577,0.6478409849342914,0.6010178195132893,0.6567371927093353,0.6580026033813452,0.6591165480581442,0.6558396041530373,0.6556308543897066,0.6553833578403362,0.8740701027652125,0.6077440243272748,0.9721078592177115,1.0379975706011522,1.1585773392218053,1.3579934664541593,0.7345103195078689,0.742754110747572,0.7825347365292864,0.742374492202929,0.7904026234274429,0.7306142588914035,0.7286210912949943,0.7937841937563613,0.7813444654415388,0.7579278137686535,0.7329470243504245,0.7917352638280283,0.8047342678749233,0.9874517231744809,0.9738735975286636,1.0004688561304593,1.3201273649458056,0.9422990723090372,1.261258540225724,1.0369694162218288,0.9373048466952701,0.9338156000244903,0.9362128447646351,0.939520781391164,1.0389745119640217,1.1728464949363706,1.1754374646823942,1.3941554303176729,1.2379957541837863,0.8508759370776321,0.9484421238058699,0.8911269146228508,0.991764343938898,0.8362492722671145,0.8395686624975687,0.8686082901409233,1.1423090701686107,1.0382325513289845,1.0367746553466186,0.9122825514982015,0.7926240795594364,0.9125841012216288,1.1099650619871817,0.7081990578584035,1.2578453389512052,1.1657985895761565,2.0930599786796624,0.6686516782872959,0.657838983889271,0.7095816563187256,0.6496026772198972,0.596092780593639,0.6634970697586626,0.6607473476115032,0.6580547326980227,0.6705764150946335,0.6497489222814311,0.6499890528893969,0.6216309897360207,1.035213198929411,1.3620960490632068,0.7483413109627196,0.7506611673533364,0.7784806645837582,0.7498741608142678,0.7832856072428841,0.7231637595324268,0.7320012317441712,0.7782114821731766,0.7976743822395104,0.7588641607812067,0.7310959712150044,0.7930507346476082,0.802626772451399,0.9893912355511203,1.0052901056030559,1.3127016504316162,0.941153030782278,0.938421993041686,0.9362566869072992,0.9417129174352047,0.944439857845541,1.0557192777383906,1.1568601495396174,1.1750388447352078,0.8479882267133094,0.9490290208901637,0.901036010847847,1.0017077270893335,0.8344681208835238,0.8447801503336229,0.8687888028084699,1.1433053856756408,1.0386948907445344
stanford_dogs_image_categorization,1.0218731304616508,0.9114035660131905,0.7786468361719029,0.9011957019821798,1.535353732968739,0.8164163881224558,1.085292942513604,0.6983964839236819,0.0,1.235090388082499,1.0171351178793857,0.9495681097970013,1.1431670852483307,1.0356280462928993,2.0590587095776622,2.11211320794552,0.6654809521746241,0.6571435167685215,0.7187833761034895,0.641305847642511,0.5951036802944255,0.6497602707821382,0.650934474279669,0.6522149195554263,0.648947454022715,0.6486820753531345,0.6484637658350141,0.8597609731427029,0.6043030302386193,0.9593199315222852,1.0245808860828092,1.1457150775550249,1.3474567130425872,0.7293103306015052,0.7378481545625624,0.7777432332218809,0.7372285672809401,0.7856181964481624,0.7254827268860814,0.7235556982089432,0.789112010748435,0.7764024640742374,0.7531069331435397,0.7275878969023939,0.7860087376951018,0.8000332024841844,0.9790523720415546,0.9662548240129251,0.991907674359512,1.3027893834613167,0.9379260296266317,1.2513209649912351,1.0242894408961944,0.9329880059008856,0.9295045442952098,0.9318072315744171,0.9351961660004252,1.0337284653232828,1.1683122387774028,1.1711488037057178,1.374100459562351,1.2326390837409642,0.8423341747337684,0.9396141018265894,0.8808888215107579,0.9786531532356593,0.8233734313946046,0.8284106507005798,0.8594389224715387,1.1016253341919346,1.0327951596101208,1.0227715500340049,0.8989269835032959,0.78289047670776,0.9016235729663066,1.0924637667657138,0.7093532140562067,1.2408826329745288,1.1312907507479177,2.055801046309757,0.6638836056830155,0.6548425247224906,0.7097068319696533,0.6432605337822833,0.5903359236924836,0.6564462853054237,0.6536924145775352,0.651265141916659,0.663677108740353,0.6428215965912132,0.6432817444778247,0.6184770904520528,1.0219127311167975,1.3515324794276762,0.7431385282282307,0.7457615479912434,0.7736466438284361,0.7447258233271749,0.7785582807714161,0.7179973446234588,0.7268592559367656,0.7735874917824378,0.7927117724737714,0.7540106330727596,0.7257076207721823,0.7871312494000987,0.797991587164827,0.9810417148088192,0.9965714578425254,1.2954720159653565,0.9367959665894556,0.9340512111665723,0.9319281551884355,0.9373479889715494,0.9401431642777189,1.0501737562669227,1.1522720190837743,1.1707098184590523,0.8395745461663205,0.9402271968015082,0.8906982923972123,0.9885027195892196,0.8215446097245559,0.833628006896009,0.8594554503995019,1.1026786608317771,1.0332662887131705
svhn,1.0327007314816048,0.9210710542076234,0.78543791927519,0.9099613712182796,1.5440044100564012,0.8131962150017845,1.0723612983122035,0.70125564110249,1.4553613997467056,0.0,1.0576839431831935,0.9855860485383094,1.1427531164375553,1.0302860347347282,2.0483300351679286,2.098794885710266,0.6700221069185363,0.6608324026452461,0.7217106525010474,0.6451051481546523,0.5984220918612543,0.6543348415807378,0.6555573755339977,0.6567452556925676,0.6534219108369398,0.6531727757741299,0.6530013674148637,0.8652645017277608,0.6055034416622189,0.9574302335057808,1.0308416211913045,1.153051128483833,1.3349569403516035,0.7308074381318757,0.7389249712335578,0.7788301825491265,0.7388160721811022,0.7865453248118662,0.7269331223461393,0.7249924180309802,0.7900524741902638,0.7778329873337747,0.7541798406478687,0.7292114550447436,0.7871772280379723,0.8009988071499717,0.9814319855224459,0.9692613813219412,0.994565555210195,1.3046495423849163,0.9417187160241897,1.2551105497872308,1.0311160111739606,0.9367399786005267,0.933233498557351,0.9356106753027044,0.9389672981271499,1.037452947228653,1.171017835760898,1.1736950793090053,1.3789385437203254,1.2358024496437305,0.8399347242433054,0.93082678045071,0.8781435265411286,0.979006594190509,0.8227508674145586,0.8264963872934504,0.8535913250019093,1.1358061106545967,1.0366670586248663,1.0335845107544797,0.9083887041977287,0.7897921691079223,0.9102771255357397,1.0794128208065012,0.7122677068079314,1.1910896853616701,1.1310003026142257,2.044953964009398,0.6685232349060942,0.6584479354820277,0.7127010421823156,0.6471659823543207,0.5931875850509791,0.6608873706613152,0.658269917316239,0.6557057332491129,0.6684876272212444,0.647416544954917,0.6474596971253828,0.6198284816933608,1.028097621069043,1.3390633801090885,0.7447301313445388,0.7469678006127598,0.7747988610593274,0.7463814474851495,0.7793567218564741,0.7193675984298711,0.7283192136364068,0.7744799134143707,0.7942403241317463,0.7550385785979218,0.7273801826254696,0.7884816820867192,0.7990198575467599,0.9835566778860646,0.9992987974952916,1.297119769433227,0.940560928052118,0.937848385858401,0.9356811030182852,0.9411076098222323,0.9438848408054853,1.0540817828988558,1.1551144829162283,1.173272941835777,0.8372219872774203,0.9314969409204205,0.8879227993676869,0.9888183717940692,0.8209809721377388,0.8317200763664837,0.853711550625185,1.13682842761996,1.0370344061654162
