,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.5639910880418337,0.6061617114353473,0.6498767165946822,1.0117366656144309,1.508083118743413,2.0983172869910396,0.5967178353977161,1.555104369428158,1.5954524090375222,1.129082080632228,1.0855785315951427,0.9608239970912535,0.9568512741478656,1.781942323521549,1.874453155310265,0.6370352833359056,0.6055944035280193,0.5757893787603989,0.5330743104730127,0.49274788718443796,0.4926486029134702,0.49158321536984134,0.4943416158456169,0.493636788913959,0.4934632507542447,0.49180469514650005,1.0921447051152358,0.7174054023424592,1.131589010095687,1.7692415771236703,1.657812630175973,1.3350313113188275,0.818373574895056,0.8213535363995977,0.8445690263821846,0.8096968865763516,0.850164538052106,0.8098837566761373,0.8064458710803756,0.8550222420821645,0.8390338947500241,0.8314907245643735,0.8019010344932362,0.8255310856285138,0.8652921349885585,1.0512649307658635,1.1311154713436835,1.041342244193346,1.517679577407609,1.5404914695323422,1.010685591652454,0.888545338924182,1.5437285621472663,1.541259498547571,1.5438682888797937,1.5422147367641394,0.8025580983721283,0.7971890174734702,0.7951472477156745,1.3793892587233119,1.9861019286582597,1.0174892657789512,0.7793986779237367,0.97034512712344,0.8599664011661694,0.9403576448070871,0.8591337466849995,0.9240973162104884,1.1758101628632507,1.3029184027418985,,0.5889659169279831,0.603447865061641,0.6427350977229663,2.107035110185749,0.5964224156582165,1.5735372065663311,0.9672700071157092,1.7801391316242876,0.6392799790156096,0.6066997238548605,0.5749289807374177,0.5335447880356801,0.49343322869784834,0.49556946446662276,0.4892833285143393,0.49549352934874924,0.49286992288038706,0.49594616544740455,0.4988737747176911,0.7150441367095188,1.767375052077027,1.3268462739687075,0.8251128410590243,0.8210319573698255,0.8416367387283631,0.8052535873985297,0.8526932449663184,0.8126016050943827,0.8075027962357959,0.8500431156671016,0.8454904983677276,0.8392002671774161,0.7982974637347968,0.8224784495725818,0.8634002306299471,1.0492161297247415,1.0441980142837435,1.4957403607552189,1.5490110328170275,1.5370686584386224,1.5458567142454844,1.5465031568111358,1.5418738109208048,0.7956129897866342,0.798885741307138,0.7978523663775345,1.0180029161196904,0.7757113447373292,0.9675459205627779,0.8596341153431536,0.9422732485177304,0.8680979633105792,0.9233456582304616,1.1780817401302084,1.293437914820265
lapgyn4_surgical_actions,0.6713256498484761,0.0,0.6068195582037029,0.648603263441163,1.0164785983788804,1.515191015199269,2.1076519904976765,0.598529766150447,1.5603537443605764,1.6009155304347842,1.1328091605841775,1.0887696470549046,0.9633260965353907,0.9599326684943466,1.7863438678680297,1.879338015203621,0.6403849460026989,0.6087905547495001,0.5775392433803171,0.5340874756788685,0.4937370535035749,0.4936017272794822,0.4925329494038221,0.4953358810319414,0.49460680910028354,0.49446376010072546,0.4927760192390746,1.0968818859656229,0.7182839292084713,1.1359208431140426,1.7777993181107759,1.666666661006829,1.3388816317199959,0.8198968318001305,0.8228123245351409,0.8459625031310091,0.8112476638915824,0.8515687265001493,0.8113866595773056,0.8079718964815439,0.8565034737528638,0.8404032760300987,0.8329239301608543,0.803464000558467,0.8270863920453071,0.8666697989248832,1.053207981264688,1.1358956267253206,1.0430665281492018,1.525564140445496,1.5471779157928855,1.0114040160379973,0.8899962152237877,1.5504022861421847,1.5479226244370206,1.5504934324645556,1.5488356079270262,0.8038997825037654,0.7989664010777634,0.7969995385855928,1.383331188577605,1.9930762291375532,1.0180248247152757,0.7805312967038113,0.972312175708202,0.8603588644774938,0.941047090344974,0.8602791602306992,0.9248264748538442,1.179560821623794,1.3083492209165044,0.6758654887854266,,0.6040418155995282,0.6413352684952283,2.1163767425791056,0.5982334365671973,1.578901368725312,0.9698121329270337,1.7845279093496744,0.6426654064870905,0.6099060547052475,0.5766271400643672,0.5345917106634108,0.4944426661497978,0.4965795038326348,0.4901812007514451,0.4964544716053863,0.4936982220510866,0.49694325489154156,0.4998887214469845,0.7157943405091245,1.7759374647828827,1.3306788668503444,0.82659154282738,0.822415112478025,0.8429991228014064,0.8066984265301668,0.8541640212854554,0.8141536791283636,0.8091387165393079,0.8515036801698324,0.8467902996282708,0.8406964745707719,0.7998659563039339,0.8239418447393752,0.8647436413436154,1.0510762203993473,1.0459808692161616,1.503517117015762,1.5557244397806957,1.5437092250507278,1.5525249090802464,1.5531653518802728,1.548533122728223,0.796942762414365,0.8006339148723689,0.799732829532609,1.018542628337265,0.7768182464666225,0.9694395508858211,0.8600550975997907,0.9430183838017112,0.8692971608601849,0.9241469528113173,1.1818362135977831,1.298796166940183
lapgyn4_instrument_count,0.6706239184847791,0.5639472034464925,0.0,0.6474646032884035,1.0146810777378397,1.5121478786793219,2.1032303075519483,0.5980600374820624,1.557413724989067,1.5976119418640558,1.1306922402361055,1.0868291912380827,0.9617472580623186,0.9582917848650245,1.7833515113285516,1.8759790611641427,0.6395817517288458,0.6079898301436156,0.5773967193994327,0.5345665249987652,0.49275339161253423,0.4926422868728165,0.4915503483721565,0.4943491610549633,0.4936319006272115,0.4934815542839035,0.4917936899847526,1.0951914226488006,0.7185710140947743,1.1355755055003458,1.774046271903329,1.6626065925923506,1.3371180668797362,0.8202067406903397,0.8231698713941002,0.8463443624509059,0.8115482938950729,0.8519327338669211,0.8117095346784524,0.8082934924030032,0.8568374118227607,0.8407902196859328,0.8332639722737198,0.803734855054145,0.8273744710331727,0.8670293637721236,1.0528651359166161,1.1344376408108423,1.04288027670738,1.5227257104489866,1.5439598673979384,1.0120334633461754,0.8900510825124346,1.547173718391769,1.5447152672725422,1.5472880631907024,1.5456182154109857,0.8029831766869435,0.7982847193234415,0.7963392728273646,1.3826641736396894,1.989180994453544,1.0174104567109539,0.7803215235237082,0.9711797648718489,0.8604637545005156,0.9402450282976833,0.8597005963474709,0.9241881774354597,1.1786117311975972,1.306077291388745,0.6751481380076672,0.5886292537193607,,0.6403314957252815,2.11194814873494,0.5977735894027191,1.5756694048225524,0.9682051108797431,1.7815427128297274,0.6418527025647998,0.6090772193181131,0.5765250146772328,0.5350598781473701,0.49347674824313215,0.49559234104315664,0.4892617742705607,0.49544059918700184,0.4927409888123897,0.49591696786378214,0.49888387445828747,0.7161628909423026,1.7721826506262173,1.3289344069124287,0.8269407291394644,0.8227974862510469,0.843372749679897,0.8070587139750636,0.8544879282030085,0.8144605869443542,0.8094205966209235,0.8518457150561354,0.847216242092699,0.8410197770742625,0.8001410210535183,0.8242860227506781,0.8651156608392934,1.0507925426489315,1.0457895598837146,1.500742942898159,1.5524837777919989,1.5405028173393749,1.549313807911862,1.5499380597743881,1.5453136292942138,0.7960581384334806,0.7999330323758593,0.7990697015282872,1.0179144034970053,0.7766117948685506,0.9683284490533741,0.8601584976423438,0.9421898998012954,0.8686762590863317,0.9234842932249643,1.18088396573018,1.2965666029397673
lapgyn4_anatomical_actions,0.6716494604543083,0.5630414454941467,0.6047751400985977,0.0,1.0170463312894,1.5149168620941635,2.106566433857415,0.5991854086703414,1.5592882252203148,1.59973279672421,1.1321032453111033,1.088082588910737,0.9631058709107542,0.9598212457798662,1.7851519166379244,1.8780297746571093,0.6413640292061874,0.6096568032850197,0.5783750636150555,0.5353321804643881,0.4934370138945634,0.4933266216157831,0.49221996327137296,0.4950343900752736,0.4943114416592407,0.4941703673862452,0.4924743946886568,1.0973197341886425,0.7186049071189908,1.1376094856925312,1.7779446216267643,1.666594737706411,1.3386655654312967,0.8209472794176815,0.8239044829144107,0.8470220850063725,0.8123598450442896,0.8526048499184815,0.8124487306909502,0.8091034078295636,0.8575684318196336,0.8414473445460872,0.8339674749268428,0.8045377163205492,0.8280948890964518,0.8676534234955591,1.0541790515970826,1.1365020620772466,1.0441155284815964,1.5260045955825783,1.547411527824499,1.012305921292267,0.8914357477046199,1.550633708486298,1.5481645680897276,1.5507292525625753,1.5490657741578584,0.80436989424241,0.7997702125039081,0.7978406149336125,1.3845393727576556,1.992706840173073,1.0180742532703266,0.7812232914502685,0.9723437873296592,0.860717583677076,0.9408187201695564,0.8602140184927812,0.9249228303229576,1.1798543176202512,1.309057182811399,0.6761882972428213,0.5877023759232648,0.6020195983537979,,2.115300942520875,0.5988888738331859,1.5778035139600504,0.9695899994703658,1.7833390522992567,0.6436307045733914,0.6107455326548297,0.5774783585803557,0.535835406034868,0.494189703552505,0.4962987644579983,0.48992128530258977,0.4961722666252809,0.49332420197332505,0.49660576561456127,0.49957221101766036,0.7161354517985504,1.7760810594707461,1.330498962944458,0.8276497186285248,0.8235179116190134,0.8440535741494262,0.8078339007492802,0.8551713758366001,0.8152065295779457,0.8102458268717027,0.8525759118108207,0.8478237438669156,0.8417540979695728,0.8009565291363285,0.8249540970053635,0.8657389138635101,1.0520946318059607,1.047029283747775,1.503981348539563,1.5559491322419967,1.5439525690549978,1.5527676672251411,1.5533879389704799,1.548766749252024,0.7974323646217597,0.8014155972946073,0.8005664552360976,1.018579783161847,0.7774779067794859,0.9694692899486846,0.8604209570923416,0.9428112685872307,0.8692176398644547,0.9242332027530871,1.1821281798286152,1.299531222897578
sklin2_skin_lesions,0.669610231877898,0.5670176028357052,0.608092436951875,0.6531471536932412,0.0,1.495246890216972,2.0820236078786607,0.5936709509728375,1.5439732668587483,1.5837412482063937,1.1208041026526616,1.077620169181983,0.9541201710843439,0.9497512778089248,1.7719070398779206,1.863279797154918,0.6315742735399335,0.6016485802750158,0.5734361244527079,0.5318015869856341,0.4921140028572157,0.49204667497296667,0.4909702651441816,0.4937076902879259,0.493044977184393,0.4928521833020225,0.49125315009662157,1.073594999752857,0.7140711248707057,1.1183810801825271,1.755309653362854,1.6340841250870322,1.3261423554486367,0.8136716317006463,0.8166181851387817,0.8399004116643374,0.8049294266241294,0.8455348218498838,0.8051177965871963,0.8015732342726846,0.8505257947471296,0.8346890816728019,0.8267360578152763,0.7967340456933578,0.8212522091528542,0.8607173752707113,1.0472843540362975,1.1096906970555238,1.0376580709989363,1.4942198958342932,1.521568570439495,1.0070812818369506,0.883844223210241,1.524844614695044,1.52241901267738,1.5249766067205401,1.5233523076126982,0.7941266770527187,0.7880992812126542,0.786215946103296,1.3668163358023393,1.9659495142138503,1.013822459264229,0.774790499573077,0.9644498112337179,0.8588182778155096,0.9361271777454898,0.8558137500140273,0.9191126061606099,1.1676466126180598,1.2842097729459265,0.6740816543109422,0.5914082939093546,0.6055978380391063,0.6460688586301191,2.090715210506965,0.5933525013700569,1.561884163645359,0.9604353751517682,1.770122891808784,0.6339128329891687,0.6026810299377945,0.5726443289883205,0.5323917996850203,0.4926987924565636,0.49493708099877554,0.48871079504649206,0.49490197097855826,0.4924361395492586,0.49534833238971354,0.4981547956834377,0.7119267420697966,1.7535224459138674,1.3179577664383604,0.820520879778677,0.816414300132447,0.8369530401823909,0.8005712027197451,0.8479420528851899,0.807788670024973,0.8026545552093549,0.8454976783515981,0.8411797318530053,0.8344817443736314,0.7930920726106996,0.8183698872570783,0.8589203255800686,1.045326147096738,1.04055791446824,1.4728037873654967,1.530000171985899,1.5182019025098374,1.5270463992932621,1.5275000936753198,1.5229755664373326,0.7872072645609745,0.7897375560228845,0.7888919515620311,1.0144096584721556,0.7711489143944821,0.9617214768410244,0.8584450415237439,0.9379462986826956,0.864660505702107,0.9182621877313644,1.1698698633029863,1.274805752856324
identify_nbi_infframes,0.6592439941491044,0.5590173287983178,0.5988465470355813,0.6443049936402288,0.9885341993591961,0.0,2.018004533333461,0.5885634950995127,1.5064730378213609,1.5395347327822875,1.0931791066621495,1.051490969421939,0.9352168817539876,0.9288533681660686,1.731849994903033,1.8197278014183116,0.6245612744048896,0.5949395175071597,0.5679515819778205,0.5265604917763718,0.48542149477685953,0.4855004607207355,0.48433219368491914,0.4868956441606947,0.48638090244388055,0.4861245507685413,0.48471661338345284,1.0608583719264073,0.7025972842317558,1.0986965922974834,1.713752385848904,1.6086912071433948,1.304680507895624,0.8051444200460713,0.806813818894363,0.82949394762695,0.796676426883617,0.8347478221289026,0.7965494310849651,0.7931185088485785,0.8398193002800547,0.8251251018151019,0.8168359093052325,0.7887272264215952,0.8116624422248417,0.8497273951200427,1.0347504374793788,1.09927996260798,1.0259530900865488,1.4685573882226868,1.5042253156013263,1.0008411333269067,0.8753733565947285,1.5073588757553131,1.5050819325267113,1.507646456687059,1.5061129960753108,0.7928909331715812,0.7870425110815167,0.785033375308096,1.3360604857883893,1.940893907149119,0.9973857318674664,0.7649539984458458,0.9477266963564867,0.8480981350085909,0.9198807607588837,0.8419046307617961,0.9049150784318163,1.14820406354161,1.2728278029319764,0.6635821465430862,0.5825157912782172,0.596518281111094,0.6375263758427316,2.026436297739109,0.5881987854381381,1.5187403179673464,0.941257661212037,1.7298801026542092,0.6266881440299062,0.5958306793965007,0.5673098497165581,0.5269825911163829,0.48599535492308243,0.4880074102231069,0.48213167423176084,0.48832155237085834,0.4858218272306211,0.4886188610085761,0.4912959920366753,0.7007102447902216,1.7121498324819489,1.296862295135348,0.8118659147842584,0.8068174939661532,0.8267168365356284,0.7929611279792326,0.8368273059962399,0.7989322278821167,0.7939231664649362,0.8348734536696794,0.8315470037726491,0.8244227658831189,0.7853046857022185,0.8088479759345345,0.8480117370114312,1.0330507626882568,1.028800279708196,1.4475823272734218,1.512412516014918,1.50102926753495,1.5095729397871247,1.5099658024504323,1.5057213827319766,0.7861939253673371,0.7887288424737784,0.7874962802980812,0.9980524293957056,0.7613577210797507,0.9451026302059808,0.8477721390293252,0.9216319135124957,0.8504089399264383,0.9039337828931957,1.1504443628593488,1.2636414734869055
laryngeal_tissues,0.6562616445855405,0.5582617862855351,0.5967124580970173,0.6427380475922899,0.9820943992096948,1.4247880155222707,0.0,0.5866484549500112,1.4875043859335781,1.5076460020859113,1.0776089957313981,1.0376178375927503,0.91906724260058,0.9115735326650046,1.708490454089469,1.7937175261906855,0.624127276657732,0.5939633836467206,0.5672674814962877,0.5283238978182765,0.4854731961117331,0.485659635414984,0.48443327542994896,0.4869417826440058,0.4864563536029728,0.4861590373182586,0.48478465788238895,1.0499061095894058,0.7010236582814731,1.096328432460482,1.6959900919103401,1.5924302130876433,1.2951515575117476,0.8073343054239135,0.8091885173386115,0.8315909453680734,0.7990146355036467,0.8367527595379949,0.7987861884354637,0.7955296323318894,0.8417763072399284,0.8272700760406004,0.8189524566752624,0.7911850925220939,0.8132490690870591,0.85152477307601,1.0337957259431585,1.09304680669676,1.0253455875542348,1.449103872194279,1.4899968093971374,1.0040935075719366,0.8745105408592895,1.493147549375343,1.4908674989201787,1.493416008744589,1.491903027703153,0.789210222416611,0.7829888681976402,0.7809804950023447,1.328865687904513,1.9215596268824302,0.9917051923429651,0.7637311800150944,0.944883087828079,0.8462581468317456,0.9171428225820384,0.8382162280146385,0.9023249834580961,1.1410282795835145,1.2642291278996625,0.6605665179951472,0.582722285757622,0.5945228584420613,0.6360065561033865,,0.5862769530425429,1.4875158058451887,0.9248041351445668,1.7065440623484576,0.6263250054233735,0.5948532284852807,0.5666565398209629,0.5286692047950065,0.48599083321108105,0.4880399296829805,0.48231552152366575,0.48840916640104437,0.48592003549908847,0.4885543362496997,0.4913121493871738,0.6995216111641576,1.694369231375416,1.287453284185065,0.8140389223691319,0.8093422696174333,0.8287018155462833,0.7953715357203562,0.838893150495176,0.8012041692169904,0.7961774890693412,0.836910490160803,0.8337615080372103,0.826492036163305,0.7877793642636544,0.8105441184803456,0.8499564755923985,1.0322634233590677,1.0280996619415073,1.4286353928661077,1.4981044388341667,1.4868422156862298,1.4953881974305923,1.4956457239220247,1.4914548420356,0.7825656608037732,0.7846530284570894,0.7833512035079547,0.9924449733477667,0.7601761664966555,0.9423143333963231,0.84598266944623,0.9187243014879942,0.8466318347769368,0.9013913461421317,1.1433740670067225,1.2550619612670912
nerthus_bowel_cleansing_quality,0.6778902620912961,0.5723676310373844,0.6147702571262104,0.6585850915042955,1.0169698114029502,1.5185750463874013,2.10987652404909,0.0,1.564375940158084,1.6009525712908854,1.134909301713716,1.0906570205867872,0.9638087440711793,0.9604971730613853,1.7884407039975685,1.8816495661769097,0.6393397788705188,0.6071508174024762,0.5717513416192308,0.5315249914959072,0.4971126511565512,0.4969461403230834,0.4958962788927358,0.4987261015755426,0.4980188581790409,0.4978346613474517,0.49618701812251953,1.0980566945951615,0.7167661041466037,1.1388789317435815,1.7812021717989084,1.6696018563551176,1.338367247576097,0.8217327599218567,0.8240985568951484,0.847265088967579,0.8128658555289335,0.8527547270632818,0.8130398850037193,0.809468183118895,0.8577927216011527,0.8420110869447935,0.8342697091224243,0.8049950358872244,0.8288144269248459,0.8680182079841093,1.055952570148133,1.1366504261556405,1.0458304602162405,1.527438755735191,1.5462490211997681,1.015256495448786,0.8884085872322326,1.5494524462951609,1.5469883135939029,1.549597968926126,1.5478790898768775,0.8000972916606478,0.7947856059963646,0.7927382930549752,1.3860792680469873,1.9918741082944358,1.0192454610987207,0.7797808488685063,0.9710130316033658,0.8613302557632825,0.9417468758299815,0.8602756281571128,0.9245469739911953,1.1844389570306766,1.3071594357765117,0.6823992224930904,0.5976815455290025,0.6121128512993793,0.6512792775349233,2.1186241755445816,,1.5788132736634444,0.9701762003065724,1.7867278639167132,0.6415746917963167,0.6085189130222861,0.5707938451196872,0.532037465035137,0.49771584151761783,0.4999830028723298,0.49357139820910884,0.49979840935601877,0.49721533085640657,0.500340217095299,0.5031658663655856,0.7143146682402257,1.7793738596624213,1.3301039449525396,0.8284579132342624,0.8237624580216263,0.8442945275442264,0.808351660120643,0.8553563163212441,0.8157726619571211,0.8105951660672841,0.852795251221246,0.8484783469687471,0.8420593967940606,0.8013694713201913,0.8257084098923513,0.8660948484106541,1.0538021712749797,1.0487162350722627,1.5053530088093634,1.554868567023516,1.542727771121673,1.551541075893379,1.552264505001999,1.5475855851663556,0.7931660001064037,0.7964834270761263,0.7954403639043353,1.0197471584707096,0.7760269316586612,0.9682007946911411,0.8610543058777669,0.9436614887984374,0.8692560051147237,0.9237898851908561,1.186707083731228,1.297586314163472
stanford_dogs_image_categorization,0.6633566747002173,0.5612714878259932,0.6012038232116942,0.6457677866327478,0.9943520058673403,1.4635644676877289,2.0378123336111362,0.591455818736563,0.0,1.5497984904623066,1.0845256303577933,1.0429587409886771,0.9275832343558819,0.9250201860609315,1.733625864672896,1.8218484202897371,0.6297226864989713,0.5997490825504599,0.5709366676656521,0.5294388812337347,0.48949949093344103,0.48952419107653583,0.4883631432985321,0.4910227532274326,0.49042169512389966,0.4902187032141854,0.48868303032128446,1.0666936571845513,0.7073225421070874,1.1078652509150027,1.7193218392125171,1.6121859332413826,1.3038109234857995,0.8102167506753092,0.8124087766329758,0.8351452877874377,0.8017465353253548,0.8404934792229842,0.801687304526703,0.7982151516653163,0.8454888070811676,0.830296671682621,0.8224489364969705,0.7941221388672394,0.8167699814868921,0.8554874926438119,1.0385016901789292,1.107487358452062,1.0292402056571928,1.4801130294769247,1.5071975383399392,1.0025729829209884,0.873807395622404,1.5103672478298633,1.5080027784098555,1.5105236635272346,1.5090196094389237,0.7933614153828503,0.7872518518474734,0.7853054757615527,1.3479031333512212,1.9396044218799195,0.9975630418717044,0.7683742873563337,0.9511606854232244,0.8492862956768912,0.9209957532826527,0.8431024571136903,0.9064784997446478,1.149520253350535,1.2763545787955892,0.6677082172113865,0.5853289890168301,0.5988392182442381,0.6388837766282195,2.046269604247253,0.591124730208001,1.5286755947098654,0.9339560488139311,1.7317407716818844,0.6319552969443004,0.6006962445179261,0.5701518797793896,0.5299347054370271,0.4901409882866953,0.49223705386015726,0.48624376488053006,0.49231948415244,0.48981521362157776,0.492739502106564,0.49539208149403813,0.7054321666499281,1.7175805610799364,1.296209524846617,0.8169755120345901,0.8122566790094536,0.8323366195281476,0.7977010289209705,0.8428860509614153,0.804382553062136,0.7991525855707367,0.8405435993184485,0.836749207839387,0.8300821104772006,0.7905585358236438,0.8136889193372099,0.8537426583828565,1.036663313883901,1.0321588870757155,1.4592304443870345,1.5152992312339995,1.5039647687891877,1.512599994420269,1.512940770247639,1.5086562139862143,0.7865780575786062,0.7889955515991101,0.7878134769820065,0.9981680307280685,0.76462749844727,0.9484225073781873,0.8490359798538756,0.9227549144151711,0.8518466217861449,0.9056035233075899,1.1517248171604617,1.2672103735497369
svhn,0.6669232490027357,0.5650518085933554,0.6046205747798374,0.6494308928297975,0.9973385219081399,1.4598446973418095,2.0211724844566232,0.5912509845625188,1.5130170251554609,0.0,1.0941905656564055,1.0526617871076018,0.9183387636974627,0.9140659487228248,1.7046845150886956,1.7914218905492867,0.6318421647858646,0.6009462014428221,0.5715067172220767,0.5309248949503154,0.49102427201330323,0.4910791900274917,0.48988473586276904,0.4925266979401071,0.49196749225844927,0.49176300339560997,0.49024909522927157,1.0695590171706635,0.7079782092221057,1.1123379717604898,1.7230253193939415,1.620012522465776,1.309995490073474,0.8134475489231401,0.8154124921464316,0.8381786263282374,0.8048479792763106,0.8434251484473776,0.8048431727745339,0.8014544354209596,0.8483833612274359,0.8333562071960768,0.825398584647145,0.7970569549666326,0.8194949224105041,0.858395265305705,1.0426575318251974,1.1105866195905176,1.0335868896667424,1.4806971207716306,1.5112932219198012,1.0083760027117878,0.8789380009210159,1.5144467360191005,1.5120586836303425,1.514689384021159,1.5130894741906609,0.7938510373220873,0.7881231169898354,0.786300072876571,1.3513622797631144,1.947224832432438,0.9989897164867227,0.7704144313463521,0.9531072209757429,0.8505164564637845,0.9245282592062647,0.8433983200294898,0.9086967963323225,1.1581174120475848,1.2826841408715453,0.6713076257131236,0.5896960928896609,0.6022159456326939,0.6424642709307378,2.029721751401334,0.590861355506613,,0.9240103038391057,1.703175650691434,0.6340775050554124,0.6019705171993508,0.5707674986717518,0.5314562519856392,0.491597053175151,0.4936563145298631,0.4877546450424234,0.49388258183386446,0.49130387727956487,0.4941777170340823,0.49696415095280644,0.7061373158352591,1.721284741730111,1.302288678035854,0.820200565145702,0.8152771796986907,0.8352035159595721,0.8009043325984888,0.8456695970022149,0.8073173533607481,0.8023549152052861,0.8435462667069042,0.8397961374739367,0.8330738662250314,0.7936112843449121,0.8165739314912908,0.8566160565720935,1.0409141610965755,1.036430252491515,1.4596966193926777,1.5195400748919865,1.5080153963729561,1.5165934844649747,1.5170878294720322,1.512714865027014,0.7870681471350308,0.7898099097492846,0.7887805347024937,0.9996380124329305,0.7668362691560382,0.9504904716025806,0.8502602744884251,0.9262464625458144,0.8521041304246006,0.9078025960085456,1.1603902421075112,1.2735531370905364
