,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.12437034203574601,0.1266621010597135,0.1944432400593617,0.371695522709078,0.39724092556485846,0.7414532232136359,0.2483582383524399,0.4954806477675092,0.6474263955092594,0.3385457893432708,0.31339960460839533,0.3519494752408054,0.33772195365044055,0.7604725223167501,0.7898514023607742,0.16600233195406625,0.15014039648381494,0.20802511094273118,0.16295443067604656,0.10069654951906042,0.1025580017251293,0.10145041406997786,0.10138920205031884,0.101344192456875,0.1014303807296425,0.1015813190011002,0.37024079900259194,0.2817175264083419,0.3783103764323925,0.5893568856014657,0.5238295784435424,0.6208243393564493,0.3545248929601992,0.356096757893324,0.37686773577791777,0.35019110579976737,0.3800083792000915,0.3476426733485409,0.34615781068834967,0.38491756018529816,0.3752136402388767,0.36426579445339585,0.3423524050083495,0.3581565152641617,0.3918610166024531,0.506320043214418,0.41328355314804155,0.5060734080491895,0.5015305613211957,0.6843721063488779,0.5337247848628248,0.40714696715215426,0.6876449713303591,0.686696674287,0.6871483932347482,0.6879320772563607,0.4004681181101507,0.38812900513061477,0.3866257090373269,0.5831198763123188,0.8999687292322899,0.47270838743177934,0.33644264339891716,0.4240197980876866,0.4321762118417035,0.4116145739590229,0.3910214115979652,0.4152840090414879,0.5132530457003689,0.5886103269479181,,0.13565332995728016,0.12850362223373316,0.19447808284586296,0.7428248367089594,0.2473039358908197,0.6399273952932811,0.35417910039569317,0.759106702770075,0.16685386674267733,0.14851879669083998,0.2095603158090497,0.16346955674984348,0.10026028841503931,0.10261067608178316,0.10266567047738126,0.10556900397074068,0.10514517606328388,0.10149151866266369,0.10240428007153717,0.2863479669447937,0.5892005003092293,0.6179276892720484,0.3608748485193786,0.35711752684651155,0.37459932967161297,0.3529710096815379,0.3782935381304744,0.3495830655349506,0.34375519537792937,0.3794462246384512,0.3806814481713179,0.3682563845786408,0.34142038004176956,0.35658540809915884,0.3941729811841847,0.5060990694928502,0.5074393138189417,0.4966355555351367,0.6864756713806373,0.6861888479143285,0.6899870989391722,0.6871803014062989,0.6869912550735119,0.3964627531420211,0.3895273344701724,0.38659975386109413,0.47472900252821054,0.3319308845257844,0.42394669420904585,0.4317968248318126,0.41138959389727137,0.39511974361445806,0.4135256300707582,0.5140546862427505,0.5844690682393062
lapgyn4_surgical_actions,0.15691082145319574,0.0,0.11791441802252246,0.1704430746027429,0.40365284976367155,0.42628011774254637,0.7663504742913854,0.26046597959868445,0.5117336276038794,0.653458350430144,0.345438453855646,0.3189814902611727,0.3570550546677833,0.34815264892439124,0.7504623311948376,0.7833288578505578,0.19061833550053173,0.17597457598456248,0.22078193929478776,0.17004371191028828,0.09811903829476025,0.09987028467599572,0.09858282805381606,0.09877409506823823,0.09860760983368184,0.098803129495244,0.0988571208436276,0.39471329411170986,0.27562726957983874,0.4049124717609626,0.6188278076739535,0.5651690306068117,0.6248665388904635,0.3591464902671295,0.36015721361052866,0.379371989679031,0.35507193821134747,0.38261674794239264,0.3522722119734959,0.3511800548894691,0.3880949169240346,0.37777500562878125,0.36762606408197923,0.34727906910940287,0.36293147653630564,0.393494687076977,0.5102778202989662,0.4404465784383184,0.5091261489213594,0.5414182807768628,0.7062432152246151,0.5275291387189407,0.40129187589235277,0.70938220524736,0.7082758812662447,0.7086785762859369,0.7093936321087768,0.4046704478941973,0.39830587712628635,0.3976347989271683,0.5861759896710621,0.911763496603912,0.45877347157137377,0.3374135625083451,0.4247211229703471,0.422977192879072,0.40011895311003576,0.38227025090882866,0.40773352974769306,0.5181523877132217,0.6054766349455653,0.15770477043906111,,0.11933601252444283,0.17030538957045746,0.7675283756098095,0.2595519101373204,0.6459923305162559,0.3593251934366971,0.7488810192560269,0.19204754303198734,0.1740289139759244,0.22207378632904126,0.1708136172461884,0.09791714223475968,0.09994712606090714,0.09959564931956118,0.1025037720435197,0.10112998906651541,0.0991329112152223,0.0999150017662391,0.27902113206847196,0.6182252401767794,0.6221936131132031,0.3649169410562076,0.3606359576027786,0.3768378560616607,0.35721418866193444,0.381479726023444,0.3542134572715678,0.34948272656253904,0.38240599621081395,0.38263647261864214,0.3718218307613518,0.34624450623086345,0.36081478938927203,0.39545409066279813,0.5096848246648845,0.5108709005661477,0.5366145530386527,0.7081508347072594,0.7077789868395694,0.7116225050858089,0.7088592175621015,0.7087941960349969,0.40085081386924104,0.39960254060079164,0.3974940438977183,0.4608567305526942,0.33287164145047726,0.4238653083150612,0.4227770112169846,0.40030094406387934,0.38676840560831793,0.40654841975732126,0.5190811536121178,0.6012710214798919
lapgyn4_instrument_count,0.1610122493814805,0.11877976173845431,0.0,0.16913154426291735,0.3908643309439352,0.42159310615608064,0.7552339027095518,0.2605153104221746,0.49982202355545163,0.6440110063015454,0.3344445916152242,0.30829474511950683,0.34900727087731986,0.3394868030433963,0.7394655502674908,0.7710426361542172,0.18713190114179792,0.17256106522806086,0.22382707720663658,0.17737113489551487,0.09344117992033518,0.09527486460237349,0.09396557417588353,0.09400918162527311,0.09406355022377101,0.0942025270662418,0.09423229870676413,0.3867847952574196,0.28359769443152916,0.4087665731894585,0.6073135024426131,0.5481305304991517,0.6237572505248736,0.36375760769360005,0.3662690389186658,0.38628473831121407,0.35959823822734166,0.38968174552650836,0.3570222518858447,0.3559200325225599,0.3949316502157811,0.3841380512813042,0.37362655507340564,0.3515673639462143,0.36826556176993264,0.40085767179811627,0.512116716187509,0.435040210035185,0.5117652286792946,0.5359523065708351,0.6927394222768379,0.5339667788798208,0.40474775370703914,0.695807699649566,0.6947554951322755,0.6952168948813208,0.6958047698779436,0.39943306491885555,0.3953204600885199,0.3949046236175343,0.5898846583119254,0.8993492717794194,0.4564122231813919,0.3372198076961655,0.4198852647999572,0.4247322540606221,0.3964818515691962,0.3806479391608835,0.405886974584407,0.5184826822229921,0.5959288848103165,0.1617182471861281,0.12635480719111722,,0.16956057915730688,0.7563327816954738,0.25969334366654134,0.6367235390163452,0.3511691225371617,0.7377351374977936,0.18865775970856047,0.17032999366620177,0.22517980511205685,0.17820676645789654,0.0933028398915742,0.09529208649444318,0.09538240247470149,0.09773993513645338,0.09652314088667709,0.0942972956023011,0.09478348066058125,0.28743527377922073,0.6067677734112509,0.6211311159338072,0.37009506216112376,0.366892121954641,0.38352736871671367,0.36211346736925354,0.388301376913593,0.3591901338790144,0.35410684634638423,0.3892912314480688,0.3894681057346543,0.3779800474929531,0.3502818651724476,0.36648861186304765,0.40283137140003356,0.5118681798405653,0.513529975697676,0.5311992211985579,0.6946819634946646,0.6943138834754509,0.6980572911662726,0.695392726460353,0.6951175630669387,0.39579375641271447,0.3962580332802958,0.3949154286413769,0.45854988092149873,0.33241695509187186,0.41911305372418656,0.4245294412513101,0.39653303269182627,0.3848204269299584,0.4045899872737717,0.5194790272927825,0.5919618923947675
lapgyn4_anatomical_actions,0.1686418836680584,0.11069440511261262,0.10774606480966838,0.0,0.4176876681064833,0.4436213455797782,0.7760310063790934,0.2777436983507359,0.5138182186748388,0.6620669700154587,0.34613405345883735,0.31957763478694196,0.36342077020069696,0.35657243625101614,0.7521979459219863,0.7855431294456612,0.2116493729948779,0.19598658533862223,0.2397151174633906,0.18977726854145718,0.09988161248899746,0.1017026299749207,0.10018098283607034,0.10040112042455412,0.1003654099219233,0.10066225715005715,0.10052390631734551,0.4090924339341563,0.2861835278370603,0.43234213417488043,0.6420498960437435,0.5776505480954496,0.6388871521610302,0.37494565941937685,0.37716930116587405,0.3960016427020976,0.3713248276565981,0.39936550947601324,0.36826817398922346,0.36790971021770136,0.4050067129406085,0.3937195254433673,0.38395526159326504,0.3633841293367984,0.3790426595043087,0.4096130419169962,0.5235524216759521,0.45693034689800854,0.5225060843614014,0.5635903404394035,0.7190396900133355,0.5374974782630845,0.41692389390447937,0.7222353643885677,0.7210229201526832,0.7213398244711318,0.7220401824705657,0.4184225625856663,0.41663744267260655,0.4165866018875053,0.6073020204230316,0.9212908912223142,0.46195449926261395,0.35009064869027856,0.43321263808441274,0.42927861656939603,0.40395995436622123,0.3856126772411564,0.4150138277556331,0.5252829034719717,0.6195181180585998,0.16946105323160526,0.11892182860678774,0.10957802469915645,,0.7770489718853336,0.27693935986914453,0.6551161739726742,0.36573181014013917,0.7502548084170709,0.2133349716150613,0.1937520029673368,0.2408670649211096,0.19058379921585908,0.10005764275270343,0.10180471191635586,0.10175022933759872,0.10414572271334416,0.10191746111212965,0.1008524882908498,0.10144451703089755,0.28946520141131316,0.6413555707628742,0.6365524160476537,0.38082263082024836,0.3775530885597713,0.39314737233344393,0.37331473799987913,0.3982909583934016,0.370359164131585,0.36625589906716527,0.3994290054981259,0.3985474937621795,0.38843803975068114,0.36227046498406573,0.3768882257830923,0.41149829363508733,0.5231790088721635,0.524306585607855,0.558979339389337,0.7208541107478865,0.7205659098260058,0.7244278465335138,0.721547303998005,0.721489953925654,0.4146729031851773,0.41767463125818494,0.41637458905641683,0.4640405136726139,0.3452021681214409,0.43209763514350613,0.4292024042576181,0.4042814016081293,0.3898866722654785,0.4139828817626594,0.5264457856389237,0.6155576710204285
sklin2_skin_lesions,0.2164338922659943,0.20469061375448105,0.20102342759233705,0.2857017532958253,0.0,0.37107027188784625,0.6544613290989635,0.24736213505857574,0.4483491527822893,0.564961895286198,0.2816076035289937,0.2599317671690067,0.2911105756414428,0.2720949687675401,0.6841848276701816,0.7094154499830528,0.15305848749345774,0.1491162658715838,0.21976879956181394,0.1898639692939375,0.14747723594282083,0.1493948099359068,0.14895856215018485,0.14812652210222244,0.14840830731821666,0.14823158607262954,0.14867601763003416,0.23191204547479807,0.2881160978626626,0.3079590414939676,0.518777405746145,0.38831460177629323,0.5648139523313257,0.338716317667987,0.34399660020447753,0.3663051528750513,0.33423013513942185,0.3703887287847112,0.33183280593836006,0.3297795146012836,0.3750086572923326,0.3646303007857454,0.351358911051435,0.3232478862254406,0.3465964842337031,0.38260700268095404,0.4990733865938149,0.2581997484211485,0.500596375526445,0.3536410886257828,0.5719172498622334,0.5332663990387233,0.372827530307989,0.5751410074918177,0.5744207690695833,0.5742760953487243,0.5759481175738419,0.3208042153225028,0.3058550301635935,0.3063626458256828,0.49267838195616454,0.7963997074916334,0.46655540686833363,0.32092036520673234,0.41042072109798255,0.4355111937247354,0.40536539595854015,0.3899262595684282,0.39828465928822665,0.46360243901379616,0.4856076820450462,0.21628438372676542,0.2137115271361782,0.2048947917820891,0.28516429552901124,0.6556601988813331,0.2460571431611282,0.5574853622900858,0.2922931241118244,0.6827010862024899,0.15462655739441444,0.14627339485520222,0.220923071154913,0.19180606425981786,0.14588651317180623,0.15006857245389216,0.1499466871493927,0.1525932936824704,0.15329748362553472,0.14882504579259534,0.14714781930626145,0.2948217352389682,0.5190654921668278,0.5619143066690558,0.34658425832059714,0.3458624310934971,0.36380380162191456,0.3373530468455665,0.36752024640507686,0.3339377758608087,0.3267819266763128,0.368756725256284,0.3707234584246223,0.35547179708362137,0.3218145518509147,0.3466596108413047,0.3853053550110896,0.4993924207024146,0.5016923505041826,0.3507903075854966,0.5742184623398567,0.5737826531806642,0.5773676819992741,0.5738697687927947,0.5746922931843069,0.316845806518036,0.3064831122220628,0.3062159370906181,0.46919782032180324,0.3154670409116068,0.410548323582092,0.4344333011777218,0.40471153997088266,0.39388787807114406,0.3959255232958616,0.46377784601864835,0.4814841091140141
identify_nbi_infframes,0.22012126709117955,0.20125767219231744,0.19445904716490403,0.27488346188161683,0.3228578414903231,0.0,0.5451703170601693,0.27576225715796143,0.4084714627225379,0.48029266250708913,0.2573727409914518,0.233061016409278,0.2727001438213252,0.24623072372203952,0.6416551552608425,0.6627671645204058,0.17459866010396055,0.1654612312511084,0.23358192899014638,0.19961622063548937,0.14677280714806765,0.14946370825270827,0.14797990321917065,0.1472488692925133,0.14814592875951926,0.14783754453817716,0.1491311640694486,0.2949286511821274,0.2591038082799107,0.3017310700148548,0.49957111331499576,0.4582234002444979,0.5838073756572142,0.34525887097170166,0.34260808562492506,0.36116628570777204,0.34291530297247064,0.3630427297413553,0.3382341165515153,0.3375490414245108,0.36802128013430024,0.36276906719577917,0.34944593774765725,0.33473610470264614,0.3446073794361951,0.37338594994406926,0.48244502554506197,0.32678440757647564,0.48731953962303615,0.40121339808653766,0.6303595248698309,0.5559137992005272,0.3815071190807606,0.6333386953618221,0.6327774314318975,0.6322740199890607,0.6337575642441706,0.3867159148268107,0.37340645446441795,0.37326834816034454,0.45025461110581017,0.8452006070815211,0.45056337811734753,0.32852239916786047,0.39336257358970694,0.44780139485943615,0.3808425819630577,0.37322117574092883,0.3873355844809818,0.4716707521855224,0.5488824946870137,0.22020476550840573,0.20464197593339983,0.1983817349044992,0.2753576121690761,0.5451072442838039,0.2735819587902579,0.47520462110797973,0.27365600223895703,0.6399459752581277,0.1757325641255464,0.1617345711319118,0.23528873463054817,0.20076910917806826,0.14492817493943674,0.14825821494077976,0.14976754505696382,0.1528766792630686,0.1535307905636432,0.14829247932154901,0.14535287930025625,0.26630401432690165,0.5004810163737248,0.5804166740348474,0.35216414134262747,0.34473405082199365,0.35904596524716803,0.3482782335179256,0.35924148157506886,0.33948667842629443,0.33458612801519627,0.36232285187138624,0.3680965299208417,0.352612084624303,0.3350942270885723,0.3445648371859444,0.37749833834566504,0.4835461577597755,0.48828468221957233,0.3979898550332439,0.6324659314109069,0.6327880921178176,0.6351141114698042,0.6326623406205063,0.6331080176954901,0.38417888502012837,0.3740740830903699,0.3729171130941111,0.4530994260122226,0.323551938029814,0.39344768486075526,0.44721551768709394,0.38058644963806304,0.37617674156812736,0.38528147858160444,0.4727884234076193,0.5449256781943201
laryngeal_tissues,0.3281190343402376,0.30558836097804587,0.2984467013016703,0.37745424055085813,0.37707570576202354,0.300002510326583,0.0,0.35437397672323123,0.3916845396196273,0.39945828598884164,0.2303246942851448,0.21989177689691977,0.22460692289679363,0.19566805729342843,0.6094534603320372,0.6337245214825715,0.2820544858671238,0.26829385268724226,0.3205546687742326,0.30270087269983614,0.26132833901626334,0.2643151508265769,0.26281288486610604,0.26179374066974975,0.2627556723030754,0.2624928727055912,0.2636665128027496,0.33143557076857066,0.3399692637727013,0.3850788917015972,0.51757342812604,0.48823934376933215,0.6363701735679974,0.4471294394225497,0.44659985628706406,0.46277067175511916,0.44558704896470047,0.4648399737938508,0.44020500582845445,0.44038452548280366,0.4701914284678289,0.4646190307643062,0.45166400392303047,0.43641124384092517,0.4440386381633676,0.4741563039383777,0.5895452063059072,0.39191157726611603,0.5956026208363313,0.41503850923251423,0.6754464643929553,0.6512479282288761,0.4486153208456679,0.6786536606934147,0.6777090614650092,0.6764925657232261,0.6790707346883457,0.4419334325923959,0.42667201505357133,0.42832132761957287,0.5028423155625137,0.8813753023939114,0.5174180128232939,0.40725886843723214,0.4772611886852422,0.5151111795076194,0.45734563999723093,0.43741741522743366,0.4629385088278367,0.5282744605324912,0.6172639441907287,0.3288863289702302,0.3178534819195762,0.30275628668118826,0.3773265189458852,,0.3520321432405685,0.3958190449040423,0.22446336438339085,0.6074541136808214,0.28298967451199386,0.26591954852487054,0.32100844991316063,0.3049246027065602,0.2592253734552988,0.26339382104548104,0.264332738973025,0.2683348644172625,0.2681737117610574,0.2625517102693014,0.25991766529758503,0.34958755236825595,0.5175561491800995,0.6339747066825023,0.4544268311333347,0.4486151050841254,0.46067490071256584,0.45053786766000525,0.46143651776443906,0.4413991602598439,0.43754731647297107,0.4652082124844438,0.46933642064210995,0.45413821280197697,0.4365553074751801,0.4428502650217133,0.479041678484686,0.5909303992961875,0.5963082662307447,0.41371210855667384,0.6781475735951944,0.6781059034048627,0.6796300352533599,0.676807592068404,0.6782991697405686,0.4390439588479255,0.42685699950675143,0.4277345347251484,0.5198624245087538,0.4012890813602853,0.47626908056300526,0.5144861570844289,0.4577581571359983,0.441319375097746,0.46145515138944815,0.5299611607719575,0.6137308841993276
nerthus_bowel_cleansing_quality,0.23001373036685152,0.1974314139393031,0.2012981238193737,0.2750382396052852,0.3794950097547537,0.4529520139541003,0.7726520366987029,0.0,0.5298583440749449,0.6197668037005295,0.34180547197327,0.317286736668522,0.34131654246757925,0.3319597374563848,0.735862556618879,0.7675218457432815,0.15642761378882772,0.13080917868904682,0.14194774969556526,0.13037365598745856,0.13045941956575957,0.1314018265813845,0.1304435435967578,0.1310259579186293,0.13099056600328918,0.13072158639925438,0.1313793171104076,0.37746131855887544,0.24597307292569234,0.41520521550235645,0.6105370357404761,0.5797913916765223,0.5793673609079307,0.34865461142887505,0.3448114103467297,0.36475471374508833,0.3432403133966764,0.3669205067804255,0.33982541372725755,0.3372951411894856,0.3730492973695325,0.3663757410544569,0.35311545717136855,0.3350768658835563,0.3536178578666567,0.37984777689784033,0.5211203569984352,0.4210061041776294,0.5198418869350256,0.5342376875106646,0.652592128096464,0.5395506120724742,0.36460206437410264,0.6553347202488409,0.6539653663459598,0.6547642571282931,0.6554881438481697,0.33126540583933356,0.3195754493082361,0.31816552595471803,0.5854479266108648,0.8576081736147129,0.4548049996690924,0.30660037717471483,0.39349442679613494,0.4174195855707948,0.39033071145375986,0.3660930767859643,0.38120556695898655,0.5538260503040704,0.5534250690482324,0.23061985597937457,0.20946226844674928,0.20313539021672608,0.2731831328810609,0.7740297399893387,,0.6110803776068163,0.3427482270201335,0.7348251681057087,0.15765643485188957,0.13137443747454314,0.14306361148211513,0.1312431042116404,0.12865616525393708,0.13276705176335613,0.13192146080095274,0.13405367122913747,0.13456054496412706,0.13179715130617126,0.13055390423986685,0.24978637210240315,0.6109781752087041,0.576574434524645,0.3554215678821121,0.34597211400682204,0.36250948437071273,0.3462799640881458,0.36533465837615625,0.34169446544439375,0.33557416002479407,0.367532675191097,0.37214290961697993,0.3575938072672087,0.33354940501212305,0.3521000525888556,0.382070984707148,0.5204171808718879,0.5217720637960067,0.5301284159965881,0.6549404676947768,0.653667110969943,0.6567615892538209,0.6547559183041041,0.6541860413472823,0.3277987003990354,0.32127807806678416,0.31729622054340845,0.4575368434264594,0.3014455420093976,0.3930429089839136,0.41740983045903207,0.389882574825633,0.37054342103228705,0.3796059375352462,0.5547277241585797,0.5487021683466293
stanford_dogs_image_categorization,0.23140712654961215,0.20621634217539841,0.20012957134849713,0.26697925018463337,0.3312019492827975,0.35304651699381134,0.5943029658005006,0.28616112985060815,0.0,0.4993760542019744,0.17870940488979056,0.1639190787945591,0.19962729527868267,0.19592105295374743,0.608162215316217,0.6301633769628187,0.2104571907278359,0.20138098954492262,0.24971335953588128,0.21836409250155178,0.17635971884343932,0.17852047069955607,0.17726340584927958,0.17704551985303202,0.17715406572068063,0.1775934777371444,0.17786617506246016,0.3044499011190212,0.2959777823134177,0.32499772952706446,0.5028083117198133,0.44430126844522155,0.5390928097492376,0.3595335447938041,0.3591786468310706,0.3756866861732917,0.3570458926670874,0.37806925140613806,0.3531517545333266,0.3525809867757946,0.382644567767535,0.3765981718732435,0.3647162616563982,0.350956918385161,0.3616614852404385,0.38826921863697206,0.4916882438734779,0.35036982745942213,0.49575222592942086,0.4348615844611246,0.5969678997494299,0.5350573991765936,0.3678168731076219,0.5999328767533213,0.5991243057894339,0.5986135005240073,0.600685257416723,0.37430742372508435,0.3590917870659771,0.35956212366328466,0.49061462820488944,0.7990530721160863,0.42138531462047574,0.32416537134205853,0.3802330659108371,0.42102796359247574,0.3550454009275126,0.34845618997189204,0.3655970150951658,0.448947200731886,0.5270621408883124,0.23095521241226805,0.2108280975032483,0.2031561733861259,0.26738645715030473,0.5944559473493909,0.2845659328720546,0.492699117167863,0.20178723124402909,0.6066001252251184,0.2116584061512848,0.1989549692613028,0.2504006011364521,0.21964494812317903,0.17528045371448212,0.17860755981142046,0.1793766684988482,0.18162497076938694,0.1816231252797544,0.17840152349156418,0.1757819364546701,0.30249099945725155,0.5030892054398006,0.5372684746698412,0.36632109352401954,0.36105371325888314,0.3743616160186439,0.361186400070947,0.37580838706344927,0.355511143664367,0.35001765739855034,0.37860767437091863,0.381287764487242,0.36797134561333394,0.3498201192661036,0.3600510179367885,0.3920036243090888,0.49229133963982075,0.4969760550488361,0.43208512728959414,0.5986816706605086,0.5992837460782992,0.6015054946680832,0.5984165661506445,0.5996390222305938,0.3710766880866134,0.35983641838488034,0.3587625753878808,0.4237323864311563,0.31849724995330514,0.3803165456940574,0.4204663769763655,0.3548094983025139,0.35187457274705425,0.3635643846211984,0.4498160588469602,0.5242703977780971
svhn,0.35257356764208503,0.3102324282250263,0.306419942549614,0.37312699461998483,0.42507021708774806,0.3790973558102901,0.510737424596876,0.34514376308314426,0.4297286921995166,0.0,0.2504627524666761,0.2357671285241278,0.17189098439100853,0.15328182157183792,0.502479440855808,0.5281945303155635,0.2948144276596545,0.28249977836951234,0.3132085674157567,0.28888690776606646,0.2595849127551268,0.26219119634220256,0.26016436243910446,0.26019353376528565,0.26064818774811743,0.2604470907742838,0.2618507276313338,0.4034655519819149,0.34487391820012026,0.41646831030371506,0.5366335510325835,0.5837715340878935,0.6256088780660239,0.4106909793178756,0.4057497374783521,0.42160117846350426,0.40729703446926635,0.42293947683544547,0.40283872726948955,0.4022474566283557,0.4284188965471519,0.42398970656940527,0.4113724164959443,0.39987901816300425,0.4073057125271377,0.43303778078593796,0.5616658765057931,0.4532344454600668,0.565751943438398,0.5121314772355564,0.7069400470300914,0.6148507823747494,0.431362573832754,0.7096000213790208,0.7089166522751882,0.7082559793819108,0.7098213872413829,0.4415086456483868,0.4252719029816635,0.4268953043100822,0.541144700084901,0.9049767126717037,0.4721879859720474,0.3745344533283456,0.43742533296567904,0.4717617096383313,0.4169092535003723,0.38921719184551923,0.41889378970489766,0.5565463808142695,0.6334811053243052,0.35453612821813923,0.3186141772546906,0.30901954146769606,0.3719809691669472,0.5116176674701689,0.3432396735022536,,0.17132116657730023,0.5008743263112009,0.29632448444567827,0.28053763484915656,0.31376754932300266,0.2908800936432123,0.25752366416794953,0.26135976129454247,0.2622353112958963,0.2657398853779175,0.26521008524659484,0.2620132217042726,0.2586416043743685,0.3522724630962243,0.5360487232835223,0.6236774130937918,0.41705151981356725,0.4078570305658253,0.419116283425608,0.4127699418249205,0.4203829122073311,0.4046896673955981,0.4000194862643079,0.42383559608905774,0.42850786132608043,0.4151550690747431,0.4003738458840077,0.4062861441744111,0.43667359203867673,0.5628804923978635,0.5663986900401157,0.5104557571208055,0.7092635308261247,0.7087841505977919,0.7108776637456408,0.7080489353406649,0.7088025832329349,0.438130678182032,0.42472530760954075,0.42642817556854357,0.47507972033095236,0.36914984678476415,0.43682848530889856,0.47164069302650935,0.417035830976305,0.3926990660752304,0.41750423023472083,0.5578321921600188,0.6298790367033835
