,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.7114555077773184,0.7499182397231714,0.8110416628014991,1.1749922954022316,1.7601522040377824,2.3680716637258405,0.7364224522071356,1.9711834418669163,1.8702795906969656,1.4545134898510796,1.4087152121948667,1.2192048128471864,1.2038614711307811,2.0301191278154125,2.14968835192137,0.7622066221946223,0.7237879930465783,0.7023595004721442,0.6789997755000493,0.6117764954833526,0.6118411827402686,0.6109737994634582,0.6136845319859452,0.6135453475511679,0.6131396934810438,0.6109081216300215,1.2759496077755195,0.9005864907596453,1.3417457038672533,2.051558662876089,1.9360001213869604,1.6246196150547354,1.0469697179460289,1.0502664922206508,1.0770329916604593,1.0357410780567604,1.0835545784891172,1.0363188711646176,1.0322348039511988,1.0878436780893814,1.0715197134281595,1.0604531220593878,1.023433267552874,1.0487788630587902,1.1007852984286868,1.3217269171717891,1.3101416641210386,1.3155517334134512,1.7246208136800663,1.8236506348887616,1.2907518592875418,1.119363897989422,1.8276547877258507,1.8249027731099439,1.8288168278156565,1.826122927580633,1.0043858176357026,0.9958550237027799,0.991190225327421,1.6360637293917928,2.3562447210983484,1.3030513845853817,0.9887068840194788,1.20567331813167,1.103273715154923,1.197081297564032,1.1041878202697688,1.1736313587125495,1.4350723616007321,1.5758000311172242,,0.7409093126525896,0.7478720343066418,0.8061015312247723,2.3771979790015947,0.7357870757392696,1.8467122962551277,1.2263877840654227,2.028536678522043,0.7638378421446537,0.7245870436350514,0.7029199009273417,0.6787446153538083,0.6136597696704313,0.6146009059419925,0.6084768512228708,0.616219830106811,0.6129653386522596,0.6146218524791256,0.6189903942798638,0.899509102482001,2.0500978363803837,1.6131474419857053,1.0553633336142365,1.0490523673242447,1.0731234288350775,1.0316987776379762,1.083463527072202,1.038361747932503,1.0314176133344082,1.082658536570594,1.0801288292860451,1.069455308210869,1.0211364159196519,1.0482310552877905,1.0990274046400603,1.3206571926763968,1.3175746779676232,1.6979601992456157,1.8339268611536674,1.820358532688311,1.8295305332449696,1.8315657997035393,1.825313757173072,0.9970593653213304,0.9982754944793355,0.9948381465025251,1.302608085260584,0.9856906066512566,1.2040333734704172,1.1010673536550486,1.1993620513118235,1.1127469672426518,1.1710395123539146,1.4375936594270367,1.5650802185116561
lapgyn4_surgical_actions,0.7953804358839816,0.0,0.7493289911329366,0.8097284573336812,1.1823797060390473,1.7679967969841148,2.3786196008888525,0.738645920617601,1.9757065843486559,1.8735815236709936,1.4550312861230954,1.4088417938672109,1.2191902007950262,1.2049151073098163,2.0271554083686203,2.146591180663107,0.7648670016838053,0.7265418139323632,0.7036344734145973,0.6785462194126303,0.6116953011323512,0.6117845911657341,0.610864555355481,0.6135856571348007,0.6134137984946191,0.6130697791070122,0.6108190928037848,1.28243049537647,0.9000176775588313,1.3470918456621697,2.0636607112369516,1.9501772561782464,1.626510536320446,1.0453632588852593,1.048492618134683,1.0750421453544508,1.0342205169546976,1.0814833923059526,1.0346985005389673,1.0307227400175218,1.0859184454450765,1.0694784789995218,1.0585850879162526,1.0220713108815356,1.0469332570091368,1.0985270001395768,1.3201016934785166,1.3174362315588388,1.31373476823838,1.7380654457970721,1.8327980839278426,1.2879692449265332,1.1164772128968963,1.836804438905527,1.8339254916845207,1.8379357540944432,1.8351312498252235,1.0055470167200455,0.9978124658664701,0.9933398331062927,1.6348384858960046,2.3665186850929114,1.3003866983949695,0.9888385365537272,1.206101965496219,1.1023937692075498,1.194824616717335,1.1025745525673964,1.172348843730692,1.4355690573107762,1.5825592063156737,0.7995713633100163,,0.7473234288090276,0.8048627766031073,2.3876468423993633,0.738048530216456,1.8499647175589669,1.2263896682712891,2.0254319442382505,0.7665418297768651,0.7273273160291926,0.7041917941195979,0.6782725902801136,0.6136517495974244,0.6145084544307399,0.6083138793546816,0.6161540507386356,0.6127963782895118,0.6145892697624685,0.6189350892314706,0.8988149384478771,2.06202205097708,1.615011995055065,1.0535903904228994,1.04721862463609,1.071033769892412,1.0300642528480362,1.0815572057331775,1.0367558314272074,1.0300371101315395,1.0806968110634356,1.0779041778923448,1.067639607113125,1.019818493937734,1.0463456098675363,1.0967404200454727,1.318969726406273,1.3158102542286314,1.7112357300609053,1.8431123913615264,1.8293674587622495,1.8386133240273748,1.840758608987584,1.8344270686961086,0.9981915608554388,1.000235340421452,0.9970324288292183,1.2998830594322461,0.9858068577390998,1.2043586208292465,1.1002026620463154,1.1971593981158961,1.1112399528365762,1.1698166676025659,1.4381357958274381,1.5716319071310092
lapgyn4_instrument_count,0.795883167535899,0.7109222208065014,0.0,0.8100620157418491,1.1802387373586463,1.7691427850370125,2.3767380541741514,0.7389250867294717,1.9747877427503766,1.871397741629811,1.453855030616618,1.408099502396872,1.2196214307229396,1.2049631963535166,2.0229153657875614,2.143070508757702,0.76479175423117,0.7268450064495671,0.704402164925894,0.6797236163320384,0.6119027580039851,0.6119725395350855,0.6110681369634784,0.6137823219743985,0.6136117793453507,0.6132536863560973,0.6110191858085026,1.2813911684245791,0.901851618755027,1.349420271056988,2.058813233736704,1.9461667874099082,1.6256783071036733,1.0468901559959471,1.0503920104333875,1.0770672631044942,1.0357165619529942,1.0836024107568305,1.036263902400749,1.0322733169020366,1.0879776344160674,1.071321868241737,1.0604850385550706,1.023606359446438,1.0487671164876566,1.1007305648477848,1.3209838846405462,1.3175220312338232,1.3148038365674994,1.7377144769123263,1.8290200359855313,1.2892345077750162,1.117995604630963,1.8330122433323193,1.830151776490296,1.834079505784167,1.8312928985316639,1.0065721540496715,0.9989679561380616,0.9945404223420262,1.6390114580258275,2.359983677698152,1.3018525772115097,0.9906651663283951,1.2088261707348582,1.1034002176955509,1.1972419821685087,1.1046457141831716,1.1752276653801659,1.4370948038583733,1.581192472228052,0.8000972996604929,0.7399909204972668,,0.8051910420949364,2.385765241737712,0.7383635551139764,1.8478177233164288,1.226794280846987,2.0212652479609776,0.7665188287496988,0.7275790333792063,0.7049803558346638,0.6794704037174881,0.6138110415916708,0.6146811599457138,0.6085574898214661,0.6163825147697891,0.6129948396889711,0.6147536799283474,0.6191192555799114,0.9006205115666891,2.0570929793156294,1.6141761340808936,1.0552011706313906,1.0491099971741593,1.0730018770021248,1.0315911280109855,1.0837557871547965,1.03837103291596,1.0316100480991681,1.0827444403544721,1.0798189612988265,1.0695240856740627,1.0212689564329647,1.048178817421864,1.0988519552623943,1.3199505884682257,1.3168532048643762,1.710843734363911,1.839308574517715,1.8256077067500818,1.8348094849753094,1.8369130558264408,1.830612727506141,0.9992100444174122,1.0013167393723208,0.9982635202106125,1.3014018952019328,0.9876208895266791,1.2071151540816856,1.1011985084931881,1.199572764337989,1.113228923898486,1.1727183605986704,1.4396608194259883,1.5703511401501982
lapgyn4_anatomical_actions,0.7963983141530292,0.7101552930927555,0.7487936658312375,0.0,1.183889385041446,1.7722595856250816,2.3798471097654454,0.7402278185257207,1.975610331703722,1.8744133600113217,1.4542328786389882,1.408124083318357,1.2210751748472999,1.2069171510148937,2.0250347960729056,2.145772430050526,0.7673299562260099,0.729153558258717,0.705743616413884,0.680193500365269,0.6118515387628091,0.6119111966814414,0.6110131773313938,0.6137273162253093,0.6135346613662107,0.613205177727848,0.6109728139296131,1.2838865166782014,0.9022176071899046,1.3529557030079424,2.068988739251071,1.9506896758944707,1.6275640479327278,1.047279563713269,1.0509815593271141,1.0775402146932131,1.0361784216439935,1.0841143779022102,1.0366996813695708,1.0328476703896137,1.088526048940491,1.0716599746116482,1.0609726101375974,1.0240720000413477,1.049181135301847,1.1010674872778274,1.320715502935136,1.3197743713531107,1.314475076079078,1.7425968846767048,1.8327246249923759,1.2888182537330821,1.117382222596122,1.8367483532171185,1.8338239029563779,1.8377764332334858,1.8349831846222224,1.0076962830592509,1.0005848930779786,0.9962432558981891,1.641755528245532,2.3641054153591736,1.300242006034018,0.9916896635085807,1.2094980260660602,1.102581163683187,1.196139185371091,1.1038829833963515,1.1745175141044792,1.434678767517552,1.5847888569765791,0.8006305493189275,0.7389881646676496,0.7468676370898863,,2.3888346102820632,0.7396715639494864,1.8510635406479057,1.2282400397030693,2.0232467160897794,0.7690710595788453,0.7298567535721527,0.7062933348865386,0.6799222750368108,0.6138154241204398,0.6146362826914935,0.6084827875522425,0.6162962678609429,0.6129245404418855,0.6147334267051833,0.61907250486114,0.9009849479071644,2.067146914751822,1.6160952485320916,1.0555228837592152,1.049643394941974,1.0733748670647134,1.031906620678734,1.0843254397147772,1.038821366482305,1.0322339224004642,1.083276306303913,1.0800779008319,1.0700136743733144,1.0217385265469212,1.0485646963648052,1.0991766547314779,1.3196773203187788,1.3164932818779458,1.7157084819250439,1.8430388016417893,1.8292535964137338,1.838530082977476,1.8406337761742828,1.8343582887022478,1.0003032428465701,1.0029210970477436,0.9999260824310071,1.2997223835376914,0.9885939742248845,1.2077178144292393,1.1004190804230478,1.1984989387205276,1.112486959610842,1.1720829266659287,1.4372473164703288,1.5739401298802271
sklin2_skin_lesions,0.7998451721299773,0.7170525632615097,0.7584435204618811,0.821032575358043,0.0,1.7567801031523382,2.3519367207465454,0.735170686324951,1.9663931872501357,1.845202237767516,1.4416637312693166,1.3998195860623983,1.2065049119102502,1.1917589001529405,1.9979268775969536,2.120791623895341,0.759487773183026,0.7234014908419502,0.7006824795215182,0.6800302216768648,0.6178963800642078,0.6178693393724947,0.617118893093449,0.6197967124537398,0.6195740741621169,0.6190586420212314,0.6169900262923104,1.2592911665024364,0.9015991581715089,1.3295027497698304,2.035023441420508,1.9144269898562036,1.612995212552392,1.0410308772470316,1.044691798982895,1.0717132770387523,1.0297048766018344,1.0785885705383251,1.030372184973639,1.0262057864111944,1.0826948995135268,1.0660099094894364,1.054857048866244,1.017513588774721,1.0438823132362638,1.0958671722461015,1.3174109094143986,1.2913380454838386,1.311635830991347,1.7016908005530464,1.8073696370044272,1.282486755406054,1.115025284135312,1.8112479011575213,1.8086476263187155,1.8122856835968482,1.8097371113589042,0.9964771116492224,0.9888541836402721,0.9845083318464798,1.610664039864196,2.3336075680015806,1.3094124291300444,0.9881121975770759,1.2121124086444617,1.1057805446200955,1.2055876440429167,1.1107783411664998,1.1797000670580813,1.428009500567877,1.5620071030612719,0.804046711599234,0.7466277107544015,0.755957236544016,0.8155530839409928,2.3610730018664885,0.7346469961382871,1.8211801243554504,1.2134397193242403,1.9962987767689253,0.7611746729078209,0.7241304707933313,0.7012063227239618,0.6799326317501853,0.6195709294522007,0.6206214554589778,0.614464859694838,0.6225817714750531,0.6189258657739816,0.6208628877221687,0.6251019624501992,0.9004504521614625,2.0337903048038446,1.601558078636844,1.0493657494540096,1.0435151185740497,1.0678403369230338,1.0256418956614093,1.0786848612650308,1.0322085061816604,1.0253026344993903,1.0771522696162201,1.074675470601819,1.063929851210514,1.0149467509067462,1.0432845696284392,1.0939207232230364,1.3165941231727714,1.313745556170821,1.6757755113432677,1.817480586019752,1.8041830992593735,1.813133587376943,1.8148619258864223,1.8091187042198063,0.9890342368201228,0.9912968044836648,0.9880949678825021,1.30920000781123,0.9850817404876486,1.2102882371001393,1.1033601335709688,1.2081200645731758,1.1194938331337414,1.1772017401561188,1.430523502450868,1.5511553993813594
identify_nbi_infframes,0.797949244845807,0.7156295757253006,0.7544292462550843,0.8163885720706104,1.161860597374063,0.0,2.30083348194401,0.7369700848794162,1.9296857737377349,1.8120695001005651,1.420476736212911,1.3788725443447956,1.1955396626434898,1.178638734598164,1.9732214223237838,2.087657263872124,0.7594838705019111,0.7227427752447906,0.7004932839854991,0.6823221783680744,0.614385953624847,0.6145334479735842,0.613683153569917,0.6161421964820699,0.6162013069880616,0.6156191524515102,0.6138139674198901,1.2583220300794742,0.8908834410108402,1.320131289122139,2.0122395504224446,1.9143189065033683,1.6015797915933985,1.0406846545024746,1.0427412485037946,1.0686093892139312,1.0297188947012355,1.0750382664224996,1.0299471970831722,1.026039858824872,1.0792709274496537,1.0637266194279809,1.0525276371589756,1.017629475072611,1.0417474113745118,1.0916101860627472,1.308788238342462,1.289016165123904,1.3040330229959862,1.6977283686472675,1.7996696436466126,1.2844679605517513,1.1112622686082156,1.8035188676978466,1.800790834623473,1.8045050113961323,1.8020631494749995,0.9996102957770154,0.9914451064509713,0.9870874307328161,1.594696964251865,2.3220929597751554,1.292638741655253,0.9835100626941391,1.1956494134517088,1.1004267605947051,1.1860361393602274,1.0952376758180176,1.1647689770919347,1.4154087171471532,1.5552328874766146,0.8021582676278298,0.7439846974469859,0.7523207569017691,0.8113001182769242,2.30951581162382,0.7361671937981997,1.7891369417073957,1.202348608788191,1.971672467003064,0.7610045297034936,0.7233999080616278,0.7010595620295679,0.6820523106926253,0.6161995367812609,0.6170474325319651,0.6111046875656151,0.6191599012597198,0.6157339468967074,0.6172714386936159,0.6214862598481743,0.8900309751428811,2.011043453315824,1.5904077266232375,1.049121193420044,1.0417058831165378,1.064818015931793,1.0259939542459617,1.0750456853254344,1.0317893955789497,1.0253197513562955,1.0741142780480624,1.0721574756882395,1.0613348874192368,1.015537156028003,1.0413657185272176,1.0899074383706688,1.3081166966347904,1.306190142951047,1.6719858253018276,1.8096000292256091,1.7964059425909666,1.80519455803136,1.807165660789162,1.801415172322506,0.9925288484761924,0.9939146336022939,0.9905351348855209,1.2922926566744113,0.9807733511895433,1.1938822000478537,1.0981770494523553,1.1885053717842822,1.1036612847509129,1.1622422082958672,1.418006572625365,1.5445971166881707
laryngeal_tissues,0.8123144311504776,0.7315461243273682,0.7683898145821514,0.8299148303330137,1.1791567801000449,1.7185301242351605,0.0,0.7453897861599729,1.9068797511886375,1.7853087838004158,1.3994974952766297,1.3629767211019594,1.1792293947654777,1.1629073827186687,1.944135285453748,2.0565141375248164,0.7816423320506299,0.7422773118146395,0.7132233343857879,0.7015697264135465,0.6334863992446633,0.633663945762933,0.6327943091947179,0.6352383798282766,0.6353221091548902,0.634697790403562,0.6328753658687063,1.2663816945809707,0.9036451488822134,1.3409024926206532,1.995998731361129,1.9193937854419685,1.5921979710767706,1.062395869157165,1.065663334318626,1.0914900551585978,1.051684259593037,1.097513960194899,1.0517436894909578,1.0482466126364043,1.101507946894573,1.085844732244287,1.0753445684825258,1.0399368841638659,1.0614766008472283,1.1144421674640517,1.3337859588671683,1.3110105719944742,1.3289535384851403,1.7020954410712683,1.8006813954841334,1.314673144603956,1.1153455815273496,1.804731425423412,1.8017528878850335,1.8054958119628237,1.8030833800536592,1.0019426057114353,0.9935432208728162,0.9896341891710512,1.609686798286385,2.3108077376315515,1.3050870513621697,1.0003705364669602,1.2134512976782323,1.107286139401352,1.201409641470701,1.1005772764876243,1.1818130505487017,1.4185458163200098,1.571251329891755,0.8166389263836284,0.7633441077684499,0.766205531156871,0.8250910733401162,,0.7444849553310929,1.7631007950962743,1.18588446551161,1.9424073728275169,0.7833345014105766,0.7432621929710673,0.7135281662681564,0.7015502314985316,0.6352232343438903,0.6362545291983719,0.6306066768732448,0.6381689067428357,0.6349725760833724,0.6362394629753776,0.6404660516125931,0.9035817374551954,1.9945567559396584,1.58131685360822,1.0705046135820433,1.064496481626978,1.0872572810264298,1.0477420087047478,1.0981380588575427,1.0541413763612761,1.0469896556205969,1.096675281492643,1.094447187613369,1.0840401329109637,1.0377424230620165,1.0608078690602925,1.1124989952586621,1.3334441267376453,1.3309420216178833,1.676386694954203,1.810707027340907,1.7975599271547695,1.806218771207615,1.80818219192502,1.8023707534966769,0.9949241402050331,0.9956656670038845,0.9928193521428322,1.3047124336390536,0.9972077496109336,1.2117507627731816,1.1051166493813676,1.204026673188674,1.1093844549109826,1.1794000754079794,1.4211236091032922,1.5609449878323574
nerthus_bowel_cleansing_quality,0.8028738854659097,0.7168530975754992,0.7576881784055797,0.8180863681119149,1.1777924700889326,1.7738030359622625,2.382887454633183,0.0,1.979677660392273,1.8607583414374358,1.4507224672689425,1.4075854005887245,1.2120709804651932,1.1989646554871105,2.0134921611566754,2.1366188738873335,0.7635919240159674,0.7232757398633197,0.6995755407664739,0.678956225420599,0.616335550285505,0.6162921289594605,0.6153812601212935,0.618127989349517,0.61794970323378,0.6174925438064902,0.6153358209736314,1.2779217601309334,0.8993135116419078,1.3491557539151606,2.0619272815950964,1.9611692212322165,1.6181448854772964,1.0427369459128122,1.0448726864296076,1.0717822641387975,1.0314099699380748,1.077969445313945,1.0316960187011799,1.0275727730393802,1.0824267981334508,1.0666432960210515,1.0553003966759031,1.0194769765834066,1.0440955519866484,1.0955391330191988,1.3248733166869995,1.3142009752975847,1.3185975149037268,1.7357234014965117,1.828535532736783,1.2912342902627987,1.1145498659494373,1.8323864816469828,1.829497294925987,1.8336140283154378,1.8307781127703202,1.0014676298132044,0.9919449165271952,0.987439970276613,1.6309416520876392,2.356362829783782,1.3042803212989056,0.9852460747429503,1.2055956694597658,1.1017505014396343,1.198076153307915,1.104316254720478,1.1712091428142621,1.4467516510819913,1.5824221838365382,0.8070551299312593,0.7463661551289302,0.7552589541215576,0.8124254514582804,2.3920160868809877,,1.8365474750869795,1.2193343289648908,2.0119576841028706,0.7650510509965076,0.7241374032513548,0.7002616285160912,0.6786567197046518,0.6178506748142724,0.6189170137168429,0.6128043988854013,0.620677158654054,0.6172218655333599,0.6190936273414652,0.6234435641566911,0.898263159749875,2.0606136066832437,1.6067043182121332,1.0510488757201237,1.043802817361608,1.0678753478379424,1.0275900722878806,1.0780632654368412,1.0336459491417154,1.0267299741658613,1.0772582880943644,1.075206869451292,1.0644941440395337,1.0170972275150798,1.0435961958191882,1.0936796539244398,1.3237466906357738,1.3207725410922715,1.7088620443691813,1.8389870047272852,1.8250681062169942,1.8340380680362736,1.8363848130728708,1.8300848751234515,0.9940405342453299,0.9947531526449422,0.990964552415067,1.3040660403204067,0.9822898323151479,1.2039622550101168,1.099595387379614,1.2004033173284228,1.1130561421697474,1.1687358712220428,1.4494498751894493,1.571266153739702
stanford_dogs_image_categorization,0.8055937322819775,0.7191674888228186,0.7596977791075676,0.817503133325582,1.174013754469939,1.75035505998669,2.337106168080827,0.7434993536020786,0.0,1.830382473849403,1.4088450869623308,1.3682245166569431,1.184730871793308,1.1737545897536685,1.9693239820069626,2.0825747112963726,0.7721618452449648,0.7341942372755254,0.7082421987002067,0.6867099915824904,0.6242132073341271,0.624133591041107,0.6233419295699782,0.6260160145833344,0.6258846798706378,0.6254031033977034,0.6233396914052187,1.2663622251771212,0.9029546415745019,1.3328280698824921,2.0205955582826824,1.91405609438218,1.5946272178621521,1.047161742314627,1.0506843576870837,1.0773572068331327,1.0360638871214891,1.0838928365127067,1.0364557581411367,1.0326595276291637,1.0881623142665848,1.071980441097461,1.0609458465554091,1.0242787947645318,1.050068114695168,1.1014027541615936,1.3182552564746834,1.302133669172476,1.3127934565322326,1.7139426560654183,1.7950736928287832,1.284660418507605,1.113881365015808,1.798971949362175,1.7961776872174036,1.7996533690548397,1.7973209337150324,1.003690172192792,0.9959041300429885,0.9917174935334896,1.6189533329871306,2.3104675344484766,1.2994062226624261,0.9907405392749329,1.2024618624330037,1.1043391472215045,1.1893521497079111,1.1029197269548985,1.1695881974391087,1.4279676224633622,1.5558833340822318,0.8099579777780437,0.747770174318643,0.757117374887692,0.8124256332596084,2.3457231444185336,0.7427884890752334,1.8068548901334842,1.1917719694820208,1.967548206318508,0.773900795807873,0.7350333459429069,0.7084994580581563,0.6865330083317418,0.6260320432602621,0.6269187281934215,0.6208019098839215,0.628670275894924,0.6251098629010017,0.6272244705250392,0.6313452035811226,0.9019018481373519,2.0190627254193427,1.5837180167551321,1.055466215830866,1.0493707679011794,1.0737866706280415,1.0318740882243174,1.0842548779155579,1.0389961296679622,1.0317256989045425,1.0829804691560512,1.08054855953404,1.069790667339668,1.021553527633741,1.0491283557218898,1.0996119678679037,1.3175688161367662,1.3150296144611673,1.6881604322001313,1.804783778294677,1.7917531243810116,1.8006584770748346,1.8024383127923347,1.7967789199105255,0.9964911785894317,0.9981723464883331,0.9949487788904656,1.2989495558745565,0.9875532540837637,1.2005891519951974,1.1019583677810851,1.1918087918761067,1.1117238992912966,1.167051528609221,1.4304539152925828,1.5454450457550202
svhn,0.8361609556211159,0.7496934171597589,0.7852526499748442,0.8436179137103321,1.2163274795308021,1.7708540090478297,2.2921287822066834,0.7611771709124245,1.9313904723920126,0.0,1.4097065839837004,1.3738669506358874,1.1743858905293358,1.1608152255257407,1.9105743085717541,2.0223292224289615,0.8079306908724957,0.7677101772390731,0.7307757438092883,0.720936685443132,0.6534638961677772,0.6535497227346315,0.6525190778918559,0.6552713137848899,0.6552066478213963,0.65471634167186,0.6526670684609212,1.3051590655204477,0.9247574023484199,1.3797237281374604,2.0126281097503633,1.965510131046863,1.6052818212587936,1.08616027866193,1.0892367941545653,1.1154855446936036,1.075333435546737,1.1211097810223198,1.0750998961326612,1.071979866499216,1.1249983141452802,1.1091757242743796,1.0992498178141679,1.064000201234872,1.0845562963068747,1.138503312433111,1.3577979333189398,1.354913097131974,1.352002473052172,1.752280642654902,1.8365212595402112,1.3388499725781933,1.122489834330354,1.8405059340299021,1.8374621122712094,1.8414073531700144,1.838754733967259,1.0099494397187971,1.0022515807653005,0.9986805514255692,1.6520216535813692,2.340469466189003,1.3237590484778226,1.0232950408153596,1.238606284040231,1.1207469212755843,1.2237505612748982,1.1153480430356335,1.202493391768515,1.448050117483402,1.6076601674025324,0.8403483586972039,0.7835994711633684,0.7828375838827167,0.8384597726968295,2.300965923774456,0.7602310503299387,,1.1810540600934407,1.9094668291224781,0.809669370600349,0.7686296856723551,0.7310964549488055,0.7209549029672725,0.6551657723334853,0.6563786267592295,0.6507768314468105,0.6579195929617071,0.6546394762624285,0.6561222194190547,0.6604548385840823,0.9245723891916745,2.0110120296709915,1.5944501933128965,1.0942397596881444,1.0880565546069918,1.1111356921579603,1.0713645914636833,1.1221727536238804,1.0782971576223188,1.070251311799274,1.1205484521439444,1.1181374167213032,1.1080506224994093,1.06214202714995,1.0838917474088408,1.1362816249688827,1.3571394245878485,1.3538608598654949,1.7257490056163851,1.846829994106428,1.8333065400595747,1.8418862773294586,1.8438545015653984,1.838043944944931,1.002861201743682,1.0041195585859466,1.0021097681543352,1.3230309621871643,1.020256430452458,1.2373936330613056,1.1185533339611742,1.2263109837714676,1.124770519978785,1.1998763517097675,1.450468593246899,1.5974431227781225
