,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,0.12427824845007959,0.126582668034527,0.19438442660619287,0.37663750336461893,0.41051154611166085,0.7938581033123604,0.248854525247837,0.5053373657318925,0.6784753342301266,0.34554945258443986,0.3176561061317431,0.356498016854021,0.34354222022439906,0.8023835055310609,0.8331831077417144,0.16612814083946548,0.1501251240782996,0.20781868952567314,0.16306627385190622,0.10062414564289757,0.1024930990890677,0.10137620125845345,0.10131703104209863,0.10126861768031326,0.10134645435453601,0.10151088558079169,0.37764779969907775,0.28147489477984605,0.3823110852074218,0.6088214752459788,0.5374432900604214,0.6231882782474588,0.35434793951653726,0.3557765600558263,0.37655786218029563,0.3500028044368983,0.37969573949583335,0.3474031461002151,0.3459158345823166,0.384624987840132,0.3749585571800956,0.3639349459286725,0.34212428331908584,0.3579044918318003,0.391565364296373,0.5065179042598092,0.4216462273321901,0.5065155872382858,0.5189591134297245,0.6884891507042035,0.5352269868216271,0.4066784415534385,0.6917478223100465,0.6907468347089945,0.6912389498537921,0.6919062846788806,0.40044485062331564,0.38809436523552593,0.3866034856054435,0.5957077893575295,0.9031979183196258,0.4724190020753344,0.33619203314378704,0.42443678697080095,0.4323707713611257,0.4115884165084579,0.39074379661421604,0.4150653787934808,0.5158254130451088,0.5896213461836227,0.13275735470993932,0.1354927035001697,0.1284217165217934,0.19448552192620167,0.7963091761629479,0.24779564019743797,0.6698826792168198,0.35891524463149643,0.8014477256216463,0.1670162751784551,0.1485212234381288,0.2093562862562679,0.16356312504430295,0.1001872132107931,0.10253261610296881,0.1025855150082745,0.10551361914469681,0.10508694201921007,0.10140711760017644,0.10233749276893882,0.28612871470253304,0.6082698734870067,0.6203353190793619,0.3607015927248038,0.3568007783561716,0.3742707380187052,0.3528707700979432,0.37800217780388795,0.3493485589950907,0.34351095419777145,0.3791343964526192,0.38042347716793184,0.3679471630542281,0.3412385948645864,0.35633860154138225,0.3938983256613797,0.5063674214792605,0.507840535840949,0.5132792915155296,0.6907024607315204,0.6901328855503579,0.6941710419018499,0.6913186921767405,0.6910687686316951,0.3964354856376111,0.38949187446984995,0.3865813497636746,0.47446183230308914,0.3316560898334567,0.4243260916830011,0.4319349993225507,0.4113718252148445,0.39490585005833795,0.4133575352149511,0.5166455054621333,0.5854299159088346
lapgyn4_surgical_actions,0.15708958538486148,0.0,0.11791394280572767,0.1704416210021896,0.4139898183850443,0.44681602219213107,0.8323343485660173,0.2604670029377034,0.5255184601524027,0.6920477597331627,0.35549352587209815,0.32590850277713934,0.36532531419720476,0.35761996716793504,0.7984290048909651,0.8323278809864229,0.1919513988755978,0.17712049434756866,0.22102751255880318,0.16999146680157334,0.09811063825839883,0.09986126628352231,0.09857416312261391,0.09876658715955672,0.09859860081974096,0.09879253927928107,0.09884797723961752,0.4073626865590631,0.27574296083546485,0.4138516175271272,0.6478467029296557,0.5876680992829962,0.629773101364315,0.35920720767688,0.36031954777281144,0.37959465737355774,0.3551242585593895,0.38289492508054646,0.3523447914283104,0.35124641673064455,0.38837127070381705,0.3779005183029811,0.36783257042097184,0.34734097897920346,0.36316216981628124,0.39380262954124107,0.5098087343887945,0.4551542654595187,0.5086677021868775,0.5687914156294808,0.714840361910287,0.527931863198139,0.40161619239569474,0.7179436283922511,0.7167497653524296,0.7172308723430242,0.7177392939900026,0.40535636681928705,0.3990712789541488,0.3983482614050622,0.6022555928169282,0.9188390433290916,0.45912615914513183,0.3376193081222701,0.4263935198971154,0.42298253669135427,0.40130141216596504,0.3831190078243763,0.40855443861618546,0.5224166799486565,0.6086900105963037,0.1579336642729574,0.12252176633888438,0.11933579338095741,0.1703063358859663,0.8346669383881933,0.2595536858463507,0.6834658814999326,0.3678220863525177,0.7971429467407154,0.19347373916075178,0.17520620032006332,0.2222917754015604,0.17075682872277015,0.0979073226311309,0.09994033205849037,0.09958348371561983,0.10249578648026172,0.101124504196738,0.09912440515106137,0.09990873112143227,0.2790829517294962,0.6466911948851014,0.6271959136440024,0.36497681478490596,0.3607745136688823,0.37706771256053073,0.35722975064307044,0.3818376689202976,0.3542969589879179,0.34958480447709406,0.38266682502506855,0.38277311792335844,0.37204377831493884,0.34627665574980243,0.3609915884520442,0.3956971606317406,0.509216937989443,0.5104099439560025,0.5630045706196563,0.7169045772604946,0.7160778136121909,0.7203097658422983,0.7174955219546567,0.7173269961327923,0.40147803242108665,0.40036563612722803,0.39825294101135517,0.46122400741690084,0.33308269975430355,0.4254828829820012,0.42277598895438245,0.40149444653694105,0.38770558427684276,0.4074374143825426,0.5234191521402954,0.6043954630487328
lapgyn4_instrument_count,0.16115978893468974,0.11877259209503091,0.0,0.16912602812932312,0.39899457800437854,0.4415820367062993,0.8165414461223708,0.26051665808529995,0.5117934849452468,0.6791936986175647,0.34295615352636527,0.31399204926159996,0.35563096024636454,0.34736956589348716,0.7822496970821504,0.8152409308981269,0.18803196377748022,0.1732605466203039,0.22379737144488182,0.1772370486202677,0.09340399747568978,0.09523762819162335,0.09392904209646734,0.09397422594556572,0.0940259517186019,0.09416046304678073,0.09419463997088824,0.3974749553586078,0.28358958112711397,0.4162106745591237,0.6325627902832114,0.5671022927008332,0.6276517605844871,0.3636935795158922,0.3662147277008842,0.3862869412704265,0.35952352833210127,0.3897198976886247,0.3569423766319748,0.3558310455459028,0.39497284288384477,0.3840969374429021,0.37360427462889584,0.35148007039597795,0.3682908256201706,0.40093081514416934,0.5118458884952051,0.44785611386965696,0.511602012634012,0.5608325798230649,0.6995736940177595,0.5348689973779811,0.4048266702882744,0.7026114370462685,0.7014705668439741,0.7020051361526192,0.7024018098860748,0.3998735131214646,0.39579864595206454,0.3953594432102567,0.6044877083822183,0.9047248234394757,0.45654991787247995,0.33721851604693376,0.4213122914155363,0.4248426722235592,0.3973058758262005,0.3811447063748879,0.4064337639478292,0.522175932527823,0.5984055219240402,0.16190538151824657,0.1263408373682526,0.11449508605531514,0.16956738651733835,0.818691774685258,0.259693056134281,0.6708659907188853,0.35799234111316697,0.7808227100288776,0.18964595579872945,0.1710594166923914,0.22512828757198175,0.17805866424071579,0.0932640017884805,0.0952551854169206,0.09533767753991114,0.09770936991939169,0.09649704451575543,0.09425788294902318,0.0947512949675841,0.28739752663589146,0.6314889183077123,0.625108411607838,0.3700343372556294,0.36682302240369347,0.38353048936227924,0.36204952185518097,0.388401810312528,0.35911839728973277,0.3540365578397454,0.3893175209715466,0.38943815367852297,0.3779756328271329,0.3501965825980789,0.3664801059707469,0.4028696488490319,0.5116268651130385,0.5133469418669662,0.5551061435079707,0.7016581280008735,0.7008940545478071,0.7049496448202232,0.7022612094865822,0.7018797658006107,0.3961894448858629,0.3967251690545613,0.39541418268581857,0.4587037608639688,0.3324086188807739,0.42048458176773085,0.42461267831187266,0.3973654553752101,0.38539553854626746,0.4052081306014073,0.5232385403615427,0.594362863499537
lapgyn4_anatomical_actions,0.16904177406829823,0.11069727609465205,0.10773827421918448,0.0,0.4286632086161142,0.46822145769664264,0.8450368672221715,0.2777298983107596,0.5279509403168811,0.7032667794643149,0.3563617822621475,0.3266742371159971,0.37210558358439844,0.3668742475536541,0.7998356696733042,0.8349503073642522,0.21357415967399146,0.19761068373842605,0.24003437618029896,0.18954919675049567,0.09985745827225755,0.1016765727581111,0.10015645678475661,0.10037884157317174,0.10034012269098366,0.10063442481094965,0.10049798773521858,0.4227119648665815,0.28636461301869837,0.442822599863093,0.6742491615010048,0.6012899894289305,0.644343857716957,0.3750176292267008,0.37737266895637334,0.39629343432329306,0.3713801357545429,0.3997321276266704,0.3683479248562294,0.3679787629060658,0.4053746319157091,0.3938834754668155,0.3842148720159736,0.3634483196051555,0.37935655730553525,0.41002150076733157,0.523214340506742,0.4729573971284388,0.5221613088810797,0.5937044816317256,0.7281663846720939,0.5379711094614067,0.4172782131821094,0.7313327121665861,0.7299919824335568,0.7303955560870975,0.7308718614082357,0.4194827044654443,0.4178078910172937,0.4177216788928217,0.6253895167941032,0.92849492008819,0.46224433163273915,0.3503818708586477,0.4353854307326877,0.42929453095688247,0.4052647711748485,0.38653096494868433,0.4159981242433045,0.5298181539257361,0.6234576242927193,0.16993643267331487,0.11892040443566484,0.109573305149016,0.14794172112422466,0.8471078933033662,0.2769336477646246,0.695269092860258,0.37464527884373816,0.7981600756192996,0.21539923594891294,0.1954185247663761,0.24114568680250142,0.19035392391069925,0.10003100124018445,0.10178319133836368,0.10171856467496605,0.10412217684105207,0.1018991042106736,0.1008282675827391,0.1014244074120635,0.2895699638066679,0.6729046685335683,0.6421151964985573,0.3808961097018402,0.37772210114173727,0.39344124572839,0.37331795585584465,0.3987682950673089,0.3704576883900302,0.36637888720553635,0.39977576368198553,0.39872944327742404,0.3887233879258101,0.36229226702369255,0.3771298292805862,0.41182924466177667,0.5228398145809214,0.5239617170903184,0.5880529178887008,0.7301293596396828,0.7293843223178156,0.7336137167112226,0.7306961634438324,0.7305269769675329,0.4156585730764908,0.4188304445017949,0.4175787892410425,0.46434336348409083,0.3454932291231622,0.4341942494306037,0.429209717220236,0.40560509217938223,0.39089921190315596,0.41505827347869834,0.5310829761498979,0.6193965003866115
sklin2_skin_lesions,0.21538720909528994,0.20310834787416548,0.1984563967492783,0.28286089885498505,0.0,0.3825252311976491,0.6868928514853112,0.24993300682361352,0.45076726419916346,0.5781568497874013,0.28193113040809104,0.2588830641493095,0.29012359333544097,0.27205247542065447,0.7033137077132429,0.7307066312470611,0.15267334782902345,0.14846406928745043,0.2200732160288376,0.19071093802384023,0.1456442950129776,0.14759320013200308,0.14708385091497475,0.1462935749925616,0.14658332130988816,0.14642833818626724,0.14688121385863687,0.23238429294986002,0.2871706885249804,0.3077400813841018,0.5264143955087631,0.3911971719057615,0.5642838574559823,0.3411978486214449,0.3455206143173563,0.3675470885460357,0.3367055696437439,0.3713929488040314,0.3340844762337915,0.3320291357977103,0.376184208654736,0.36649558031725804,0.3527458823930983,0.32550726669517044,0.34814304710630567,0.3835379107688644,0.5027485503216738,0.25876973386644253,0.5050682357804407,0.3575321585148578,0.5721149685377565,0.5407315539965196,0.3735248503399572,0.5753394378422512,0.5746013306366976,0.5744560502651965,0.5761212683137754,0.3232212380690761,0.3081878610836187,0.30870359595845415,0.4951402335380151,0.7964463073852361,0.4647965668504329,0.3209775193033706,0.40864453686248775,0.43714701172949494,0.40243487022738517,0.3868802592999211,0.3958595218030523,0.46351793293252264,0.48559303859045594,0.21520800759526926,0.21159623639976194,0.2023672012882635,0.28264568577418625,0.6888387425497347,0.24857658650877068,0.5699255101028226,0.29137400068802854,0.7021342803202756,0.15424997200066046,0.1456262201205626,0.2212884262005983,0.1925331109756335,0.14406223032488716,0.14820856040021746,0.14824587207309287,0.15077287926045552,0.15154248022609418,0.146944653630905,0.14523546204853158,0.29402825541261557,0.5265226117714291,0.5613637527777267,0.34906104108324765,0.3475433207979683,0.36493637320008177,0.3402254953397594,0.3683421595857901,0.33612338899831823,0.32890586801730964,0.36997111765141055,0.37248678971519666,0.3569214884285082,0.324349177562337,0.34829526626075585,0.3864631413045955,0.5033151409064855,0.5060721434384197,0.35438027621729806,0.5744398593302399,0.5739548978612827,0.5775637208993945,0.5740551786347758,0.574884850029645,0.31935259563847956,0.3088150429846249,0.30850585316840595,0.46741900696914174,0.31548123551869295,0.4087582736433902,0.4360167448720016,0.4018110105322363,0.3908097672335912,0.3935140940835218,0.46368914225462554,0.4814812322606419
identify_nbi_infframes,0.21390076071074926,0.19564219900694368,0.18820826935934834,0.2699158816172304,0.31817217689304217,0.0,0.5530986911200775,0.2774383843863918,0.4006593477603769,0.48019806804272147,0.24877847546635132,0.2244932016063977,0.26489169296939,0.24047677427013067,0.6429434595581144,0.6655125971045075,0.17108456765052024,0.16182644414570221,0.23244102282434917,0.19753212832043143,0.1432971074353755,0.14598078941421297,0.14448205251690072,0.14378232096368115,0.14459716229311587,0.1443740510800362,0.14556572717630228,0.2914072446130509,0.2631357779800465,0.29914862520177565,0.49699684874391,0.4552740772078461,0.5813638594260779,0.348262175319533,0.34421470815271044,0.36286050521737556,0.3455582199126251,0.36440100034701095,0.3405831485781313,0.33974874838777874,0.36977208972361797,0.36544977933167416,0.35104135166404643,0.336797128434983,0.34667692208751466,0.37515771845892215,0.49513447315057135,0.32436811146844785,0.5009478845183218,0.39981637199266945,0.6294808890868003,0.5668967094502068,0.3854211480565072,0.6325234985796547,0.6319501398966115,0.6314710550717557,0.6330525632969943,0.3903476026650131,0.3769290015298914,0.3769523721064363,0.4490277117615244,0.8464176231336158,0.45120279402602903,0.3268524215827408,0.3903925268231008,0.45006764553301903,0.3777533032374559,0.3693167598015847,0.3853109763987038,0.4711965132267523,0.551256490129011,0.21387964417938604,0.19875450515518617,0.19209177398173186,0.2709381267431101,0.5532800349328674,0.2753385673600748,0.47478836705183375,0.26592853601690913,0.6414485381492839,0.17209824423562947,0.15819350380133526,0.23425287163824263,0.19862066552408264,0.14151163606919664,0.1447862430507917,0.1465096294674207,0.14945223591703372,0.15004734394298272,0.1447362594668532,0.14199148719836654,0.2707742229227547,0.4977926958849672,0.5778617766245874,0.3551328868882525,0.34657055539454473,0.3605878341441132,0.3514337634599813,0.36041067069525096,0.34176435620288004,0.33647899303262135,0.3639974646116069,0.37073154501063393,0.3545334564686002,0.3374144986822415,0.3467493962557506,0.37951823810111146,0.4965780541184004,0.5017755081172194,0.3965239045063141,0.6314849504272665,0.6320419268667495,0.634257339742161,0.631727480156186,0.6322726941848535,0.3877787374725557,0.37760691350366193,0.37640621345936254,0.4536951502904185,0.32165496675813765,0.390614890182205,0.44912154549278477,0.3774896931385284,0.3721124122792979,0.3829925068286872,0.4722572068863867,0.5473187936185929
laryngeal_tissues,0.2961383344715645,0.2739289293101789,0.26470274818713047,0.3466992504418786,0.35515724539080734,0.2904450347886377,0.0,0.34033550796280276,0.3743349501333966,0.39358515580940856,0.21623742416088237,0.20424280198667188,0.21293488187681658,0.1866451971201669,0.5978452786608848,0.623071068180559,0.25335988435998913,0.240212100574054,0.30073865632802166,0.27825290300258043,0.23006941826151342,0.2330341243148889,0.23139780102579693,0.23055895214247965,0.23135694878057442,0.23124954324004007,0.23230461402759864,0.31398172364298294,0.32949384906883433,0.3658231578044602,0.5068698338760235,0.47116880593204624,0.6265636637201537,0.4315554861910116,0.42928513333917073,0.44639163169346063,0.42965450763299995,0.4481197921448614,0.4238988241664077,0.4238463577512144,0.4539067204203128,0.4493667273466537,0.4346677775816124,0.42010463844884255,0.4287321955766548,0.45821772206301603,0.5838704167518614,0.3734760741107449,0.5904734169451437,0.40156519954701525,0.6686845156263782,0.6497190786214909,0.446371265545158,0.6720393121421493,0.6711172532252058,0.6700798621405775,0.6726374796238977,0.43302507946242774,0.41777344814548506,0.41925048587628844,0.49180701938001686,0.8823037767819414,0.500626030015238,0.3889801714792191,0.4552726947872993,0.5053205441341863,0.4353213164446233,0.41771033304498195,0.4407619229098092,0.5170389067335448,0.610002760791768,0.2966264597698616,0.2850254595886815,0.2690284402559521,0.34726481164824385,0.3290467753108426,0.33814530144949717,0.3897246184425157,0.21309789712394017,0.5958348544352808,0.2545120548134983,0.23768779518401542,0.3018069928394311,0.280082759439717,0.22801262776898948,0.23214748423918763,0.2335543862181304,0.2369450198077846,0.23698227371180525,0.23121617396877467,0.22861434891609214,0.33918925456527166,0.5069614257810928,0.6237021377304595,0.4391246084116049,0.43176541966931653,0.443960559341188,0.4354537821527628,0.4443533531637915,0.42518665497179603,0.420528839054204,0.44862267363210667,0.4542915632583695,0.437895608180449,0.42063691772547024,0.4280822670597229,0.4633813164337722,0.5855411537981278,0.5911529979674994,0.4001786569718186,0.6710878607530606,0.6715618958346417,0.6731243481807389,0.6701561812855441,0.6716731860269816,0.43005272364089364,0.41821359239857453,0.41853821260880414,0.5031581912836992,0.3828636033544794,0.45468666713787775,0.504449104917776,0.43533285975909913,0.42116740871819297,0.4388839772701809,0.518523186116553,0.6062716550615704
nerthus_bowel_cleansing_quality,0.231398147918656,0.19740587234972246,0.20174460712591594,0.2750785131740087,0.387725945873964,0.47811159775770923,0.8412404147608686,0.0,0.5438905780866574,0.6513810997286612,0.35029402955183025,0.3234537506773854,0.3476163032070605,0.33905005025841234,0.7816824503367263,0.8165360606104897,0.1569365724241668,0.1310656296109847,0.14195673523456145,0.13044311572612777,0.1303483517694565,0.13127841582152322,0.1303260904639632,0.13092070132792338,0.13087199532129815,0.13060409303067635,0.13125864940523393,0.3882120205031386,0.2460829572563985,0.42469750419802316,0.6390150156960167,0.6063095055068275,0.5838759003547678,0.3486264273896507,0.34479037456158335,0.36474355260119,0.3432176279113872,0.3669217389798531,0.3397989410333101,0.33727169282527253,0.3730510116351102,0.36634884855292693,0.3531128314301991,0.335064379935799,0.35363126819137464,0.3798833915938657,0.5210900854773889,0.43331889840855675,0.5197059949009255,0.5603731006671985,0.6607012927990523,0.5398983593200205,0.36479353804668074,0.6634107983744361,0.6618896622407145,0.6628199058349802,0.6634260601636476,0.33125376256897704,0.3194962102095158,0.3180477492264099,0.6022508449049288,0.8652719405210739,0.4553447960505936,0.3066273862551464,0.3950633652077626,0.4174334010059181,0.3916413211671056,0.3670132815889623,0.38181005792047656,0.5597811948727572,0.5566541334949927,0.23211976314482213,0.2096081845403262,0.2035074188226011,0.27313596763074877,0.8438102435228567,0.15728440064516672,0.6414925988589221,0.3492642789439152,0.7809321379343885,0.15818288485816343,0.13165582045587598,0.14307107472716674,0.13130151402903947,0.1285420788651432,0.13267862671945288,0.1317836059691564,0.13390983241952903,0.13442769420715925,0.1317005038329623,0.1304630950281169,0.24984908691420848,0.6391015758955559,0.5811595138391208,0.355391108422564,0.34595016989601063,0.3625138467032345,0.34626871772170315,0.3653603263293467,0.34166576022989004,0.3355453850853558,0.36753221406564923,0.37212025080917605,0.35758882657160224,0.3335361903347357,0.35209903106802115,0.38206391909741416,0.5203481065756536,0.521646478845024,0.5554336214874482,0.6632471091208253,0.6614918207532,0.6648846816944545,0.6628555371339933,0.6622212777463533,0.327761336406815,0.3212446474364988,0.31715657313212103,0.4581241115117586,0.3014761655471981,0.39455750631261877,0.41741393271285787,0.3911949623045773,0.37159031349219623,0.3802611602138087,0.5607554762594873,0.5517959604249061
stanford_dogs_image_categorization,0.23002886788289806,0.2055969559053113,0.19834613002252077,0.2674083198586226,0.330209607349763,0.36245442276182943,0.6179945553070345,0.2878843175965966,0.0,0.5070024584876197,0.1785586197639276,0.16371679531084649,0.19943226034184378,0.19575027365249897,0.6180720937972484,0.6394166771555565,0.20768206089674143,0.19853275843621554,0.24936183487421182,0.21874804222235378,0.17390805096948303,0.17613412849413684,0.17481624346614116,0.17454157679991514,0.17472545263829067,0.17512330228280448,0.17544090573202592,0.3045714175524943,0.2968835104334055,0.32431149394423675,0.506836853513282,0.44651912642600117,0.5403802406407764,0.3629529835316393,0.36169727193387186,0.3783461197913874,0.36043400888445626,0.3805289168038169,0.3562750744521784,0.35563241763689946,0.38527005753210336,0.37975671099534153,0.3672664380761552,0.35392685174790417,0.3639222410041136,0.3907529527066281,0.4985610456569629,0.3506096364865816,0.5034889973799417,0.4399423981701002,0.5975429004018289,0.5469166988343296,0.371043230758308,0.6005079681577254,0.5997407484096783,0.599227752373431,0.6013073589840856,0.376315223341619,0.36111051017884616,0.36162258448537626,0.4922997129659232,0.8002501586288924,0.4240847457599865,0.3252940622059376,0.3799846753596035,0.426368093997135,0.35537452891305416,0.3484860563849285,0.3662129117419722,0.4488032290425616,0.5295395453385551,0.22950837309842406,0.21029988157559176,0.20152349935037644,0.268156415379943,0.6186971051783577,0.2862580593897714,0.4998037048029329,0.20157918649101303,0.6167129169994637,0.20887405028645342,0.1961106956484265,0.2502154334091928,0.21994738766643293,0.17280936341161335,0.17614888048546282,0.17708047343955555,0.1792617531361965,0.1793679683377997,0.17581704632245132,0.17323217237235639,0.3037338753210856,0.5069523273902868,0.5384796453296967,0.3698241305971194,0.36371805488814773,0.3767962658863478,0.36505081661493227,0.3779238624342316,0.35855677510910244,0.35285114651074473,0.3810173092366793,0.3844363557228229,0.3706267271223666,0.3531913188829727,0.3625468988375565,0.3947261772482009,0.4995078713699896,0.5045573753094865,0.4368335757138519,0.5992275793103983,0.5999032992056124,0.6020920066166617,0.5990154129442629,0.6002267929307228,0.37315143361607767,0.36190884628645864,0.36077085634155553,0.4263892406778309,0.31947555468399386,0.3800761895253359,0.42563251850897055,0.355105283906225,0.3517628961257201,0.3640652991855925,0.449655937086623,0.5267582092982346
svhn,0.32928760827693226,0.2879920867354126,0.28298121840490503,0.3532525730799486,0.4087580753459967,0.37931554923256827,0.5210177636722074,0.3328811818011063,0.4209241804689327,0.0,0.24400579131321756,0.22754631797065256,0.17044865795485192,0.15269845419957037,0.5030444095307046,0.5295524820140239,0.2746489224270323,0.2611822929538212,0.29766454961394095,0.27049848067802656,0.23647483674161188,0.2390429730001912,0.23712012313913888,0.23709521238273185,0.237540625849373,0.2374148158911298,0.23865469793566343,0.39076447087899563,0.33342497029290147,0.4013047454814598,0.5336106139552727,0.5762105661559846,0.6199764319292179,0.40475275225853213,0.39982670496255834,0.41642622540435986,0.40137276112407166,0.4177958851906849,0.396733454575011,0.3960087125002301,0.42335915856094947,0.4191056021346843,0.4055715049128965,0.3933051227553009,0.40143414136022454,0.42816196389489436,0.5598588593848874,0.44059564477811564,0.5644437301805098,0.5086396152197424,0.6993155779895246,0.6163358189210278,0.42683299966791155,0.7021072700630244,0.7013882017421427,0.7007138387742029,0.7023635873465313,0.4334807894749154,0.41734581106351487,0.41890444606953703,0.5368160643646579,0.9006864791569006,0.463831049550823,0.3650595113581799,0.4263156123419499,0.4678163960048366,0.4052357418493075,0.37840195094338674,0.407390218122611,0.5473305753015685,0.6253665541342078,0.3309714364136916,0.29575103375749384,0.28578201256681357,0.352590568898797,0.5221591449944386,0.33099436781829367,0.2698528647887497,0.16996898645718314,0.5015206806329155,0.2762321229072347,0.25915996659633184,0.298454151535876,0.27234455819263376,0.23439836876000744,0.23836770058212042,0.23937477963590445,0.2426020201866055,0.2422575442407137,0.23877186448973436,0.2354540475723481,0.34108504284708974,0.5329248165686192,0.6177252434351407,0.4114367941122088,0.40205196348339356,0.41373601330629006,0.40705728967397964,0.4147687209110968,0.3984597646186289,0.3934540347980598,0.41851005468520425,0.4238276532168341,0.40957394156417254,0.3939872052518047,0.40060871974749046,0.4321735470882589,0.5612560503417234,0.5650831966690035,0.5066895098861447,0.7015262399333928,0.701330176572292,0.7033869723878353,0.70046629988546,0.7013269182198227,0.43011585574146916,0.4170282770285732,0.41832899830739567,0.46669209865295025,0.35950728674291105,0.42582930795229434,0.4674744041822543,0.4051875539135022,0.3816570926124062,0.4058605069458847,0.5485141765551099,0.6215941840417456
