,lapgyn4_anatomical_structures,lapgyn4_surgical_actions,lapgyn4_instrument_count,lapgyn4_anatomical_actions,sklin2_skin_lesions,identify_nbi_infframes,laryngeal_tissues,nerthus_bowel_cleansing_quality,stanford_dogs_image_categorization,svhn,caltech101_object_classification,caltech256_object_classification,cifar10_object_classification,cifar100_object_classification,mnist_digit_classification,emnist_digit_classification,hyperkvasir_anatomical-landmarks,hyperkvasir_pathological-findings,hyperkvasir_quality-of-mucosal-views,hyperkvasir_therapeutic-interventions,cholec80_grasper_presence,cholec80_bipolar_presence,cholec80_hook_presence,cholec80_scissors_presence,cholec80_clipper_presence,cholec80_irrigator_presence,cholec80_specimenbag_presence,derm7pt_skin_lesions,idle_action_recognition,barretts_esophagus_diagnosis,brain_tumor_classification,mednode_melanoma_classification,brain_tumor_type_classification,chexpert_enlarged_cardiomediastinum,chexpert_cardiomegaly,chexpert_lung_opacity,chexpert_lung_lesion,chexpert_edema,chexpert_consolidation,chexpert_pneumonia,chexpert_atelectasis,chexpert_pneumothorax,chexpert_pleural_effusion,chexpert_pleural_other,chexpert_fracture,chexpert_support_devices,pneumonia_classification,ph2-melanocytic-lesions-classification,covid_xray_classification,isic20_melanoma_classification,deep_drid_dr_level,shenzen_chest_xray_tuberculosis,crawled_covid_ct_classification,deep_drid_quality,deep_drid_clarity,deep_drid_field,deep_drid_artifact,kvasir_capsule_anatomy,kvasir_capsule_content,kvasir_capsule_pathologies,breast_cancer_classification_v2,eye_condition_classification,mura_xr_wrist,mura_xr_shoulder,mura_xr_humerus,mura_xr_hand,mura_xr_forearm,mura_xr_finger,mura_xr_elbow,bean_plant_disease_classification,aptos19_blindness_detection,lapgyn4_anatomical_structures --shrink_train 800,lapgyn4_surgical_actions --shrink_train 800,lapgyn4_instrument_count --shrink_train 800,lapgyn4_anatomical_actions --shrink_train 800,laryngeal_tissues --shrink_train 800,nerthus_bowel_cleansing_quality --shrink_train 800,svhn --shrink_train 800,cifar10_object_classification --shrink_train 800,mnist_digit_classification --shrink_train 800,hyperkvasir_anatomical-landmarks --shrink_train 800,hyperkvasir_pathological-findings --shrink_train 800,hyperkvasir_quality-of-mucosal-views --shrink_train 800,hyperkvasir_therapeutic-interventions --shrink_train 800,cholec80_grasper_presence --shrink_train 800,cholec80_bipolar_presence --shrink_train 800,cholec80_hook_presence --shrink_train 800,cholec80_scissors_presence --shrink_train 800,cholec80_clipper_presence --shrink_train 800,cholec80_irrigator_presence --shrink_train 800,cholec80_specimenbag_presence --shrink_train 800,idle_action_recognition --shrink_train 800,brain_tumor_classification --shrink_train 800,brain_tumor_type_classification --shrink_train 800,chexpert_enlarged_cardiomediastinum --shrink_train 800,chexpert_cardiomegaly --shrink_train 800,chexpert_lung_opacity --shrink_train 800,chexpert_lung_lesion --shrink_train 800,chexpert_edema --shrink_train 800,chexpert_consolidation --shrink_train 800,chexpert_pneumonia --shrink_train 800,chexpert_atelectasis --shrink_train 800,chexpert_pneumothorax --shrink_train 800,chexpert_pleural_effusion --shrink_train 800,chexpert_pleural_other --shrink_train 800,chexpert_fracture --shrink_train 800,chexpert_support_devices --shrink_train 800,pneumonia_classification --shrink_train 800,covid_xray_classification --shrink_train 800,isic20_melanoma_classification --shrink_train 800,deep_drid_dr_level --shrink_train 800,deep_drid_quality --shrink_train 800,deep_drid_clarity --shrink_train 800,deep_drid_field --shrink_train 800,deep_drid_artifact --shrink_train 800,kvasir_capsule_anatomy --shrink_train 800,kvasir_capsule_content --shrink_train 800,kvasir_capsule_pathologies --shrink_train 800,mura_xr_wrist --shrink_train 800,mura_xr_shoulder --shrink_train 800,mura_xr_humerus --shrink_train 800,mura_xr_hand --shrink_train 800,mura_xr_forearm --shrink_train 800,mura_xr_finger --shrink_train 800,mura_xr_elbow --shrink_train 800,bean_plant_disease_classification --shrink_train 800,aptos19_blindness_detection --shrink_train 800
lapgyn4_anatomical_structures,0.0,4.661318826519057,4.675818030561761,4.68028793348102,4.700747740952393,5.0133569514484755,5.011967110318852,4.648528633459872,4.921147691090455,4.8827411608150815,4.817400178442877,4.77232139631008,4.7834680646900996,4.719570131817212,4.951235186567144,5.098042001875433,4.645100782153216,4.647598169969712,4.6494884918235,4.6532077355917085,4.636900311303265,4.6385211978448515,4.63781771386829,4.634246634168947,4.643228365069591,4.6508350174866795,4.634482964107461,4.735171417212047,4.723058996141246,4.736923981383845,4.980186952679243,4.847183245336595,4.850701073056515,4.7328268305929635,4.740992091135814,4.7597653342326876,4.755856489298939,4.749674021461277,4.736512352106678,4.718572034200878,4.716836359066893,4.763314970061786,4.738188767315044,4.73771848306172,4.7400299216566335,4.755120269805178,4.7716120806455145,4.735573164605352,4.776401139407001,4.827867120860679,4.882853291305336,4.813347782319215,4.7115733358411305,4.890503200728398,4.861305954577537,4.8568890453200915,4.885512621693354,4.704903232303174,4.686626753504375,4.706999597469679,4.8291578822673245,4.99617609842722,4.806301164901051,4.7079463455367465,4.738300343510273,4.747947152528909,4.740810570379932,4.754860140912834,4.770979697633724,4.752428648396957,4.734790774240173,4.655141943960156,4.669733073147426,4.658596372899562,4.719842761359153,4.987168610970808,4.667653237865956,4.906272846451007,4.720394687688564,4.89402739206475,4.660353624552752,4.649259393094381,4.649328522082258,4.655904420803279,4.636195900890694,4.639151836561933,4.644718700592901,4.634856837712856,4.636428617345947,4.635288675072809,4.636692079515998,4.709604628544854,4.878261653947331,4.866652125491446,4.708662317652752,4.783791193396518,4.743100322240522,4.745163617234975,4.742413034431398,4.715078883982737,4.759978106999183,4.750256139359431,4.725626590982681,4.7384166247760735,4.750941753368878,4.741992253627944,4.746774972534447,4.777547610808639,4.760341278079372,4.818710492062807,4.838622243695318,4.8956483299976545,4.8316285546300515,4.895636294272111,4.898129757299697,4.692944549215286,4.6948483383821955,4.685937084905658,4.771481797102268,4.717601526201453,4.752649651716496,4.750141472534266,4.771769833980253,4.721708580369782,4.744942222078024,4.796860746935018,4.804747738251756
lapgyn4_surgical_actions,4.65804637289733,0.0,4.673230009106376,4.688164270838051,4.706535537981876,5.0170951171201175,5.012994993317986,4.653362927274172,4.927195039525734,4.881731776107355,4.816574053042938,4.769144184641905,4.78144928705901,4.72238115196885,4.932631565452205,5.067498473923756,4.648017079826608,4.642825932834121,4.647445882440784,4.645565788022459,4.636275095220111,4.638149270969634,4.6372931849511945,4.633916703857246,4.644048978214181,4.650024245114937,4.634203462126092,4.741458263473924,4.71821134614564,4.7459696971367595,5.002737152339886,4.875207204766801,4.848078234063322,4.7308194285221585,4.7338578151314,4.750082944121655,4.745512253380705,4.740007662404119,4.729563415896028,4.713059166960423,4.714261624189829,4.757132716416352,4.731594883826114,4.733104663489108,4.733478252176763,4.748199285793346,4.765919953319815,4.752668898709781,4.770796423220269,4.8481806034040344,4.899826464043939,4.813601712123879,4.715597782027081,4.901820279941217,4.8704442411249245,4.862302984402731,4.903491804088315,4.700710734883473,4.683824978639178,4.697664320578164,4.81731721911326,5.021179018591663,4.79345868274554,4.702715701669857,4.7376146996567545,4.742833745323103,4.7360461865884,4.752726033514905,4.762309326961306,4.753565560521205,4.736991334863919,4.654918476873704,4.676012760690488,4.656933681064916,4.722424451980369,4.98728327327515,4.667431674038429,4.913086034253347,4.716036654914223,4.881725944366913,4.657049361206638,4.649914291295218,4.6443954252849196,4.6527939193884595,4.636711179579405,4.638759962328463,4.645762258617394,4.6335003357701305,4.634957855585691,4.637854127789115,4.635810759651804,4.70203023046286,4.900222563486377,4.858873658157071,4.7079732822465585,4.775625969955343,4.737582799331923,4.7375305516129504,4.7358233936017555,4.707921291962493,4.74839910933756,4.747722124229463,4.720512695624318,4.731442403176509,4.74448500103282,4.741279342181319,4.739568427231056,4.774163385481711,4.759306721874342,4.838950814904946,4.850444090327609,4.903881447579514,4.84368264263436,4.912020805944279,4.920145541205839,4.692733761021665,4.694072942520598,4.6809460989825356,4.760527071957254,4.7147786845972215,4.747375163896158,4.745963618199015,4.762265296301773,4.715886679755634,4.74572220346618,4.797074750510974,4.820772653968645
lapgyn4_instrument_count,4.6552905331264,4.66162220418189,0.0,4.689218968265727,4.70890375276988,5.020487541186252,4.999468603690133,4.6519154260698805,4.924058663436056,4.8790763206692,4.810448395834577,4.775101294991991,4.780588341976513,4.720930046271555,4.930254319162945,5.06851386885624,4.650481790069397,4.646565560436707,4.650760920073987,4.645521272135663,4.636725742744355,4.6362273856855225,4.6356007011173865,4.633659283715613,4.645607151953082,4.651927238922058,4.63822990815815,4.74371011355237,4.71462719105973,4.748356554415719,4.99226847631056,4.863504510384755,4.845090492506044,4.7196421525445755,4.726139259096592,4.748978425404263,4.74846577214679,4.744698420661878,4.727887578207323,4.713037542882581,4.713098400736622,4.75240917053173,4.737371618712145,4.734608340587351,4.723722178888206,4.748533940460533,4.762281887496297,4.751643966649612,4.769304654239374,4.844526694190344,4.906134462136473,4.810293602673101,4.712180867169112,4.893010258824389,4.871552971715789,4.862891708389151,4.8983296277340935,4.703895903751814,4.679511813391841,4.705952135769001,4.825901460619572,5.02042858155756,4.799440494194309,4.707563278100733,4.748199274378073,4.738203975575472,4.74153243877479,4.7605637022431075,4.774187783920057,4.757730303410243,4.734063430469653,4.655199469915083,4.6750339583731915,4.657874615653636,4.730385484333082,4.982021934099363,4.666220083342977,4.9147186560054,4.721336487775063,4.871249435804094,4.656807674218206,4.647779920928897,4.6483516364585595,4.653799746804303,4.638536527887225,4.63894578688375,4.645721548503089,4.634227650554251,4.634356233532866,4.636412921925202,4.635316007158484,4.696684961974421,4.894891050747297,4.863173975761401,4.705388257164982,4.7741414713603945,4.734467533503054,4.7379183339912,4.732630334047711,4.704230720783445,4.750045387435715,4.745800199891756,4.71926178590049,4.729880306244922,4.746005709851311,4.7356624598262265,4.737866766486981,4.77250149336563,4.755639401533271,4.835286581564651,4.846655981404444,4.906923661400718,4.835488824743294,4.915745185322964,4.914953652133089,4.690463406467474,4.696037578823957,4.682714418721976,4.775501718939626,4.725655978620525,4.756751398247704,4.748854022885097,4.776396734134631,4.72809380359473,4.752690695043988,4.7990456813036975,4.820671696577944
lapgyn4_anatomical_actions,4.656496010936996,4.662991999802767,4.674293518231209,0.0,4.71374465708271,5.04177431438684,5.034920578020005,4.657332961534136,4.920813869429305,4.889025749531552,4.8125734726334946,4.771862069251499,4.782647290500265,4.725452863093446,4.927668535231941,5.063449540368415,4.652571286393235,4.643265998417225,4.649631176919462,4.646882480911901,4.636935805785651,4.638327538881685,4.636748550988207,4.635792088969383,4.644874003684515,4.650030336194476,4.634632387932724,4.757627007391587,4.721958681284743,4.756534917334548,5.030351705225145,4.8986133234832065,4.846241979457277,4.722661280670156,4.728202148301587,4.744893321413464,4.740312337553783,4.736965115327523,4.727258902965378,4.708205924187543,4.711918785138881,4.750465322519792,4.7266096512161475,4.731598268714089,4.726097550844692,4.74483213022777,4.761661412374612,4.772134985372501,4.762061779559053,4.871028238836301,4.9237991911592225,4.802930646512501,4.712586036606322,4.912343796848095,4.89101360490012,4.876659142812155,4.925898634481459,4.7031119253789555,4.6848429778429725,4.699549625116079,4.82471191786362,5.045483956995324,4.787628125313814,4.700644783726855,4.733954189876263,4.738509729910655,4.732274598932541,4.752857928443012,4.76232465774006,4.753935965691369,4.744013682978871,4.655175970874729,4.672744343656347,4.6562590167977636,4.7304796347694005,5.010011256057837,4.666812037855994,4.9195643029149245,4.721345456059983,4.870508701849099,4.661878658714787,4.649024239862312,4.647180597938329,4.652274211559735,4.637811852778276,4.637232243296597,4.647214998112995,4.632625638031291,4.635347607686555,4.637237824649424,4.634922040865812,4.700767356196966,4.926500779160736,4.863501497834884,4.707586862431316,4.768204847309182,4.7320664801215635,4.730222010971817,4.730612589646428,4.701839040467188,4.7444643346023065,4.743169116505052,4.717738174078113,4.726055492425306,4.738724318231915,4.740109992236873,4.735579034324395,4.767031443770734,4.752966792906057,4.866388574670469,4.86898362166073,4.921788066665252,4.857857488888383,4.935017028093522,4.943138316475566,4.692164645336119,4.696517312534631,4.683218729262272,4.762221429708244,4.714439262231055,4.7468630225893,4.745284047097369,4.760300244726793,4.718700455314396,4.7474219706915495,4.797014999427812,4.831092913327724
sklin2_skin_lesions,4.648616442583096,4.6553890449182616,4.669837206119198,4.691382639244823,0.0,4.99030626863055,4.963112030175968,4.660623532243204,4.951211843774197,4.831747891181666,4.794383065783251,4.785109289354041,4.765260098694615,4.71416305395697,4.875273755712878,5.023377195671887,4.646196476420996,4.640589907455312,4.646865713801179,4.645249066845131,4.636925869266711,4.632768326414636,4.644034207138174,4.640187651345328,4.6448270350915415,4.63908871150324,4.63532598696969,4.73837721655722,4.717729014093142,4.743138985689351,4.943784397709975,4.836845068614314,4.876061137847961,4.731075329224945,4.73421123585878,4.747965112670123,4.743527690047364,4.744077640768495,4.741993482544212,4.7135948522032605,4.704695375441556,4.747293801074207,4.729675285906846,4.737647370090042,4.74199560200481,4.770218435771727,4.770680754437051,4.759329267700198,4.764667802337189,4.806393873396511,4.898693429258406,4.8006467780140945,4.7211111990493615,4.913901042173366,4.869691560426765,4.871382939823353,4.875810839136186,4.7125798702312425,4.710251682570003,4.709451137090349,4.816560100808548,4.990040609056501,4.815557746771897,4.715162834666846,4.765413425506402,4.753987744737036,4.763749160402854,4.779144728178082,4.7867307404659245,4.758873838923009,4.779740726396028,4.651816789522987,4.669963984825008,4.651016479925637,4.724796227529701,4.958019715936861,4.67287206275587,4.867461152651567,4.719406335799626,4.835571762857701,4.661501975748306,4.6492817986781585,4.648712172685622,4.64354346923486,4.639696398225889,4.634863386242915,4.644535532561599,4.629660949689068,4.645760415726858,4.638607508619234,4.637327918370237,4.709030892112081,4.861170135021155,4.873212176054819,4.7132923702650364,4.761896229913805,4.750051819977548,4.740078667689088,4.743824829283821,4.711635089367405,4.756049693867108,4.749528917962076,4.717247849365621,4.742797522872719,4.75028458339139,4.731957020446678,4.733170080238652,4.7583506513285485,4.745201621708665,4.79989325366763,4.8453561791158775,4.892291633083092,4.847076759232023,4.897938031980875,4.8877943869424865,4.703877480051972,4.715733019222877,4.709477498880937,4.8013447366045545,4.722125290348069,4.753072915558717,4.743403094686004,4.803965753443279,4.729021721285694,4.767154030132052,4.805115735560116,4.8269818861441545
identify_nbi_infframes,4.653900210130473,4.668835509306003,4.6776729135159,4.693605424816207,4.706593123579503,0.0,4.858499909638705,4.656709387965171,4.904771358751269,4.797219055217005,4.774459956673584,4.752978604367161,4.748190005472494,4.695780243252269,4.845485565511741,4.93844006724703,4.643523826376345,4.641355326684861,4.663533228602256,4.664059947544384,4.629434273691403,4.632828889848091,4.644601302256624,4.632310743985326,4.6377386823378295,4.64575194184664,4.6350779673479545,4.718208978926382,4.6846254732833525,4.7223587134268685,4.895515842551334,4.843767287838818,4.8617736845831825,4.752634309443346,4.761514408764253,4.776357000128395,4.771974783573745,4.767157137127633,4.756441045733455,4.740452349950531,4.7346281504649745,4.7820920443684365,4.747935158671807,4.749305516227672,4.775689501736949,4.792223405122405,4.779817794317988,4.736287259469004,4.782990891628408,4.787680161227709,4.886738274437743,4.8290957303476665,4.732013076393711,4.896023563934223,4.8540045977160435,4.864657341060611,4.8965168859463315,4.709288150589041,4.695911601325852,4.695873930640321,4.795053607605834,4.988381771319424,4.830335758568198,4.736688904088805,4.772620539089811,4.770193985646041,4.771963715506201,4.771692795780189,4.809712612816376,4.750262005363619,4.743244150836666,4.6528436473389805,4.681552873906791,4.661064001794349,4.725051670640064,4.855565382668513,4.6747901703323524,4.799188697620097,4.7146891114060105,4.819135356244053,4.667834447093351,4.637250159740557,4.644024580904732,4.657229544610916,4.629918257390421,4.634255941921392,4.640866774236948,4.6287376525615285,4.64036530985943,4.634877894935515,4.642036840442967,4.702061071580316,4.8048565924393065,4.852931120234016,4.729104133445544,4.798677704222458,4.769886993435415,4.783343347663993,4.7693311936040965,4.727027417564671,4.779804237224557,4.7744148178167825,4.750781275287629,4.761879595830982,4.776387773577408,4.762386129232803,4.761630778773516,4.77088719256419,4.7645768870008895,4.7953031352311655,4.830661830782017,4.8921131369409485,4.833459370955818,4.88196700358503,4.889670912215289,4.699275323374433,4.709531466058156,4.685057990736218,4.789932838622662,4.732340500855972,4.775681204191987,4.761011126777939,4.804098317674519,4.738852348340188,4.77190042716096,4.787072602557865,4.8015639410813185
laryngeal_tissues,4.689675720669686,4.686843506127692,4.693369928556126,4.684151740035942,4.801912901372669,4.956461313045022,0.0,4.6570375397599095,4.900497128572535,4.782599985202024,4.758374328665169,4.761819948457282,4.774200638508802,4.711319187494638,4.821039075177532,4.950652490541587,4.687781282345421,4.688554502060702,4.687751115503218,4.680312573678801,4.657887718130402,4.653979164955977,4.64809014042806,4.6533618027034205,4.650277758228628,4.683123552145836,4.6668247115103005,4.792665187361323,4.736247008416737,4.762474266498491,4.894953145602393,4.909315313132055,4.829493138948684,4.808308410245295,4.79334033498088,4.875219017657537,4.828959243574203,4.826731092154047,4.8022518341474445,4.806907447937584,4.805264909515016,4.838797901070859,4.824852606454535,4.802103149551806,4.847310659939156,4.904559570091486,4.871600597413029,4.859926241380394,4.847131449268761,4.860161090867508,4.937307121851615,4.898557343026283,4.7252076417912985,4.8904202259043075,4.88385786322046,4.896581803171876,4.898678740608491,4.730641686045378,4.703665452419298,4.695000916167498,4.920689586145396,4.954406185460372,4.86350902138188,4.782253089094643,4.7834979575594465,4.762601637585283,4.830152085616599,4.78313450736118,4.834014791767538,4.74275211780821,4.8180914549248985,4.672697162773408,4.6854137901845485,4.695543420072743,4.769318028313908,4.796991042106749,4.687067605912025,4.806391540270268,4.753661036333203,4.805562694017091,4.744855310194783,4.689064349313702,4.694790763747458,4.657995751036601,4.654355840086747,4.665703322957402,4.670597198895893,4.647288248729676,4.669821223542188,4.660790328940755,4.653126731657884,4.706631475553943,4.794666574894883,4.843980239162032,4.783267477340107,4.839384029877742,4.865042930881437,4.845921164122043,4.827924735176232,4.78788358874866,4.8412775582114875,4.872569050017382,4.80320844246641,4.828648830761372,4.832538150441211,4.802046758279022,4.820559111522415,4.856502696071429,4.81481509505204,4.865558055933458,4.868457052792167,4.909793954848408,4.852442784272353,4.938008617823192,4.898437940259447,4.708072381739279,4.72218909695277,4.690981489702934,4.84705493763534,4.770696019812966,4.822993644456167,4.745191860743586,4.8342829787931665,4.775583169814323,4.820960530845431,4.774490462892299,4.875311208718316
nerthus_bowel_cleansing_quality,4.663074361749936,4.658287901977518,4.668890601699976,4.679985531279679,4.71244633503907,5.059496854296257,5.0332628351691735,0.0,4.922906576437347,4.860257202128545,4.79153681595265,4.765289546114182,4.7612954140623165,4.724296016637791,4.900682790227899,5.048277501653655,4.6499367821427,4.648488670032978,4.656742371470654,4.660394643194449,4.638145117566816,4.639245494283101,4.642899732457213,4.633555343006832,4.640712466270771,4.641277629971269,4.642252914121002,4.749892614701449,4.739359441742326,4.7528926839627434,5.007284505898659,4.9018976671577885,4.871371414511237,4.7199024475145395,4.730363575144646,4.736977198850913,4.738473954261874,4.731142753741475,4.727422397100406,4.712336273082984,4.704975060907249,4.735847886385082,4.717023292242336,4.722150195724984,4.738307769087843,4.748460133009737,4.772147829269172,4.74949599464295,4.774994578120077,4.845232948394319,4.902578133157249,4.803128976695625,4.727831589355309,4.920282639830404,4.885715138823181,4.871199188671754,4.9197289862408935,4.723241500995862,4.706749352970318,4.713695736373148,4.825434821311282,5.026892394367438,4.805950162530668,4.704625596240695,4.745222887214705,4.746794033826385,4.745238963850843,4.768447127483949,4.769951216162984,4.77092773816251,4.759782050656393,4.653909613892301,4.664108541954447,4.6563187734745295,4.706455728780478,5.0174675607311805,4.686902253170925,4.900645082012511,4.717964053942759,4.853568932510864,4.66517928373442,4.655818730547811,4.653293392682433,4.6611692400961005,4.63828760735071,4.63921938828948,4.643063697909503,4.63649854706854,4.639455721599568,4.639515545711099,4.6359717341718145,4.729438706346597,4.9011011028797205,4.87382784452277,4.703082971196948,4.748833292853423,4.731565458398117,4.7282699208904955,4.726282183596615,4.699190436063211,4.739762700889238,4.73918642933276,4.711404000057433,4.726548670852445,4.734316221706664,4.72849141361641,4.72672693900847,4.769923511166263,4.751594441794798,4.855462805220869,4.858741911141031,4.913853372699393,4.853851884480115,4.923695046120166,4.919668529084908,4.721525349913434,4.72289459751112,4.704143390473005,4.782189272184244,4.717696205603973,4.74677251147222,4.73680483907137,4.774037484839579,4.733260854268321,4.752666568146051,4.814539434214697,4.836728438195678
stanford_dogs_image_categorization,4.668477647358383,4.668721926982644,4.676484830677621,4.685101093215011,4.72380992711056,5.031983724282411,5.043040643627464,4.65754887714593,0.0,4.866150856502166,4.78920206053627,4.773046916622472,4.758423412598998,4.718292952898925,4.904193923161379,4.979029568266538,4.656990102713953,4.649240114388203,4.669988011320634,4.653806008199861,4.648155508035448,4.642836334191856,4.651694710051302,4.637728401237732,4.644837313353766,4.650599898378782,4.661574293617353,4.75455639973681,4.725411098705858,4.76084749900938,5.008204847989537,4.8543375596814435,4.84424856051694,4.750769267325655,4.742649613129356,4.771254557573443,4.754403606821043,4.77933059036279,4.75946195355821,4.739041869518586,4.721453472520286,4.772703994176011,4.73613677196802,4.740704062487458,4.75439786601898,4.783539404242697,4.794804925932298,4.767027704369993,4.791784424209292,4.83612953508904,4.877025607327692,4.804151155374534,4.731860079534094,4.871464024985054,4.869809515008063,4.864079719431948,4.875454967946675,4.726619120498197,4.697992385286106,4.720053601565491,4.860383682702259,4.9857772363082375,4.844815610783373,4.731483956612678,4.761505507173557,4.777788937578387,4.753169764912837,4.781064401520833,4.798638778863005,4.789420204269063,4.743830250456694,4.659397358103413,4.665757535939357,4.6584063508981775,4.712078872869529,5.038979327384946,4.66847532431716,4.897708443693948,4.738218300181309,4.858402423695004,4.686841995809706,4.648025185141767,4.6522864976210805,4.654454444713069,4.643539486490474,4.645131537970232,4.666497857717958,4.636715183425928,4.651447856480283,4.6514359063744175,4.641431437080855,4.708774857756325,4.88808301180295,4.855705201745861,4.727547231969544,4.782956126205705,4.764975119502809,4.751531712034133,4.763198786907855,4.71715852459442,4.772478329997556,4.753837127306214,4.745414406441302,4.756768060455384,4.76540793970955,4.766666013616984,4.751296158861343,4.784533776801098,4.760841818636002,4.846294823208671,4.8414591705721906,4.874243804101416,4.829308448759627,4.901087050435794,4.8961197497330256,4.701520993642531,4.713000047895724,4.705246151063526,4.821503355395121,4.730948740259667,4.766051468890757,4.75273010422559,4.796643742573383,4.77595538188781,4.777327789212955,4.8356431571254666,4.804920981502389
svhn,4.7052826942720705,4.682660984391582,4.6726352068788914,4.679259867736238,4.802232893618479,5.081624256981479,4.918626521039427,4.67873029845443,4.914944070438707,0.0,4.770232972973234,4.767882272776669,4.75892574021528,4.700148464405663,4.775733073939108,4.846739960822466,4.692011202151802,4.687560343561565,4.6843805829817775,4.679017701641588,4.660755607896246,4.665317781236815,4.661370972946799,4.649767435271816,4.654366313851582,4.671576896803384,4.67965554392974,4.82372836033129,4.79453642818132,4.82073782037129,4.957302424218665,4.97056236898506,4.845005037192994,4.813836645856675,4.796846755433272,4.846713180086259,4.818468237866477,4.824802110707133,4.798598904239312,4.802632397218667,4.792276218368338,4.824372485227464,4.803761104459013,4.801492732976477,4.8279030351900065,4.8553197688254865,4.85765584103628,4.878796081236919,4.838017430400128,4.912140301941249,4.9687087599215,4.9139555662984735,4.743826479992488,4.925718193189057,4.917092245936782,4.930366095760486,4.950577816348738,4.728484095418681,4.699548296379342,4.698932147939581,4.928866968054784,5.012097957885546,4.872960978071341,4.770459495315818,4.794390888271631,4.774783743103582,4.836910171255058,4.805337053756188,4.855374331976142,4.795169728462352,4.821498938677128,4.667806347576161,4.673979912531128,4.687289729269605,4.7498937564851,4.9495788472144895,4.695754911199802,4.765393765784414,4.737442427826589,4.754390901235893,4.733819266540919,4.685800115953751,4.688254500251058,4.659793354076821,4.6627094228682875,4.67203039538703,4.679730186224989,4.650357652485979,4.671805806388453,4.665919686521066,4.65689724505604,4.744029068801093,4.860563382909541,4.849331747102017,4.775750434684203,4.814570914619355,4.843177822902472,4.8071495825619275,4.8047422534026465,4.781557105899272,4.820566714521998,4.8274894074351336,4.781785507652753,4.811415082541575,4.8255823070934545,4.807369174503508,4.80695800564837,4.832557583270352,4.811202543712607,4.898311436053154,4.914548516662453,4.939405329519111,4.8869047762503515,4.96691037497225,4.945550527837041,4.7003222742949005,4.71139929440436,4.705331165008397,4.841727036008716,4.766423268297788,4.815849977346008,4.777205926711099,4.838546309695205,4.790042635818488,4.819364608006428,4.824694291698403,4.880944444902822
